,,,Lo,Hi
2001-08-15 00:00:00,2001-08-15,26.0,69,83
2001-08-16 00:00:00,2001-08-16,27.0,69,83
2001-08-17 00:00:00,2001-08-17,28.0,69,83
2001-08-18 00:00:00,2001-08-18,29.0,69,83
2001-08-19 00:00:00,2001-08-19,30.0,69,83
2001-08-20 00:00:00,2001-08-20,31.0,68,82
2001-08-21 00:00:00,2001-08-21,32.0,68,82
2001-08-22 00:00:00,2001-08-22,33.0,68,82
2001-08-23 00:00:00,2001-08-23,34.0,68,82
2001-08-24 00:00:00,2001-08-24,35.0,68,82
2001-08-25 00:00:00,2001-08-25,36.0,67,81
2001-08-26 00:00:00,2001-08-26,37.0,67,81
2001-08-27 00:00:00,2001-08-27,38.0,67,81
2001-08-28 00:00:00,2001-08-28,39.0,67,81
2001-08-29 00:00:00,2001-08-29,40.0,67,81
2001-08-30 00:00:00,2001-08-30,41.0,66,80
2001-08-31 00:00:00,2001-08-31,42.0,66,80
2001-09-01 00:00:00,2001-09-01,43.0,66,80
2001-09-02 00:00:00,2001-09-02,44.0,66,80
2001-09-03 00:00:00,2001-09-03,45.0,65,79
2001-09-04 00:00:00,2001-09-04,46.0,65,79
2001-09-05 00:00:00,2001-09-05,47.0,65,79
2001-09-06 00:00:00,2001-09-06,48.0,65,79
2001-09-07 00:00:00,2001-09-07,49.0,64,78
2001-09-08 00:00:00,2001-09-08,50.0,64,78
2001-09-09 00:00:00,2001-09-09,51.0,64,78
2001-09-10 00:00:00,2001-09-10,52.0,63,77
2001-09-11 00:00:00,2001-09-11,53.0,62,76
2001-09-12 00:00:00,2001-09-12,54.0,62,76
2001-09-13 00:00:00,2001-09-13,55.0,62,76
2001-09-14 00:00:00,2001-09-14,56.0,62,76
2001-09-15 00:00:00,2001-09-15,57.0,62,76
2001-09-16 00:00:00,2001-09-16,58.0,61,75
2001-09-17 00:00:00,2001-09-17,59.0,61,75
2001-09-18 00:00:00,2001-09-18,60.0,61,75
2001-09-19 00:00:00,2001-09-19,61.0,61,75
2001-09-20 00:00:00,2001-09-20,62.0,60,74
2001-09-21 00:00:00,2001-09-21,63.0,60,74
2001-09-22 00:00:00,2001-09-22,64.0,59,73
2001-09-23 00:00:00,2001-09-23,65.0,59,73
2001-09-24 00:00:00,2001-09-24,66.0,59,73
2001-09-25 00:00:00,2001-09-25,67.0,58,72
2001-09-26 00:00:00,2001-09-26,68.0,58,72
2001-09-27 00:00:00,2001-09-27,69.0,58,72
2001-09-28 00:00:00,2001-09-28,70.0,57,71
2001-09-29 00:00:00,2001-09-29,71.0,57,71
2001-09-30 00:00:00,2001-09-30,72.0,57,71
2001-10-01 00:00:00,2001-10-01,73.0,56,70
2001-10-02 00:00:00,2001-10-02,74.0,56,70
2001-10-03 00:00:00,2001-10-03,75.0,55,69
2001-10-04 00:00:00,2001-10-04,76.0,55,69
2001-10-05 00:00:00,2001-10-05,77.0,54,68
2001-10-06 00:00:00,2001-10-06,78.0,54,68
2001-10-07 00:00:00,2001-10-07,79.0,54,68
2001-10-08 00:00:00,2001-10-08,80.0,53,67
2001-10-09 00:00:00,2001-10-09,81.0,53,67
2001-10-10 00:00:00,2001-10-10,82.0,53,67
2001-10-11 00:00:00,2001-10-11,83.0,52,66
2001-10-12 00:00:00,2001-10-12,84.0,52,66
2001-10-13 00:00:00,2001-10-13,85.0,52,66
2001-10-14 00:00:00,2001-10-14,86.0,52,65
2001-10-15 00:00:00,2001-10-15,87.0,51,65
2001-10-16 00:00:00,2001-10-16,88.0,50,64
2001-10-17 00:00:00,2001-10-17,89.0,50,64
2001-10-18 00:00:00,2001-10-18,90.0,50,64
2001-10-19 00:00:00,2001-10-19,91.0,50,63
2001-10-20 00:00:00,2001-10-20,92.0,49,63
2001-10-21 00:00:00,2001-10-21,93.0,49,63
2001-10-22 00:00:00,2001-10-22,94.0,48,62
2001-10-23 00:00:00,2001-10-23,95.0,48,62
2001-10-24 00:00:00,2001-10-24,96.0,48,62
2001-10-25 00:00:00,2001-10-25,97.0,48,61
2001-10-26 00:00:00,2001-10-26,98.0,47,61
2001-10-27 00:00:00,2001-10-27,99.0,47,60
2001-10-28 00:00:00,2001-10-28,100.0,47,60
2001-10-29 00:00:00,2001-10-29,101.0,47,59
2001-10-30 00:00:00,2001-10-30,102.0,47,59
2001-10-31 00:00:00,2001-10-31,103.0,46,59
2001-11-01 00:00:00,2001-11-01,104.0,46,58
2001-11-02 00:00:00,2001-11-02,105.0,46,58
2001-11-03 00:00:00,2001-11-03,106.0,45,58
2001-11-04 00:00:00,2001-11-04,107.0,45,57
2001-11-05 00:00:00,2001-11-05,108.0,45,57
2001-11-06 00:00:00,2001-11-06,109.0,44,57
2001-11-07 00:00:00,2001-11-07,110.0,44,56
2001-11-08 00:00:00,2001-11-08,111.0,44,56
2001-11-09 00:00:00,2001-11-09,112.0,44,56
2001-11-10 00:00:00,2001-11-10,113.0,43,55
2001-11-11 00:00:00,2001-11-11,114.0,43,55
2001-11-12 00:00:00,2001-11-12,115.0,43,55
2001-11-13 00:00:00,2001-11-13,116.0,43,54
2001-11-14 00:00:00,2001-11-14,117.0,42,54
2001-11-15 00:00:00,2001-11-15,118.0,42,54
2001-11-16 00:00:00,2001-11-16,119.0,42,53
2001-11-17 00:00:00,2001-11-17,120.0,41,53
2001-11-18 00:00:00,2001-11-18,121.0,41,53
2001-11-19 00:00:00,2001-11-19,122.0,41,52
2001-11-20 00:00:00,2001-11-20,123.0,40,52
2001-11-21 00:00:00,2001-11-21,124.0,40,52
2001-11-22 00:00:00,2001-11-22,125.0,39,51
2001-11-23 00:00:00,2001-11-23,126.0,39,51
2001-11-24 00:00:00,2001-11-24,127.0,39,51
2001-11-25 00:00:00,2001-11-25,128.0,38,50
2001-11-26 00:00:00,2001-11-26,129.0,38,50
2001-11-27 00:00:00,2001-11-27,130.0,38,50
2001-11-28 00:00:00,2001-11-28,131.0,37,49
2001-11-29 00:00:00,2001-11-29,132.0,37,49
2001-11-30 00:00:00,2001-11-30,133.0,37,48
2001-12-01 00:00:00,2001-12-01,134.0,36,48
2001-12-02 00:00:00,2001-12-02,135.0,36,48
2001-12-03 00:00:00,2001-12-03,136.0,36,47
2001-12-04 00:00:00,2001-12-04,137.0,35,47
2001-12-05 00:00:00,2001-12-05,138.0,35,47
2001-12-06 00:00:00,2001-12-06,139.0,35,46
2001-12-07 00:00:00,2001-12-07,140.0,34,46
2001-12-08 00:00:00,2001-12-08,141.0,34,46
2001-12-09 00:00:00,2001-12-09,142.0,34,46
2001-12-10 00:00:00,2001-12-10,143.0,33,45
2001-12-11 00:00:00,2001-12-11,144.0,33,45
2001-12-12 00:00:00,2001-12-12,145.0,33,45
2001-12-13 00:00:00,2001-12-13,146.0,33,44
2001-12-14 00:00:00,2001-12-14,147.0,32,44
2001-12-15 00:00:00,2001-12-15,148.0,32,44
2001-12-16 00:00:00,2001-12-16,149.0,32,44
2001-12-17 00:00:00,2001-12-17,150.0,31,43
2001-12-18 00:00:00,2001-12-18,151.0,31,43
2001-12-19 00:00:00,2001-12-19,152.0,31,43
2001-12-20 00:00:00,2001-12-20,153.0,31,42
2001-12-21 00:00:00,2001-12-21,154.0,30,42
2001-12-22 00:00:00,2001-12-22,155.0,30,42
2001-12-23 00:00:00,2001-12-23,156.0,30,42
2001-12-24 00:00:00,2001-12-24,157.0,30,42
2001-12-25 00:00:00,2001-12-25,158.0,30,41
2001-12-26 00:00:00,2001-12-26,159.0,29,41
2001-12-27 00:00:00,2001-12-27,160.0,29,41
2001-12-28 00:00:00,2001-12-28,161.0,29,41
2001-12-29 00:00:00,2001-12-29,162.0,29,40
2001-12-30 00:00:00,2001-12-30,163.0,28,40
2001-12-31 00:00:00,2001-12-31,163.0,28,40
