,,,,,,,,,,,,,,,,,,,,,,
,Site Name,Permit Application No.,Permit Number,Legal Description,Legal Description,Legal Description,Legal Description,UTM Coordinates,UTM Coordinates,UTM Coordinates,No. of Pieces of Equipment,No. of Pieces of Equipment,No. of Pieces of Equipment,,,Dates,Dates,Dates,Dates,Dates,Dates,Dates
,Main Site (revised),,CT1780,NE of SW,29,48N,73W,13,447063,4883770,2,2,-,,,,,,,,,
,Pod 1 (revised),,CT1781,SW of NW,29,48N,73W,13,446652,4884197,2,-,-,,,,,,,,,
,Pod 2 (revised),,CT1782,NE of SW,30,48N,73W,13,445511,4883836,2,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,South Kitty,,,,,,,,,,,,,,,,,,,,,
,Main Site,,CT1870,SE of SE,32,50N,73W,13,447806,4900924,-,3,-,,,,,,,,,
,Pod 1,,CT1871,SE of SE,27,50N,73W,13,451096,4902559,2,-,-,,,,,,,,,
,Pod 2,,CT1872,NE of NW,36,50N,73W,13,453507,4902203,3,-,-,,,,,,,,,
,Pod 3,,CT1873,NE of SW,3,49N,73W,13,450262,4899750,2,-,-,,,,,,,,,
,Pod 4,,CT1874,NE of NW,4,49N,73W,13,448629,4900543,2,-,-,,,,,,,,,
,Pod 5,,CT1875,SW of SW,21,50N,73W,13,448251,4904220,3,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Kudzu,,,,,,,,,,,,,,,,,,,,,
,Main Site,,CT1862,SW/NW,2,45N,75W,13,432450,4861400,2,3,-,,,,,,,,,
,Pod 1,,CT1863,SW/SE,31,46N,75W,13,426486,4862349,2,-,-,,,,,,,,,
,Pod 2,,CT1864,NE/SW,33,46N,75W,13,419450,4862777,2,-,-,,,,,,,,,
,Pod 3,,CT1865,NW/SE,6,45N,75W,13,426457,4861085,2,-,-,,,,,,,,,
,Pod 4,,CT1866,SE/SW,8,45N,75W,13,427560,4859242,2,-,-,,,,,,,,,
,Pod 5,,CT1867,SE/SE,10,45N,75W,13,431635,4859019,2,-,-,,,,,,,,,
,Pod 6,,CT1868,NE/SE,21,45N,75W,13,429206,4856352,2,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Hoe Creek,,,,,,,,,,,,,,,,,,,,,
,Main Site,,CT1856,SW SE,5,47N,74W,13,437749,4880197,-,2,-,,,,,,,,,
,Pod 1,,CT1857,NE SW,5,47N,74W,13,437336,4880605,2,-,-,,,,,,,,,
,Pod 2,,CT1858A,NE SW,31,48N,74W,13,435676,4872417,2,-,-,,,,,,,,,
,Pod 3,,CT1859,NW SE,30,48N,74W,13,436093,4874026,2,-,-,,,,,,,,,
,Pod 4,,CT1860,NE SW,29,48N,74W,13,437285,4874026,2,-,-,,,,,,,,,
,Pod 5,,CT1861,SE NW,16,47N,74W,13,439160,4877789,2,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Hannum (addition),,,,,,,,,,,,,,,,,,,,,
,Main Site (w/add'n),,MD460,NW of SW,9,47N,73W,13,448069,4878898,-,4,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Maverick (addition),,,,,,,,,,,,,,,,,,,,,
,Main Site (w/add'n),,MD463,NW NE,32,49N,75W,13,,,-,-,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Natural Gas Fuels,,,,,,,,,,,,,,,,,,,,,
,Main Site,,CT1923,NE,13,46N,73W,13,,,1,1,-,,,,,,,,,
,Pod 1,,CT1924,SE,12,46N,73W,13,,,1,-,-,,,,,,,,,
,Pod 2,,CT1925,SW,7,46N,72W,13,,,1,-,-,,,,,,,,,
,Pod 3,,CT1926,NW,19,46N,72W,13,,,1,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Jim's Water Service,,,,,,,,,,,,,,,,,,,,,
,Wolf Pack,,,NE/NW,22,50N,74W,13,440587,4905285,-,3,-,,,,,,,,,
,JWS Screw Site 1,,,SE/SE,16,50N,74W,13,439758,4905786,2,-,-,,,,,,,,,
,JWS Screw Site 2,,,SW/SW,15,50N,74W,13,440185,4905760,2,-,-,,,,,,,,,
,JWS Screw Site 3,,,SE/SE,15,50N,74W,13,441490,4905772,2,-,-,,,,,,,,,
,JWS Screw Site 4,,,SW/NE,15,50N,74W,13,441036,4906555,2,-,-,,,,,,,,,
,JWS Screw Site 5,,,NE/SW,14,50N,74W,13,442260,4906176,2,-,-,,,,,,,,,
,JWS Screw Site 6,,,NW/NW,14,50N,74W,13,441882,4907035,2,-,-,,,,,,,,,
,JWS Screw Site 7,,,NW/SE,11,50N,74W,13,441882,4907830,2,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,True Oil,,,,,,,,,,,,,,,,,,,,,
,Pod 1,,CT1927,NE/NE,26,48N,74W,13,442935,4884559,3,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Hi Pro,,,,,,,,,,,,,,,,,,,,,
,Pinto,,,SW NW,24,48N,72W,13,463702,4885999,-,2,-,,,,,,,,,
,HP Screw Site 1,,,NW NE,24,48N,72W,13,463100,4885569,3,-,-,,,,,,,,,
,HP Screw Site 2,,,SE NE,35,48N,72W,13,462602,4882355,3,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Prima,,,,,,,,,,,,,,,,,,,,,
,Prima Screw Site 1,,,SE SW,3,50N,74W,13,441448,4909010,2,-,-,,,,,,,,,
,Prima Screw Site 2,,,NW NW,5,50N,74W,13,437097,4910208,2,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Penneco,,,,,,,,,,,,,,,,,,,,,
,House Creek,,,NE NE,33,46N,74W,13,439609,4863418,-,4,-,,,,,,,,,
,Pennaco SK Screw Site 2,,,NE NW,36,50N,73W,13,453460,4902200,2,-,-,,,,,,,,,
,Schlautman Groves,,,SE SE,10,45N,74W,13,441264,4858951,2,-,-,,,,,,,,,
,Schlautman 10,,,NW SW,10,45N,74W,13,440038,4859411,4,-,-,,,,,,,,,
,Schlautman 8,,,NW NW,8,45N,74W,13,436851,4860230,3,-,-,,,,,,,,,
,Groves Ranch 14,,,SE NW,14,45N,74W,13,442015,4858161,4,-,-,,,,,,,,,
,Groves Ranch 12,,,NW SW,12,45N,74W,13,443284,4859384,4,-,-,,,,,,,,,
,Jordan 33,,,NE NW,33,46N,74W,13,438754,4863384,3,-,-,,,,,,,,,
,Innes,,,NE NE,26,46N,75W,13,442876,4865034,2,-,-,,,,,,,,,
,Mcbeth 27,,,NE SW,27,46N,74W,13,440379,4864205,2,-,-,,,,,,,,,
,Mcbeth 28,,,SW NE,28,46N,74W,13,439223,4864615,4,-,-,,,,,,,,,
,Mcbeth 20,,,SE NW,20,46N,74W,13,437230,4866266,5,-,-,,,,,,,,,
,Mcbeth 7,,,SE NE,7,46N,74W,13,436450,4869542,3,-,-,,,,,,,,,
,Rassbach,,,NE NE,21,46N,74W,13,439684,4866694,5,-,-,,,,,,,,,
,Davis 36,,,NE SE,36,47N,75W,13,434046,4872550,4,-,-,,,,,,,,,
