CP NAME,TWO WK AVG,PCT TODAY VS 2 WK AVG,CNT TODAY,TODAY MINUS 1,TODAY MINUS 2,TODAY MINUS 3,TODAY MINUS 4,TODAY MINUS 5,TODAY MINUS 6,TODAY MINUS 7,TODAY MINUS 8,TODAY MINUS 9,TODAY MINUS 10,TODAY MINUS 11,TODAY MINUS 12,TODAY MINUS 13
PSEG Energy Resources & Trade LLC,54,125.9,68,3,9,20,35,56,61,49,0,0,46,36,69,100
PanCanadian Energy Services Inc.,54,68.3,37,0,0,56,37,47,60,58,0,0,67,51,59,70
"PG&E Energy Trading - Power, L.P.",53,104.8,55,0,0,49,49,55,46,47,0,0,53,84,32,55
"Allegheny Energy Supply Company, LLC",53,127.3,68,0,0,48,62,66,42,56,0,0,44,63,36,49
"Cargill Energy, a division of Cargill, Incorporate",51,91.1,46,0,0,67,56,36,55,59,0,0,42,37,58,49
"Dynegy Power Marketing, Inc.",50,86.2,43,0,0,41,47,63,38,39,0,0,54,67,48,59
"ONEOK Energy Marketing and Trading Company, L.P.",50,97.6,49,0,0,44,47,44,42,53,0,0,45,62,51,65
EnergyUSA-TPC Corp.,49,98.6,48,0,0,57,40,52,34,7,0,0,49,64,66,70
Coral Energy Holding L.P.,49,103.7,51,2,0,46,42,49,48,34,0,0,41,53,58,70
Mieco Inc.,47,118,55,0,0,50,45,57,61,28,0,0,28,48,41,53
"Aquila Capital & Trade, Ltd.",47,115.4,54,0,0,42,45,64,47,40,0,0,37,56,31,52
Hess Energy Trading Company LLC,47,132.2,62,0,0,40,65,68,49,39,0,0,31,15,38,62
IDACORP Energy L.P.,45,185,84,0,0,48,35,72,23,25,0,0,56,56,19,36
ED & F Man International Limited,45,109.9,49,0,0,36,84,40,43,25,0,0,35,29,30,75
TXU Energy Trading Company,44,78.8,35,0,0,45,51,33,48,51,0,0,2,43,71,65
"Aquila Dallas Marketing, L.P.",44,86.6,38,0,0,53,53,40,53,33,0,0,23,34,47,65
"Virginia Power Energy Marketing, Inc.",43,69.4,30,0,0,31,25,46,41,42,0,0,45,48,64,60
American Electric Power Service Corporation,41,77.9,32,0,0,45,38,6,5,71,0,0,52,61,46,55
"CMS Marketing, Services and Trading Company",41,114.1,47,0,0,31,54,54,19,28,0,0,30,34,50,65
"Cargill-Alliant, LLC",41,95.8,39,0,0,44,53,36,19,37,0,0,28,55,44,52
BP Corporation North America Inc.,40,80.2,32,0,0,27,32,48,26,28,0,0,32,59,46,69
Refco Overseas Ltd,40,93.7,37,0,0,23,60,31,31,24,0,0,52,35,37,65
The Bank of Nova Scotia,40,116.2,46,0,0,42,55,21,19,32,0,0,69,38,29,45
"TransCanada Energy Marketing USA, Inc.",37,75.1,28,0,0,23,20,25,21,20,0,0,47,59,60,70
MidAmerican Energy Company,36,109.6,39,0,0,56,38,46,26,32,0,0,27,29,33,30
"Cinergy Marketing & Trading, LLC",36,35.9,13,0,0,17,17,20,33,58,1,4,45,40,48,71
"Conectiv Energy Supply, Inc.",35,118.6,42,0,0,30,48,14,39,27,0,0,24,48,44,38
"Tractebel Energy Marketing, Inc.",33,138.6,46,0,0,38,20,35,29,36,0,0,26,46,26,30
Morgan Stanley Capital Group Inc.,31,119,37,0,0,52,36,42,18,26,0,0,29,26,16,29
Engage Energy Canada L.P.,29,91.8,27,0,0,36,22,30,17,17,0,0,21,39,26,59
Noble Gas Marketing Inc.,28,123.2,34,0,0,41,44,20,22,29,0,0,28,24,18,16
"Sequent Energy Management, L.P.",28,56.7,16,0,0,18,17,39,26,33,0,0,38,31,34,30
"Cinergy Services, Inc.",27,163.6,44,0,0,7,48,53,17,17,0,0,22,11,32,18
El Paso Merchant Energy Europe Ltd,27,124.1,33,0,0,22,30,45,31,26,0,0,17,19,15,28
Dynegy Canada Inc.,26,85.6,22,0,0,20,13,26,20,38,0,0,34,22,24,38
BGML - IM Bridgeline,25,146.8,37,0,0,26,27,25,21,11,0,0,12,38,28,27
"WPS Energy Services, Inc.",24,105.5,25,0,0,30,26,29,21,26,0,0,25,25,20,10
"Avista Energy, Inc.",23,165.9,38,0,0,25,21,14,10,22,0,0,39,39,11,10
Nexen Marketing,22,98.2,22,0,1,17,27,14,8,18,0,0,17,39,30,32
Amerada Hess Corporation,21,29.3,6,0,0,12,25,8,14,15,0,0,18,50,30,27
"Bank of America, National Association",21,149.5,32,1,0,15,42,20,23,26,0,0,9,28,8,11
HQ Energy Services (U.S.) Inc.,21,117.1,24,1,5,15,24,21,19,12,0,0,16,24,33,17
Virginia Electric and Power Company,20,64.7,13,0,0,16,20,32,26,14,0,0,17,23,27,13
AEP Energy Services Ltd,20,105.5,21,0,0,29,22,16,1,13,0,0,15,19,36,27
NJR Energy Services Company,20,35.5,7,0,0,16,13,22,20,26,0,0,22,40,21,10
Coral Energy Canada Inc.,20,81.2,16,0,0,18,5,13,12,19,0,0,27,43,19,25
Texaco Natural Gas Inc.,19,64.9,12,0,0,24,7,10,15,16,0,0,21,31,25,24
ADM Investor Services International Limited,19,114,22,0,0,20,40,12,11,12,0,0,12,11,10,43
Nicor Gas Company,19,41.2,8,0,0,12,19,18,29,30,0,0,27,16,26,9
"Enron Energy Services, Inc.",19,129.5,25,0,0,21,12,8,21,26,0,0,22,20,14,24
BP Canada Energy Company,19,104.2,20,0,0,25,28,10,15,24,0,0,11,16,13,30
Barclays Bank PLC,18,87.9,16,0,0,15,54,24,10,9,0,0,17,9,11,17
BNP Paribas,18,118.6,21,0,0,16,26,7,15,4,0,0,10,28,31,19
AIG International Limited,18,130.7,23,0,0,19,22,18,16,23,0,0,23,6,13,13
Hess Energy Trading Company UK Limited as agents f,18,21.9,4,0,0,13,22,32,10,23,0,0,32,17,19,11
EDF Trading Limited,18,44,8,0,0,9,15,24,17,34,0,0,26,10,18,21
"OGE Energy Resources, Inc.",18,28.4,5,0,0,12,6,3,13,25,0,0,45,24,14,29
Credit Lyonnais Rouse Limited,17,57.8,10,0,0,7,8,15,23,14,0,0,33,17,16,30
Marathon Oil Company,16,24.5,4,0,0,20,15,15,24,18,0,0,18,16,18,15
Duke Energy Marketing Limited Partnership,16,166.7,26,0,0,15,15,8,17,13,0,0,11,16,15,20
Sempra Energy Europe Ltd,16,190.2,31,0,0,5,6,22,26,21,0,0,12,9,15,16
Prudential Bache International Limited,16,85.9,14,0,0,37,14,27,8,5,0,0,11,10,11,26
"CLECO Marketing and Trading, LLC",16,118,19,0,0,15,14,18,11,21,0,0,14,26,16,7
"Western Gas Resources, Inc.",15,153.3,23,0,0,17,26,14,5,17,0,0,10,20,9,9
"Adams Resources Marketing, Ltd.",15,158.6,23,0,0,26,18,3,2,11,0,0,12,20,19,11
Koch Metals Trading Limited,15,67.6,10,0,0,15,31,14,7,10,0,0,16,9,14,22
Pinnacle West Capital Corporation,15,205.5,30,0,0,26,18,13,10,13,0,0,16,17,1,2
Colonial Energy Inc.,15,79.5,12,0,0,11,10,7,23,18,0,0,14,10,21,25
Aquila Energy Limited,14,223,31,0,0,5,21,12,5,13,0,0,2,17,18,15
"Mirant Americas Energy Marketing Canada, Ltd.",14,58.4,8,0,0,17,21,5,11,6,0,0,11,27,12,19
FirstEnergy Solutions Corp.,14,105.6,15,0,0,12,12,14,13,11,0,0,4,17,20,24
NRG Power Marketing Inc.,14,97.9,14,0,0,10,19,14,5,11,0,0,7,35,13,15
"Petrocom Energy Group, Ltd.",14,107.1,15,0,0,16,12,25,9,18,0,0,15,9,12,9
Natexis Metals Limited,12,122,15,0,0,17,19,16,9,9,0,0,22,1,6,9
Conoco Inc.,11,47.6,5,0,0,5,3,2,0,12,0,0,20,16,17,25
"Coral Power, L.L.C.",11,252.3,27,0,0,7,12,10,9,6,0,0,8,7,6,15
Standard Bank London Limited,11,137.6,15,0,0,13,13,6,11,3,0,0,15,3,8,22
Firm Trading Bridgeline Gas Marketing,11,132.1,14,0,0,3,10,5,1,7,0,0,11,21,18,16
Public Service Company Of Colorado,10,82.5,8,0,0,22,4,17,4,8,0,0,12,19,1,2
Manro Haydan Trading,10,210,21,0,0,0,4,7,4,4,0,0,13,12,4,31
TransAlta Energy Marketing (US) Inc.,10,40.4,4,0,0,6,5,11,6,1,0,0,13,36,9,8
TotalFinaElf Gas and Power Limited,10,0,0,0,0,0,0,0,2,9,0,0,17,24,18,25
"Occidental Energy Marketing, Inc.",10,126.3,12,0,0,11,6,8,21,18,0,0,3,1,9,6
Dynegy UK Limited,10,92.8,9,0,0,10,19,6,2,11,0,0,6,20,5,9
"Cross Timbers Energy Services, Inc.",10,173.5,17,0,0,16,14,10,10,3,0,0,1,8,11,8
"IGI Resources, Inc.",9,138.3,13,0,0,20,14,20,4,4,0,0,2,5,3,9
Edison Mission Marketing & Trading Inc.,9,42.6,4,0,0,9,6,26,9,8,0,0,7,16,5,4
"AES NewEnergy, Inc.",9,85.1,8,0,0,6,14,11,16,17,0,0,6,11,2,3
BP Canada Energy Marketing Corp.,9,54.3,5,0,0,8,5,10,6,9,0,0,10,9,12,18
Amalgamated Metal Trading Limited,9,87.9,8,0,0,15,13,6,2,4,0,0,9,18,5,11
"Ameren Energy, Inc., as agent",9,81.4,7,0,0,5,14,21,5,6,0,0,5,6,7,10
Reliant Energy Services Canada Ltd.,9,170.2,16,0,0,23,6,4,6,1,0,0,2,9,19,8
"Coast Energy Canada, Inc.",9,117.6,10,0,0,9,12,12,4,11,0,0,4,8,8,7
Pacificorp,9,90.9,8,0,0,13,11,16,5,19,0,0,6,9,0,1
The Chase Manhattan Bank,9,78.7,7,0,0,5,12,10,17,6,0,0,17,9,4,2
Southern California Gas Company,9,34.1,3,0,0,8,10,11,9,12,0,0,11,2,8,14
New Jersey Natural Gas Company,9,22.2,2,0,0,2,8,4,14,10,0,0,9,13,21,7
Societe Generale,9,0,0,0,0,0,0,0,0,8,0,0,16,17,17,36
Northern Indiana Public Service Company,8,0,0,0,0,0,2,16,5,5,0,0,9,5,17,16
"DTE Energy Trading, Inc.",8,126.6,10,0,0,6,5,21,8,5,0,0,2,5,6,11
TransAlta Energy Marketing Corp.,8,38,3,0,0,4,4,6,4,13,0,0,8,9,15,13
"PG&E Energy Trading, Canada Corporation",8,116.9,9,0,0,7,4,3,7,7,0,0,9,19,5,7
"NUI Energy Brokers, Inc.",8,96.4,8,0,0,5,8,13,7,5,0,0,4,13,6,14
Powerex Corp.,8,92.1,7,0,0,14,7,10,8,7,0,0,15,4,2,2
Prior Energy Corporation,8,59.5,5,0,0,6,5,5,9,10,0,0,10,8,13,13
"ConAgra Energy Services, Inc.",8,120,9,0,0,8,5,5,6,3,0,0,7,23,5,4
Wisconsin Gas Company,8,83.3,7,0,0,8,10,5,0,9,0,0,11,4,14,16
Sucden (UK) Ltd.,8,194.8,15,0,0,9,7,5,4,4,0,0,8,3,4,18
Firm Trade Bridgeline,8,131,11,2,3,0,17,12,14,7,0,0,3,7,2,11
Elsam A/S,8,0,0,0,0,0,5,14,3,18,0,0,10,13,9,11
Fortum Gas Ltd.,7,98.6,7,0,0,6,4,17,4,13,0,0,5,7,3,5
Entergy-Koch Trading Limited,7,45.5,3,0,0,3,1,17,3,9,0,0,5,7,8,10
"Select Energy, Inc.",7,157.1,11,0,0,7,3,11,8,4,0,0,3,13,6,4
"Coast Energy Group, a division of Cornerstone Prop",7,100,7,0,0,8,6,9,7,9,0,0,7,4,4,9
"Carr Futures, Inc",7,104.5,7,0,0,8,7,0,7,7,0,0,0,0,4,27
"Exelon Generation Company, LLC",7,119.4,8,0,0,3,7,5,0,1,0,0,10,9,14,10
"Hafslund Energy Trading, LLC",7,294.1,20,0,0,9,13,12,3,0,0,0,2,5,1,3
Triland Metals Limited,7,58.8,4,0,0,8,5,8,9,6,0,0,9,2,8,9
Investec Bank (UK) Limited,7,71.4,5,0,0,4,8,6,12,4,0,0,6,4,12,9
Golly Hott Trading Limited,7,42.9,3,0,0,2,19,9,5,0,0,0,7,5,2,18
TXU Europe Energy Trading BV,7,44.1,3,0,0,6,4,8,8,7,0,0,5,13,6,8
Enbridge Marketing (U.S.) Inc.,7,125,9,0,0,4,3,6,8,2,0,0,12,8,10,10
"City of Santa Clara California, Silicon Valley Pow",7,81.1,6,0,0,3,6,14,5,6,0,0,18,13,3,0
"Nicor Enerchange, LLC",7,44.1,3,0,0,9,6,9,3,1,0,0,10,12,5,10
Bewag AG,7,257.1,18,0,0,0,1,4,8,4,0,0,6,14,7,8
Atmos Energy Corporation,6,224.1,13,0,0,11,8,5,7,2,0,0,0,2,4,6
"Tenaska Marketing Canada, a division of TMV Corp.",6,31.3,2,0,0,5,5,3,3,6,0,0,8,10,8,14
"NG Energy Trading, L.L.C.",6,0,0,0,0,4,3,4,12,9,0,0,9,11,2,3
Engelhard International Limited,6,65.6,4,0,0,5,10,11,6,5,0,0,4,10,0,6
Refco Investments Services Pte Ltd,6,35.7,2,0,0,2,9,4,2,1,0,0,10,4,7,15
GNI Limited,6,155.2,9,0,0,2,9,4,1,2,0,0,8,6,3,14
The New Power Company,6,145.5,8,0,0,9,2,10,2,6,0,0,5,6,5,2
"PPL EnergyPlus, LLC",6,69,4,0,0,0,0,0,1,9,0,0,9,11,6,18
Glencore Ltd.,6,137.9,8,0,0,2,6,7,12,2,0,0,0,12,5,4
Anadarko Energy Services Company,6,109.1,6,0,0,3,2,4,4,6,0,0,7,10,9,4
Cargill International S.A.,6,142.9,9,0,0,5,5,14,8,8,0,0,6,4,2,2
"Koch Midstream Services Company, LLC",6,161.3,10,0,0,8,2,6,4,9,0,0,8,11,4,0
Louis Dreyfus Energy Services L.P.,6,0,0,0,0,0,0,7,7,3,0,0,10,12,10,6
"TotalFinaElf Gas & Power North America, Inc.",5,56.6,3,0,0,5,1,2,10,2,0,0,5,11,4,10
Mitsui Bussan Commodities Limited,5,76.9,4,0,0,4,9,8,0,4,0,0,5,4,7,7
Texla Energy Management Inc.,5,56.6,3,0,0,5,8,5,6,8,0,0,4,8,4,2
BKW-FMB Energie AG,5,169.8,9,0,0,7,0,7,11,11,0,0,3,1,3,1
CBF Energimegling AS,5,55.6,3,0,0,4,12,1,5,3,0,0,7,6,6,7
IFX Limited,5,19.2,1,0,0,3,8,3,2,4,0,0,10,4,3,14
Duke Energy Merchants LLC,5,0,0,0,0,0,3,11,0,0,0,4,2,4,6,21
TXU Europe Energy Trading Ltd.,5,39.2,2,0,0,6,4,2,6,7,0,0,3,10,6,5
