1.,LOAD PROFILE FOR LAST TWO YEARS BY DAY,,,,,,,,,,,,
,,in Dth/day,,,,,,,,,,,
Average,,28005.890322580653,27426.531428571423,24045.254838709676,22916.10111111112,14160.93433922997,9783.676666666666,6862.472528616026,5798.499999999999,7449.8133333333335,8373.164828303848,15285.013333333336,26748.138709677412
Customer Transport (dth/day),,11072.774193548386,12208,12113,10932,9990,10739,9411,10052,9670,9306,11885,11002
,,,,,,,,,,,,,
,,,==>Total Deliveries minum Transport Customer Consumption,,,,,,,,,,
,,,,,,,,,,,,,
,,2000-01-01 00:00:00,2000-02-01 00:00:00,2000-03-01 00:00:00,2000-04-01 00:00:00,2000-05-01 00:00:00,2000-06-01 00:00:00,2000-07-01 00:00:00,2000-08-01 00:00:00,2000-09-01 00:00:00,2000-10-01 00:00:00,2000-11-01 00:00:00,2000-12-01 00:00:00
,,,,,,,,,,,,,
,1,26407.293548387097,28690.534482758623,28888.625806451615,11530.266666666668,10072.1,7890.6,3176.1,8750,6708.6,6001.7,19721.2,26423
,2,29557.4935483871,22605.73448275862,30077.42580645161,9045.766666666668,11993.7,7193.8,192,8768.1,5541.5,5966.6,15719,21899
,3,35526.2935483871,23955.834482758626,29362.825806451612,14015.566666666668,11554.9,4703.2,4189.6,5354.8,4487,6750.3,15424.7,21647.2
,4,33766.4935483871,26351.934482758625,35073.92580645161,15721.666666666666,12015,3219.2,161,4682.2,5262.9,6799.8,14812,26638.8
,5,33924.893548387096,17494.934482758625,36969.22580645161,17718.066666666666,11728.8,6306,4380.1,3871.6,6083.6,6892.1,15383.8,19953
,6,32365.293548387097,18027.33448275862,38807.02580645162,17316.76666666667,10381.3,8196.6,6073.5,3644.4,5630.9,7372.9,15586.2,28339.4
,7,38964.6935483871,19559.73448275862,41304.625806451615,17076.966666666667,8236,6771.8,6046.7,5741.4,5555.7,6792.6,18117.5,19670.9
,8,34714.5935483871,22924.434482758625,40197.22580645161,15324.966666666669,9004.9,14585.3,5164.8,5198.3,6121.4,6035.1,20282.6,20585.9
,9,32575.5935483871,25665.63448275862,38531.92580645161,10710.166666666666,8792,8292.7,855.2999999999993,5410,5685.4,7862.8,19519.4,18260.6
,10,32116.5935483871,28850.034482758623,28585.725806451614,14457.166666666666,9328,6925.7,4385.8,5030.7,5403.8,9789.2,24334.9,22223
,11,28282.393548387096,29502.534482758623,20062.725806451614,16308.566666666668,10539.2,4632.1,6734.1,4551.4,5152.1,11783.4,25108,29556.5
,12,27578.1935483871,23079.23448275862,18558.225806451614,16374.666666666666,9577.6,5885.9,6510.6,4254.7,4797.7,11416.2,27986.9,28832.4
,13,25747.4935483871,22387.934482758625,21038.825806451612,15705.166666666666,7725.6,7136.4,6931.4,3006,4949.2,10706.1,31447.9,34108.1
,14,20319.993548387094,25815.434482758625,23698.825806451612,18068.86666666667,6156.3,7269.9,6323.8,6695.7,4733.2,8915.5,35510.9,31080.8
,15,16570.393548387096,26798.73448275862,25355.42580645161,16693.466666666667,7643.3,5961.5,10086.8,5323.1,5215,8272.2,36614.3,29519.8
,16,16621.993548387094,35777.334482758626,21751.725806451614,15714.766666666668,11099.8,6789.1,12788.6,6872.3,4752.7,9915.6,32594.6,23382.5
,17,18440.793548387097,32510.534482758623,18461.525806451613,26421.066666666666,10661.3,3974.4,12715.8,5033.6,4128.8,9015,28544,21353
,18,14137.293548387095,29325.934482758625,16573.025806451613,24645.766666666663,9064.6,3128.3,6183,4481.6,7120.7,8921.1,28990,21815.6
,19,15425.193548387097,18224.434482758625,16466.025806451613,23230.566666666666,7698.1,5948.1,5579.9,3025.2,5994.8,8774.2,25424.3,21476.2
,20,14940.493548387096,20050.034482758623,19482.625806451615,19106.666666666664,6367.2,7054.8,6281.1,3411,5341.7,9520.3,23492.9,25187.8
,21,19205.893548387096,37981.03448275862,21156.625806451615,15117.666666666666,5195.3,6762.2,7388.3,4446.5,6648.7,7656.9,20098.2,28083.1
,22,20971.393548387096,37588.23448275862,22110.025806451613,12361.566666666668,6620.1,6741.3,5202.5,4901.8,6397.2,6929.8,22983.9,29222.3
,23,20907.5935483871,45701.03448275862,21631.325806451612,11485.666666666666,8236.9,6568.5,3988.6,4903.3,5544.2,8702.6,24696.7,26177.5
,24,17557.893548387096,44737.434482758625,21623.425806451614,16230.066666666668,8527,3144.3,6532,5624.4,4044,8845.4,23431.2,29767.5
,25,23832.293548387097,33869.334482758626,23369.225806451614,14563.166666666666,10072.5,1714.2,0,5189,5920,9768.6,21483.1,19522
,26,25045.793548387097,27041.73448275862,19338.225806451614,13061.466666666669,8250.2,4448.1,1983.5,4795.1,6285.8,10790.6,18305.1,25366.7
,27,28734.1935483871,32857.434482758625,21192.125806451615,13638.766666666668,5671.5,5851.9,1492.6,3873.1,5516,15333.2,25124.4,27739.4
,28,30522.5935483871,33166.334482758626,22629.525806451617,15369.466666666669,2162.9,8790,4510.5,5803.5,6031,13200.7,22076.8,28574.3
,29,24909.9935483871,34649.13448275862,21364.225806451614,11753.066666666668,3619.6,7816.9,6326.5,6838.2,6010.3,14618.3,23495.4,27333.8
,30,21149.993548387094,,19727.125806451615,7303.966666666669,6413.7,5715.6,3753.5,6837.5,5746.6,18213.9,25619.1,24790.1
,31,23349.293548387097,,16829.925806451614,,5752.7,,9875.5,6878.1,,19202.8,,22036.9
Average,,25295.81935483871,28454.827586206902,25168.364516129037,15535.726666666667,8392.325806451614,6313.946666666667,5348.822580645162,5264.406451612905,5560.349999999999,9702.112903225809,23397.633333333335,25179.58387096774
Customer Transport,,10810.806451612903,9742.965517241379,10491.774193548386,9512.433333333332,10073,8553.3,7743.225806451613,8326.709677419354,8353.3,8836,9314.266666666666,8444.870967741936
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,2001-01-01 00:00:00,2001-02-01 00:00:00,,,,,,,,,,
,,,,,,,,,,,,,
,1,20449.5,29834.4,,,,,,,,,,
,2,22183.1,25617.3,,,,,,,,,,
,3,17982.9,17580,,,,,,,,,,
,4,20325.9,9633.5,,,,,,,,,,
,5,25340.5,11416.9,,,,,,,,,,
,6,19973.2,20289.1,,,,,,,,,,
,7,21744.7,30516,,,,,,,,,,
,8,31762.4,34996.1,,,,,,,,,,
,9,30588,36527.4,,,,,,,,,,
,10,36173.2,30104.1,,,,,,,,,,
,11,39613.3,29798.9,,,,,,,,,,
,12,47635.3,32571.2,,,,,,,,,,
,13,39503.9,41120.7,,,,,,,,,,
,14,35838.8,38959.8,,,,,,,,,,
,15,39929.4,36734.9,,,,,,,,,,
,16,48982.2,29871.7,,,,,,,,,,
,17,51267.4,27717.5,,,,,,,,,,
,18,47591.2,22026.6,,,,,,,,,,
,19,44745.9,27806.9,,,,,,,,,,
,20,31752.1,25894.9,,,,,,,,,,
,21,29084.6,27709.2,,,,,,,,,,
,22,26552.7,28076.8,,,,,,,,,,
,23,30216.2,35123.4,,,,,,,,,,
,24,33119,39297.4,,,,,,,,,,
,25,36913,37490.9,,,,,,,,,,
,26,45908.2,35741.6,,,,,,,,,,
,27,39672.1,38732.4,,,,,,,,,,
,28,35015.2,39130.3,,,,,,,,,,
,29,40764.8,,,,,,,,,,,
,30,35167.8,,,,,,,,,,,
,31,38213.6,,,,,,,,,,,
Average,,34322.9064516129,30011.425000000007,,,,,,,,,,
