,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investor Grade Bonds issued in the U.S.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public US Convertible,13.0,26,7.0,15,17.0,15.6,7,26,,,,,,,,,,,,,,,,,,
,Public US Non-Convertible,2247.0,3125,5288.0,6257,5971.0,4577.6,2247,6257,,,,,,,,,,,,,,,,,,
,         Subtotal,2260.0,3151,5295.0,6272,5988.0,4593.200000000001,2254,6283,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,144-A Convertible,2.0,9,12.0,6,6.0,7,2,12,,,,,,,,,,,,,,,,,,
,144-A Non-Convertible,122.0,142,363.0,572,878.0,415.4,122,878,,,,,,,,,,,,,,,,,,
,      Subtotal,124.0,151,375.0,578,884.0,422.4,124,890,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private Convertible,0.0,0,1.0,1,3.0,1,0,3,,,,,,,,,,,,,,,,,,
,Private Non-Convertible,22.0,28,73.0,65,75.0,52.6,22,75,,,,,,,,,,,,,,,,,,
,         Subtotal,22.0,28,74.0,66,78.0,53.6,22,78,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investor Grade Bonds issued outside the U.S.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Euro/Foreign Convertible,4.0,19,18.0,27,62.0,26,4,62,,,,,,,,,,,,,,,,,,
,Euro/Foreign Non-Convertible,1166.0,1684,1772.0,1933,2332.0,1777.4,1166,2332,,,,,,,,,,,,,,,,,,
,         Subtotal,1170.0,1703,1790.0,1960,2394.0,1803.4,1170,2394,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bank Products,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic,3494.0,4500,5561.0,4587,3974.0,4423.2,3494,5561,,,,,,,,,,,,,,,,,,
,International,4860.0,6387,8111.0,6275,5855.0,6297.6,4860,8111,,,,,,,,,,,,,,,,,,
,         Subtotal,8354.0,10887,13672.0,10862,9829.0,10720.8,8354,13672,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Bonds:  Securities Data Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Bank Products: Loan Pricing Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Excluding MBS/ABS),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summary Statistics,,5 year Average,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bond offerings (investor grade),,6770.4,,,,,,,,,,,,,,,,,,,,,,,,
,m&a transactions (40% of total),,12703.44,,,,,,,,,,,,,,,,,,,,,,,,
,bank products,,10720.8,,,,,,,,,,,,,,,,,,,,,,,,
