,,,,,,,
,,,,,,,
"Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided."
AEP   ,05FLDAL1,05FLDAL1_Z    ,05FLDAL1,0,,,
AEP   ,05GAVIN ,05GAVIN_1     ,05GAVIN ,1300,,,
AEP   ,05GAVIN ,05GAVIN_2     ,05GAVIN ,1300,,,
AEP   ,05GLENL1,05GLENL1_5    ,05GLENL1,90,,,
AEP   ,05GLENL2,05GLENL2_6    ,05GLENL2,235,,,
AEP   ,05HARRIS,05HARRIS_5    ,05HARRIS,90,,,
AEP   ,05INEZ  ,05INEZ_S      ,05INEZ  ,0,,,
AEP   ,05KAMME3,05KAMME3_2    ,05KAMMER,800,,,
AEP   ,05KAMME7,05KAMME7_1    ,05KAMMER,800,,,
AEP   ,05KAMMR1,05KAMMR1_1    ,05KAMMR1,200,,,
AEP   ,05KAMMR1,05KAMMR1_2    ,05KAMMR1,200,,,
AEP   ,05KAMMR1,05KAMMR1_3    ,05KAMMR1,200,,,
AEP   ,05KANAW3,05KANAW1_1    ,05KANAWH,195,,,
AEP   ,05KANAW3,05KANAW1_2    ,05KANAWH,195,,,
AEP   ,05LEESVI,05LEESVI_1    ,05LEESVI,40,,,
AEP   ,05MOUNTN,05MOUNTN_1    ,05MOUNTN,1300,,,
AEP   ,05MUSKN3,05MUSKN3_2    ,05MUSKNG,190,,,
AEP   ,05MUSKN3,05MUSKN3_4    ,05MUSKNG,205,,,
AEP   ,05MUSKN3,05MUSKN3_5    ,05MUSKNG,575,,,
AEP   ,05MUSKN3,05MUSKN1_1    ,05MUSKNG,190,,,
AEP   ,05MUSKN3,05MUSKN1_3    ,05MUSKNG,205,,,
AEP   ,05OPOSSC,05OPOSSC_Z    ,05OPOSSC,0,,,
AEP   ,05PHILPO,05PHILPO_1    ,05PHILPO,15,,,
AEP   ,05RICHCT,05RICHCT_1    ,05RICHCT,36,,,
AEP   ,05RICHCT,05RICHCT_2    ,05RICHCT,36,,,
AEP   ,05ROCKPT,05ROCKPT_1    ,05ROCKPT,1300,,,
AEP   ,05ROCKPT,05ROCKPT_2    ,05ROCKPT,1300,,,
AEP   ,05RUTLAN,05RUTLAN_1    ,05RUTLAN,42,,,
AEP   ,05SMITHM,05SMITHM_1    ,05SMITHM,70,,,
AEP   ,05SMITHM,05SMITHM_2    ,05SMITHM,185,,,
AEP   ,05SMITHM,05SMITHM_3    ,05SMITHM,105,,,
AEP   ,05SMITHM,05SMITHM_4    ,05SMITHM,185,,,
AEP   ,05SMITHM,05SMITHM_5    ,05SMITHM,70,,,
AEP   ,05SORN_Y,05SORN_Y_Z    ,05SORN Y,0,,,
AEP   ,05SPORN ,05SPORNA_1    ,05SPORNA,145,,,
AEP   ,05SPORN ,05SPORNA_2    ,05SPORNA,145,,,
AEP   ,05SPORN ,05SPORNA_3    ,05SPORNA,145,,,
AEP   ,05SPORN ,05SPORNA_4    ,05SPORNA,145,,,
AEP   ,05SPORN ,05SPORNB_5    ,05SPORNB,439.99,,,
AEP   ,05TANNE3,05TANNE3_3    ,05TANNER,200,,,
AEP   ,05TANNE3,05TANNE3_4    ,05TANNER,500,,,
AEP   ,05TANNE3,05TANNE1_1    ,05TANNER,140,,,
AEP   ,05TANNE3,05TANNE1_2    ,05TANNER,140,,,
AEP   ,05TID3  ,05TID3_2      ,05TIDD  ,585,,,
AEP   ,05TID3  ,05TID3_3      ,05TIDD  ,630,,,
AEP   ,05TID3  ,05TID1_1      ,05TIDD  ,585,,,
AEP   ,05WWVSTA,05WWVSTA_1    ,05WWVSTA,33,,,
AEP   ,05WWVSTA,05WWVSTA_2    ,05WWVSTA,63,,,
ALTE  ,BLK69_1 ,BLK_G3_3      ,BLK G3  ,27,,,
ALTE  ,BLK69_1 ,BLK_G3_4      ,BLK G3  ,28,,,
ALTE  ,CAR_69  ,CAR_G1_1      ,CAR G1  ,6,,,
ALTE  ,CHA_138 ,CHA1_18_1     ,CHA1 18 ,175,,,
ALTE  ,CHA_138 ,CHA2_18_2     ,CHA2 18 ,175,,,
ALTE  ,CHA_138 ,CHA3_18_3     ,CHA3 18 ,175,,,
ALTE  ,COL_G1  ,COL_G1_1      ,COL G1  ,525,,,
ALTE  ,COL_G2  ,COL_G2_2      ,COL G2  ,553.49,,,
ALTE  ,EDG_69  ,EDG_G3_3      ,EDG G3  ,66,,,
ALTE  ,EDG_69  ,EDG_G4_4      ,EDG G4  ,331,,,
ALTE  ,EDG_69  ,EDG_G5_5      ,EDG G5  ,400,,,
ALTE  ,KIL_69  ,KIL_G1_1      ,KIL G1  ,6,,,
ALTE  ,NED_69  ,NED_G1_1      ,NED G1  ,113,,,
ALTE  ,NED_69  ,NED_G2_2      ,NED G2  ,113,,,
ALTE  ,PDH69_1 ,PDS_G1_1      ,PDS G1  ,7,,,
ALTE  ,PDH69_2 ,PDS_G2_2      ,PDS G2  ,7,,,
ALTE  ,ROE_138 ,ROE_138_1     ,ROE 138 ,0,,,
ALTE  ,ROE_138 ,ROE_138_2     ,ROE 138 ,0,,,
ALTE  ,ROR_69  ,ROR_G1_1      ,ROR G1  ,66,,,
ALTE  ,ROR_69  ,ROR_G2_2      ,ROR G2  ,66,,,
ALTE  ,ROR_69  ,ROR_G3_3      ,ROR G3  ,27,,,
ALTE  ,ROR_69  ,ROR_G5_5      ,ROR G5  ,45,,,
ALTE  ,ROR_69  ,ROR_G6_6      ,ROR G6  ,52,,,
ALTE  ,SFL_69  ,SFL_G1_1      ,SFL G1  ,88,,,
ALTE  ,SFL_69  ,SFL_G2_2      ,SFL G2  ,88,,,
ALTE  ,SFL_69  ,SFL_G3_3      ,SFL G3  ,88,,,
ALTE  ,SFL_69  ,SFL_G4_4      ,SFL G4  ,88,,,
ALTE  ,SPU_69  ,SPU_G1_1      ,SPU G1  ,37,,,
ALTE  ,TUR_69  ,TUR_G4_4      ,TUR G4  ,14,,,
ALTW  ,6_ST_Y  ,6_ST_4G_4     ,6 ST  4G,19,,,
ALTW  ,6_ST_Y  ,6_ST_7G_7     ,6 ST  7G,16,,,
ALTW  ,6_ST_Y  ,6_ST_7_8      ,6 ST   7,31,,,
ALTW  ,AGENCY_8,AGENCY_8_1    ,AGENCY 8,80,,,
ALTW  ,ARNOLD1G,ARNOLD1G_1    ,ARNOLD1G,566.5,,,
ALTW  ,BEVCHN28,BEVCHN28_1    ,BEVCHN28,18,,,
ALTW  ,BRLGTN_5,BURLIN1G_1    ,BURLIN1G,222,,,
ALTW  ,BRLGTN_5,BRLGTN28_1    ,BRLGTN28,36,,,
ALTW  ,BRLGTN_5,BRLGTN28_2    ,BRLGTN28,36,,,
ALTW  ,BVR_CH65,BVRCH52G_2    ,BVRCH52G,236,,,
ALTW  ,CGORDO1G,CGORDO1G_1    ,CGORDO1G,42,,,
ALTW  ,CNTRVIL1,CNTRVIL1_1    ,CNTRVIL1,24,,,
ALTW  ,CNTRVIL1,CNTRVIL1_2    ,CNTRVIL1,25,,,
ALTW  ,CNTRVIL1,CNTRVIL1_3    ,CNTRVIL1,6.3,,,
ALTW  ,DBQ_8TH8,DBQ_8TH8_2    ,DBQ 8TH8,13,,,
ALTW  ,DBQ_8TH8,DBQ_8TH8_3    ,DBQ 8TH8,30,,,
ALTW  ,DBQ_8TH8,DBQ_8TH8_4    ,DBQ 8TH8,35,,,
ALTW  ,FAIR_8  ,FAIR_8_1      ,FAIR   8,24,,,
ALTW  ,FAIR_8  ,FAIR_8_2      ,FAIR   8,42,,,
ALTW  ,FAIRMON2,FAIRMON2_3    ,FAIRMON2,5,,,
ALTW  ,FAIRMON2,FAIRMON2_4    ,FAIRMON2,6,,,
ALTW  ,FAIRMON2,FAIRMON2_5    ,FAIRMON2,12,,,
ALTW  ,FAIRMON2,FAIRMON2_6    ,FAIRMON2,7,,,
ALTW  ,FAIRMON2,FAIRMON2_7    ,FAIRMON2,6.5,,,
ALTW  ,FOX_LK_5,FOXLK53G_3    ,FOXLK53G,88.5,,,
ALTW  ,FOX_LK_5,FOXLKG19_1    ,FOXLKG19,12,,,
ALTW  ,FOX_LK_5,FOXLKG29_2    ,FOXLKG29,12,,,
ALTW  ,FOX_LK_5,FOXLKG49_4    ,FOXLKG49,21.3,,,
ALTW  ,GRINNEL8,GRINNEL8_1    ,GRINNEL8,30,,,
ALTW  ,GRINNEL8,GRINNEL8_2    ,GRINNEL8,25,,,
ALTW  ,IPSCO_3 ,IPSCOSV9_1    ,IPSCOSV9,0,,,
ALTW  ,LAKFLDM8,LAKFLDM8_1    ,LAKFLDM8,3.3,,,
ALTW  ,LANSING8,LANSING8_1    ,LANSING8,16,,,
ALTW  ,LANSING8,LANSING8_2    ,LANSING8,11,,,
ALTW  ,LANSING8,LANS5_3G_3    ,LANS5 3G,35.8,,,
ALTW  ,LANSINGW,LANS5_4G_4    ,LANS5 4G,277,,,
ALTW  ,LIME_CK5,LMCK_W_8_1    ,LMCK W 8,35,,,
ALTW  ,LIME_CK5,LMCK_E_8_2    ,LMCK E 8,35,,,
ALTW  ,M_TOWN_7,M_TOWN_7_1    ,M-TOWN 7,58.01,,,
ALTW  ,M_TOWN_7,M_TOWN_7_2    ,M-TOWN 7,58.01,,,
ALTW  ,M_TOWN_7,M_TOWN_7_5    ,M-TOWN 7,32.04,,,
ALTW  ,M_TOWN_7,M_TOWN_7_6    ,M-TOWN 7,32.04,,,
ALTW  ,M_TOWN_7,M_TOWN_5_3    ,M-TOWN 5,58,,,
ALTW  ,M_TOWN_7,M_TOWN3G_7    ,M-TOWN3G,82,,,
ALTW  ,MONTGG19,MONTGG19_1    ,MONTGG19,22.2,,,
ALTW  ,OTTUMWA5,OTTUMW1G_1    ,OTTUMW1G,713.1,,,
ALTW  ,PRAR_CK7,PR_CRK1G_1    ,PR CRK1G,21.5,,,
ALTW  ,PRAR_CK7,PR_CRK1G_A    ,PR CRK1G,49,,,
ALTW  ,PRAR_CK7,PR_CRK4G_4    ,PR CRK4G,149,,,
ALTW  ,PRAR_CK7,PRAR_CK7_2    ,PRAR CK7,19.05,,,
ALTW  ,PRAR_CK7,PRAR_CK7_3    ,PRAR CK7,49,,,
ALTW  ,SPRING_V,SPRING_V_1    ,SPRING V,3.2,,,
ALTW  ,SPRING_V,SPRING_V_2    ,SPRING V,0.8,,,
ALTW  ,SPRING_V,SPRING_V_3    ,SPRING V,1.8,,,
ALTW  ,WELLS   ,WELLS_1       ,WELLS   ,1.2,,,
ALTW  ,WELLS   ,WELLS_2       ,WELLS   ,1.5,,,
ALTW  ,WELLS   ,WELLS_3       ,WELLS   ,1,,,
ALTW  ,WELLS   ,WELLS_4       ,WELLS   ,2,,,
ALTW  ,WELLS   ,WELLS_5       ,WELLS   ,2.2,,,
ALTW  ,WESTBKM8,WESTBKM8_1    ,WESTBKM8,3,,,
AMRN  ,ALSEY_1 ,ALSEY_1_1     ,ALSEY  1,30,,,
AMRN  ,ALSEY_1 ,ALSEY_1_2     ,ALSEY  1,30,,,
AMRN  ,ALSEY_1 ,ALSEY_2_3     ,ALSEY  2,20,,,
AMRN  ,ALSEY_1 ,ALSEY_2_4     ,ALSEY  2,20,,,
AMRN  ,AVEN1   ,AVENO_1       ,AVENA   ,47,,,
AMRN  ,CAL_G1  ,CAL_G1_1      ,CAL   G1,1196,,,
AMRN  ,COFFEN21,COFFEN21_1    ,COFFEN 1,360,,,
AMRN  ,COFFEN21,COFFEN_2_2    ,COFFEN 2,590,,,
AMRN  ,CONWY_1 ,CONWY_1_1     ,CONWY 1 ,47,,,
AMRN  ,GIBSN_G1,GIBSN_G1_1    ,GIBSN G1,118,,,
AMRN  ,GIBSN_G1,GIBSN_G2_2    ,GIBSN G2,118,,,
AMRN  ,GRAND_TW,GRTW_3_3      ,GRTW   3,87,,,
AMRN  ,GRAND_TW,GRTW_4_4      ,GRTW   4,111,,,
AMRN  ,GRAND_TW,GRTW_1_1      ,GRTW   1,165,,,
AMRN  ,GRAND_TW,GRTW_2_2      ,GRTW   2,165,,,
AMRN  ,HAMLTNAO,KEOK_1_4_1    ,KEOK 1-4,9,,,
AMRN  ,HAMLTNAO,KEOK_1_4_2    ,KEOK 1-4,9,,,
AMRN  ,HAMLTNAO,KEOK_1_4_3    ,KEOK 1-4,9,,,
AMRN  ,HAMLTNAO,KEOK_1_4_4    ,KEOK 1-4,9,,,
AMRN  ,HUTSONVL,HUTSNVL3_3    ,HUTSNVL3,80,,,
AMRN  ,HUTSONVL,HUTSNVL4_4    ,HUTSNVL4,81,,,
AMRN  ,JC_FAIR ,JC_FAIR_1     ,JC FAIR ,60,,,
AMRN  ,KEOK_7  ,KEOK_7_7      ,KEOK   7,9,,,
AMRN  ,KEOK_7  ,KEOK_7_8      ,KEOK   7,9,,,
AMRN  ,KEOK_7  ,KEOK_7_9      ,KEOK   7,9,,,
AMRN  ,KEOK_7  ,KEOK_5_6_5    ,KEOK 5-6,9,,,
AMRN  ,KEOK_7  ,KEOK_5_6_6    ,KEOK 5-6,8,,,
AMRN  ,KEOK_7  ,KEOK_10_0     ,KEOK  10,9,,,
AMRN  ,KEOK_7  ,KEOK_10_1     ,KEOK  10,9,,,
AMRN  ,KEOK_7  ,KEOK_10_2     ,KEOK  10,9,,,
AMRN  ,KEOK_7  ,KEOK_10_3     ,KEOK  10,9,,,
AMRN  ,KEOK_7  ,KEOK_10_4     ,KEOK  10,9,,,
AMRN  ,KEOK_7  ,KEOK_10_5     ,KEOK  10,9,,,
AMRN  ,KIRKSVL ,KIRKSVL_1     ,KIRKSVL ,13,,,
AMRN  ,KNMDY_G1,KNMDY_G1_1    ,KNMDY G1,118,,,
AMRN  ,KNMDY_G1,KNMDY_G2_2    ,KNMDY G2,118,,,
AMRN  ,LABADIE ,LAB_G1_1      ,LAB   G1,600,,,
AMRN  ,LABADIE ,LAB_G2_2      ,LAB   G2,600,,,
AMRN  ,LABADIE ,LAB_G3_3      ,LAB   G3,600,,,
AMRN  ,LABADIE ,LAB_G4_4      ,LAB   G4,600,,,
AMRN  ,MER_1_4 ,MER_1_1       ,MER    1,139,,,
AMRN  ,MER_1_4 ,MER_4_H       ,MER    4,186,,,
AMRN  ,MER_1_4 ,MER_4_L       ,MER    4,165,,,
AMRN  ,MER_2_3 ,MER_2_2       ,MER    2,139,,,
AMRN  ,MER_2_3 ,MER_3_H       ,MER    3,148,,,
AMRN  ,MER_2_3 ,MER_3_L       ,MER    3,148,,,
AMRN  ,MER_2_3 ,MER_5_5       ,MER    5,55,,,
AMRN  ,MER_2_3 ,MER_6_6       ,MER    6,50,,,
AMRN  ,MEREDOSO,MERDSA_1_1    ,MERDSA 1,70,,,
AMRN  ,MEREDOSO,MERDSA_2_2    ,MERDSA 2,70,,,
AMRN  ,MEREDOSO,MERDSA_3_3    ,MERDSA 3,229,,,
AMRN  ,MEREDOSO,MERDSA_4_4    ,MERDSA 4,182,,,
AMRN  ,MEXICO  ,MEXICO_1      ,MEXICO  ,55,,,
AMRN  ,MOBERLO ,MOBERLO_1     ,MOBERLY ,55,,,
AMRN  ,MOREAO  ,MOREAO_1      ,MOREAU  ,55,,,
AMRN  ,NEOG3   ,NEOG1_1       ,NEOGA   ,47,,,
AMRN  ,NEOG3   ,NEOG1_2       ,NEOGA   ,47,,,
AMRN  ,NEOG3   ,NEOG1_3       ,NEOGA   ,47,,,
AMRN  ,NEOG3   ,NEOG1_4       ,NEOGA   ,47,,,
AMRN  ,NEOG3   ,NEOG1_5       ,NEOGA   ,47,,,
AMRN  ,NEOG3   ,NEOG1_6       ,NEOGA   ,47,,,
AMRN  ,NEOG3   ,NEOG1_7       ,NEOGA   ,47,,,
AMRN  ,NEOG3   ,NEOG1_8       ,NEOGA   ,47,,,
AMRN  ,NEWTO3  ,NEWTON_1_1    ,NEWTON 1,592,,,
AMRN  ,NEWTO3  ,NEWTON_S_2    ,NEWTON 2,585,,,
AMRN  ,OSAG1   ,OSAG1_1       ,OSAGE   ,27,,,
AMRN  ,OSAG1   ,OSAG1_2       ,OSAGE   ,27,,,
AMRN  ,OSAG1   ,OSAG1_3       ,OSAGE   ,27,,,
AMRN  ,OSAG1   ,OSAG1_4       ,OSAGE   ,26,,,
AMRN  ,OSAG1   ,OSAG1_5       ,OSAGE   ,27,,,
AMRN  ,OSAG1   ,OSAG1_6       ,OSAGE   ,26,,,
AMRN  ,OSAG1   ,OSAG1_7       ,OSAGE   ,27,,,
AMRN  ,OSAG1   ,OSAG1_8       ,OSAGE   ,26,,,
AMRN  ,PAGE    ,PAGE_1        ,PAGE    ,15,,,
AMRN  ,PAGE    ,PAGE_2        ,PAGE    ,15,,,
AMRN  ,PEARL   ,PEARL_1       ,PEARL   ,22,,,
AMRN  ,PEARL   ,PEARL_2       ,PEARL   ,22,,,
AMRN  ,PICKNYVL,PICKNYVL_1    ,PICKNYVL,44.02,,,
AMRN  ,PICKNYVL,PICKNYVL_2    ,PICKNYVL,44.02,,,
AMRN  ,PICKNYVL,PICKNYVL_3    ,PICKNYVL,44.02,,,
AMRN  ,PICKNYVL,PICKNYVL_4    ,PICKNYVL,44.02,,,
AMRN  ,PICKNYVL,PICKVL_5_5    ,PICKVL 5,100,,,
AMRN  ,PICKNYVL,PICKVL_6_6    ,PICKVL 6,100,,,
AMRN  ,RUSH    ,RUSH_G1_1     ,RUSH  G1,612,,,
AMRN  ,RUSH    ,RUSH_G2_2     ,RUSH  G2,612,,,
AMRN  ,SIOUX   ,SIOUX_2T_H    ,SIOUX  1,257,,,
AMRN  ,SIOUX   ,SIOUX_2T_L    ,SIOUX  1,246,,,
AMRN  ,SIOUX_11,SIOUX_1T_H    ,SIOUX  2,257,,,
AMRN  ,SIOUX_11,SIOUX_1T_L    ,SIOUX  2,246,,,
AMRN  ,TAUM_S_1,TS_G1_1       ,TS    G1,220,,,
AMRN  ,TAUM_S_2,TS_G2_2       ,TS    G2,220,,,
AMRN  ,TRIGENM1,TRIGENMT_1    ,TRIGENMO,7.8,,,
AMRN  ,TRIGENM1,TRIGENMT_2    ,TRIGENMO,7.8,,,
AMRN  ,VENIC_2 ,VENIC_2_2     ,VENIC 2 ,44,,,
AMRN  ,VENIC_3 ,VENIC_3_3     ,VENIC 3 ,75,,,
AMRN  ,VENIC_4 ,VENIC_4_4     ,VENIC 4 ,75,,,
AMRN  ,VENICE_1,VENICE_1_5    ,VENICE 1,100,,,
AMRN  ,VENICE_1,VENICE_7      ,VENICE  ,25,,,
AMRN  ,VENICE_2,VENICE_2_6    ,VENICE 2,100,,,
AMRN  ,VENICE_T,VENIC_1_1     ,VENIC 1 ,44,,,
AMRN  ,VIAD_1  ,VIAD_1_1      ,VIAD 1  ,25,,,
AP    ,01ALBRIG,01ALBRT1_1    ,01ALBRT1,73,,,
AP    ,01ALBRIG,01ALBRT2_1    ,01ALBRT2,73,,,
AP    ,01ALBRIG,01ALBRT3_1    ,01ALBRT3,137,,,
AP    ,01AMP_OH,01AMP_OH_1    ,01AMP-OH,200,,,
AP    ,01ARL_D6,01ARL_D6_1    ,01ARL&D6,6,,,
AP    ,01ARMSTR,01ARMSG1_1    ,01ARMSG1,172,,,
AP    ,01ARMSTR,01ARMSG2_1    ,01ARMSG2,172,,,
AP    ,01FMARTN,01FMRTN1_1    ,01FMRTN1,552,,,
AP    ,01FMARTN,01FMRTN2_1    ,01FMRTN2,555,,,
AP    ,01GRANT ,01GRANT_1     ,01GRANT ,80,,,
AP    ,01HANNIB,01HANNIB_1    ,01HANNIB,19,,,
AP    ,01HARRSN,01HARRN1_1    ,01HARRN1,640,,,
AP    ,01HARRSN,01HARRN2_1    ,01HARRN2,640,,,
AP    ,01HARRSN,01HARRN3_1    ,01HARRN3,640,,,
AP    ,01HATFLD,01HATFD1_1    ,01HATFD1,500,,,
AP    ,01HATFLD,01HATFD2_1    ,01HATFD2,500,,,
AP    ,01HATFLD,01HATFD3_1    ,01HATFD3,510,,,
AP    ,01LKLYNN,01LAKEL1_1    ,01LAKEL1,26,,,
AP    ,01LKLYNN,01LAKEL2_1    ,01LAKEL2,26,,,
AP    ,01MARLOW,01SMITH4_1    ,01SMITH4,86,,,
AP    ,01MARLOW,01SMITH3_1    ,01SMITH3,0,,,
AP    ,01MITCHL,01MITCH1_1    ,01MITCH1,82,,,
AP    ,01MITCHL,01MITCH2_1    ,01MITCH2,82,,,
AP    ,01MITCHL,01MITCH3_1    ,01MITCH3,275,,,
AP    ,01PLEA15,01PLEA1S_1    ,01PLEAS1,614,,,
AP    ,01PLEA25,01PLEA2S_1    ,01PLEAS2,614,,,
AP    ,01RIDGLY,01AESWAR_1    ,01AESWAR,180,,,
AP    ,01RIVSVL,01RIVES5_1    ,01RIVES5,46,,,
AP    ,01RIVSVL,01RIVES6_1    ,01RIVES6,90,,,
AP    ,01SPGDL ,01CT_1_1      ,01CT  1 ,48,,,
AP    ,01SPGDL ,01CT_2_1      ,01CT  2 ,48,,,
AP    ,01WILLOW,01WILLW1_1    ,01WILLW1,54,,,
AP    ,01WILLOW,01WILLW2_1    ,01WILLW2,181,,,
AP    ,01WVU   ,01WVU_1       ,01WVU   ,50,,,
BCA   ,5BATES_G,1BATESG1_1    ,1BATESG1,103.5,,,
BCA   ,5BATES_G,1BATESG3_3    ,1BATESG3,103.5,,,
BCA   ,5BATES_G,1BATESG5_5    ,1BATESG5,103.5,,,
BCA   ,5BATES_G,1BATESG2_2    ,1BATESG2,184.5,,,
BCA   ,5BATES_G,1BATESG4_4    ,1BATESG4,184.5,,,
BCA   ,5BATES_G,1BATESG6_6    ,1BATESG6,184.5,,,
BREC  ,14COLE_7,14COLE_5_1    ,14COLE 5,150,,,
BREC  ,14COLE_7,14COLE_5_2    ,14COLE 5,150,,,
BREC  ,14COLE_7,14COLE_5_3    ,14COLE 5,155,,,
BREC  ,14REID_7,14REID_5_1    ,14REID 5,231.2,,,
BREC  ,14REID_7,14REID_5_2    ,14REID 5,223.19,,,
BREC  ,14REID_7,14REID_5_3    ,14REID 5,154.13,,,
BREC  ,14REID_7,14REID_5_4    ,14REID 5,161,,,
BREC  ,14REID_7,14REID_5_5    ,14REID 5,65.06,,,
BREC  ,14REID_7,14REID_5_C    ,14REID 5,65.06,,,
BREC  ,14WILSO7,14WILSO5_1    ,14WILSO5,420,,,
CAJN  ,BC1_U1  ,BC1_U1_1      ,BC1 U1  ,110,,,
CAJN  ,BC1_U1  ,BC1_U2_1      ,BC1 U2  ,110,,,
CAJN  ,BC1_U1  ,BC1_U3_1      ,BC1 U3  ,78,,,
CAJN  ,BC2_U1  ,BC2_U1_1      ,BC2 U1  ,580,,,
CAJN  ,BC2_U1  ,BC2_U2_1      ,BC2 U2  ,575,,,
CAJN  ,BC2_U1  ,BC2_U3_1      ,BC2 U3  ,575,,,
CE    ,BLOOM_BP,BLOOM_BP_P    ,BLOOM;BP,23,,,
CE    ,BLOOM_RP,BLOOM_RP_P    ,BLOOM;RP,22,,,
CE    ,BRAID__B,BRAID_1U_1    ,BRAID;1U,1116,,,
CE    ,BRAID__R,BRAID_2U_2    ,BRAID;2U,1116,,,
CE    ,BUTTE_BP,BUTTE_BP_1    ,BUTTE;BP,60,,,
CE    ,BUTTE_BP,BUTTE_BP_2    ,BUTTE;BP,60,,,
CE    ,BUTTE_BP,BUTTE_BP_3    ,BUTTE;BP,60,,,
CE    ,BUTTE_BP,BUTTE_BP_4    ,BUTTE;BP,60,,,
