Delivery,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,
McCullough 500 KV Bus,-4971.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4971.07
Mead-230KV,11404,-41611.35,,-15.65,-452403,-215949.6,,,-145949,14368,,,87992.09,7867.26,,,137862.48,8453.72,,,57040.49,9267.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-521673.09
Mona,-10448.8,186.24,-796.94,,-47953.63,,,,-116570.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-175584
Montana System Border,-48947.41,16118.86,21724.53,10862.27,-171723.77,-26507.35,,,-166290.11,20762.24,,,-151212.54,18401.79,,,-147937.39,18049.37,,,-131775.37,16664.49,,,-69064.67,8516.28,,,-34847.36,4329.16,,,-32644.36,4065.53,,,-25655.38,3131.41,,,-7037.64,830.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-870187
NP-15,-215371.68,-240077,,,-1062978.76,-287624.81,,,338085.93,-128772.91,,,-998818.78,-130042.72,,,-298384.42,-49849.33,,,-134359.26,-47114,,,-34784.26,2070.13,,,30325.93,42954.65,,,81553.28,27145.08,,,151078.28,31819.44,,,8672.47,-532.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2915005.55
NW Delivered,3208.88,-345.25,-1307,-653.49,11381.75,939,,,16830.55,-2103.15,,,15996.78,-1956.63,,,15162.58,-1859.57,,,9916.34,-1210.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64000.65
PALO VERDE,17327.12,107604.07,,,-1184898.49,-118130.52,,,-892192.75,-3777.29,,,86660.89,-69035,,,1095906.89,-71992.09,,,1033675.55,-81592.71,,,334140.71,-69943.51,,,351491.41,-62646.73,,,548801.88,-61962.5,,,594530,-67635.91,,,-7076.58,-38665.55,,,-42596.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397992.51
Pinnacle Peak,-16127.16,-23914.84,,,-178947.79,-130826.27,,,-194989.47,18965.47,,,-180034.79,17069.41,,,-105095.78,8186.36,,,-99185.06,7820.11,,,-93442.4,7365.63,,,-83033.82,6233.51,,,-78116.87,5873.22,,,-73409.8,5518.63,,,-68820.88,5173.14,,,-64749.28,5002.59,,,-12431.13,1474.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1314443.13
SP-15,-159253.22,-161237.5,,,-1533386.71,-601210.34,,,-559242.15,-322347.18,,,-61722.14,52240.73,,,-116756.19,-94887.08,,,-45986.55,-145368.22,,,-473611.86,-204183.94,,,-229084.75,-69954.71,,,-250219.07,-99921.93,,,-262611.42,-113418.87,,,5177.76,-1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5448507.33
West Wing,,,,,-180744.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-180744.76
West Wing 500 kV,499,,,,60248.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60747.29
ZP-26,,,,,,,,,119367,25213.45,,,113732.22,23968.93,,,107546,22671.49,,,101495.87,21415.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535410.27
Grand Total: ,247517.16,-397222.84,19620.61,10193.13,-5413364.54,-1097681.44,,,-1370751.76,-392560.71,,,-385304.89,-5459.21,,,952211.75,-124258.26,,,534863.85,-176149.17,,,-109402.24,-222255.13,,,83309.94,-49220.51,,,331026.5,-98534.12,,,570851.53,-150414.1,,,-113726.15,-28839.78,,,-70521.17,664.52,,,21974.52,-2367.91,,,34549.87,-4012.94,,,,,,,,,,,,,,,,,,,,,,,,,,,-7405263.46
