RC,Type,Driver,Name,Source_Reference_Number,Destination_Reference_Number,Destination_Name,Actual_Driver_Quantity,Destination_Module,Source_Module,Period
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMTSXX.01-IR,Ad Hoc Reqs,8.4,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMDCXX.01-IR,Input/Preparation of Deals,50.4,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMCBXX.01-IR,Curve Validation,1.68,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMCBXX.02-IR,Curve Setup,6.72,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMCBXX.03-IR,Calc Books- S,25.2,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMCBXX.04-IR,Calc Books - M,8.4,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMGPXX.01-IR,Daily/Monthly Reporting,8.4,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMGPXX.04-IR,Rho & Drift Reprting,8.4,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMGPXX.05-IR,Analyze Changes,25.2,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMMRXX.05-IR,Recon & Report for Bus Analysis & Report,3.36,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMMRXX.01-IR,Value@Risk Report,3.36,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMMRXX.02-IR,Benchmark Reporting,6.72,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMMRXX.06-IR,Liquid Reporting/Recon,6.72,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMMRXX.07-IR,Max Exposure Report,5.04,4,5,2000 Feb
FXIR,basic,Hours,Specialist,R413-FXIR-SP,ARMMRXX.08-IR,Flash Reporting,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ATR1631.01,Participate in Training,0,5,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,APE1631.03,Feedback,0,5,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMTSXX.01-IR,Ad Hoc Reqs,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMDCXX.01-IR,Input/Preparation of Deals,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMCBXX.01-IR,Curve Validation,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMCBXX.02-IR,Curve Setup,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMCBXX.03-IR,Calc Books- S,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMCBXX.04-IR,Calc Books - M,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMGPXX.01-IR,Daily/Monthly Reporting,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMGPXX.04-IR,Rho & Drift Reprting,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMGPXX.05-IR,Analyze Changes,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMMRXX.05-IR,Recon & Report for Bus Analysis & Report,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMMRXX.01-IR,Value@Risk Report,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMMRXX.02-IR,Benchmark Reporting,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMMRXX.06-IR,Liquid Reporting/Recon,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMMRXX.07-IR,Max Exposure Report,0,4,5,2000 Feb
FXIR,basic,Hours,Senior Clerk,R413-FXIR-SNRCK,ARMMRXX.08-IR,Flash Reporting,0,4,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,ARMCBXX.01-EQ,Curve Validation,7.72,4,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,ARMCBXX.02-EQ,Curve Setup,5.79,4,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,ARMCBXX.03-EQ,Calc Books- S,19.31,4,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,ARMCBXX.04-EQ,Calc Books - M,19.31,4,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,ARMCBXX.05-EQ,Calc Sheets,5.79,4,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,ARMGPXX.01-EQ,Daily/Monthly Reporting,9.66,4,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,ARMGPXX.05-EQ,Analyze Changes,28.97,4,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,ARMTSXX.01-EQ,Ad Hoc Reqs,28.97,4,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,APE1631.03,Feedback,0,5,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,ATR1631.01,Participate in Training,0,5,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,ARMMRXX.05-EQ,Recon & Report for Bus Analysis & Report,15.45,4,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,ARMMRXX.03-EQ,Process Consolidated DPR,1.93,4,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,ARMMRXX.06-EQ,Liquid Reporting/Recon,5.79,4,5,2000 Feb
EQUI,basic,Hours,Senior Specialist,R413-EQUI-SNRSP,ARMDCXX.01-EQ,Input/Preparation of Deals,19.31,4,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,ARMCBXX.01-EQ,Curve Validation,7.72,4,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,ARMCBXX.02-EQ,Curve Setup,5.79,4,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,ARMCBXX.03-EQ,Calc Books- S,19.31,4,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,ARMCBXX.04-EQ,Calc Books - M,19.31,4,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,ARMCBXX.05-EQ,Calc Sheets,5.79,4,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,ARMGPXX.01-EQ,Daily/Monthly Reporting,9.66,4,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,ARMGPXX.05-EQ,Analyze Changes,28.97,4,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,ARMTSXX.01-EQ,Ad Hoc Reqs,28.97,4,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,APE1631.03,Feedback,0,5,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,ATR1631.01,Participate in Training,0,5,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,ARMMRXX.05-EQ,Recon & Report for Bus Analysis & Report,15.45,4,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,ARMMRXX.03-EQ,Process Consolidated DPR,1.93,4,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,ARMMRXX.06-EQ,Liquid Reporting/Recon,5.79,4,5,2000 Feb
EQUI,basic,Hours,Specialist,R413-EQUI-SP,ARMDCXX.01-EQ,Input/Preparation of Deals,19.31,4,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,ARMCBXX.01-EQ,Curve Validation,7.72,4,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,ARMCBXX.02-EQ,Curve Setup,5.79,4,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,ARMCBXX.03-EQ,Calc Books- S,19.31,4,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,ARMCBXX.04-EQ,Calc Books - M,19.31,4,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,ARMCBXX.05-EQ,Calc Sheets,5.79,4,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,ARMGPXX.01-EQ,Daily/Monthly Reporting,9.66,4,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,ARMGPXX.05-EQ,Analyze Changes,28.97,4,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,ARMTSXX.01-EQ,Ad Hoc Reqs,28.97,4,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,APE1631.03,Feedback,0,5,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,ATR1631.01,Participate in Training,0,5,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,ARMMRXX.05-EQ,Recon & Report for Bus Analysis & Report,15.45,4,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,ARMMRXX.03-EQ,Process Consolidated DPR,1.93,4,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,ARMMRXX.06-EQ,Liquid Reporting/Recon,5.79,4,5,2000 Feb
EQUI,basic,Hours,Manager,R413-EQUI-MGR,ARMDCXX.01-EQ,Input/Preparation of Deals,19.31,4,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,ARMCBXX.01-EQ,Curve Validation,7.72,4,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,ARMCBXX.02-EQ,Curve Setup,5.79,4,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,ARMCBXX.03-EQ,Calc Books- S,19.31,4,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,ARMCBXX.04-EQ,Calc Books - M,19.31,4,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,ARMCBXX.05-EQ,Calc Sheets,5.79,4,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,ARMGPXX.01-EQ,Daily/Monthly Reporting,9.66,4,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,ARMGPXX.05-EQ,Analyze Changes,28.97,4,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,ARMTSXX.01-EQ,Ad Hoc Reqs,28.97,4,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,APE1631.03,Feedback,0,5,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,ATR1631.01,Participate in Training,0,5,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,ARMMRXX.05-EQ,Recon & Report for Bus Analysis & Report,15.45,4,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,ARMMRXX.03-EQ,Process Consolidated DPR,1.93,4,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,ARMMRXX.06-EQ,Liquid Reporting/Recon,5.79,4,5,2000 Feb
EQUI,basic,Hours,Analyst,R413-EQUI-ANA,ARMDCXX.01-EQ,Input/Preparation of Deals,19.31,4,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,ABD1631.06,Customer Service,8.4,5,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,ADCCFXX.01-IR,Deal Entry Accuracy/TAGG,10.08,4,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,ADCCFXX.02-IR,Template Maint.,1.68,4,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,ADCCFXX.03-IR,Identify Discrpncs,3.36,4,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,ADCCFXX.05-IR,Generate Confirm,30.24,4,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,ADCCFXX.06-IR,Review Confirm,15.12,4,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,ADCCFXX.09-IR,FolU Unexecut confirm,1.68,4,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,ADCCFXX.14-IR,Counterparty Verbal Check-out,10.08,4,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,ASTSTXX.05-IR,Process/Apply Cash Receipts,8.4,3,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,ADCCFXX.08-IR,Rcv 3rd party Paper,6.72,4,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,APE1631.01,Dvlp Employee Careers,1.68,5,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,APE1631.02,Provide Mentoring,1.68,5,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,APE1631.03,Feedback,1.68,5,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,ASTSTXX.14-IR,Settle Financial Transactions,50.4,3,5,2000 Feb
DCST,basic,Hours,Senior Specialist,R413-DCST-SNRSP,ASTSTXX.08-IR,Reconciling,16.8,3,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,ABD1631.06,Customer Service,8.4,5,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,ASTSTXX.08-IR,Reconciling,16.8,3,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,ADCCFXX.01-IR,Deal Entry Accuracy/TAGG,10.08,4,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,ADCCFXX.02-IR,Template Maint.,1.68,4,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,ADCCFXX.03-IR,Identify Discrpncs,3.36,4,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,ADCCFXX.05-IR,Generate Confirm,30.24,4,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,ADCCFXX.06-IR,Review Confirm,15.12,4,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,ADCCFXX.09-IR,FolU Unexecut confirm,1.68,4,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,ADCCFXX.14-IR,Counterparty Verbal Check-out,10.08,4,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,ASTSTXX.05-IR,Process/Apply Cash Receipts,8.4,3,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,ADCCFXX.08-IR,Rcv 3rd party Paper,6.72,4,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,APE1631.01,Dvlp Employee Careers,1.68,5,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,APE1631.02,Provide Mentoring,1.68,5,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,APE1631.03,Feedback,1.68,5,5,2000 Feb
DCST,basic,Hours,Specialist,R413-DCST-SP,ASTSTXX.14-IR,Settle Financial Transactions,50.4,3,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,ABD1631.06,Customer Service,8.4,5,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,ASTSTXX.08-IR,Reconciling,16.8,3,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,ADCCFXX.01-IR,Deal Entry Accuracy/TAGG,10.08,4,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,ADCCFXX.02-IR,Template Maint.,1.68,4,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,ADCCFXX.03-IR,Identify Discrpncs,3.36,4,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,ADCCFXX.05-IR,Generate Confirm,30.24,4,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,ADCCFXX.06-IR,Review Confirm,15.12,4,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,ADCCFXX.09-IR,FolU Unexecut confirm,1.68,4,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,ADCCFXX.14-IR,Counterparty Verbal Check-out,10.08,4,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,ASTSTXX.05-IR,Process/Apply Cash Receipts,8.4,3,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,ADCCFXX.08-IR,Rcv 3rd party Paper,6.72,4,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,APE1631.01,Dvlp Employee Careers,1.68,5,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,APE1631.02,Provide Mentoring,1.68,5,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,APE1631.03,Feedback,1.68,5,5,2000 Feb
DCST,basic,Hours,Senior Clerk,R413-DCST-SNRCK,ASTSTXX.14-IR,Settle Financial Transactions,50.4,3,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,ABD1631.06,Customer Service,8.4,5,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,ASTSTXX.08-IR,Reconciling,16.8,3,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,ADCCFXX.01-IR,Deal Entry Accuracy/TAGG,10.08,4,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,ADCCFXX.02-IR,Template Maint.,1.68,4,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,ADCCFXX.03-IR,Identify Discrpncs,3.36,4,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,ADCCFXX.05-IR,Generate Confirm,30.24,4,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,ADCCFXX.06-IR,Review Confirm,15.12,4,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,ADCCFXX.09-IR,FolU Unexecut confirm,1.68,4,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,ADCCFXX.14-IR,Counterparty Verbal Check-out,10.08,4,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,ASTSTXX.05-IR,Process/Apply Cash Receipts,8.4,3,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,ADCCFXX.08-IR,Rcv 3rd party Paper,6.72,4,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,APE1631.01,Dvlp Employee Careers,1.68,5,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,APE1631.02,Provide Mentoring,1.68,5,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,APE1631.03,Feedback,1.68,5,5,2000 Feb
DCST,basic,Hours,Analyst,R413-DCST-ANA,ASTSTXX.14-IR,Settle Financial Transactions,50.4,3,5,2000 Feb
0063,basic,Hours,Manager,R413-0063-MGR,AGDRSXX.02-SI-GD,Locational Rates,25.2,4,5,2000 Feb
0063,basic,Hours,Manager,R413-0063-MGR,ADCCFXX.01-SI,Deal Entry Accuracy/TAGG,16.8,4,5,2000 Feb
0063,basic,Hours,Manager,R413-0063-MGR,ALOTRXX.02-SI,Transport Liaison,8.4,3,5,2000 Feb
0063,basic,Hours,Manager,R413-0063-MGR,ALOXXXX.02-SI,Daily Trader/Originator Support,4.2,3,5,2000 Feb
0063,basic,Hours,Manager,R413-0063-MGR,ALOXXXX.13-SI,Manage Deal Penalties,4.2,3,5,2000 Feb
0063,basic,Hours,Manager,R413-0063-MGR,ARMCBXX.05-SI,Calc Sheets,58.8,3,5,2000 Feb
0063,basic,Hours,Manager,R413-0063-MGR,ARMTSXX.01-SI,Ad Hoc Reqs,8.4,3,5,2000 Feb
0063,basic,Hours,Manager,R413-0063-MGR,ARMARXX.02-SI,Flash/OA Variance,4.2,3,5,2000 Feb
0063,basic,Hours,Manager,R413-0063-MGR,ARMMRXX.08-SI,Flash Reporting,16.8,3,5,2000 Feb
0063,basic,Hours,Manager,R413-0063-MGR,AOA0063.07,OA-Liquidations Calculation,4.2,4,5,2000 Feb
0063,basic,Hours,Manager,R413-0063-MGR,AOA0063.11,Pre-Settlement Review,4.2,4,5,2000 Feb
0063,basic,Hours,Manager,R413-0063-MGR,AOA0063.13,Logistics OA,12.6,4,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ALOXXXX.15-SE,Notification-New facility,17.1,3,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ALOXXXX.02-SE,Daily Trader/Originator Support,74.1,3,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ALOXXXX.03-SE,Prepare Noms/Pathing,167.2,3,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ALOXXXX.07-SE,Intraday Nom,41.8,3,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ALOXXXX.16-SE,End of Month Cleanup,41.8,3,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ALOXXXX.10-SE,Perform Pipeline Balancing,102.6,3,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ALOXXXX.14-SE,Notification-New Pipe,7.6,3,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ALOXXXX.11-SE,Monitor Sitara Bridge & feedback,34.2,3,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ALOXXXX.22-SE,Interface w/gas control,38,3,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,APE0475.03,Feedback,7.6,5,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ATR0475.01,Participate in Training,22.8,5,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ABP0475.02,Special Projects,34.2,5,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,AOA0475.13,Logistics OA,7.6,4,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ALOXXXX.01-SE,Bid Week Preparation,79.8,3,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ALOXXXX.12-SE,Manage Imbalances,19,3,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ALOXXXX.05-SE,Noms to EBB,47.5,3,5,2000 Feb
0475,basic,Hours,Senior Specialist,R413-0475-SNRSP,ALOXXXX.09-SE,Renom Activity,17.1,3,5,2000 Feb
0475,basic,Hours,Specialist,R413-0475-SP,ALOXXXX.15-SE,Notification-New facility,6.84,3,5,2000 Feb
0475,basic,Hours,Specialist,R413-0475-SP,ALOXXXX.02-SE,Daily Trader/Originator Support,29.64,3,5,2000 Feb
0475,basic,Hours,Specialist,R413-0475-SP,ALOXXXX.03-SE,Prepare Noms/Pathing,66.88,3,5,2000 Feb
0475,basic,Hours,Specialist,R413-0475-SP,ALOXXXX.07-SE,Intraday Nom,16.72,3,5,2000 Feb
0475,basic,Hours,Specialist,R413-0475-SP,ALOXXXX.16-SE,End of Month Cleanup,16.72,3,5,2000 Feb
0475,basic,Hours,Specialist,R413-0475-SP,ALOXXXX.10-SE,Perform Pipeline Balancing,41.04,3,5,2000 Feb
0475,basic,Hours,Specialist,R413-0475-SP,ALOXXXX.14-SE,Notification-New Pipe,3.04,3,5,2000 Feb
0475,basic,Hours,Specialist,R413-0475-SP,ALOXXXX.11-SE,Monitor Sitara Bridge & feedback,13.68,3,5,2000 Feb
0475,basic,Hours,Specialist,R413-0475-SP,ALOXXXX.22-SE,Interface w/gas control,15.2,3,5,2000 Feb
0475,basic,Hours,Specialist,R413-0475-SP,APE0475.03,Feedback,3.04,5,5,2000 Feb
0475,basic,Hours,Specialist,R413-0475-SP,ATR0475.01,Participate in Training,9.12,5,5,2000 Feb
0475,basic,Hours,Specialist,R413-0475-SP,ABP0475.02,Special Projects,13.68,5,5,2000 Feb
0475,basic,Hours,Specialist,R413-0475-SP,AOA0475.13,Logistics OA,3.04,4,5,2000 Feb
