Enron Merchandise (everything that is marked with the E),,,,,,,,,
,,,,Sort,Sort,Sales Price,,,
Tradeshow & Promotional,Computer Accessories,"Retractable 8 ft Modem Cord/Red,Green, Blue",3.38,,,,,,
Tradeshow & Promotional,Koozie/Sports Bottles,"Koozie Tuffoam 16 oz Sports Bottle/Red, Blue",2.5,,,,,,
Tradeshow & Promotional,Koozie/Sports Bottles,"Collapsible Pocket Coolie/Red, Green, Blue",0.75,,,,,,
Tradeshow & Promotional,Koozie/Sports Bottles,"Rad-O-Koolz Can Insulator/Red, Green, Blue",1.5,,,,,,
Tradeshow & Promotional,Miscellaneous,V & V Tangle Stress Puzzle,1.25,,,,,,
Tradeshow & Promotional,Miscellaneous,"Lightbulb Stress Ball/Red, Green, Blue",0.75,,,,,,
Tradeshow & Promotional,Miscellaneous,Snafooz Foam Cube Puzzle,0.33,,,,,,
Tradeshow & Promotional,Miscellaneous,Ask Why Light Bulb Stress Ball/Yellow,0.75,,,,,,
Tradeshow & Promotional,Miscellaneous,Ala Card Nuclear Peppermints,1.13,,,,,,
Tradeshow & Promotional,Miscellaneous,Advalite Taglite with LR 54 Batteries (keychain),1,,,,,,
Tradeshow & Promotional,Miscellaneous,Globe Stress Ball,0.88,,,,,,
Tradeshow & Promotional,Miscellaneous,Computer Stress Ball,1,,,,,,
Tradeshow & Promotional,Miscellaneous,Enron Liquid Puzzle,2,,,,,,
Tradeshow & Promotional,Miscellaneous,Crocodile Clip,2.5,,,,,,
Tradeshow & Promotional,Miscellaneous,"Tumbler Clip (business card clip)/Red, Green, Blue",2,,,,,,
Tradeshow & Promotional,Pen&Pencil,Round White Pencil with Eraser,0.2,,,,,,
Tradeshow & Promotional,Pen&Pencil,"Dynagrip Ballpoint Pen/ Red, Green, Blue (Ask Why)",1,,,,,,
Tradeshow & Promotional,Pen&Pencil,"Papermate Gel Roller Pen/ Red, Blue, Black",1.5,,,,,,
,,,,,,,,,
Golf,Cap,Ping Oreo Cap/Navy and Khaki,10,Apparel,,,,,
Golf,Golf Balls,Titleist DT Spin 90,13.38,,,,,,
Golf,Golf Balls,Titleist Tour Prestige 90,16.75,,,,,,
Golf,Golf Balls,Pinnacle TF 38,8.38,,,,,,
Golf,Glove,Foot-Joy Leather Golf Glove/White,7.5,,,,,,
Golf,Miscellaneous,Enron Straw Golf Hat,9,Apparel,,,,,
Golf,Miscellaneous,White Cannon Sterling Velour Golf Towel,4.13,,,,,,
Golf,Miscellaneous,"Tee Pack/Multiple Colors (tees, ballmarks, divot tool)",0.5,,,,,,
Golf,Miscellaneous,"Golf Tee Jiggler/Red, Green, Blue",2,,,,,,
Golf,Miscellaneous,"Combo Golf Brush/ Black, White",3.5,,,,,,
Golf,Miscellaneous,Pocket Pro Golf Counter/Plastic,1.75,,,,,,
Golf,Miscellaneous,Oversized Chamois/Black Golf Towel,7.75,,,,,,
Golf,Putter,Wood Arts Golf Putter with Head Cover,41,,,,,,
Golf,Swiss Army,Victorinox Swiss Army Golf Tool,22.5,,,,,,
Golf,Umbrella,Fiberglass Sport Umbrella/Navy & White,9,,,,,,
,,,,,,,,,
Hunting & Fishing,Key Chain,"Norman Fishing Lure Key Chain/Green, Black",2.13,,,,,,
Hunting & Fishing,Cap,Brushed Twill Outdoor Cap/ One Size (4 diff camo),6,Apparel,,,,,
Hunting & Fishing,Cap,Schooner Bank Cap/Fossil and Sage,13.5,Apparel,,,,,
Hunting & Fishing,Jacket,Columbia Sportswear Nylon Jacket,25,Apparel,,,,,
Hunting & Fishing,Koozie/Sports Bottles,Camoflauge Neoprene Pocket Coolie,0.75,,,,,,
Hunting & Fishing,Miscellaneous,Poncho/ One Size Fits All/Dark Olive,15,Apparel,,,,,
Hunting & Fishing,Miscellaneous,Leed's Sport Club Cooler/Royal & Black,11,,,,,,
Hunting & Fishing,Shooting Shirt,"Browning Hunting Twill Shirt/Blk,Wht,Tan,Olive",26,Apparel,,,,,
Hunting & Fishing,Shooting Shirt,Browning Shooting Shirt/Tan,26.5,Apparel,,,,,
Hunting & Fishing,Shooting Shirt,"Browning Shooting Shirt/Chambray White,Tan",24.5,Apparel,,,,,
,,,,,,,,,
Working Out,Koozie/Sports Bottles,"Bottle Caddy with Pouch and Velcro Strap/Blue, Red",3,,,,,,
Working Out,Miscellaneous,Enron Socks/Men's & Ladies/White (over the ankle),4.13,Apparel,,,,,
Working Out,Radio,AM/FM Headphone Workout Radio/Silver with Black E,5.5,,,,,,
Working Out,Shorts,"Russell Athletics Men's Shorts/Blue, Gray, Black",11.75,Apparel,,,,,
Working Out,Shorts,"Champion Ladies Shorts/Blue, White, Black",12,Apparel,,,,,
Working Out,Sweatshirt,Antiqua SweatShirt/Khaki,28,Apparel,,,,,
Working Out,T-Shirt,"Russell Athletics Men's T-Shirt/Blk, Wht, Grey, Blue",11.75,Apparel,,,,,
Working Out,T-Shirt,"Champion Ladies V-Neck T-Shirt/Blk, Whit, Grey, Blut",11.75,Apparel,,,,,
Working Out,Watch,"Digital Workout Watch with Gift Box/Wht, Blue",2.5,,,,,,
,,,,,,,,,
Signature Series,Card Case/Card Holder,Leed's Card Wallet,5,,,,,,
Signature Series,Clock,Retro Pop-up Travel Alarm Clock,17.5,,,,,,
Signature Series,Frame,"Vanilla Poplar Wood Frame/ 3.5X5"" (E engraved in wood)",8,,,,,,
Signature Series,Key Chain,Milano Relective Nickel Key Chain,3.38,,,,,,
Signature Series,Mug,"Acrilyc Travel Mug/Red, Green, Blue",4.75,,,,,,
Signature Series,Mug,Tone on Tone 12 oz Ironstone Mug/Blue with silver,3.25,,,,,,
Signature Series,Mug,Visions Aria Mug with Lid/White,4,,,,,,
Signature Series,Mug,"Stainless Travel Mug/Red, Blue, Green",7,,,,,,
Signature Series,Mug,Burgundy Desk Set/Mug and Tile,9,,,,,,
Signature Series,Mug,Cobalt Blue Glass Mug/ 12 oz,3.25,,,,,,
Signature Series,Miscellaneous,Cell Phone Headset with Retractable Cord,10.75,,,,,,
Signature Series,Miscellaneous,"Plato Crystal Desktop Holder/Red, Green, Blue",18.75,,,,,,
Signature Series,Watch,Sweda Tank Watch with Gift Box,8.5,,,,,,
,,,,,,,,,
Writing Instruments,Pen & Pencil,I Mark Leather Ballpoint Pen,13,,,,,,
Writing Instruments,Pen & Pencil,"Cross Morph Ballpoint Pen/Red, Green, Blue",23,,,,,,
Writing Instruments,Pen & Pencil,"Waterman Carene BallPt/Med Pt-Blue Ink/Red, Green, Blue",40,,,,,,
Writing Instruments,Pen & Pencil,Metro Mini Ballpoint Pen,3.5,,,,,,
Writing Instruments,Pen & Pencil,"Stylus Writing System/3 in 1 Pen/Red, Green, Blue",6,,,,,,
,,,,,,,,,
Workspace Accessories,Computer Accessories,Microfiber Mouse Pad with Gel Wrist Pad,3.75,,,,,,
Workspace Accessories,Miscellaneous,High Tec Palm Pilot Organizer,8,,,,,,
Workspace Accessories,Paperweight,Crystal Cube Paperweight,11,,,,,,
Workspace Accessories,Swiss Army,Vitronox Swiss Army Cyber Tool,27.5,,,,,,
Workspace Accessories,Swiss Army,Vitronox Swiss Army Portable Office,15.5,,,,,,
Workspace Accessories,Writing Accessories,Leed's Durahyde Zippered Padfolio/Black,7.5,,,,,,
Workspace Accessories,Writing Accessories,Leed's Padfolio/Blue and Black,10.5,,,,,,
,,,,,,,,,
Specialty Items,Apparel Set,Jacquard Knit Polo and Cap Set,39.5,Apparel,,,,,
Specialty Items,Button Down,"Port Authority Twill Shirt/Blue, White",18.75,Apparel,,,,,
Specialty Items,Bag,Sports Duffle Bag/ Brown with Black,15,,,,,,
Specialty Items,Bag,Overnight Bag/Brown with Black,15,,,,,,
Specialty Items,Bag,Leather Bag/ Black,22.5,,,,,,
Specialty Items,Bag,Leed's Classic Cotton Conference Tote,1.5,,,,,,
Specialty Items,Bag,International Tote,6,,,,,,
Specialty Items,Bag,Insulated Deluxe Nylon Cooler Bag/Black,12,,,,,,
Specialty Items,Bag,Cove Island Flight Bag,45,,,,,,
Specialty Items,Bag,Cove Island Day Pack,45,,,,,,
Specialty Items,Back Pack,Enron Backpack/Black,18.25,,,,,,
Specialty Items,Computer Accessories,Leather Mouse Pad,24,,,,,,
Specialty Items,Computer Accessories,Ask Why Lewtan Wrist Rest Mouse Pad,3.25,,,,,,
Specialty Items,Card Case/Card Holder,Max Lang Sterling Silver Business Card Holder,68.75,,,,,,
Specialty Items,Clock,Allegra Clock/2-1/4X5/8X2-3/8,15,,,,,,
Specialty Items,Clock,Howard Miller Table Clock/Blue,10,,,,,,
Specialty Items,Computer Case,Leed's Millennium Compu-Sack/Black,28.5,,,,,,
Specialty Items,CD Holder/Case,TX License Plate CD Case/ 20 CD's,,,,,,,
Specialty Items,Cap,Enron Field Unconstructed Cap,9,Apparel,,,,,
Specialty Items,Cap,Custom Sandwich Visor Cap/Black with White,6,Apparel,,,,,
Specialty Items,Cap,Ladies Ponytail Cap/Navy (one size),7.88,Apparel,,,,,
Specialty Items,Cap,"Brushed Twill Cap/Black, Green",5,Apparel,,,,,
Specialty Items,Cap,"Enron Field Cap/Blue&Khaki, Green&Khaki",8.5,Apparel,,,,,
Specialty Items,Cap,Enron Field 2000 Inaugural Game Cap,2.5,Apparel,,,,,
Specialty Items,Camp Shirt,Hilton Bahama Shirt/Tan (short sleeve),23.5,Apparel,,,,,
Specialty Items,Coaster,Sandstone Coaster,4.25,,,,,,
Specialty Items,Club Cover,Pro Snap Club Cover/Black Regular Size,3.88,,,,,,
Specialty Items,Club Cover,Pro Snap Club Cover/Black Magnum Size,4.13,,,,,,
Specialty Items,Figures/Replicas,Enron Field Stone/Resin Stadium Replica,17.5,,,,,,
Specialty Items,Frame,Acrylic Frame in a Frame/4X6,2.25,,,,,,
Specialty Items,Golfing,Grooveze Club Cleaner,4,,,,,,
Specialty Items,Jersey,Enron Field Nostalgia Jersey/Black and White with red trim,21,Apparel,,,,,
Specialty Items,Jersey,Enron Field Retro Jersey/Black with White trim,21,Apparel,,,,,
Specialty Items,Key Chain,Sterling Silver Tiffany Key Ring,15,,,,,,
Specialty Items,Key Chain,Pull Apart Valet Key Chain,3.38,,,,,,
Specialty Items,Koozies/Sports Bottles,"Water Wetsuit Koozie/holds 16-20 oz Bottle/Red,Grn,Blue",3.25,,,,,,
Specialty Items,Mug,"Gee Whiz Mug/Red, Green, Blue",7.75,,,,,,
Specialty Items,Mug,Stainless Travel Mug,6.5,,,,,,
Specialty Items,Mug,Enron Field Spinner Mug,9,,,,,,
Specialty Items,Miscellaneous,"Set of 250 Balloons/Blue, Red & Green",42.5,,,,,,
Specialty Items,Miscellaneous,Promo Clips with Container/Set of 250,35,,,,,,
Specialty Items,Miscellaneous,Enron Lapel Pin,2,,,,,,
Specialty Items,Miscellaneous,Baseball Stressball,1.63,,,,,,
Specialty Items,Miscellaneous,Value & Visions Breaking Puzzle Cube,1.05,,,,,,
Specialty Items,Miscellaneous,Garrity Lights/Duel Pack - Lite & Flare,2.5,,,,,,
Specialty Items,Miscellaneous,Bendeez Stress Twist,1.13,,,,,,
Specialty Items,Miscellaneous,Ask Why Water Bottle Waist Pack/Black,2.88,,,,,,
Specialty Items,Pullover,A. Garibaldi Pullover Sweater/Cream,32.5,Apparel,,,,,
Specialty Items,Pen & Pencil,Chubster Ballpoint Pen/Black,1,,,,,,
Specialty Items,Pen & Pencil,Chubster Clicktop Mechanical Pencil/Black,1,,,,,,
Specialty Items,Pen & Pencil,Auroro RollerBall/ Blue with Black and Silver,15,,,,,,
Specialty Items,Pen & Pencil,Gold and Silver Trim Rollerball Pen,3,,,,,,
Specialty Items,Pen & Pencil,Carvaggio Fountain Pen/Black and Clear,8,,,,,,
Specialty Items,Pen & Pencil,Renaissance Ballpoint Pen/Silver,7,,,,,,
Specialty Items,Pen & Pencil,Venti Ballpoint Pen/Black,7,,,,,,
Specialty Items,Pen & Pencil,Alberti Ballpoint Pen/Blue with gold,7.5,,,,,,
Specialty Items,Pen & Pencil,Santa Cruz RollerBall Pen/Blue with Black,3,,,,,,
Specialty Items,Pen & Pencil,Cambridge Ballpoint Pen/White with gold,3,,,,,,
Specialty Items,Pen & Pencil,Tombow Brushed Stainless Rollerball,26,,,,,,
Specialty Items,Pen & Pencil,Burberry Black Ballpoint Pen,40,,,,,,
Specialty Items,Pen & Pencil,Royal Blue Safari Rollerball Pen,10,,,,,,
Specialty Items,Pen & Pencil,"Bic Diamonte Pen/Blue, Black",0.85,,,,,,
Specialty Items,Pen & Pencil,Quill Black Ballpoint Pen,8.5,,,,,,
Specialty Items,Pen & Pencil,Metallic Pen with Red Accents,3,,,,,,
Specialty Items,Pen & Pencil,"Plastic Ballpoint Pen/Red,Orange,Grn,Blue,Blk",0.71,,,,,,
Specialty Items,Pen & Pencil,Light up Ballpoint Pen,5.5,,,,,,
Specialty Items,Pen & Pencil,I Mark Pen/Silver with Gold Trim,6.5,,,,,,
Specialty Items,Pen & Pencil,Waterford Marquis Rollerball Pen/Red,17,,,,,,
Specialty Items,Pen & Pencil,"Bic Widebody Ice Retractable Pen/Red,Green, Blue",0.75,,,,,,
Specialty Items,Pen & Pencil,Inca-50 Black Matte Ballpoint Pen,2,,,,,,
Specialty Items,Pen & Pencil,Techtronix Quadruple Writing System,6.5,,,,,,
Specialty Items,Polo Shirt,Munsing Wear Polo/White with Black,17.5,Apparel,,,,,
Specialty Items,Polo Shirt,"Ashworth Polo/Lt.Blue,White,Lt.Yellow,Lt Orange",23.5,Apparel,,,,,
Specialty Items,Polo Shirt,Vantage Mercerized Polo/Tan,25,Apparel,,,,,
Specialty Items,Polo Shirt,Gear Polo/Red with White Stripe,15,Apparel,,,,,
Specialty Items,Polo Shirt,Gear Polo/Beige,15,Apparel,,,,,
Specialty Items,Polo Shirt,Gear Polo/Beige with White,15,Apparel,,,,,
Specialty Items,Polo Shirt,Gear Polo/Taupe with Black,15,Apparel,,,,,
Specialty Items,Polo Shirt,Ashworth Polo/White with Blue & Green Stripes,22.5,Apparel,,,,,
Specialty Items,Polo Shirt,Gear Polo/Beige with Brown and Black Stripes,15,Apparel,,,,,
Specialty Items,Polo Shirt,Gear Polo/Blue with Red & White Trim,12.5,Apparel,,,,,
Specialty Items,Polo Shirt,Gear Polo/Beige,15,Apparel,,,,,
Specialty Items,Polo Shirt,Gear Polo/Yellow,15,Apparel,,,,,
Specialty Items,Polo Shirt,Van Huesen Vertical Golf Shirt,15.13,Apparel,,,,,
Specialty Items,Polo Shirt,Dunbrooke Muirfield Mercerized Polo,29,Apparel,,,,,
Specialty Items,Polo Shirt,Inner Harbor Needle-Up Polo/Grey with Blk or Red or Grn Trim,16,Apparel,,,,,
Specialty Items,Polo Shirt,Outer Banks Ladies Polo/White,9.38,Apparel,,,,,
Specialty Items,Polo Shirt,Elandale Ladies Polo/White with Navey,25.38,Apparel,,,,,
Specialty Items,Polo Shirt,Evan Picone Ladies Sleeveless Polo/Red or Blue,14.13,Apparel,,,,,
Specialty Items,Polo Shirt,Vantage Waffle Polo/White,7.5,Apparel,,,,,
Specialty Items,Paperweight,Visions and Values Cube Paperweight,18.38,,,,,,
Specialty Items,Shooting Shirt,"Browning Hunting Shirt Coolmax/White, Olive",24.5,Apparel,,,,,
Specialty Items,Shorts,"Unisex Sport Shorts/Black, Grey, Blue",11,Apparel,,,,,
Specialty Items,Tag,Stealth ID Luggage Tag,3.5,,,,,,
Specialty Items,Tank Shirt,Ladies Coolmax Tank/White,13,Apparel,,,,,
Specialty Items,Tank Shirt,Men's Coolmax Tank/White,13.5,Apparel,,,,,
Specialty Items,Tank Shirt,"Champion Ladies Tank/Black, White, Grey, Blue",11.75,Apparel,,,,,
Specialty Items,T-Shirt,Vision and Values T-Shirt/White,2.5,Apparel,,,,,
Specialty Items,T-Shirt,"Badger V-Nech T-Shirt/Khaki, Navy",12.5,Apparel,,,,,
Specialty Items,T-Shirt,Wave Runner T-Shirt/Olive,8.5,Apparel,,,,,
Specialty Items,T-Shirt,Bee Hive T-Shirt/Yellow,8,Apparel,,,,,
Specialty Items,T-Shirt,Enron Field T-Shirt/White,5,Apparel,,,,,
Specialty Items,Writing Instruments,Fun Facts Sticky Note Pads/50 sheet per pad,0.18,,,,,,
Specialty Items,Writing Instruments,Leed's Millennium Zippered Padfolio,10.5,,,,,,
