LINE,Mile Point ,Description,Sample Date,Sample Type,Result (All results as Aroclor 1016 unless otherwise noted),Comments
300 A,151.06 A,"Barstow ""A"" Meter",2000-09-19 00:00:00,Liquid,14 ppm,~ 20 mls
300 A,151.06 A,"Barstow ""A"" Meter",2000-10-02 00:00:00,Liquid,13 ppm,~ 20 mls
300 A,151.06 A,"Barstow ""A"" Meter",2000-10-16 00:00:00,Liquid,13 ppm,~ 20 mls
300 A,151.06 A,"Barstow ""A"" Meter",2000-10-26 00:00:00,Liquid,8 ppm,~ 5 mls
300 A,151.06 A,"Barstow ""A"" Meter",2000-11-20 00:00:00,Liquid,15 ppm,~ 25 mls (sample recv'd. brkn.)
300 A,151.06 A,"Barstow ""A"" Meter",2000-12-18 00:00:00,Liquid,14 ppm,~ 25 mls (sample recv'd. brkn.)
300 A,151.06 A,"Barstow ""A"" Meter",2001-01-23 00:00:00,Liquid,20 ppm as Aroclor 1242,~ 30 mls (sample recv'd. brkn.)
300 A,154.70 A,"Barstow ""D"" Meter",2000-02-18 00:00:00,Liquid,38 ppm,
300 A,154.70 A,"Barstow ""D"" Meter",2000-02-28 00:00:00,Liquid,39 ppm,
300 A,154.70 A,"Barstow ""D"" Meter",2000-03-10 00:00:00,Liquid,34 ppm,
300 A,154.70 A,"Barstow ""D"" Meter",2000-03-21 00:00:00,Liquid,45 ppm,
300 A,154.70 A,"Barstow ""D"" Meter",2000-04-05 00:00:00,Liquid,29 ppm,
300 A,154.70 A,"Barstow ""D"" Meter",2000-04-18 00:00:00,Liquid,27 ppm,
300 A,154.70 A,"Barstow ""D"" Meter",2000-05-01 00:00:00,Liquid,28 ppm,
300 A,154.70 A,"Barstow ""D"" Meter",2000-05-14 00:00:00,Liquid,33 ppm,
300 A,154.70 A,"Barstow ""D"" Meter",2000-05-25 00:00:00,Liquid,19 ppm ,
300 A,154.70 A,"Barstow ""D"" Meter",2000-06-14 00:00:00,Liquid,33 ppm,
300 A,154.70 A,"Barstow ""D"" Meter",2000-06-30 00:00:00,Liquid,22 ppm,
300 A,154.70 A,"Barstow ""D"" Meter",2000-07-29 00:00:00,None,,
300 A,154.70 A,"Barstow ""D"" Meter",2000-09-19 00:00:00,Liquid,30 ppm,20 mls
300 A,154.70 A,"Barstow ""D"" Meter",2000-10-02 00:00:00,Liquid,31 ppm,20 mls
300 A,154.70 A,"Barstow ""D"" Meter",2000-10-16 00:00:00,Liquid,34 ppm,20 mls
300 A,154.70 A,"Barstow ""D"" Meter",2000-10-26 00:00:00,Liquid,38 ppm,~10 mls
300 A,154.70 A,"Barstow ""D"" Meter",2000-11-20 00:00:00,Liquid,44 ppm,~20 mls
300 A,154.70 A,"Barstow ""D"" Meter",2000-12-18 00:00:00,Liquid,30 ppm as Aroclor 1242,~25 mls
300 A,154.70 A,"Barstow ""D"" Meter",2000-12-18 00:00:00,Liquid,,Sample container received broken - no analysis
300 A,154.70 A,"Barstow ""D"" East Filter",2000-02-11 00:00:00,Liquid,ND < 1 ppm,
300 A,154.70 A,"Barstow ""D"" East Filter",2000-02-28 00:00:00,Liquid,,Insufficient Sample
300 A,154.70 A,"Barstow ""D"" East Filter",2000-03-21 00:00:00,Liquid,0.45,
300 A,154.70 A,"Barstow ""D"" East Filter",2000-04-05 00:00:00,Liquid,< 1 ppm,
300 A,154.70 A,"Barstow ""D"" East Filter",2000-07-29 00:00:00,None,,
300 A,154.70 A,"Barstow ""D"" East Filter",2000-08-10 00:00:00,Liquid,3 ppm,
300 A,154.70 A,"Barstow ""D"" East Filter",2000-08-16 00:00:00,Liquid,2 ppm,
300 A,154.70 A,"Barstow ""D"" East Filter",2000-08-24 00:00:00,Liquid,3 ppm,
300 A,154.70 A,"Barstow ""D"" East Filter",2000-08-30 00:00:00,Liquid,2 ppm,
300 A,154.70 A,"Barstow ""D"" East Filter",2000-09-07 00:00:00,Liquid,2 ppm,
300 A,159.33 A,Emergency Fuel,,None,,Tap not inspected or sampled
300 A,159.33 A,"Hinkley, K-11 Crankcase",2000-05-01 00:00:00,Liquid,ND < 1 ppm,
300 A,159.33 A,"Hinkley, K-11 Compressor",2000-05-01 00:00:00,Liquid,6 ppm,
300 A,159.33 A,"Hinkley Compressor Station 300A Suction Drip, Inlet 211",2000-01-27 00:00:00,Liquid,4 ppm,
300 A,159.33 A,"Hinkley Compressor Station 300A Suction Drip, Inlet 211",2000-02-10 00:00:00,Liquid,3 ppm,Black; liquid obtained. Drip was emptied after sample was obtained Sample tap was plugged and was replaced with metric valve. 
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2000-02-25 00:00:00,Liquid,7 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2000-03-09 00:00:00,Liquid,8 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2000-04-06 00:00:00,Liquid,7 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2000-05-01 00:00:00,Liquid,10 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2000-05-14 00:00:00,Liquid,15 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2000-05-14 00:00:00,Liquid,15 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2000-05-30 00:00:00,Liquid,6 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2000-06-30 00:00:00,Liquid,9 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2000-07-29 00:00:00,Liquid,9 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2000-09-18 00:00:00,Liquid,14 ppm,~ 40 mls
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2000-10-02 00:00:00,Liquid,21 ppm,~ 40 mls
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2000-10-27 00:00:00,Liquid,19 ppm ,~10 mls
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2000-12-19 00:00:00,Liquid,18 ppm as Aroclor 1242,~20 mls
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-211,2001-01-23 00:00:00,Liquid,16 ppm,~20 mls
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-212,2000-05-01 00:00:00,Liquid,7 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-212,2000-08-10 00:00:00,Liquid,2 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-212,2000-08-16 00:00:00,Liquid,3 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-212,2000-08-24 00:00:00,Liquid,2 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-212,2000-08-30 00:00:00,Liquid,3 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-212,2000-09-07 00:00:00,Liquid,2 ppm,
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-212,2000-10-02 00:00:00,Liquid,13 ppm,~30 mls
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-212,2000-10-16 00:00:00,Liquid,19 ppm ,~10 mls
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-212,2000-11-20 00:00:00,Liquid,12 ppm,~20 mls
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-212,2000-12-19 00:00:00,Liquid,12 ppm as Aroclor 1242,~40 mls
300 A,159.33 A,Hinkley Compressor Station A Inlet Drip V-212,2001-01-23 00:00:00,Liquid,13 ppm as Aroclor 1242,~40 mls
300 A,160.00 A,Southwest Gas 3 Customers (Neirmeirer - McCormack),,None,,Tap not inspected or sampled
300 A,161.93 A,A Line Drip,2000-02-10 00:00:00,Liquid,<1 ppm,
300 A,161.93 A,A Line Drip,2000-02-24 00:00:00,Liquid,2 ppm,
300 A,161.93 A,A Line Drip,2000-03-09 00:00:00,Liquid,ND < 1 ppm,
300 A,161.93 A,A Line Drip,2000-03-23 00:00:00,Liquid,ND < 1 ppm,
300 A,161.93 A,A Line Drip,2000-04-06 00:00:00,Liquid,<1 ppm,
300 A,161.93 A,A Line Drip,2000-04-19 00:00:00,Liquid,<1 ppm,
300 A,161.93 A,A Line Drip,2000-05-01 00:00:00,Liquid,<1 ppm,
300 A,161.93 A,A Line Drip,2000-05-14 00:00:00,Liquid,<1 ppm,
300 A,161.93 A,A Line Drip,2000-06-01 00:00:00,Liquid,<1 ppm,
300 A,161.93 A,A Line Drip,2000-06-14 00:00:00,Liquid,1 ppm,
300 A,161.93 A,A Line Drip,2000-06-30 00:00:00,Liquid,<1 ppm,
300 A,161.93 A,A Line Drip,2000-07-23 00:00:00,None,,
300 A,161.93 A,A Line Drip,2000-07-29 00:00:00,Liquid,"1.7 ppm as Aroclor 1016, 0.5 ppm as Aroclor 1260",
300 A,161.93 A,A Line Drip,2000-09-06 00:00:00,Liquid,1 ppm,~40 mls
300 A,161.93 A,A Line Drip,2000-09-18 00:00:00,Liquid,2 ppm,~20 mls
300 A,161.93 A,A Line Drip,2000-10-03 00:00:00,Liquid,2 ppm,~10 mls
300 A,161.93 A,A Line Drip,2000-10-16 00:00:00,Liquid,2 ppm,<10 mls
300 A,161.93 A,A Line Drip,2000-10-27 00:00:00,Liquid,3 ppm,~10 mls
300 A,161.93 A,A Line Drip,2000-11-21 00:00:00,Liquid,3 ppm,<10 mls (sample contr. recv'd. broken)
300 A,161.93 A,A Line Drip,2000-12-19 00:00:00,Liquid,3 ppm as Aroclor 1242,~20 mls
300 A,161.93 A,A Line Drip,2001-01-23 00:00:00,Liquid,3 ppm as Aroclor 1242,~20 mls
300 A,164.71 A,A Line Drip,2000-02-10 00:00:00,Liquid,<1,
300 A,164.71 A,A Line Drip,2000-02-24 00:00:00,Liquid,5 ppm,
300 A,164.71 A,A Line Drip,2000-03-09 00:00:00,Liquid,<1 ppm,
300 A,164.71 A,A Line Drip,2000-03-28 00:00:00,Liquid,<1 ppm,
300 A,164.71 A,A Line Drip,2000-04-06 00:00:00,Liquid,<1 ppm,
300 A,164.71 A,A Line Drip,2000-04-19 00:00:00,Liquid,< 1 ppm,
300 A,164.71 A,A Line Drip,2000-05-14 00:00:00,Liquid,< 1 ppm,
300 A,164.71 A,A Line Drip,2000-06-01 00:00:00,Liquid,< 1 ppm,
300 A,164.71 A,A Line Drip,2000-06-15 00:00:00,Liquid,1 ppm,
300 A,164.71 A,A Line Drip,2000-06-30 00:00:00,Liquid,1 ppm,
300 A,164.71 A,A Line Drip,2000-07-23 00:00:00,None,,
300 A,164.71 A,A Line Drip,2000-07-29 00:00:00,Liquid,1 ppm,
300 A,164.71 A,A Line Drip,2000-08-21 00:00:00,Liquid,1 ppm,
300 A,164.71 A,A Line Drip,2000-09-06 00:00:00,Liquid,1 ppm,~ 20 mls
300 A,164.71 A,A Line Drip,2000-09-18 00:00:00,Liquid,1 ppm,~ 40 mls
300 A,164.71 A,A Line Drip,2000-10-03 00:00:00,Liquid,1 ppm,~ 50 mls
300 A,164.71 A,A Line Drip,2000-10-16 00:00:00,Liquid,1 ppm,~ 30 mls
300 A,164.71 A,A Line Drip,2000-10-27 00:00:00,Liquid,1 ppm,~ 20 mls
300 A,164.71 A,A Line Drip,2000-11-21 00:00:00,Liquid,1 ppm,~ 20 mls
300 A,164.71 A,A Line Drip,2000-12-19 00:00:00,Liquid,2 ppm as Aroclor 1242,~ 30 mls
300 A,167.37 A,A Line Drip,2000-02-10 00:00:00,Liquid,<1 ppm,
300 A,167.37 A,A Line Drip,2000-02-24 00:00:00,Liquid,6 ppm,
300 A,167.37 A,A Line Drip,2000-03-09 00:00:00,Liquid,<1 ppm,
300 A,167.37 A,A Line Drip,2000-03-23 00:00:00,Liquid,ND < 1 ppm,
300 A,167.37 A,A Line Drip,2000-04-06 00:00:00,Liquid,< 1 ppm,
300 A,167.37 A,A Line Drip,2000-04-19 00:00:00,Liquid,1 ppm,
300 A,167.37 A,A Line Drip,2000-05-01 00:00:00,Liquid,< 1 ppm,
300 A,167.37 A,A Line Drip,2000-05-14 00:00:00,Liquid,< 1 ppm,
300 A,167.37 A,A Line Drip,2000-06-01 00:00:00,Liquid,< 1 ppm,
300 A,167.37 A,A Line Drip,2000-06-16 00:00:00,Liquid,< 1 ppm,
300 A,167.37 A,A Line Drip,2000-06-30 00:00:00,Liquid,1 ppm,
300 A,167.37 A,A Line Drip,2000-07-29 00:00:00,Liquid,1 ppm,
300 A,167.37 A,A Line Drip,2000-08-21 00:00:00,Liquid,1 ppm,
300 A,167.37 A,A Line Drip,2000-09-06 00:00:00,Liquid,1 ppm,~20 mls
300 A,167.37 A,A Line Drip,2000-09-18 00:00:00,Liquid,1 ppm,~20 mls
300 A,167.37 A,A Line Drip,2000-10-03 00:00:00,Liquid,3 ppm,~50 mls
300 A,167.37 A,A Line Drip,2000-10-27 00:00:00,Liquid,2 ppm,~20 mls
300 A,167.37 A,A Line Drip,2000-11-21 00:00:00,Liquid,3 ppm,~20 mls
300 A,167.37 A,A Line Drip,2001-01-22 00:00:00,Liquid,3 ppm as Aroclor 1242,~10 mls
300 A,170.61 A,A Line Drip,2000-04-06 00:00:00,Liquid,ND < 1ppm,
300 A,170.61 A,A Line Drip,2000-04-19 00:00:00,Liquid,ND < 1ppm,
300 A,170.61 A,A Line Drip,2000-05-14 00:00:00,Liquid,ND < 1ppm,
300 A,170.61 A,A Line Drip,2000-06-01 00:00:00,Liquid,ND < 1ppm,
300 A,170.61 A,A Line Drip,2000-06-15 00:00:00,Liquid,ND < 1ppm,
300 A,170.61 A,A Line Drip,2000-06-30 00:00:00,Liquid,ND < 1ppm,
300 A,170.61 A,A Line Drip,2000-07-23 00:00:00,None,,
300 A,170.61 A,A Line Drip,2000-08-21 00:00:00,Liquid,1 ppm,
300 A,170.61 A,A Line Drip,2000-09-06 00:00:00,Liquid,<1 ppm,~10 mls
300 A,170.61 A,A Line Drip,2000-09-19 00:00:00,Liquid,<1 ppm,<10 mls (trace)
300 A,170.61 A,A Line Drip,2000-10-03 00:00:00,Liquid,<1 ppm,<10 mls (trace)
300 A,170.61 A,A Line Drip,2000-10-27 00:00:00,Liquid,18 ppm,~20 mls (trace)
300 A,170.61 A,A Line Drip,2000-12-19 00:00:00,Liquid,< 1 ppm,~20 mls (trace)
300 A,170.61 A,A Line Drip,2001-01-23 00:00:00,Liquid,3 ppm as Aroclor 1242,~15 mls \
300 A,170.62 A,Line 300 A Drip at Victorville Tap,2000-02-10 00:00:00,None,,No liquids in drip
300 A,175.49 A,Line 300 A Drip,2000-02-10 00:00:00,Liquid,ND < 1 ppm,
300 A,175.49 A,Line 300 A Drip,2000-02-24 00:00:00,Liquid,7 ppm,
300 A,175.49 A,Line 300 A Drip,2000-03-09 00:00:00,Liquid,1 ppm,
300 A,175.49 A,Line 300 A Drip,2000-04-06 00:00:00,Liquid,< 1 ppm,
300 A,175.49 A,Line 300 A Drip,2000-04-19 00:00:00,Liquid,1 ppm,
300 A,175.49 A,Line 300 A Drip,2000-05-14 00:00:00,Liquid,< 1 ppm,
300 A,175.49 A,Line 300 A Drip,2000-06-01 00:00:00,Liquid,< 1 ppm,
300 A,175.49 A,Line 300 A Drip,2000-06-15 00:00:00,Liquid,1 ppm,
300 A,175.49 A,Line 300 A Drip,2000-06-29 00:00:00,None,1 ppm,
300 A,175.49 A,Line 300 A Drip,2000-06-30 00:00:00,Liquid,1 ppm,
300 A,175.49 A,Line 300 A Drip,2000-07-23 00:00:00,Liquid ,1 ppm,
300 A,175.49 A,Line 300 A Drip,2000-07-29 00:00:00,Liquid,1 ppm,
300 A,175.49 A,Line 300 A Drip,2000-08-10 00:00:00,Liquid,2 ppm,
300 A,175.49 A,Line 300 A Drip,2000-08-16 00:00:00,Liquid,2 ppm,
300 A,175.49 A,Line 300 A Drip,2000-08-21 00:00:00,Liquid,1 ppm,
300 A,175.49 A,Line 300 A Drip,2000-08-24 00:00:00,Liquid,2 ppm,
300 A,175.49 A,Line 300 A Drip,2000-08-30 00:00:00,Liquid,2 ppm,
300 A,175.49 A,Line 300 A Drip,2000-09-06 00:00:00,Liquid,2 ppm,~20 mls
300 A,175.49 A,Line 300 A Drip,2000-09-07 00:00:00,Liquid,2 ppm,
300 A,175.49 A,Line 300 A Drip,2000-09-19 00:00:00,Liquid,3 ppm,~20 mls
300 A,175.49 A,Line 300 A Drip,2000-10-03 00:00:00,Liquid,3 ppm,~50 mls
300 A,175.49 A,Line 300 A Drip,2000-10-16 00:00:00,Liquid,2 ppm,~20 mls
300 A,175.49 A,Line 300 A Drip,2000-11-21 00:00:00,Liquid,2 ppm,~20 mls
300 A,175.49 A,Line 300 A Drip,2000-12-19 00:00:00,Liquid,2 ppm as Aroclor 1242,~10 mls
300 A,180.64 A,Trona - Main # 311 X,2000-02-10 00:00:00,None,,No liquids in filter (east filter tap)
300 A,181.79 A,Kramer Junction (4 Corners),2000-02-10 00:00:00,Liquid,4 ppm,Second Stage sample point - good liquid sample obtained
300 A,181.79 A,Kramer Junction (4 Corners),2000-02-24 00:00:00,Liquid,5 ppm,Second stage Regulator
300 A,181.79 A,Kramer Junction (4 Corners),2000-03-08 00:00:00,Liquid,7 ppm,
300 A,181.79 A,Kramer Junction (4 Corners),2000-03-21 00:00:00,Liquid,26 ppm,
300 A,181.79 A,Kramer Junction (4 Corners),2000-04-05 00:00:00,Liquid,11 ppm,Regulator Pit
300 A,181.79 A,Kramer Junction (4 Corners),2000-04-18 00:00:00,Liquid,6 ppm,
300 A,181.79 A,Kramer Junction (4 Corners),2000-05-03 00:00:00,Liquid,12 ppm,
300 A,181.79 A,Kramer Junction (4 Corners),2000-05-15 00:00:00,Liquid,14 ppm,
300 A,181.79 A,Kramer Junction (4 Corners),2000-05-30 00:00:00,Liquid,26 ppm,
300 A,181.79 A,Kramer Junction (4 Corners),2000-07-25 00:00:00,None,,
300 A,181.79 A,Kramer Junction (4 Corners),2000-08-10 00:00:00,Liquid,8 ppm,
300 A,181.79 A,Kramer Junction (4 Corners),2000-08-21 00:00:00,None,,
300 A,181.79 A,Kramer Junction (4 Corners),2000-08-24 00:00:00,Liquid,4 ppm,
300 A,181.79 A,Kramer Junction (4 Corners),2000-09-06 00:00:00,Liquid,9 ppm,<10 mls
300 A,181.79 A,Kramer Junction (4 Corners),2000-09-19 00:00:00,None,,Dry
300 A,181.79 A,Kramer Junction (4 Corners),2000-10-04 00:00:00,None,,Dry
300 A,181.79 A,Kramer Junction (4 Corners),2000-11-03 00:00:00,None,,Dry
300 A,181.79 A,Kramer Junction (4 Corners),2000-12-05 00:00:00,None,,Dry
300 A,181.79 A,Kramer Junction (4 Corners),2001-01-03 00:00:00,None,,Dry
300 A,181.79 A,Kramer Junction (4 Corners),2001-02-02 00:00:00,Liquid,20 ppm as Aroclor 1242,< 10 mls
300 A,188.06 A,Boron Town Site,,None,,Tap not inspected or sampled
300 A,188.06 A,Boron Town Site,2000-06-01 00:00:00,Liquid,1 ppm,
300 A,191.09 A,"US Borax and Chem. Co.,       Hal B Hayes",,None,,Tap not inspected or sampled
300 A,197.63 A,North Edwards - Red Barn,2000-02-10 00:00:00,None,,Didn't sample
300 A,200.97 A,Clay Mine Road (Muroc Motel),2000-02-10 00:00:00,None,,Didn't sample
300 A,203.01 A,PLS 3A Insertion Meter,2000-02-16 00:00:00,Wipe,ND <0.7 ug/100cm2,
300 A,203.02 A,"Edwards AFB, from PLS #3, elbow",2000-02-10 00:00:00,Wipe,1.3 ug/wipe,East Run - Two Wipe samples taken (semi-quantitative)
300 A,203.02 A,"Edwards AFB, from PLS #3, elbow",2000-08-10 00:00:00,Wipe,3 ppm,
300 A,203.02 A,"Edwards AFB, from PLS #3, valve",2000-02-10 00:00:00,Wipe,< 1ug/wipe,East Run - Two Wipe samples taken (semi-quantitative)
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2000-03-22 00:00:00,Wipe,"2 ug /wipe as Aroclor 1016, 1 ug/wipe as Aroclor 1254",
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2000-04-04 00:00:00,Wipe,"0.8 ug /wipe as Aroclor 1016, 0.8 ug/wipe as Aroclor 1254",
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2000-05-15 00:00:00,Liquid,1 ppm,
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2000-06-01 00:00:00,Liquid,8 ppm,
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2000-06-13 00:00:00,Liquid,3 ppm,
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2000-07-24 00:00:00,Liquid,"2.6 ppm as Aroclor 1016, 0.6 ppm as Aroclor 1260",< 10 mls
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2000-08-07 00:00:00,Liquid,,
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2000-08-22 00:00:00,Liquid,"2 ppm as Aroclor 1016, 1 ppm as Aroclor 1254",< 10 mls liquid
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2000-09-06 00:00:00,Liquid,"2 ppm as Aroclor 1016, 2 ppm as Aroclor 1254",< 10 mls
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2000-09-19 00:00:00,Liquid,2 ppm,< 10 mls
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2000-10-03 00:00:00,Liquid,19 ppm,< 10 mls
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2000-11-03 00:00:00,Liquid,<1 ppm,< 10 mls?
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2001-01-02 00:00:00,Liquid,"1 ppm as Aroclor 1242, 0.7ppm as Aroclor 1254",< 10 mls
300 A,203.02 A,"Edwards AFB, Industrial Meter Set",2001-02-02 00:00:00,Liquid,2 ppm as Aroclor 1242,< 10 mls
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-03-22 00:00:00,Liquid,< 1 ppm,
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-04-04 00:00:00,Liquid,< 1 ppm,
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-04-19 00:00:00,Liquid,ND < 1 ppm,
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-05-04 00:00:00,Liquid,ND < 1 ppm,
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-05-15 00:00:00,Liquid,,Insufficient Sample
300 A,203.02 A,"Edwards AFB, Housing Meter Set ",2000-06-01 00:00:00,Liquid,,Insufficient Sample
