Date Peak Daily Vol,Daily Volatility Peak Daily Vol,Date Off-Peak Daily Vol,Daily Volatility Off-Peak Daily Vol,Date Peak Monthly Vol,Volatility Peak Monthly Vol,Date Off-Peak Monthly Vol,Volatility Off-Peak Monthly Vol
2003-02-01 00:00:00,1.15,2003-02-01 00:00:00,0.575,2003-02-01 00:00:00,0.5417,2003-02-01 00:00:00,0.2709
2003-03-01 00:00:00,1.15,2003-03-01 00:00:00,0.575,2003-03-01 00:00:00,0.5123,2003-03-01 00:00:00,0.2561
2003-04-01 00:00:00,1.1,2003-04-01 00:00:00,0.55,2003-04-01 00:00:00,0.5214,2003-04-01 00:00:00,0.2607
2003-05-01 00:00:00,1.1,2003-05-01 00:00:00,0.55,2003-05-01 00:00:00,0.5115,2003-05-01 00:00:00,0.2558
2003-06-01 00:00:00,1.25,2003-06-01 00:00:00,0.625,2003-06-01 00:00:00,0.572,2003-06-01 00:00:00,0.286
2003-07-01 00:00:00,1.5,2003-07-01 00:00:00,0.75,2003-07-01 00:00:00,0.5885,2003-07-01 00:00:00,0.2943
2003-08-01 00:00:00,1.75,2003-08-01 00:00:00,0.875,2003-08-01 00:00:00,0.6794,2003-08-01 00:00:00,0.3397
2003-09-01 00:00:00,1.5,2003-09-01 00:00:00,0.75,2003-09-01 00:00:00,0.6552,2003-09-01 00:00:00,0.3276
2003-10-01 00:00:00,1.25,2003-10-01 00:00:00,0.625,2003-10-01 00:00:00,0.5606,2003-10-01 00:00:00,0.2803
2003-11-01 00:00:00,1.25,2003-11-01 00:00:00,0.625,2003-11-01 00:00:00,0.4582,2003-11-01 00:00:00,0.2291
2003-12-01 00:00:00,1.25,2003-12-01 00:00:00,0.625,2003-12-01 00:00:00,0.4582,2003-12-01 00:00:00,0.2291
2004-01-01 00:00:00,1.25,2004-01-01 00:00:00,0.625,2004-01-01 00:00:00,0.5152,2004-01-01 00:00:00,0.2576
2004-02-01 00:00:00,1.15,2004-02-01 00:00:00,0.575,2004-02-01 00:00:00,0.5047,2004-02-01 00:00:00,0.2523
2004-03-01 00:00:00,1.15,2004-03-01 00:00:00,0.575,2004-03-01 00:00:00,0.4794,2004-03-01 00:00:00,0.2397
2004-04-01 00:00:00,1.1,2004-04-01 00:00:00,0.55,2004-04-01 00:00:00,0.4872,2004-04-01 00:00:00,0.2436
2004-05-01 00:00:00,1.1,2004-05-01 00:00:00,0.55,2004-05-01 00:00:00,0.4787,2004-05-01 00:00:00,0.2394
2004-06-01 00:00:00,1.25,2004-06-01 00:00:00,0.625,2004-06-01 00:00:00,0.5304,2004-06-01 00:00:00,0.2652
2004-07-01 00:00:00,1.5,2004-07-01 00:00:00,0.75,2004-07-01 00:00:00,0.5445,2004-07-01 00:00:00,0.2723
2004-08-01 00:00:00,1.75,2004-08-01 00:00:00,0.875,2004-08-01 00:00:00,0.6224,2004-08-01 00:00:00,0.3112
2004-09-01 00:00:00,1.5,2004-09-01 00:00:00,0.75,2004-09-01 00:00:00,0.6016,2004-09-01 00:00:00,0.3008
2004-10-01 00:00:00,1.25,2004-10-01 00:00:00,0.625,2004-10-01 00:00:00,0.5206,2004-10-01 00:00:00,0.2603
2004-11-01 00:00:00,1.25,2004-11-01 00:00:00,0.625,2004-11-01 00:00:00,0.4328,2004-11-01 00:00:00,0.2164
2004-12-01 00:00:00,1.25,2004-12-01 00:00:00,0.625,2004-12-01 00:00:00,0.4328,2004-12-01 00:00:00,0.2164
2005-01-01 00:00:00,1.25,2005-01-01 00:00:00,0.625,2005-01-01 00:00:00,0.4826,2005-01-01 00:00:00,0.2413
2005-02-01 00:00:00,1.15,2005-02-01 00:00:00,0.575,2005-02-01 00:00:00,0.4733,2005-02-01 00:00:00,0.2366
2005-03-01 00:00:00,1.15,2005-03-01 00:00:00,0.575,2005-03-01 00:00:00,0.4514,2005-03-01 00:00:00,0.2257
2005-04-01 00:00:00,1.1,2005-04-01 00:00:00,0.55,2005-04-01 00:00:00,0.4578,2005-04-01 00:00:00,0.2289
2005-05-01 00:00:00,1.1,2005-05-01 00:00:00,0.55,2005-05-01 00:00:00,0.4503,2005-05-01 00:00:00,0.2252
2005-06-01 00:00:00,1.25,2005-06-01 00:00:00,0.625,2005-06-01 00:00:00,0.4946,2005-06-01 00:00:00,0.2473
2005-07-01 00:00:00,1.5,2005-07-01 00:00:00,0.75,2005-07-01 00:00:00,0.5065,2005-07-01 00:00:00,0.2533
2005-08-01 00:00:00,1.75,2005-08-01 00:00:00,0.875,2005-08-01 00:00:00,0.5733,2005-08-01 00:00:00,0.2866
2005-09-01 00:00:00,1.5,2005-09-01 00:00:00,0.75,2005-09-01 00:00:00,0.5552,2005-09-01 00:00:00,0.2776
2005-10-01 00:00:00,1.25,2005-10-01 00:00:00,0.625,2005-10-01 00:00:00,0.4853,2005-10-01 00:00:00,0.2427
2005-11-01 00:00:00,1.25,2005-11-01 00:00:00,0.625,2005-11-01 00:00:00,0.4096,2005-11-01 00:00:00,0.2048
2005-12-01 00:00:00,1.25,2005-12-01 00:00:00,0.625,2005-12-01 00:00:00,0.4094,2005-12-01 00:00:00,0.2047
2006-01-01 00:00:00,1.25,2006-01-01 00:00:00,0.625,2006-01-01 00:00:00,0.4519,2006-01-01 00:00:00,0.226
2006-02-01 00:00:00,1.15,2006-02-01 00:00:00,0.575,2006-02-01 00:00:00,0.4437,2006-02-01 00:00:00,0.2219
2006-03-01 00:00:00,1.15,2006-03-01 00:00:00,0.575,2006-03-01 00:00:00,0.4247,2006-03-01 00:00:00,0.2123
2006-04-01 00:00:00,1.1,2006-04-01 00:00:00,0.55,2006-04-01 00:00:00,0.4301,2006-04-01 00:00:00,0.215
2006-05-01 00:00:00,1.1,2006-05-01 00:00:00,0.55,2006-05-01 00:00:00,0.4234,2006-05-01 00:00:00,0.2117
2006-06-01 00:00:00,1.25,2006-06-01 00:00:00,0.625,2006-06-01 00:00:00,0.4613,2006-06-01 00:00:00,0.2307
2006-07-01 00:00:00,1.5,2006-07-01 00:00:00,0.75,2006-07-01 00:00:00,0.4714,2006-07-01 00:00:00,0.2357
2006-08-01 00:00:00,1.75,2006-08-01 00:00:00,0.875,2006-08-01 00:00:00,0.5286,2006-08-01 00:00:00,0.2643
2006-09-01 00:00:00,1.5,2006-09-01 00:00:00,0.75,2006-09-01 00:00:00,0.5129,2006-09-01 00:00:00,0.2564
2006-10-01 00:00:00,1.25,2006-10-01 00:00:00,0.625,2006-10-01 00:00:00,0.4526,2006-10-01 00:00:00,0.2263
2006-11-01 00:00:00,1.25,2006-11-01 00:00:00,0.625,2006-11-01 00:00:00,0.3872,2006-11-01 00:00:00,0.1936
2006-12-01 00:00:00,1.25,2006-12-01 00:00:00,0.625,2006-12-01 00:00:00,0.3868,2006-12-01 00:00:00,0.1934
2007-01-01 00:00:00,1.25,2007-01-01 00:00:00,0.625,2007-01-01 00:00:00,0.4223,2007-01-01 00:00:00,0.2112
2007-02-01 00:00:00,1.15,2007-02-01 00:00:00,0.575,2007-02-01 00:00:00,0.4153,2007-02-01 00:00:00,0.2076
2007-03-01 00:00:00,1.15,2007-03-01 00:00:00,0.575,2007-03-01 00:00:00,0.3989,2007-03-01 00:00:00,0.1994
2007-04-01 00:00:00,1.1,2007-04-01 00:00:00,0.55,2007-04-01 00:00:00,0.4035,2007-04-01 00:00:00,0.2017
2007-05-01 00:00:00,1.1,2007-05-01 00:00:00,0.55,2007-05-01 00:00:00,0.3978,2007-05-01 00:00:00,0.1989
2007-06-01 00:00:00,1.25,2007-06-01 00:00:00,0.625,2007-06-01 00:00:00,0.4303,2007-06-01 00:00:00,0.2152
2007-07-01 00:00:00,1.5,2007-07-01 00:00:00,0.75,2007-07-01 00:00:00,0.439,2007-07-01 00:00:00,0.2195
2007-08-01 00:00:00,1.75,2007-08-01 00:00:00,0.875,2007-08-01 00:00:00,0.4883,2007-08-01 00:00:00,0.2441
2007-09-01 00:00:00,1.5,2007-09-01 00:00:00,0.75,2007-09-01 00:00:00,0.4748,2007-09-01 00:00:00,0.2374
2007-10-01 00:00:00,1.25,2007-10-01 00:00:00,0.625,2007-10-01 00:00:00,0.4228,2007-10-01 00:00:00,0.2114
2007-11-01 00:00:00,1.25,2007-11-01 00:00:00,0.625,2007-11-01 00:00:00,0.3665,2007-11-01 00:00:00,0.1832
2007-12-01 00:00:00,1.25,2007-12-01 00:00:00,0.625,2007-12-01 00:00:00,0.3661,2007-12-01 00:00:00,0.1831
2008-01-01 00:00:00,1.25,2008-01-01 00:00:00,0.625,2008-01-01 00:00:00,0.3975,2008-01-01 00:00:00,0.1988
2008-02-01 00:00:00,1.15,2008-02-01 00:00:00,0.575,2008-02-01 00:00:00,0.3913,2008-02-01 00:00:00,0.1956
2008-03-01 00:00:00,1.15,2008-03-01 00:00:00,0.575,2008-03-01 00:00:00,0.3769,2008-03-01 00:00:00,0.1885
2008-04-01 00:00:00,1.1,2008-04-01 00:00:00,0.55,2008-04-01 00:00:00,0.3808,2008-04-01 00:00:00,0.1904
2008-05-01 00:00:00,1.1,2008-05-01 00:00:00,0.55,2008-05-01 00:00:00,0.3756,2008-05-01 00:00:00,0.1878
2008-06-01 00:00:00,1.25,2008-06-01 00:00:00,0.625,2008-06-01 00:00:00,0.4037,2008-06-01 00:00:00,0.2018
2008-07-01 00:00:00,1.5,2008-07-01 00:00:00,0.75,2008-07-01 00:00:00,0.411,2008-07-01 00:00:00,0.2055
2008-08-01 00:00:00,1.75,2008-08-01 00:00:00,0.875,2008-08-01 00:00:00,0.4534,2008-08-01 00:00:00,0.2267
2008-09-01 00:00:00,1.5,2008-09-01 00:00:00,0.75,2008-09-01 00:00:00,0.4416,2008-09-01 00:00:00,0.2208
2008-10-01 00:00:00,1.25,2008-10-01 00:00:00,0.625,2008-10-01 00:00:00,0.3965,2008-10-01 00:00:00,0.1983
2008-11-01 00:00:00,1.25,2008-11-01 00:00:00,0.625,2008-11-01 00:00:00,0.3476,2008-11-01 00:00:00,0.1738
2008-12-01 00:00:00,1.25,2008-12-01 00:00:00,0.625,2008-12-01 00:00:00,0.3472,2008-12-01 00:00:00,0.1736
2009-01-01 00:00:00,1.25,2009-01-01 00:00:00,0.625,2009-01-01 00:00:00,0.3726,2009-01-01 00:00:00,0.1863
2009-02-01 00:00:00,1.15,2009-02-01 00:00:00,0.575,2009-02-01 00:00:00,0.3674,2009-02-01 00:00:00,0.1837
2009-03-01 00:00:00,1.15,2009-03-01 00:00:00,0.575,2009-03-01 00:00:00,0.3552,2009-03-01 00:00:00,0.1776
2009-04-01 00:00:00,1.1,2009-04-01 00:00:00,0.55,2009-04-01 00:00:00,0.3586,2009-04-01 00:00:00,0.1793
2009-05-01 00:00:00,1.1,2009-05-01 00:00:00,0.55,2009-05-01 00:00:00,0.3543,2009-05-01 00:00:00,0.1772
2009-06-01 00:00:00,1.25,2009-06-01 00:00:00,0.625,2009-06-01 00:00:00,0.3787,2009-06-01 00:00:00,0.1894
2009-07-01 00:00:00,1.5,2009-07-01 00:00:00,0.75,2009-07-01 00:00:00,0.3852,2009-07-01 00:00:00,0.1926
2009-08-01 00:00:00,1.75,2009-08-01 00:00:00,0.875,2009-08-01 00:00:00,0.4222,2009-08-01 00:00:00,0.2111
2009-09-01 00:00:00,1.5,2009-09-01 00:00:00,0.75,2009-09-01 00:00:00,0.4121,2009-09-01 00:00:00,0.2061
2009-10-01 00:00:00,1.25,2009-10-01 00:00:00,0.625,2009-10-01 00:00:00,0.3732,2009-10-01 00:00:00,0.1866
2009-11-01 00:00:00,1.25,2009-11-01 00:00:00,0.625,2009-11-01 00:00:00,0.3309,2009-11-01 00:00:00,0.1655
2009-12-01 00:00:00,1.25,2009-12-01 00:00:00,0.625,2009-12-01 00:00:00,0.3306,2009-12-01 00:00:00,0.1653
2010-01-01 00:00:00,1.25,2010-01-01 00:00:00,0.625,2010-01-01 00:00:00,0.3529,2010-01-01 00:00:00,0.1765
2010-02-01 00:00:00,1.15,2010-02-01 00:00:00,0.575,2010-02-01 00:00:00,0.3485,2010-02-01 00:00:00,0.1743
2010-03-01 00:00:00,1.15,2010-03-01 00:00:00,0.575,2010-03-01 00:00:00,0.3381,2010-03-01 00:00:00,0.169
2010-04-01 00:00:00,1.1,2010-04-01 00:00:00,0.55,2010-04-01 00:00:00,0.3412,2010-04-01 00:00:00,0.1706
2010-05-01 00:00:00,1.1,2010-05-01 00:00:00,0.55,2010-05-01 00:00:00,0.3377,2010-05-01 00:00:00,0.1688
2010-06-01 00:00:00,1.25,2010-06-01 00:00:00,0.625,2010-06-01 00:00:00,0.3591,2010-06-01 00:00:00,0.1796
2010-07-01 00:00:00,1.5,2010-07-01 00:00:00,0.75,2010-07-01 00:00:00,0.365,2010-07-01 00:00:00,0.1825
2010-08-01 00:00:00,1.75,2010-08-01 00:00:00,0.875,2010-08-01 00:00:00,0.3975,2010-08-01 00:00:00,0.1988
2010-09-01 00:00:00,1.5,2010-09-01 00:00:00,0.75,2010-09-01 00:00:00,0.3889,2010-09-01 00:00:00,0.1945
2010-10-01 00:00:00,1.25,2010-10-01 00:00:00,0.625,2010-10-01 00:00:00,0.355,2010-10-01 00:00:00,0.1775
2010-11-01 00:00:00,1.25,2010-11-01 00:00:00,0.625,2010-11-01 00:00:00,0.3181,2010-11-01 00:00:00,0.1591
2010-12-01 00:00:00,1.25,2010-12-01 00:00:00,0.625,2010-12-01 00:00:00,0.318,2010-12-01 00:00:00,0.159
2011-01-01 00:00:00,1.25,2011-01-01 00:00:00,0.625,2011-01-01 00:00:00,0.3378,2011-01-01 00:00:00,0.1689
2011-02-01 00:00:00,1.15,2011-02-01 00:00:00,0.575,2011-02-01 00:00:00,0.3341,2011-02-01 00:00:00,0.167
2011-03-01 00:00:00,1.15,2011-03-01 00:00:00,0.575,2011-03-01 00:00:00,0.325,2011-03-01 00:00:00,0.1625
2011-04-01 00:00:00,1.1,2011-04-01 00:00:00,0.55,2011-04-01 00:00:00,0.328,2011-04-01 00:00:00,0.164
2011-05-01 00:00:00,1.1,2011-05-01 00:00:00,0.55,2011-05-01 00:00:00,0.325,2011-05-01 00:00:00,0.1625
2011-06-01 00:00:00,1.25,2011-06-01 00:00:00,0.625,2011-06-01 00:00:00,0.3442,2011-06-01 00:00:00,0.1721
2011-07-01 00:00:00,1.5,2011-07-01 00:00:00,0.75,2011-07-01 00:00:00,0.3496,2011-07-01 00:00:00,0.1748
2011-08-01 00:00:00,1.75,2011-08-01 00:00:00,0.875,2011-08-01 00:00:00,0.3786,2011-08-01 00:00:00,0.1893
2011-09-01 00:00:00,1.5,2011-09-01 00:00:00,0.75,2011-09-01 00:00:00,0.3712,2011-09-01 00:00:00,0.1856
2011-10-01 00:00:00,1.25,2011-10-01 00:00:00,0.625,2011-10-01 00:00:00,0.3414,2011-10-01 00:00:00,0.1707
2011-11-01 00:00:00,1.25,2011-11-01 00:00:00,0.625,2011-11-01 00:00:00,0.3088,2011-11-01 00:00:00,0.1544
2011-12-01 00:00:00,1.25,2011-12-01 00:00:00,0.625,2011-12-01 00:00:00,0.3089,2011-12-01 00:00:00,0.1545
2012-01-01 00:00:00,1.25,2012-01-01 00:00:00,0.625,2012-01-01 00:00:00,0.3266,2012-01-01 00:00:00,0.1633
2012-02-01 00:00:00,1.15,2012-02-01 00:00:00,0.575,2012-02-01 00:00:00,0.3235,2012-02-01 00:00:00,0.1618
2012-03-01 00:00:00,1.15,2012-03-01 00:00:00,0.575,2012-03-01 00:00:00,0.3157,2012-03-01 00:00:00,0.1578
2012-04-01 00:00:00,1.1,2012-04-01 00:00:00,0.55,2012-04-01 00:00:00,0.3185,2012-04-01 00:00:00,0.1593
2012-05-01 00:00:00,1.1,2012-05-01 00:00:00,0.55,2012-05-01 00:00:00,0.3161,2012-05-01 00:00:00,0.158
2012-06-01 00:00:00,1.25,2012-06-01 00:00:00,0.625,2012-06-01 00:00:00,0.3333,2012-06-01 00:00:00,0.1667
2012-07-01 00:00:00,1.5,2012-07-01 00:00:00,0.75,2012-07-01 00:00:00,0.3384,2012-07-01 00:00:00,0.1692
2012-08-01 00:00:00,1.75,2012-08-01 00:00:00,0.875,2012-08-01 00:00:00,0.3645,2012-08-01 00:00:00,0.1823
2012-09-01 00:00:00,1.5,2012-09-01 00:00:00,0.75,2012-09-01 00:00:00,0.3582,2012-09-01 00:00:00,0.1791
2012-10-01 00:00:00,1.25,2012-10-01 00:00:00,0.625,2012-10-01 00:00:00,0.3317,2012-10-01 00:00:00,0.1658
2012-11-01 00:00:00,1.25,2012-11-01 00:00:00,0.625,2012-11-01 00:00:00,0.3027,2012-11-01 00:00:00,0.1514
2012-12-01 00:00:00,1.25,2012-12-01 00:00:00,0.625,2012-12-01 00:00:00,0.303,2012-12-01 00:00:00,0.1515
2013-01-01 00:00:00,1.25,2013-01-01 00:00:00,0.625,2013-01-01 00:00:00,0.319,2013-01-01 00:00:00,0.1595
2013-02-01 00:00:00,1.15,2013-02-01 00:00:00,0.575,2013-02-01 00:00:00,0.3165,2013-02-01 00:00:00,0.1582
2013-03-01 00:00:00,1.15,2013-03-01 00:00:00,0.575,2013-03-01 00:00:00,0.3096,2013-03-01 00:00:00,0.1548
2013-04-01 00:00:00,1.1,2013-04-01 00:00:00,0.55,2013-04-01 00:00:00,0.3124,2013-04-01 00:00:00,0.1562
2013-05-01 00:00:00,1.1,2013-05-01 00:00:00,0.55,2013-05-01 00:00:00,0.3104,2013-05-01 00:00:00,0.1552
2013-06-01 00:00:00,1.25,2013-06-01 00:00:00,0.625,2013-06-01 00:00:00,0.3262,2013-06-01 00:00:00,0.1631
2013-07-01 00:00:00,1.5,2013-07-01 00:00:00,0.75,2013-07-01 00:00:00,0.331,2013-07-01 00:00:00,0.1655
2013-08-01 00:00:00,1.75,2013-08-01 00:00:00,0.875,2013-08-01 00:00:00,0.3548,2013-08-01 00:00:00,0.1774
2013-09-01 00:00:00,1.5,2013-09-01 00:00:00,0.75,2013-09-01 00:00:00,0.3493,2013-09-01 00:00:00,0.1747
2013-10-01 00:00:00,1.25,2013-10-01 00:00:00,0.625,2013-10-01 00:00:00,0.3256,2013-10-01 00:00:00,0.1628
2013-11-01 00:00:00,1.25,2013-11-01 00:00:00,0.625,2013-11-01 00:00:00,0.2997,2013-11-01 00:00:00,0.1498
2013-12-01 00:00:00,1.25,2013-12-01 00:00:00,0.625,2013-12-01 00:00:00,0.3001,2013-12-01 00:00:00,0.1501
2014-01-01 00:00:00,1.25,2014-01-01 00:00:00,0.625,2014-01-01 00:00:00,0.3148,2014-01-01 00:00:00,0.1574
2014-02-01 00:00:00,1.15,2014-02-01 00:00:00,0.575,2014-02-01 00:00:00,0.3127,2014-02-01 00:00:00,0.1564
2014-03-01 00:00:00,1.15,2014-03-01 00:00:00,0.575,2014-03-01 00:00:00,0.3067,2014-03-01 00:00:00,0.1534
2014-04-01 00:00:00,1.1,2014-04-01 00:00:00,0.55,2014-04-01 00:00:00,0.3095,2014-04-01 00:00:00,0.1547
2014-05-01 00:00:00,1.1,2014-05-01 00:00:00,0.55,2014-05-01 00:00:00,0.3079,2014-05-01 00:00:00,0.154
2014-06-01 00:00:00,1.25,2014-06-01 00:00:00,0.625,2014-06-01 00:00:00,0.3225,2014-06-01 00:00:00,0.1613
2014-07-01 00:00:00,1.5,2014-07-01 00:00:00,0.75,2014-07-01 00:00:00,0.3271,2014-07-01 00:00:00,0.1636
2014-08-01 00:00:00,1.75,2014-08-01 00:00:00,0.875,2014-08-01 00:00:00,0.3491,2014-08-01 00:00:00,0.1746
2014-09-01 00:00:00,1.5,2014-09-01 00:00:00,0.75,2014-09-01 00:00:00,0.3444,2014-09-01 00:00:00,0.1722
2014-10-01 00:00:00,1.25,2014-10-01 00:00:00,0.625,2014-10-01 00:00:00,0.323,2014-10-01 00:00:00,0.1615
2014-11-01 00:00:00,1.25,2014-11-01 00:00:00,0.625,2014-11-01 00:00:00,0.2995,2014-11-01 00:00:00,0.1497
2014-12-01 00:00:00,1.25,2014-12-01 00:00:00,0.625,2014-12-01 00:00:00,0.3002,2014-12-01 00:00:00,0.1501
2015-01-01 00:00:00,1.25,2015-01-01 00:00:00,0.625,2015-01-01 00:00:00,0.315,2015-01-01 00:00:00,0.1575
2015-02-01 00:00:00,1.15,2015-02-01 00:00:00,0.575,2015-02-01 00:00:00,0.3131,2015-02-01 00:00:00,0.1566
2015-03-01 00:00:00,1.15,2015-03-01 00:00:00,0.575,2015-03-01 00:00:00,0.3076,2015-03-01 00:00:00,0.1538
2015-04-01 00:00:00,1.1,2015-04-01 00:00:00,0.55,2015-04-01 00:00:00,0.3101,2015-04-01 00:00:00,0.1551
2015-05-01 00:00:00,1.1,2015-05-01 00:00:00,0.55,2015-05-01 00:00:00,0.3087,2015-05-01 00:00:00,0.1544
2015-06-01 00:00:00,1.25,2015-06-01 00:00:00,0.625,2015-06-01 00:00:00,0.3222,2015-06-01 00:00:00,0.1611
2015-07-01 00:00:00,1.5,2015-07-01 00:00:00,0.75,2015-07-01 00:00:00,0.3264,2015-07-01 00:00:00,0.1632
2015-08-01 00:00:00,1.75,2015-08-01 00:00:00,0.875,2015-08-01 00:00:00,0.3466,2015-08-01 00:00:00,0.1733
2015-09-01 00:00:00,1.5,2015-09-01 00:00:00,0.75,2015-09-01 00:00:00,0.3423,2015-09-01 00:00:00,0.1711
2015-10-01 00:00:00,1.25,2015-10-01 00:00:00,0.625,2015-10-01 00:00:00,0.3226,2015-10-01 00:00:00,0.1613
2015-11-01 00:00:00,1.25,2015-11-01 00:00:00,0.625,2015-11-01 00:00:00,0.301,2015-11-01 00:00:00,0.1505
2015-12-01 00:00:00,1.25,2015-12-01 00:00:00,0.625,2015-12-01 00:00:00,0.3016,2015-12-01 00:00:00,0.1508
2016-01-01 00:00:00,1.25,2016-01-01 00:00:00,0.625,2016-01-01 00:00:00,0.3152,2016-01-01 00:00:00,0.1576
2016-02-01 00:00:00,1.15,2016-02-01 00:00:00,0.575,2016-02-01 00:00:00,0.3135,2016-02-01 00:00:00,0.1567
2016-03-01 00:00:00,1.15,2016-03-01 00:00:00,0.575,2016-03-01 00:00:00,0.3084,2016-03-01 00:00:00,0.1542
2016-04-01 00:00:00,1.1,2016-04-01 00:00:00,0.55,2016-04-01 00:00:00,0.3108,2016-04-01 00:00:00,0.1554
2016-05-01 00:00:00,1.1,2016-05-01 00:00:00,0.55,2016-05-01 00:00:00,0.3094,2016-05-01 00:00:00,0.1547
2016-06-01 00:00:00,1.25,2016-06-01 00:00:00,0.625,2016-06-01 00:00:00,0.3218,2016-06-01 00:00:00,0.1609
2016-07-01 00:00:00,1.5,2016-07-01 00:00:00,0.75,2016-07-01 00:00:00,0.3257,2016-07-01 00:00:00,0.1628
2016-08-01 00:00:00,1.75,2016-08-01 00:00:00,0.875,2016-08-01 00:00:00,0.3443,2016-08-01 00:00:00,0.1722
2016-09-01 00:00:00,1.5,2016-09-01 00:00:00,0.75,2016-09-01 00:00:00,0.3403,2016-09-01 00:00:00,0.1701
2016-10-01 00:00:00,1.25,2016-10-01 00:00:00,0.625,2016-10-01 00:00:00,0.3222,2016-10-01 00:00:00,0.1611
2016-11-01 00:00:00,1.25,2016-11-01 00:00:00,0.625,2016-11-01 00:00:00,0.3023,2016-11-01 00:00:00,0.1511
2016-12-01 00:00:00,1.25,2016-12-01 00:00:00,0.625,2016-12-01 00:00:00,0.3028,2016-12-01 00:00:00,0.1514
2017-01-01 00:00:00,1.25,2017-01-01 00:00:00,0.625,2017-01-01 00:00:00,0.3154,2017-01-01 00:00:00,0.1577
2017-02-01 00:00:00,1.15,2017-02-01 00:00:00,0.575,2017-02-01 00:00:00,0.3138,2017-02-01 00:00:00,0.1569
2017-03-01 00:00:00,1.15,2017-03-01 00:00:00,0.575,2017-03-01 00:00:00,0.3092,2017-03-01 00:00:00,0.1546
2017-04-01 00:00:00,1.1,2017-04-01 00:00:00,0.55,2017-04-01 00:00:00,0.3113,2017-04-01 00:00:00,0.1557
2017-05-01 00:00:00,1.1,2017-05-01 00:00:00,0.55,2017-05-01 00:00:00,0.3101,2017-05-01 00:00:00,0.155
2017-06-01 00:00:00,1.25,2017-06-01 00:00:00,0.625,2017-06-01 00:00:00,0.3215,2017-06-01 00:00:00,0.1607
2017-07-01 00:00:00,1.5,2017-07-01 00:00:00,0.75,2017-07-01 00:00:00,0.325,2017-07-01 00:00:00,0.1625
2017-08-01 00:00:00,1.75,2017-08-01 00:00:00,0.875,2017-08-01 00:00:00,0.3422,2017-08-01 00:00:00,0.1711
2017-09-01 00:00:00,1.5,2017-09-01 00:00:00,0.75,2017-09-01 00:00:00,0.3385,2017-09-01 00:00:00,0.1692
2017-10-01 00:00:00,1.25,2017-10-01 00:00:00,0.625,2017-10-01 00:00:00,0.3218,2017-10-01 00:00:00,0.1609
2017-11-01 00:00:00,1.25,2017-11-01 00:00:00,0.625,2017-11-01 00:00:00,0.3035,2017-11-01 00:00:00,0.1518
2017-12-01 00:00:00,1.25,2017-12-01 00:00:00,0.625,2017-12-01 00:00:00,0.304,2017-12-01 00:00:00,0.152
2018-01-01 00:00:00,1.25,2018-01-01 00:00:00,0.625,2018-01-01 00:00:00,0.3156,2018-01-01 00:00:00,0.1578
2018-02-01 00:00:00,1.15,2018-02-01 00:00:00,0.575,2018-02-01 00:00:00,0.3141,2018-02-01 00:00:00,0.1571
