,,,,,,,ENRON POW,ER TRADING &,TRANSMISSION,,,,,,Run Date,:       08/31,/01,,
734648,AQUILACANCOR,2001-08-16 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1171
735790,AQUILACANCOR,2001-08-16 00:00:00,2001-08-18 00:00:00,2001-08-19 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-3594
736804,AQUILACANCOR,2001-08-17 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-4185
736806,AQUILACANCOR,2001-08-17 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1477
736807,AQUILACANCOR,2001-08-17 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1390
737326,AQUILACANCOR,2001-08-17 00:00:00,2001-08-20 00:00:00,2001-08-20 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-4428
739458,AQUILACANCOR,2001-08-20 00:00:00,2001-08-21 00:00:00,2001-08-21 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-5405
739994,AQUILACANCOR,2001-08-20 00:00:00,2001-08-20 00:00:00,2001-08-20 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,720
740289,AQUILACANCOR,2001-08-20 00:00:00,2001-08-21 00:00:00,2001-08-21 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,5405
741206,AQUILACANCOR,2001-08-21 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,851
741392,AQUILACANCOR,2001-08-21 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,851
741870,AQUILACANCOR,2001-08-21 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1249
741876,AQUILACANCOR,2001-08-21 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,949
743520,AQUILACANCOR,2001-08-22 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,701
743750,AQUILACANCOR,2001-08-22 00:00:00,2001-08-23 00:00:00,2001-08-23 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2299
743904,AQUILACANCOR,2001-08-22 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-165
747503,AQUILACANCOR,2001-08-24 00:00:00,2001-08-27 00:00:00,2001-08-27 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-701
,,,,,,,ENRON POW,ER TRADING &,TRANSMISSION,,,,,,Run Date,:       08/31,/01,,
Report Da,te:  08/31/01,,,,,,,Deal Summar,y,,,,,,Run Time,:       16:10,:59,,
Post ID:,12573,,,,,,,,,,,,,,Page,:       2,,,
Desk: ALB,ERTA-HOURLY,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Trade,Start,End,,,,,,,,,,Current,,,,Prior Day,Prior
Deal,Counter,Date,Date,Date,Anty,Delivery,PV'd,Swap Vol,PV'd,Option Vol,Notional,Deal Vol,,Deal,MTM P/L,,LTD,Hedge,Day
Number,Party,MM/DD/YY,MM/DD/YY,MM/DD/YY,Y/N,Point,Peak,Off Peak,Peak,Off Peak,Peak,Off Peak,Price Mid,Basis Mid,Total Mid,Prudent,Liquidations,Management,Liquidations
---------,------------------,--------,--------,--------,----,------------------------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,----------------,---------------,-------------
,,,,,,,,,,,,,,,,,,,
748029,AQUILACANCOR,2001-08-24 00:00:00,2001-08-27 00:00:00,2001-08-27 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,1301
748160,AQUILACANCOR,2001-08-24 00:00:00,2001-08-27 00:00:00,2001-08-27 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1901
748161,AQUILACANCOR,2001-08-24 00:00:00,2001-08-25 00:00:00,2001-08-26 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,13540
749113,AQUILACANCOR,2001-08-27 00:00:00,2001-08-28 00:00:00,2001-08-28 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,3426
749120,AQUILACANCOR,2001-08-27 00:00:00,2001-08-28 00:00:00,2001-08-28 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,3426
749897,AQUILACANCOR,2001-08-27 00:00:00,2001-08-28 00:00:00,2001-08-28 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2226
751599,AQUILACANCOR,2001-08-28 00:00:00,2001-08-28 00:00:00,2001-08-28 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1401
758367,ENCOREENESOL,2001-08-31 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Financial Deal - R21 (Alberta),0,1195,0,0,0,1200,-399,0,-399,-399,,-399,0
758369,ENCOREENESOL,2001-08-31 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Financial Deal - R21 (Alberta),0,1195,0,0,0,1200,797,0,797,797,,797,0
758387,ENCOREENESOL,2001-08-31 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Financial Deal - R21 (Alberta),0,1195,0,0,0,1200,797,0,797,797,,797,0
758432,ENCOREENESOL,2001-08-31 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Financial Deal - R21 (Alberta),0,1195,0,0,0,1200,1992,0,1992,1992,,1992,0
758786,ENCOREENESOL,2001-08-31 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Financial Deal - R21 (Alberta),0,1195,0,0,0,1200,1992,0,1992,1992,,1992,0
712918,ENGAGEENECAN,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,4392
715535,ENGAGEENECAN,2001-08-02 00:00:00,2001-08-03 00:00:00,2001-08-03 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,5504
721141,ENGAGEENECAN,2001-08-07 00:00:00,2001-08-07 00:00:00,2001-08-07 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,334
730298,ENGAGEENECAN,2001-08-14 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-916
730488,ENGAGEENECAN,2001-08-14 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-584
730854,ENGAGEENECAN,2001-08-14 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-916
734538,ENGAGEENECAN,2001-08-16 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1323
734589,ENGAGEENECAN,2001-08-16 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1471
734593,ENGAGEENECAN,2001-08-16 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,871
739424,ENGAGEENECAN,2001-08-20 00:00:00,2001-08-21 00:00:00,2001-08-21 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,4205
739956,ENGAGEENECAN,2001-08-20 00:00:00,2001-08-21 00:00:00,2001-08-21 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6005
711749,ENMAXENECOR,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-6629
712855,ENMAXENECOR,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,6192
714922,ENMAXENECOR,2001-08-02 00:00:00,2001-08-03 00:00:00,2001-08-03 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-9704
715129,ENMAXENECOR,2001-08-02 00:00:00,2001-08-03 00:00:00,2001-08-03 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,9704
715373,ENMAXENECOR,2001-08-02 00:00:00,2001-08-03 00:00:00,2001-08-03 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,7304
721688,ENMAXENECOR,2001-08-07 00:00:00,2001-08-07 00:00:00,2001-08-07 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1084
724023,ENMAXENECOR,2001-08-08 00:00:00,2001-08-09 00:00:00,2001-08-09 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,5017
725253,ENMAXENECOR,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,5061
735194,ENMAXENECOR,2001-08-16 00:00:00,2001-08-18 00:00:00,2001-08-19 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-4794
743174,ENMAXENECOR,2001-08-22 00:00:00,2001-08-23 00:00:00,2001-08-23 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,3799
749556,ENMAXENECOR,2001-08-27 00:00:00,2001-08-28 00:00:00,2001-08-28 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1626
749560,ENMAXENECOR,2001-08-27 00:00:00,2001-08-28 00:00:00,2001-08-28 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1026
749735,ENMAXENECOR,2001-08-27 00:00:00,2001-08-28 00:00:00,2001-08-28 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1026
749944,ENMAXENECOR,2001-08-27 00:00:00,2001-08-28 00:00:00,2001-08-28 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2226
758752,ENMAXENECOR,2001-08-31 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Financial Deal - R21 (Alberta),0,1195,0,0,0,1200,1992,0,1992,1992,,1992,0
758754,ENMAXENECOR,2001-08-31 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Financial Deal - R21 (Alberta),0,1195,0,0,0,1200,1992,0,1992,1992,,1992,0
758790,ENMAXENECOR,2001-08-31 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Financial Deal - R21 (Alberta),0,1195,0,0,0,1200,2590,0,2590,2590,,2590,0
711750,HEDGECDN,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,26110
713871,HEDGECDN,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-17982
721430,HEDGECDN,2001-08-07 00:00:00,2001-08-08 00:00:00,2001-08-08 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,11152
721648,HEDGECDN,2001-08-07 00:00:00,2001-08-08 00:00:00,2001-08-08 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,11752
721959,HEDGECDN,2001-08-07 00:00:00,2001-08-08 00:00:00,2001-08-08 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,12352
724986,HEDGECDN,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,4461
724988,HEDGECDN,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-4461
725261,HEDGECDN,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,11472
733446,HEDGECDN,2001-08-15 00:00:00,2001-08-16 00:00:00,2001-08-16 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-9745
742400,HEDGECDN,2001-08-21 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,2902
752755,HEDGECDN,2001-08-28 00:00:00,2001-08-28 00:00:00,2001-08-28 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-1026
759178,HEDGECDN,2001-08-31 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Alberta Power Pool,0,-10758,0,0,0,-10800,-20188,0,-20188,-20188,,-20188,0
710946,IDACORPENE,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6479
710947,IDACORPENE,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,6479
710952,IDACORPENE,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,6479
710953,IDACORPENE,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6479
710963,IDACORPENE,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6479
710964,IDACORPENE,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,6479
711089,IDACORPENE,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-6479
711090,IDACORPENE,2001-07-31 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,6479
712928,IDACORPENE,2001-08-01 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1020
713282,IDACORPENE,2001-08-01 00:00:00,2001-08-01 00:00:00,2001-08-01 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1020
715298,IDACORPENE,2001-08-02 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-57
725255,IDACORPENE,2001-08-09 00:00:00,2001-08-10 00:00:00,2001-08-10 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,5061
728400,IDACORPENE,2001-08-13 00:00:00,2001-08-14 00:00:00,2001-08-14 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-181
