THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01,THE WOOD REPORT - 09/01/01 thru 09/16/01
JREITME Total,,139,190,329,558875,780686,1339561,4071.613981762918
,,,,,,,,
KHOLST,,,,,,,,
,US Gas Basis NGI SoCal Apr-Jun02,,4,4,,25000,25000,6250
,US Gas Basis NGI SoCal Apr-Oct02,3,6,9,15000,31000,46000,5111.111111111111
,US Gas Basis NGI SoCal Dec01,6,4,10,60000,20000,80000,8000
,US Gas Basis NGI SoCal Feb02,1,2,3,5000,10000,15000,5000
,US Gas Basis NGI SoCal Jan02,1,4,5,5000,20000,25000,5000
,US Gas Basis NGI SoCal Jul-Sep02,2,2,4,10000,10000,20000,5000
,US Gas Basis NGI SoCal Mar02,1,2,3,5000,7000,12000,4000
,US Gas Basis NGI SoCal Nov01,15,2,17,160000,7000,167000,9823.529411764706
,US Gas Basis NGI SoCal Nov01-Mar02,8,7,15,31000,29000,60000,4000
,US Gas Basis NGI SoCal Nov02-Mar03,6,10,16,40000,70000,110000,6875
,US Gas Basis NGI SoCal Oct01,10,6,16,53000,48000,101000,6312.5
,US Gas Basis NGI SoCal Oct02,3,1,4,15000,5000,20000,5000
KHOLST Total,,56,50,106,399000,282000,681000,6424.528301886792
,,,,,,,,
MGRIGSB,,,,,,,,
,US Gas Basis NGI Malin Apr-Oct02,1,,1,5000,,5000,5000
,US Gas Basis NGI Malin Nov01,2,3,5,30000,40000,70000,14000
,US Gas Basis NGI Malin Nov01-Mar02,1,8,9,10000,50000,60000,6666.666666666667
,US Gas Basis NGI Malin Oct01,3,14,17,20000,175000,195000,11470.588235294117
,US Gas Basis NGI PGE CtyGate Nov01,10,,10,95000,,95000,9500
,US Gas Basis NGI PGE CtyGate Nov01-Mar02,1,1,2,10000,5000,15000,7500
,US Gas Basis NGI PGE CtyGate Oct01,13,9,22,165000,100000,265000,12045.454545454546
,US Gas Basis NGI SoCal Oct01,11,15,26,135000,160000,295000,11346.153846153846
,US Gas Daily Malin,3,6,9,30000,60000,90000,10000
,US Gas Daily PG&E CtyGate,11,6,17,140000,70000,210000,12352.941176470587
,US Gas Daily PG&E Large pkgs,,3,3,,15000,15000,5000
,US Gas Daily SoCal,3,8,11,35000,90000,125000,11363.636363636364
,US Gas Phy Index NGI Malin Oct01,1,,1,10000,,10000,10000
,US Gas Phy Index NGI SoCal Ehr Oct01,1,1,2,10000,10000,20000,10000
,US Gas Phy Index NGI SoCal Topck Oct01,1,1,2,10000,10000,20000,10000
,US Gas Phy PG&E CtyGte,66,164,230,925000,1895000,2820000,12260.869565217392
,US Gas Phy PG&E Topock,20,48,68,175000,465000,640000,9411.764705882353
,US Gas Phy PGT Malin,126,53,179,1235000,415000,1650000,9217.877094972067
MGRIGSB Total,,274,340,614,3040000,3560000,6600000,10749.185667752443
,,,,,,,,
MLENHAR,,,,,,,,
,US Gas Basis NGI Malin Nov01,,8,8,,55000,55000,6875
,US Gas Basis NGI Malin Oct01,,7,7,,60000,60000,8571.42857142857
,US Gas Basis NGI PGE CtyGate Apr-Oct02,1,1,2,5000,5000,10000,5000
,US Gas Basis NGI PGE CtyGate Nov01,1,1,2,5000,5000,10000,5000
,US Gas Basis NGI PGE CtyGate Nov01-Mar02,,4,4,,20000,20000,5000
,US Gas Basis NGI PGE CtyGate Oct01,3,2,5,45000,25000,70000,14000
MLENHAR Total,,5,23,28,55000,170000,225000,8035.714285714285
,,,,,,,,
MSANCH2,,,,,,,,
,US Gas Daily EP Permian,29,21,50,165000,120000,285000,5700
,US Gas Daily IF GD/D EP-Perm Nov01-Mar02,2,2,4,10000,10000,20000,5000
,US Gas Daily IF GD/D EP-Perm Oct01 ,7,5,12,60000,50000,110000,9166.666666666666
,US Gas Phy EPNG Keystone,262,243,505,1658510,1646050,3304560,6543.683168316832
,US Gas Phy Index IF EP Perm Nov01-Mar02,2,6,8,10000,30000,40000,5000
,US Gas Phy Index IF EP Perm Oct01,3,5,8,25000,50000,75000,9375
MSANCH2 Total,,305,282,587,1928510,1906050,3834560,6532.470187393526
,,,,,,,,
MSMITH18,,,,,,,,
,US Gas Phy EPNG Keystone,33,24,57,195953,184963,380916,6682.736842105263
,US Gas Phy SoCal EHR,56,107,163,725154,1550000,2275154,13958
,US Gas Phy SoCal Topk EPNG,46,97,143,483504,1347060,1830564,12801.146853146853
,US Gas Phy SoCal TW Needles,2,5,7,15000,25000,40000,5714.285714285715
,US Gas Phy SoCal Wheeler Ridge,16,7,23,80000,35000,115000,5000
MSMITH18 Total,,153,240,393,1499611,3142023,4641634,11810.773536895675
,,,,,,,,
RGAY,,,,,,,,
,US Gas Daily EP SanJuan,32,43,75,185000,235000,420000,5600
,US Gas Phy EP Blanco Avg,261,182,443,2263825,1704946,3968771,8958.851015801354
,US Gas Phy Index IF EPBlanco Avg Nov01,1,1,2,50000,55000,105000,52500
,US Gas Phy Index IF EPBlanco Avg Oct01,3,1,4,15000,5000,20000,5000
RGAY Total,,297,227,524,2513825,1999946,4513771,8614.06679389313
,,,,,,,,
SSOUTH,,,,,,,,
,US Gas Daily Kern River/Opal,2,1,3,10000,5000,15000,5000
,US Gas Phy Opal,122,210,332,574677,931599,1506276,4536.975903614458
SSOUTH Total,,124,211,335,584677,936599,1521276,4541.122388059702
,,,,,,,,
TKUYKEN,,,,,,,,
,US Gas Basis EP SanJuan Apr-Oct02,9,3,12,45000,15000,60000,5000
,US Gas Basis EP SanJuan Dec01,,1,1,,5000,5000,5000
,US Gas Basis EP SanJuan Feb02,1,,1,5000,,5000,5000
,US Gas Basis EP SanJuan Jan-Dec02,1,,1,5000,,5000,5000
,US Gas Basis EP SanJuan Mar02,2,1,3,10000,5000,15000,5000
,US Gas Basis EP SanJuan Nov01,7,13,20,40000,70000,110000,5500
,US Gas Basis EP SanJuan Nov01-Mar02,1,7,8,5000,35000,40000,5000
,US Gas Basis EP SanJuan Oct01,38,36,74,390000,350000,740000,10000
,US Gas Basis NWPL RkyMtn Apr-Oct02,,1,1,,5000,5000,5000
,US Gas Basis NWPL RkyMtn Nov01,1,,1,5000,,5000,5000
,US Gas Basis NWPL RkyMtn Oct01,3,5,8,20000,85000,105000,13125
TKUYKEN Total,,63,67,130,525000,570000,1095000,8423.076923076924
,,,,,,,,
Grand Total,,1606,1908,3514,12173098,14809675,26982773,
