Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis),Amerex Natural Gas - Forward Curve (Basis)
Q2 02,-0.13,-0.11499999999999999,0.04000000000000001,0.060000000000000005,-0.19000000000000003,-0.17,-0.51,-0.49499999999999994,-0.42999999999999994,-0.4099999999999999,-0.58,-0.57,-0.405,-0.395,-0.19000000000000003,-0.18000000000000002,-0.14,-0.13
Q3 02,0.08,0.09500000000000001,0.18000000000000002,0.19999999999999998,-0.07333333333333332,-0.05333333333333332,-0.51,-0.49499999999999994,-0.48,-0.45999999999999996,-0.63,-0.62,-0.385,-0.375,-0.14,-0.13,-0.08,-0.07
Q4 02,0.013333333333333336,0.03166666666666667,0.17500000000000004,0.19499999999999998,-0.03333333333333333,-0.013333333333333327,-0.4466666666666667,-0.4283333333333333,-0.09999999999999999,-0.07333333333333333,-0.38666666666666666,-0.37666666666666665,-0.27166666666666667,-0.26166666666666666,-0.14,-0.13,-0.14,-0.13
JV 02,-0.019999999999999993,-0.004999999999999997,0.115,0.135,-0.13,-0.11,-0.5099999999999999,-0.49500000000000005,-0.4471428571428571,-0.42714285714285705,-0.5971428571428571,-0.5871428571428572,-0.38500000000000006,-0.375,-0.16142857142857145,-0.15142857142857144,-0.11214285714285713,-0.10214285714285716
X2H3,0.025,0.04,0.235,0.265,0.025,0.045,-0.415,-0.40499999999999997,0.025,0.055,-0.315,-0.305,-0.25,-0.24,-0.16,-0.15,-0.14,-0.13
1 yr J 02,-0.0012499999999999966,0.013750000000000004,0.165,0.1891666666666667,-0.06541666666666666,-0.04541666666666667,-0.47041666666666665,-0.4575,-0.2504166666666667,-0.22624999999999995,-0.4795833333333333,-0.4695833333333333,-0.32875000000000004,-0.31875000000000003,-0.16083333333333336,-0.15083333333333335,-0.12374999999999999,-0.11375000000000002
JV03,0.125,0.14,0.36,0.39,0.024999999999999994,0.045,-0.395,-0.375,-0.295,-0.27499999999999997,-0.475,-0.45499999999999996,-0.32,-0.3,-0.13,-0.12000000000000001,-0.1,-0.08
X3H4,0.13,0.14500000000000002,0.38,0.4,0.11,0.13,-0.34,-0.32,0.165,0.185,-0.265,-0.24500000000000002,-0.2,-0.18000000000000002,-0.14,-0.13,-0.11000000000000001,-0.10000000000000002
 ,,,,,,,,,,,,,,,,,,
Cal 02,-0.03583333333333333,-0.018749999999999992,0.12791666666666668,0.1479166666666667,-0.10083333333333333,-0.08083333333333333,-0.4775,-0.4579166666666666,-0.3208333333333333,-0.29916666666666664,-0.5075,-0.49499999999999994,-0.35000000000000003,-0.34,-0.15250000000000002,-0.1425,-0.11666666666666665,-0.10666666666666669
Cal 03,0.10875,0.12791666666666665,0.35708333333333336,0.3795833333333334,0.04416666666666667,0.06666666666666667,-0.38999999999999996,-0.36999999999999994,-0.09333333333333334,-0.053333333333333344,-0.4008333333333332,-0.3808333333333333,-0.2816666666666667,-0.26166666666666666,-0.14041666666666666,-0.12166666666666669,-0.11000000000000004,-0.09250000000000001
Cal 04,0.15,0.16,0.41000000000000003,0.44000000000000006,0.09999999999999999,0.15,-0.38,-0.36,-0.19999999999999998,-0.09999999999999998,-0.33,-0.31,-0.21,-0.19,-0.1,-0.09000000000000001,-0.08,-0.06
Cal 05,0.16,0.17,0.42000000000000004,0.45000000000000007,0.11,0.16,-0.38,-0.36,-0.18999999999999997,-0.08999999999999997,-0.33,-0.31,-0.2,-0.18000000000000002,-0.09,-0.06999999999999999,-0.06999999999999999,-0.04999999999999999
Cal 06-10,0.15,0.19,0.38,0.43,0,0.1,-0.43,-0.39,-0.19999999999999998,-0.09999999999999998,-0.3,-0.25,-0.17,-0.12000000000000001,-0.08,-0.06,-0.06,-0.009999999999999995
Cal 11-15,0.15,0.25,0.3,0.4,0,0.1,-0.52,-0.46,-0.1,0.0,-0.3,-0.25,-0.15,-0.05,0,0.0,0,0.0
Cal 16-20,0.15,0.3,0.44999999999999996,0.5499999999999999,0,0.1,-0.55,-0.49000000000000005,-0.1,0.0,-0.3,-0.15,-0.15,-0.05,0,0.0,0,0.0
,,,,,,,,,,,,,,,,,,
F 03,0.035,0.05,0.435,0.455,0.045,0.075,-0.415,-0.39499999999999996,0.225,0.255,-0.295,-0.27499999999999997,-0.23,-0.21000000000000002,-0.185,-0.16999999999999998,-0.15000000000000002,-0.14
G 03,0.035,0.05,0.28500000000000003,0.30500000000000005,-0.0050000000000000044,0.024999999999999994,-0.415,-0.39499999999999996,0.024999999999999994,0.05499999999999999,-0.305,-0.285,-0.24000000000000002,-0.22000000000000003,-0.175,-0.15999999999999998,-0.135,-0.125
H 03,0.025,0.045,0.13500000000000004,0.15500000000000003,-0.05500000000000001,-0.02500000000000001,-0.415,-0.39499999999999996,-0.17500000000000002,-0.14500000000000002,-0.355,-0.33499999999999996,-0.27,-0.25,-0.16499999999999998,-0.14999999999999997,-0.125,-0.115
J 03,0.03,0.05,0.26,0.28,-0.07500000000000001,-0.05500000000000001,-0.395,-0.375,-0.235,-0.185,-0.435,-0.415,-0.33,-0.31,-0.16,-0.14,-0.13,-0.11
K 03,0.08,0.1,0.31,0.33,-0.02500000000000001,-0.005000000000000008,-0.395,-0.375,-0.235,-0.185,-0.435,-0.415,-0.33,-0.31,-0.16,-0.14,-0.13,-0.11
M 03,0.13,0.15,0.36,0.38,0.024999999999999994,0.045,-0.395,-0.375,-0.235,-0.185,-0.435,-0.415,-0.33,-0.31,-0.16,-0.14,-0.13,-0.11
N 03,0.16,0.18,0.36,0.38,0.024999999999999994,0.045,-0.395,-0.375,-0.34500000000000003,-0.29500000000000004,-0.545,-0.525,-0.31,-0.29,-0.1,-0.08,-0.07,-0.05
Q 03,0.19,0.21,0.41,0.43,0.075,0.095,-0.395,-0.375,-0.34500000000000003,-0.29500000000000004,-0.545,-0.525,-0.31,-0.29,-0.1,-0.08,-0.07,-0.05
U 03,0.22,0.24,0.45999999999999996,0.48,0.125,0.145,-0.395,-0.375,-0.34500000000000003,-0.29500000000000004,-0.545,-0.525,-0.31,-0.29,-0.1,-0.08,-0.07,-0.05
V 03,0.1,0.12000000000000001,0.36,0.41,0.024999999999999994,0.045,-0.395,-0.375,-0.185,-0.135,-0.385,-0.365,-0.32,-0.3,-0.13,-0.11,-0.1,-0.08
X 03,0.15,0.16999999999999998,0.43,0.45,0.16,0.18,-0.34500000000000003,-0.325,0.315,0.335,-0.265,-0.24500000000000002,-0.2,-0.18000000000000002,-0.13,-0.11,-0.11000000000000001,-0.09000000000000001
Z 03,0.15,0.16999999999999998,0.48,0.5,0.21000000000000002,0.23,-0.325,-0.305,0.41500000000000004,0.43500000000000005,-0.265,-0.24500000000000002,-0.2,-0.18000000000000002,-0.12000000000000001,-0.1,-0.10000000000000002,-0.08000000000000002
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Please note that these numbers are an indication only of each respective market at approximately 4:00 p.m. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Prices are subject to immediate change due to the volatility of the natural gas market. All quotes are settled using the NYMEX last day settled vs. the Inside F.E.R.C. Gas,,,,,,,,,,,,,,,,,,
"Market Report (first issue) or Natural Gas Intelligence Bid Week, unless otherwise specified.",,,,,,,,,,,,,,,,,,
