ECC Office Position as Basis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECC Office Index Position,,,,,,ECC Office Tolls Position Summary,,,,,,,,,,,
2002-02-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-02-04 00:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sumas,,,Malin,,,Socal,,Rockies,,,Aeco,,Consumers,Parkway,Niagra,Waddington,Dawn,Monchy,Tetco/M3,Kingsgate,Michcon,,Chicago,,,Ventura,,Dawn,,,Transco Zone 6,,PG&E,,,Station 2,,,,Nymex,,Aeco,Empress,Sumas,Station 2,,,,Aeco - ABC,Aeco - Emp,Aeco - McNeil,Total Aeco,,ANG,PGT,FootHills,Northern,TCPL - WADD,TCPL - East Z
2002-10-01 00:00:00,-179.9824259114996,-0.285,,-15.27,-0.08,,0,0,,-0.41,,-122.97617454,-0.365,,7.15,-1.29,-28.06,6.12,-0.36,28.4,-30.54,196.44,43.52,56.56,0.01,,-61.77,-0.1087,,0.04125,,0,0.305,,0,,20.26,-0.32525878093201044,,,-403.27190613,2.47,,-475.15,351.95,44.38,4.99,,,2002-10-01 00:00:00,-214.57,-74.53,-93.14,-382.24,,-216.26,,46.89,12.21,21.56,-7.44
2002-11-01 00:00:00,139.27626227000002,-0.06,-0.12729166666666666,14.73759878,0.04,0.03083333333333334,29.47759878,0.015,0.03,-0.28,-0.37333333333333335,-362.19044550000007,-0.33,-0.3241666666666666,5.9,0.02,-27.09,0,-0.34,27.42,-29.49,189.66,14.92,52.92,0.11375,0.07072916666666669,-59.63,0.005,-0.04895833333333333,0.19875,0.14041666666666663,0,1.0075,0.6079166666666665,0,,5.59,-0.13625,-0.19704140300356218,,-419.23049485000007,2.695,2.8424166666666673,-128.53,120.98,45.34,5.59,,,2002-11-01 00:00:00,-176.25,2.82,-78.5,-251.93,,-178.28,,29.06,-4.42,20.82,19.91
2002-12-01 00:00:00,15.2,0.21,,-15.2,0.075,,0,0.015,,-0.28,,-339.86390266999996,-0.33,,6.08,0.01,-27.93,0,-0.36,28.27,-30.4,195.53,15.38,52.82,0.11375,,-61.48,0.005,,0.19875,,0,1.0075,,0,,5.76,-0.13625,,,-433.99444611000007,2.894,,-137.46,124.72,46.74,5.76,,,2002-12-01 00:00:00,-181.7,2.91,-80.92,-259.71,,-183.79,,29.97,-4.56,21.47,20.53
2003-01-01 00:00:00,15.16,0.235,0.062,-15.16,0.085,0.046,0,0.005,0.008999999999999998,-0.28,-0.28,-299.12487566000004,-0.33,-0.33,6.18,0.01,-27.86,0,-0.36,28.2,-30.32,195.02,15.34,50.7,0.11375,0.11375,-61.32,0.005,0.005,0.19875,0.19875,0,1.0075,1.0075,0,,0,-0.13625,-0.13625,,-432.24775567,2.9810000000000003,2.8698000000000006,-136.01,124.81,46.62,0,,,2003-01-01 00:00:00,-181.23,2.9,-80.72,-259.05,,-183.32,,29.9,-4.55,21.42,20.48
2003-02-01 00:00:00,13.65,0.245,,-13.65,0.03,,0,0.005,,-0.28,,-264.74624496,-0.33,,5.57,0.02,-25.09,0,-0.32,25.4,-27.31,175.66,13.82,49.31,0.11375,,-55.23,0.005,,0.19875,,0,1.0075,,0,,0,-0.13625,,,-382.99349688,2.931,,-114.92,113.48,41.99,0,,,2003-02-01 00:00:00,-163.24,2.61,-72.7,-233.33,,-165.12,,26.93,-4.1,19.3,18.44
2003-03-01 00:00:00,15.08,-0.32,,-15.08,0,,0,0.005,,-0.28,,-289.35439055000006,-0.33,,6.15,0.01,-27.71,0,-0.34,28.05,-30.16,193.98,15.26,59.14,0.11375,,-60.99,0.005,,0.19875,,0,1.0075,,0,,0,-0.13625,,,-412.31756074,2.8480000000000003,,-108.89,125.31,46.37,0,,,2003-03-01 00:00:00,-180.27,2.88,-80.29,-257.68,,-182.34,,29.75,-4.53,21.31,20.37
2003-04-01 00:00:00,0,-0.2625,,-14.55,0.02,,0,0.045,,-0.44,,-345.95494925,-0.32,,5.93,0.01,-26.74,0,-0.34,27.06,-29.1,187.16,14.72,46.87,0.04,,-58.85,-0.0875,,0.09875,,0,0.3225,,0,,0,-0.24048680539214784,,,-384.07142045,2.729,,-101.76,120.9,15.26,0,,,2003-04-01 00:00:00,-173.92,2.78,-77.46,-248.6,,-175.92,,28.71,-4.37,20.57,19.65
2003-05-01 00:00:00,0,-0.2625,,-14.99,0.02,,0,0.045,,-0.44,,-351.27526299,-0.32,,6.12,0.02,-27.54,0,-0.34,27.87,-29.97,192.79,15.17,53.43,0.04,,-60.62,-0.0875,,0.09875,,0,0.3225,,0,,0,-0.24048018478120659,,,-388.6001505400001,2.7390000000000003,,-99.71,124.54,15.72,0,,,2003-05-01 00:00:00,-179.16,2.87,-79.79,-256.08,,-181.22,,29.58,-4.5,21.19,20.24
2003-06-01 00:00:00,0,-0.2625,,-14.45,0.02,,0,0.045,,-0.44,,-336.56596202,-0.32,,5.9,0.02,-26.56,0,-0.34,26.88,-28.91,185.94,14.63,53.6,0.04,,-58.46,-0.0875,,0.09875,,0,0.3225,,0,,0,-0.24047215025555158,,,-369.34817217,2.791,,-93.93,120.12,15.16,0,,,2003-06-01 00:00:00,-172.8,2.76,-76.96,-247,,-174.79,,28.53,-4.34,20.44,19.52
2003-07-01 00:00:00,0,-0.2625,-0.2625,-14.88,0.02,0.02,0,0.045,0.045,-0.44,-0.44,-347.22707263,-0.32,-0.32,6.07,0.02,-27.36,0,-0.34,27.69,-29.77,191.49,15.07,57.24,0.04,0.04,-60.21,-0.0875,-0.0875,0.09875,0.09875,0,0.3225,0.3225,0,,0,-0.2404640908160096,-0.24046383372039232,,-171.05640146000005,2.826,2.822857142857143,-94.85,123.7,45.38,0,,,2003-07-01 00:00:00,-177.95,2.85,-79.26,-254.36,,-180,,29.39,-4.47,21.06,20.1
2003-08-01 00:00:00,0,-0.2625,,-14.83,0.02,,0,0.045,,-0.44,,-347.84337912999996,-0.32,,6.05,0.02,-27.26,0,-0.34,27.59,-29.66,190.8,15.01,57.36,0.04,,-59.99,-0.0875,,0.09875,,0,0.3225,,0,,0,-0.24045599131002282,,,-381.48053305,2.8810000000000002,,-93.88,123.25,45.22,0,,,2003-08-01 00:00:00,-177.31,2.84,-78.97,-253.44,,-179.35,,29.29,-4.46,20.99,20.03
2003-09-01 00:00:00,0,-0.2625,,-14.3,0.02,,0,0.045,,-0.44,,-340.39410544000003,-0.32,,5.83,0.02,-26.28,0,-0.34,26.6,-28.6,183.95,14.47,50.44,0.04,,-57.84,-0.0875,,0.09875,,0,0.3225,,0,,0,-0.2404469381162908,,,-372.8184069199999,2.89,,-95.55,118.83,43.59,0,,,2003-09-01 00:00:00,-170.94,2.73,-76.13,-244.34,,-172.91,,28.25,-4.3,20.24,19.31
2003-10-01 00:00:00,0,-0.2625,,-14.72,0.02,,0,0.045,,-0.44,,-356.43636637,-0.32,,6,0.02,-27.05,0,-0.34,27.38,-29.44,189.37,14.9,45.97,0.04,,-59.54,-0.0875,,0.09875,,0,0.3225,,0,,0,-0.24044067537151692,,,-389.78963397,2.9040000000000004,,-104.37,122.33,44.88,0,,,2003-10-01 00:00:00,-175.98,2.81,-78.38,-251.55,,-178,,29.09,-4.43,20.84,19.88
2003-11-01 00:00:00,0,0.07,-0.10416666666666667,-14.19,0.06,0.08333333333333333,0,0.055,0.08416666666666667,-0.23,-0.2883333333333334,-306.90692179,-0.31,-0.3333333333333333,13.91,22.42,-26.07,0,-0.16,26.39,-28.37,182.52,14.36,8.18,0.075,0.075,-29.01,0.005,-0.04895833333333333,0.18,0.15083333333333326,0,0.64,0.6214583333333332,0,,0,-0.17499999999999938,-0.23837524316932554,,-322.56409861,3.0740000000000003,3.09225,-75.41,33.45,32.63,0,,,2003-11-01 00:00:00,-169.62,2.71,-75.54,-242.45,,-171.57,,-1.2,-4.27,20.09,-10.81
2003-12-01 00:00:00,0,0.41,,-14.6,0.06,,0,0.055,,-0.23,,-318.70990969,-0.31,,14.32,23.08,-26.83,0,-0.17,27.16,-29.2,187.85,14.78,5.65,0.075,,-29.86,0.005,,0.18,,0,0.89,,0,,0,-0.175,,,-334.80728741,3.2310000000000003,,-80.44,34.42,33.58,0,,,2003-12-01 00:00:00,-174.57,2.79,-77.75,-249.53,,-176.57,,-1.24,-4.39,20.69,-11.13
2004-01-01 00:00:00,0,0.44,0.17,-14.54,0.06,0.06,0,0.055,0.055,-0.23,-0.23,-286.4770051,-0.31,-0.31,14.25,22.98,-26.72,0,-0.17,27.04,-29.08,187.04,14.71,13.81,0.075,0.075,-29.73,0.005,0.005,0.18,0.18,0,1.52,1.04,0,,0,-0.175,-0.175,,-250.1770051,3.321,3.1964000000000006,-62.3,34.28,33.44,0,,,2004-01-01 00:00:00,-173.82,2.78,-77.41,-248.45,,-175.82,,-1.23,-4.38,20.6,-11.08
2004-02-01 00:00:00,0,0.12,,-13.54,0.06,,0,0.055,,-0.23,,-265.81037943,-0.31,,13.28,21.4,-24.89,0,-0.16,25.19,-27.08,174.2,13.7,13.59,0.075,,-27.69,0.005,,0.18,,0,1.52,,0,,0,-0.175,,,-232.00037942999998,3.245,,-57.02,31.92,31.14,0,,,2004-02-01 00:00:00,-161.88,2.59,-72.1,-231.39,,-163.75,,-1.15,-4.08,19.2,-10.32
2004-03-01 00:00:00,0,-0.19,,-14.42,0.06,,0,0.055,,-0.23,,-282.59108926,-0.31,,14.14,22.79,-26.5,0,-0.17,26.82,-28.84,185.49,14.59,14.9,0.075,,-29.48,0.005,,0.18,,0,0.63,,0,,0,-0.175,,,-246.59108926,3.111,,-60.28,34,33.16,0,,,2004-03-01 00:00:00,-172.37,2.76,-76.77,-246.38,,-174.36,,-1.22,-4.34,20.44,-10.99
2004-04-01 00:00:00,0,-0.3,,-13.89,0.1,,0,0.105,,-0.33,,-299.42110487,-0.35,,13.63,21.96,-25.53,0,-0.16,25.84,-27.79,178.74,14.06,14.99,0.075,,-28.41,-0.0875,,0.13,,0,0.3225,,0,,0,-0.2836664602180097,,,-236.93110486999998,2.938,,-57.4,32.76,4.17,0,,,2004-04-01 00:00:00,-166.1,2.66,-73.98,-237.42,,-168.01,,-1.18,-4.18,19.7,-10.59
2004-05-01 00:00:00,0,-0.3,,-14.3,0.1,,0,0.105,,-0.33,,-307.64561759000003,-0.35,,14.02,22.59,-26.27,0,-0.17,26.59,-28.59,183.92,14.47,15.91,0.075,,-29.24,-0.0875,,0.13,,0,0.3225,,0,,0,-0.28365600177106787,,,-243.34561759,2.9490000000000003,,-58.61,33.7,4.29,0,,,2004-05-01 00:00:00,-170.91,2.73,-76.12,-244.3,,-172.88,,-1.21,-4.31,20.28,-10.9
2004-06-01 00:00:00,0,-0.3,,-13.77,0.1,,0,0.105,,-0.33,,-295.94530134999997,-0.35,,13.51,21.77,-25.31,0,-0.16,25.62,-27.55,177.19,13.94,15.61,0.075,,-28.17,-0.0875,,0.13,,0,0.3225,,0,,0,-0.2836445368433682,,,-234.00530135,2.984,,-56.03,32.48,4.13,0,,,2004-06-01 00:00:00,-164.66,2.63,-73.34,-235.37,,-166.56,,-1.17,-4.15,19.54,-10.5
2004-07-01 00:00:00,0,-0.3,-0.3,-14.17,0.1,0.1,0,0.105,0.105,-0.33,-0.33,-303.79046073999996,-0.35,-0.35,13.9,22.39,-26.04,0,-0.16,26.35,-28.34,182.29,14.34,16.38,0.075,0.075,-28.98,-0.0875,-0.0875,0.13,0.13,0,0.3225,0.3225,0,,0,-0.28363724890960507,-0.28364327400455813,,-240.07046074000002,3.031,3.017857142857143,-56.97,33.41,32.59,0,,,2004-07-01 00:00:00,-169.4,2.71,-75.45,-242.14,,-171.35,,-1.2,-4.27,20.1,-10.8
2004-08-01 00:00:00,0,-0.3,,-14.1,0.1,,0,0.105,,-0.33,,-302.11803403,-0.35,,13.83,22.29,-25.92,0,-0.16,26.23,-28.21,181.44,14.27,16.55,0.075,,-28.84,-0.0875,,0.13,,0,0.3225,,0,,0,-0.2836344194212952,,,-238.67803403,3.081,,-56.44,33.26,32.44,0,,,2004-08-01 00:00:00,-168.61,2.7,-75.09,-241,,-170.55,,-1.2,-4.25,20.01,-10.75
2004-09-01 00:00:00,0,-0.3,,-13.58,0.1,,0,0.105,,-0.33,,-291.65716320000007,-0.35,,13.32,21.47,-24.96,0,-0.16,25.26,-27.17,174.75,13.75,15.28,0.075,,-27.78,-0.0875,,0.13,,0,0.3225,,0,,0,-0.28363158396647536,,,-230.55716320000002,3.061,,-55.05,32.03,31.24,0,,,2004-09-01 00:00:00,-162.39,2.6,-72.33,-232.12,,-164.26,,-1.15,-4.09,19.28,-10.35
2004-10-01 00:00:00,0,-0.3,,-13.97,0.1,,0,0.105,,-0.33,,-300.62321626,-0.35,,13.7,22.08,-25.67,0,-0.16,25.98,-27.94,179.72,14.14,15.07,0.075,,-28.57,-0.0875,,0.13,,0,0.3225,,0,,0,-0.28363266690208544,,,-237.79321626,3.081,,-57.27,32.93,32.13,0,,,2004-10-01 00:00:00,-167.02,2.67,-74.38,-238.73,,-168.94,,-1.19,-4.21,19.83,-10.65
2004-11-01 00:00:00,0,0.248,-0.041666666666666664,-13.45,0.1,0.1,0,0.105,0.09625,-0.25,-0.2983333333333334,-338.71190916,-0.32,-0.3375,13.25,21.26,-24.72,0,-0.16,25.02,-26.9,173.06,13.62,13.83,0.0725,0.0725,0,0.005,-0.04895833333333333,0.1775,0.15270833333333333,0,0.645,0.625625,0,,0,-0.1775,-0.23934776493779775,,-276.07190916,3.2510000000000003,3.245250000000001,-127.45,31.89,30.94,0,,,2004-11-01 00:00:00,-160.83,2.57,-71.63,-229.89,,-162.68,,-29.58,-4.06,19.09,-63.44
2004-12-01 00:00:00,0,0.308,,-13.83,0.1,,0,0.105,,-0.25,,-347.3685855,-0.32,,13.7,22.13,-25.42,0,0,25.73,-27.66,177.95,14,14.66,0.0725,,0,0.005,,0.1775,,0,0.9,,0,,0,-0.1775,,,-282.4585855,3.4290000000000003,,-130.78,33.43,31.81,0,,,2004-12-01 00:00:00,-165.37,2.64,-73.65,-236.38,,-167.28,,-30.42,-4.17,19.64,-65.23
2005-01-01 00:00:00,0,0.378,0.25,-13.76,0.1,0.1,0,0.105,0.105,-0.25,-0.25,-345.33645472999996,-0.32,-0.32,13.63,22.02,-25.29,0,0,25.6,-27.52,177.04,13.93,14.85,0.0725,0.0725,0,0.005,0.005,0.1775,0.1775,0,1.535,1.05,0,,0,-0.17750000000000066,-0.1775,,-280.74645473,3.494,3.3664,-129.85,33.25,31.65,0,,,2005-01-01 00:00:00,-164.52,2.63,-73.27,-235.16,,-166.41,,-30.27,-4.15,19.54,-64.89
2005-02-01 00:00:00,0,0.248,,-12.36,0.1,,0,0.105,,-0.25,,-309.70488586999994,-0.32,,12.24,19.78,-22.72,0,0,23,-24.73,159.06,12.51,13.88,0.0725,,0,0.005,,0.1775,,0,1.535,,0,,0,-0.1775,,,-251.68488587,3.3890000000000002,,-116.11,29.88,28.44,0,,,2005-02-01 00:00:00,-147.81,2.36,-65.83,-211.28,,-149.52,,-27.21,-3.73,17.56,-58.31
2005-03-01 00:00:00,0,0.068,,-13.63,0.1,,0,0.105,,-0.25,,-341.23154124999996,-0.32,,13.5,21.81,-25.05,0,0,25.36,-27.26,175.38,13.8,15.55,0.0725,,0,0.005,,0.1775,,0,0.635,,0,,0,-0.1775,,,-277.25154125,3.269,,-127.77,32.95,31.35,0,,,2005-03-01 00:00:00,-162.98,2.61,-72.59,-232.96,,-164.85,,-30,-4.11,19.36,-64.29
2005-04-01 00:00:00,0,-0.25,,-13.13,0.1,,0,0.09,,-0.35,,-341.48914005,-0.35,,13,21.01,-24.13,0,0,24.42,-26.26,168.94,13.29,15.31,0.0725,,0,-0.0875,,0.135,,0,0.3225,,0,,0,-0.2836021098793622,,,-268.20914005000003,3.128,,-122.72,31.74,3.94,0,,,2005-04-01 00:00:00,-156.99,2.51,-69.92,-224.4,,-158.8,,-28.9,-3.96,18.66,-61.93
2005-05-01 00:00:00,0,-0.25,,-13.51,0.1,,0,0.09,,-0.33,,-351.06702958999995,-0.35,,13.38,21.61,-24.82,0,0,25.12,-27.02,173.78,13.67,15.95,0.0725,,0,-0.0875,,0.135,,0,0.3225,,0,,0,-0.2835752235125817,,,-275.68702958999995,3.1180000000000003,,-126.03,32.64,4.05,0,,,2005-05-01 00:00:00,-161.49,2.58,-71.92,-230.83,,-163.35,,-29.73,-4.08,19.19,-63.7
2005-06-01 00:00:00,0,-0.25,,-13.01,0.1,,0,0.09,,-0.33,,-337.83413938,-0.35,,12.89,20.82,-23.91,0,0,24.2,-26.02,167.38,13.17,15.64,0.0725,,0,-0.0875,,0.135,,0,0.3225,,0,,0,-0.2835461648629143,,,-265.23413938000004,3.1380000000000003,,-121.09,31.44,3.9,0,,,2005-06-01 00:00:00,-155.54,2.49,-69.27,-222.32,,-157.33,,-28.64,-3.93,18.49,-61.35
2005-07-01 00:00:00,0,-0.25,-0.25,-13.38,0.1,0.1,0,0.09,0.09,-0.33,-0.33285714285714285,-347.54257668,-0.35,-0.35,13.25,21.41,-24.59,0,0,24.89,-26.76,172.16,13.54,16.03,0.0725,0.0725,0,-0.0875,-0.0875,0.135,0.135,0,0.3225,0.3225,0,,0,-0.2835211538636173,-0.28352473989336746,,-272.87257668,3.1580000000000004,3.158714285714286,-124.61,32.34,30.78,0,,,2005-07-01 00:00:00,-159.98,2.56,-71.25,-228.67,,-161.83,,-29.46,-4.04,19.02,-63.11
2005-08-01 00:00:00,0,-0.25,,-13.32,0.1,,0,0.09,,-0.33,,-345.57043611000006,-0.35,,13.19,21.31,-24.47,0,0,24.77,-26.63,171.32,13.48,16.25,0.0725,,0,-0.0875,,0.135,,0,0.3225,,0,,0,-0.28349853802431024,,,-271.26043611000006,3.178,,-123.75,32.21,30.63,0,,,2005-08-01 00:00:00,-159.21,2.55,-70.91,-227.57,,-161.04,,-29.32,-4.02,18.92,-62.8
2005-09-01 00:00:00,0,-0.25,,-12.82,0.1,,0,0.09,,-0.33,,-333.21680109,-0.35,,12.7,20.52,-23.57,0,0,23.85,-25.65,164.98,12.98,15.23,0.0725,,0,-0.0875,,0.135,,0,0.3225,,0,,0,-0.2834750576593108,,,-261.65680109,3.188,,-119.6,31.02,29.5,0,,,2005-09-01 00:00:00,-153.32,2.45,-68.28,-219.15,,-155.08,,-28.24,-3.87,18.23,-60.48
2005-10-01 00:00:00,0,-0.25,,-13.19,0.1,,0,0.09,,-0.33,,-343.08601474,-0.35,,13.06,21.1,-24.24,0,0,24.53,-26.38,169.67,13.35,15.26,0.0725,,0,-0.0875,,0.135,,0,0.3225,,0,,0,-0.2834549314514758,,,-269.49601474,3.2030000000000003,,-123.42,31.9,30.33,0,,,2005-10-01 00:00:00,-157.67,2.52,-70.22,-225.37,,-159.48,,-29.04,-3.98,18.74,-62.19
2005-11-01 00:00:00,0,0.248,-0.041666666666666664,-12.7,0.1,0.07083333333333336,0,0.115,0.12375,-0.24,-0.2983333333333333,-294.37177286,-0.32,-0.3375,12.58,20.32,-23.34,0,0,23.62,-25.4,137.23,12.85,14.24,0.075,0.075,0,0.005,-0.04895833333333333,0.18,0.1522916666666667,0,0.65,0.6439583333333332,0,,0,-0.17499999999999938,-0.23824851576968065,,-149.29177285999998,3.353,3.3342499999999995,-106.15,30.75,25.4,0,,,2005-11-01 00:00:00,-125.42,2.43,-67.62,-190.61,,-127.43,,-27.96,-3.83,18.05,-59.89
2005-12-01 00:00:00,0,0.308,,-13.06,0.1,,0,0.115,,-0.24,,-302.82144778,-0.32,,12.93,20.89,-24,0,0,24.29,-26.12,141.11,13.22,14.53,0.075,,0,0.005,,0.18,,0,0.98,,0,,0,-0.175,,,-153.65144777999998,3.503,,-109.27,31.6,26.12,0,,,2005-12-01 00:00:00,-128.96,2.5,-69.53,-195.99,,-131.03,,-28.76,-3.94,18.56,-61.58
2006-01-01 00:00:00,0,0.378,0.25,-12.99,0.1,0.1,0,0.115,0.115,-0.24,-0.24,-301.41933140000003,-0.32,-0.32,12.87,20.79,-23.87,0,0,24.16,-25.98,140.39,13.15,14.33,0.075,0.075,0,0.005,0.005,0.18,0.18,0,1.6,1.0939999999999999,0,,0,-0.175,-0.175,,-172.4793314,3.593,3.461,-108.85,31.44,25.98,0,,,2006-01-01 00:00:00,-128.3,2.48,-69.17,-194.99,,-130.36,,-28.61,-3.92,18.47,-61.26
2006-02-01 00:00:00,0,0.248,,-11.67,0.1,,0,0.115,,-0.24,,-270.43875744999997,-0.32,,11.56,18.68,-21.45,0,0,21.71,-23.35,126.14,11.81,13.25,0.075,,0,0.005,,0.18,,0,1.6,,0,,0,-0.175,,,-154.57875744999998,3.488,,-97.4,28.25,23.35,0,,,2006-02-01 00:00:00,-115.28,2.23,-62.15,-175.2,,-117.13,,-25.71,-3.52,16.59,-55.05
2006-03-01 00:00:00,0,0.068,,-12.86,0.1,,0,0.115,,-0.24,,-297.77433872,-0.32,,12.74,20.58,-23.64,0,0,23.92,-25.72,139,13.02,14.83,0.075,,0,0.005,,0.18,,0,0.64,,0,,0,-0.175,,,-170.11433872,3.3680000000000003,,-107.11,31.13,25.72,0,,,2006-03-01 00:00:00,-127.03,2.46,-68.49,-193.06,,-129.07,,-28.33,-3.88,18.28,-60.66
2006-04-01 00:00:00,0,-0.25,,-12.38,0.05,,0,0.13,,-0.34,,-273.93881935,-0.35,,12.26,19.81,-22.75,0,0,23.03,-24.76,133.8,12.53,14.57,0.075,,0,-0.0875,,0.1325,,0,0.3225,,0,,0,-0.28338727393430396,,,-163.43881935000002,3.213,,-102.79,29.96,0,0,,,2006-04-01 00:00:00,-122.28,2.37,-65.93,-185.84,,-124.24,,-27.27,-3.74,17.6,-58.39
