Dates,IGABQ00 - Mid*,SOCAL.AVG - Mid*,PG&E.CA - Mid*,IGAWM03 - Mid*,IGAWO03 - Mid*,IGABW00 - Mid*
2000-12-13 00:00:00,,29.25,24.75,,,
2000-12-14 00:00:00,,17.5,15.25,,,
2000-12-15 00:00:00,,17.375,12,,,
2000-12-18 00:00:00,,14.8,13.75,,,
2000-12-19 00:00:00,,19.25,13.125,,,
2000-12-20 00:00:00,,18,13.775,,,
2000-12-21 00:00:00,,19.5,14.525,,,
2000-12-22 00:00:00,,19.5,16.05,,,
2000-12-26 00:00:00,,17.5,15.6,,,
2000-12-27 00:00:00,,18.5,15.6,,,
2000-12-28 00:00:00,,16.25,14.7,,,
2000-12-29 00:00:00,,13.65,13.375,,,
2001-01-02 00:00:00,9.59,13.5,12.95,,14.84,8.935
2001-01-03 00:00:00,,12,10.775,,,
2001-01-04 00:00:00,,11.625,10.125,,,
2001-01-05 00:00:00,,11.275,9.9,,,
2001-01-08 00:00:00,,10.525,10,,,
2001-01-09 00:00:00,,10.8,10.575,,,
2001-01-10 00:00:00,,9.95,9.75,,,
2001-01-11 00:00:00,,11.25,10.65,,,
2001-01-12 00:00:00,,11.25,10.05,,,
2001-01-16 00:00:00,,11,10.175,,,
2001-01-17 00:00:00,,10.5,10,,,
2001-01-18 00:00:00,,11.35,10.05,,,
2001-01-19 00:00:00,,10.9,9.825,,,
2001-01-22 00:00:00,,14.625,11.375,,,
2001-01-23 00:00:00,,15.15,13.775,,,
2001-01-24 00:00:00,,16.05,12.675,,,
2001-01-25 00:00:00,,15.7,11.475,,,
2001-01-26 00:00:00,,15.25,10.8,,,
2001-01-29 00:00:00,,13.3,10.9,,,
2001-01-30 00:00:00,,13,9.875,,,
2001-01-31 00:00:00,,11,9.8,,,
2001-02-01 00:00:00,6.525,14.9,14.5,,12.75,6.375
2001-02-02 00:00:00,,14.5,14.1,,,
2001-02-05 00:00:00,,14.8,12.75,,,
2001-02-06 00:00:00,,12.25,10.475,,,
2001-02-07 00:00:00,,13.25,10.8,,,
2001-02-08 00:00:00,,13,12.075,,,
2001-02-09 00:00:00,,13,10.625,,,
2001-02-12 00:00:00,,13.8,10.8,,,
2001-02-13 00:00:00,,17.2,12.075,,,
2001-02-14 00:00:00,,31.625,12.5,,,
2001-02-15 00:00:00,,32.5,12.275,,,
2001-02-16 00:00:00,,31.275,13.875,,,
2001-02-20 00:00:00,,25.25,11.9,,,
2001-02-21 00:00:00,,23,13.75,,,
2001-02-22 00:00:00,,20.5,12.4,,,
2001-02-23 00:00:00,,14.9,10.875,,,
2001-02-26 00:00:00,,12.9,9.2,,,
2001-02-27 00:00:00,,12.5,9,,,
2001-02-28 00:00:00,,11.94,8.65,,,
2001-03-01 00:00:00,5.095,12.3,8.2,,11.25,4.81
2001-03-02 00:00:00,,24.75,11.125,,,
2001-03-05 00:00:00,,25.25,10.375,,,
2001-03-06 00:00:00,,27.5,10.775,,,
2001-03-07 00:00:00,,22.75,10.1,,,
2001-03-08 00:00:00,,14,9.625,,,
2001-03-09 00:00:00,,12.875,9.55,,,
2001-03-12 00:00:00,,12,9.1,,,
2001-03-13 00:00:00,,11.34,8.975,,,
2001-03-14 00:00:00,,11.4,9.125,,,
2001-03-15 00:00:00,,9.675,8.725,,,
2001-03-16 00:00:00,,9.575,9.275,,,
2001-03-19 00:00:00,,8.75,8.8,,,
2001-03-20 00:00:00,,9.875,7.35,,,
2001-03-21 00:00:00,,10.425,6.2,,,
2001-03-22 00:00:00,,8.4,6.025,,,
2001-03-23 00:00:00,,11.05,7.5,,,
2001-03-26 00:00:00,,11.025,8.375,,,
2001-03-27 00:00:00,,10.5,8.625,,,
2001-03-28 00:00:00,,10.9,8.7,,,
2001-03-29 00:00:00,,13.7,10.025,,,
2001-03-30 00:00:00,,13.875,10.175,,,
2001-04-02 00:00:00,5.29,12.35,8.8,8.065,9.55,4.595
2001-04-03 00:00:00,,12.2,8.425,,,
2001-04-04 00:00:00,,14.7,10.275,,,
2001-04-05 00:00:00,,15.475,12.65,,,
2001-04-06 00:00:00,,15.25,13.15,,,
2001-04-09 00:00:00,,14.75,12.95,,,
2001-04-10 00:00:00,,14.2,12.75,,,
2001-04-11 00:00:00,,13.375,12.025,,,
2001-04-12 00:00:00,,13.3,12.25,,,
2001-04-16 00:00:00,,13.275,11.975,,,
2001-04-17 00:00:00,,12.8,11.975,,,
2001-04-18 00:00:00,,12.525,11.875,,,
2001-04-19 00:00:00,,12.35,11.35,,,
2001-04-20 00:00:00,,12.65,11.7,,,
2001-04-23 00:00:00,,12.15,11.725,,,
2001-04-24 00:00:00,,13.275,11.69,,,
2001-04-25 00:00:00,,14.8,12.325,,,
2001-04-26 00:00:00,,15.125,12.81,,,
2001-04-27 00:00:00,,13.8,12.45,,,
2001-04-30 00:00:00,,13.525,12.275,,,
2001-05-01 00:00:00,4.94,14.1,11.975,11.75,12.4,4.645
2001-05-02 00:00:00,,13.15,11.025,,,
2001-05-03 00:00:00,,12.89,9.375,,,
2001-05-04 00:00:00,,12.7,8.9,,,
2001-05-07 00:00:00,,12.4,7.05,,,
2001-05-08 00:00:00,,12.85,7.6,,,
2001-05-09 00:00:00,,12.5,8.65,,,
2001-05-10 00:00:00,,12.475,8.425,,,
2001-05-11 00:00:00,,12.3,6.3,,,
2001-05-14 00:00:00,,11.825,4.4,,,
2001-05-15 00:00:00,,11.25,5.35,,,
2001-05-16 00:00:00,,10.75,6.15,,,
2001-05-17 00:00:00,,10.69,6.075,,,
2001-05-18 00:00:00,,9.925,4.825,,,
2001-05-21 00:00:00,,10.24,4.075,,,
2001-05-22 00:00:00,,12.375,7.35,,,
2001-05-23 00:00:00,,13.125,9.5,,,
2001-05-24 00:00:00,,13.55,9.075,,,
2001-05-25 00:00:00,,12.65,8.3,,,
2001-05-29 00:00:00,,10.45,4.075,,,
2001-05-30 00:00:00,,10.9,4.825,,,
2001-05-31 00:00:00,,10.05,5.375,,,
2001-06-01 00:00:00,3.815,10,5.625,6.49,9.725,3.215
2001-06-04 00:00:00,,8.25,3.425,,,
2001-06-05 00:00:00,,9.075,4.275,,,
2001-06-06 00:00:00,,9.45,4.45,,,
2001-06-07 00:00:00,,8.215,3.525,,,
2001-06-08 00:00:00,,5.875,3.4,,,
2001-06-11 00:00:00,,3.725,3.1,,,
2001-06-12 00:00:00,,6.375,5.2,,,
2001-06-13 00:00:00,,7.45,5.2,,,
2001-06-14 00:00:00,,8.325,4.225,,,
2001-06-15 00:00:00,,7,3.95,,,
2001-06-18 00:00:00,,3.625,3.55,,,
2001-06-19 00:00:00,,6.34,4.9,,,
2001-06-20 00:00:00,,7.325,5.4,,,
2001-06-21 00:00:00,,6.825,4.75,,,
2001-06-22 00:00:00,,6.425,4.75,,,
2001-06-25 00:00:00,,3.975,3.9,,,
2001-06-26 00:00:00,,6.175,4.625,,,
2001-06-27 00:00:00,,4.7,3.7,,,
2001-06-28 00:00:00,,4.6,3.475,,,
2001-06-29 00:00:00,,4.075,3.3,,,
2001-07-02 00:00:00,3.14,3.65,2.825,3.36,,2.42
2001-07-03 00:00:00,,4.905,3.81,,,
2001-07-05 00:00:00,,5.56,4.7,,,
2001-07-06 00:00:00,,6.35,4.875,,,
2001-07-09 00:00:00,,5.9,3.35,,,
