,,,,,,,
,,15.0,"Kimberly Clark de Mexico, 
and Crisoba Industrial.",,,," - Customer has not signed Confirmation.  Several doubts. Pushing to get it this week. 
- CEO pushing to do more rades. Please send Master Agrement to take advantage of internal opportunity. (Second Priority)."
,,16.0,Industrias Monterrey,,,," - Comments were sent back to them, regarding the last confirm. 
- They are waiting for Master Agreement with same terms and conditions.  
- Industrias Monterrey is asking for changing Parent Guarantee from IMSA ACERO instead of Grupo IMSA. Credit will do the new Credit Worksheet. EdeM will foolow up with the financial information required, and signature of confirm. "
,,17.0,Mexichem,,,, - Master Agreement sent out on Oct 26. EdeM will follow up for signature. 
,,18.0,"Compañia Papelera Maldonado,
Papeles Higienicos de Mexico",,,," - Company sent financials on several more counterparties, which need credit worksheets and approval. Please open credit to the other counterparties. 
- New confirms to be sent out to counterparty, for trades on Nov 02 and 03.
- EdeM will pursue last confirm.  
- EdeM will propose Master Agreement since customer is more active in the market recently, and at the Parent Co. level. "
,,19.0,"Procarsa, 
Compañia Mexicana de Tubos, 
and Sigosa.",,,, -  EdeM will follow up the signature of last confirm. 
,,20.0,Compañia Minera Autlan,,,," - Powers of attorney for Jose antoniuo Rivero have been sent out.  EdeM following up on  WBE8 form and Process Agent information.  
"
,,21.0,General de Cerámica,,,," - Small company. We have not send out confirmation on transaction made on Sept 26th. Please send ASAP. 
- Please send Master Agreement as second priority. "
,,22.0,Enertek,,,," - Need to send confirmation for trades Oct5th, Oct6th, Oct 20th.  Should be going out 24 Oct. 
- Customer is meeting internally to discuss AEP's changes and will get back to us on Nov. 9th. 
- Shall we send out deemed ISDAs ? After 9th ? 
- EdeM will follow up with the Master agreement.
-  EdeM will propose that we'll treat internal debt as equity and internal interest as dividends if ENA gets preference of payment over any internal transfer or payment as well. That will give them other ratios, but better credit conditions, and could go even with a full year in a swap with 100% volume.  Mention legal changes to bancruptcy laws."
,,23.0,Kerdal,,,," - Need to send them confirmation on last trade (Oct 13th). 
-  Master Agreement to be sent. Customer has big exposure..Swap at very high market level."
,,24.0,Fibras Quimicas,,,," -  We have not send out confirmations on last trade (Oct 19th). 
- Customer reviewing Master Agreement. Expect answer by end of this week. 
-  EdeM will propose that we'll treat internal debt as equity and internal interest as dividends if ENA gets preference of payment over any internal transfer or payment as well. That will give them other ratios, but better credit conditions, and could go even with a full year in a swap with 100% volume.  Mention legal changes to bancruptcy laws."
,,25.0,"Mabe Mexico, Mabe Sanyo 
and Laser",,,," - They have sent all their financials and we need to give them a credit response.
- They also sent a copy of a Schedule with Citibank for our review.  Let's propose a Master Agreement traking into account basic provsions as appear on the Citibank Master Agreement they proposed to us. "
,,26.0,"Grupo Carso e Industrias 
Nacobre",,,," - Customer sent financials on 7 Subs to have ready credit lines. Please give us a credit response. We need to get back to them pretty soon.  
- Please send as well Master Agreement to start negotiations with them. 
-  EdeM will propose that we'll treat internal debt as equity and internal interest as dividends if ENA gets preference of payment over any internal transfer or payment as well. That will give them other ratios, but better credit conditions, and could go even with a full year in a swap with 100% volume.  Mention legal changes to bancruptcy laws."
,,27.0,Daltile,,,," - Customer sent financial information 2 weeks ago. We need to give them a credit response. 
- Please send Master Agreement proposeal according to Credit Worksheet. This customer usually makes 1 or 2 year transactions and have been operating with PEmex. but we want to bring them to Enron. "
,,28.0,Porcelanite ,,,," - Customer sent financials, but we need to get some more detailed information. We need to pusue it this week. "
,,29.0,Petrotemex,,,," -  We have not send out confirmations on last trade (Oct 19th). 
- Customer reviewing Master Agreement. Expect answer by end of this week. 
-  EdeM will propose that we'll treat internal debt as equity and internal interest as dividends if ENA gets preference of payment over any internal transfer or payment as well. That will give them other ratios, but better credit conditions, and could go even with a full year in a swap with 100% volume.  Mention legal changes to bancruptcy laws."
,,30.0,Univex,,,," -  We have not send out confirmations on last trade (Oct 19th). 
- Customer reviewing Master Agreement. Expect answer by end of this week. 
-  EdeM will propose that we'll treat internal debt as equity and internal interest as dividends if ENA gets preference of payment over any internal transfer or payment as well. That will give them other ratios, but better credit conditions, and could go even with a full year in a swap with 100% volume.  Mention legal changes to bancruptcy laws."
,,31.0,Nylon,,,," -  We have not send out confirmations on last trade (Oct 20th). 
- Customer reviewing Master Agreement. Expect answer by end of this week. 
- Payments: Want to have different invoices to Fiqusa and Nylon de Mexico, SA de CV, Filmex, Polycron, Dupek. 
-  EdeM will propose that we'll treat internal debt as equity and internal interest as dividends if ENA gets preference of payment over any internal transfer or payment as well. That will give them other ratios, but better credit conditions, and could go even with a full year in a swap with 100% volume.  Mention legal changes to bancruptcy laws."
,,32.0,GIRSA,,,," - Company sending financial Information. Please elaborate credit Worksheet as soon as info arrives. 
 - GIRSA is expecting to trade in the next few days. "
,,33.0,Corporacion San Luis,,,," - Credit will review MACs and send worksheet to legal. Legal: please prepare Master Agreement for customer.
"
,,34.0,Cintra,,,," - Company sent back Schedule with lots of comments.
- Customer is asking for a meeting to discuss and solve diferent isues please schedule ASAP. "
,,35.0,General Business,,,," - We do not know if all our counterparties have delivered their Powers of Attorney, and Corporate Bylaws. Need update on that regard. "
