,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Budget,Budget,Budget,Budget,Budget,Week 1,Week 1,Week 1,Week 1,Week 1,Week 1,,Week 2,Week 2,Week 2,Week 2,Week 2,,Week 3,Week 3,Week 3,Week 3,Week 3,,Week 4,Week 4,Week 4,Week 4,Week 4,,,,
12,,100,,,7/14/21/28,2000-01-08 00:00:00,,100,12,10 + 2 a day,Lt. Charge pd.,,2000-01-14 00:00:00,100,,,,,2000-01-21 00:00:00,100,,,,,2000-01-28 00:00:00,100,,,,,,,412
13,,,,480,16,2000-01-07 00:00:00,,0,,,,,2000-01-16 00:00:00,480,,,Feb.16,,,,,,,elec. 25,,,,,,25,,,480
14,,95,,,7/14/21/28,2000-01-07 00:00:00,14,109,,,,,2000-01-14 00:00:00,95,,,,,2000-01-21 00:00:00,95,,,,elec. 15,2000-01-28 00:00:00,110,,,,,,,409
15,,,190,,7/21,2000-01-07 00:00:00,,190,,,,,,,,,Jan.21,,2000-01-21 00:00:00,190,,,,,,,,,,,,,380
16,,100,,,7/14/21/28,2000-01-08 00:00:00,,100,,10 + 2 a day,,10,2000-01-14 00:00:00,110,,,,,2000-01-21 00:00:00,100,,,,elec. 10,2000-01-28 00:00:00,110,,,,,,,420
17,,100,,,7/14/21/28,2000-01-07 00:00:00,,100,,,,,2000-01-14 00:00:00,100,,,,,2000-01-21 00:00:00,100,,,,elec.20,2000-01-28 00:00:00,120,,,,,,,420
18,,,200,,7/21,2000-01-07 00:00:00,,150,72,10 + 2 a day,,       <2>,,,,,,       <2>,2000-01-21 00:00:00,110,,20,1/27 bal.+46elec.,110+46 elec.,2000-01-28 00:00:00,156,,,,,,,488
19,,,,460,,V,,,,,,,V,,,,,,V,,,,,,V,,,,,,,,0
20,,105,,,7/14/21/28,2000-01-07 00:00:00,,105,,,,,2000-01-14 00:00:00,105,,,,,2000-01-21 00:00:00,105,,,,,2000-01-28 00:00:00,105,,,,,,,420
21,,105,,,7/14/21/28,2000-01-07 00:00:00,,105,,,,,2000-01-14 00:00:00,105,,,,,2000-01-21 00:00:00,105,,,,elec. 41,2000-01-28 00:00:00,146,,,,,,,461
22,,100,,,7/14/21/28,2000-01-07 00:00:00,,100,,,,,2000-01-14 00:00:00,100,,,,,2000-01-21 00:00:00,100,,,,elec. 25,2000-01-28 00:00:00,125,,,,,,,425
23,,100,,,7/14/21/28,V,,,,,,,V,,,,,,2000-01-24 00:00:00,,215,,"Pro rent,dep,app fee",31,2000-01-28 00:00:00,131,15,,app. Fee,,,,361
24,,Maint,,,  n/a,2000-01-07 00:00:00,,0,,,,,,,,,Jan.21,,2000-01-21 00:00:00,0,,,,,,,,,,,,,0
25,,100,,,,V,,,,,,,V,,,,,,2000-01-21 00:00:00,275,,,deposit & rent,,2000-01-28 00:00:00,100,,, ,,,,375
26,,115,,,7/14/21/28,2000-01-07 00:00:00,,115,, ,,,2000-01-14 00:00:00,115,,,,,2000-01-21 00:00:00,115,,,,,2000-01-28 00:00:00,115,,,,,,,460
27,,115,,,7/14/21/28,2000-01-07 00:00:00,,115,,,,,2000-01-14 00:00:00,115,,,,,2000-01-21 00:00:00,115,,,,,2000-01-29 00:00:00,,125,10+2 a day,, ,,,470
28,,115,,,7/14/21/28,2000-01-08 00:00:00,,115,,10 + 2 a day,,10,2000-01-14 00:00:00,125,,,,,2000-01-21 00:00:00,115,,,,,2000-01-28 00:00:00,115,,,,,,,470
29,,115,,,7/14/21/28,2000-01-07 00:00:00,,115,,,,,2000-01-14 00:00:00,115,,,,,2000-01-21 00:00:00,115,,,,,2000-01-28 00:00:00,115,,,,,,,460
30,,,,400,17,,,,,,,,2000-01-18 00:00:00,,100,,Switched to weekly,,,,,,,100+36 elec.,2000-01-28 00:00:00,100,,,,136,,,200
31,,,,420,1,2000-01-07 00:00:00,,0,,,,,,,,,,,2000-01-21 00:00:00,0,,,Feb.1,,,,,,,,,,0
32,,100,,,7/14/21/28,2000-01-07 00:00:00,,100,,,,,2000-01-14 00:00:00,100,,,,,2000-01-21 00:00:00,100,,,,elec. 23,2000-01-28 00:00:00,223,,,,     <100>,,,523
33,,,,420,27,2000-01-07 00:00:00,,0,,,,,,,,,,,,,,,,,2000-01-28 00:00:00,130,,,switched to weekly,      <25>,,,130
34,,110,,,7/14/21/28,2000-01-07 00:00:00,,110,,,,,2000-01-14 00:00:00,115,,,5keycharge,,2000-01-21 00:00:00,110,,,,,2000-01-28 00:00:00,110,,,,,,,445
35,,110,,,7/14/21/28,2000-01-07 00:00:00,,110,,,,,2000-01-14 00:00:00,110,,,,,2000-01-21 00:00:00,110,,,,elec.27,2000-01-28 00:00:00,137,,,,,,,467
36,,125,,,7/14/21/28,,-5,,,10 + 2 a day,,142,2000-01-14 00:00:00,200,,  ,,67,2000-01-21 00:00:00,40,,,,152,2000-01-28 00:00:00,200,, ,,77,,,440
37,,115,,,7/14/21/28,2000-01-07 00:00:00,,115,,,,,2000-01-14 00:00:00,115,,,,,2000-01-21 00:00:00,115,,,,5 key charge,2000-01-28 00:00:00,120,,,,,,,465
38,,130,,,,2000-01-13 00:00:00,,,75,,1/2 dep. Until apt.ready,75,V,,,,,,V,,,,part dep.pd.,,V,,,,,,,,75
39,,105,,,7/14/21/28,2000-01-08 00:00:00,10,115,,, ,,2000-01-14 00:00:00,105,,,,,2000-01-21 00:00:00,105,,,,elec. 30,2000-01-29 00:00:00,105,,10+2 a day,,40,,,430
40,,130,,,7/14/21/28,2000-01-11 00:00:00,,,274,10 + 2 a day,Pd for 7th & 14th,,,,,,,,2000-01-21 00:00:00,130,,,, ,2000-01-27 00:00:00,130,,,,,,,534
41,,,,550,27,,,,,,,,,,,,,,2000-01-24 00:00:00,0,550,,,, ,,,,,,,,550
42,,120,,,7/14/21/28,2000-01-07 00:00:00,,120,,,,,2000-01-13 00:00:00,120,,,,,2000-01-21 00:00:00,120,,,,,,,,10+2 a day,Lt. Notice on 1/28,130,,,360
43,,120,,,7/14/21/28,2000-01-07 00:00:00,,120,,,,,2000-01-14 00:00:00,120,,,,,2000-01-21 00:00:00,120,,,,,2000-01-28 00:00:00,120,,, ,,,,480
44,,,270,,7/21,2000-01-07 00:00:00,,200,,10 + 2 a day,Jan. 21,90,2000-01-14 00:00:00,92,,,,       <2>,2000-01-21 00:00:00,180,,22,,110,,,,10+2 a day,,110,,,472
 Expected Income,,3145,1080,3540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Periods/Month,,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Total,,12580,2160,3540,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Total,,,,18280,,,,,,,,,,,,,,,,,,,,,,,,,,518,,,15779
Less Vacancies,,,,-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expected Receipts,,,,16280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week 1,Week 2,Week 3,Week 4,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actual Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   1st Dep,3259,3457,3625,3670,,,,3259,433,,,,,3457,100,,,,,3625,1095,,,,,3670,140,,,,,,
   2nd Dep,433,100,1095,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Total,3692,3557,4720,3810,15779,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
