CurveGrp->,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,overall,GDP-TXINT/KATYT,IF-NNG/TOK
"Feb, 2002",0,0,0,0,0,0,0,0,0,0,0,0,-6.9,0,0,0,134.5,15.8,-94.4,42,27,-40.5,0,-0.9,-122.7,-13.8,0,0,3.9,0,0,0,-163.1,0,-54.3,15.8,0,41.1,24.3,0,-8.1,-67.3,25.7,13.5,0,0,1,0
"Mar, 2002",0,0,0,0,0,0,0,0,0,0,0,0,-8.8,0,0,0,119.6,0,-104.2,45.8,29.8,-44.6,0,-0.4,-135.3,-20.2,0,0,3.8,0,0,0,-181.6,0,-88.7,0,0,44.9,26.8,0,-8.9,-29.2,15.8,14.9,0,0,1,0
"Apr, 2002",0,0,0,0,0,0,0,0,0,0,0,0,-21.9,0,0,0,-110.8,0,0,16,0,0,0,-0.4,0,-19.5,0,0,3.8,0,0,0,-176.8,0,3.9,0,0,43.3,-2.9,0,-8.6,-28.1,20,14.3,0,0,1,0
"May, 2002",0,0,0,0,0,0,0,0,0,0,0,0,-43.3,0,0,0,-112.5,0,0,16.2,0,0,0,-0.4,0,-111,0,0,3.8,0,0,0,-42.1,0,5.6,0,0,44.4,-3,0,-8.9,-28.9,17.3,14.8,0,0,1,0
"Jun, 2002",0,0,0,0,0,0,0,0,0,0,0,0,-23.5,0,0,0,-109.9,0,0,15.7,0,0,0,-0.4,0,-107,0,0,3.8,0,0,0,-177.2,0,4,0,0,42.9,-2.8,0,-8.5,-27.9,21.4,14.2,0,0,1,0
"Jul, 2002",0,0,0,0,0,0,0,0,0,0,0,0,-18.6,0,0,0,-115.3,0,0,15.9,0,0,0,-0.4,0,-110.2,0,0,3.8,0,0,0,-176.8,0,1.9,0,0,44,-2.9,0,-8.8,-28.7,18.7,14.6,0,0,1,0
"Aug, 2002",0,0,0,0,0,0,0,0,0,0,0,0,-20.1,0,0,0,-116.7,0,0,15.8,0,0,0,-0.4,0,-109.7,0,0,3.8,0,0,0,-177.7,0,0,0,0,43.8,-2.9,0,-8.8,-28.6,19.3,14.6,0,0,1,0
"Sep, 2002",0,0,0,0,0,0,0,0,0,0,0,0,-19.3,0,0,0,-112.5,0,0,15.3,0,0,0,-0.4,0,-105.7,0,0,3.7,0,0,0,-171.1,0,0,0,0,42.3,-2.8,0,-8.4,-27.6,23.3,14.1,0,0,1,0
"Oct, 2002",0,0,0,0,0,0,0,0,0,0,0,0,-38.4,0,0,0,-115.7,0,0,15.5,0,0,0,-0.4,0,-108.8,0,0,0,0,0,0,-37.3,0,0,0,0,43.3,-2.9,0,-8.7,-28.4,6.9,14.5,0,87.9,0,0
"Nov, 2002",0,0,0,0,0,0,0,0,0,0,0,0,305.1,0,0,0,0,0,0,42.9,0,0,0,-0.5,0,-19,0,0,0,0,0,0,-169.8,0,0,0,0,41.8,-2.8,0,-8.4,-27.3,10.8,13.9,0,41.6,0,0
"Dec, 2002",0,0,0,0,0,0,0,0,0,0,0,0,313.5,0,0,0,0,0,0,43.9,0,0,0,-1.2,0,-14.6,0,0,0,0,0,0,-175,0,0,0,0,42.9,-2.9,0,-8.6,-23.2,8.3,14.3,0,12.2,0,0
"Jan, 2003",0,0,0,0,0,0,0,0,0,0,0,0,312.1,0,0,0,0,0,0,43.7,0,0,0,-0.9,-28.5,-14.6,0,0,0,0,0,0,-188.5,0,0,0,0,42.6,-2.9,0,-8.6,-23.1,12.8,0,0,12.2,0,0
"Feb, 2003",0,0,0,0,0,0,0,0,0,0,0,0,274.3,0,0,0,0,0,0,39.6,0,0,0,-0.6,-25.6,-13.1,0,0,0,0,0,0,-176,0,0,0,0,38.6,-2.6,0,-7.7,-20.8,22.3,0,0,317.5,0,0
"Mar, 2003",0,0,0,0,0,0,0,0,0,0,0,0,302.3,0,0,0,0,0,0,43.2,0,0,0,-0.4,-28.2,-19.3,0,0,0,0,0,0,-194,0,0,0,0,42.2,-2.8,0,-8.5,-27.7,14,0,0,-90.8,0,0
"Apr, 2003",0,0,0,0,0,0,0,0,0,0,0,0,291.2,0,0,0,0,0,0,41.6,0,0,0,-0.3,-27.2,-18.5,0,0,0,0,0,0,-186.9,0,0,0,0,40.7,-2.7,0,-8.2,-26.7,17.5,0,0,0,0,0
"May, 2003",0,0,0,0,0,0,0,0,0,0,0,0,281.7,0,0,0,0,0,0,28.6,0,0,0,-0.3,-28,-19.1,0,0,0,0,0,0,-57.4,0,0,0,0,41.7,-2.8,0,-8.4,-27.5,15.1,0,0,0,0,0
"Jun, 2003",0,0,0,0,0,0,0,0,0,0,0,0,288.5,0,0,0,0,0,0,3.3,0,0,0,-0.3,-27,-18.4,0,0,0,0,0,0,-185.2,0,0,0,0,40.2,-2.7,0,-8.1,-26.5,18.5,0,0,0,0,0
"Jul, 2003",0,0,0,0,0,0,0,0,0,0,0,0,296.7,0,0,0,0,0,0,3.2,0,0,0,-0.3,-27.7,-18.9,0,0,0,0,0,0,-190.5,0,0,0,0,41.2,-2.8,0,-8.3,-27.2,16.2,0,0,0,0,0
"Aug, 2003",0,0,0,0,0,0,0,0,0,0,0,0,295.3,0,0,0,0,0,0,3.2,0,0,0,-0.3,-27.6,-18.8,0,0,0,0,0,0,-189.6,0,0,0,0,40.9,-2.8,0,-8.3,-27.1,16.7,0,0,0,0,0
"Sep, 2003",0,0,0,0,0,0,0,0,0,0,0,0,284.5,0,0,0,0,0,0,3.1,0,0,0,-0.3,-26.6,-18.1,0,0,0,0,0,0,-182.6,0,0,0,0,39.5,-2.7,0,-8,-26.1,20,0,0,0,0,0
"Oct, 2003",0,0,0,0,0,0,0,0,0,0,0,0,275.2,0,0,0,0,0,0,3,0,0,0,-0.3,-27.3,-18.6,0,0,0,0,0,0,-56.1,0,0,0,0,40.5,-2.7,0,-8.2,-26.9,0,0,0,0,0,0
"Nov, 2003",0,0,0,0,0,0,0,0,0,0,0,0,281.8,0,0,0,0,0,0,2.9,0,0,0,-0.4,-26.3,-17.9,0,0,0,0,0,0,-180.8,0,0,0,0,39.1,-2.6,0,-7.9,-25.9,0,0,0,0,0,0
"Dec, 2003",0,0,0,0,0,0,0,0,0,0,0,0,289.7,0,0,0,0,0,0,2.9,0,0,0,-1,-27.1,-13.8,0,0,0,0,0,0,-186,0,0,0,0,40.1,-2.7,0,-8.1,-22,0,0,0,0,0,0
"Jan, 2004",0,0,0,0,0,0,0,0,0,0,0,0,301.8,0,0,0,0,0,0,2.8,0,0,0,-0.8,-26.9,-13.8,0,0,0,0,0,0,-185.1,0,0,0,0,39.8,-2.7,0,-8.1,-21.9,0,0,0,0,0,0
"Feb, 2004",0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,2.7,0,0,0,-0.6,-25.1,-12.8,0,0,0,0,0,0,-172.3,0,0,0,0,37.2,-2.5,0,-7.5,-20.4,0,0,0,0,0,0
"Mar, 2004",0,0,0,0,0,0,0,0,0,0,0,0,298.9,0,0,0,0,0,0,2.7,0,0,0,-0.3,-26.7,-18.2,0,0,0,0,0,0,-183.3,0,0,0,0,39.4,-2.7,0,-8,-26.2,0,0,0,0,0,0
"Apr, 2004",0,0,0,0,0,0,0,0,0,0,0,0,287.9,0,0,0,0,0,0,2.6,0,0,0,-0.3,-25.7,-17.5,0,0,0,0,0,0,-176.5,0,0,0,0,37.9,-2.6,0,-7.7,-25.2,0,0,0,0,0,0
"May, 2004",0,0,0,0,0,0,0,0,0,0,0,0,279.2,0,0,0,0,0,0,2.5,0,0,0,-0.3,-26.4,-18,0,0,0,0,0,0,-54.2,0,0,0,0,38.9,-2.6,0,-7.9,-26,0,0,0,0,0,0
"Jun, 2004",0,0,0,0,0,0,0,0,0,0,0,0,285.1,0,0,0,0,0,0,2.5,0,0,0,-0.3,-25.4,-17.3,0,0,0,0,0,0,-174.8,0,0,0,0,37.5,-2.5,0,-7.6,-25,0,0,0,0,0,0
"Jul, 2004",0,0,0,0,0,0,0,0,0,0,0,0,293.1,0,0,0,0,0,0,2.4,0,0,0,-0.3,-26.2,-17.8,0,0,0,0,0,0,-179.7,0,0,0,0,38.4,-2.6,0,-7.9,-25.7,0,0,0,0,0,0
"Aug, 2004",0,0,0,0,0,0,0,0,0,0,0,0,291.6,0,0,0,0,0,0,2.4,0,0,0,-0.3,-26,-17.7,0,0,0,0,0,0,-178.8,0,0,0,0,38.2,-2.6,0,-7.8,-25.6,0,0,0,0,0,0
"Sep, 2004",0,0,0,0,0,0,0,0,0,0,0,0,280.8,0,0,0,0,0,0,2.3,0,0,0,-0.3,-25.1,-17.1,0,0,0,0,0,0,-172.2,0,0,0,0,36.8,-2.5,0,-7.5,-24.6,0,0,0,0,0,0
"Oct, 2004",0,0,0,0,0,0,0,0,0,0,0,0,272.3,0,0,0,0,0,0,2.2,0,0,0,-0.3,-25.8,-17.6,0,0,0,0,0,0,-52.9,0,0,0,0,37.7,-2.6,0,-7.7,-25.3,0,0,0,0,0,0
"Nov, 2004",0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,2.2,0,0,0,-0.4,-24.8,-16.9,0,0,0,0,0,0,-170.5,0,0,0,0,36.4,-2.5,0,-7.5,-24.4,0,0,0,0,0,0
"Dec, 2004",0,0,0,0,0,0,0,0,0,0,0,0,285.8,0,0,0,0,0,0,2.1,0,0,0,-0.9,-25.5,-13,0,0,0,0,0,0,-175.3,0,0,0,0,37.3,-2.6,0,-7.7,-20.7,0,0,0,0,0,0
"Jan, 2005",0,0,0,0,0,0,0,0,0,0,0,0,284.4,0,0,0,0,0,0,2,0,0,0,-0.6,0.1,-13,0,0,0,0,0,0,-174.4,0,0,0,0,37.1,-2.5,0,-7.6,-20.6,0,0,0,0,0,0
"Feb, 2005",0,0,0,0,0,0,0,0,0,0,0,0,255.7,0,0,0,0,0,0,2,0,0,0,-0.5,0.1,-11.7,0,0,0,0,0,0,-156.7,0,0,0,0,33.4,-2.3,0,-6.9,-18.5,0,0,0,0,0,0
"Mar, 2005",0,0,0,0,0,0,0,0,0,0,0,0,281.6,0,0,0,0,0,0,1.9,0,0,0,-0.3,0.1,-17.1,0,0,0,0,0,0,-172.7,0,0,0,0,36.6,-2.5,0,-7.6,-24.7,0,0,0,0,0,0
"Apr, 2005",0,0,0,0,0,0,0,0,0,0,0,0,271.1,0,0,0,0,0,0,1.9,0,0,0,-0.3,0.1,-16.5,0,0,0,0,0,0,-166.2,0,0,0,0,35.3,-2.4,0,-7.3,-23.8,0,0,0,0,0,0
"May, 2005",0,0,0,0,0,0,0,0,0,0,0,0,262.9,0,0,0,0,0,0,1.8,0,0,0,-0.3,0.1,-17,0,0,0,0,0,0,-51,0,0,0,0,36.2,-2.5,0,-7.5,-24.4,0,0,0,0,0,0
"Jun, 2005",0,0,0,0,0,0,0,0,0,0,0,0,268.4,0,0,0,0,0,0,1.8,0,0,0,-0.3,0.1,-16.3,0,0,0,0,0,0,-164.5,0,0,0,0,34.8,-2.4,0,-7.2,-23.5,0,0,0,0,0,0
"Jul, 2005",0,0,0,0,0,0,0,0,0,0,0,0,275.9,0,0,0,0,0,0,1.7,0,0,0,-0.3,0.1,-16.8,0,0,0,0,0,0,-169.2,0,0,0,0,35.7,-2.5,0,-7.4,-24.2,0,0,0,0,0,0
"Aug, 2005",0,0,0,0,0,0,0,0,0,0,0,0,274.4,0,0,0,0,0,0,1.7,0,0,0,-0.3,0.1,-16.7,0,0,0,0,0,0,-168.3,0,0,0,0,1.5,-2.5,0,-7.4,-24.1,0,0,0,0,0,0
"Sep, 2005",0,0,0,0,0,0,0,0,0,0,0,0,264.2,0,0,0,0,0,0,1.6,0,0,0,-0.3,0.1,-16.1,0,0,0,0,0,0,-162,0,0,0,0,1.5,-2.4,0,-7.1,-23.2,0,0,0,0,0,0
"Oct, 2005",0,0,0,0,0,0,0,0,0,0,0,0,256.1,0,0,0,0,0,0,1.6,0,0,0,-0.3,0.1,-16.5,0,0,0,0,0,0,-49.7,0,0,0,0,1.4,-2.4,0,-7.3,-23.8,0,0,0,0,0,0
"Nov, 2005",0,0,0,0,0,0,0,0,0,0,0,0,261.4,0,0,0,0,0,0,1.5,0,0,0,-0.3,0.1,-15.9,0,0,0,0,0,0,-160.3,0,0,0,0,1.4,-2.3,0,-7,-22.9,0,0,0,0,0,0
"Dec, 2005",0,0,0,0,0,0,0,0,0,0,0,0,268.7,0,0,0,0,0,0,1.5,0,0,0,-0.8,0.1,-12.3,0,0,0,0,0,0,-164.8,0,0,0,0,1.3,-2.4,0,-7.2,-19.5,0,0,0,0,0,0
"Jan, 2006",0,0,0,0,0,0,0,0,0,0,0,0,267.2,0,0,0,0,0,0,1.4,0,0,0,-0.5,0.1,-12.2,0,0,0,0,0,0,-163.9,0,0,0,0,1.3,-2.4,0,-7.2,-19.4,0,0,0,0,0,0
"Feb, 2006",0,0,0,0,0,0,0,0,0,0,0,0,240.2,0,0,0,0,0,0,0,0,0,0,-0.4,0,-11,0,0,0,0,0,0,-147.2,0,0,0,0,0,-2.1,0,-6.4,-17.4,0,0,0,0,0,0
"Mar, 2006",0,0,0,0,0,0,0,0,0,0,0,0,264.4,0,0,0,0,0,0,0,0,0,0,-0.1,0,-16.1,0,0,0,0,0,0,-162.2,0,0,0,0,0,-2.4,0,-7.1,-23.2,0,0,0,0,0,0
"Apr, 2006",0,0,0,0,0,0,0,0,0,0,0,0,254.6,0,0,0,0,0,0,0,0,0,0,-0.1,0,-15.5,0,0,0,0,0,0,-156.1,0,0,0,0,0,-2.3,0,-6.8,-22.3,0,0,0,0,0,0
"May, 2006",0,0,0,0,0,0,0,0,0,0,0,0,246.8,0,0,0,0,0,0,0,0,0,0,-0.1,0,-15.9,0,0,0,0,0,0,-47.9,0,0,0,0,0,-2.3,0,-7,-22.9,0,0,0,0,0,0
"Jun, 2006",0,0,0,0,0,0,0,0,0,0,0,0,251.9,0,0,0,0,0,0,0,0,0,0,-0.1,0,-15.3,0,0,0,0,0,0,-154.4,0,0,0,0,0,-2.3,0,-6.8,-22.1,0,0,0,0,0,0
"Jul, 2006",0,0,0,0,0,0,0,0,0,0,0,0,258.9,0,0,0,0,0,0,0,0,0,0,-0.1,0,-15.8,0,0,0,0,0,0,-158.8,0,0,0,0,0,-2.3,0,-6.9,-22.7,0,0,0,0,0,0
"Aug, 2006",0,0,0,0,0,0,0,0,0,0,0,0,257.5,0,0,0,0,0,0,0,0,0,0,-0.1,0,-15.7,0,0,0,0,0,0,-157.9,0,0,0,0,0,-2.3,0,-6.9,-22.6,0,0,0,0,0,0
"Sep, 2006",0,0,0,0,0,0,0,0,0,0,0,0,247.9,0,0,0,0,0,0,0,0,0,0,-0.1,0,-15.1,0,0,0,0,0,0,-152,0,0,0,0,0,-2.2,0,-6.7,-21.7,0,0,0,0,0,0
"Oct, 2006",0,0,0,0,0,0,0,0,0,0,0,0,240.4,0,0,0,0,0,0,0,0,0,0,-0.1,0,-15.5,0,0,0,0,0,0,-37.5,0,0,0,0,0,-2.3,0,0,-15.5,0,0,0,0,0,0
"Nov, 2006",0,0,0,0,0,0,0,0,0,0,0,0,245.3,0,0,0,0,0,0,0,0,0,0,-0.3,0,-14.9,0,0,0,0,0,0,-141.7,0,0,0,0,0,-2.2,0,0,-14.9,0,0,0,0,0,0
"Dec, 2006",0,0,0,0,0,0,0,0,0,0,0,0,252.2,0,0,0,0,0,0,0,0,0,0,-0.5,0,-11.5,0,0,0,0,0,0,-145.6,0,0,0,0,0,-2.3,0,0,-11.5,0,0,0,0,0,0
"Jan, 2007",0,0,0,0,0,0,0,0,0,0,0,0,250.8,0,0,0,0,0,0,0,0,0,0,-0.4,0,-11.4,0,0,0,0,0,0,-144.8,0,0,0,0,0,-2.2,0,0,-11.4,0,0,0,0,0,0
"Feb, 2007",0,0,0,0,0,0,0,0,0,0,0,0,225.4,0,0,0,0,0,0,0,0,0,0,-0.4,0,-10.3,0,0,0,0,0,0,-130.1,0,0,0,0,0,-2,0,0,-10.3,0,0,0,0,0,0
"Mar, 2007",0,0,0,0,0,0,0,0,0,0,0,0,248.2,0,0,0,0,0,0,0,0,0,0,-0.1,0,-15.1,0,0,0,0,0,0,-143.3,0,0,0,0,0,-2.2,0,0,-15.1,0,0,0,0,0,0
"Apr, 2007",0,0,0,0,0,0,0,0,0,0,0,0,238.9,0,0,0,0,0,0,0,0,0,0,-0.1,0,-14.5,0,0,0,0,0,0,-138,0,0,0,0,0,-2.1,0,0,-14.5,0,0,0,0,0,0
"May, 2007",0,0,0,0,0,0,0,0,0,0,0,0,231.6,0,0,0,0,0,0,0,0,0,0,-0.1,0,-14.9,0,0,0,0,0,0,-36.2,0,0,0,0,0,-2.2,0,0,-14.9,0,0,0,0,0,0
"Jun, 2007",0,0,0,0,0,0,0,0,0,0,0,0,236.4,0,0,0,0,0,0,0,0,0,0,-0.1,0,-14.4,0,0,0,0,0,0,-136.5,0,0,0,0,0,-2.1,0,0,-14.4,0,0,0,0,0,0
"Jul, 2007",0,0,0,0,0,0,0,0,0,0,0,0,242.9,0,0,0,0,0,0,0,0,0,0,-0.1,0,-14.8,0,0,0,0,0,0,-140.3,0,0,0,0,0,-2.2,0,0,-14.8,0,0,0,0,0,0
"Aug, 2007",0,0,0,0,0,0,0,0,0,0,0,0,241.6,0,0,0,0,0,0,0,0,0,0,-0.1,0,-14.7,0,0,0,0,0,0,-139.5,0,0,0,0,0,-2.2,0,0,-14.7,0,0,0,0,0,0
"Sep, 2007",0,0,0,0,0,0,0,0,0,0,0,0,232.5,0,0,0,0,0,0,0,0,0,0,-0.1,0,-14.1,0,0,0,0,0,0,-134.2,0,0,0,0,0,-2.1,0,0,-14.1,0,0,0,0,0,0
"Oct, 2007",0,0,0,0,0,0,0,0,0,0,0,0,225.4,0,0,0,0,0,0,0,0,0,0,-0.1,0,-14.5,0,0,0,0,0,0,-35.2,0,0,0,0,0,-2.1,0,0,-14.5,0,0,0,0,0,0
"Nov, 2007",0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,-0.1,0,-14,0,0,0,0,0,0,-132.8,0,0,0,0,0,-2.1,0,0,-14,0,0,0,0,0,0
"Dec, 2007",0,0,0,0,0,0,0,0,0,0,0,0,236.3,0,0,0,0,0,0,0,0,0,0,-0.5,0,-10.8,0,0,0,0,0,0,-136.5,0,0,0,0,0,-2.1,0,0,-10.8,0,0,0,0,0,0
"Jan, 2008",0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-135.7,0,0,0,0,0,-2.1,0,0,0,0,0,0,0,0,0
"Feb, 2008",0,0,0,0,0,0,0,0,0,0,0,0,218.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126.2,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0
