COUNTERPARTY,Trade Date,Flow Date,Location,Daily QTY,TOTAL QTY,Fixed Price,,VOLUME,Price,Total $
"Southern Company Energy Marketing, L.P.",2000-11-27 09:43:07,2000-12-01 00:00:00,PERMIAN,10000,310000,6.455,,310000,6.455,2001050
"Southern Company Energy Marketing, L.P.",2000-11-27 09:50:48,2000-12-01 00:00:00,PERMIAN,10000,310000,6.44,,310000,6.44,1996400
"Southern Company Energy Marketing, L.P.",2000-11-27 09:53:37,2000-12-01 00:00:00,PERMIAN,10000,310000,6.43,,310000,6.43,1993300
PanCanadian Energy Services Inc.,2000-11-27 10:27:10,2000-12-01 00:00:00,PERMIAN,-10000,-310000,6.54,,310000,6.54,2027400
"Cinergy Marketing & Trading, LLC",2000-11-27 11:13:08,2000-12-01 00:00:00,PERMIAN,10000,310000,6.595,,310000,6.595,2044450
Arizona Public Service Company,2000-11-27 13:43:58,2000-12-01 00:00:00,PERMIAN,10000,310000,6.57,,310000,6.57,2036700
EP PASO ELECTRIC,2000-11-27 15:00:00,2000-12-01 00:00:00,PERMIAN,-15000,-465000,6.42,,465000,6.42,2985300
Aquila Energy Marketing Corporation,2000-11-28 07:58:29,2000-12-01 00:00:00,PERMIAN,10000,310000,6.265,,310000,6.265,1942150
Aquila Energy Marketing Corporation,2000-11-28 08:00:50,2000-12-01 00:00:00,PERMIAN,10000,310000,6.265,,310000,6.265,1942150
Arizona Public Service Company,2000-11-28 08:08:31,2000-12-01 00:00:00,PERMIAN,10000,310000,6.255,,310000,6.255,1939050
"Southern Company Energy Marketing, L.P.",2000-11-28 08:12:43,2000-12-01 00:00:00,PERMIAN,20000,620000,6.245,,620000,6.245,3871900
Arizona Public Service Company,2000-11-28 08:37:32,2000-12-01 00:00:00,PERMIAN,5000,155000,6.16,,155000,6.16,954800
"Richardson Products II, Ltd.",2000-11-28 08:51:00,2000-12-01 00:00:00,PERMIAN,-6000,-186000,6.095,,186000,6.095,1133670
"Richardson Products II, Ltd.",2000-11-28 08:51:18,2000-12-01 00:00:00,PERMIAN,-4000,-124000,6.09,,124000,6.09,755160
"e prime, inc.",2000-11-28 08:58:39,2000-12-01 00:00:00,PERMIAN,-5000,-155000,6.135,,155000,6.135,950925
Cook Inlet Energy Supply L.L.C.,2000-11-28 09:06:02,2000-12-01 00:00:00,PERMIAN,-5000,-155000,6.195,,155000,6.195,960225
Cook Inlet Energy Supply L.L.C.,2000-11-28 09:06:52,2000-12-01 00:00:00,PERMIAN,-5000,-155000,6.19,,155000,6.19,959450
AEP,2000-11-28 09:19:39,2000-12-01 00:00:00,PERMIAN,-7000,-217000,6.11,,217000,6.11,1325870
"Richardson Products II, Ltd.",2000-11-28 10:22:26,2000-12-01 00:00:00,PERMIAN,-5000,-155000,6.185,,155000,6.185,958675
"USGT/Aquila, L.P.",2000-11-28 10:23:17,2000-12-01 00:00:00,PERMIAN,5000,155000,6.175,,155000,6.175,957125
"Reliant Energy Services, Inc.",2000-11-28 10:24:33,2000-12-01 00:00:00,PERMIAN,20000,620000,6.16,,620000,6.16,3819200
"USGT/Aquila, L.P.",2000-11-28 10:46:04,2000-12-01 00:00:00,PERMIAN,5000,155000,6.16,,155000,6.16,954800
Barrett Resources Corporation,2000-11-28 12:06:25,2000-12-01 00:00:00,PERMIAN,5000,155000,6.145,,155000,6.145,952475
"Reliant Energy Services, Inc.",2000-11-28 12:51:30,2000-12-01 00:00:00,PERMIAN,5000,155000,6.125,,155000,6.125,949375
"Reliant Energy Services, Inc.",2000-11-28 14:00:20,2000-12-01 00:00:00,PERMIAN,5000,155000,6.12,,155000,6.12,948600
"Reliant Energy Services, Inc.",2000-11-28 14:00:26,2000-12-01 00:00:00,PERMIAN,5000,155000,6.115,,155000,6.115,947825
"Reliant Energy Services, Inc.",2000-11-28 15:20:24,2000-12-01 00:00:00,PERMIAN,-5000,-155000,6.06,,155000,6.06,939300
"Reliant Energy Services, Inc.",2000-11-28 15:24:11,2000-12-01 00:00:00,PERMIAN,-5000,-155000,6.095,,155000,6.095,944725
WACOG,6.316591502049944,,,,3543300,,,8317300,,52536986.5
,,,,,,,,,,
AEC MARKETING,2000-11-22 09:00:00,2000-12-01 00:00:00,PG&E CITY GATE,5000,155000,12.285,,155000,12.285,1904175
"El Paso Merchant Energy - Gas, L.P.",2000-11-22 10:12:42,2000-12-01 00:00:00,PG&E CITY GATE,5000,155000,12.665,,155000,12.665,1963075
"AEC Marketing (USA), Inc.",2000-11-27 08:40:08,2000-12-01 00:00:00,PG&E CITY GATE,5000,155000,12.08,,155000,12.08,1872400
"AEC Marketing (USA), Inc.",2000-11-27 08:44:52,2000-12-01 00:00:00,PG&E CITY GATE,5000,155000,12.0625,,155000,12.0625,1869687.5
Dynegy Marketing and Trade,2000-11-27 08:52:41,2000-12-01 00:00:00,PG&E CITY GATE,-5000,-155000,12.25,,155000,12.25,1898750
Dynegy Marketing and Trade,2000-11-27 09:02:43,2000-12-01 00:00:00,PG&E CITY GATE,-5000,-155000,12.2425,,155000,12.2425,1897587.5
Dynegy Marketing and Trade,2000-11-27 09:20:49,2000-12-01 00:00:00,PG&E CITY GATE,-10000,-310000,12.415,,310000,12.415,3848650
Dynegy Marketing and Trade,2000-11-27 09:46:55,2000-12-01 00:00:00,PG&E CITY GATE,10000,310000,12.435,,310000,12.435,3854850
"Coral Energy Resources, L.P.",2000-11-27 09:51:46,2000-12-01 00:00:00,PG&E CITY GATE,-10000,-310000,12.5175,,310000,12.5175,3880425
PanCanadian Energy Services Inc.,2000-11-27 09:52:47,2000-12-01 00:00:00,PG&E CITY GATE,-5000,-155000,12.56,,155000,12.56,1946800
"Duke Energy Trading and Marketing, L.L.C.",2000-11-27 13:13:04,2000-12-01 00:00:00,PG&E CITY GATE,-5000,-155000,14.055,,155000,14.055,2178525
"Duke Energy Trading and Marketing, L.L.C.",2000-11-28 08:47:52,2000-12-01 00:00:00,PG&E CITY GATE,-5000,-155000,14.13,,155000,14.13,2190150
BP Energy Company,2000-11-28 09:17:30,2000-12-01 00:00:00,PG&E CITY GATE,-5000,-155000,14.3125,,155000,14.3125,2218437.5
BP Energy Company,2000-11-28 09:17:59,2000-12-01 00:00:00,PG&E CITY GATE,-5000,-155000,14.455,,155000,14.455,2240525
COAST,2000-11-28 09:19:39,2000-12-01 00:00:00,PG&E CITY GATE,-6100,-189100,15,,189100,15,2836500
BP Energy Company,2000-11-28 10:55:13,2000-12-01 00:00:00,PG&E CITY GATE,5000,155000,14.4225,,155000,14.4225,2235487.5
BP Energy Company,2000-11-28 11:03:35,2000-12-01 00:00:00,PG&E CITY GATE,5000,155000,14.455,,155000,14.455,2240525
PG&E Energy Trading-Gas Corporation,2000-11-28 12:59:00,2000-12-01 00:00:00,PG&E CITY GATE,5000,155000,14.7525,,155000,14.7525,2286637.5
"Duke Energy Trading and Marketing, L.L.C.",2000-11-28 13:22:12,2000-12-01 00:00:00,PG&E CITY GATE,-5000,-155000,14.82,,155000,14.82,2297100
PG&E Energy Trading-Gas Corporation,2000-11-28 13:23:18,2000-12-01 00:00:00,PG&E CITY GATE,5000,155000,14.7675,,155000,14.7675,2288962.5
PG&E Energy Trading-Gas Corporation,2000-11-28 13:35:06,2000-12-01 00:00:00,PG&E CITY GATE,5000,155000,14.93,,155000,14.93,2314150
WACOG,13.388934764657307,,,,-344100,,,3754100,,50263400
,,,,,,,,,,
Dynegy Marketing and Trade,2000-11-22 09:48:57,2000-12-01 00:00:00,ROCKIES,-5000,-155000,6.2975,,155000,6.2975,976112.5
"Southern Company Energy Marketing, L.P.",2000-11-22 10:09:38,2000-12-01 00:00:00,ROCKIES,-5000,-155000,6.3325,,155000,6.3325,981537.5
Arizona Public Service Company,2000-11-28 08:01:01,2000-12-01 00:00:00,ROCKIES,-10000,-310000,5.98,,310000,5.98,1853800
Arizona Public Service Company,2000-11-28 08:38:49,2000-12-01 00:00:00,ROCKIES,-10000,-310000,5.88,,310000,5.88,1822800
"Southern Company Energy Marketing, L.P.",2000-11-28 08:49:04,2000-12-01 00:00:00,ROCKIES,-5000,-155000,5.79,,155000,5.79,897450
"Coral Energy Resources, L.P.",2000-11-28 09:08:54,2000-12-01 00:00:00,ROCKIES,-5000,-155000,5.89,,155000,5.89,912950
"Coral Energy Resources, L.P.",2000-11-28 09:49:25,2000-12-01 00:00:00,ROCKIES,-5000,-155000,5.905,,155000,5.905,915275
Williams Energy Marketing & Trading Company,2000-11-28 10:15:32,2000-12-01 00:00:00,ROCKIES,-5000,-155000,5.895,,155000,5.895,913725
Barrett Resources Corporation,2000-11-28 10:27:05,2000-12-01 00:00:00,ROCKIES,5000,155000,5.9,,155000,5.9,914500
Barrett Resources Corporation,2000-11-28 12:30:14,2000-12-01 00:00:00,ROCKIES,5000,155000,5.9,,155000,5.9,914500
"Southern Company Energy Marketing, L.P.",2000-11-28 12:52:23,2000-12-01 00:00:00,ROCKIES,-5000,-155000,5.87,,155000,5.87,909850
"Enserco Energy, Inc.",2000-11-28 13:40:51,2000-12-01 00:00:00,ROCKIES,-1000,-31000,5.825,,31000,5.825,180575
"Southern Company Energy Marketing, L.P.",2000-11-28 13:53:58,2000-12-01 00:00:00,ROCKIES,-15000,-465000,5.85,,465000,5.85,2720250
Cook Inlet Energy Supply L.L.C.,2000-11-28 15:28:49,2000-12-01 00:00:00,ROCKIES,-5000,-155000,5.83,,155000,5.83,903650
WACOG,5.932848837209303,,,,-2046000,,,2666000,,15816975
,,,,,,,,,,
GIANT REFINING,2000-11-22 09:00:00,2000-12-01 00:00:00,SAN JAUN,650,20150,6.435,,20150,6.435,129665.25
APS,2000-11-27 14:00:00,2000-12-01 00:00:00,SAN JAUN,-5000,-155000,6.295,,155000,6.295,975725
"Southern Company Energy Marketing, L.P.",2000-11-27 10:32:59,2000-12-01 00:00:00,SAN JUAN,5000,155000,6.27,,155000,6.27,971850
Dynegy Marketing and Trade,2000-11-27 11:24:51,2000-12-01 00:00:00,SAN JUAN,-20000,-620000,6.325,,620000,6.325,3921500
"Southern Company Energy Marketing, L.P.",2000-11-27 13:26:08,2000-12-01 00:00:00,SAN JUAN,-10000,-310000,6.31,,310000,6.31,1956100
Dynegy Marketing and Trade,2000-11-28 09:13:06,2000-12-01 00:00:00,SAN JUAN,-5000,-155000,5.87,,155000,5.87,909850
Dynegy Marketing and Trade,2000-11-28 09:13:45,2000-12-01 00:00:00,SAN JUAN,-5000,-155000,5.87,,155000,5.87,909850
APS,2000-11-28 09:19:39,2000-12-01 00:00:00,SAN JUAN,-5000,-155000,5.905,,155000,5.905,915275
Texaco Natural Gas Inc.,2000-11-28 09:19:39,2000-12-01 00:00:00,SAN JUAN,-5000,-155000,5.805,,155000,5.805,899775
NATIONAL FUEL,2000-11-28 09:19:39,2000-12-01 00:00:00,SAN JUAN,-2500,-77500,5.87,,77500,5.87,454925
APS,2000-11-28 09:19:39,2000-12-01 00:00:00,SAN JUAN,-10000,-310000,5.98,,310000,5.98,1853800
PanCanadian Energy Services Inc.,2000-11-28 10:00:15,2000-12-01 00:00:00,SAN JUAN,-5000,-155000,5.91,,155000,5.91,916050
PanCanadian Energy Services Inc.,2000-11-28 10:00:40,2000-12-01 00:00:00,SAN JUAN,-5000,-155000,5.925,,155000,5.925,918375
"Southern Company Energy Marketing, L.P.",2000-11-28 11:17:19,2000-12-01 00:00:00,SAN JUAN,5000,155000,5.9,,155000,5.9,914500
"Southern Company Energy Marketing, L.P.",2000-11-28 11:17:42,2000-12-01 00:00:00,SAN JUAN,5000,155000,5.8925,,155000,5.8925,913337.5
"Southern Company Energy Marketing, L.P.",2000-11-28 11:25:09,2000-12-01 00:00:00,SAN JUAN,5000,155000,5.87,,155000,5.87,909850
"Southern Company Energy Marketing, L.P.",2000-11-28 12:19:26,2000-12-01 00:00:00,SAN JUAN,-5000,-155000,5.89,,155000,5.89,912950
"Southern Company Energy Marketing, L.P.",2000-11-28 12:52:34,2000-12-01 00:00:00,SAN JUAN,-5000,-155000,5.88,,155000,5.88,911400
"Southern Company Energy Marketing, L.P.",2000-11-28 12:56:48,2000-12-01 00:00:00,SAN JUAN,-5000,-155000,5.88,,155000,5.88,911400
"Southern Company Energy Marketing, L.P.",2000-11-28 13:35:49,2000-12-01 00:00:00,SAN JUAN,-5000,-155000,5.875,,155000,5.875,910625
"Southern Company Energy Marketing, L.P.",2000-11-28 13:36:50,2000-12-01 00:00:00,SAN JUAN,-5000,-155000,5.8425,,155000,5.8425,905587.5
"Southern Company Energy Marketing, L.P.",2000-11-28 13:37:04,2000-12-01 00:00:00,SAN JUAN,-5000,-155000,5.84,,155000,5.84,905200
WACOG,6.0230803745610615,,,,-2692350,,,3972650,,23927590.25
,,,,,,,,,,
"Enserco Energy, Inc.",2000-11-22 08:28:37,2000-12-01 00:00:00,SOCAL,-5000,-155000,14.07,,155000,14.07,2180850
"Southern Company Energy Marketing, L.P.",2000-11-22 08:30:06,2000-12-01 00:00:00,SOCAL,5000,155000,13.95,,155000,13.95,2162250
"Enserco Energy, Inc.",2000-11-22 08:44:55,2000-12-01 00:00:00,SOCAL,-2000,-62000,13.02,,62000,13.02,807240
"Enserco Energy, Inc.",2000-11-22 08:44:59,2000-12-01 00:00:00,SOCAL,-2000,-62000,13,,62000,13,806000
"El Paso Merchant Energy - Gas, L.P.",2000-11-22 08:46:00,2000-12-01 00:00:00,SOCAL,5000,155000,12.72,,155000,12.72,1971600
Texaco Natural Gas Inc.,2000-11-22 08:59:34,2000-12-01 00:00:00,SOCAL,-5000,-155000,12.815,,155000,12.815,1986325
"El Paso Merchant Energy - Gas, L.P.",2000-11-22 09:02:46,2000-12-01 00:00:00,SOCAL,5000,155000,12.735,,155000,12.735,1973925
"El Paso Merchant Energy - Gas, L.P.",2000-11-22 09:23:09,2000-12-01 00:00:00,SOCAL,5000,155000,12.32,,155000,12.32,1909600
"El Paso Merchant Energy - Gas, L.P.",2000-11-22 10:12:49,2000-12-01 00:00:00,SOCAL,5000,155000,12.315,,155000,12.315,1908825
"Enserco Energy, Inc.",2000-11-22 11:22:27,2000-12-01 00:00:00,SOCAL,-1000,-31000,12.395,,31000,12.395,384245
"Enserco Energy, Inc.",2000-11-27 08:20:00,2000-12-01 00:00:00,SOCAL,-1000,-31000,11.7,,31000,11.7,362700
BP Energy Company,2000-11-27 08:34:33,2000-12-01 00:00:00,SOCAL,5000,155000,11.69,,155000,11.69,1811950
"Southern Company Energy Marketing, L.P.",2000-11-27 08:53:42,2000-12-01 00:00:00,SOCAL,5000,155000,11.79,,155000,11.79,1827450
"El Paso Merchant Energy - Gas, L.P.",2000-11-27 08:54:39,2000-12-01 00:00:00,SOCAL,10000,310000,11.83,,310000,11.83,3667300
Cook Inlet Energy Supply L.L.C.,2000-11-27 08:57:50,2000-12-01 00:00:00,SOCAL,-5000,-155000,11.88,,155000,11.88,1841400
PG&E ENERGY TRADING,2000-11-27 09:00:00,2000-12-01 00:00:00,SOCAL,10000,310000,13.22,,310000,13.22,4098200
"Southern Company Energy Marketing, L.P.",2000-11-27 09:22:08,2000-12-01 00:00:00,SOCAL,20000,620000,11.99,,620000,11.99,7433800
Dynegy Marketing and Trade,2000-11-27 09:26:54,2000-12-01 00:00:00,SOCAL,-10000,-310000,12.04,,310000,12.04,3732400
Dynegy Marketing and Trade,2000-11-27 09:26:58,2000-12-01 00:00:00,SOCAL,-10000,-310000,12.09,,310000,12.09,3747900
Cook Inlet Energy Supply L.L.C.,2000-11-27 09:28:45,2000-12-01 00:00:00,SOCAL,5000,155000,12.055,,155000,12.055,1868525
"Southern Company Energy Marketing, L.P.",2000-11-27 09:55:29,2000-12-01 00:00:00,SOCAL,-5000,-155000,12.215,,155000,12.215,1893325
"Southern Company Energy Marketing, L.P.",2000-11-27 09:55:57,2000-12-01 00:00:00,SOCAL,-5000,-155000,12.275,,155000,12.275,1902625
"Enserco Energy, Inc.",2000-11-27 09:59:20,2000-12-01 00:00:00,SOCAL,-1000,-31000,12.35,,31000,12.35,382850
PG&E Energy Trading-Gas Corporation,2000-11-27 10:17:49,2000-12-01 00:00:00,SOCAL,-5000,-155000,12.42,,155000,12.42,1925100
San Diego Gas & Electric Company,2000-11-27 10:22:02,2000-12-01 00:00:00,SOCAL,-5000,-155000,12.5,,155000,12.5,1937500
"Enserco Energy, Inc.",2000-11-27 10:24:21,2000-12-01 00:00:00,SOCAL,-1000,-31000,12.61,,31000,12.61,390910
"Southern Company Energy Marketing, L.P.",2000-11-27 10:25:54,2000-12-01 00:00:00,SOCAL,-5000,-155000,12.625,,155000,12.625,1956875
Cook Inlet Energy Supply L.L.C.,2000-11-27 10:26:57,2000-12-01 00:00:00,SOCAL,-5000,-155000,12.725,,155000,12.725,1972375
San Diego Gas & Electric Company,2000-11-27 10:28:15,2000-12-01 00:00:00,SOCAL,-5000,-155000,12.83,,155000,12.83,1988650
"Enserco Energy, Inc.",2000-11-27 10:32:46,2000-12-01 00:00:00,SOCAL,-1000,-31000,12.92,,31000,12.92,400520
San Diego Gas & Electric Company,2000-11-27 10:36:36,2000-12-01 00:00:00,SOCAL,-5000,-155000,12.925,,155000,12.925,2003375
"Southern Company Energy Marketing, L.P.",2000-11-27 10:38:30,2000-12-01 00:00:00,SOCAL,-5000,-155000,13.04,,155000,13.04,2021200
Cook Inlet Energy Supply L.L.C.,2000-11-27 10:39:45,2000-12-01 00:00:00,SOCAL,5000,155000,13.02,,155000,13.02,2018100
PG&E Energy Trading-Gas Corporation,2000-11-27 10:43:15,2000-12-01 00:00:00,SOCAL,5000,155000,12.995,,155000,12.995,2014225
"Enserco Energy, Inc.",2000-11-27 10:44:29,2000-12-01 00:00:00,SOCAL,-1000,-31000,13.07,,31000,13.07,405170
PG&E Energy Trading-Gas Corporation,2000-11-27 11:29:23,2000-12-01 00:00:00,SOCAL,-5000,-155000,13.29,,155000,13.29,2059950
PG&E Energy Trading-Gas Corporation,2000-11-27 11:29:46,2000-12-01 00:00:00,SOCAL,-5000,-155000,13.4,,155000,13.4,2077000
"Enserco Energy, Inc.",2000-11-27 11:30:17,2000-12-01 00:00:00,SOCAL,-1000,-31000,13.395,,31000,13.395,415245
"Enserco Energy, Inc.",2000-11-27 11:59:54,2000-12-01 00:00:00,SOCAL,-1000,-31000,13.245,,31000,13.245,410595
"Enserco Energy, Inc.",2000-11-27 12:30:17,2000-12-01 00:00:00,SOCAL,-1000,-31000,13.32,,31000,13.32,412920
Aquila Energy Marketing Corporation,2000-11-27 12:32:22,2000-12-01 00:00:00,SOCAL,5000,155000,13.215,,155000,13.215,2048325
Sempra Energy Trading Corp.,2000-11-27 12:38:48,2000-12-01 00:00:00,SOCAL,-3000,-93000,13.28,,93000,13.28,1235040
"Enserco Energy, Inc.",2000-11-27 12:59:10,2000-12-01 00:00:00,SOCAL,-1000,-31000,13.41,,31000,13.41,415710
"Enserco Energy, Inc.",2000-11-27 13:19:39,2000-12-01 00:00:00,SOCAL,-1000,-31000,13.72,,31000,13.72,425320
San Diego Gas & Electric Company,2000-11-27 13:21:25,2000-12-01 00:00:00,SOCAL,-5000,-155000,13.73,,155000,13.73,2128150
"Enserco Energy, Inc.",2000-11-28 07:55:53,2000-12-01 00:00:00,SOCAL,-1000,-31000,13.915,,31000,13.915,431365
"Enserco Energy, Inc.",2000-11-28 08:36:25,2000-12-01 00:00:00,SOCAL,-2000,-62000,14.06,,62000,14.06,871720
Aquila Energy Marketing Corporation,2000-11-28 08:42:22,2000-12-01 00:00:00,SOCAL,5000,155000,13.82,,155000,13.82,2142100
Aquila Energy Marketing Corporation,2000-11-28 08:43:39,2000-12-01 00:00:00,SOCAL,5000,155000,13.7,,155000,13.7,2123500
Dynegy Marketing and Trade,2000-11-28 08:46:41,2000-12-01 00:00:00,SOCAL,5000,155000,13.58,,155000,13.58,2104900
Dynegy Marketing and Trade,2000-11-28 08:47:40,2000-12-01 00:00:00,SOCAL,5000,155000,13.5,,155000,13.5,2092500
"Enserco Energy, Inc.",2000-11-28 09:12:27,2000-12-01 00:00:00,SOCAL,-2000,-62000,13.87,,62000,13.87,859940
SOCAL GAS,2000-11-28 09:19:39,2000-12-01 00:00:00,SOCAL,-20000,-620000,14.3,,620000,14.3,8866000
CITY OF LONG BEACH,2000-11-28 09:19:39,2000-12-01 00:00:00,SOCAL,-5000,-155000,14.6,,155000,14.6,2263000
San Diego Gas & Electric Company,2000-11-28 09:25:25,2000-12-01 00:00:00,SOCAL,-3000,-93000,13.95,,93000,13.95,1297350
"Enserco Energy, Inc.",2000-11-28 09:26:45,2000-12-01 00:00:00,SOCAL,-2000,-62000,14.11,,62000,14.11,874820
"Enserco Energy, Inc.",2000-11-28 09:34:56,2000-12-01 00:00:00,SOCAL,-3000,-93000,14.15,,93000,14.15,1315950
Aquila Energy Marketing Corporation,2000-11-28 09:36:08,2000-12-01 00:00:00,SOCAL,-10000,-310000,14.23,,310000,14.23,4411300
San Diego Gas & Electric Company,2000-11-28 10:59:54,2000-12-01 00:00:00,SOCAL,-5000,-155000,14.07,,155000,14.07,2180850
"Enron Energy Services, Inc.",2000-11-28 12:08:16,2000-12-01 00:00:00,SOCAL,-5000,-155000,14.48,,155000,14.48,2244400
Aquila Energy Marketing Corporation,2000-11-28 12:13:08,2000-12-01 00:00:00,SOCAL,5000,155000,14.465,,155000,14.465,2242075
Aquila Energy Marketing Corporation,2000-11-28 12:46:05,2000-12-01 00:00:00,SOCAL,5000,155000,14.35,,155000,14.35,2224250
Aquila Energy Marketing Corporation,2000-11-28 12:46:18,2000-12-01 00:00:00,SOCAL,5000,155000,14.255,,155000,14.255,2209525
Aquila Energy Marketing Corporation,2000-11-28 12:46:38,2000-12-01 00:00:00,SOCAL,5000,155000,14.155,,155000,14.155,2194025
PG&E Energy Trading-Gas Corporation,2000-11-28 13:04:46,2000-12-01 00:00:00,SOCAL,5000,155000,14.5,,155000,14.5,2247500
San Diego Gas & Electric Company,2000-11-28 15:12:21,2000-12-01 00:00:00,SOCAL,-5000,-155000,14.59,,155000,14.59,2261450
San Diego Gas & Electric Company,2000-11-28 15:13:30,2000-12-01 00:00:00,SOCAL,5000,155000,14.54,,155000,14.54,2253700
San Diego Gas & Electric Company,2000-11-28 15:15:57,2000-12-01 00:00:00,SOCAL,-5000,-155000,14.54,,155000,14.54,2253700
WACOG,13.189141104294478,,,,-1116000,,,10106000,,133289460
,,,,,,,,,,
PLAINS GAS,2000-11-28 09:19:39,2000-12-01 00:00:00,TW PERMIAN,-300,-9300,6.25,,9300,6.25,58125
WACOG,6.25,,,,-9300,,,9300,,58125
