Counterparty,Deal Num,Fin,Pub Code,Period,Quantity
HPL-HPLC DESK,391811,P,GDP-HPL/SHPCH,04-MAY-2000,2666
HPL-HPLC OPERA,392995,P,IF-HPL/SHPCHAN,04-MAY-2000,-22
HPL-HPLC OPERA,392996,P,IF-HPL/SHPCHAN,04-MAY-2000,-248
HPL-HPLC OPERA,393000,P,IF-HPL/SHPCHAN,04-MAY-2000,-8
HPL-HPLC OPERA,393001,P,IF-HPL/SHPCHAN,04-MAY-2000,-2
HPL-HPLC OPERA,393002,P,IF-HPL/SHPCHAN,04-MAY-2000,-238
HPL-HPLC OPERA,393003,P,IF-HPL/SHPCHAN,04-MAY-2000,-3
HPL-HPLC OPERA,393004,P,IF-HPL/SHPCHAN,04-MAY-2000,-220
HPL-HPLC OPERA,393005,P,IF-HPL/SHPCHAN,04-MAY-2000,-23
HPL-HPLC OPERA,393008,P,IF-HPL/SHPCHAN,04-MAY-2000,-2
HPL-HPLC OPERA,393009,P,IF-HPL/SHPCHAN,04-MAY-2000,-110
HPL-HPLC OPERA,393010,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
HPL-HPLC OPERA,393012,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
HPL-HPLC OPERA,393013,P,IF-HPL/SHPCHAN,04-MAY-2000,-3
HPL-HPLC OPERA,393015,P,IF-HPL/SHPCHAN,04-MAY-2000,-4
HPL-HPLC OPERA,393017,P,IF-HPL/SHPCHAN,04-MAY-2000,-11
HPL-HPLC OPERA,393018,P,IF-HPL/SHPCHAN,04-MAY-2000,-188
HPL-HPLC OPERA,393024,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
HPL-HPLC OPERA,393031,P,IF-HPL/SHPCHAN,04-MAY-2000,-508
HPL-HPLC OPERA,393032,P,IF-HPL/SHPCHAN,04-MAY-2000,-3
HPL-HPLC OPERA,393033,P,IF-HPL/SHPCHAN,04-MAY-2000,-531
HPL-HPLC OPERA,393038,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
HPL-HPLC DESK,393598,P,GDC-KING RANCH,04-MAY-2000,-49444
HPL-HPLC DESK,393599,P,GDC-KING RANCH,04-MAY-2000,49444
PRAXAIR,401653,P,IF-HPL/SHPCHAN,04-MAY-2000,-100
AMOCOCHECOM,407511,P,FX-PRICE-CASH,04-MAY-2000,-25
ENICHEM,407565,P,IF-HPL/SHPCHAN,04-MAY-2000,-2218
EURECAT,407693,P,IF-A/S EAST OFF,04-MAY-2000,-180
FORMOSA,407701,P,IF-CORPUS,04-MAY-2000,-20000
FORMOSA,407707,P,GDP-HPL/SHPCH,04-MAY-2000,-5000
FORMOSA,407707,P,GDP-HPL/SHPCH,04-MAY-2000,-1038
FORMOSA,407707,P,GDP-HPL/SHPCH,04-MAY-2000,-5000
GLOBAL-OCTANES,407719,P,IF-HPL/SHPCHAN,04-MAY-2000,-10900
GLOBAL-OCTANES,407721,P,GDP-HPLU2AFTH,04-MAY-2000,-1083
HALDORTOPSOE,407726,P,IF-A/S EAST OFF,04-MAY-2000,-475
ROCHEVIT,407773,P,IF-HPL/SHPCHAN,04-MAY-2000,-475
CALGONCOR,408018,P,IF-KATY/WOFLEX,04-MAY-2000,-25
BPCHEM,408043,P,IF-HPL/SHPCHAN,04-MAY-2000,-3500
SHELLCHECOM,408189,P,IF-HPL/SHPCHAN,04-MAY-2000,-1650
SHELL,408198,P,GDP-HPL/SHPCH,04-MAY-2000,-910
SHELL,408199,P,GDP-HPL/SHPCH,04-MAY-2000,-672
SOLVAY,408228,P,IF-HPL/SHPCHAN,04-MAY-2000,-4300
BEAUMONTMETLIM,408251,P,IF-HPL/SHPCHAN,04-MAY-2000,-20000
TEMPLE,408289,P,IF-HPL/SHPCHAN,04-MAY-2000,-14841
TEXASIND,408294,P,IF-HPL/SHPCHAN,04-MAY-2000,-330
STERLING,408297,P,IF-HPL/SHPCHAN,04-MAY-2000,-24703
STERLING,408299,P,IF-HPL/SHPCHAN,04-MAY-2000,-13764
UNITEDSALT,408306,P,IF-HPL/SHPCHAN,04-MAY-2000,-920
COGENLYO,408317,P,IF-HPL/SHPCHAN,04-MAY-2000,-5258
ZENECA,408377,P,IF-HPL/SHPCHAN,04-MAY-2000,-50
DIAMONDSHAREFMA,408453,P,IF-CORPUS,04-MAY-2000,-6889
DIANAL,408454,P,IF-KATY/WOFLEX,04-MAY-2000,-100
BAROIDDRIFLU,408459,P,IF-HPL/SHPCHAN,04-MAY-2000,-20
MOBILCHEM,408601,P,IF-HPL/SHPCHAN,04-MAY-2000,-50
MOBILOILCORPBR,408610,P,IF-HPL/SHPCHAN,04-MAY-2000,-1260
MOBILOILCORPBR,408612,P,IF-HPL/SHPCHAN,04-MAY-2000,-105226
RELIANTENEHLP,408645,P,IF-HPL/SHPCHAN,04-MAY-2000,-8084
ENCINAGASPIP,408658,P,IF-HPL/SHPCHAN,04-MAY-2000,41
NISSEKI,409051,P,IF-HPL/SHPCHAN,04-MAY-2000,-475
ADVANCEDARO,409169,P,IF-HPL/SHPCHAN,04-MAY-2000,-800
CHEMICALS,409501,P,IF-A/S EAST OFF,04-MAY-2000,-50
CALPINEFUETEX,410028,P,IF-HPL/SHPCHAN,04-MAY-2000,-70495
CALPINEFUETEX,410367,P,IF-TX CITY LOOP,04-MAY-2000,-96355
HPL-HPLC DESK,411100,P,GDP-HPL/SHPCH,04-MAY-2000,282
ENA-TEXAS DESK,411101,P,GDP-HPL/SHPCH,04-MAY-2000,-282
HPL-HPLC DESK,411503,P,GDC-KING RANCH,04-MAY-2000,-49444
HPL-HPLC DESK,411504,P,GDC-KING RANCH,04-MAY-2000,49444
HPL-HPLC DESK,411524,P,GDC-KING RANCH,04-MAY-2000,33131
HPL-HPLC DESK,411525,P,GDC-KING RANCH,04-MAY-2000,-33131
RELIANTENEENT,418132,P,IF-HPL/SHPCHAN,04-MAY-2000,-10000
SANJACINDGAS,419537,P,IF-AGUA DULCE,04-MAY-2000,-19059
ENA-TEXAS DESK,419779,P,GDC-THOMPSONVIL,04-MAY-2000,200
ENA-TEXAS DESK,419780,P,GDP-HPL/SHPCH,04-MAY-2000,-200
ENA-TEXAS DESK,421522,P,GDP-HPL/SHPCH,04-MAY-2000,-10000
HPL-HPLC DESK,421535,P,GDP-HPL/SHPCH,04-MAY-2000,10000
HPL-HPLC DESK,423864,P,GDC-KATY,04-MAY-2000,-593
HPL-HPLC DESK,423865,P,GDC-KATY,04-MAY-2000,593
HPL-HPLC DESK,423900,P,GDP-HPL/SHPCH,04-MAY-2000,-395
HPL-HPLC DESK,423901,P,GDC-KATY,04-MAY-2000,395
HPL-HPLC DESK,423920,P,GDP-HPL/SHPCH,04-MAY-2000,-536
HPL-HPLC DESK,423921,P,GDC-KATY,04-MAY-2000,536
HPL-HPLC DESK,423922,P,GDP-HPL/SHPCH,04-MAY-2000,-60
HPL-HPLC DESK,423923,P,GDC-KATY,04-MAY-2000,60
HPL-HPLC DESK,424338,P,GDP-HPL/SHPCH,04-MAY-2000,-90
HPL-HPLC DESK,424339,P,GDC-KATY,04-MAY-2000,90
HPL-HPLC DESK,426475,P,GDP-HPL/SHPCH,04-MAY-2000,55
ENA-TEXAS DESK,426476,P,GDP-HPL/SHPCH,04-MAY-2000,-55
HPL-HPLC DESK,426477,P,GDP-HPL/SHPCH,04-MAY-2000,11
ENA-TEXAS DESK,426478,P,GDP-HPL/SHPCH,04-MAY-2000,-11
HPL-HPLC DESK,426494,P,GDP-HPL/SHPCH,04-MAY-2000,3574
ENA-TEXAS DESK,426495,P,GDP-HPL/SHPCH,04-MAY-2000,-3574
HPL-HPLC DESK,426703,P,GDC-KATY,04-MAY-2000,-18
HPL-HPLC DESK,426704,P,GDC-KATY,04-MAY-2000,18
EQUISTARCHEL P,427707,P,IF-HPL/SHPCHAN,04-MAY-2000,-10000
TXUFUECOM,429273,P,IF-HPL/SHPCHAN,04-MAY-2000,-30000
TXUFUECOM,429298,P,IF-HPL/SHPCHAN,04-MAY-2000,-60000
TXUFUECOM,429525,P,IF-HPL/SHPCHAN,04-MAY-2000,-30000
GRIFFINLL C,430194,P,IF-HPL/SHPCHAN,04-MAY-2000,-630
SCHENECTADY,431287,P,IF-HPL/SHPCHAN,04-MAY-2000,-3100
HPL-HPLC DESK,431292,P,GDP-HPL/SHPCH,04-MAY-2000,800
ENA-TEXAS DESK,431293,P,GDP-HPL/SHPCH,04-MAY-2000,-800
TITANTIRCOR,432675,P,IF-HPL/SHPCHAN,04-MAY-2000,-2000
RELIANTENEENT,432738,P,IF-HPL/SHPCHAN,04-MAY-2000,-4451
HPL-HPLC DESK,432975,P,GDC-KING RANCH,04-MAY-2000,36147
HPL-HPLC DESK,432976,P,GDC-KING RANCH,04-MAY-2000,-36147
HPL-HPLC DESK,432985,P,GDC-KING RANCH,04-MAY-2000,9700
HPL-HPLC DESK,432986,P,GDC-KING RANCH,04-MAY-2000,-9700
LUBRIZOL,435692,P,FX-PRICE-CASH,04-MAY-2000,-1200
LUBRIZOL,435692,P,IF-HPL/SHPCHAN,04-MAY-2000,-200
LUBRIZOL,435692,P,IF-HPL/SHPCHAN,04-MAY-2000,-300
RELIANTENEHLP,435777,P,IF-HPL/SHPCHAN,04-MAY-2000,-11381
BRAZORIACITOF,439773,P,IF-HPL/SHPCHAN,04-MAY-2000,-96
HPL-HPLC DESK,442008,P,GDP-HPL/SHPCH,04-MAY-2000,127
ENA-TEXAS DESK,442009,P,GDP-HPL/SHPCH,04-MAY-2000,-127
RELIANTENEENT,442390,P,IF-HPL/SHPCHAN,04-MAY-2000,-800
RELIANTENEENT,442391,P,IF-HPL/SHPCHAN,04-MAY-2000,-12647
RELIANTENEENT,442392,P,IF-HPL/SHPCHAN,04-MAY-2000,-55
RELIANTENEENT,442393,P,IF-HPL/SHPCHAN,04-MAY-2000,-226
RELIANTENEENT,442394,P,IF-HPL/SHPCHAN,04-MAY-2000,-3574
RELIANTENEENT,442395,P,IF-HPL/SHPCHAN,04-MAY-2000,-127
RELIANTENEENT,442397,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
RELIANTENEENT,442398,P,IF-HPL/SHPCHAN,04-MAY-2000,-250
RELIANTENEENT,442400,P,IF-HPL/SHPCHAN,04-MAY-2000,-22
RELIANTENEENT,442401,P,IF-HPL/SHPCHAN,04-MAY-2000,-458
RELIANTENEENT,442402,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
RELIANTENEENT,442403,P,IF-HPL/SHPCHAN,04-MAY-2000,-11
RELIANTENEENT,442404,P,IF-HPL/SHPCHAN,04-MAY-2000,-18
RELIANTENEENT,442407,P,IF-HPL/SHPCHAN,04-MAY-2000,-30
RELIANTENEENT,442409,P,IF-HPL/SHPCHAN,04-MAY-2000,-60
RELIANTENEENT,442410,P,IF-HPL/SHPCHAN,04-MAY-2000,-12
HPL-HPLC DESK,442933,P,GDC-AGAU DULCE,04-MAY-2000,-60
HPL-HPLC DESK,442934,P,GDP-HPL/SHPCH,04-MAY-2000,60
EMPIRE,443003,P,WAHA KCBT,04-MAY-2000,-8500
HPL-HPLC DESK,443350,P,GDP-HPL/SHPCH,04-MAY-2000,800
HPL-HPLC DESK,443351,P,GDC-KATY,04-MAY-2000,-800
HPL-HPLC DESK,444288,P,IF-HPL/SHPCHAN,04-MAY-2000,200
ENA-TEXAS DESK,444289,P,IF-HPL/SHPCHAN,04-MAY-2000,-200
TEXACOGRO,445658,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
HPL-HPLC OPERA,445941,P,IF-HPL/SHPCHAN,04-MAY-2000,-20000
COSTILLAENE,446318,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
AIRPRODINC,446739,P,IF-HPL/SHPCHAN,04-MAY-2000,-3009
BASF,446740,P,IF-FREEPORT,04-MAY-2000,-8312
HPL-HPLC DESK,450682,P,GDC-KING RANCH,04-MAY-2000,16303
HPL-HPLC DESK,450683,P,GDC-THOMPSONVIL,04-MAY-2000,-16303
HPL-HPLC DESK,451136,P,GDC-KING RANCH,04-MAY-2000,-7253
HPL-HPLC DESK,451137,P,GDC-KING RANCH,04-MAY-2000,7253
SOLUTIA,452514,P,IF-HPL/SHPCHAN,04-MAY-2000,-4718
SOUTHERNION,453511,P,IF-A/S EAST OFF,04-MAY-2000,-80
NOVAMOLEC,453574,P,IF-A/S EAST OFF,04-MAY-2000,-205
HPL-HPLC DESK,453632,P,GDC-KING RANCH,04-MAY-2000,-41500
HPL-HPLC DESK,453633,P,GDC-KING RANCH,04-MAY-2000,41500
HPL-HPLC DESK,454273,P,IF-HPL/SHPCHAN,04-MAY-2000,4789
HPL--TEXAS DESK,454274,P,IF-HPL/SHPCHAN,04-MAY-2000,-4789
CP&L,454362,P,IF-CORPUS,04-MAY-2000,-36335
TRANSTEXASGASCO,454822,P,IF-HPL/SHPCHAN,04-MAY-2000,1449
SUEMAUREXPPRO,454825,P,IF-HPL/SHPCHAN,04-MAY-2000,2663
COSTILLAENE,454826,P,IF-HPL/SHPCHAN,04-MAY-2000,17980
JOHNSONERNOPE,454828,P,IF-AGUA DULCE,04-MAY-2000,397
HUGHES,454850,P,IF-HPL/SHPCHAN,04-MAY-2000,1510
WELHAUSEOPECO,454862,P,IF-HPL/SHPCHAN,04-MAY-2000,55
WELHAUSEOPECO,454863,P,IF-HPL/SHPCHAN,04-MAY-2000,357
WELHAUSEOPECO,454864,P,IF-HPL/SHPCHAN,04-MAY-2000,366
WELHAUSEOPECO,454865,P,IF-HPL/SHPCHAN,04-MAY-2000,482
OCONNORHEWLTD,454867,P,IF-HPL/SHPCHAN,04-MAY-2000,2216
OCONNORHEWLTD,454869,P,IF-HPL/SHPCHAN,04-MAY-2000,111
OCONNORHEWLTD,454870,P,IF-HPL/SHPCHAN,04-MAY-2000,675
OCONNORHEWLTD,454871,P,IF-HPL/SHPCHAN,04-MAY-2000,128
OCONNORHEWLTD,454874,P,IF-HPL/SHPCHAN,04-MAY-2000,371
OCONNORHEWLTD,454875,P,IF-HPL/SHPCHAN,04-MAY-2000,1534
OCONNORHEWLTD,454877,P,IF-HPL/SHPCHAN,04-MAY-2000,602
STATES,454880,P,IF-HPL/SHPCHAN,04-MAY-2000,106
STATES,454881,P,IF-HPL/SHPCHAN,04-MAY-2000,449
KCSRESOURCES,454882,P,IF-HPL/SHPCHAN,04-MAY-2000,9313
NEUMINPROCO,454884,P,IF-HPL/SHPCHAN,04-MAY-2000,346
CEOPERATING,454887,P,IF-AGUA DULCE,04-MAY-2000,12270
OCONNORHEWLTD,454889,P,IF-AGUA DULCE,04-MAY-2000,1791
SUNOPELIMPAR,454894,P,IF-HPL/SHPCHAN,04-MAY-2000,30488
CAMOIL,454896,P,IF-AGUA DULCE,04-MAY-2000,210
SHIDLER-ML,454898,P,IF-HPL/SHPCHAN,04-MAY-2000,42
SANDEL,454899,P,IF-HPL/SHPCHAN,04-MAY-2000,217
KCRES,454902,P,IF-HPL/SHPCHAN,04-MAY-2000,43
MERITENERGY,454906,P,IF-AGUA DULCE,04-MAY-2000,173
CEOPERATING,454968,P,IF-HPL/SHPCHAN,04-MAY-2000,171
COKINOS,454974,P,IF-AGUA DULCE,04-MAY-2000,1030
CEOPERATING,454978,P,IF-AGUA DULCE,04-MAY-2000,2200
COSTILLAENE,454980,P,IF-AGUA DULCE,04-MAY-2000,57
COSTILLAENE,454981,P,IF-AGUA DULCE,04-MAY-2000,259
COSTILLAENE,454983,P,IF-KATY/WOFLEX,04-MAY-2000,92
COSTILLAENE,454984,P,IF-AGUA DULCE,04-MAY-2000,484
COMSTOCK,454986,P,IF-TEXOMA OFFER,04-MAY-2000,45978
AMOCO,455306,P,IF-AGUA DULCE,04-MAY-2000,40000
EOGRES,455661,P,IF-THOMPSONVILL,04-MAY-2000,75
EOGRES,455664,P,IF-KING RANCH,04-MAY-2000,2
EOGRES,455668,P,IF-THOMPSONVILL,04-MAY-2000,451
EOGRES,455674,P,IF-THOMPSONVILL,04-MAY-2000,2686
EOGRES,455677,P,IF-THOMPSONVILL,04-MAY-2000,1961
EOGRES,455679,P,IF-THOMPSONVILL,04-MAY-2000,3678
SAMSONLONSTA,455680,P,IF-A/S E.BEAUM,04-MAY-2000,75
SHORELINEGAS,455682,P,IF-KING RANCH,04-MAY-2000,23
EOGRES,455689,P,IF-HPL/SHPCHAN,04-MAY-2000,4114
HORIZON,455703,P,IF-HPL/SHPCHAN,04-MAY-2000,1887
DELRAY,455746,P,IF-HPL/SHPCHAN,04-MAY-2000,43
EOGRES,455749,P,IF-HPL/SHPCHAN,04-MAY-2000,7370
EOGRES,455767,P,IF-HPL/SHPCHAN,04-MAY-2000,993
EOGRES,455769,P,IF-HPL/SHPCHAN,04-MAY-2000,1278
EOGRES,455782,P,IF-HPL/SHPCHAN,04-MAY-2000,4468
EOGRES,455798,P,IF-HPL/SHPCHAN,04-MAY-2000,174
EOGRES,455799,P,IF-HPL/SHPCHAN,04-MAY-2000,672
EOGRES,455801,P,IF-HPL/SHPCHAN,04-MAY-2000,4399
EOGRES,455808,P,IF-HPL/SHPCHAN,04-MAY-2000,338
EOGRES,455810,P,IF-KING RANCH,04-MAY-2000,2027
EOGRES,455814,P,IF-HPL/SHPCHAN,04-MAY-2000,46
EOGRES,455817,P,IF-VALLEY,04-MAY-2000,10496
EOGRES,455819,P,IF-HPL/SHPCHAN,04-MAY-2000,444
EOGRES,455820,P,IF-THOMPSONVILL,04-MAY-2000,1745
MARATHONASHPET,456325,P,IF-TX CITY LOOP,04-MAY-2000,-6000
GULFCOAPIPCOR,456394,P,IF-HPL/SHPCHAN,04-MAY-2000,-1
EQUISTARCHEL P,459319,P,IF-HPL/SHPCHAN,04-MAY-2000,-5000
NCENTRALOIL,459381,P,IF-THOMPSONVILL,04-MAY-2000,21060
HURD,459738,P,IF-THOMPSONVILL,04-MAY-2000,188
SHELL,461039,P,IF-HPL/SHPCHAN,04-MAY-2000,-40000
SHELL,461040,P,IF-HPL/SHPCHAN,04-MAY-2000,-50000
DYEXP,461413,P,IF-HPL/SHPCHAN,04-MAY-2000,38
SYNERGYOILGAS,461414,P,IF-AGUA DULCE,04-MAY-2000,1
FAIR OAKS,461422,P,IF-HPL/SHPCHAN,04-MAY-2000,11
HEADINGTONOIL,461424,P,IF-KING RANCH,04-MAY-2000,117
DOLCHPROCO,461464,P,IF-HPL/SHPCHAN,04-MAY-2000,421
HOUSTONRESCOR,461513,P,IF-VALLEY,04-MAY-2000,212
ZEVEX,461528,P,IF-VALLEY,04-MAY-2000,24
EUROPEANSWCO,461543,P,IF-AGUA DULCE,04-MAY-2000,98
KAISER-FRANCIS,461559,P,IF-AGUA DULCE,04-MAY-2000,627
KAISER-FRANCIS,461596,P,IF-AGUA DULCE,04-MAY-2000,81
GEOENGININC,461965,P,IF-KATY/WOFLEX,04-MAY-2000,90
ANDERSON PETRO,461977,P,IF-HPL/SHPCHAN,04-MAY-2000,217
FALCON,461984,P,IF-THOMPSONVILL,04-MAY-2000,186
ARANSASDRIWOR,462003,P,IF-HPL/SHPCHAN,04-MAY-2000,56
PETROCORP,462041,P,IF-HPL/SHPCHAN,04-MAY-2000,750
EXXONCHEMLCO,462130,P,IF-A/S EAST OFF,04-MAY-2000,-2262
DURANGO,462232,P,IF-TEXOMA,04-MAY-2000,116
CEOPERATING,463863,P,IF-AGUA DULCE,04-MAY-2000,570
FELDERHOPROCOM,464919,P,IF-HPL/SHPCHAN,04-MAY-2000,588
SETEXOILCOM,464963,P,IF-TEXOMA,04-MAY-2000,102
TRANSCO,465045,P,IF-HPL/SHPCHAN,04-MAY-2000,152
TRANSCO,465046,P,IF-HPL/SHPCHAN,04-MAY-2000,79
TRANSCO,465047,P,IF-HPL/SHPCHAN,04-MAY-2000,30
TEXAKOTAOILCOM,465060,P,IF-HPL/SHPCHAN,04-MAY-2000,299
VERNONEFAU,465100,P,IF-KATY/WOFLEX,04-MAY-2000,148
VERNONEFAU,465122,P,IF-KATY/WOFLEX,04-MAY-2000,147
VALENCE,465133,P,IF-HPL/SHPCHAN,04-MAY-2000,220
VERNONEFAU,465145,P,IF-KATY/WOFLEX,04-MAY-2000,188
SUNOPELIMPAR,465151,P,IF-TEXOMA,04-MAY-2000,6204
ELPASOPROCO,465156,P,IF-HPL/SHPCHAN,04-MAY-2000,5686
ELPASOPROCO,465158,P,IF-HPL/SHPCHAN,04-MAY-2000,8982
ELPASOPROCO,465160,P,IF-HPL/SHPCHAN,04-MAY-2000,1455
SHORELINEGAS,465178,P,IF-AGUA DULCE,04-MAY-2000,460
HEATHERLOCH,465212,P,IF-HPL/SHPCHAN,04-MAY-2000,136
DALLASPRO,465310,P,IF-TEXOMA,04-MAY-2000,11862
PINTAILPROCO,465356,P,IF-HPL/SHPCHAN,04-MAY-2000,61
COREEXPPRO,465362,P,IF-AGUA DULCE,04-MAY-2000,2350
VALENCE,465366,P,IF-HPL/SHPCHAN,04-MAY-2000,282
PINTAILPROCO,465405,P,IF-HPL/SHPCHAN,04-MAY-2000,61
RCIENE,465412,P,IF-KING RANCH,04-MAY-2000,4
TEJONESOPECOR,465425,P,IF-HPL/SHPCHAN,04-MAY-2000,4458
DREYFUS NG,465430,P,IF-HPL/SHPCHAN,04-MAY-2000,381
MOSBACHER-RJ,465437,P,IF-HPL/SHPCHAN,04-MAY-2000,287
PINTAILPROCO,465455,P,IF-HPL/SHPCHAN,04-MAY-2000,30
HURD,465471,P,IF-HPL/SHPCHAN,04-MAY-2000,526
HILLCORP,465472,P,IF-HPL/SHPCHAN,04-MAY-2000,1698
REH,465487,P,IF-THOMPSONVILL,04-MAY-2000,212
BETTISBOYSTO,465496,P,IF-AGUA DULCE,04-MAY-2000,49
ROJO,465508,P,IF-TEXOMA,04-MAY-2000,439
INLANDOCEAN,465528,P,IF-HPL/SHPCHAN,04-MAY-2000,196
SAMSONLONSTA,465529,P,IF-KATY/WOFLEX,04-MAY-2000,165
HOUSTONPETCOM,465552,P,IF-HPL/SHPCHAN,04-MAY-2000,121
SAMSONLONSTA,465561,P,IF-THOMPSONVILL,04-MAY-2000,85
BLACKHAWOILCOM,465575,P,IF-HPL/SHPCHAN,04-MAY-2000,670
CALPINENATGAS,465582,P,IF-HPL/SHPCHAN,04-MAY-2000,189
CORDELEDEVCOR,465592,P,IF-HPL/SHPCHAN,04-MAY-2000,41
SMITH,465595,P,IF-VALLEY,04-MAY-2000,306
CONOCO,465662,P,IF-HPL/SHPCHAN,04-MAY-2000,3560
CONOCO,465663,P,IF-HPL/SHPCHAN,04-MAY-2000,1327
ENCINAGASPIP,465695,P,IF-HPL/SHPCHAN,04-MAY-2000,53
ENCINAGASPIP,465707,P,IF-HPL/SHPCHAN,04-MAY-2000,45
ENCINAGASPIP,465710,P,IF-HPL/SHPCHAN,04-MAY-2000,13
SUEMAUREXPPRO,465725,P,IF-KING RANCH,04-MAY-2000,617
