"El Paso Industrial Energy, L.P.",GISB Base Contract,1,,staying
"El Paso Merchant Energy, L.P.",Master Purchase Spot,,1,going
"El Paso Merchant Energy, L.P.",Master Sale Spot,,1,going
"El Paso Merchant Energy, L.P.",GISB Base Contract,1,,staying
"Enercorp Gas Transmission Systems, Inc.",Master Purchase Spot,,1,going/need?
Energy Consultants Inc.,Master Purchase Spot,,1,going/need?
Energy Consultants Inc.,Master Sale Spot,,1,going/need?
Energy Transfer Corporation,Master Purchase Spot,,1,going/need?
EnergyUSA-TPC Corp.,GISB Base Contract,1,1,going/need?
Engelhard Corporation,Master Purchase Sale Firm,,1,going/need?
Enron Methanol Company,Master Purchase Sale Firm,,1,going/need?
Enron North America Corp.,Master Purchase Sale Firm,,1,going/need?
"Entergy Gulf States, Inc.",GISB Base Contract,,1,going
"Entergy Gulf States, Inc.",Master Purchase Sale Spot,1,,staying
"Equistar Chemicals, LP",Master Purchase/Sale Firm and Spot,,1,going
"Equistar Chemicals, LP",GISB Base Contract,1,,staying
Exxon Mobil Corporation,Master Purchase Spot,,1,going/need?
Exxon Mobil Corporation,Master Purchase Sale Firm,1,1,going/staying
"ExxonMobil Gas Marketing Company, a division of Exxon Mobil Corporation",GISB Base Contract,,1,going/need?
Floyd Oil Company,Master Purchase Spot,,1,going
Floyd Oil Company,GISB Base Contract,1,,staying
"Formosa Hydrocarbons Company, Inc.",Master Purchase Sale Firm,,1,going/need?
"Formosa Hydrocarbons Company, Inc.",Master Purchase Sale Interruptible,,1,going/need?
"Four Square Gas Company, Inc.",Master Purchase Spot,,1,going/need?
"Four Square Gas Company, Inc.",Master Sale Spot,,1,going/need?
"Fuji Resources, Inc.",Master Purchase Spot,,1,going/need?
"Garland, City Of",Master Sale Spot,,1,going/need?
"Gas Solutions, Ltd.",Master Purchase Sale Firm,,1,going/need?
Gateway Gathering & Marketing Inc.,Master Purchase Spot,,1,going
Gateway Gathering & Marketing Inc.,Master Purchase Sale Spot,1,,staying
GM Hydrocarbons Ltd.,Master Purchase Spot,1,1,going/need?
Goldston Oil Corporation,Master Purchase Sale Spot,,1,going/need?
"Griffin L.L.C. Valdosta, Georgia",Master Purchase Sale Firm,,1,going/need?
Gulf Energy Marketing Company,Master Sale Spot,,1,going
Gulf Energy Marketing Company,GISB Base Contract,1,,staying
"GulfMark Energy, Inc.",GISB Base Contract,1,1,going/staying
H&N Gas Limited Partnership,Master Purchase Sale Spot,,1,going
H&N Gas Limited Partnership,Master Purchase Spot,1,,staying
H&N Gas Limited Partnership,Master Sale Spot,1,,staying
Hanson Minerals Company,Master Purchase Spot,,1,going/need?
"Hess Energy Services Company, LLC",GISB Base Contract 6.3.1,,1,going/need?
Hilcorp Energy Company,GISB Base Contract,,1,going/need?
Hilcorp Energy Company,Master Purchase Spot,,1,going/need?
HPL Resources Company,Master Purchase Sale Firm,,1,going/need?
HPL Resources Liquids Division,Master Purchase Sale Spot,,1,going/need?
HPL Resources Liquids Division,Master Sale Spot,,1,going/need?
"HS Energy Services, Inc.",Master Purchase Sale Spot,1,1,going
"HS Energy Services, Inc.",GISB Base Contract 6.3.1,1,,staying
"HUISH detergents, inc.",Master Purchase Sale Firm,,1,going/need?
ICC Energy Corporation,Master Purchase Sale Spot,,1,going
ICC Energy Corporation,GISB Base Contract,1,,staying
"Intercon Gas, Inc.",Master Purchase Spot,,1,going/need?
"JC Energy Resources, Inc.",Master Purchase Sale Spot,1,1,going/staying
"John Mills Sr., a sole proprietor",Master Purchase Firm,,1,going/need?
"KCS Resources, Inc.",Master Purchase Sale Firm,,1,going/need?
"Kinder Morgan Texas Pipeline, L.P.",Master Purchase Sale Firm,,1,going/need?
"Kinder Morgan Texas Pipeline, L.P.",GISB Base Contract 6.3.1,1,1,going/staying
"K-M Javelina, Inc.",Master Purchase Sale Firm,,1,going/need?
Koch Midstream Services Company,GISB Base Contract 6.3.1,,1,going
Koch Midstream Services Company,GISB Base Contract,1,,staying
Lyondell-Citgo Refining Company LP,Master Purchase Sale Firm,,1,going/need?
Marathon Oil Company,Master Purchase Sale Spot,1,1,going/staying
Markham Gas Corp.,Master Sale Firm,,1,going
Markham Gas Corp.,Master Sale Firm & Interruptible,1,,staying
MCNIC Pipeline & Processing Company,Master Purchase Sale Firm,,1,going/need?
"Mercado Gas Services, Inc.",Master Sale Firm,,1,going/need?
Meridian Oil Storage Inc.,Master Sale Spot,,1,going/need?
MG Natural Gas Corp.,Master Purchase Spot,1,1,going/need?
Michael Gas Marketing Company,Master Purchase Spot,,1,going/need?
Mieco Inc.,GISB Base Contract,,1,going
Mieco Inc.,GISB Base Contract 6.3.1,1,,staying
"Mirant Americas Energy Marketing, L.P.",GISB Base Contract,,1,going
"Mirant Americas Energy Marketing, L.P.",GISB Base Contract 6.3.1,1,,staying
Mitchell Gas Services L.P.,Master Purchase Sale Firm,,1,going/need?
Mobil Chemical Company,Master Sale Firm,,1,going/need?
Mobil Natural Gas Inc,Master Purchase Spot,,1,going/need?
Mobil Oil Corporation,Master Purchase Sale Firm,,1,going/need?
Occidental Chemical Corporation,Master Sale Spot,,1,going/need?
"Ocean Energy, Inc.",Master Purchase Sale Spot,,1,going/need?
"ONEOK Gas Marketing, Inc.",GISB Base Contract,,1,going/need?
"Onyx Gas Marketing Company, L.C.",Master Purchase Sale Spot,,1,going/need?
"Onyx Gas Marketing Company, L.C.",Master Purchase Spot,,1,going/need?
Ozona Pipeline Energy Co.,Master Purchase Sale Spot,,1,going/need?
Petro Vest Inc.,Master Sale Spot,,1,going/need?
Petrofina Gas Pipeline Company,Master Purchase Sale Firm,,1,going/need?
PG&E Energy Trading-Gas Corporation,Master Purchase Sale Spot,,1,going/need?
Phillips Gas Marketing Company,Master Purchase Spot,1,1,going/staying
Phillips Gas Marketing Company,Master Sale Spot,1,1,going/staying
Qualitech Steel Corporation,Master Purchase Sale Firm,1,1,going/need?
Reliant Energy HL&P,Master Purchase Sale Firm,,1,going/need?
"Reliant Energy Services, Inc.",Master Purchase Sale Firm,2,1,going/staying
"Reliant Energy Services, Inc.",Master Purchase Sale Spot,1,1,going/staying
Rhodia Inc.,Master Purchase Sale Firm,,1,going/need?
"Richardson Products II, Ltd.",Master Purchase Sale Spot,1,1,going/staying
Rojo Pipeline Co. Inc.,Master Purchase Spot,,1,going/need?
Royal Production Company Inc.,Master Purchase Sale Spot,,1,going/need?
Rutherford Oil Corporation,Master Purchase Spot,,1,going/need?
Sanchez Oil & Gas Corporation,Master Purchase Sale Spot,,1,going
Sanchez Oil & Gas Corporation,GISB Base Contract 6.3.1,1,,staying
Sanhall Corporation,Master Purchase Spot,,1,going/need?
Seagull Energy E&P Inc.,Master Purchase Spot,,1,going/need?
Shell Chemical Company,Master Purchase Sale Firm,,1,going/need?
Shell Development Co,Master Lease Agreement,,1,going/need?
Shell Oil Company,Master Purchase Sale Firm,,1,going/need?
Shell Oil Company,Master Purchase Sale Spot,,1,going/need?
Shoreline Gas Inc.,Master Purchase Spot,,1,going
Shoreline Gas Inc.,GISB Base Contract 6.3.1,1,,staying
Solutia Inc.,Master Sale Firm,,1,going/need?
Southwestern Electric Power Company,GISB Base Contract 6.3.1,1,1,going/need?
Swift Energy Company,Master Purchase Spot,,1,going
Swift Energy Company,GISB Base Contract 6.3.1,1,,staying
Tauber Oil Company,Master Purchase Spot,,1,going
Tauber Oil Company,Master Sale Spot,,1,going
Tauber Oil Company,GISB Base Contract 6.3.1,1,,staying
Teco Gas Processing Company,Master Purchase Sale Spot,,1,going/need?
"Tejas Ship Channel, LLC",Master Sale Spot,,1,going/need?
Tenaska Marketing Ventures,Master Purchase Sale Spot,1,1,going/staying
"Texaco Exploration and Production, Inc.",Master Sale Spot,,1,going/need?
Texaco Natural Gas Inc.,GISB Base Contract 6.3.1,,1,going
Texaco Natural Gas Inc.,GISB Base Contract,1,,staying
Texas General Land Office,Master Purchase Spot,,1,going/need?
Texla Energy Management Inc.,Master Purchase Sale Spot,,1,going
Texla Energy Management Inc.,Master Purchase/Sale Firm and Interruptible,1,,staying
"Titan Resources I, Inc.",Master Purchase Sale Spot,,1,going/need?
Transco Energy Marketing Co.,GISB Base Contract,,1,going
Transco Energy Marketing Co.,GISB Base Contract 6.3.1,1,,staying
TransTexas Gas Corporation,GISB Base Contract,,1,going/need?
"Tristar Gas Company, L.P.",Master Purchase Spot,,1,going/need?
TXU Fuel Company,Master Sale Spot,,1,going/need?
"U.S. Gas Transportation, Inc.",Master Purchase Sale Spot,,1,going
"U.S. Gas Transportation, Inc.",GISB Base Contract,1,,staying
Union Carbide Corporation,GISB Base Contract,,1,going/need?
Union Carbide Corporation,Master Sale Spot,,1,going/need?
United Gas Pipeline Co.,Master Sale Spot,,1,going/need?
"United Oil & Minerals, Inc.",Master Purchase Spot,,1,going/need?
Upstream Energy Services Company,Master Purchase Sale Spot,,1,going
Upstream Energy Services Company,GISB Base Contract 6.3.1,1,,staying
Velsicol Chemical Corporation,Master Purchase Sale Firm,,1,going/need?
"Western Gas Resources, Inc.",Master Purchase Sale Firm,1,2,going/staying
"Western Gas Resources, Inc.",Master Purchase Sale Spot,1,1,going/staying
"Westhall Associates, Inc",Master Purchase Firm,,1,going/need?
Westvaco Corporation,Master Sale Firm,,1,going/need?
Whiting Petroleum Corporation,Master Purchase Spot,1,1,going/staying
,,61,168,
