YEAR,MONTH,DAY,SumOfSum Of UTILIZED_CAPACITY_QTY,EFFECTIVE_DTM By Day
1998,11,25,117480,"Wednesday, November 25, 1998"
1998,11,26,111184,"Thursday, November 26, 1998"
1998,11,27,111170,"Friday, November 27, 1998"
1998,11,28,110837,"Saturday, November 28, 1998"
1998,11,29,110712,"Sunday, November 29, 1998"
1998,11,30,112252,"Monday, November 30, 1998"
1998,12,1,119626,"Tuesday, December 01, 1998"
1998,12,2,120394,"Wednesday, December 02, 1998"
1998,12,3,120616,"Thursday, December 03, 1998"
1998,12,4,129035,"Friday, December 04, 1998"
1998,12,5,151924,"Saturday, December 05, 1998"
1998,12,6,125937,"Sunday, December 06, 1998"
1998,12,7,128126,"Monday, December 07, 1998"
1998,12,8,141022,"Tuesday, December 08, 1998"
1998,12,9,130171,"Wednesday, December 09, 1998"
1998,12,10,129281,"Thursday, December 10, 1998"
1998,12,11,134597,"Friday, December 11, 1998"
1998,12,12,118860,"Saturday, December 12, 1998"
1998,12,13,126341,"Sunday, December 13, 1998"
1998,12,14,152400,"Monday, December 14, 1998"
1998,12,15,134363,"Tuesday, December 15, 1998"
1998,12,16,129859,"Wednesday, December 16, 1998"
1998,12,17,131054,"Thursday, December 17, 1998"
1998,12,18,122681,"Friday, December 18, 1998"
1998,12,19,143536,"Saturday, December 19, 1998"
1998,12,20,142285,"Sunday, December 20, 1998"
1998,12,21,148226,"Monday, December 21, 1998"
1998,12,22,143682,"Tuesday, December 22, 1998"
1998,12,23,147105,"Wednesday, December 23, 1998"
1998,12,24,137649,"Thursday, December 24, 1998"
1998,12,25,139770,"Friday, December 25, 1998"
1998,12,26,141885,"Saturday, December 26, 1998"
1998,12,27,142066,"Sunday, December 27, 1998"
1998,12,28,142332,"Monday, December 28, 1998"
1998,12,29,127722,"Tuesday, December 29, 1998"
1998,12,30,125184,"Wednesday, December 30, 1998"
1998,12,31,122644,"Thursday, December 31, 1998"
1999,1,1,110182,"Friday, January 01, 1999"
1999,1,2,105361,"Saturday, January 02, 1999"
1999,1,3,113127,"Sunday, January 03, 1999"
1999,1,4,117484,"Monday, January 04, 1999"
1999,1,5,117235,"Tuesday, January 05, 1999"
1999,1,6,130235,"Wednesday, January 06, 1999"
1999,1,7,121620,"Thursday, January 07, 1999"
1999,1,8,114495,"Friday, January 08, 1999"
1999,1,9,113599,"Saturday, January 09, 1999"
1999,1,10,100569,"Sunday, January 10, 1999"
1999,1,11,105497,"Monday, January 11, 1999"
1999,1,12,129052,"Tuesday, January 12, 1999"
1999,1,13,115578,"Wednesday, January 13, 1999"
1999,1,14,117377,"Thursday, January 14, 1999"
1999,1,15,116872,"Friday, January 15, 1999"
1999,1,16,113844,"Saturday, January 16, 1999"
1999,1,17,113844,"Sunday, January 17, 1999"
1999,1,18,114762,"Monday, January 18, 1999"
1999,1,19,112284,"Tuesday, January 19, 1999"
1999,1,20,123176,"Wednesday, January 20, 1999"
1999,1,21,134134,"Thursday, January 21, 1999"
1999,1,22,132854,"Friday, January 22, 1999"
1999,1,23,126596,"Saturday, January 23, 1999"
1999,1,24,126580,"Sunday, January 24, 1999"
1999,1,25,130099,"Monday, January 25, 1999"
1999,1,26,130336,"Tuesday, January 26, 1999"
1999,1,27,129118,"Wednesday, January 27, 1999"
1999,1,28,131721,"Thursday, January 28, 1999"
1999,1,29,133791,"Friday, January 29, 1999"
1999,1,30,144708,"Saturday, January 30, 1999"
1999,1,31,143916,"Sunday, January 31, 1999"
1999,2,1,119929,"Monday, February 01, 1999"
1999,2,2,120173,"Tuesday, February 02, 1999"
1999,2,3,120289,"Wednesday, February 03, 1999"
1999,2,4,120770,"Thursday, February 04, 1999"
1999,2,5,120275,"Friday, February 05, 1999"
1999,2,6,118943,"Saturday, February 06, 1999"
1999,2,7,119362,"Sunday, February 07, 1999"
1999,2,8,118969,"Monday, February 08, 1999"
1999,2,9,117907,"Tuesday, February 09, 1999"
1999,2,10,121052,"Wednesday, February 10, 1999"
1999,2,11,120765,"Thursday, February 11, 1999"
1999,2,12,117139,"Friday, February 12, 1999"
1999,2,13,106965,"Saturday, February 13, 1999"
1999,2,14,103945,"Sunday, February 14, 1999"
1999,2,15,107203,"Monday, February 15, 1999"
1999,2,16,107303,"Tuesday, February 16, 1999"
1999,2,17,110088,"Wednesday, February 17, 1999"
1999,2,18,104622,"Thursday, February 18, 1999"
1999,2,19,105942,"Friday, February 19, 1999"
1999,2,20,83948,"Saturday, February 20, 1999"
1999,2,21,84066,"Sunday, February 21, 1999"
1999,2,22,86420,"Monday, February 22, 1999"
1999,2,23,79168,"Tuesday, February 23, 1999"
1999,2,24,84210,"Wednesday, February 24, 1999"
1999,2,25,95490,"Thursday, February 25, 1999"
1999,2,26,95941,"Friday, February 26, 1999"
1999,2,27,99425,"Saturday, February 27, 1999"
1999,2,28,102213,"Sunday, February 28, 1999"
1999,3,1,102657,"Monday, March 01, 1999"
1999,3,2,102671,"Tuesday, March 02, 1999"
1999,3,3,102575,"Wednesday, March 03, 1999"
1999,3,4,117898,"Thursday, March 04, 1999"
1999,3,5,111772,"Friday, March 05, 1999"
1999,3,6,100476,"Saturday, March 06, 1999"
1999,3,7,97293,"Sunday, March 07, 1999"
1999,3,8,101079,"Monday, March 08, 1999"
1999,3,9,107158,"Tuesday, March 09, 1999"
1999,3,10,107368,"Wednesday, March 10, 1999"
1999,3,11,108153,"Thursday, March 11, 1999"
1999,3,12,108663,"Friday, March 12, 1999"
1999,3,13,83219,"Saturday, March 13, 1999"
1999,3,14,83180,"Sunday, March 14, 1999"
1999,3,15,88755,"Monday, March 15, 1999"
1999,3,16,110385,"Tuesday, March 16, 1999"
1999,3,17,112068,"Wednesday, March 17, 1999"
1999,3,18,114994,"Thursday, March 18, 1999"
1999,3,19,109509,"Friday, March 19, 1999"
1999,3,20,71204,"Saturday, March 20, 1999"
1999,3,21,71204,"Sunday, March 21, 1999"
1999,3,22,72990,"Monday, March 22, 1999"
1999,3,23,87651,"Tuesday, March 23, 1999"
1999,3,24,75071,"Wednesday, March 24, 1999"
1999,3,25,70371,"Thursday, March 25, 1999"
1999,3,26,77928,"Friday, March 26, 1999"
1999,3,27,83807,"Saturday, March 27, 1999"
1999,3,28,76765,"Sunday, March 28, 1999"
1999,3,29,85345,"Monday, March 29, 1999"
1999,3,30,115031,"Tuesday, March 30, 1999"
1999,3,31,121080,"Wednesday, March 31, 1999"
1999,4,1,68542,"Thursday, April 01, 1999"
1999,4,2,66524,"Friday, April 02, 1999"
1999,4,3,61467,"Saturday, April 03, 1999"
1999,4,4,61467,"Sunday, April 04, 1999"
1999,4,5,64439,"Monday, April 05, 1999"
1999,4,6,108306,"Tuesday, April 06, 1999"
1999,4,7,108044,"Wednesday, April 07, 1999"
1999,4,8,108737,"Thursday, April 08, 1999"
1999,4,9,92183,"Friday, April 09, 1999"
1999,4,10,80733,"Saturday, April 10, 1999"
1999,4,11,78548,"Sunday, April 11, 1999"
1999,4,12,83550,"Monday, April 12, 1999"
1999,4,13,79524,"Tuesday, April 13, 1999"
1999,4,14,80370,"Wednesday, April 14, 1999"
1999,4,15,80851,"Thursday, April 15, 1999"
1999,4,16,81678,"Friday, April 16, 1999"
1999,4,17,72511,"Saturday, April 17, 1999"
1999,4,18,80631,"Sunday, April 18, 1999"
1999,4,19,80712,"Monday, April 19, 1999"
1999,4,20,80193,"Tuesday, April 20, 1999"
1999,4,21,79087,"Wednesday, April 21, 1999"
1999,4,22,82009,"Thursday, April 22, 1999"
1999,4,23,85233,"Friday, April 23, 1999"
1999,4,24,69413,"Saturday, April 24, 1999"
1999,4,25,62284,"Sunday, April 25, 1999"
1999,4,26,77231,"Monday, April 26, 1999"
1999,4,27,83248,"Tuesday, April 27, 1999"
1999,4,28,79925,"Wednesday, April 28, 1999"
1999,4,29,86473,"Thursday, April 29, 1999"
1999,4,30,87148,"Friday, April 30, 1999"
1999,5,1,90112,"Saturday, May 01, 1999"
1999,5,2,90112,"Sunday, May 02, 1999"
1999,5,3,94496,"Monday, May 03, 1999"
1999,5,4,87116,"Tuesday, May 04, 1999"
1999,5,5,97565,"Wednesday, May 05, 1999"
1999,5,6,97282,"Thursday, May 06, 1999"
1999,5,7,94470,"Friday, May 07, 1999"
1999,5,8,79759,"Saturday, May 08, 1999"
1999,5,9,78649,"Sunday, May 09, 1999"
1999,5,10,79754,"Monday, May 10, 1999"
1999,5,11,100946,"Tuesday, May 11, 1999"
1999,5,12,123538,"Wednesday, May 12, 1999"
1999,5,13,129781,"Thursday, May 13, 1999"
1999,5,14,124823,"Friday, May 14, 1999"
1999,5,15,85745,"Saturday, May 15, 1999"
1999,5,16,83934,"Sunday, May 16, 1999"
1999,5,17,86714,"Monday, May 17, 1999"
1999,5,18,84680,"Tuesday, May 18, 1999"
1999,5,19,90817,"Wednesday, May 19, 1999"
1999,5,20,92395,"Thursday, May 20, 1999"
1999,5,21,91784,"Friday, May 21, 1999"
1999,5,22,80791,"Saturday, May 22, 1999"
1999,5,23,89123,"Sunday, May 23, 1999"
1999,5,24,90190,"Monday, May 24, 1999"
1999,5,25,88133,"Tuesday, May 25, 1999"
1999,5,26,84386,"Wednesday, May 26, 1999"
1999,5,27,61878,"Thursday, May 27, 1999"
1999,5,28,69479,"Friday, May 28, 1999"
1999,5,29,81038,"Saturday, May 29, 1999"
1999,5,30,76031,"Sunday, May 30, 1999"
1999,5,31,79007,"Monday, May 31, 1999"
1999,6,1,95918,"Tuesday, June 01, 1999"
1999,6,2,99721,"Wednesday, June 02, 1999"
1999,6,3,100955,"Thursday, June 03, 1999"
1999,6,4,100955,"Friday, June 04, 1999"
1999,6,5,101984,"Saturday, June 05, 1999"
1999,6,6,102203,"Sunday, June 06, 1999"
1999,6,7,103206,"Monday, June 07, 1999"
1999,6,8,98255,"Tuesday, June 08, 1999"
1999,6,9,104188,"Wednesday, June 09, 1999"
1999,6,10,95513,"Thursday, June 10, 1999"
1999,6,11,96568,"Friday, June 11, 1999"
1999,6,12,101940,"Saturday, June 12, 1999"
1999,6,13,101456,"Sunday, June 13, 1999"
1999,6,14,101467,"Monday, June 14, 1999"
1999,6,15,101340,"Tuesday, June 15, 1999"
1999,6,16,102651,"Wednesday, June 16, 1999"
1999,6,17,101885,"Thursday, June 17, 1999"
1999,6,18,102007,"Friday, June 18, 1999"
1999,6,19,100310,"Saturday, June 19, 1999"
1999,6,20,100437,"Sunday, June 20, 1999"
1999,6,21,99966,"Monday, June 21, 1999"
1999,6,22,99964,"Tuesday, June 22, 1999"
1999,6,23,102214,"Wednesday, June 23, 1999"
1999,6,24,100695,"Thursday, June 24, 1999"
1999,6,25,99872,"Friday, June 25, 1999"
1999,6,26,96444,"Saturday, June 26, 1999"
1999,6,27,97759,"Sunday, June 27, 1999"
1999,6,28,97741,"Monday, June 28, 1999"
1999,6,29,100384,"Tuesday, June 29, 1999"
1999,6,30,91030,"Wednesday, June 30, 1999"
1999,7,1,100194,"Thursday, July 01, 1999"
1999,7,2,97975,"Friday, July 02, 1999"
1999,7,3,85717,"Saturday, July 03, 1999"
1999,7,4,84861,"Sunday, July 04, 1999"
1999,7,5,89618,"Monday, July 05, 1999"
1999,7,6,89742,"Tuesday, July 06, 1999"
1999,7,7,85384,"Wednesday, July 07, 1999"
1999,7,8,85481,"Thursday, July 08, 1999"
1999,7,9,87296,"Friday, July 09, 1999"
1999,7,10,88721,"Saturday, July 10, 1999"
1999,7,11,88781,"Sunday, July 11, 1999"
1999,7,12,89432,"Monday, July 12, 1999"
1999,7,13,88899,"Tuesday, July 13, 1999"
1999,7,14,89763,"Wednesday, July 14, 1999"
1999,7,15,89687,"Thursday, July 15, 1999"
1999,7,16,90495,"Friday, July 16, 1999"
1999,7,17,84001,"Saturday, July 17, 1999"
1999,7,18,83006,"Sunday, July 18, 1999"
1999,7,19,89725,"Monday, July 19, 1999"
1999,7,20,88502,"Tuesday, July 20, 1999"
1999,7,21,91815,"Wednesday, July 21, 1999"
1999,7,22,91738,"Thursday, July 22, 1999"
1999,7,23,80401,"Friday, July 23, 1999"
1999,7,24,88532,"Saturday, July 24, 1999"
1999,7,25,83211,"Sunday, July 25, 1999"
1999,7,26,89964,"Monday, July 26, 1999"
1999,7,27,88819,"Tuesday, July 27, 1999"
1999,7,28,90477,"Wednesday, July 28, 1999"
1999,7,29,89906,"Thursday, July 29, 1999"
1999,7,30,83032,"Friday, July 30, 1999"
1999,7,31,85843,"Saturday, July 31, 1999"
1999,8,1,98903,"Sunday, August 01, 1999"
1999,8,2,99413,"Monday, August 02, 1999"
1999,8,3,82725,"Tuesday, August 03, 1999"
1999,8,4,92201,"Wednesday, August 04, 1999"
1999,8,5,93101,"Thursday, August 05, 1999"
1999,8,6,93001,"Friday, August 06, 1999"
1999,8,7,94196,"Saturday, August 07, 1999"
1999,8,8,94297,"Sunday, August 08, 1999"
1999,8,9,94257,"Monday, August 09, 1999"
1999,8,10,94256,"Tuesday, August 10, 1999"
1999,8,11,93940,"Wednesday, August 11, 1999"
1999,8,12,94484,"Thursday, August 12, 1999"
1999,8,13,94509,"Friday, August 13, 1999"
1999,8,14,94279,"Saturday, August 14, 1999"
1999,8,15,94379,"Sunday, August 15, 1999"
1999,8,16,92949,"Monday, August 16, 1999"
1999,8,17,92948,"Tuesday, August 17, 1999"
1999,8,18,98325,"Wednesday, August 18, 1999"
1999,8,19,87707,"Thursday, August 19, 1999"
1999,8,20,92967,"Friday, August 20, 1999"
1999,8,21,92371,"Saturday, August 21, 1999"
1999,8,22,92451,"Sunday, August 22, 1999"
1999,8,23,93075,"Monday, August 23, 1999"
1999,8,24,93962,"Tuesday, August 24, 1999"
1999,8,25,94392,"Wednesday, August 25, 1999"
1999,8,26,94818,"Thursday, August 26, 1999"
1999,8,27,94531,"Friday, August 27, 1999"
1999,8,28,94171,"Saturday, August 28, 1999"
1999,8,29,94262,"Sunday, August 29, 1999"
1999,8,30,94592,"Monday, August 30, 1999"
1999,8,31,97953,"Tuesday, August 31, 1999"
1999,9,1,101092,"Wednesday, September 01, 1999"
1999,9,2,97810,"Thursday, September 02, 1999"
1999,9,3,92832,"Friday, September 03, 1999"
1999,9,4,88644,"Saturday, September 04, 1999"
1999,9,5,88644,"Sunday, September 05, 1999"
1999,9,6,88644,"Monday, September 06, 1999"
1999,9,7,92227,"Tuesday, September 07, 1999"
1999,9,8,90950,"Wednesday, September 08, 1999"
1999,9,9,91785,"Thursday, September 09, 1999"
1999,9,10,96316,"Friday, September 10, 1999"
1999,9,11,97829,"Saturday, September 11, 1999"
1999,9,12,97671,"Sunday, September 12, 1999"
1999,9,13,97455,"Monday, September 13, 1999"
1999,9,14,69079,"Tuesday, September 14, 1999"
1999,9,15,70782,"Wednesday, September 15, 1999"
1999,9,16,60977,"Thursday, September 16, 1999"
1999,9,17,64741,"Friday, September 17, 1999"
1999,9,18,60720,"Saturday, September 18, 1999"
1999,9,19,63455,"Sunday, September 19, 1999"
1999,9,20,68123,"Monday, September 20, 1999"
1999,9,21,61176,"Tuesday, September 21, 1999"
1999,9,22,79449,"Wednesday, September 22, 1999"
1999,9,23,70233,"Thursday, September 23, 1999"
1999,9,24,63807,"Friday, September 24, 1999"
1999,9,25,56949,"Saturday, September 25, 1999"
1999,9,26,57981,"Sunday, September 26, 1999"
1999,9,27,55989,"Monday, September 27, 1999"
1999,9,28,79099,"Tuesday, September 28, 1999"
1999,9,29,73604,"Wednesday, September 29, 1999"
1999,9,30,90096,"Thursday, September 30, 1999"
1999,10,1,66727,"Friday, October 01, 1999"
1999,10,2,60449,"Saturday, October 02, 1999"
1999,10,3,62262,"Sunday, October 03, 1999"
1999,10,4,65567,"Monday, October 04, 1999"
1999,10,5,85471,"Tuesday, October 05, 1999"
1999,10,6,82951,"Wednesday, October 06, 1999"
1999,10,7,84417,"Thursday, October 07, 1999"
1999,10,8,82182,"Friday, October 08, 1999"
1999,10,9,62969,"Saturday, October 09, 1999"
1999,10,10,63116,"Sunday, October 10, 1999"
1999,10,11,63033,"Monday, October 11, 1999"
1999,10,12,63187,"Tuesday, October 12, 1999"
1999,10,13,69644,"Wednesday, October 13, 1999"
1999,10,14,70663,"Thursday, October 14, 1999"
1999,10,15,66377,"Friday, October 15, 1999"
1999,10,16,63646,"Saturday, October 16, 1999"
1999,10,17,63568,"Sunday, October 17, 1999"
1999,10,18,62513,"Monday, October 18, 1999"
1999,10,19,88493,"Tuesday, October 19, 1999"
1999,10,20,88402,"Wednesday, October 20, 1999"
1999,10,21,87899,"Thursday, October 21, 1999"
1999,10,22,88283,"Friday, October 22, 1999"
1999,10,23,84601,"Saturday, October 23, 1999"
1999,10,24,84751,"Sunday, October 24, 1999"
1999,10,25,86729,"Monday, October 25, 1999"
1999,10,26,84944,"Tuesday, October 26, 1999"
1999,10,27,84740,"Wednesday, October 27, 1999"
1999,10,28,84824,"Thursday, October 28, 1999"
1999,10,29,83769,"Friday, October 29, 1999"
1999,10,30,87592,"Saturday, October 30, 1999"
1999,10,31,87760,"Sunday, October 31, 1999"
1999,11,1,120568,"Monday, November 01, 1999"
1999,11,2,121028,"Tuesday, November 02, 1999"
1999,11,3,121029,"Wednesday, November 03, 1999"
1999,11,4,120878,"Thursday, November 04, 1999"
1999,11,5,121178,"Friday, November 05, 1999"
1999,11,6,122492,"Saturday, November 06, 1999"
1999,11,7,122503,"Sunday, November 07, 1999"
1999,11,8,123787,"Monday, November 08, 1999"
1999,11,9,122590,"Tuesday, November 09, 1999"
1999,11,10,122618,"Wednesday, November 10, 1999"
1999,11,11,120862,"Thursday, November 11, 1999"
1999,11,12,84251,"Friday, November 12, 1999"
1999,11,13,62792,"Saturday, November 13, 1999"
1999,11,14,60797,"Sunday, November 14, 1999"
1999,11,15,66512,"Monday, November 15, 1999"
1999,11,16,92518,"Tuesday, November 16, 1999"
1999,11,17,94142,"Wednesday, November 17, 1999"
1999,11,18,139049,"Thursday, November 18, 1999"
1999,11,19,122834,"Friday, November 19, 1999"
1999,11,20,121771,"Saturday, November 20, 1999"
1999,11,21,122103,"Sunday, November 21, 1999"
1999,11,22,147236,"Monday, November 22, 1999"
1999,11,23,136411,"Tuesday, November 23, 1999"
1999,11,24,129002,"Wednesday, November 24, 1999"
1999,11,25,115001,"Thursday, November 25, 1999"
1999,11,26,123658,"Friday, November 26, 1999"
1999,11,27,123658,"Saturday, November 27, 1999"
1999,11,28,123658,"Sunday, November 28, 1999"
1999,11,29,130953,"Monday, November 29, 1999"
1999,11,30,139178,"Tuesday, November 30, 1999"
1999,12,1,135403,"Wednesday, December 01, 1999"
1999,12,2,134689,"Thursday, December 02, 1999"
1999,12,3,135529,"Friday, December 03, 1999"
1999,12,4,125363,"Saturday, December 04, 1999"
1999,12,5,125418,"Sunday, December 05, 1999"
1999,12,6,130423,"Monday, December 06, 1999"
1999,12,7,130424,"Tuesday, December 07, 1999"
1999,12,8,129805,"Wednesday, December 08, 1999"
1999,12,9,123382,"Thursday, December 09, 1999"
1999,12,10,129721,"Friday, December 10, 1999"
1999,12,11,130506,"Saturday, December 11, 1999"
1999,12,12,131970,"Sunday, December 12, 1999"
1999,12,13,132539,"Monday, December 13, 1999"
1999,12,14,140487,"Tuesday, December 14, 1999"
1999,12,15,131737,"Wednesday, December 15, 1999"
1999,12,16,127667,"Thursday, December 16, 1999"
1999,12,17,130860,"Friday, December 17, 1999"
1999,12,18,130099,"Saturday, December 18, 1999"
1999,12,19,131124,"Sunday, December 19, 1999"
1999,12,20,130717,"Monday, December 20, 1999"
1999,12,21,108731,"Tuesday, December 21, 1999"
1999,12,22,104113,"Wednesday, December 22, 1999"
1999,12,23,93746,"Thursday, December 23, 1999"
1999,12,24,100888,"Friday, December 24, 1999"
1999,12,25,99452,"Saturday, December 25, 1999"
1999,12,26,101131,"Sunday, December 26, 1999"
1999,12,27,100492,"Monday, December 27, 1999"
1999,12,28,150177,"Tuesday, December 28, 1999"
1999,12,29,152904,"Wednesday, December 29, 1999"
1999,12,30,133714,"Thursday, December 30, 1999"
1999,12,31,142133,"Friday, December 31, 1999"
2000,1,1,139945,"Saturday, January 01, 2000"
2000,1,2,140379,"Sunday, January 02, 2000"
2000,1,3,141249,"Monday, January 03, 2000"
2000,1,4,141532,"Tuesday, January 04, 2000"
2000,1,5,134822,"Wednesday, January 05, 2000"
2000,1,6,157762,"Thursday, January 06, 2000"
2000,1,7,136732,"Friday, January 07, 2000"
2000,1,8,140414,"Saturday, January 08, 2000"
2000,1,9,136501,"Sunday, January 09, 2000"
2000,1,10,150663,"Monday, January 10, 2000"
2000,1,11,145881,"Tuesday, January 11, 2000"
2000,1,12,138542,"Wednesday, January 12, 2000"
2000,1,13,151847,"Thursday, January 13, 2000"
2000,1,14,151605,"Friday, January 14, 2000"
2000,1,15,149810,"Saturday, January 15, 2000"
2000,1,16,149911,"Sunday, January 16, 2000"
2000,1,17,149474,"Monday, January 17, 2000"
2000,1,18,162330,"Tuesday, January 18, 2000"
2000,1,19,162171,"Wednesday, January 19, 2000"
2000,1,20,164006,"Thursday, January 20, 2000"
2000,1,21,162805,"Friday, January 21, 2000"
2000,1,22,161859,"Saturday, January 22, 2000"
2000,1,23,161164,"Sunday, January 23, 2000"
2000,1,24,160983,"Monday, January 24, 2000"
2000,1,25,159812,"Tuesday, January 25, 2000"
2000,1,26,158569,"Wednesday, January 26, 2000"
2000,1,27,128827,"Thursday, January 27, 2000"
2000,1,28,118801,"Friday, January 28, 2000"
2000,1,29,120178,"Saturday, January 29, 2000"
2000,1,30,119757,"Sunday, January 30, 2000"
2000,1,31,123272,"Monday, January 31, 2000"
2000,2,1,158140,"Tuesday, February 01, 2000"
2000,2,2,158577,"Wednesday, February 02, 2000"
2000,2,3,146546,"Thursday, February 03, 2000"
2000,2,4,130241,"Friday, February 04, 2000"
2000,2,5,145267,"Saturday, February 05, 2000"
2000,2,6,145551,"Sunday, February 06, 2000"
2000,2,7,146341,"Monday, February 07, 2000"
2000,2,8,125427,"Tuesday, February 08, 2000"
2000,2,9,147616,"Wednesday, February 09, 2000"
2000,2,10,139914,"Thursday, February 10, 2000"
2000,2,11,126452,"Friday, February 11, 2000"
2000,2,12,119904,"Saturday, February 12, 2000"
2000,2,13,120349,"Sunday, February 13, 2000"
2000,2,14,122289,"Monday, February 14, 2000"
2000,2,15,128610,"Tuesday, February 15, 2000"
2000,2,16,119904,"Wednesday, February 16, 2000"
2000,2,17,121240,"Thursday, February 17, 2000"
2000,2,18,116899,"Friday, February 18, 2000"
2000,2,19,113628,"Saturday, February 19, 2000"
2000,2,20,102697,"Sunday, February 20, 2000"
2000,2,21,116015,"Monday, February 21, 2000"
2000,2,22,115577,"Tuesday, February 22, 2000"
2000,2,23,121091,"Wednesday, February 23, 2000"
2000,2,24,147592,"Thursday, February 24, 2000"
2000,2,25,132532,"Friday, February 25, 2000"
2000,2,26,105858,"Saturday, February 26, 2000"
2000,2,27,108645,"Sunday, February 27, 2000"
2000,2,28,108565,"Monday, February 28, 2000"
2000,2,29,114617,"Tuesday, February 29, 2000"
2000,3,1,131824,"Wednesday, March 01, 2000"
2000,3,2,97348,"Thursday, March 02, 2000"
2000,3,3,86391,"Friday, March 03, 2000"
2000,3,4,84953,"Saturday, March 04, 2000"
2000,3,5,84752,"Sunday, March 05, 2000"
2000,3,6,85713,"Monday, March 06, 2000"
2000,3,7,85653,"Tuesday, March 07, 2000"
2000,3,8,85712,"Wednesday, March 08, 2000"
2000,3,9,85863,"Thursday, March 09, 2000"
2000,3,10,85404,"Friday, March 10, 2000"
2000,3,11,83559,"Saturday, March 11, 2000"
2000,3,12,83702,"Sunday, March 12, 2000"
2000,3,13,78777,"Monday, March 13, 2000"
2000,3,14,79183,"Tuesday, March 14, 2000"
2000,3,15,79104,"Wednesday, March 15, 2000"
2000,3,16,86664,"Thursday, March 16, 2000"
2000,3,17,84854,"Friday, March 17, 2000"
2000,3,18,85855,"Saturday, March 18, 2000"
2000,3,19,86035,"Sunday, March 19, 2000"
2000,3,20,86184,"Monday, March 20, 2000"
2000,3,21,86214,"Tuesday, March 21, 2000"
2000,3,22,84740,"Wednesday, March 22, 2000"
2000,3,23,86034,"Thursday, March 23, 2000"
2000,3,24,85770,"Friday, March 24, 2000"
2000,3,25,85660,"Saturday, March 25, 2000"
2000,3,26,85825,"Sunday, March 26, 2000"
2000,3,27,97683,"Monday, March 27, 2000"
2000,3,28,85641,"Tuesday, March 28, 2000"
2000,3,29,86351,"Wednesday, March 29, 2000"
2000,3,30,83421,"Thursday, March 30, 2000"
2000,3,31,84083,"Friday, March 31, 2000"
2000,4,1,72989,"Saturday, April 01, 2000"
2000,4,2,83459,"Sunday, April 02, 2000"
2000,4,3,84208,"Monday, April 03, 2000"
2000,4,4,84208,"Tuesday, April 04, 2000"
2000,4,5,92895,"Wednesday, April 05, 2000"
2000,4,6,92895,"Thursday, April 06, 2000"
2000,4,7,84782,"Friday, April 07, 2000"
