Gas,Contract,Receipt,Delivery,Scheduled,Timely,Evening,NonGrid,IDay1,IDay2,Final
Nov 3 2000 12:00AM,8255,58646,10487,0,PBR,PBR,PBR,PBR,PBR, 
Nov 3 2000 12:00AM,8255,56709,10487,190939,PRR,PBRPRR,PBRPRR,PBRPRR,PBRPRR, 
Nov 3 2000 12:00AM,8255,56709,10487,71625, , , , , , 
Nov 3 2000 12:00AM,8255,58649,10487,0,FMJ,FMJ,FMJ,PRD,CCRFMJ, 
Nov 3 2000 12:00AM,8255,58649,10487,0,FMJ,FMJ,FMJ,PRD,CCRFMJ, 
Nov 3 2000 12:00AM,21165,56709,56698,149944,PRR,PBRPRR,PBRPRR,PBRPRR,PBRPRR, 
Nov 4 2000 12:00AM,8255,58646,10487,0,PBRFMJ,PBRFMJ,PBRFMJ,PBRFMJ,PBRFMJ, 
Nov 4 2000 12:00AM,8255,58649,10487,0,PBR,PBR,PBR,PBR,PBR, 
Nov 4 2000 12:00AM,8255,58647,10487,0, , , , , , 
Nov 4 2000 12:00AM,8255,56709,10487,190996, , , ,PRR,PRR, 
Nov 4 2000 12:00AM,8255,58649,10487,0,PBRFMJ,PBRPRD,PBRPRD,PBRPRD,PBRFMJ, 
Nov 4 2000 12:00AM,8255,58649,10487,0,PBRFMJ,PBRFMJ,PBRFMJ,PBRFMJ,PBRFMJ, 
Nov 4 2000 12:00AM,8255,56709,10487,76400, , , , , , 
Nov 4 2000 12:00AM,21165,56709,56698,149996, , , ,PRR,PRR, 
Nov 5 2000 12:00AM,8255,58646,10487,9025, , , , , , 
Nov 5 2000 12:00AM,8255,58649,10487,0,PBR,PBR,PBR,PBR,PBR, 
Nov 5 2000 12:00AM,8255,58647,10487,0, , , , , , 
Nov 5 2000 12:00AM,8255,56709,10487,190996,PRR,PRR,PRR,PRR,PRR, 
Nov 5 2000 12:00AM,8255,58649,10487,95,PBR,PBR,PBR,PBR,PBR, 
Nov 5 2000 12:00AM,8255,58649,10487,380,PBR,PBR,PBR,PBR,PBR, 
Nov 5 2000 12:00AM,8255,56709,10487,12459, , ,CCD,CCD*,PBRCCD, 
Nov 5 2000 12:00AM,21165,56709,56698,149996,PRR,PRR,PRR,PRR,PRR, 
Nov 6 2000 12:00AM,8255,58646,10487,9025, , , , , , 
Nov 6 2000 12:00AM,8255,58649,10487,0,PBR,PBR,PBR,PBR,PBR, 
Nov 6 2000 12:00AM,8255,58647,10487,0, , , , , , 
Nov 6 2000 12:00AM,8255,56709,10487,188919,PRR,PRR,PRR,PRR,PRR*, 
Nov 6 2000 12:00AM,8255,58649,10487,95,PBR,PBR,PBR,PBR,PBR, 
Nov 6 2000 12:00AM,8255,58649,10487,380,PBR,PBR,PBR,PBR,PBR, 
Nov 6 2000 12:00AM,8255,56709,10487,0,CCD,PBR,PBR,PBR,PBR, 
Nov 6 2000 12:00AM,21165,56709,56698,148092,PRR,PRR,PRR,PRR,PRR*, 
Nov 7 2000 12:00AM,8255,58649,10487,12464,PLM*,PLM*,PLM*,PLM*,CCDPLM, 
Nov 7 2000 12:00AM,8255,58647,10487,4774,PLM*,PLM,PLM,PLM*,PRRPLM, 
Nov 7 2000 12:00AM,8255,58646,10487,25470,PRRPLM,PLM*,PLM*,PLM*,CCDPLM, 
Nov 7 2000 12:00AM,8255,56709,10487,189165,PRRPLM,PRRPLM,PRRPLM,PRR*,PRR*, 
Nov 7 2000 12:00AM,8255,58649,10487,1000, , , , , , 
Nov 7 2000 12:00AM,8255,58649,10487,5000, , , , , , 
Nov 7 2000 12:00AM,8255,58649,10487,5000, , , , , , 
Nov 7 2000 12:00AM,8255,58649,10487,15000, , , , , , 
Nov 7 2000 12:00AM,8255,58649,10487,4000, , , , , , 
Nov 7 2000 12:00AM,8255,58649,10487,5000, , , , , , 
Nov 7 2000 12:00AM,21165,56709,56698,132158,PRRPLM,PRRPLM,PRRPLM,PBRPRRPLM,PBRPRRPLM, 
Nov 8 2000 12:00AM,8255,58649,10487,12854,PLM*,PLM*,PLM,PLM,PLM, 
Nov 8 2000 12:00AM,8255,58647,10487,4844,PLM,PLM*,PLM,PLM,PRR, 
Nov 8 2000 12:00AM,8255,58646,10487,27381,PLM*,PLM*,PLM,PLM*,PLM*, 
Nov 8 2000 12:00AM,8255,56709,10487,189292, , , ,PRR*,PRR*, 
Nov 8 2000 12:00AM,8255,58649,10487,1000, , , , , , 
Nov 8 2000 12:00AM,8255,58649,10487,15000, , , , , , 
Nov 8 2000 12:00AM,8255,58649,10487,5000, , , , , , 
Nov 8 2000 12:00AM,8255,58649,10487,5000, , , , , , 
Nov 8 2000 12:00AM,8255,58649,10487,4000, , , , , , 
Nov 8 2000 12:00AM,8255,58649,10487,5000, , , , , , 
Nov 8 2000 12:00AM,21165,56709,56698,132355,PRRPLM,PRRPLM,PRRPLM,PBRPRRPLM,PBRPRRPLM, 
Nov 9 2000 12:00AM,8255,58649,10487,13724,FMJ*,PLM*,PLM,PLM*,PLM, 
Nov 9 2000 12:00AM,8255,58647,10487,5956,FMJ*,PRR,PRR,PLM*,PRR, 
Nov 9 2000 12:00AM,8255,58646,10487,33136,FMJ*,PLM*,PLM,PLM,PLM*, 
Nov 9 2000 12:00AM,8255,56709,10487,187408, , , ,PRR*,PRRCCRCCDCCRPLM, 
Nov 9 2000 12:00AM,8255,58649,10487,3554,FMJ,PRD,PRD,PRD,PLM, 
Nov 9 2000 12:00AM,8255,58649,10487,3920,FMJ,PLM,PLM,PLM,PLM, 
Nov 9 2000 12:00AM,8255,58649,10487,784,FMJ,PLM*,PLM,PLM,PLM, 
Nov 9 2000 12:00AM,8255,58649,10487,11758,FMJ,PLM,PLM,PLM*,PLM, 
Nov 9 2000 12:00AM,8255,58649,10487,3554,FMJ,PRD,PRD,PRD,PLM, 
Nov 9 2000 12:00AM,8255,58649,10487,3136,FMJ*,PLM,PLM,PLM,PLM, 
Nov 9 2000 12:00AM,8255,58649,10487,1828,FMJ*,PLM*,PLM,PLM*,PRD, 
Nov 9 2000 12:00AM,21165,56709,56698,131836,FMJ*,PRRPLM,PRRCCRPLM,PBRPRR,PBRPRRCCRPLM, 
Nov 10 2000 12:00AM,8255,58647,10487,5264,CCD*,PLM*,PLM*,PLM,PRD, 
Nov 10 2000 12:00AM,8255,58649,10487,3276,CCD*,PLM*,PLM*,PLM,PLM, 
Nov 10 2000 12:00AM,8255,56709,10487,151346,PRR,PRR,PRR,PRRPLM,CCRPLM, 
Nov 10 2000 12:00AM,8255,58646,10487,21437,CCD,PLM,PLM*,PRD,PRD, 
Nov 10 2000 12:00AM,8255,58649,10487,3569,CCD,PRD,PRD,PRD,PRD, 
Nov 10 2000 12:00AM,8255,58649,10487,3599,CCD,PLM,PLM,PLM*,PRD, 
Nov 10 2000 12:00AM,8255,58649,10487,727,CCD,PLM,PLM,PLM*,PLM, 
Nov 10 2000 12:00AM,8255,58649,10487,3569,CCD,PRD,PRD,PRD,PRD, 
Nov 10 2000 12:00AM,8255,58649,10487,2906,CCD*,PLM*,PLM,PLM,PLM*, 
Nov 10 2000 12:00AM,8255,56709,10487,36923,PRR,PRR,PRR,PRRPLM,CCRPLM, 
Nov 10 2000 12:00AM,8255,58646,10487,8504,CCD*,PLM,PLM,PLM,PRD, 
Nov 10 2000 12:00AM,8255,58649,10487,7506,CCD*,PLM*,PLM*,PLM*,PLM, 
Nov 10 2000 12:00AM,8255,58649,10487,3607,CCD,PLM,PLM,PRD,PLM*, 
Nov 10 2000 12:00AM,8255,58649,10487,10897,CCD*,PLM,PLM,PLM*,PLM*, 
Nov 10 2000 12:00AM,21165,56709,56698,132717,PRRCCD,PRRPLM,PRRPLM,PRRPLM,PRRCCRPLM, 
Nov 11 2000 12:00AM,8255,56709,10487,189050, ,PBR,PBR,PBRPRR,PBRPRRCCRPLM, 
Nov 11 2000 12:00AM,8255,58647,10487,5070,PLM,PLM*,PLM,PLM,PLM*, 
Nov 11 2000 12:00AM,8255,58646,10487,28283,PLM*,PLM,PLM,PLM*,PLM*, 
Nov 11 2000 12:00AM,8255,58649,10487,6363,PLM,PLM,PLM,PLM*,PLM, 
Nov 11 2000 12:00AM,8255,58649,10487,3268,PLM,PRD,PRD,PRD,PRD, 
Nov 11 2000 12:00AM,8255,58649,10487,3345,PLM*,PLM,PLM,PLM*,PLM, 
Nov 11 2000 12:00AM,8255,58649,10487,655,PLM*,PRD,PRD,PRD,PLM*, 
Nov 11 2000 12:00AM,8255,58649,10487,3268,PLM,PRD,PRD,PRD,PRD, 
Nov 11 2000 12:00AM,8255,58649,10487,2676,PLM*,PLM*,PLM,PLM*,PLM, 
Nov 11 2000 12:00AM,8255,58649,10487,6914,PLM,PLM*,PLM,PLM,PLM, 
Nov 11 2000 12:00AM,8255,58649,10487,10036,PLM,PLM,PLM,PLM*,PLM, 
Nov 11 2000 12:00AM,8255,0,10487,15,,,,, , 
Nov 11 2000 12:00AM,21165,56709,56698,132000,PLM,PBRPRRPLM,PBRPRRPLM,PBRPRRPLM,PBRPRRCCRPLM, 
Nov 12 2000 12:00AM,8255,56709,10487,189977, , , ,PBRPRR,PBRPRRCCRPLM, 
Nov 12 2000 12:00AM,8255,58647,10487,5088,PLM*,PLM*,PLM,PLM,PLM, 
Nov 12 2000 12:00AM,8255,58646,10487,28411,PLM,PLM*,PLM,PLM*,PLM*, 
Nov 12 2000 12:00AM,8255,58649,10487,6391,PLM*,PLM*,PLM,PLM*,PLM, 
Nov 12 2000 12:00AM,8255,58649,10487,3264,PLM*,PRDPLM,PRDPLM,PRD,PRD, 
Nov 12 2000 12:00AM,8255,58649,10487,3335,PLM*,PRD,PRD,PRDPLM,PRD, 
Nov 12 2000 12:00AM,8255,58649,10487,670,PLM,PRD,PRD,PLM*,PLM*, 
Nov 12 2000 12:00AM,8255,58649,10487,10082,PLM,PLM,PLM,PLM*,PLM, 
Nov 12 2000 12:00AM,8255,58649,10487,2688,PLM,PLM,PLM,PLM*,PLM*, 
Nov 12 2000 12:00AM,8255,58649,10487,6945,PLM*,PLM,PLM,PLM,PLM, 
Nov 12 2000 12:00AM,8255,58649,10487,3264,PLM,PRD,PRD,PRD,PRD, 
Nov 12 2000 12:00AM,8255,0,10487,20,,,,, , 
Nov 12 2000 12:00AM,21165,56709,56698,132013,PLM*,PRRPLM,PRRPLM,PBRPRRPLM,PBRPRRCCRPLM, 
Nov 13 2000 12:00AM,8255,56709,10487,188733, , , ,PRR,PRR*, 
Nov 13 2000 12:00AM,8255,58647,10487,5037,PLM*,PLM*,PLM,PLM*,PLM*, 
Nov 13 2000 12:00AM,8255,58646,10487,36586,PLM*,PLM,PLM,PLM,PLM*, 
Nov 13 2000 12:00AM,8255,58649,10487,7664,PLM*,PLM*,PLM,PLM*,PLMCCR, 
Nov 13 2000 12:00AM,8255,58649,10487,3264,PLM*,PRDPLM,PRDPLM,PRD,PRD, 
Nov 13 2000 12:00AM,8255,58649,10487,3314,PLM*,PRD,PRD,PLM,PRD, 
Nov 13 2000 12:00AM,8255,58649,10487,663,PLM,PLM*,PLM,PLM,PRD, 
Nov 13 2000 12:00AM,8255,58649,10487,12067,PLM,PLM*,PLM,PLM*,PLMCCR, 
Nov 13 2000 12:00AM,8255,58649,10487,3218,PLM,PLM*,PLM,PLM,PLMCCR, 
Nov 13 2000 12:00AM,8255,58649,10487,8313,PLM*,PLM*,PLM,PLM,PLMCCR, 
Nov 13 2000 12:00AM,8255,58649,10487,3264,PLM,PRD,PRD,PRD,PRD, 
Nov 13 2000 12:00AM,8255,0,10487,1540,,,,, , 
Nov 13 2000 12:00AM,21165,56709,56698,125946,PLM*,PLM*,PLM,PBRPRRPLM,PBRPRR, 
Nov 14 2000 12:00AM,8255,56709,10487,189145,PRR,PBR,PBR,PBRPRRFMJ,PBRPRRFMJPLM, 
Nov 14 2000 12:00AM,8255,58647,10487,6008,PLM,PLM,PLM,PLM,PRR, 
Nov 14 2000 12:00AM,8255,58646,10487,30863,PLM,PLM*,PLM*,PBRPLM,PBRPLM, 
Nov 14 2000 12:00AM,8255,58649,10487,11659,PLM*,PLM*,PLM*,PBRPLM,PBRPLM, 
Nov 14 2000 12:00AM,8255,58649,10487,3494,PLM,PRD,PRD,PBRPRD,PBRPRD, 
Nov 14 2000 12:00AM,8255,58649,10487,3494,PLM,PRD,PRD,PBRPRD,PBRPRD, 
Nov 14 2000 12:00AM,8255,58649,10487,804,PLM,PLM*,PLM*,PBRPLM,PBRPLM, 
Nov 14 2000 12:00AM,8255,58649,10487,3494,PLM,PRD,PRD,PBRPRD,PBRPRD, 
Nov 14 2000 12:00AM,8255,58649,10487,3108,PLM*,PLM*,PLM*,PBRPLM,PBRPRD, 
Nov 14 2000 12:00AM,8255,58649,10487,4286,PLM*,PLM,PLM,PBRPLM,PBRPLM, 
Nov 14 2000 12:00AM,8255,58649,10487,12054,PLM,PLM,PLM,PBRPLM,PBRPLM, 
Nov 14 2000 12:00AM,21165,56709,56698,131617,PRRPLM,PBRPRRPLM,PBRPRRFMJ,PBRPRR,PBRPRRFMJPLM, 
Nov 15 2000 12:00AM,8255,58646,10487,2275,PRR,PRR,CCR, , , 
Nov 15 2000 12:00AM,8255,56709,10487,134497,PRRPLM,PBRPRRPLM,PBRPRRCCDPLM,PRRCCRPLM,PRRCCRPLM, 
Nov 15 2000 12:00AM,8255,58647,10487,7600, , , , , , 
Nov 15 2000 12:00AM,8255,58649,10487,14509, , , , , , 
Nov 15 2000 12:00AM,8255,58649,10487,5000, , , , , , 
Nov 15 2000 12:00AM,8255,58649,10487,5000, , , , , , 
Nov 15 2000 12:00AM,8255,58649,10487,1000, , , , , , 
Nov 15 2000 12:00AM,8255,58649,10487,15000, , , , , , 
Nov 15 2000 12:00AM,8255,58649,10487,4000, , , , , , 
Nov 15 2000 12:00AM,8255,58646,10487,40000,PRR,PRR,CCR, , , 
Nov 15 2000 12:00AM,8255,58649,10487,5333, , , , , , 
Nov 15 2000 12:00AM,8255,58649,10487,5000, , , , , , 
Nov 15 2000 12:00AM,21165,56709,56698,98713,PRRPLM,PBRPRRPLM,PBRPRRPLM,PBRPRRCCRPLM,PBRPRR, 
Nov 16 2000 12:00AM,8255,58649,10487,17177, , , , , , 
Nov 16 2000 12:00AM,8255,58646,10487,2275, , , , , , 
Nov 16 2000 12:00AM,8255,56709,10487,142480,PRRPLM,PBRPRRPLM,PBRPRRPLM,PBRPRRPLM,PBRPRRPLM, 
Nov 16 2000 12:00AM,8255,58647,10487,7600, , , , , , 
Nov 16 2000 12:00AM,8255,58649,10487,5000, , , , , , 
Nov 16 2000 12:00AM,8255,58649,10487,5000, , , , , , 
Nov 16 2000 12:00AM,8255,58649,10487,1000, , , , , , 
Nov 16 2000 12:00AM,8255,58649,10487,15000, , , , , , 
Nov 16 2000 12:00AM,8255,58649,10487,4000, , , , , , 
Nov 16 2000 12:00AM,8255,58649,10487,2666, , , , , , 
Nov 16 2000 12:00AM,8255,58646,10487,40000, , , , , , 
Nov 16 2000 12:00AM,8255,58649,10487,5000, , , , , , 
Nov 16 2000 12:00AM,21165,56709,56698,88988,PRRPLM,PBRPRRPLM,PBRPRRPLM,PBRPRR,PBRPRR, 
Nov 17 2000 12:00AM,8255,58649,10487,7699,PRRPLM,PLM*,PLM,PLM*,PLM, 
Nov 17 2000 12:00AM,8255,56709,10487,164852,PRR,PLM,PLM,PBRPRR,PBRPRRPLM, 
Nov 17 2000 12:00AM,8255,58646,10487,1634,PLM,PLM,PLM,PBRPLM,PBRPLM, 
Nov 17 2000 12:00AM,8255,58647,10487,5671,PRRPLM,PLM,PLM,PLM,PRRPLM, 
Nov 17 2000 12:00AM,8255,56709,10487,24827,PRR,PLM,PLM,PBRPRR,PBRPRRPLM, 
Nov 17 2000 12:00AM,8255,58646,10487,28728,PLM*,PLM,PLM,PBRPLM,PBRPLM, 
Nov 17 2000 12:00AM,8255,58649,10487,3469,PRRPLM,PRD,PRD,PRD,PRD, 
Nov 17 2000 12:00AM,8255,58649,10487,3597,PRRPLM,PLM*,PLM,PRDPLM,PRD, 
Nov 17 2000 12:00AM,8255,58649,10487,782,PRRPLM,PLM,PLM,PLM*,PLM*, 
Nov 17 2000 12:00AM,8255,58649,10487,11731,PRRPLM,PLM*,PLM,PLM*,PLM*, 
Nov 17 2000 12:00AM,8255,58649,10487,3469,PRRPLM,PRD,PRD,PRD,PRD, 
Nov 17 2000 12:00AM,8255,58649,10487,2878,PRRPLM,PLM,PLM,PRDPLM,PRD, 
Nov 17 2000 12:00AM,8255,58649,10487,7249,PRRPLM,PLM,PLM,PLM,PRD, 
Nov 17 2000 12:00AM,21165,56709,56698,132510,PRRPLM,PRRPLM,PRRPLM,PBRPRRPLM,PBRPRR, 
Nov 18 2000 12:00AM,8255,58649,10487,17042,PLM,PLMCCR,PLMCCR,PLMCCR,PLMCCR, 
Nov 18 2000 12:00AM,8255,56709,10487,187927, ,PRR,PRR,PRR*,PRR*, 
Nov 18 2000 12:00AM,8255,58646,10487,16533,PLM*,PBRPLM,PBRPLM,PBRPLM,PBRPLM, 
Nov 18 2000 12:00AM,8255,58647,10487,5358,PLM,PLM*,PLM,PLM*,PRR, 
Nov 18 2000 12:00AM,8255,58649,10487,3525,PLM,PRD,PRD,PRD,PRD, 
Nov 18 2000 12:00AM,8255,58646,10487,14845,PLM*,PBRPLM,PBRPLM,PBRPLM,PBRPLM, 
Nov 18 2000 12:00AM,8255,58649,10487,4282,PLM,PRD,PRD,PLMCCR,PLMCCR, 
Nov 18 2000 12:00AM,8255,58649,10487,771,PLM,PLMCCR,PLMCCR,PRD,PLMCCR, 
Nov 18 2000 12:00AM,8255,58649,10487,3525,PLM,PRD,PRD,PRD,PRD, 
Nov 18 2000 12:00AM,8255,58649,10487,3425,PLM,PRD,PRD,PLMCCR,PLMCCR, 
Nov 18 2000 12:00AM,8255,58649,10487,12885,PLM,PLMCCR,PLMCCR,PLMCCR,PLMCCR, 
Nov 18 2000 12:00AM,21165,56709,56698,125323,PLM*,PBRPRRPLM,PBRPRRPLM,PBRPRR,PBRPRR, 
Nov 19 2000 12:00AM,8255,58649,10487,16671,PLM*,PLMCCR,PLMCCR,PLMCCR,PLM*, 
Nov 19 2000 12:00AM,8255,56709,10487,187339,PRR,PRR,PRR,PRR*,PRR*, 
Nov 19 2000 12:00AM,8255,58646,10487,16253,PLM*,PBRPLM,PBRPLM,PBRPLM,PBRPLM, 
Nov 19 2000 12:00AM,8255,58647,10487,5424,PLM*,PLM*,PLM*,PLM*,PLM, 
Nov 19 2000 12:00AM,8255,58649,10487,3494,PLM,PRD,PRD,PRD,PRD, 
Nov 19 2000 12:00AM,8255,58646,10487,14593,PLM,PBRPLM,PBRPLM,PBRPLM,PBRPLM, 
Nov 19 2000 12:00AM,8255,58649,10487,4202,PLM,PLMCCR,PLMCCR,PLMCCR,PLM*, 
Nov 19 2000 12:00AM,8255,58649,10487,700,PLM,PLMCCR,PLM*,PRD,PRD, 
Nov 19 2000 12:00AM,8255,58649,10487,12604,PLM*,PLMCCR,PLMCCR,PLMCCR,PLM*, 
Nov 19 2000 12:00AM,8255,58649,10487,3361,PLM,PLMCCR,PLMCCR,PLMCCR,PLM*, 
Nov 19 2000 12:00AM,8255,58649,10487,3493,PLM*,PRD,PRD,PRD,PRD, 
Nov 19 2000 12:00AM,8255,0,10487,988,,,,, , 
Nov 19 2000 12:00AM,21165,56709,56698,117151,PRRPLM,PRRPLM,PRRPLM,PBRPRRPLM,PBRPRR, 
Nov 20 2000 12:00AM,8255,58649,10487,3460,PLM,PRD,PRD,PRD,PRD, 
Nov 20 2000 12:00AM,8255,58649,10487,15703,PLM,PLMCCR,PLMCCR,PLM,PLMCCR, 
Nov 20 2000 12:00AM,8255,56709,10487,187488,PRR,PRR,PRR,PRR*,PRR*,PBR
Nov 20 2000 12:00AM,8255,58646,10487,16145,PLM*,PLM*,PLM*,PBRPLM,PBRPRRPLM, 
Nov 20 2000 12:00AM,8255,58647,10487,5333,PLM,PLM*,PLM*,PLM,PLM*, 
Nov 20 2000 12:00AM,8255,58649,10487,11871,PLM*,PLMCCR,PLMCCR,PLM*,PLMCCR, 
Nov 20 2000 12:00AM,8255,58646,10487,14497,PLM*,PLM,PLM*,PBRPLM,PBRPRRPLM, 
Nov 20 2000 12:00AM,8255,58649,10487,3792,PLM,PLMCCR,PLMCCR,PRD,PLMCCR, 
Nov 20 2000 12:00AM,8255,58649,10487,791,PLM,PLMCCR,PLMCCR,PLM*,PLMCCR, 
Nov 20 2000 12:00AM,8255,58649,10487,3035,PLM,PLMCCR,PLMCCR,PRD,PLMCCR, 
Nov 20 2000 12:00AM,8255,58649,10487,3460,PLM,PRD,PRD,PRD,PRD, 
Nov 20 2000 12:00AM,8255,0,10487,799,,,,, , 
Nov 20 2000 12:00AM,21165,56709,56698,129470,PRRPLM,PRRPLM,PRRPLM,PRRPLM,PRR*, 
Nov 21 2000 12:00AM,8255,58646,10487,30193,PLM*,PLM*,PLM*,PLM,PLM*, 
Nov 21 2000 12:00AM,8255,58649,10487,14072,PLM,PLMCCR,PLM*,PLMCCR,PBRPLM, 
Nov 21 2000 12:00AM,8255,56709,10487,188080, ,PRR,PRR,PRR*,PRRPLM, 
Nov 21 2000 12:00AM,8255,58647,10487,5328,PLM*,PLM,PLM*,PLM*,PLM, 
Nov 21 2000 12:00AM,8255,58649,10487,3547,PLM,PLMCCR,PLM*,PLMCCR,PBRPLM, 
Nov 21 2000 12:00AM,8255,58649,10487,710,PLM,PLMCCR,PLM*,PLMCCR,PBRPLM, 
Nov 21 2000 12:00AM,8255,58649,10487,10638,PLM,PLMCCR,PLM*,PLMCCR,PBRPLM, 
Nov 21 2000 12:00AM,8255,58649,10487,2836,PLM*,PLMCCR,PLM*,PLMCCR,PBRPLM, 
Nov 21 2000 12:00AM,8255,58649,10487,3312,PLM,PRD,PRDPLM,PRDPLMCCR,PBRPRD, 
Nov 21 2000 12:00AM,8255,58649,10487,3312,PLM,PRD,PRDPLM,PRDPLMCCR,PBRPRD, 
Nov 21 2000 12:00AM,8255,0,10487,101,,,,, , 
Nov 21 2000 12:00AM,21165,56709,56698,131821,PRRPLM,PRRPLM,PRRPLM,PRRPLM,PRRPLM, 
Nov 22 2000 12:00AM,8255,58646,10487,28758,CCD*,PBRPLM,PBRPLM,PBRPLM,PBRPLM, 
Nov 22 2000 12:00AM,8255,58649,10487,14141,PRRCCD,PRRPLM,PRRPLM,PRRPLM,PRRPLMCCR, 
Nov 22 2000 12:00AM,8255,56709,10487,187148,PRR,PRR,PRR,PRR*,PRRPLM, 
Nov 22 2000 12:00AM,8255,58647,10487,5205,CCD*,PLM,PLM,PLM,PRR, 
Nov 22 2000 12:00AM,8255,58649,10487,3333,PRRCCD,PRDPRR,PRDPRR,PRDPRR,PRDPRR, 
Nov 22 2000 12:00AM,8255,58649,10487,3562,PRRCCD,PRRPLM,PRRPLM,PRRPLM,PRRPLMCCR, 
Nov 22 2000 12:00AM,8255,58649,10487,713,PRRCCD,PRRPLM,PRRPLM,PRRPLM,PRRPLM, 
Nov 22 2000 12:00AM,8255,58649,10487,10688,PRRCCD,PRRPLM,PRRPLM,PRRPLM,PRRPLMCCR, 
Nov 22 2000 12:00AM,8255,58649,10487,2851,PRRCCD,PRRPLM,PRRPLM,PRRPLM,PRRPLMCCR, 
Nov 22 2000 12:00AM,8255,58649,10487,3333,PRRCCD,PRDPRR,PRDPRR,PRDPRR,PRDPRR, 
Nov 22 2000 12:00AM,21165,56709,56698,132417,PRRCCD,PBRPRRPLM,PBRPRRPLM,PBRPRRPLM,PBRPRRPLM, 
Nov 23 2000 12:00AM,8255,58646,10487,31724,EPMPLM,EPMPLM,EPMPLM,EPMPLM,EPMPLM, 
Nov 23 2000 12:00AM,8255,56709,10487,188688,PRR,PRR*,PRR*,PRREPM,PRR*, 
Nov 23 2000 12:00AM,8255,58649,10487,14893,EPMPLM,EPMPLM,EPMPLM,EPMPLM,EPMPLM, 
Nov 23 2000 12:00AM,8255,58647,10487,5235,EPMPLM,EPMPLM,EPMPLM,EPMPLM,PRR, 
Nov 23 2000 12:00AM,8255,58649,10487,3436,EPMPLM,PRD,PRD,PRD,PRD, 
Nov 23 2000 12:00AM,8255,58649,10487,3753,EPMPLM,EPMPLM,EPMPLM,EPMPLM,EPMPLM, 
Nov 23 2000 12:00AM,8255,58649,10487,689,EPMPLM,EPMPLM,EPMPLM,PRD,PRD, 
Nov 23 2000 12:00AM,8255,58649,10487,3436,EPMPLM,PRD,PRD,PRD,PRD, 
Nov 23 2000 12:00AM,8255,58649,10487,3003,EPMPLM,EPMPLM,EPMPLM,EPMPLM,EPMPLM, 
Nov 23 2000 12:00AM,8255,58649,10487,11257,EPMPLM,EPMPLM,EPMPLM,EPMPLM,EPMPLM, 
Nov 23 2000 12:00AM,21165,56709,56698,141218,PRRPLM,PRRPLM,PRRPLM,PRRPLM,PRRPLM, 
Nov 24 2000 12:00AM,8255,58646,10487,27481,EPMPLM,EPMPLM,EPMPLM,EPMPLM,EPMPLM, 
Nov 24 2000 12:00AM,8255,56709,10487,188250,PRR,PRR*,PRR*,PRREPM,PRREPM, 
Nov 24 2000 12:00AM,8255,58649,10487,12900,EPMPLM,EPMPLM,EPMPLM,EPMPLM,EPMPLM, 
