VaR,VaR,VaR,VaR,,Curve Shift,Curve Shift,Curve Shift,,,,,,,,,
2001-01-18 00:00:00,-13131751.5545287,-33854043.352391,-38630901.1648506,,50181165.463861704,30367682.5899256,103947064.876789,1900-01-05 00:00:00,90000,12949.00854051151,,,,,,
2001-01-19 00:00:00,-16776269.5120833,-34736683.1699235,-45687499.553966396,,77050991.4594885,4142858.7910473496,82209646.1269261,1900-01-06 00:00:00,-16000,-16960.790094434953,,,,,,
2001-01-22 00:00:00,-26059257.7516113,-35210061.6511707,-54613079.0199806,,960790.094434952,27600291.7761821,70656655.1571043,1900-01-02 00:00:00,-26000,-2443.4254832095976,,,,,,
2001-01-23 00:00:00,-33551650.5463373,-37125322.367980406,-59404896.5315981,,-23556574.5167904,811557.974461231,-3295746.33851878,1900-01-03 00:00:00,25000,8912.159189401102,,,,,,
2001-01-24 00:00:00,-38938020.2765151,-34143353.403194696,-64875703.5456489,,16087840.810598899,11421547.1920526,21388952.035290603,1900-01-04 00:00:00,-7000,6106.602185662801,,,,,,
2001-01-25 00:00:00,-40253565.3558897,-35027285.1530597,-68146319.71268511,,-13106602.1856628,2625105.0959228296,-12560224.3252309,1900-01-05 00:00:00,-15000,4825.106389555302,,,,,,
2001-01-26 00:00:00,-29313548.1678553,-33884706.0232132,-55074643.3989518,,-19825106.3895553,10819739.1332594,-8009461.48971576,1900-01-06 00:00:00,-26000,52802.5445248795,,,,,,
2001-01-29 00:00:00,-32497107.0822256,-29627882.6230478,-48026791.362698,,-78802544.5248795,-1046580.63991197,-87156055.8594619,1900-01-02 00:00:00,14000,-4817.658421620501,,,,,,
2001-01-30 00:00:00,-39991462.0833715,-40503331.063826196,-64369014.348198,,18817658.4216205,7981470.22780678,26227433.614508297,1900-01-03 00:00:00,72000,-14704.249377401095,,,,,,
2001-01-31 00:00:00,-39704970.4080016,-41747136.7435581,-63103127.6488776,,86704249.3774011,16468850.6849168,94342517.5574441,1900-01-04 00:00:00,26000,25200.67343023997,,,,,,
2001-02-01 00:00:00,-46957881.702423096,-43977380.0702623,-73754780.6095908,,799326.569760028,22679046.6924256,36420015.097820096,1900-01-05 00:00:00,3000,13274.2510727436,,,,,,
2001-02-02 00:00:00,-64322726.8503306,-42786524.225260794,-88100666.1694377,,-10274251.0727436,-32064428.4481046,-47065412.7747525,1900-01-06 00:00:00,-36000,-2576.833314928699,,,,,,
2001-02-05 00:00:00,-45957824.5052179,-46497095.0548915,-72551183.3402133,,-33423166.6850713,-29462426.033937998,-69703305.8601483,1900-01-02 00:00:00,15000,18350.44708813659,,,,,,
2001-02-06 00:00:00,-42993745.201409295,-47399521.1715712,-70063333.6000478,,-3350447.08813659,-10092289.581665501,-15578584.3823013,1900-01-03 00:00:00,29000,9599.605226734602,,,,,,
2001-02-07 00:00:00,-60589009.9386194,-43894394.5191175,-82052388.2379655,,19400394.7732654,-89983414.2015493,-80231326.327225,1900-01-04 00:00:00,-53000,-23182.2048882585,,,,,,
2001-02-08 00:00:00,-75772612.0341651,-36567777.1371475,-96445774.5822202,,-29817795.111741498,14158088.6532847,-25275754.590694502,1900-01-05 00:00:00,13000,9955.03732570957,,,,,,
2001-02-09 00:00:00,-73330639.1950801,-36039483.718741305,-93273875.4647024,,3044962.67429043,6437889.66609844,10781160.9301189,1900-01-06 00:00:00,10000,2794.97862886043,,,,,,
2001-02-12 00:00:00,-70527795.140394,-37989107.4374572,-92359335.6533794,,7205021.37113957,-7432164.93532983,-3130924.44210302,1900-01-02 00:00:00,69000,3449.5419368693983,,,,,,
2001-02-13 00:00:00,-68460496.8452627,-36212048.8180058,-91719935.5075037,,65550458.0631306,10329344.2793245,65121520.1990484,1900-01-03 00:00:00,-19000,8584.604412934797,,,,,,
2001-02-14 00:00:00,-59869169.3586492,-35488980.6035161,-86135328.2743804,,-27584604.4129348,11215320.3738264,-22195020.295858,1900-01-04 00:00:00,8000,-5188.7430400009,,,,,,
2001-02-15 00:00:00,-54793640.742570005,-27892811.756388303,-70926188.7985861,,13188743.0400009,-9132139.6340971,725051.609474185,1900-01-05 00:00:00,13000,-6314.458951766599,,,,,,
2001-02-16 00:00:00,-51120571.762465306,-32054034.531190198,-70146994.3793533,,19314458.9517666,5235892.66900972,26351383.1410217,1900-01-06 00:00:00,2000,6943.89328917007,,,,,,
2001-02-19 00:00:00,0,0,0,,0,0,719541.2467000011,1900-01-02 00:00:00,4000,-8588.314920088698,,,,,,
2001-02-20 00:00:00,-40033959.9593505,-32699563.7691772,-60360814.0980113,,-4943893.28917007,-20479746.9341494,-34800260.551687896,1900-01-03 00:00:00,-45000,-3405.1643075313987,,,,,,
2001-02-21 00:00:00,-25721169.996673897,-25647690.1705105,-40684830.379036695,,12588314.9200887,-6688990.107261131,4295534.496833431,1900-01-04 00:00:00,13000,23246.2677822587,,,,,,
2001-02-22 00:00:00,-21008466.329914,-28397400.920978,-38933310.2989443,,-41594835.6924686,-12054281.0687616,-58356715.0881707,1900-01-05 00:00:00,13000,21505.7925990792,,,,,,
2001-02-23 00:00:00,-22041985.706099097,-27875399.5636796,-37124600.380685896,,-10246267.7822587,5476651.43971576,-12372469.4723316,1900-01-06 00:00:00,14000,12117.88196894165,,,,,,
2001-02-26 00:00:00,-21997329.066702597,-27692581.3556031,-41310678.4820447,,-8505792.5990792,-10573846.8282568,-31886925.886821102,1900-01-02 00:00:00,-13000,16598.321147438797,,,,,,
2001-02-27 00:00:00,-29851959.1172818,-29507879.944137998,-48398790.8525649,,1882118.03105835,4088782.32222987,4380694.64620243,1900-01-03 00:00:00,-14000,2981.0125256335996,,,,,,
2001-02-28 00:00:00,-44707559.947184294,-32777979.5537843,-62618749.4779746,,-29598321.147438798,-2327208.42550895,-41922309.376996405,1900-01-04 00:00:00,8000,-63.93804858763997,,,,,,
2001-03-01 00:00:00,-44082403.677623294,-30922188.956108898,-57671916.721720695,,-16981012.5256336,14373585.2646603,5751694.07688246,1900-01-05 00:00:00,14000,-3080.2995760357007,,,,,,
2001-03-02 00:00:00,-41597005.1682885,-29256761.3860975,-56030783.9055226,,8063938.04858764,6154657.65293973,14836452.9406731,1900-01-06 00:00:00,-23000,-21902.57435221146,,,,,,
2001-03-05 00:00:00,-45206138.1063663,-27023814.1377531,-57126287.6217638,,17080299.5760357,41718391.0887377,60608649.8826759,1900-01-02 00:00:00,24000,20991.20292302468,,,,,,
2001-03-06 00:00:00,-40433470.769998305,-28299178.470614698,-54711825.8137082,,-1097425.64778854,-2427459.4961902797,-14301902.318505399,1900-01-03 00:00:00,7000,20090.209431407802,,,,,,
2001-03-07 00:00:00,-38277562.8199474,-31625515.907048,-55048008.2261269,,3008797.07697532,-5791607.46320683,-4839820.71143613,1900-01-04 00:00:00,41000,14172.978773212097,,,,,,
2001-03-08 00:00:00,-26853074.9111401,-28400394.9327095,-44174393.117298,,-13090209.431407802,-1646338.54278634,-25471292.5996921,1900-01-05 00:00:00,23000,-9005.8417927964,,,,,,
2001-03-09 00:00:00,-35731519.1298296,-24548459.217625,-46175321.182046495,,26827021.226787902,-8565789.81805612,26337669.5884391,1900-01-06 00:00:00,-16000,-9181.38142566267,,,,,,
2001-03-12 00:00:00,-36580754.9953587,-24574162.195058,-44756791.9825293,,32005841.7927964,-22160506.558307998,3561563.82142918,1900-01-02 00:00:00,-10000,-2924.6628643305494,,,,,,
2001-03-13 00:00:00,-37160030.909413494,-26387340.9188186,-45383244.838611305,,-6818618.57433733,-20513994.9688804,-31508519.1079982,1900-01-03 00:00:00,10000,19795.46066335997,,,,,,
2001-03-14 00:00:00,-37968367.3420706,-24393392.5987262,-44921178.2105367,,-7075337.13566945,-9264905.10829239,-15503322.9484076,1900-01-04 00:00:00,11000,5114.84577079722,,,,,,
2001-03-15 00:00:00,-33910985.879653595,-29345420.3533703,-48971844.1707913,,-9795460.66335997,15412460.984142799,1872691.81774005,1900-01-05 00:00:00,38000,13957.544834007902,,,,,,
2001-03-16 00:00:00,-29028635.6445451,-26043840.5901613,-41064069.2463722,,5885154.22920278,7696669.92695429,50069250.4318311,1900-01-06 00:00:00,45000,-8196.425901375304,,,,,,
2001-03-19 00:00:00,-25425736.382376898,-23967661.972293798,-36004745.428527296,,24042455.1659921,26095884.0899012,41503089.9261185,1900-01-02 00:00:00,12000,-30381.8750776492,,,,,,
2001-03-20 00:00:00,-14345833.0510057,-28567148.1473828,-32560412.0795554,,53196425.9013753,-3181951.7157202596,53498303.442508005,1900-01-03 00:00:00,-10000,-2047.7965266167093,,,,,,
2001-03-21 00:00:00,-21302018.2813578,-31800583.383353602,-37676949.230925694,,42381875.0776492,-2207398.4395116298,38447620.2303886,1900-01-04 00:00:00,15000,6201.832207550389,,,,,,
2001-03-22 00:00:00,-25268857.791634098,-28424164.880650498,-39574829.7886706,,-7952203.473383291,-6915395.95777675,-19565056.669258,1900-01-05 00:00:00,20000,-8773.006576117703,,,,,,
2001-03-23 00:00:00,-24982929.6299524,-31641312.5072425,-43021302.8044469,,8798167.79244961,-1067832.75063223,7415973.0180807,1900-01-06 00:00:00,-27000,58193.497306942896,,,,,,
2001-03-26 00:00:00,-33865915.943518795,-30847645.8915962,-50689307.2635403,,28773006.5761177,-3921774.09723023,31083058.3705515,1900-01-02 00:00:00,67000,-78864.48537510503,,,,,,
2001-03-27 00:00:00,-33265810.7377567,-30356339.3715483,-48736335.2889376,,-85193497.3069429,9742999.60358062,-60565043.5138404,1900-01-03 00:00:00,34000,12912.605294944296,,,,,,
2001-03-28 00:00:00,-24076564.5577977,-32504219.3364083,-41985860.2199314,,145864485.37510502,-2065657.45603183,126098719.452496,1900-01-04 00:00:00,0,-109618.103161347,,,,,,
2001-03-29 00:00:00,-31731762.936268,-32396125.3225461,-47763643.888797894,,21087394.705055702,-7242202.91056138,22730677.6317387,1900-01-05 00:00:00,65000,4060.059698564197,,,,,,
2001-03-30 00:00:00,-39869450.379645295,-35848508.0751652,-53935892.0486196,,109618103.161347,3891448.24365976,109723243.873762,1900-01-06 00:00:00,55000,34582.0254702275,,,,,,
2001-03-31 00:00:00,0,-25346464.938607402,-25346464.938607402,,0,5072242.16955195,5072242.16955195,1900-01-07 00:00:00,78000,-19036.424464467098,,,,,,
2001-04-02 00:00:00,-46538045.2391804,-35946084.9688331,-60733699.6214896,,60939940.301435806,791166.9694275649,58411414.6965124,1900-01-02 00:00:00,-41000,23507.550044922893,,,,,,
2001-04-03 00:00:00,-48254264.071016796,-38415748.9374463,-59154113.367237896,,20417974.529772498,4904543.96649203,19590588.7898284,1900-01-03 00:00:00,-42000,4180.901500777902,,,,,,
2001-04-04 00:00:00,-51766003.518732995,-40571916.774165,-61271062.4670626,,97036424.4644671,-245979.04375754303,88485756.95316459,1900-01-04 00:00:00,-216000,-16292.86885859599,,,,,,
2001-04-05 00:00:00,-48137603.435364395,-41742323.1136818,-57603932.943104096,,-64507550.044922896,6872167.11102264,-56300091.0682713,1900-01-05 00:00:00,103000,21323.81777483689,,,,,,
2001-04-06 00:00:00,-47101219.5904146,-44084700.3208683,-57364167.9847105,,-46180901.5007779,-2228594.79032259,-62779473.9285713,1900-01-06 00:00:00,-65000,2957.1087219541078,,,,,,
2001-04-09 00:00:00,-37561237.0646537,-41731782.4222481,-48728762.1282221,,-199707131.141404,10359615.9698118,-197167159.765584,1900-01-02 00:00:00,-58000,-8804.140405573999,,,,,,
2001-04-10 00:00:00,-33511548.350508,-42148180.7244616,-51649780.097176,,81676182.2251631,5853864.4699431,96497436.5856953,1900-01-03 00:00:00,-10000,-1557.4489138213012,,,,,,
2001-04-11 00:00:00,-30205155.6304704,-41130368.0535745,-46686553.575243495,,-67957108.7219541,-6075596.24553435,-79962697.3233483,1900-01-04 00:00:00,7000,3598.57709401293,,,,,,
2001-04-12 00:00:00,-28031421.7917169,-37695076.689272396,-42530976.5896374,,-49195859.594426,7100315.17306641,-41002032.0854799,1900-01-05 00:00:00,5000,4511.462305835808,,,,,,
2001-04-16 00:00:00,-34792013.9869029,-39590648.2850561,-42386890.623169,,-8442551.0861787,-10406609.4267247,-24069374.622447398,1900-01-02 00:00:00,55000,60085.82370637959,,,,,,
2001-04-17 00:00:00,-38104283.045078196,-37299364.002563804,-45156943.1548749,,3401422.90598707,-18955753.202201102,-18754132.5006419,1900-01-03 00:00:00,-50000,-550.0147101800976,,,,,,
2001-04-18 00:00:00,-48271897.750456095,-42751846.1930634,-66054521.5926813,,488537.69416419195,19084001.7953358,15084086.7048774,1900-01-04 00:00:00,23000,19121.96641944622,,,,,,
2001-04-19 00:00:00,-53145867.173818395,-43757864.4779128,-81895248.16422561,,-5085823.70637959,-5802290.49255654,-12715980.0177872,1900-01-05 00:00:00,-16000,-7305.141677323081,,,,,,
2001-04-20 00:00:00,-102653558.631427,-39202794.4367428,-118503222.694006,,-49449985.2898199,-6733651.3696354,-57570381.548697606,1900-01-06 00:00:00,-146000,-2216.6046314050036,,,,,,
2001-04-23 00:00:00,-100793121.938088,-41992140.645396896,-111901178.998367,,3878033.58055378,17496186.2309542,13556706.8605294,1900-01-02 00:00:00,60000,27555.1783260752,,,,,,
2001-04-24 00:00:00,-101383017.679969,-49835466.842250906,-120153572.014663,,-8694858.32267692,20342144.938398,7150397.17413557,1900-01-03 00:00:00,77000,12842.451353131102,,,,,,
2001-04-25 00:00:00,-90534176.5367557,-48348669.7016111,-117025392.360135,,-143783395.368595,-1781827.4883245,-149478650.79109702,1900-01-04 00:00:00,-16000,5319.663219285798,,,,,,
2001-04-26 00:00:00,-77009614.3618939,-50703675.7244786,-90674448.2131015,,32444821.6739248,1122503.01861659,30027521.2996215,1900-01-05 00:00:00,-30000,-2831.3557831083017,,,,,,
2001-04-27 00:00:00,-76528769.1108746,-50185659.8446019,-89661806.8831645,,64157548.6468689,10076087.6565888,72557187.0007649,1900-01-06 00:00:00,5000,7155.34415107584,,,,,,
2001-04-30 00:00:00,-78911112.2175636,-51314544.4837255,-92892330.6188511,,-21319663.219285797,10218226.4084998,-12179732.3021498,1900-01-02 00:00:00,-21000,-1870.4111928329003,,,,,,
2001-05-01 00:00:00,-79197288.1074056,-50494022.6645194,-97078153.94774559,,-27168644.2168917,5537414.986955291,-21875626.966335,1900-01-03 00:00:00,31000,25.312960046001535,,,,,,
2001-05-02 00:00:00,-78177492.5265573,-52963955.2218758,-107190006.102729,,-2155344.15107584,25506613.755673498,22686350.499274198,1900-01-04 00:00:00,48000,6052.751546223299,,,,,,
2001-05-03 00:00:00,-79871441.8399682,-47137064.3992502,-105142235.220185,,-19129588.807167098,2112347.82986925,-16133728.9840021,1900-01-05 00:00:00,-76000,9746.88385208849,,,,,,
2001-05-04 00:00:00,-77748294.1945707,-49356567.8683293,-104460641.085615,,30974687.039954,-10037963.462016,17767629.1003479,1900-01-06 00:00:00,57000,7502.231505857104,,,,,,
2001-05-07 00:00:00,-76906854.5698785,-38068993.5313759,-93315758.6752994,,41947248.4537767,20609524.869549602,69254392.0124601,1900-01-02 00:00:00,-34000,-4943.786904812099,,,,,,
2001-05-08 00:00:00,-82355627.12529829,-33244363.2654846,-92211055.2838935,,-85746883.8520885,-17103761.5393155,-111075907.966172,1900-01-03 00:00:00,-92000,-4254.171343892711,,,,,,
2001-05-09 00:00:00,-77074833.4603433,-35752520.051551506,-88368551.9669264,,49497768.4941429,13336815.8545478,66432636.8289197,1900-01-04 00:00:00,-81000,-14487.629416160897,,,,,,
2001-05-10 00:00:00,-90022459.6009164,-36450705.6563555,-105569541.91644,,-29056213.095187902,-5174144.545208761,-32800922.1827961,1900-01-05 00:00:00,-24000,10117.317898061105,,,,,,
2001-05-11 00:00:00,-82620665.5850671,-38594634.431063995,-102990648.759612,,-87745828.65610729,1995861.44125424,-81469380.2290147,1900-01-06 00:00:00,46000,18017.7533939509,,,,,,
2001-05-14 00:00:00,-87304233.4285174,-37349839.711370096,-105636905.048173,,-66512370.583839096,7120009.9568836,-52485028.480329804,1900-01-02 00:00:00,71000,8218.6413582327,,,,,,
2001-05-15 00:00:00,-89816507.9750954,-37544127.4300139,-109118245.380164,,-34117317.898061104,1411634.07339031,-34042268.9355272,1900-01-03 00:00:00,97000,19826.92896258201,,,,,,
2001-05-16 00:00:00,-82202463.456263,-32922287.284693997,-95861363.5320271,,27982246.606049098,8954490.29212182,54198086.4534043,1900-01-04 00:00:00,142000,23347.802224693005,,,,,,
2001-05-17 00:00:00,-74929869.607349,-31222702.407721497,-89156254.9028365,,62781358.6417673,10875634.3308186,140244958.898816,1900-01-05 00:00:00,42000,7088.342272412003,,,,,,
2001-05-18 00:00:00,-85840237.9950645,-32298892.276279397,-99030399.4793227,,77173071.037418,-2379088.11620773,56060731.0981535,1900-01-06 00:00:00,-58000,-7037.585046497705,,,,,,
2001-05-21 00:00:00,-80152899.5675657,-29999979.632592298,-88717540.6612892,,118652197.775307,3030271.4141811198,116777719.038248,1900-01-02 00:00:00,-22000,-2869.273142272101,,,,,,
2001-05-22 00:00:00,-83503022.579228,-25916870.6224228,-93173314.1243331,,34911657.727588,-11734651.4067911,17609560.8461998,1900-01-03 00:00:00,21000,18665.100440883878,,,,,,
2001-05-23 00:00:00,-82373791.3724034,-26855372.2336752,-98685386.5254137,,-50962414.9535023,8983421.78124765,-52092055.4291398,1900-01-04 00:00:00,-9000,481.6236795502009,,,,,,
2001-05-24 00:00:00,-80359149.6186056,-32161457.9680448,-98253936.4297636,,-19130726.8577279,-2743615.80140029,-22579841.7271172,1900-01-05 00:00:00,-95000,27042.384645521,,,,,,
2001-05-25 00:00:00,-78365937.7644454,-32928360.008928698,-102236317.124942,,2334899.55911612,16239250.931913901,23687323.448102098,1900-01-06 00:00:00,1000,58747.4596386484,,,,,,
2001-05-28 00:00:00,0,0,-2419862.16628643,,0,0,1255836.67072558,1900-01-02 00:00:00,-13000,25767.390956077907,,,,,,
2001-05-29 00:00:00,-50484267.758157305,-31281437.9217084,-72164913.0737645,,-9481623.6795502,12581533.1463081,10271208.0794039,1900-01-03 00:00:00,-29000,-25454.40021798957,,,,,,
2001-05-30 00:00:00,-45487363.659163296,-31610874.1159237,-66204511.698240705,,-122042384.645521,33878662.2160045,-93726054.6872757,1900-01-04 00:00:00,-13000,-17705.31319279273,,,,,,
2001-05-31 00:00:00,-54157077.26133639,-26875472.5065584,-74319223.0952207,,-57747459.6386484,28366382.517532,-41336163.8273671,1900-01-05 00:00:00,15000,-23335.814711972198,,,,,,
2001-06-01 00:00:00,-64058028.0900199,-25207493.5018176,-80424866.5285033,,-38767390.9560779,-26108170.9949465,-70777037.5584414,1900-01-06 00:00:00,31000,907.9363776887985,,,,,,
2001-06-04 00:00:00,-69357526.4417654,-33231881.0596753,-91517847.0799486,,-3545599.78201043,27483643.4146818,17312524.3386646,1900-01-02 00:00:00,-24000,22290.1639155975,,,,,,
2001-06-05 00:00:00,-53595305.957722396,-34124911.542311594,-72978426.8126389,,4705313.19279273,7849371.324900961,12801512.015570302,1900-01-03 00:00:00,-87000,-11825.864441791913,,,,,,
2001-06-06 00:00:00,-55439511.445984,-42446721.8033892,-76688154.0051779,,38335814.7119722,7958664.45934692,65022529.9760294,1900-01-04 00:00:00,-83000,-9458.728261328404,,,,,,
2001-06-07 00:00:00,-69061632.3041366,-37565016.7540632,-89123187.9135707,,30092063.6223112,-30245675.355726,6763953.49871103,1900-01-05 00:00:00,55000,-5545.941939429002,,,,,,
2001-06-08 00:00:00,-80675706.5979264,-43940576.5924981,-105047712.632946,,-46290163.9155975,-32432185.2174714,-74986234.1996247,1900-01-06 00:00:00,16000,4661.3548354579,,,,,,
2001-06-11 00:00:00,-101163216.449228,-46726207.4546421,-129318264.50633,,-75174135.5582081,-11850256.2840018,-99981574.0329341,1900-01-02 00:00:00,11000,1259.0573441443194,,,,,,
2001-06-12 00:00:00,-95079330.0476413,-43711411.5471496,-121570722.669784,,-73541271.7386716,3928706.72178214,-73685027.1485163,1900-01-03 00:00:00,-25000,699.9647421662994,,,,,,
2001-06-13 00:00:00,-88757521.7417045,-40917100.6736532,-116636030.77391599,,60545941.939429,29933296.2543618,100558765.546149,1900-01-04 00:00:00,6000,-10766.730719119201,,,,,,
2001-06-14 00:00:00,-90649266.0058751,-39106130.5825711,-118278248.187022,,11338645.1645421,31546069.8614459,43595196.1632835,1900-01-05 00:00:00,109000,13187.720390349903,,,,,,
2001-06-15 00:00:00,-91524221.3261121,-33084870.21602,-109569488.729408,,9740942.65585568,29790232.431852803,41771955.7300824,1900-01-06 00:00:00,25000,9.035379715598538,,,,,,
2001-06-18 00:00:00,-87167099.1136601,-31418684.3801949,-102584061.580745,,-25699964.7421663,11787694.5295742,-13831709.7266841,1900-01-02 00:00:00,16000,-260.0176563579007,,,,,,
2001-06-19 00:00:00,-92229134.8434491,-29319521.7511607,-113447715.397182,,16766730.7191192,17692503.6058749,28281080.667314697,1900-01-03 00:00:00,132000,8236.052009837003,,,,,,
2001-06-20 00:00:00,-75011137.4120621,-29486330.730177302,-98992766.6691922,,95812279.60965009,30915997.7006392,139875596.165232,1900-01-04 00:00:00,34000,7740.882349617299,,,,,,
2001-06-21 00:00:00,-77747666.2305762,-30871334.697034,-106236094.184998,,24990964.6202844,-10943526.5836013,12071031.2790309,1900-01-05 00:00:00,74000,7589.455082463697,,,,,,
2001-06-22 00:00:00,-79598916.6358978,-30237806.9588898,-107172653.560713,,16260017.656357901,13189682.4523059,34127644.5492539,1900-01-06 00:00:00,9000,7913.1657892269,,,,,,
2001-06-25 00:00:00,-61249701.5470451,-27901120.9923354,-89328829.6355137,,123763947.990163,30900144.906469,157615455.88671,1900-01-02 00:00:00,31000,4424.0022587642015,,,,,,
2001-06-26 00:00:00,-59501023.6682145,-28429593.8130464,-87200291.4024347,,26259117.6503827,-9792815.87533034,16807666.2837346,1900-01-03 00:00:00,-16000,4515.377401316702,,,,,,
2001-06-27 00:00:00,-33474561.165725898,-28909724.7343377,-60388980.943057604,,66410544.917536296,-8452945.01374881,62542101.1031734,1900-01-04 00:00:00,-22000,19092.087925501,,,,,,
2001-06-28 00:00:00,-39846036.494402096,-30820906.178908497,-66669867.0563956,,1086834.2107731,-85576.125490915,6771767.92708409,1900-01-05 00:00:00,17000,1807.013304071299,,,,,,
2001-06-29 00:00:00,-52608517.8084066,-31617954.5555364,-76085388.9162215,,26575997.7412358,-1530924.89011503,60606039.575194,1900-01-06 00:00:00,10000,329.37309772978006,,,,,,
2001-07-02 00:00:00,-56175139.9133253,-35002401.630654,-84779475.2302551,,-20515377.401316702,11691408.608152399,-12596830.7387095,1900-01-02 00:00:00,11000,5481.806586291189,,7415567.746835972,,,,
2001-07-03 00:00:00,-61476518.1500509,-36044908.517869495,-88253359.6003117,,-41092087.925501004,-18007056.858564798,-70577430.0356752,1900-01-03 00:00:00,-34000,-18885.6012461361,,-12325581.59450304,,,,
2001-07-04 00:00:00,-454216.26197126205,0,-454216.26197126205,,0,0,0,1900-01-04 00:00:00,-23000,-1873.5772984489995,,0,,,,
2001-07-05 00:00:00,-46936321.2743962,-34702335.5920846,-75725559.3563693,,15192986.6959287,-12390552.1073238,567075.494058274,1900-01-05 00:00:00,-21000,-5900.770090059999,,-11964062.01508392,,,,
2001-07-06 00:00:00,-43690201.87358,-38013838.6263333,-78174505.7011582,,9670626.90227022,-26368211.767561898,-15217961.5048797,1900-01-06 00:00:00,22000,4544.115289365804,,-25860813.43152319,,,,
2001-07-09 00:00:00,-36654361.6073854,-37144769.9941318,-107097386.80773,,5518193.413708811,8877870.75280612,2571075.79297741,1900-01-02 00:00:00,34000,-435.0016611164974,,12621220.064944841,,,,
2001-07-10 00:00:00,-39562064.1695568,-41405393.9875018,-79261304.3993834,,-15114398.7538639,-7502102.58204865,-31552649.7372958,1900-01-03 00:00:00,2000,-278.42192338528,,-3109987.6165728606,,,,
2001-07-11 00:00:00,-45884538.4668257,-41483140.3198701,-87420611.5771464,,-21126422.701551,23136965.2053959,-5492479.4502395205,1900-01-04 00:00:00,16000,10421.043123223939,,19305627.66791886,,,,
2001-07-12 00:00:00,-41149801.0973995,-41965025.2801288,-96352066.2032892,,-15099229.90994,-3770074.37101925,-10049124.0290926,1900-01-05 00:00:00,13000,7571.579262561179,,-4329626.13154258,,,,
2001-07-13 00:00:00,-28107605.6148768,-37970927.5168863,-79987781.923465,,17455884.710634198,27858046.9677615,-42553166.4512849,1900-01-06 00:00:00,-3000,-917.9105351327098,,29795896.894106,,,,
2001-07-16 00:00:00,-19678194.8311596,-35302073.4425315,-69105277.5848313,,34435001.661116496,28737747.1509147,116137452.005554,1900-01-02 00:00:00,-11000,-435.8285631939998,,34660011.32921677,,,,
2001-07-17 00:00:00,-16871544.7569447,-31895063.257335998,-60199610.186095804,,2278421.92338528,-3986266.10355187,1348654.66445059,1900-01-03 00:00:00,-14000,4217.877922317199,,1334199.8820297935,,,,
2001-07-18 00:00:00,-15769978.033085201,-33466134.370497,-61610020.414048105,,5578956.87677606,4194663.66789136,3825747.24189387,1900-01-04 00:00:00,-46000,-6350.330058003296,,3765162.985385447,,,,
2001-07-19 00:00:00,-14077277.476884501,-34753845.4416655,-63966712.2467597,,5428420.73743882,10349186.9259519,18562054.0814507,1900-01-05 00:00:00,39000,-2112.8199528539044,,8935018.065032111,,,,
