2/5/'02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHED TERM,BORDER 1,S DEAL#,S PRICE,S CONT TERM,SCHD HRS,TZ,MWS,UPSTREAM PATH,,SUPPLY,-E-,MARKET,X,DOWNSTREAM PATH,MWS,M CONT TERM,M PRICE,M DEAL#,TAG,GLOBAL ID,PHY?,COMMENTS,TRAN1 NAME,,,,,,,,,,,,,,,,S STRIP ID,M STRIP ID
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,"1-6, 23-24",PST,0,AVISTA(G)CHELAN,,AVISTA,-E-SNPD(T)BPA(T)MIDC/JD #96092NF-PGE(T)JD/MAL5 #401F-E-,EPMICALPOO,,CISO(T)MAL5/NP15-EPMICALPOO,0,2/5/2002-2/5/2002,0,897191.1,40622,ENRJ_CISO_3000,P,,SNO(T),897192.1,BPA(T)MIDC/JD #96092NF,PGE(T),146517.4,JD/MAL5 #401 F,,,,,,,COB N/S,,,,,
DAY,COB N/S,153325.1,24.75,1/1/2002-4/6/2002,"1-6, 23-24",PST,25,BPA C#21896-BPA(T)BPAP/JD #95363F-BPA(T)JD/CPT JACK #95363F,,BPA,-E-,AEP,,SMUD-SMUD(T)CPT JACK/NP15-SMUD,25,2/1/02-2/9/02,0,897188.1,AEP TAG,,P,,,,,,,,,,,,,,COB N/S,,,,,
DAY,COB N/S,153327.1,25.35,1/1/2002-4/6/2002,"1-6, 23-24",PST,25,BPA C#21892-BPA(T)BPAP/JD #95363F-BPA(T)JD/MAL5 #95363F,,BPA,-E-,AEP,,MORGAN-APX-CISO(T)MAL5/NP15-APX,25,2/1/02-2/9/02,0,897188.1,MORGAN TAG,,P,,,,,,,,,,,,,,COB N/S,,,,,
DAY,COB N/S,305699.1,27.25,1/1/2002-4/6/2002,"1-6, 23-24",PST,25,BPA C#23273-BPA(T)BPAP/JD #95363F-BPA(T)JD/MAL5 #95363F,,BPA,-E-,AEP,,SMUD-SMUD(T)MAL5/NP15-SMUD,25,2/1/02-2/9/02,0,897188.1,AEP TAG,,P,,,,,,,,,,,,,,COB N/S,,,,,
DAY,COB N/S,305699.1,27.25,1/1/2002-4/6/2002,"1-6, 23-24",PST,25,BPA C#23273-BPA(T)BPAP/JD #95363F-BPA(T)JD/MAL5 #95363F,,BPA,-E-,AEP,,SMUD-SMUD(T)MAL5/NP15-SMUD,25,2/1/02-2/9/02,0,897188.1,AEP TAG,,P,,,,,,,,,,,,,,COB N/S,,,,,
DAY,COB N/S,305700.1,27.64,1/1/2002-4/6/2002,"1-6, 23-24",PST,25,BPA C#23274-BPA(T)BPAP/JD #95363F-BPA(T)JD/CPT JACK #95363F,,BPA,-E-,AEP,,PWX-WAPA(T)CPT JACK/TRACY-CISO(T)TRACY/NP15-PWXSC,25,2/1/02-2/9/02,0,897188.1,PWX TAG,,P,,,,,,,,,,,,,,COB N/S,,,,,
DAY,COB N/S,305700.1,27.64,1/1/2002-4/6/2002,"1-6, 23-24",PST,25,BPA C#23274-BPA(T)BPAP/JD #95363F-BPA(T)JD/CPT JACK #95363F,,BPA,-E-,AEP,,PWX-WAPA(T)CPT JACK/TRACY-CISO(T)TRACY/NP15-PWXSC,25,2/1/02-2/9/02,0,897188.1,PWX TAG,,P,,,,,,,,,,,,,,COB N/S,,,,,
DAY,COB N/S,474381.1,76,1/1/2002-4/6/2002,"1-6, 23-24",PST,25,BPA C#24075-BPA(T)BPAP/JD #95363F-BPA(T)JD/MAL5 #95363F-BPAP-DETM,,CRC,-E-,AEP,,MORGAN-APX-CISO(T)MAL5/NP15-APX,25,2/1/02-2/9/02,0,897188.1,MORGAN TAG,,P,,,,,,,,,,,,,,COB N/S,,,,,
DAY,COB N/S,474381.1,76,1/1/2002-4/6/2002,"1-6, 23-24",PST,25,AVISTA-MIECO-DETM,,CRC,-E-,AEP,,AVISTA,25,2/1/02-2/9/02,0,897188.1,BOOKOUT,,N,,,,,,,,,,,,,,COB N/S,,,,,
,,,,,,,,,,,-E-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,200,,,,,0,,,200,,,,,,,,,,,,,,,,,,,,,,,,,
,MIDC HLH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-E-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,7-22,PST,25,AVISTA(G)CHELAN,,AVISTA,-E-,BPA,,C#10642-BPA(T)MIDC/BPAP #95363NF-BPA,25,11/1/2001-4/6/2002,30.65,281938.1,40623,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,7-22,PST,25,AVISTA(G)CHELAN,,AVISTA,-E-,BPA,,C#10642-BPA(T)MIDC/BPAP #95363NF-BPA,25,11/1/2001-4/6/2002,30.65,281938.1,40623,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,7-22,PST,25,AVISTA(G)CHELAN,,AVISTA,-E-,DPD,,,25,12/1/2001-2/28/2002,37.15,831359.1,40633,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,7-22,PST,10,AVISTA(G)CHELAN,,AVISTA,-E-,GHPUD,,BPA(T)MIDC/GHPUD #96083HNF-GHPD,10,12/1/2001-2/28/2002,64,715879.1,40632,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,7-22,PST,14,AVISTA(G)CHELAN,,AVISTA,-E-,BPA,,C#42022-BPA(T)MIDC/BPAP #95363NF-BPA,14,2/1/2002-2/28/2002,47.5,664061.1,40630,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,7-22,PST,4,AVISTA(G)CHELAN,,AVISTA,-E-,INTELCOR,,,4,10/29/2001-4/6/2002,34.6,802102.1,40625,,P,PSEI LOAD,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,NW Delivered,445159.2,0,10/29/2001-4/6/2002,7-22,PST,0,BPA C#10440,,CLATSKANPE,-E-,MCMINNWATL,,BPA(T)BPAP/MCMN #96086NF-MCMN,3,1/1/2002-4/6/2002,23.7,199599.1,40626,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,7-22,PST,2,AVISTA(G)CHELAN,,AVISTA,-E-,MCMINNWATL,,BPA(T)MIDC/MCMN #96086NF-MCMN,2,1/1/2002-4/6/2002,23.7,199599.1,40627,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,7-22,PST,25,BPA-EWEB,X,AEP,-E-,BPA,X,C#24315,25,1/1/2002-3/31/2002,75,658386.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,7-22,PST,25,BPA,,AEP,-E-,BPA,,C#42014,25,1/1/2002-4/6/2002,73,600522.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,7-22,PST,25,BPA,,AEP,-E-,BPA,,C#42014,25,1/1/2002-4/6/2002,73,600522.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,7-22,PST,25,BPA,,AEP,-E-,BPA,,C#42013,25,1/1/2002-4/6/2002,72,600521.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,7-22,PST,25,BPA,,AEP,-E-,BPA,,C#42013,25,1/1/2002-4/6/2002,72,600521.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,7-22,PST,25,BPA,,AEP,-E-,BPA,,C#10743,25,1/1/2002-4/6/2002,42.9,448835.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,7-22,PST,25,BPA,,AEP,-E-,BPA,,C#10743,25,1/1/2002-4/6/2002,42.9,448835.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,7-22,PST,25,BPA-TEMU,,AEP,-E-,BPA,,C#10742,25,1/1/2002-4/6/2002,42.75,447576.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,7-22,PST,25,BPA-TEMU,,AEP,-E-,BPA,,C#10742,25,1/1/2002-4/6/2002,42.75,447576.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,7-22,PST,25,BPA-TEMU,,AEP,-E-,BPA,,C#24474,25,2/1/2002-2/28/2002,34.5,822090.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,7-22,PST,25,BPA-TEMU,,AEP,-E-,BPA,,C#24517,25,1/1/2002-3/31/2002,31.85,871641.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,7-22,PST,25,BPA-TEMU,,AEP,-E-,BPA,,C#10605,25,1/1/2002-3/31/2002,30.75,246561.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,7-22,PST,25,BPA-TEMU,,AEP,-E-,BPA,,C#10605,25,1/1/2002-3/31/2002,30.75,246561.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,7-22,PST,11,,,AVISTA,-E-,TO COB,,,0,,,,SEE COB SHEET,,,,,,,,,,,,,,,,,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,7-22,PST,8,,,AVISTA,-E-,TO MONTANA,,,0,,,,SEE MONTANA BELOW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-E-,AIRPROD,,THURS-MON ONLY,0,10/29/2001-4/6/2002,41.19,737863.1,40624,,P,PSEI LOAD THURS-MON,,,,,,,,,,,,,MID COLUMBIA,,,,,
,,,,,,,,,,,-E-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,449,,,,,16,,,433,,,,,,,,,,,,,,,,,,,,,,,,,
,MIDC LLH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,"1-6, 23-24",PST,25,AVISTA(G)CHELAN,,AVISTA,-E-,BPA,,C#10605-BPA(T)MIDC/BPAP #95363NF-BPA,25,1/1/2002-3/31/2002,30.75,246561.1,40631,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,"1-6, 23-24",PST,25,AVISTA(G)CHELAN,,AVISTA,-E-,BPA,,C#10605-BPA(T)MIDC/BPAP #95363NF-BPA,25,1/1/2002-3/31/2002,30.75,246561.1,40631,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,"1-6, 23-24",PST,25,AVISTA(G)CHELAN,,AVISTA,-E-,BPA,,C#10642-BPA(T)MIDC/BPAP #95363NF-BPA,25,11/1/2001-4/6/2002,30.65,281938.1,40623,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,"1-6, 23-24",PST,25,AVISTA(G)CHELAN,,AVISTA,-E-,BPA,,C#10642-BPA(T)MIDC/BPAP #95363NF-BPA,25,11/1/2001-4/6/2002,30.65,281938.1,40623,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,"1-6, 23-24",PST,13,AVISTA(G)CHELAN,,AVISTA,-E-,BPA,,C#42022-BPA(T)MIDC/BPAP #95363NF-BPA,13,2/1/2002-2/28/2002,47.5,664061.2,40630,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,"1-6, 23-24",PST,4,AVISTA(G)CHELAN,,AVISTA,-E-,INTELCOR,,,4,10/29/2001-4/6/2002,34.6,802102.1,40625,,P,PSEI LOAD,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,NW Delivered,445159.2,0,10/29/2001-4/6/2002,"1-6, 23-24",PST,0,BPA C#10440,,CLATSKANPE,-E-,MCMINNWATL,,BPA(T)BPAP/MCMN #96086NF-MCMN,3,1/1/2002-4/6/2002,23.7,199599.1,40626,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,"1-6, 23-24",PST,2,AVISTA(G)CHELAN,,AVISTA,-E-,MCMINNWATL,,BPA(T)MIDC/MCMN #96086NF-MCMN,2,1/1/2002-4/6/2002,23.7,199599.1,40627,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,"1-6, 23-24",PST,25,IDACORP-IPCO(T)IPCO/LOLO #108346NF-AVA(T)LOLO/MIDC #367901NF-IDACORP,,AEP,-E-,CRC,,EPME-MIRANT-RESI-AETS-AVISTA-PSPL,25,1/1/2002-4/6/2002,150,508906.1,AVISTA TAG,,P,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,"1-6, 23-24",PST,25,BPA-WESCO-IDACORP,,AEP,-E-,BPA,,C#10742,25,1/1/2002-4/6/2002,42.75,447576.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,"1-6, 23-24",PST,25,BPA-TEMU-CPS,,AEP,-E-,BPA,,C#10742,25,1/1/2002-4/6/2002,42.75,447576.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,"1-6, 23-24",PST,25,BPA-TEMU,,AEP,-E-,BPA,,C#42014,25,1/1/2002-4/6/2002,73,600522.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,"1-6, 23-24",PST,25,BPA,,AEP,-E-,BPA,,C#42013,25,1/1/2002-4/6/2002,72,600521.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,"1-6, 23-24",PST,25,BPA,,AEP,-E-,BPA,,C#42013,25,1/1/2002-4/6/2002,72,600521.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,"1-6, 23-24",PST,25,BPA,,AEP,-E-,BPA,,C#10743,25,1/1/2002-4/6/2002,42.9,448835.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897188.2,0,2/1/02-2/9/02,"1-6, 23-24",PST,25,BPA,,AEP,-E-,BPA,,C#10743,25,1/1/2002-4/6/2002,42.9,448835.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,798079.1,25.5,1/1/2002-3/31/2002,"1-6, 23-24",PST,25,C#22450,X,BPA,-E-,BPA,X,C#42014,25,1/1/2002-4/6/2002,73,600522.1,BOOKOUT,,N,,,,,,,,,,,,,,MID COLUMBIA,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,"1-6, 23-24",PST,11,,,AVISTA,-E-,TO COB,,,0,,,,SEE COB SHEET,,,,,,,,,,,,,,,,,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,"1-6, 23-24",PST,8,,,AVISTA,-E-,TO MONTANA,,,0,,,,SEE MONTANA BELOW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-E-,AIRPROD,,THURS-MON ONLY,0,10/29/2001-4/6/2002,41.19,737863.1,40624,,P,PSEI LOAD THURS-MON,,,,,,,,,,,,,MID COLUMBIA,,,,,
,,,,,,,,,,,-E-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,363,,,,,16,,,347,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTANA SYS HLH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,7-22,PST,0,AVISTA(G)CHELAN,,AVISTA,-E-SNPD(T)BPA(T)MIDC/MPCO #96092NF-E-,LOUISIANAP,X,,7,10/29/2001-4/6/2002,48,421598.1,40621,,P,,SNO(T),897192.1,BPA(T)MIDC/MPCO #96092NF,,,,,,,,,,Montana System Border,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,7-22,PST,0,AVISTA(G)CHELAN,,AVISTA,-E-SNPD(T)BPA(T)MIDC/MPCO #96092NF-E-,LOUISIANAP,X,,1,10/29/2001-2/28/2002,34.75,770040.1,40621,,P,,SNO(T),897192.1,BPA(T)MIDC/MPCO #96092NF,,,,,,,,,,Montana System Border,,,,,
,,,,,,,,,,,-E-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,-8,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
,MONTANA SYS LLH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,"1-6, 23-24",PST,0,AVISTA(G)CHELAN,,AVISTA,-E-SNPD(T)BPA(T)MIDC/MPCO #96092NF-E-,LOUISIANAP,X,,7,10/29/2001-4/6/2002,48,421598.1,40621,,P,,SNO(T),897192.1,BPA(T)MIDC/MPCO #96092NF,,,,,,,,,,Montana System Border,,,,,
DAY,MID COLUMBIA,897189.1,0,2/1/02-2/9/02,"1-6, 23-24",PST,0,AVISTA(G)CHELAN,,AVISTA,-E-SNPD(T)BPA(T)MIDC/MPCO #96092NF-E-,LOUISIANAP,X,,1,10/29/2001-2/28/2002,34.75,770040.1,40621,,P,,SNO(T),897192.1,BPA(T)MIDC/MPCO #96092NF,,,,,,,,,,Montana System Border,,,,,
,,,,,,,,,,,-E-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,-8,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7-22,PST,,,,,-E-,MID,,NO DELIVERY AS OF 2/01,7,10/29/2001-4/6/2002,19.3,3689.4,,,,,,,,,,,,,,,,,COB N/S,,,,,
,,,,,"1-6, 23-24",PST,,,,,-E-,MID,,NO DELIVERY AS OF 2/01,7,10/29/2001-4/6/2002,19.3,3689.4,,,,,,,,,,,,,,,,,COB N/S,,,,,
,,,,,7-22,PST,,,,,-E-,ASHGROVE,,NO DELIVERY AS OF 2/01,6,,,,,,P,,,,,,,,,,,,,,,,,,,
,,,,,"1-6, 23-24",PST,,,,,-E-,ASHGROVE,,NO DELIVERY AS OF 2/01,6,,,,,,P,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
