,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1992-02-01 00:00:00,,65,9.5,9,,,,,11,10,,12,18.5,23,,44,,,,9.5
1992-03-01 00:00:00,,65,9.5,9,,,,,11,10,,12,18.5,23,,44,,,,9.5
1992-04-01 00:00:00,,65,9.5,9,,,,,11,10,,12,18.5,23,,44,,,,9.5
1992-05-01 00:00:00,,65,9.5,9,,,,,11,10,,12,18.5,23,,44,,,,9.5
1992-06-01 00:00:00,,,9.5,9,,,,,11,10,,12,18,22,,42,,,,10
1992-07-01 00:00:00,,,9.5,9,,,,,11,10,,12,17,22,,42,,,,
1992-08-01 00:00:00,,,9.5,9,,,,,11,10,,13,18,21,,40,,,,
1992-09-01 00:00:00,,,9.5,9,,,,,11,10,,13,,25,,40,,,,
1992-10-01 00:00:00,,,13.5,13,,,,,16,14.5,,18,,27,,37,,,,14
1992-11-01 00:00:00,,,16.5,15.5,,,,,19.5,16,,24,,27,,37,,,,15
1992-12-01 00:00:00,,,16.5,15.5,,,,,19.5,16,,24,,27,,37,,,,15
1993-01-01 00:00:00,,,16.5,15.5,,,,,22,16,,24,,25,,35,,,,15.5
1993-02-01 00:00:00,,,16,15,,,,,23,16.5,,22.5,,25,,33.5,,,,15.5
1993-03-01 00:00:00,,65,16,15,,,,,24,18,,26.5,,25,,33.5,,,,18
1993-04-01 00:00:00,,65,16.5,16,,,,,23,21,,32,,26.5,,45,,,,18
1993-05-01 00:00:00,,65,19,18,,,,,22,23,,30,,31.5,,45,,,,18
1993-06-01 00:00:00,,65,19.5,18.5,,,,,24.5,23,,30,,31.5,,45,,,,18
1993-07-01 00:00:00,,65,22,18.5,,,,,24.5,23.5,,32,,31.5,,45,,,,18
1993-08-01 00:00:00,,65,21,19,,,,,26,23.5,,32,,33.5,,47,,,,18
1993-09-01 00:00:00,,65,21,20,,,,,26,30,,32,,33.5,,47,,,,20
1993-10-01 00:00:00,,65,23,22,,,,,27.5,30,,32,,33.5,,50,,,,20
1993-11-01 00:00:00,,65,22,20,,,,,26.5,30,,32,,33.5,,50,,,,20
1993-12-01 00:00:00,,65,22,21,,,,,26.5,28,,32.5,31,34.5,,56,,,,20
1994-01-01 00:00:00,,65,22,18,,,,,25,24.5,,32,31,33.5,,54,,,,20
1994-02-01 00:00:00,,65,18,17,,,,,25,24.5,,32,29,32.5,,50,,,,19
1994-03-01 00:00:00,,65,18,17,,,,,25,24.5,,26.5,28,31.5,,48,,,,17.5
1994-04-01 00:00:00,,65,18,17,,,,,25,24.5,,26.5,25,28,,44,,,,16.5
1994-05-01 00:00:00,,65,18.5,17,,,,,25,18,,26.5,24,27,,44,,,,16
1994-06-01 00:00:00,,65,18.5,17,,,,,25,17,,32,24,27,,45,,,,16.5
1994-07-01 00:00:00,,65,18.5,17,,,,,25,17.5,,32,24,27,,45,,,,16.5
1994-08-01 00:00:00,,65,17.5,17,,,,,25,18,,29,25,29,,45,,,,16.5
1994-09-01 00:00:00,,65,17,17,,,,,23,17.5,,29,24.5,27.5,,58,,,,16
1994-10-01 00:00:00,,65,17,16,,,,,23,17.5,,26.5,25,28.5,,58,,,,17
1994-11-01 00:00:00,,65,17,16,,,,,23,17.5,,31,25,42,,58,,,,17
1994-12-01 00:00:00,,82,17,15.5,,,,,23,17.5,,27.5,25,42,,59,,,,20
1995-01-01 00:00:00,,82,17.5,14,,,,,21,16,,26,25,42,,59,,,,20
1995-02-01 00:00:00,,85,17.5,14,,,,,20,16,,25,23,42,,60,,,,17
1995-03-01 00:00:00,,85,17.5,14,,,,,18.5,16,,27,23,42,,60,,,,15
1995-04-01 00:00:00,,85,17.5,14,,,,,18.5,16,,27,25,42,,62,,,,15
1995-05-01 00:00:00,,85,17.5,14,,,,,19,16,,27,28,44,,70,,,,16
1995-06-01 00:00:00,,85,17,15,,,,,19,17,,27,32,46,,74,,,,15
1995-07-01 00:00:00,,85,17.5,15.5,,,,,20,17,,27,32,46,,74,,,,15
1995-08-01 00:00:00,,95,17.5,15.5,,,,,20,17.5,,27,38,56,,80,,,,17
1995-09-01 00:00:00,,95,18.5,16,,,,,21.5,18,,29,39.5,59,,90,,,,16
1995-10-01 00:00:00,,95,18.5,17.5,,,,,23,18,,29,39.5,59,,90,,,,16
1995-11-01 00:00:00,,123,18.5,17.5,,,,,24,20,,32,50,68,,105,,,,18
1995-12-01 00:00:00,,125,19,17,,,,,24,21,,32,42,68,,110,,,,18
1996-01-01 00:00:00,,125,20,17,,,,,24,19.5,29,35,,,60,,68,110,,17
1996-02-01 00:00:00,,125,20,18,,,,,25,20,30,35,,,65,,68,117,,18.5
1996-03-01 00:00:00,,125,20,18,,,,,25,20,29,36,,,65,,68,117,,19
1996-04-01 00:00:00,,125,20.5,19,,,,,25,24,29.5,36,,,65,,68,117,,20
1996-05-01 00:00:00,,125,21,19,,,,,27,24,31,36,,,67,,68,125,,20.5
1996-06-01 00:00:00,,125,23,22,,,,,28,24,32,36,,,65,,68,125,,21.5
1996-07-01 00:00:00,,125,23,22,,,,,28.5,23,33,40,,,67,,100,117,,21.5
1996-08-01 00:00:00,,125,24,22,,,,,29,25,36,42,,,70,,100,125,,23
1996-09-01 00:00:00,,125,28,22,,,,,30,26,36,45,,,70,,100,125,,23
1996-10-01 00:00:00,,125,28,25,,,,,30,25,40,45,,,85,,120,126.5,,24
1996-11-01 00:00:00,,142,28,26.5,,,,,32,27,41.5,45,,,85,,120,145,,25
1996-12-01 00:00:00,,142,28.5,26.5,,,,,35,28.5,43,46,,,88,,120,145,,25
1997-01-01 00:00:00,,142,28,28,,,,,37,35,43,47,,,85,,120,145,,26
1997-02-01 00:00:00,,142,30,28,,,,,40,35,48,47,,,90,,120,145,,26
1997-03-01 00:00:00,,180,30,29,,,,,40,35,48,51,,,92.5,,120,145,,36.5
1997-04-01 00:00:00,,181.5,32.5,35,,,,,44,35,48,53,,,92.5,,120,145,,27
1997-05-01 00:00:00,,181.5,32,35,,,,,45,35,50,55,,,92.5,,120,175,,28
1997-06-01 00:00:00,,181.5,37.5,35,,,,,48,35,60,65,,,90,,120,175,,31
1997-07-01 00:00:00,,181.5,37.5,35,,,,,52.5,42,62.5,65,,,95,,120,175,,32
1997-08-01 00:00:00,,181.5,37.5,35,,,,,52.5,42,62.5,72.5,,,114,,130,175,185,33
1997-09-01 00:00:00,,181.5,37.5,35,,,,,53.5,45,62.5,75,,,114,,125,175,185,33
1997-10-01 00:00:00,,182,35,35,,,,,52,45,65,75,,,115,,125,175,185,33
1997-11-01 00:00:00,,182,36,37.5,,,,,52.5,45,65,75,,,110,,125,178,185,33
1997-12-01 00:00:00,,182,37,37.5,,,,,55,38,65.5,73,,,110,,125,178,185,33
1998-01-01 00:00:00,,182,42.75,41.5,,,,,55,42,65.5,73,,,110,,125,178,185,34
1998-02-01 00:00:00,,203.85,42.75,41.5,,,,,55,42,65.5,73,,,110,,125,189,183.5,35
1998-03-01 00:00:00,,205,42.75,41.5,,,,,55,42.5,65.5,73,,,110,,125,189,183.5,36
1998-04-01 00:00:00,,206.67,42,42.5,,,,,55,42,65,73,,,110,,160,189,183.5,36
1998-05-01 00:00:00,,206.67,42,42.5,,,,,55,45,65,72.5,,,112,,160,189.05,183.5,36
1998-06-01 00:00:00,,206.67,40.1,42.5,,,,,53,45,62,69.5,,,115,,160,189.04,183.5,36
1998-07-01 00:00:00,,206.67,40.1,35,,,,,49,45,56,69.5,,,115,,160,184.932,183.562,37
1998-08-01 00:00:00,,206.67,40,35,,,,,44.5,43.5,45,54,,,115,,160,184.932,183.562,37
1998-09-01 00:00:00,,206.67,37,32,,,,,40,40,39,45,,,115,,160,184.932,183.562,29
1998-10-01 00:00:00,,206.67,29.6,27,,,,,32,27.6,26.5,40,,,115,,160,184.932,183.562,29
1998-11-01 00:00:00,,206.67,29.6,27,,,,,33,27.6,23.5,32.5,,,115,,160,184.932,200.913,27.2
1998-12-01 00:00:00,,205.56,29.6,21,,,,,33,27.2,23.6,32.5,,,115,,160,184.932,200.913,29
1999-01-01 00:00:00,,205.56,20,21,,,,,25,26,23.6,28,,,50,,131.506,160,200.913,21.6
1999-02-01 00:00:00,,205.56,27,21,,,,,30,26,32,31,,,50,,131.506,160,200.913,21.6
1999-03-01 00:00:00,,205.56,27,15,,,,,30,23.5,32,31,,,58,,131.506,160,200.913,18.8
1999-04-01 00:00:00,,205.56,20,15,,,,,21,16,20,25,,,58,,131.506,160,200.913,
1999-05-01 00:00:00,,205.56,15.5,17,,,,,19,14.5,20,29,,,42,,131.506,160,200.913,
1999-06-01 00:00:00,,205.56,13.5,11.5,,,,,17,12,18,29,,,52,,131.506,160,200.913,11.5
1999-07-01 00:00:00,,205.56,16.1,,,,,,17,12,18,29,,,52,,45,65,200.913,
1999-08-01 00:00:00,,95,20,,,,,,20,20,17,25,,,37.5,,90,130,199.95,
1999-09-01 00:00:00,,,20,11,,,,,20,20,20.2,28.5,,,42.5,,,130,199.95,
1999-10-01 00:00:00,,,15,11,,,,,20.5,15,20.2,30,,,42.5,,,130,199.95,
1999-11-01 00:00:00,,,16.5,15,,,,,20,16,32,45,,,42.5,,,130,199.95,
1999-12-01 00:00:00,,,22,15,,,,,30,22,22,45,,,38,,,130,199.95,18
2000-01-01 00:00:00,,,24,17,,,,,30,22,33,50,,,65,,45,130,199.95,
2000-02-01 00:00:00,,,36,17,,,,,30,22,33,50,,,65,,45,152.9,,18
