,,,,,,,,,,
,,,,,,,,,,
per,hp date,gas start,gas end,days,Year,,disc gas val,disc net m-m,disc basis,disc xport
31,2002-11-01 00:00:00,2003-01-01 00:00:00,2003-01-31 00:00:00,31,2.9166666666666665,,23745.67349123479,569.6741249022751,0,4778.638035171602
32,2002-12-01 00:00:00,2003-02-01 00:00:00,2003-02-28 00:00:00,28,2.9916666666666667,,21294.93790228072,510.87938688317377,0,4285.445946775056
33,2003-01-01 00:00:00,2003-03-01 00:00:00,2003-03-31 00:00:00,31,3.0833333333333335,,23371.452878079035,560.696329414664,0,4703.328953867531
34,2003-02-01 00:00:00,2003-04-01 00:00:00,2003-04-30 00:00:00,30,3.1638888888888888,,22444.547863210428,538.4592762770591,0,4516.796297268954
35,2003-03-01 00:00:00,2003-05-01 00:00:00,2003-05-31 00:00:00,31,3.25,,23003.129805263092,551.8600197490235,0,4629.206708160782
36,2003-04-01 00:00:00,2003-06-01 00:00:00,2003-06-30 00:00:00,30,3.3305555555555557,,22090.83237619867,529.9734120794323,0,4445.613718240924
37,2003-05-01 00:00:00,2003-07-01 00:00:00,2003-07-31 00:00:00,31,3.4166666666666665,,22640.611330333144,543.1629661555402,0,4556.252594082185
38,2003-06-01 00:00:00,2003-08-01 00:00:00,2003-08-31 00:00:00,31,3.5,,22461.500173704182,538.8659732127836,0,4520.207822140607
39,2003-07-01 00:00:00,2003-09-01 00:00:00,2003-09-30 00:00:00,30,3.5805555555555557,,21570.68361809304,517.4947056446703,0,4340.937696297459
40,2003-08-01 00:00:00,2003-10-01 00:00:00,2003-10-31 00:00:00,31,3.6666666666666665,,22107.517526275613,530.3736996632927,0,4448.971479089848
41,2003-09-01 00:00:00,2003-11-01 00:00:00,2003-11-30 00:00:00,30,3.7472222222222222,,21230.739819374034,509.3392331910171,0,4272.526565866519
42,2003-10-01 00:00:00,2003-12-01 00:00:00,2003-12-31 00:00:00,31,3.8333333333333335,,21759.113478393447,522.0152603390534,0,4378.857787202692
43,2003-11-01 00:00:00,2004-01-01 00:00:00,2004-01-31 00:00:00,31,3.9166666666666665,,21586.975901122532,517.8855680929773,0,4344.216395610546
44,2003-12-01 00:00:00,2004-02-01 00:00:00,2004-02-29 00:00:00,29,3.9944444444444445,,20045.12088601739,480.8954651683149,0,4033.929680743468
45,2004-01-01 00:00:00,2004-03-01 00:00:00,2004-03-31 00:00:00,31,4.083333333333333,,21246.77534370821,509.7239358315126,0,4275.753594425028
46,2004-02-01 00:00:00,2004-04-01 00:00:00,2004-04-30 00:00:00,30,4.163888888888889,,20404.13442110039,489.5084329791446,0,4106.178452062685
47,2004-03-01 00:00:00,2004-05-01 00:00:00,2004-05-31 00:00:00,31,4.25,,20911.936186602812,501.6909270445669,0,4208.36973469162
48,2004-04-01 00:00:00,2004-06-01 00:00:00,2004-06-30 00:00:00,30,4.330555555555556,,20082.574887453335,481.79401098130205,0,4041.4670165826574
49,2004-05-01 00:00:00,2004-07-01 00:00:00,2004-07-31 00:00:00,31,4.416666666666667,,20582.373936666492,493.78451468685466,0,4142.047812801986
50,2004-06-01 00:00:00,2004-08-01 00:00:00,2004-08-31 00:00:00,31,4.5,,20419.545612458343,489.87815746616684,0,4109.279838309642
51,2004-07-01 00:00:00,2004-09-01 00:00:00,2004-09-30 00:00:00,30,4.580555555555556,,19609.71238008458,470.4497324042456,0,3946.306996634053
52,2004-08-01 00:00:00,2004-10-01 00:00:00,2004-10-31 00:00:00,31,4.666666666666667,,20097.7432057051,482.15790878481147,0,4044.5195264453164
53,2004-09-01 00:00:00,2004-11-01 00:00:00,2004-11-30 00:00:00,30,4.747222222222222,,19300.672563067303,463.0356665372883,0,3884.115059878654
54,2004-10-01 00:00:00,2004-12-01 00:00:00,2004-12-31 00:00:00,31,4.833333333333333,,19781.01225308495,474.5593275809576,0,3980.779806547901
55,2004-11-01 00:00:00,2005-01-01 00:00:00,2005-01-31 00:00:00,31,4.916666666666667,,19624.523546475026,470.80506190270665,0,3949.287632373224
56,2004-12-01 00:00:00,2005-02-01 00:00:00,2005-02-28 00:00:00,28,4.991666666666666,,17599.12223328985,422.21436932493697,0,3541.690865103352
57,2005-01-01 00:00:00,2005-03-01 00:00:00,2005-03-31 00:00:00,31,5.083333333333333,,19315.25031246201,463.385396210466,0,3887.0487222045704
58,2005-02-01 00:00:00,2005-04-01 00:00:00,2005-04-30 00:00:00,30,5.163888888888889,,18549.21311009126,445.0076663446768,0,3732.889501875168
59,2005-03-01 00:00:00,2005-05-01 00:00:00,2005-05-31 00:00:00,31,5.25,,19010.85107872983,456.08266094960624,0,3825.7906679014723
60,2005-04-01 00:00:00,2005-06-01 00:00:00,2005-06-30 00:00:00,30,5.330555555555556,,18256.88626132121,437.99455543754726,0,3674.0609241660522
61,2005-05-01 00:00:00,2005-07-01 00:00:00,2005-07-31 00:00:00,31,5.416666666666667,,18711.249033333173,448.89501335168603,0,3765.498011638169
62,2005-06-01 00:00:00,2005-08-01 00:00:00,2005-08-31 00:00:00,31,5.5,,18563.22328405304,445.34377951469713,0,3735.7089439178567
63,2005-07-01 00:00:00,2005-09-01 00:00:00,2005-09-30 00:00:00,30,5.580555555555556,,17827.011254622346,427.68157491295057,0,3587.5518151218666
64,2005-08-01 00:00:00,2005-10-01 00:00:00,2005-10-31 00:00:00,31,5.666666666666667,,18270.67564155009,438.32537162255585,0,3676.8359331321058
65,2005-09-01 00:00:00,2005-11-01 00:00:00,2005-11-30 00:00:00,30,5.747222222222222,,17546.06596642482,420.9415150338984,0,3531.013690798776
66,2005-10-01 00:00:00,2005-12-01 00:00:00,2005-12-31 00:00:00,31,5.833333333333333,,17982.738411895407,431.41757052814324,0,3618.8907332253643
67,2005-11-01 00:00:00,2006-01-01 00:00:00,2006-01-31 00:00:00,31,5.916666666666667,,17840.475951340934,428.0046017297333,0,3590.2614839756575
68,2005-12-01 00:00:00,2006-02-01 00:00:00,2006-02-28 00:00:00,28,5.991666666666666,,15999.2020302635,383.83124484085175,0,3219.7189682757744
69,2006-01-01 00:00:00,2006-03-01 00:00:00,2006-03-31 00:00:00,31,6.083333333333333,,17559.318465874552,421.2594511004236,0,3533.680656549609
70,2006-02-01 00:00:00,2006-04-01 00:00:00,2006-04-30 00:00:00,30,6.163888888888889,,16862.921009173875,404.5524239497062,0,3393.5359107956074
71,2006-03-01 00:00:00,2006-05-01 00:00:00,2006-05-31 00:00:00,31,6.25,,17282.59188975439,414.62060086327836,0,3477.991516274066
72,2006-04-01 00:00:00,2006-06-01 00:00:00,2006-06-30 00:00:00,30,6.330555555555556,,16597.16932847383,398.1768685795884,0,3340.0553856055017
73,2006-05-01 00:00:00,2006-07-01 00:00:00,2006-07-31 00:00:00,31,6.416666666666667,,17010.226393939247,408.08637577426,0,3423.180010580153
74,2006-06-01 00:00:00,2006-08-01 00:00:00,2006-08-31 00:00:00,31,6.5,,16875.65753095731,404.8579813769974,0,3396.0990399253237
75,2006-07-01 00:00:00,2006-09-01 00:00:00,2006-09-30 00:00:00,30,6.580555555555556,,16206.373867838494,388.8014317390459,0,3261.410741019878
76,2006-08-01 00:00:00,2006-10-01 00:00:00,2006-10-31 00:00:00,31,6.666666666666667,,16609.705128681897,398.4776105659598,0,3342.5781210291866
77,2006-09-01 00:00:00,2006-11-01 00:00:00,2006-11-30 00:00:00,30,6.747222222222222,,15950.969060386198,382.6741045762713,0,3210.0124461807054
78,2006-10-01 00:00:00,2006-12-01 00:00:00,2006-12-31 00:00:00,31,6.833333333333333,,16347.944010814006,392.1977913892211,0,3289.900666568513
79,2006-11-01 00:00:00,2007-01-01 00:00:00,2007-01-31 00:00:00,31,6.916666666666667,,16218.614501219028,389.09509248157565,0,3263.8740763415067
80,2006-12-01 00:00:00,2007-02-01 00:00:00,2007-02-28 00:00:00,28,6.991666666666666,,14544.72911842136,348.9374953098652,0,2927.0172438870673
81,2007-01-01 00:00:00,2007-03-01 00:00:00,2007-03-31 00:00:00,31,7.083333333333333,,15963.016787158682,382.9631373640214,0,3212.4369604996446
82,2007-02-01 00:00:00,2007-04-01 00:00:00,2007-04-30 00:00:00,30,7.163888888888889,,15329.928190158063,367.77493086336926,0,3085.0326461778245
83,2007-03-01 00:00:00,2007-05-01 00:00:00,2007-05-31 00:00:00,31,7.25,,15711.447172503988,376.92781896661666,0,3161.810469340059
84,2007-04-01 00:00:00,2007-06-01 00:00:00,2007-06-30 00:00:00,30,7.330555555555556,,15088.335753158024,361.9789714359894,0,3036.413986914092
85,2007-05-01 00:00:00,2007-07-01 00:00:00,2007-07-31 00:00:00,31,7.416666666666667,,15463.842176308406,370.98761434023635,0,3111.981827800139
86,2007-06-01 00:00:00,2007-08-01 00:00:00,2007-08-31 00:00:00,31,7.5,,15341.506846324823,368.0527103427248,0,3087.3627635684757
87,2007-07-01 00:00:00,2007-09-01 00:00:00,2007-09-30 00:00:00,30,7.580555555555556,,14733.067152580448,353.4558470354963,0,2964.9188554726165
88,2007-08-01 00:00:00,2007-10-01 00:00:00,2007-10-31 00:00:00,31,7.666666666666667,,15099.73193516536,362.25237324178164,0,3038.7073827538056
89,2007-09-01 00:00:00,2007-11-01 00:00:00,2007-11-30 00:00:00,30,7.747222222222222,,14500.88096398745,347.885549614792,0,2918.19313289155
90,2007-10-01 00:00:00,2007-12-01 00:00:00,2007-12-31 00:00:00,31,7.833333333333333,,14861.767282558183,356.5434467174736,0,2990.8187877895566
91,2007-11-01 00:00:00,2008-01-01 00:00:00,2008-01-31 00:00:00,31,7.916666666666667,,14744.195001108206,353.72281134688694,0,2967.1582512195514
92,2007-12-01 00:00:00,2008-02-01 00:00:00,2008-02-29 00:00:00,29,7.9944444444444445,,13691.08727956928,328.45807333400364,0,2755.2282499443118
93,2008-01-01 00:00:00,2008-03-01 00:00:00,2008-03-31 00:00:00,31,8.083333333333334,,14511.833442871526,348.14830669456484,0,2920.397236817858
94,2008-02-01 00:00:00,2008-04-01 00:00:00,2008-04-30 00:00:00,30,8.16388888888889,,13936.298354689148,334.3408462394266,0,2804.5751328889314
95,2008-03-01 00:00:00,2008-05-01 00:00:00,2008-05-31 00:00:00,31,8.25,,14283.133793185441,342.6616536060151,0,2874.3731539455084
96,2008-04-01 00:00:00,2008-06-01 00:00:00,2008-06-30 00:00:00,30,8.330555555555556,,13716.668866507296,329.07179221453583,0,2760.376351740084
97,2008-05-01 00:00:00,2008-07-01 00:00:00,2008-07-31 00:00:00,31,8.416666666666666,,14058.03834209855,337.26146758203305,0,2829.0743889092173
98,2008-06-01 00:00:00,2008-08-01 00:00:00,2008-08-31 00:00:00,31,8.5,,13946.824405749838,334.5933730388407,0,2806.6934214258868
99,2008-07-01 00:00:00,2008-09-01 00:00:00,2008-09-30 00:00:00,30,8.580555555555556,,13393.69741143677,321.3234973049966,0,2695.3807777023785
100,2008-08-01 00:00:00,2008-10-01 00:00:00,2008-10-31 00:00:00,31,8.666666666666666,,13727.029031968508,329.32033931071055,0,2762.461257048914
101,2008-09-01 00:00:00,2008-11-01 00:00:00,2008-11-30 00:00:00,30,8.747222222222222,,13182.61905817041,316.25959055890183,0,2652.902848083227
102,2008-10-01 00:00:00,2008-12-01 00:00:00,2008-12-31 00:00:00,31,8.833333333333334,,13510.697529598348,324.1304061067942,0,2718.926170717779
103,2008-11-01 00:00:00,2009-01-01 00:00:00,2009-01-31 00:00:00,31,8.916666666666666,,13403.813637371097,321.56619213353355,0,2697.416592017774
104,2008-12-01 00:00:00,2009-02-01 00:00:00,2009-02-28 00:00:00,28,8.991666666666667,,12020.437287951538,288.37809529740923,0,2419.022515609146
105,2009-01-01 00:00:00,2009-03-01 00:00:00,2009-03-31 00:00:00,31,9.083333333333334,,13192.575857155933,316.4984606314226,0,2654.9065789253254
106,2009-02-01 00:00:00,2009-04-01 00:00:00,2009-04-30 00:00:00,30,9.16388888888889,,12669.362140626496,303.9462238540241,0,2549.613757171755
107,2009-03-01 00:00:00,2009-05-01 00:00:00,2009-05-31 00:00:00,31,9.25,,12984.667084714038,311.5105941872864,0,2613.0665035868255
108,2009-04-01 00:00:00,2009-06-01 00:00:00,2009-06-30 00:00:00,30,9.330555555555556,,12469.698969552084,299.1561747404871,0,2509.4330470364393
109,2009-05-01 00:00:00,2009-07-01 00:00:00,2009-07-31 00:00:00,31,9.416666666666666,,12780.034856453227,306.60133416548456,0,2571.885808099288
110,2009-06-01 00:00:00,2009-08-01 00:00:00,2009-08-31 00:00:00,31,9.5,,12678.931277954398,304.1757936716734,0,2551.5394740235333
111,2009-07-01 00:00:00,2009-09-01 00:00:00,2009-09-30 00:00:00,30,9.580555555555556,,12176.08855585161,292.1122702772696,0,2450.3461615476167
112,2009-08-01 00:00:00,2009-10-01 00:00:00,2009-10-31 00:00:00,31,9.666666666666666,,12479.117301789554,299.3821266461005,0,2511.328415499013
113,2009-09-01 00:00:00,2009-11-01 00:00:00,2009-11-30 00:00:00,30,9.747222222222222,,11984.19914379128,287.5087186899107,0,2411.7298618938426
114,2009-10-01 00:00:00,2009-12-01 00:00:00,2009-12-31 00:00:00,31,9.833333333333334,,12282.45229963486,294.6640055516311,0,2471.751064288889
115,2009-11-01 00:00:00,2010-01-01 00:00:00,2010-01-31 00:00:00,31,9.916666666666666,,12185.285124882816,292.332901939576,0,2452.19690183434
116,2009-12-01 00:00:00,2010-02-01 00:00:00,2010-02-28 00:00:00,28,9.991666666666667,,10927.670261774121,262.1619048158265,0,2199.1113778264958
117,2010-01-01 00:00:00,2010-03-01 00:00:00,2010-03-31 00:00:00,31,10.083333333333334,,11993.250779232663,287.72587330129323,0,2413.551435386659
118,2010-02-01 00:00:00,2010-04-01 00:00:00,2010-04-30 00:00:00,30,10.16388888888889,,11517.601946024088,276.3147489582037,0,2317.830688337959
119,2010-03-01 00:00:00,2010-05-01 00:00:00,2010-05-31 00:00:00,31,10.25,,11804.242804285486,283.19144926116945,0,2375.5150032607503
120,2010-04-01 00:00:00,2010-06-01 00:00:00,2010-06-30 00:00:00,30,10.330555555555556,,11336.089972320076,271.9601588549882,0,2281.3027700331263
,,,,,,,,,,
,,,,,NPV,,2298454.1932197134,55141.40846052365,0,462546.6038633817
