TEXAS,Texas Utilities Fuel Co.,South Bryson,Jack,5500,,5677,,4762,,4898,,5659,,6156,,5892,5745,5160,4969,4332,,4119,4578,5034,5490,6077,5654,5751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Texas Utilities Fuel Co.,Worsham-Steed,Jack,46,,2431,,2217,,1963,,1746,,1542,,1379,1314,1236,1172,1111,,984,934,860,820,750,705,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Lone Star Gas Company,Leeray,Stephens,4775,,1469,,1453,,1447,,1447,,1447,,1447,1447,1447,1447,1447,,1447,1447,1447,1440,1447,1447,1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Tristar Gas Co.,Pottsville,Hamilton,513,,2862,,2831,,2803,,2781,,2746,,883,2698,851,2665,819,,788,2604,758,2570,730,2546,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEXAS,Western Gas Resources Storage,Katy Hub,Ft. Bend,18500,,3678,,2505,,6301,,9482,,13069,,13254,13093,10289,11008,10721,,10658,11054,12363,11880,11088,9331,7105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,257098,0,92230,0,74150,0,94858,0,114158,0,137974,0,151518,156970,149685,157791,162731,0,180729,190350,204211,197209,179434,152338,127480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPERATING COMPANY,FIELD,COUNTY,WORKING TOP GAS,RRC 1/15/98,RRC 1/31/98,RRC 2/15/98,RRC 2/28/98,RRC 3/15/98,RRC 3/31/98,RRC 4/15/98,RRC 4/30/98,RRC 5/15/98,RRC 5/31/98,RRC 6/15/98,RRC 6/30/98,RRC 7/15/98,RRC 7/31/98,RRC 8/15/98,RRC 8/31/98,RRC 9/15/98,RRC 9/30/98,RRC 10/15/98,RRC 10/31/98,RRC 11/15/98,RRC 11/30/98,RRC 12/15/98,RRC 12/31/98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"American Gas Storage, L. P.",Felmac,Gaines,5500,1967,1903,1714,1734,1611,1608,1737,2003,2178,2208,2221,2261,2317,2170,2178,2365,2491,2563,2568,2681,2662,2579,2613,2564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"American Gas Storage, L. P.",Loop Field,Gaines,8000,4284,3853,3602,3952,3649,4122,4585,5307,5571,5486,5377,5551,5623,5101,5108,5708,6038,6296,6352,6571,6633,6461,6296,6039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City of Brady,Janellen,Brown,100,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,El Paso Field Services,Rotherwood,Harris,1000,1266,1168,1168,1178,1176,1216,1249,1296,1296,1296,1302,1299,1299,1300,1300,1300,1300,1300,1300,1314,1285,1314,1398,1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Houston Pipe Line Co.,Bammel,Harris,45000,14471,7885,10749,14089,14639,19850,24322,28459,32701,36857,39183,41072,43030,43798,45746,44843,46079,47781,50226,51838,51847,51605,47333,41799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delhi Gas Pipeline Corp.,Pickton,Hopkins,766,1290,1262,80,1173,1185,1090,1049,1016,971,932,987,1016,987,787,766,741,721,671,654,616,588,567,537,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Ambassador,Clay,80,80,80,1213,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Hill,Eastland,8615,6119,5799,5594,5488,5338,5325,5325,2325,5325,5404,5406,5405,5548,5906,5955,6033,6150,6403,6567,6845,6618,6639,6565,5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,La Pan,Clay,3425,3231,2856,2693,2693,2350,2441,2626,2944,3114,3180,3234,3235,3404,3554,3554,3795,3859,3653,3897,3650,3605,3669,3622,3126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Lake Dallas,Denton,2825,4087,4002,3989,4017,3772,3770,3845,3921,3986,3979,3974,3972,3966,3991,4009,4023,4037,4059,4152,4225,4217,4280,4261,3960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,New York City,Clay,5290,4705,4068,3928,3947,3748,3939,4058,4208,4312,4518,4595,4660,4660,4946,5373,5215,5215,5868,5900,6375,6140,6145,6010,4744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Pecan Station,Tom Green,1310,637,636,636,635,635,634,634,633,633,625,632,624,631,624,630,629,629,622,628,621,627,620,626,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Tri-Cities (Bacon),Henderson,18453,13580,12234,12027,12239,11750,11496,11849,12890,13327,14354,14215,14867,15249,16449,16283,16270,16636,17347,17312,17936,16845,17379,16593,14094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Tri-Cities (Rodessa),Henderson,6900,2141,2129,2122,2108,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower Colorado River Authority,Hillbig,Bastrop,3000,1482,1362,1377,1342,1258,1105,1185,1221,1353,1459,1634,1338,1372,1291,1496,2140,2750,3151,3145,3651,3460,3763,3693,3365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Natural Gas Pipeline,North Lansing,Harrison,69000,24176,22320,22214,22387,23363,26642,32094,37255,42069,46841,52080,57002,61654,65753,69303,71761,72577,72533,74102,76491,76708,77700,79186,71415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southwestern Gas Pipeline Inc.,Lone Camp,Palo Pinto,500,309,318,240,211,226,362,487,573,622,561,573,556,573,413,508,285,298,208,352,489,629,502,609,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tejas Gas Pipeline Co.,West Clear Lake,Harris,48000,14416,11448,14581,17351,18508,21371,23395,26396,29479,32271,35185,38067,40138,42676,45417,48582,51331,49956,52000,55099,53032,53573,54851,46778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,South Bryson,Jack,5500,5802,5840,5541,5126,4715,4625,4861,5272,5322,5407,5616,5200,4976,4791,4683,4401,4275,4523,4923,5321,5758,6166,6128,5865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,Worsham-Steed,Jack,46,631,576,559,506,464,411,372,319,288,236,211,160,127,72,46,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Gas Company,Leeray,Stephens,4775,1447,1447,1447,1447,1447,1447,1447,1447,1447,1421,1421,1393,1393,1366,1366,1338,1338,1312,1312,1290,1290,1269,1269,1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tristar Gas Co.,Pottsville,Hamilton,513,2518,674,2491,649,2467,623,2442,599,2417,573,2392,550,538,525,513,501,490,479,467,455,444,433,422,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western Gas Resources Storage,Katy Hub,Ft. Bend,18500,6619,7145,7993,9129,8431,9594,12267,14683,16475,17781,18058,17971,18044,16313,16095,16104,16407,17744,19650,20577,19650,20960,20318,16741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,257098,115287,99034,105987,111510,112941,123880,142038,154976,175095,187598,200505,208408,217738,224035,232538,238243,244830,248678,257716,268254,264247,267833,264539,233142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6953,5523,1431,10939,18158,12938,20119,12503,12907,7903,9330,6297,8503,5705,6587,3848,9038,10538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,601.4095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPERATING COMPANY,FIELD,COUNTY,WORKING TOP GAS,RRC 1/15/99,RRC 1/31/99,RRC 2/15/99,RRC 2/28/99,RRC 3/15/99,RRC 3/31/99,RRC 4/15/99,RRC 4/30/99,RRC 5/15/99,RRC 5/31/99,RRC 6/15/99,RRC 6/30/99,RRC 7/15/99,RRC 7/31/99,RRC 8/15/99,RRC 8/31/99,RRC 9/15/99,RRC 9/30/99,RRC 10/15/99,RRC 10/31/99,RRC 11/15/99,RRC 11/30/99,RRC 12/15/99,RRC 12/31/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"American Gas Storage, L. P.",Felmac,Gaines,5500,2270,2153,2055,1887,1834,1832,1758,1735,1773,1735,1772,2118,2216,2054,1973,1972,1900,1892,1897,1831,1831,1892,1872,1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"American Gas Storage, L. P.",Loop Field,Gaines,8000,5242,5057,4878,4710,4201,3916,3792,3836,4078,3836,4078,5098,5325,4946,4720,4718,4605,4596,4444,4229,4527,4484,4373,4284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City of Brady,Janellen,Brown,100,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,El Paso Field Services,Rotherwood,Harris,1000,1306,1358,1358,1347,1323,1306,1306,1306,1311,1266,1266,1247,1247,1247,1247,1247,1247,1247,1247,1247,1247,719,719,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Houston Pipe Line Co.,Bammel,Harris,45000,36005,35871,37451,39454,38175,35745,37778,40179,42880,44120,45811,46546,46272,46301,47713,48416,49294,49618,51148,51902,51833,50865,49682,42191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delhi Gas Pipeline Corp.,Pickton,Hopkins,766,481,458,428,402,372,345,315,259,259,289,259,185,155,139,109,93,63,63,33,28,13,28,13,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Ambassador,Clay,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Hill,Eastland,8615,5559,5090,4976,4863,4831,4775,4771,4770,4790,5058,5380,5866,6192,6501,6559,6776,6834,7238,7298,7076,7062,7077,6799,6071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,La Pan,Clay,3425,2698,1987,1893,1714,1645,1548,1635,1682,2027,2604,2767,3163,3198,3163,3241,3302,3303,3289,3469,3531,3556,3560,3527,3412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Lake Dallas,Denton,2825,3871,3975,4006,3950,3710,3340,3315,3236,3354,3474,3569,3646,3646,3647,3663,3727,3821,3982,3997,3996,3996,4204,4105,4082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,New York City,Clay,5290,4408,3849,3712,3554,3487,3537,3537,3550,3685,3995,4210,4554,4807,4899,4913,5036,5036,5687,5786,5694,5760,6137,5620,2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Pecan Station,Tom Green,1310,620,572,561,629,561,548,555,547,554,625,546,624,545,624,544,544,544,622,543,621,542,541,541,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Tri-Cities (Bacon),Henderson,18453,13104,10883,10282,9932,10147,10482,10724,10713,11331,12420,12927,13643,13981,14421,14494,14948,15528,15783,16011,15725,16144,16698,15936,13273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Tri-Cities (Rodessa),Henderson,6900,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lower Colorado River Authority,Hillbig,Bastrop,3000,3325,3477,3475,3431,3091,3105,3030,2681,2652,2503,2200,2985,3119,3214,2912,2798,2732,3075,3531,4265,4676,5093,5015,3788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Natural Gas Pipeline,North Lansing,Harrison,69000,62754,59289,58726,55887,53028,44334,45974,45204,49569,51584,53092,58402,62820,64395,63295,64664,65522,69767,71293,71851,65366,65084,64222,62102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
