Day EndingVolume,,,,,,,,,,,
,,,Blanco - Norhtwest Pipeline,,,TransColorado I/C,,,Bloomfield Fuel,,
,,2001-07-10,1018.1553,1027.952,991.7718000000001,1026.1366,1031.6470000000002,1009.796,1016.1889000000001,1023.0210000000001,1004.215
,,2001-07-11,1030.5944,1045.8780000000002,1013.475,1025.5748,1031.865,1019.95,1021.1908000000001,1034.662,1014.094
,,2001-07-12,1019.1120000000001,1031.4840000000002,1010.493,1029.2075,1035.0710000000001,1023.4590000000001,1012.3367000000001,1016.941,1008.182
,,2001-07-13,1013.3228,1019.8140000000001,1003.1560000000001,1030.3707,1035.133,1023.39,1008.7645,1013.678,1002.24
,,2001-07-14,1011.4075,1025.199,1003.846,1025.6416000000002,1033.588,1021.1070000000001,1009.6459000000001,1014.1320000000001,1007.225
,,2001-07-15,1007.7133,1012.155,1003.806,1024.5815,1031.622,1018.248,1008.7079,1011.873,1005.4490000000001
,,2001-07-16,1005.4522000000001,1010.053,1001.749,1024.7646,1029.0610000000001,1020.589,1008.0057,1014.27,1002.8770000000001
,,2001-07-17,1015.0638,1028.674,1003.1990000000001,1022.6821000000001,1028.026,1016.59,1011.5343,1016.5340000000001,1005.897
,,2001-07-18,1015.0822000000001,1026.044,1007.59,1026.6914000000002,1033.624,1017.634,1014.8031000000001,1019.89,1012.0020000000001
,,2001-07-19,1016.9720000000001,1030.556,1008.634,1025.3605,1031.0610000000001,1013.378,1014.6617,1021.748,1008.1
,,2001-07-20,1015.3876,1031.527,1005.518,1031.1981,1041.973,994.8744,1012.1,1018.3470000000001,1005.355
,,2001-07-21,1007.8466000000001,1012.282,1000.7120000000001,1037.2173,1057.467,1004.275,1007.9202,1010.9480000000001,1005.013
,,2001-07-22,1007.3819000000001,1010.231,1002.298,1039.3226,1056.685,1022.022,1009.5486000000001,1012.782,1006.8820000000001
,,2001-07-23,1006.6804000000001,1016.802,1004.446,1030.9668000000001,1042.9560000000001,1022.532,1009.5307,1014.613,1007.796
,,2001-07-24,1008.11,1011.317,1002.8090000000001,1031.0547000000001,1044.027,1025.579,1009.6326,1012.796,1007.37
,,2001-07-25,1005.7333000000001,1010.724,991.3642000000001,1035.3088,1048.95,1005.686,1006.2153000000001,1010.067,1000.981
,,2001-07-26,1006.4693000000001,1011.5840000000001,1000.426,1034.4652,1039.002,1029.3220000000001,1007.8313,1010.4010000000001,1004.7410000000001
,,2001-07-27,1005.075,1007.686,1002.165,1034.1315,1040.827,1028.83,1008.8447000000001,1011.267,1006.0630000000001
,,2001-07-28,1008.5851,1014.045,1003.1030000000001,1036.7428,1044.12,1032.6970000000001,1009.1504000000001,1013.4630000000001,1005.36
,,2001-07-29,1010.5690000000001,1014.115,1006.066,1037.9175,1046.778,1035.059,1012.4803,1017.061,1008.2510000000001
,,2001-07-30,1006.7083,1012.405,1001.724,1039.6376,1045.0810000000001,1035.6770000000001,1007.9155000000001,1011.545,1005.283
,,2001-07-31,1007.0886,1015.5390000000001,1001.993,1036.8541,1046.333,1031.54,1009.6963000000001,1012.5120000000001,1005.552
,,2001-08-01,1011.4444000000001,1015.178,1006.8190000000001,1031.8992,1038.431,1027.277,1009.1246000000001,1012.7370000000001,1005.53
,,2001-08-02,1006.7582000000001,1014.2180000000001,1000.9670000000001,1033.0487,1037.5030000000002,1029.5030000000002,1006.7907,1012.493,1001.5880000000001
,,2001-08-03,1013.7612,1021.359,1002.839,1031.3831,1037.526,1028.058,1008.3807,1014.1160000000001,1003.648
,,2001-08-04,1010.9819,1013.282,1008.3230000000001,1032.7341000000001,1037.101,1029.7340000000002,1008.8959000000001,1010.7090000000001,1006.418
,,2001-08-05,1010.3427,1016.7120000000001,999.7994,1033.5565000000001,1039.443,1027.211,1007.8113000000001,1010.9060000000001,1003.275
,,2001-08-06,1010.2137,1013.594,1007.7320000000001,1032.1393,1037.915,1027.7820000000002,1006.4931,1009.075,1004.5970000000001
,,2001-08-07,1011.3925,1015.779,1007.589,1030.8027,1035.973,1024.8890000000001,1007.7984,1019.844,992.5479
,,2001-08-08,1012.2371,1015.4670000000001,1009.4390000000001,1034.0657,1039.828,1027.805,1007.4472000000001,1009.2610000000001,1005.653
,,2001-08-09,1016.1599,1028.557,1010.582,1032.7939000000001,1039.538,1029.27,1008.2755000000001,1013.8040000000001,1005.785
,,2001-08-10,1011.8642000000001,1017.702,1009.995,1032.641,1054.146,1022.78,1008.8869000000001,1011.743,1005.644
,,2001-08-11,1010.7298000000001,1013.0260000000001,1008.9340000000001,1031.1052,1038.2730000000001,1025.527,1007.1016000000001,1011.3370000000001,1005.2120000000001
,,2001-08-12,1008.8409,1011.072,1006.3140000000001,1031.2366,1034.07,1028.199,1005.7659000000001,1007.0020000000001,1004.1120000000001
,,2001-08-13,1010.2114,1013.1320000000001,1006.6940000000001,1030.8722,1034.659,1023.6510000000001,1006.4836,1007.643,1004.4390000000001
,,2001-08-14,1010.498,1012.167,1008.702,1033.0574000000001,1038.625,1026.528,1006.0516,1008.066,1004.01
,,2001-08-15,1012.1663000000001,1014.565,1009.0490000000001,1035.1853,1049.611,1024.195,1007.5057,1009.308,1005.399
,,2001-08-16,1012.1395,1015.522,1009.4960000000001,1031.0742,1039.4260000000002,1022.529,1008.0479,1009.509,1004.321
,,2001-08-17,1012.7574000000001,1015.59,1010.306,1031.7949,1035.857,1026.8590000000002,1008.5757000000001,1011.283,1007.4010000000001
,,2001-08-18,1015.2184000000001,1017.373,1011.7370000000001,1031.2893000000001,1037.194,1026.739,1008.1816,1009.383,1006.8530000000001
,,2001-08-19,1013.8745,1017.3480000000001,1008.336,1030.7919,1035.612,1027.487,1010.5181,1013.9720000000001,1007.005
,,2001-08-20,1012.639,1017.947,1009.145,1031.5149000000001,1036.107,1026.8970000000002,1008.215,1014.4770000000001,1003.836
,,2001-08-21,1008.051,1013.787,1000.5490000000001,1030.2206,1036.303,1022.883,1005.6053,1009.759,1002.581
,,2001-08-22,1007.5054,1012.249,999.9901000000001,1035.2511,1042.352,1024.319,1006.2567,1009.648,1001.619
,,2001-08-23,1008.1628000000001,1011.514,1002.5630000000001,1030.8182000000002,1036.039,1026.906,1006.4219,1009.2130000000001,1002.027
,,2001-08-24,1008.3344000000001,1012.042,996.6494,1031.0868,1035.0030000000002,1025.366,1007.916,1012.62,1001.644
,,2001-08-25,1009.9487,1011.9860000000001,1008.2710000000001,1032.5354,1036.55,1028.249,1006.6834,1010.125,1002.9820000000001
,,2001-08-26,1009.7595,1011.599,1007.988,1030.722,1034.9,1027.245,1007.0803000000001,1011.1020000000001,1005.481
,,2001-08-27,1010.7777000000001,1012.8480000000001,1008.2710000000001,1028.5005,1032.882,1025.124,1006.8522,1009.8870000000001,1003.238
,,2001-08-28,1017.4944,1023.3870000000001,1010.134,1028.2461,1039.063,1022.655,1011.1208,1014.457,1007.154
,,2001-08-29,1007.4418000000001,1011.4780000000001,1003.3180000000001,1024.199,1035.392,1018.22,1005.3031000000001,1019.113,1001.604
,,2001-08-30,1010.0258,1012.14,1005.176,1026.0216,1033.548,1015.653,1008.119,1013.905,1005.077
,,2001-08-31,1008.4095000000001,1029.556,999.1589,1025.6486,1035.723,1019.971,1006.8607000000001,1009.652,1003.7370000000001
,,2001-09-01,1004.5873,1010.639,996.1356000000001,1028.5839,1036.592,1023.4630000000001,1006.1719,1011.8,1000.614
,,2001-09-02,1005.019,1007.969,998.0605,1031.0455,1039.084,1024.846,1005.7444,1007.7120000000001,1002.888
,,2001-09-03,1005.0792,1007.354,1002.77,1029.3508000000002,1035.708,1019.6120000000001,1005.158,1008.2510000000001,1003.4290000000001
,,2001-09-04,1004.8925,1007.046,1001.918,1029.2129,1035.707,1019.431,1003.8517,1010.113,1001.1790000000001
,,2001-09-05,1012.1592,1014.561,1005.993,1026.9797,1031.9740000000002,1006.426,1005.9443,1008.4240000000001,1002.976
,,2001-09-06,1013.8582,1019.056,1011.181,1030.972,1040.6,1011.9730000000001,1007.1522,1008.836,1005.5540000000001
,,2001-09-07,1012.4294000000001,1015.55,1009.224,1031.6278,1039.386,1024.098,1006.6031,1010.1740000000001,1003.595
,,2001-09-08,1007.3029,1011.481,1002.2330000000001,1033.7318,1051.008,1011.043,1004.3179,1006.0980000000001,1002.696
,,2001-09-09,1006.6577000000001,1009.3470000000001,998.93,1037.1687,1049.805,1031.111,1004.5458000000001,1006.555,1000.772
,,2001-09-10,1007.3683000000001,1011.7560000000001,1004.629,1037.1083,1048.2,1032.729,1006.8227,1012.581,1003.018
,,2001-09-11,1009.1563000000001,1010.923,1007.844,1035.7604000000001,1046.021,1029.1870000000001,1010.0352,1013.253,1008.354
,,2001-09-12,1008.1215000000001,1009.9830000000001,1006.2420000000001,1035.5549,1045.49,1028.8880000000001,1008.7032,1014.917,1005.9110000000001
,,2001-09-13,1005.8894,1009.782,1001.106,1032.8412,1037.611,1027.558,1008.8472,1013.229,1005.138
,,2001-09-14,1008.8019,1014.058,999.1403,1032.7701,1037.364,1028.318,1010.4733,1013.931,1007.4190000000001
,,2001-09-15,1008.2137,1011.759,1002.5730000000001,1033.9252000000001,1043.634,1027.0720000000001,1008.4331000000001,1011.7180000000001,1004.989
,,2001-09-16,1009.2906,1011.135,1007.605,1035.8781000000001,1041.3990000000001,1031.935,1008.4241000000001,1009.7610000000001,1007.124
,,2001-09-17,1006.0076,1010.5930000000001,996.2692000000001,1037.35,1044.012,1033.79,1005.0427000000001,1007.8230000000001,1002.422
,,2001-09-18,1004.4788000000001,1009.471,995.7801000000001,1035.3628,1043.952,1029.171,1005.623,1008.27,1002.017
,,2001-09-19,1005.1052000000001,1011.775,999.5474,1034.3468,1040.3790000000001,1026.313,1005.3289000000001,1010.296,1002.211
,,2001-09-20,1001.8267000000001,1007.0840000000001,999.2209,1029.5291,1037.459,1021.3430000000001,1005.9922,1010.065,1002.581
,,2001-09-21,1002.8115,1004.585,998.8161,1032.5085000000001,1036.455,1026.356,1006.1472,1011.567,1003.5590000000001
,,2001-09-22,1005.9184,1009.514,1002.067,1034.0422,1044.52,1021.494,1005.8917,1011.0540000000001,1002.283
,,2001-09-23,1005.6335,1008.47,1002.904,1036.4382,1050.419,1032.4470000000001,1006.5826000000001,1010.356,1003.269
,,2001-09-24,1006.8186000000001,1009.5540000000001,1000.048,1035.3184,1044.38,1023.665,1008.7267,1012.734,1004.505
,,2001-09-25,1005.8564,1009.37,1002.618,1045.105,1064.275,1030.345,1006.1890000000001,1008.364,1004.165
,,2001-09-26,1004.2327,1006.123,1002.844,1038.3892,1043.938,1034.016,1005.2228,1007.7270000000001,1002.529
,,2001-09-27,1006.0574,1009.935,1001.26,1038.1637,1042.761,1029.491,1006.796,1012.2510000000001,1003.106
,,2001-09-28,1004.9995,1007.397,1000.195,1037.7494000000002,1042.4370000000001,1032.029,1006.5233000000001,1009.05,1002.427
,,2001-09-29,1006.2465000000001,1011.0070000000001,998.4559,1037.4366,1041.402,1033.518,1006.3882000000001,1010.4540000000001,1002.743
,,2001-09-30,1004.9023000000001,1006.946,1000.61,1037.2084,1044.617,1032.4560000000001,1005.5052000000001,1009.229,1002.4390000000001
,,2001-10-01,1007.7805000000001,1010.056,1004.18,1034.4921,1040.902,1028.093,1005.8133,1006.83,1003.082
,,2001-10-02,1008.2062000000001,1011.413,1005.456,1036.2532,1042.771,1029.183,1006.5974,1008.7890000000001,1004.2560000000001
,,2001-10-03,1007.3603,1012.239,1004.8610000000001,1032.0186,1036.958,1027.0230000000001,1005.0922,1010.099,1002.165
,,2001-10-04,1005.5439,1009.2760000000001,1002.498,1033.3444,1039.1860000000001,1027.73,1004.6169000000001,1007.566,994.7372
,,2001-10-05,1007.8178,1015.243,1004.175,1037.1018000000001,1042.579,1032.794,1006.0484,1008.5060000000001,1004.488
,,2001-10-06,1008.0549000000001,1009.916,1004.885,1034.8888,1039.5320000000002,1030.445,1005.5381000000001,1008.533,1003.7510000000001
,,2001-10-07,1008.2756,1011.1030000000001,1000.885,1033.826,1038.368,1027.433,1005.8444000000001,1008.562,1002.849
,,2001-10-08,1007.9393,1009.662,1002.9530000000001,1036.434,1042.916,1029.0990000000002,1004.7938,1005.907,1003.3140000000001
,,2001-10-09,1007.3813,1012.836,1004.327,1031.0522,1037.972,1024.235,1004.5326,1008.02,1002.74
,,2001-10-10,1007.6185,1011.142,1004.1160000000001,1036.0046,1044.47,1027.403,1004.3071,1006.875,1002.421
,,2001-10-11,1009.0094,1010.885,1007.195,1043.5345,1048.885,1036.145,1005.9338,1007.035,1004.844
,,2001-10-12,1009.1938,1012.0060000000001,1007.58,1047.2233,1053.4170000000001,1041.814,1005.7018,1007.0590000000001,1003.4820000000001
,,2001-10-13,1007.8723,1010.4780000000001,1005.489,1044.9562,1065.549,1038.208,1006.2604,1007.885,1004.9620000000001
,,2001-10-14,1007.4499000000001,1010.455,1000.831,1046.8279,1054.248,1039.226,1005.4827,1007.005,1003.029
,,2001-10-15,1007.9945,1014.0360000000001,1005.936,1047.8783,1062.643,1041.094,1004.8981,1007.654,1003.293
,,2001-10-16,1012.4769,1014.9480000000001,1007.392,1037.9457,1046.011,1032.653,1007.3708,1008.778,1004.474
,,2001-10-17,1015.5108,1026.598,1008.856,1034.3458,1039.44,1026.289,1008.3641,1013.558,1005.183
,,2001-10-18,1013.0976,1016.841,1010.3660000000001,1036.2825,1041.9470000000001,1026.6680000000001,1007.8146,1010.317,1005.8180000000001
,,2001-10-19,1011.1708000000001,1012.4920000000001,1008.5730000000001,1034.6111,1039.595,1025.246,1007.239,1009.2760000000001,1005.36
,,2001-10-20,1011.2093000000001,1022.7660000000001,1008.985,1036.7021,1040.4270000000001,1031.845,1006.528,1011.8580000000001,1004.6320000000001
,,2001-10-21,1010.6291,1012.1410000000001,1008.8,1038.2729000000002,1044.672,1033.215,1006.1489,1007.008,1004.955
,,2001-10-22,1010.019,1011.7420000000001,1008.2610000000001,1036.9443,1040.7,1032.414,1005.8322000000001,1007.205,1005.0590000000001
,,2001-10-23,1012.1023,1016.296,1007.609,1033.8859,1039.37,1030.3790000000001,1006.3795,1009.058,1003.4140000000001
,,2001-10-24,1011.6513,1013.8530000000001,1008.297,1030.4683,1037.528,1013.6740000000001,1005.8969000000001,1007.5790000000001,1004.2660000000001
,,2001-10-25,1011.4432,1015.147,1008.836,1027.7529,1031.788,1017.668,1006.678,1009.683,1002.658
,,2001-10-26,1011.1538,1013.238,1009.11,1027.0852,1030.883,1026.269,1007.5568000000001,1008.7810000000001,1004.354
,,2001-10-27,1010.7646000000001,1012.655,1008.946,1034.6552000000001,1042.1670000000001,1027.374,1006.6351000000001,1009.368,1004.734
,,2001-10-28,1009.7622,1011.7330000000001,1007.8290000000001,1037.3359,1045.284,1031.9,1005.6146,1007.0210000000001,1004.4910000000001
,,2001-10-29,1008.8493000000001,1017.5390000000001,1005.416,1033.7573,1039.7720000000002,1022.86,1005.0737,1009.1890000000001,1002.504
,,2001-10-30,1010.6459000000001,1013.79,1007.595,1035.1686,1039.555,1025.153,1005.8633000000001,1007.56,1004.119
,,2001-10-31,1010.8227,1012.605,1009.145,1037.2266,1042.328,1029.741,1005.9352,1007.1460000000001,1004.5010000000001
,,2001-11-01,1011.941,1014.3190000000001,1005.935,1031.1278,1040.554,1020.265,1007.0369000000001,1013.134,1004.149
,,2001-11-02,1012.3732,1014.196,1009.3280000000001,1033.2345,1041.012,1024.587,1006.1985000000001,1008.413,1004.157
,,2001-11-03,1011.1006000000001,1013.53,1009.018,1035.9698,1042.612,1029.771,1006.1921000000001,1008.889,1005.045
,,2001-11-04,1009.2043000000001,1011.277,1006.561,1035.0931,1041.462,1029.778,1006.0988000000001,1007.505,1004.873
,,2001-11-05,1008.0484,1010.4060000000001,1004.899,1035.9639,1042.44,1031.11,1006.249,1009.124,1004.582
,,2001-11-06,1007.2457,1014.413,1002.2,1032.9628,1037.51,1028.2,1006.1816,1012.571,1002.808
,,2001-11-07,1010.8076000000001,1014.783,999.3966,1032.2024000000001,1038.305,1029.573,1005.1577000000001,1006.6410000000001,1000.56
,,2001-11-08,1011.9871,1015.239,1009.4870000000001,1036.1439,1043.72,1026.13,1008.5064000000001,1012.915,1005.365
,,2001-11-09,1009.7345,1011.706,1007.405,1038.3794,1044.613,1034.566,1006.4493,1008.413,1003.207
,,2001-11-10,1008.9670000000001,1011.543,1006.551,1036.7172,1041.384,1034.26,1010.2328,1014.317,1006.147
,,2001-11-11,1006.7444,1009.893,1003.1410000000001,1034.5061,1037.623,1032.6680000000001,1007.5596,1011.0630000000001,1005.7370000000001
,,2001-11-12,1007.5046000000001,1011.2940000000001,1002.764,1040.8568,1045.574,1033.1680000000001,1007.1595000000001,1010.893,1003.7080000000001
,,2001-11-13,1007.6285,1011.8580000000001,1004.696,1034.8127,1042.235,1031.583,1005.7153000000001,1009.2090000000001,1003.69
,,2001-11-14,1007.8957,1010.595,1001.6940000000001,1030.4921,1036.804,1026.618,1005.0975,1008.089,1001.86
,,2001-11-15,1007.9681,1010.331,1005.2360000000001,1027.1,1032.7240000000002,1023.422,1005.9045000000001,1008.018,1004.081
,,2001-11-16,1006.1446000000001,1010.795,1002.4530000000001,1030.2067,1033.0990000000002,1017.7610000000001,1004.7104,1007.7230000000001,1002.0070000000001
,,2001-11-17,1004.5432000000001,1007.056,1002.307,1030.4713000000002,1035.481,1026.335,1003.8821,1006.0870000000001,1002.565
,,2001-11-18,1004.4307,1006.471,1002.6,1034.4749000000002,1037.2830000000001,1014.3240000000001,1003.8921,1005.5160000000001,1003.106
,,2001-11-19,1004.7847,1007.562,1001.157,1033.8794,1038.9940000000001,1027.2160000000001,1003.6824,1006.788,1002.1210000000001
,,2001-11-20,1006.8177000000001,1010.5790000000001,1001.272,1032.0784,1041.776,1027.941,1004.7824,1007.182,1002.1890000000001
,,2001-11-21,1008.5393,1013.158,1006.428,1033.6680000000001,1040.6480000000001,1027.8210000000001,1005.2015,1008.9380000000001,1003.5360000000001
,,2001-11-22,1007.9139,1010.0830000000001,1004.278,1030.6865,1037.659,1024.7730000000001,1004.7697000000001,1008.359,1002.394
,,2001-11-23,1008.0361,1010.4580000000001,999.0184,1028.121,1031.892,1025.066,1005.2857,1007.845,1003.624
,,2001-11-24,1008.8283,1011.327,1006.765,1025.2271,1027.977,1021.918,1005.7932000000001,1008.748,1003.525
,,2001-11-25,1011.2362,1013.245,1008.384,1027.2596,1032.205,1023.835,1006.9088,1009.8340000000001,1004.6640000000001
,,2001-11-26,1009.062,1011.7360000000001,1004.9530000000001,1033.2814,1052.75,1023.533,1006.1552,1009.46,1003.2940000000001
,,2001-11-27,1010.3171000000001,1013.023,1006.9480000000001,1032.7255,1045.085,1024.895,1008.3889,1014.795,1004.51
,,2001-11-28,1009.6838,1011.995,1007.416,1032.6299000000001,1039.439,1026.991,1005.8851000000001,1007.562,1004.4910000000001
,,2001-11-29,1011.6967000000001,1016.4770000000001,1008.58,1031.6614,1041.163,1016.8820000000001,1006.8340000000001,1009.51,1004.0680000000001
,,2001-11-30,1008.8760000000001,1012.4340000000001,1006.0160000000001,1028.9264,1035.7640000000001,1025.68,1005.7384000000001,1009.466,1002.6210000000001
,,2001-12-01,1001.8379000000001,1012.0630000000001,993.4093,1025.5233,1030.131,1019.0070000000001,1002.4091000000001,1008.163,999.0840000000001
,,2001-12-02,997.98364,1000.374,994.5110000000001,1023.6410000000001,1026.31,1020.3760000000001,1001.5161,1003.854,999.5676000000001
,,2001-12-03,1004.2621,1012.283,994.4387,1025.7634,1030.775,1022.008,1005.7457,1010.428,1001.6740000000001
,,2001-12-04,1015.3986000000001,1029.095,1005.9530000000001,1021.2833,1029.318,1014.7120000000001,1011.2375,1017.2810000000001,1003.3810000000001
,,2001-12-05,1013.2782000000001,1024.823,1008.8190000000001,1020.5722000000001,1028.6680000000001,1003.927,1010.5973,1018.2940000000001,1007.683
,,2001-12-06,1010.2474000000001,1016.2220000000001,1002.1110000000001,1021.3444000000001,1025.448,1015.278,1007.9006,1010.895,1004.64
,,2001-12-07,1003.285,1011.69,996.8668,1020.8231000000001,1025.3780000000002,1016.2080000000001,1003.0298,1007.205,999.3646
,,2001-12-08,1006.7249,1013.263,995.4809,1021.6961,1025.769,1008.8580000000001,1004.4463000000001,1011.253,1000.894
,,2001-12-09,1009.7694,1016.268,1005.37,1019.6080000000001,1025.623,1002.8,1005.4576000000001,1010.494,1002.0540000000001
,,2001-12-10,1009.0079000000001,1017.1930000000001,1004.6990000000001,1020.5054,1027.183,1006.8140000000001,1005.0502,1006.494,1002.187
,,2001-12-11,1013.9906000000001,1017.7860000000001,1006.349,1022.5162,1025.0810000000001,1018.019,1007.5459000000001,1009.2760000000001,1004.822
,,2001-12-12,1017.4252,1020.8620000000001,1011.618,1022.0345000000001,1024.912,1004.55,1008.6597,1009.772,1005.47
,,2001-12-13,1014.6606,1017.219,1012.06,1022.5418000000001,1025.682,1020.0880000000001,1009.7123,1016.793,1007.595
,,2001-12-14,1013.0636000000001,1018.191,1008.6210000000001,1019.4801,1023.503,1015.98,1008.7249,1013.395,1006.5540000000001
,,2001-12-15,1008.7279000000001,1012.586,1006.163,1020.8397,1027.996,1011.441,1006.3228,1009.5390000000001,1004.606
,,2001-12-16,1007.0358,1013.248,1004.524,1020.8123,1025.227,1004.673,1006.2526,1008.445,1003.808
,,2001-12-17,1009.4173000000001,1017.484,1005.066,1021.614,1024.236,1019.4590000000001,1006.7298000000001,1010.437,1004.6030000000001
,,2001-12-18,1012.8135000000001,1016.0880000000001,1009.089,1018.5734,1019.8530000000001,1004.149,1006.9156,1009.351,1005.2030000000001
,,2001-12-19,1015.2836000000001,1019.457,1013.167,1019.5168000000001,1021.0540000000001,1018.0590000000001,1009.2219,1012.082,1005.6270000000001
,,2001-12-20,1014.2394,1018.25,1011.9620000000001,1019.5681000000001,1022.9380000000001,1017.123,1007.7733000000001,1011.9670000000001,1005.5680000000001
,,2001-12-21,1015.2982000000001,1019.5260000000001,1013.0020000000001,1018.7534,1020.884,1003.764,1007.5126,1010.835,1006.124
,,2001-12-22,1012.8613,1016.572,1009.9440000000001,1020.2467,1021.767,1016.865,1006.7836000000001,1010.2080000000001,1005.4830000000001
,,2001-12-23,1011.1793,1014.293,1008.349,1021.678,1025.762,1008.601,1007.1617,1012.7130000000001,1003.654
,,2001-12-24,1011.153,1016.926,1008.883,1022.6711,1025.1470000000002,1017.172,1006.0116,1011.3240000000001,1001.014
