,Cypress,Melendrez,CAF/AGM,KD/GS,,Exploration Program,,S LA, ,Received DASH approval for $14.1MM.   Meeting with Rozel held on 7/19 to prioritize work.   Agreed to participate for 1/8th interest in Saints/Brenda prospect.  Jalapeno is ready except for Amerada Hess farmin.  ECR will promote its 50% down to 25%.  Vikings needs additional leasing before it is ready to go.  Approved reprocessing of Greater Parcperdue area and acquisition of new data between Lakeside and Sweetlake areas.,Received DASH approval for $14.1MM.   Meeting with Rozel held on 7/19 to prioritize work.   Agreed to participate for 1/8th interest in Saints/Brenda prospect.  Jalapeno is ready except for Amerada Hess farmin.  ECR will promote its 50% down to 25%.  Vikings needs additional leasing before it is ready to go.  Approved reprocessing of Greater Parcperdue area and acquisition of new data between Lakeside and Sweetlake areas.,Evaluating taking options on leases to protect position on potential prospects.  Rozel to make recommendations.  Offered Cowboys prospect leases under AMI to partners.,Evaluating taking options on leases to protect position on potential prospects.  Rozel to make recommendations.  Offered Cowboys prospect leases under AMI to partners.,Evaluating taking options on leases to protect position on potential prospects.  Rozel to make recommendations.  Offered Cowboys prospect leases under AMI to partners.,Evaluating taking options on leases to protect position on potential prospects.  Rozel to make recommendations.  Offered Cowboys prospect leases under AMI to partners.
,EEX ,Melendrez,,,,Forward sale contract,,Various,,Performing as planned.  ,,Evaluating follow-on prepay - $130 MM.,,,
,Hanson,CJT/Eubank,CF,CKC, ,Develop E Sour Lake field,,S TX,,TP Ranch #3 - currently flowing 3.0 mmcfd & 185 Bopd.   DASH completed for Adobe equity purchase.,TP Ranch #3 - currently flowing 3.0 mmcfd & 185 Bopd.   DASH completed for Adobe equity purchase.,Pursuing legal options.,,,
,Juniper,Melendrez,CAF/AGM,KD/GS, ,3-D Shelf Exploration Program,,GOM,,"Received one bid from Newfield for EI 57, currently evaluating offer.","Received one bid from Newfield for EI 57, currently evaluating offer.","Phase II extension of JV appears unlikely, explore dissolution scenario.","Phase II extension of JV appears unlikely, explore dissolution scenario.","Phase II extension of JV appears unlikely, explore dissolution scenario.","Phase II extension of JV appears unlikely, explore dissolution scenario."
,KCS Energy,Eubank, ,,BO,VPP,,Various,,VPP meeting requirements.,VPP meeting requirements., , , , 
,Mariner, ,,,,Equity,,Various,,Reviewing property base and exploration inventory.  Currently evaluating Swordfish prospect.,Reviewing property base and exploration inventory.  Currently evaluating Swordfish prospect.,Will complete review in September,Will complete review in September,Will complete review in September,Will complete review in September
,NuTech Energy,Kalb,,,BO,Joint Ventures; Reserve Acquisition; Sale of Business,Joint Ventures; Reserve Acquisition; Sale of Business,,,"Discussions on salvage JV's with Superior and TriC and JTex sale continuing.  Corp restructuring underway, s.t. final approval.  Funded Joquin acquisition.","Discussions on salvage JV's with Superior and TriC and JTex sale continuing.  Corp restructuring underway, s.t. final approval.  Funded Joquin acquisition.",Close salvage JV.  Obtain Enron restructuring approval and close.  Continue funding WI acquisitions.,Close salvage JV.  Obtain Enron restructuring approval and close.  Continue funding WI acquisitions.,Close salvage JV.  Obtain Enron restructuring approval and close.  Continue funding WI acquisitions.,Close salvage JV.  Obtain Enron restructuring approval and close.  Continue funding WI acquisitions.
,Preston Equity,Josey, , , ,,,,,Met with Preston on 7/27 to discuss use of Enron 3D in the Cypress program.,Met with Preston on 7/27 to discuss use of Enron 3D in the Cypress program.,Work with Preston to make data available to JV.,Work with Preston to make data available to JV.,Work with Preston to make data available to JV.,Work with Preston to make data available to JV.
,St. Mary's Prod,Josey,CF,KD,,VPP,,S LA,,VPP meeting requirements.,VPP meeting requirements., ,,,
,Tarpon Equity,,,,BO,,,,,Offer to Ocean/WT for EI 386 interest.,Offer to Ocean/WT for EI 386 interest.,Operations to begin 4th quarter.,Operations to begin 4th quarter.,Operations to begin 4th quarter.,Operations to begin 4th quarter.
,Texland Petroleum,Melendrez,CAF/AGM,KD/GS, ,Exploration Program,,W TX,,Will initiate flood operations at Hobb waterflood this month.,Will initiate flood operations at Hobb waterflood this month.,Complete Hobbs waterflood. Additional infill drilling investments being considered for Stockyard and E Hobbs. ,Complete Hobbs waterflood. Additional infill drilling investments being considered for Stockyard and E Hobbs. ,Complete Hobbs waterflood. Additional infill drilling investments being considered for Stockyard and E Hobbs. ,Complete Hobbs waterflood. Additional infill drilling investments being considered for Stockyard and E Hobbs. 
,Tri - C,Thompson,,,,Equity,,S TX,,Agreed to participate in Badlands and Scott Field prospects in Lafayette Parish.,Agreed to participate in Badlands and Scott Field prospects in Lafayette Parish., , , , 
,Vastar,Melendrez,CAF/AGM,KD/CKC/GS, ,Exploration Program,,S TX/S LA/ WY,,Remaining leasehold interests in Kenosha & Midland may be prospective.  Kenosha partner's meeting held on September 25.  Expect AFE this week.,Remaining leasehold interests in Kenosha & Midland may be prospective.  Kenosha partner's meeting held on September 25.  Expect AFE this week.,Attempt to farm in Vastar's 50% interest and drill a Hayes/Marg Tex attic shot w/Rozel.,Attempt to farm in Vastar's 50% interest and drill a Hayes/Marg Tex attic shot w/Rozel.,Attempt to farm in Vastar's 50% interest and drill a Hayes/Marg Tex attic shot w/Rozel.,Attempt to farm in Vastar's 50% interest and drill a Hayes/Marg Tex attic shot w/Rozel.
,Westwin,Melendrez, ,,BO,Acquire & develop corporate equity,,Permian Basin,,Expect to have Indian Mesa production on by Sept. 1.   Will be reviewing 7-8  projects with a total capital requirement of $3.5MM,Expect to have Indian Mesa production on by Sept. 1.   Will be reviewing 7-8  projects with a total capital requirement of $3.5MM,"Evaluate drilling programs - if successful, expand the programs & increase the borrowing base.","Evaluate drilling programs - if successful, expand the programs & increase the borrowing base.","Evaluate drilling programs - if successful, expand the programs & increase the borrowing base.","Evaluate drilling programs - if successful, expand the programs & increase the borrowing base."
