THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01,THE WOOD REPORT - 10/16/01 THRU 10/31/01
,US Gas Basis NWPL RkyMtn Feb02,2,,2,US Gas Basis NWPL RkyMtn Feb02,10000,,10000,5000
,US Gas Basis NWPL RkyMtn Jan02,,2,2,US Gas Basis NWPL RkyMtn Jan02,,10000,10000,5000
,US Gas Basis NWPL RkyMtn Mar02,3,,3,US Gas Basis NWPL RkyMtn Mar02,15000,,15000,5000
,US Gas Basis NWPL RkyMtn Nov01,209,192,401,US Gas Basis NWPL RkyMtn Nov01,1220000,1140000,2360000,5885.286783042394
,US Gas Basis NWPL RkyMtn Nov01-Mar02,30,31,61,US Gas Basis NWPL RkyMtn Nov01-Mar02,185000,200000,385000,6311.475409836065
,US Gas Daily Kern River/Opal,84,111,195,US Gas Daily Kern River/Opal,575000,765000,1340000,6871.794871794872
,US Gas Daily Kern River/Opal 02-30Nov01,13,12,25,US Gas Daily Kern River/Opal 02-30Nov01,90000,90000,180000,7200
,US Gas Daily Kern River/Opal Nov01,32,17,49,US Gas Daily Kern River/Opal Nov01,252900,155000,407900,8324.489795918367
,US Gas Phy Index IF NWPL RkyMtn Nov01,2,1,3,US Gas Phy Index IF NWPL RkyMtn Nov01,45000,50000,95000,31666.666666666668
,US Gas Phy NWPL RkyMtn Pool Nov01,2,1,3,US Gas Phy NWPL RkyMtn Pool Nov01,10000,5000,15000,5000
,US Gas Phy Opal Nov01,18,23,41,US Gas Phy Opal Nov01,100000,147000,247000,6024.390243902439
,US Gas Phy PGT Stanfield Nov01,4,5,9,US Gas Phy PGT Stanfield Nov01,20000,25000,45000,5000
,US Gas Swap IF NWPL RkyMtn Nov01,,1,1,US Gas Swap IF NWPL RkyMtn Nov01,,10000,10000,10000
FERMIS Total,19,454,445,899,,2872900,2899500,5772400,6420.91212458287
,,,,,,,,,
JREITME,,,,,,,,,
,US Gas Basis CIG Rky Mtn Apr-Oct02,2,2,4,US Gas Basis CIG Rky Mtn Apr-Oct02,15000,20000,35000,8750
,US Gas Basis NWPL RkyMtn Apr-Oct02,15,11,26,US Gas Basis NWPL RkyMtn Apr-Oct02,120000,80000,200000,7692.307692307692
,US Gas Basis NWPL RkyMtn Jan-Dec02,1,1,2,US Gas Basis NWPL RkyMtn Jan-Dec02,5000,5000,10000,5000
,US Gas Basis NWPL RkyMtn Nov02-Mar03,2,,2,US Gas Basis NWPL RkyMtn Nov02-Mar03,10000,,10000,5000
,US Gas Daily Cheyenne Hub,19,23,42,US Gas Daily Cheyenne Hub,175000,205000,380000,9047.619047619048
,US Gas Daily Cheyenne Hub 02-30Nov01,1,5,6,US Gas Daily Cheyenne Hub 02-30Nov01,5000,50000,55000,9166.666666666666
,US Gas Daily Cheyenne Hub Nov01,10,10,20,US Gas Daily Cheyenne Hub Nov01,95000,70000,165000,8250
,US Gas Daily CIG(N.syst),24,28,52,US Gas Daily CIG(N.syst),185000,235000,420000,8076.923076923077
,US Gas Daily CIG(N.syst) 02-30Nov01,6,,6,US Gas Daily CIG(N.syst) 02-30Nov01,60000,,60000,10000
,US Gas Daily CIG(N.syst) Nov01,15,6,21,US Gas Daily CIG(N.syst) Nov01,150000,45000,195000,9285.714285714286
,US Gas Phy Cheyenne Hub,99,121,220,US Gas Phy Cheyenne Hub,385996,565042,951038,4322.9
,US Gas Phy Cheyenne Hub 01Nov01,7,12,19,US Gas Phy Cheyenne Hub 01Nov01,24100,39648,63748,3355.157894736842
,US Gas Phy Cheyenne Hub Nov01,11,7,18,US Gas Phy Cheyenne Hub Nov01,50360,32500,82860,4603.333333333333
,US Gas Phy CIG Mainline,147,156,303,US Gas Phy CIG Mainline,648411,704871,1353282,4466.277227722772
,US Gas Phy CIG Mainline 01Nov01,11,8,19,US Gas Phy CIG Mainline 01Nov01,49303,40635,89938,4733.578947368421
,US Gas Phy CIG Mainline Nov01,5,13,18,US Gas Phy CIG Mainline Nov01,25000,65000,90000,5000
,US Gas Phy Index IF CIG Rky Mtn Dec01,,2,2,US Gas Phy Index IF CIG Rky Mtn Dec01,,15000,15000,7500
,US Gas Phy Index IF CIG Rky Mtn Jan02,,1,1,US Gas Phy Index IF CIG Rky Mtn Jan02,,5000,5000,5000
,US Gas Phy Index IF CIG Rky Mtn Nov01,,1,1,US Gas Phy Index IF CIG Rky Mtn Nov01,,10000,10000,10000
,US Gas Phy Index IF CIG Rky Mtn Nov01-Mar02,1,,1,US Gas Phy Index IF CIG Rky Mtn Nov01-Mar02,1000,,1000,1000
,US Gas Phy WIC,94,69,163,US Gas Phy WIC,425200,321938,747138,4583.668711656442
,US Gas Phy WIC 01Nov01,3,12,15,US Gas Phy WIC 01Nov01,15000,49202,64202,4280.133333333333
,US Gas Phy WIC Nov01,4,2,6,US Gas Phy WIC Nov01,20000,10000,30000,5000
,US Gas Swap IF CIG Rky Mtn Nov01,1,1,2,US Gas Swap IF CIG Rky Mtn Nov01,10000,10000,20000,10000
JREITME Total,24,478,491,969,,2474370,2578836,5053206,5214.866873065015
,,,,,,,,,
KHOLST,,,,,,,,,
,US Gas Basis NGI SoCal Apr-Oct02,33,24,57,US Gas Basis NGI SoCal Apr-Oct02,185500,130000,315500,5535.087719298245
,US Gas Basis NGI SoCal Dec01,52,51,103,US Gas Basis NGI SoCal Dec01,363000,367000,730000,7087.378640776699
,US Gas Basis NGI SoCal Dec01-Mar02,25,17,42,US Gas Basis NGI SoCal Dec01-Mar02,125000,81000,206000,4904.761904761905
,US Gas Basis NGI SoCal Jan02,7,5,12,US Gas Basis NGI SoCal Jan02,35000,25000,60000,5000
,US Gas Basis NGI SoCal Nov01,141,132,273,US Gas Basis NGI SoCal Nov01,1441000,1272000,2713000,9937.728937728938
,US Gas Basis NGI SoCal Nov01-Mar02,42,43,85,US Gas Basis NGI SoCal Nov01-Mar02,265000,271000,536000,6305.882352941177
,US Gas Basis NGI SoCal Nov02-Mar03,14,17,31,US Gas Basis NGI SoCal Nov02-Mar03,67000,82000,149000,4806.451612903225
KHOLST Total,7,314,289,603,,2481500,2228000,4709500,7810.116086235489
,,,,,,,,,
MGRIGSB,,,,,,,,,
,US Gas Daily EP Permian,148,129,277,US Gas Daily EP Permian,1295000,1100000,2395000,8646.20938628159
,US Gas Daily EP Permian 02-30Nov01,9,5,14,US Gas Daily EP Permian 02-30Nov01,45000,25000,70000,5000
,US Gas Daily EP Permian Nov01,41,29,70,US Gas Daily EP Permian Nov01,332000,226000,558000,7971.428571428572
,US Gas Daily IF GD/D EP-Perm Dec01,1,,1,US Gas Daily IF GD/D EP-Perm Dec01,10000,,10000,10000
,US Gas Daily IF GD/D EP-Perm Nov01,11,12,23,US Gas Daily IF GD/D EP-Perm Nov01,150000,150000,300000,13043.478260869566
,US Gas Daily IF GD/D EP-Perm Nov01-Mar02,2,1,3,US Gas Daily IF GD/D EP-Perm Nov01-Mar02,10000,10000,20000,6666.666666666667
,US Gas Daily Malin,46,50,96,US Gas Daily Malin,350000,375000,725000,7552.083333333333
,US Gas Daily Malin 02-30Nov01,4,5,9,US Gas Daily Malin 02-30Nov01,30000,25000,55000,6111.111111111111
,US Gas Daily Malin Nov01,26,13,39,US Gas Daily Malin Nov01,215000,100000,315000,8076.923076923077
,US Gas Daily NGI GD/D Malin Dec01,1,,1,US Gas Daily NGI GD/D Malin Dec01,10000,,10000,10000
,US Gas Daily NGI GD/D Malin Nov01,16,5,21,US Gas Daily NGI GD/D Malin Nov01,155000,50000,205000,9761.904761904761
,US Gas Daily NGI GD/D Malin Nov01-Mar02,7,4,11,US Gas Daily NGI GD/D Malin Nov01-Mar02,70000,40000,110000,10000
,US Gas Daily NGI GD/D PGECty Dec01,1,2,3,US Gas Daily NGI GD/D PGECty Dec01,10000,20000,30000,10000
,US Gas Daily NGI GD/D PGECty Nov01,3,4,7,US Gas Daily NGI GD/D PGECty Nov01,30000,40000,70000,10000
,US Gas Daily NGI GD/D PGECty Nov01-Mar02,7,7,14,US Gas Daily NGI GD/D PGECty Nov01-Mar02,70000,60000,130000,9285.714285714286
,US Gas Daily NGI GD/D SoCal Dec01,1,1,2,US Gas Daily NGI GD/D SoCal Dec01,10000,10000,20000,10000
,US Gas Daily NGI GD/D SoCal Nov01,10,9,19,US Gas Daily NGI GD/D SoCal Nov01,90000,85000,175000,9210.526315789473
,US Gas Daily NGI GD/D SoCal Nov01-Mar02,3,1,4,US Gas Daily NGI GD/D SoCal Nov01-Mar02,30000,10000,40000,10000
,US Gas Daily PG&E CtyGate,55,53,108,US Gas Daily PG&E CtyGate,385000,375000,760000,7037.037037037037
,US Gas Daily PG&E CtyGate 02-30Nov01,7,9,16,US Gas Daily PG&E CtyGate 02-30Nov01,40000,50000,90000,5625
,US Gas Daily PG&E CtyGate Nov01,16,23,39,US Gas Daily PG&E CtyGate Nov01,135000,195000,330000,8461.538461538461
,US Gas Daily PG&E Large pkgs,6,7,13,US Gas Daily PG&E Large pkgs,35000,65000,100000,7692.307692307692
,US Gas Daily SoCal,62,81,143,US Gas Daily SoCal,540000,665000,1205000,8426.573426573426
,US Gas Daily SoCal 02-30Nov01,8,6,14,US Gas Daily SoCal 02-30Nov01,40000,30000,70000,5000
,US Gas Daily SoCal Nov01,42,42,84,US Gas Daily SoCal Nov01,325000,340000,665000,7916.666666666667
,US Gas Phy EPNG Keystone Nov01,45,34,79,US Gas Phy EPNG Keystone Nov01,403000,313000,716000,9063.291139240506
,US Gas Phy Index IF EP Perm Dec01,4,1,5,US Gas Phy Index IF EP Perm Dec01,40000,10000,50000,10000
,US Gas Phy Index IF EP Perm Nov01,5,5,10,US Gas Phy Index IF EP Perm Nov01,40000,45000,85000,8500
,US Gas Phy Index IF EP Perm Nov01-Mar02,1,1,2,US Gas Phy Index IF EP Perm Nov01-Mar02,10000,10000,20000,10000
,US Gas Phy Index NGI Malin Dec01,,2,2,US Gas Phy Index NGI Malin Dec01,,10000,10000,5000
,US Gas Phy Index NGI Malin Nov01,2,5,7,US Gas Phy Index NGI Malin Nov01,15000,50000,65000,9285.714285714286
,US Gas Phy Index NGI Malin Nov01-Mar02,,1,1,US Gas Phy Index NGI Malin Nov01-Mar02,,10000,10000,10000
,US Gas Phy Index NGI PGE CtyGate Dec01,,1,1,US Gas Phy Index NGI PGE CtyGate Dec01,,10000,10000,10000
,US Gas Phy Index NGI SoBord Scal Ehr Nov01,1,,1,US Gas Phy Index NGI SoBord Scal Ehr Nov01,10000,,10000,10000
,US Gas Phy Index NGI SoBord Scal Top Apr-Oct02,,1,1,US Gas Phy Index NGI SoBord Scal Top Apr-Oct02,,10000,10000,10000
,US Gas Phy Index NGI SoCal Ehr Apr-Oct02,,1,1,US Gas Phy Index NGI SoCal Ehr Apr-Oct02,,10000,10000,10000
,US Gas Phy Index NGI SoCal Ehr Nov01,3,1,4,US Gas Phy Index NGI SoCal Ehr Nov01,30000,10000,40000,10000
,US Gas Phy Index NGI SoCal Topck Nov01,1,1,2,US Gas Phy Index NGI SoCal Topck Nov01,10000,10000,20000,10000
,US Gas Phy Index NGI SoCal TW Needles Nov01,1,,1,US Gas Phy Index NGI SoCal TW Needles Nov01,10000,,10000,10000
,US Gas Phy PG&E CtyGte Nov01,26,14,40,US Gas Phy PG&E CtyGte Nov01,205000,105000,310000,7750
,US Gas Phy PG&E Topock Nov01,3,2,5,US Gas Phy PG&E Topock Nov01,30000,15000,45000,9000
,US Gas Phy PGT Malin Nov01,20,19,39,US Gas Phy PGT Malin Nov01,140000,135000,275000,7051.282051282052
,US Gas Phy SoCal EHR Nov01,17,13,30,US Gas Phy SoCal EHR Nov01,150000,105000,255000,8500
,US Gas Phy SoCal Topk EPNG Nov01,11,9,20,US Gas Phy SoCal Topk EPNG Nov01,90000,75000,165000,8250
,US Gas Phy SoCal TW Needles Nov01,3,2,5,US Gas Phy SoCal TW Needles Nov01,15000,15000,30000,6000
,US Gas Swap NGI Malin Nov01,1,2,3,US Gas Swap NGI Malin Nov01,10000,15000,25000,8333.333333333334
,US Gas Swap NGI PGE CtyGate Nov01,1,1,2,US Gas Swap NGI PGE CtyGate Nov01,5000,10000,15000,7500
,US Gas Swap NGI SoCal Nov01,4,2,6,US Gas Swap NGI SoCal Nov01,75000,15000,90000,15000
MGRIGSB Total,48,682,616,1298,,5700000,5034000,10734000,8269.64560862866
,,,,,,,,,
MLENHAR,,,,,,,,,
,US Gas Basis EP SanJuan Apr-Oct02,2,1,3,US Gas Basis EP SanJuan Apr-Oct02,10000,5000,15000,5000
,US Gas Basis EP SanJuan Dec01,,3,3,US Gas Basis EP SanJuan Dec01,,25000,25000,8333.333333333334
,US Gas Basis EP SanJuan Nov01,16,10,26,US Gas Basis EP SanJuan Nov01,155000,95000,250000,9615.384615384615
,US Gas Basis EP SanJuan Nov01-Mar02,2,5,7,US Gas Basis EP SanJuan Nov01-Mar02,10000,25000,35000,5000
,US Gas Basis NGI Malin Apr-Oct02,5,11,16,US Gas Basis NGI Malin Apr-Oct02,25000,55000,80000,5000
,US Gas Basis NGI Malin Dec01,27,22,49,US Gas Basis NGI Malin Dec01,235000,195000,430000,8775.510204081633
,US Gas Basis NGI Malin Dec01-Mar02,6,6,12,US Gas Basis NGI Malin Dec01-Mar02,30000,30000,60000,5000
,US Gas Basis NGI Malin Nov01,91,89,180,US Gas Basis NGI Malin Nov01,835000,830000,1665000,9250
,US Gas Basis NGI Malin Nov01-Mar02,23,31,54,US Gas Basis NGI Malin Nov01-Mar02,115000,155000,270000,5000
,US Gas Basis NGI PGE CtyGate Apr-Oct02,24,30,54,US Gas Basis NGI PGE CtyGate Apr-Oct02,150000,170000,320000,5925.925925925926
,US Gas Basis NGI PGE CtyGate Dec01,22,23,45,US Gas Basis NGI PGE CtyGate Dec01,210000,200000,410000,9111.111111111111
,US Gas Basis NGI PGE CtyGate Dec01-Mar02,14,12,26,US Gas Basis NGI PGE CtyGate Dec01-Mar02,72500,70000,142500,5480.7692307692305
,US Gas Basis NGI PGE CtyGate Nov01,36,48,84,US Gas Basis NGI PGE CtyGate Nov01,345000,440000,785000,9345.238095238095
,US Gas Basis NGI PGE CtyGate Nov01-Mar02,26,26,52,US Gas Basis NGI PGE CtyGate Nov01-Mar02,130000,135000,265000,5096.153846153846
MLENHAR Total,14,294,317,611,,2322500,2430000,4752500,7778.23240589198
,,,,,,,,,
MSMITH18,,,,,,,,,
,US Gas Phy EPNG Keystone,515,340,855,US Gas Phy EPNG Keystone,4075002,2621682,6696684,7832.378947368421
,US Gas Phy EPNG Keystone 01Nov01,31,39,70,US Gas Phy EPNG Keystone 01Nov01,292000,316772,608772,8696.742857142857
,US Gas Phy SoCal EHR,184,176,360,US Gas Phy SoCal EHR,1585428,1682676,3268104,9078.066666666668
,US Gas Phy SoCal EHR 01Nov01,5,6,11,US Gas Phy SoCal EHR 01Nov01,40555,60000,100555,9141.363636363636
,US Gas Phy SoCal PG&E KRS,8,9,17,US Gas Phy SoCal PG&E KRS,40000,50000,90000,5294.117647058823
,US Gas Phy SoCal PG&E KRS 01Nov01,,1,1,US Gas Phy SoCal PG&E KRS 01Nov01,,5000,5000,5000
,US Gas Phy SoCal Topk EPNG,139,117,256,US Gas Phy SoCal Topk EPNG,1110753,1039370,2150123,8398.91796875
,US Gas Phy SoCal Topk EPNG 01Nov01,5,4,9,US Gas Phy SoCal Topk EPNG 01Nov01,50000,40000,90000,10000
,US Gas Phy SoCal TW Needles,73,24,97,US Gas Phy SoCal TW Needles,613000,205000,818000,8432.98969072165
,US Gas Phy SoCal TW Needles 01Nov01,5,4,9,US Gas Phy SoCal TW Needles 01Nov01,55000,25000,80000,8888.888888888889
,US Gas Phy SoCal Wheeler Ridge,6,5,11,US Gas Phy SoCal Wheeler Ridge,30000,25000,55000,5000
,US Gas Phy SoCal Wheeler Ridge 01Nov01,1,1,2,US Gas Phy SoCal Wheeler Ridge 01Nov01,5000,5000,10000,5000
MSMITH18 Total,12,972,726,1698,,7896738,6075500,13972238,8228.644287396937
,,,,,,,,,
RGAY,,,,,,,,,
,US Gas Daily EP SanJuan,151,177,328,US Gas Daily EP SanJuan,1425000,1705000,3130000,9542.682926829268
,US Gas Daily EP SanJuan 02-30Nov01,14,19,33,US Gas Daily EP SanJuan 02-30Nov01,135000,175000,310000,9393.939393939394
,US Gas Daily EP SanJuan Nov01,41,39,80,US Gas Daily EP SanJuan Nov01,360000,310000,670000,8375
,US Gas Daily IF GD/D EP-SJ Nov01,6,3,9,US Gas Daily IF GD/D EP-SJ Nov01,60000,30000,90000,10000
,US Gas Daily IF GD/D EP-SJ Nov01-Mar02,2,1,3,US Gas Daily IF GD/D EP-SJ Nov01-Mar02,20000,10000,30000,10000
,US Gas Phy EP Blanco Avg,230,233,463,US Gas Phy EP Blanco Avg,2026046,2106771,4132817,8926.170626349893
,US Gas Phy EP Blanco Avg 01Nov01,12,19,31,US Gas Phy EP Blanco Avg 01Nov01,110187,160301,270488,8725.41935483871
,US Gas Phy EP Blanco Avg Nov01,22,41,63,US Gas Phy EP Blanco Avg Nov01,175000,400000,575000,9126.984126984127
,US Gas Phy EP Bondad Avg 01Nov01,1,,1,US Gas Phy EP Bondad Avg 01Nov01,5000,,5000,5000
,US Gas Phy EP Bondad Avg Nov01,5,1,6,US Gas Phy EP Bondad Avg Nov01,25000,10000,35000,5833.333333333333
,US Gas Phy Index IF EP SanJuan Nov01,6,3,9,US Gas Phy Index IF EP SanJuan Nov01,65000,30000,95000,10555.555555555555
,US Gas Phy Index IF EP SanJuan Nov01-Mar02,1,,1,US Gas Phy Index IF EP SanJuan Nov01-Mar02,15000,,15000,15000
RGAY Total,12,491,536,1027,,4421233,4937072,9358305,9112.273612463487
,,,,,,,,,
SSOUTH,,,,,,,,,
,US Gas Phy NWPL RkyMtn Pool,68,102,170,US Gas Phy NWPL RkyMtn Pool,323376,409402,732778,4310.458823529411
,US Gas Phy NWPL RkyMtn Pool 01Nov01,2,3,5,US Gas Phy NWPL RkyMtn Pool 01Nov01,10000,13471,23471,4694.2
,US Gas Phy NWPL RkyMtn Pool Nov01,,2,2,US Gas Phy NWPL RkyMtn Pool Nov01,,10000,10000,5000
,US Gas Phy NWPL Wyoming Pool,27,38,65,US Gas Phy NWPL Wyoming Pool,117426,160555,277981,4276.630769230769
,US Gas Phy NWPL Wyoming Pool 01Nov01,5,4,9,US Gas Phy NWPL Wyoming Pool 01Nov01,16365,16365,32730,3636.6666666666665
,US Gas Phy Opal,372,706,1078,US Gas Phy Opal,1660985,3234341,4895326,4541.118738404452
,US Gas Phy Opal 01Nov01,38,55,93,US Gas Phy Opal 01Nov01,165476,260139,425615,4576.5053763440865
,US Gas Phy Opal Nov01,10,1,11,US Gas Phy Opal Nov01,50000,5000,55000,5000
,US Gas Phy PGT Stanfield,98,103,201,US Gas Phy PGT Stanfield,495000,525000,1020000,5074.626865671642
,US Gas Phy PGT Stanfield 01Nov01,11,9,20,US Gas Phy PGT Stanfield 01Nov01,55000,45000,100000,5000
SSOUTH Total,10,631,1023,1654,,2893628,4679273,7572901,4578.537484885127
,,,,,,,,,
TKUYKEN,,,,,,,,,
,US Gas Basis EP SanJuan Apr-Oct02,16,16,32,US Gas Basis EP SanJuan Apr-Oct02,150000,135000,285000,8906.25
,US Gas Basis EP SanJuan Apr-Oct03,1,1,2,US Gas Basis EP SanJuan Apr-Oct03,5000,5000,10000,5000
,US Gas Basis EP SanJuan Dec01,53,35,88,US Gas Basis EP SanJuan Dec01,515000,315000,830000,9431.818181818182
,US Gas Basis EP SanJuan Dec01-Mar02,16,12,28,US Gas Basis EP SanJuan Dec01-Mar02,155000,120000,275000,9821.42857142857
,US Gas Basis EP SanJuan Feb02,4,3,7,US Gas Basis EP SanJuan Feb02,40000,20000,60000,8571.42857142857
,US Gas Basis EP SanJuan Jan02,7,4,11,US Gas Basis EP SanJuan Jan02,70000,35000,105000,9545.454545454546
,US Gas Basis EP SanJuan Mar02,6,3,9,US Gas Basis EP SanJuan Mar02,60000,20000,80000,8888.888888888889
,US Gas Basis EP SanJuan Nov01,141,113,254,US Gas Basis EP SanJuan Nov01,1380000,1075000,2455000,9665.354330708662
,US Gas Basis EP SanJuan Nov01-Mar02,19,34,53,US Gas Basis EP SanJuan Nov01-Mar02,180000,320000,500000,9433.962264150943
,US Gas Basis EP SanJuan Nov02-Mar03,1,,1,US Gas Basis EP SanJuan Nov02-Mar03,5000,,5000,5000
,US Gas Swap IF EP SanJuan Nov01,2,1,3,US Gas Swap IF EP SanJuan Nov01,20000,10000,30000,10000
TKUYKEN Total,11,266,222,488,,2580000,2055000,4635000,9497.95081967213
,,,,,,,,,
Grand Total,,4582,4665,9247,,33642869,32917181,66560050,7198.0155726181465
