,,,,,,,,,,,,,,,,,,
West Phys- GDWest,, ,Transport,Sitara,Kieth's,Gas Daily ,Gas Daily,Consolidated,,Financial,Physical,Total,Curve,,,,,
,PGE/TOPOCK,0.59792936,-7.79988899,-7.20195963,0,0,0,-7.20195963,,0,-108029.39444999999,-108029.39444999999,1.5,,,,,
,NGI-SOCAL,8.38845076,6.9470424,15.335493159999999,0,0,9.5,24.83549316,,-137750,-222364.65082000013,-360114.6508200002,-1.45,,,,,
,NGI-SOCAL(KRS),0,0,0,0,0,0,0,,0,0,0,-1.45,,,,,
,,-22.943148475,2.6645352591003757e-15,-22.943148475,0,0,-31.86,-54.80314847500003,,-94794.00000000006,-596942.4891775001,-691736.4891775002,,,,,,
After 11:00? (Y/N),,Physical,Transport,Subtotal,T Model,GD Index,GD FP,Net,,TRADING ESTIMATE,TRADING ESTIMATE,TRADING ESTIMATE,TRADING ESTIMATE,,Actuals,Delta,Explanation,
y,Henry Hub/ Zone 6,0,0,0,0,0,0.34,0.34,,Financial Curveshift_BOM,,-94794.00000000006,792367,,-417598,1209965,,
,Chicago/PEPL/Demarc,0,0,0,0,0,-31,-31,,Financial Curveshift_Liquidated Day,,887161,,,,,,
,Waha,0,5.62502056,5.62502056,-3.299,0,-19.5,-17.17397944,,,,,,,,,,
,"Perm, San Juan",-9.638521770000002,-13.946602919999998,-21.208405271,3.299,0,31,13.090594729,,TDS-New Deals,,-629026.2,,,-591587,-37439.20000000007,,
,"Aeco, Sumas, Stan",1.01349029,-0.99884101,0.014649279999999987,0,0,0,0.014649279999999987,,TDS-CurveShift,,-47563788,,,-47493427,-70361,,
,Rockies,-15.33011241,0,-15.33011241,0,0,-26.2,-41.53011241,,Financial Index Curve Changes,,0,,,,,,
,"CA/ Scal, CG, Malin",1.0119954150000012,9.32042337,-4.441798073,0,0,13.5,9.058201926999999,,First of Month Indices Estimate,,,,,,,,
,,,,,,,,,,Misc. Financial,,,,,,,,
,Flow adjusted position,-22.943148475,0,-35.340645914,0,0,-31.86,-67.200645914,,TOTAL Financial,,,-47400447.2,,-48502612,1102164.8,-48382461,Actual Financial P&L
,,,,,,,,,,Physical_BOM,,-596942.4891775001,-1003375.6162750003,,-1099617,96241.38372499973,,
Flow %,,,,,,,,,,Physical_Liquidated Day,,-406433.12709750014,,,,,,
0.9,San Juan,Transport detail,,,,LOTS,,,,New Deals,,,,,-623813,623813,,
0.9,Permian,Ehrenberg,,19576,2,3.9152,,,,Changed Deals,,,,,356705,-356705,,
0.9,Socal,Socal TOP,,24761,2,4.9522,,,,Long term Transport Model,,-18195597.764999997,,,-17528863,-666734.7649999969,,
,,Socal KRS/BAJA OFF,,20000,2,4,,,,Physical Index Curve Changes,,0,,,-35972,35972,,
,,Mojave TOP,,15947,2,3.1894,,,,Physical Index New Deals,,-33757.39,,,-155535,121777.61,,
,,Socal TOP/Pasadena,,2486,2,0.4972,,,,TOTAL Physical,,,-19232730.771275,,-19087095,-2599549.771274999,-16633181,Actual Physical P&L
,,Socal KRS / Pasadena,,3866,2,0.7732,,,,TOTAL GD-WEST,,,-66633177.971275,,2440348,Prompr Month Value,,
,,,,,,17.327199999999998,,,,,,YEAR TO DATE PHY&FIN,-154506359,,,,,
Transport Rates,,,,,,,,,,,,,,,,,,
El Paso,,GDA,,Transwestern,,GDA,,,,,,TOTAL GD-NEW,-221139536.971275,,,,,
San Juan,,2.73,,San Juan,,2.75,,,,,,,,,,,,
Permian,,3.6,,East of Thoreau,,2.84,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
San Juan-Border,,,,Citizens,,,,,,,,,,,,,,
Commodity,,0.0261,,Commodity,,0.0253,,,,,,,,,,,,
Fuel (3.88%),,0.105924,,Fuel (4.5%),,0.1067,,,,,,,,,,,,
Total Variable,,0.132024,,Total Variable,,0.132,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Permian-Border,,,,La Plata to EOT,,,,,,,,,,,,,,
Commodity,,0.0435,,Commodity,,0.0176,,,,,,,,,,,,
Fuel (3.88%),,0.13968,,Fuel (1.56%),,0.0429,,,,,,,,,,,,
Total Variable,,0.18318,,Total Variable,,0.0605,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
San Juan-Waha,,,,San Juan to EOT,,,,,,,,,,,,,,
Commodity,,0.0053,,Commodity,,0.0176,,,,,,,,,,,,
Fuel (3.88%),,0.105924,,Fuel (1.31%),,0.036025,,,,,,,,,,,,
Total Variable,,0.111224,,Total Variable,,0.053625000000000006,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Permian-Waha,,,,Thoreau to EOT,,,,,,,,,,,,,,
Commodity,,0.0053,,Commodity,,0.0165,,,,,,,,,,,,
Fuel (1.55%),,0.0558,,Fuel (1.31%),,0.036025,,,,,,,,,,,,
Total Variable,,0.0611,,Total Variable,,0.052525,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
San Juan-AZ/Nev,,,,West Texas to EOT,,,,,,,,,,,,,,
Commodity,,0.0289,,Commodity,,0,,,,,,,,,,,,
Fuel (3.88%),,0.105924,,Fuel (1.31%),,0.037204,,,,,,,,,,,,
Total Variable,,0.134824,,Total Variable,,0.037204,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Permian-AZ/Nev,,,,IB Link to SJ Pool,,,,,,,,,,,,,,
Commodity,,0.0316,,Commodity,,0.0011,,,,,,,,,,,,
Fuel (3.88%),,0.13968,,Fuel (.25%),,0.006875,,,,,,,,,,,,
Total Variable,,0.17128,,Total Variable,,0.007975,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Permian-Waha IT,,,,IB Link to EP I/C,,,,,,,,,,,,,,
Commodity,,0.045,,Commodity,,0.0033,,,,,,,,,,,,
Fuel (1.55%),,0.0558,,Fuel (.25%),,0.006875,,,,,,,,,,,,
,,0.1008,,Total Variable,,0.010175,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Reservation,,,,IB Link to EP I/C IT,,,,,,,,,,,,,,
,,,,Commodity,,0.04,,,,,,,,,,,,
9KUB,5.8,Monthly,,Fuel (.25%),,0.006875,,,,,,,,,,,,
9KUC,5.8,Monthly,,Total Variable,,0.046875,,,,,,,,,,,,
24568,0.2125,,,,,,,,,,,,,,,,,
24654,0.2125,,,,,,,,,,,,,,,,,
26740,0.05,,,,,,,,,,,,,,,,,
24924,0.06,,,,,,,,,,,,,,,,,
26519,0.1031,,,,,,,,,,,,,,,,,
26520,0.2082,,,,,,,,,,,,,,,,,
