,North,South,West,
1430 ,$29.25 ,$28.04 ,$9.29 ,
1445 ,$29.25 ,$28.09 ,$10.13 ,
1500 ,$29.25 ,$28.78 ,$21.53 ,
1515 ,$33.32 ,$31.30 ,($0.01) ,
1530 ,$33.32 ,$31.30 ,($0.01) ,
1545 ,$33.41 ,$31.30 ,($1.50) ,
1600 ,$33.42 ,$31.40 ,($0.01) ,
1615 ,$150.00 ,$110.00 ,$34.59 ,
1630 ,$150.00 ,$110.00 ,$34.80 ,
1645 ,$37.97 ,$37.49 ,$30.03 ,
1700 ,$34.99 ,$34.45 ,$26.07 ,
1715 ,$32.04 ,$29.50 ,($9.90) ,
1730 ,$30.16 ,$28.25 ,($1.50) ,
1745 ,$28.48 ,$27.32 ,$9.29 ,
1800 ,$29.74 ,$24.92 ,($49.90) ,
1815 ,$31.00 ,$26.10 ,($49.90) ,
1830 ,$28.90 ,$24.13 ,($49.90) ,
1845 ,$29.67 ,$24.85 ,($49.90) ,
1900 ,$25.79 ,$21.21 ,($49.90) ,
1915 ,$6.50 ,$3.09 ,($49.90) ,
1930 ,$7.54 ,$6.42 ,($11.00) ,
1945 ,$11.70 ,$10.39 ,($9.90) ,
2000 ,$18.30 ,$17.10 ,($1.50) ,
2015 ,$23.35 ,$22.50 ,$9.29 ,
2030 ,$26.24 ,$25.53 ,$14.40 ,
2045 ,$19.33 ,$18.90 ,$12.20 ,
2100 ,$18.69 ,$18.30 ,$12.30 ,
2115 ,$12.50 ,$12.50 ,$12.50 ,
2130 ,$12.20 ,$12.20 ,$12.20 ,
2145 ,$10.60 ,$10.60 ,$10.60 ,
2200 ,$10.30 ,$10.30 ,$10.30 ,
2215 ,$19.94 ,$19.94 ,$19.94 ,
2230 ,$17.70 ,$17.70 ,$17.70 ,
2245 ,$12.40 ,$12.40 ,$12.40 ,
2300 ,$10.14 ,$10.14 ,$10.14 ,
2315 ,$6.92 ,$6.92 ,$6.92 ,
2330 ,$5.60 ,$5.60 ,$5.60 ,
2345 ,$19.61 ,$19.61 ,$19.61 ,
2400 ,($999.00) ,($999.00) ,($999.00) ,
0015 ,$5.18 ,$5.18 ,$5.18 ,2001-10-25
0030 ,$1.60 ,$1.60 ,$1.60 ,
0045 ,$1.90 ,$1.90 ,$1.90 ,
0100 ,$2.00 ,$2.00 ,$2.00 ,
0115 ,$1.80 ,$1.80 ,$1.80 ,
0130 ,$2.00 ,$2.00 ,$2.00 ,
0145 ,$6.24 ,$6.24 ,$6.24 ,
0200 ,$6.53 ,$6.53 ,$6.53 ,
0115 ,$1.80 ,$1.80 ,$1.80 ,
0130 ,$2.00 ,$2.00 ,$2.00 ,
0145 ,$6.24 ,$6.24 ,$6.24 ,
0200 ,$6.53 ,$6.53 ,$6.53 ,
0215 ,$3.90 ,$3.90 ,$3.90 ,
0230 ,$4.60 ,$4.60 ,$4.60 ,
0245 ,$4.40 ,$4.40 ,$4.40 ,
0300 ,$3.70 ,$3.70 ,$3.70 ,
0315 ,$1.90 ,$1.90 ,$1.90 ,
0330 ,$1.90 ,$1.90 ,$1.90 ,
0345 ,$1.90 ,$1.90 ,$1.90 ,
0400 ,$1.84 ,$1.84 ,$1.84 ,
0415 ,$6.50 ,$6.50 ,$6.50 ,
0430 ,$6.30 ,$6.30 ,$6.30 ,
0445 ,$7.50 ,$7.50 ,$7.50 ,
0500 ,$6.20 ,$6.20 ,$6.20 ,
0515 ,$5.70 ,$5.70 ,$5.70 ,
0530 ,$5.20 ,$5.20 ,$5.20 ,
0545 ,$7.40 ,$7.40 ,$7.40 ,
0600 ,$1.90 ,$1.90 ,$1.90 ,
0615 ,$1.00 ,$1.00 ,$1.00 ,
0630 ,$1.60 ,$1.60 ,$1.60 ,
0645 ,$1.90 ,$1.90 ,$1.90 ,
0700 ,$9.00 ,$9.00 ,$9.00 ,
