Deal ID,Counterparty,Deal Date,Deal Start Date,Deal End Date,Contract Document No.,Buy/Sell,Portfolio,Fixed Price,From Delivery Point,Volume
777764.1,Public Service Company Of Colorado,2001-09-17 13:04:07,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,32,PALO VERDE,50
777878.1,Public Service Company Of Colorado,2001-09-17 13:43:56,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,32,PALO VERDE,50
778746.1,Public Service Company Of Colorado,2001-09-18 06:11:22,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,36.5,MID COLUMBIA,25
779223.1,Public Service Company Of Colorado,2001-09-18 07:29:01,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,19.8,PALO VERDE,25
784710.1,Public Service Company Of Colorado,2001-09-21 06:43:26,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.5,PALO VERDE,25
789008.1,Public Service Company Of Colorado,2001-09-25 07:12:03,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,30.75,MID COLUMBIA,25
791027.1,Public Service Company Of Colorado,2001-09-26 06:45:42,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,31,MID COLUMBIA,25
792225.1,Public Service Company Of Colorado,2001-09-26 17:04:00,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,29.25,MID COLUMBIA,25
803943.1,Public Service Company Of Colorado,2001-10-04 06:41:42,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,26.3,PALO VERDE,25
804983.1,Public Service Company Of Colorado,2001-10-04 13:44:00,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,28,PALO VERDE,100
804983.2,Public Service Company Of Colorado,2001-10-25 15:48:00,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,28,PALO VERDE,100
812315.1,Public Service Company Of Colorado,2001-10-10 08:13:58,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,26.5,PALO VERDE,25
812467.1,Public Service Company Of Colorado,2001-10-10 09:00:40,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,26.65,PALO VERDE,25
813241.1,Public Service Company Of Colorado,2001-10-10 15:12:55,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,28.25,MID COLUMBIA,25
814361.1,Public Service Company Of Colorado,2001-10-11 06:48:30,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,26,PALO VERDE,25
814427.1,Public Service Company Of Colorado,2001-10-11 07:01:06,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,28.2,MID COLUMBIA,25
814973.1,Public Service Company Of Colorado,2001-10-11 09:46:40,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,28.55,MID COLUMBIA,25
814999.1,Public Service Company Of Colorado,2001-10-11 09:49:07,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,28.65,MID COLUMBIA,25
815120.1,Public Service Company Of Colorado,2001-10-11 10:37:22,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,28.7,MID COLUMBIA,25
816556.1,Public Service Company Of Colorado,2001-10-12 06:15:12,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,27.25,PALO VERDE,25
817682.1,Public Service Company Of Colorado,2001-10-12 11:55:55,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.95,MID COLUMBIA,25
817723.1,Public Service Company Of Colorado,2001-10-12 12:32:29,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.95,MID COLUMBIA,25
819238.1,Public Service Company Of Colorado,2001-10-15 08:43:45,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,27.15,MID COLUMBIA,25
821414.1,Public Service Company Of Colorado,2001-10-16 07:57:19,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.5,MID COLUMBIA,25
821416.1,Public Service Company Of Colorado,2001-10-16 07:58:21,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.4,MID COLUMBIA,25
821477.1,Public Service Company Of Colorado,2001-10-16 08:12:44,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.4,MID COLUMBIA,25
821509.1,Public Service Company Of Colorado,2001-10-16 08:23:56,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.3,MID COLUMBIA,25
821632.1,Public Service Company Of Colorado,2001-10-16 08:58:27,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,26.85,PALO VERDE,25
821682.1,Public Service Company Of Colorado,2001-10-16 09:14:29,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,27.15,PALO VERDE,25
821792.1,Public Service Company Of Colorado,2001-10-16 09:48:25,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.9,MID COLUMBIA,25
821817.1,Public Service Company Of Colorado,2001-10-16 10:01:46,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.9,MID COLUMBIA,25
822087.1,Public Service Company Of Colorado,2001-10-16 13:30:12,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.3,MID COLUMBIA,25
822089.1,Public Service Company Of Colorado,2001-10-16 13:31:19,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,28.15,MID COLUMBIA,25
823374.1,Public Service Company Of Colorado,2001-10-17 06:43:53,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,28.5,MID COLUMBIA,25
823376.1,Public Service Company Of Colorado,2001-10-17 06:43:58,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,28.6,MID COLUMBIA,25
823493.1,Public Service Company Of Colorado,2001-10-17 07:06:14,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,28.6,MID COLUMBIA,25
823712.1,Public Service Company Of Colorado,2001-10-17 07:38:06,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,27.8,MID COLUMBIA,25
824289.1,Public Service Company Of Colorado,2001-10-17 11:19:20,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.5,MID COLUMBIA,25
824322.1,Public Service Company Of Colorado,2001-10-17 13:15:46,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,27.5,MID COLUMBIA,25
824329.1,Public Service Company Of Colorado,2001-10-17 13:27:34,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,27.5,MID COLUMBIA,25
824335.1,Public Service Company Of Colorado,2001-10-17 11:29:03,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,26.8,PALO VERDE,25
824336.1,Public Service Company Of Colorado,2001-10-17 11:30:01,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,27,PALO VERDE,25
824424.1,Public Service Company Of Colorado,2001-10-17 13:52:01,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,26.75,PALO VERDE,25
825855.1,Public Service Company Of Colorado,2001-10-18 07:36:03,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.15,MID COLUMBIA,25
825898.1,Public Service Company Of Colorado,2001-10-18 07:47:00,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.05,MID COLUMBIA,25
826216.1,Public Service Company Of Colorado,2001-10-18 09:40:24,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,27.55,MID COLUMBIA,25
826598.1,Public Service Company Of Colorado,2001-10-18 13:33:36,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,27.1,MID COLUMBIA,25
826723.1,Public Service Company Of Colorado,2001-10-18 12:14:54,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.85,MID COLUMBIA,25
826941.1,Public Service Company Of Colorado,2001-10-18 16:20:02,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.75,MID COLUMBIA,25
828236.1,Public Service Company Of Colorado,2001-10-19 07:55:49,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,27.1,PALO VERDE,25
828493.1,Public Service Company Of Colorado,2001-10-19 08:31:33,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.5,PALO VERDE,25
829297.1,Public Service Company Of Colorado,2001-10-19 12:39:50,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27.25,PALO VERDE,25
833764.1,Public Service Company Of Colorado,2001-10-23 07:24:15,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,28.8,PALO VERDE,25
836350.1,Public Service Company Of Colorado,2001-10-24 08:12:34,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,28.7,MID COLUMBIA,25
836550.1,Public Service Company Of Colorado,2001-10-24 09:33:41,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,28.7,MID COLUMBIA,25
836551.1,Public Service Company Of Colorado,2001-10-24 09:34:35,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,28.8,MID COLUMBIA,25
836598.1,Public Service Company Of Colorado,2001-10-24 12:03:04,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,28.9,MID COLUMBIA,25
837005.1,Public Service Company Of Colorado,2001-10-24 11:39:18,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,30.1,MID COLUMBIA,25
837007.1,Public Service Company Of Colorado,2001-10-24 11:39:24,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,30,MID COLUMBIA,25
837083.1,Public Service Company Of Colorado,2001-10-24 11:58:06,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,30.1,MID COLUMBIA,25
837116.1,Public Service Company Of Colorado,2001-10-24 12:05:02,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,30.5,MID COLUMBIA,25
837213.1,Public Service Company Of Colorado,2001-10-24 12:32:37,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,30.8,MID COLUMBIA,25
837220.1,Public Service Company Of Colorado,2001-10-24 12:34:25,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,31,MID COLUMBIA,25
837222.1,Public Service Company Of Colorado,2001-10-24 12:34:58,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,30.9,MID COLUMBIA,25
837235.1,Public Service Company Of Colorado,2001-10-24 12:38:21,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,31,MID COLUMBIA,25
837236.1,Public Service Company Of Colorado,2001-10-24 12:38:39,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,31.1,MID COLUMBIA,25
837240.1,Public Service Company Of Colorado,2001-10-24 12:39:11,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,31,MID COLUMBIA,25
837247.1,Public Service Company Of Colorado,2001-10-24 12:40:24,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,31.2,MID COLUMBIA,25
837256.1,Public Service Company Of Colorado,2001-10-24 12:41:10,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,31.3,MID COLUMBIA,25
837258.1,Public Service Company Of Colorado,2001-10-24 12:42:08,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,31.2,MID COLUMBIA,25
837394.1,Public Service Company Of Colorado,2001-10-24 13:00:49,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,31.75,MID COLUMBIA,25
837396.1,Public Service Company Of Colorado,2001-10-24 13:00:55,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,31.85,MID COLUMBIA,25
837403.1,Public Service Company Of Colorado,2001-10-24 13:01:12,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,31.95,MID COLUMBIA,25
837405.1,Public Service Company Of Colorado,2001-10-24 13:02:00,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,31.95,MID COLUMBIA,25
837448.1,Public Service Company Of Colorado,2001-10-24 13:09:18,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,32.15,MID COLUMBIA,25
837454.1,Public Service Company Of Colorado,2001-10-24 13:11:18,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,32.15,MID COLUMBIA,25
837456.1,Public Service Company Of Colorado,2001-10-24 13:11:37,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,32.05,MID COLUMBIA,25
837457.1,Public Service Company Of Colorado,2001-10-24 13:12:09,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,32.05,MID COLUMBIA,25
837515.1,Public Service Company Of Colorado,2001-10-24 13:27:51,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,32.25,MID COLUMBIA,25
837519.1,Public Service Company Of Colorado,2001-10-24 13:29:09,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,32.35,MID COLUMBIA,25
837564.1,Public Service Company Of Colorado,2001-10-24 15:55:30,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,31.3,MID COLUMBIA,25
838829.1,Public Service Company Of Colorado,2001-10-25 06:30:49,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,34.05,MID COLUMBIA,25
838840.1,Public Service Company Of Colorado,2001-10-25 06:32:13,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,33.9,MID COLUMBIA,25
839089.1,Public Service Company Of Colorado,2001-10-25 07:13:15,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,33.65,MID COLUMBIA,25
839239.1,Public Service Company Of Colorado,2001-10-25 07:41:29,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,34.7,MID COLUMBIA,25
839247.1,Public Service Company Of Colorado,2001-10-25 07:42:24,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,34.7,MID COLUMBIA,25
839342.1,Public Service Company Of Colorado,2001-10-25 08:00:26,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,33.95,MID COLUMBIA,25
840333.1,Public Service Company Of Colorado,2001-10-25 11:55:13,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,33.65,MID COLUMBIA,25
842380.1,Public Service Company Of Colorado,2001-10-26 08:22:34,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,32.45,PALO VERDE,25
842442.1,Public Service Company Of Colorado,2001-10-26 08:47:38,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,34.7,MID COLUMBIA,25
842453.1,Public Service Company Of Colorado,2001-10-26 08:50:22,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,34.825,MID COLUMBIA,25
842472.1,Public Service Company Of Colorado,2001-10-26 08:58:43,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,34.7,MID COLUMBIA,25
842477.1,Public Service Company Of Colorado,2001-10-26 09:02:33,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,32.6,PALO VERDE,25
842489.1,Public Service Company Of Colorado,2001-10-26 09:04:01,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,32.45,PALO VERDE,25
843873.1,Public Service Company Of Colorado,2001-10-29 06:08:00,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,34.25,PALO VERDE,25
844981.1,Public Service Company Of Colorado,2001-10-29 10:37:29,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,37,PALO VERDE,25
844988.1,Public Service Company Of Colorado,2001-10-29 10:38:07,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,38.9,MID COLUMBIA,25
845356.1,Public Service Company Of Colorado,2001-10-29 14:12:33,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,39.25,MID COLUMBIA,25
847332.1,Public Service Company Of Colorado,2001-10-30 12:25:25,2001-11-01 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,,PALO VERDE,100
854294.1,Public Service Company Of Colorado,2001-11-02 07:43:11,2001-11-06 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,31.1,PALO VERDE,25
854300.1,Public Service Company Of Colorado,2001-11-02 07:43:58,2001-11-06 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,31.35,PALO VERDE,25
854967.1,Public Service Company Of Colorado,2001-11-02 13:12:20,2001-11-06 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,31.25,PALO VERDE,25
859552.1,Public Service Company Of Colorado,2001-11-06 08:49:09,2001-11-08 00:00:00,2001-11-30 00:00:00,96026964,S,WEST,29.1,PALO VERDE,25
859859.1,Public Service Company Of Colorado,2001-11-06 12:41:40,2001-11-08 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,27,MID COLUMBIA,25
859941.1,Public Service Company Of Colorado,2001-11-06 13:04:21,2001-11-08 00:00:00,2001-11-30 00:00:00,96026964,B,WEST,29.1,PALO VERDE,25
