October Scheduled volumes for Socal and West of Thoreau,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Window,Nomed,Scheduled,,,,,Net Scheduled,Capacity,Scheduled,,Notes / Comments
,,Intraday 1,711026,717046,686090,,,,Intraday 1,1012701,1100000,1012762,,"Reliant Supply being cut due to Confirmation & Allocation (30,000)"
,,Intraday 2,698142,717046,686088,,,,Intraday 2,1012694,1100000,1012755,,"Reliant Supply being cut due to Confirmation & Allocation (30,000)"
,,Final,698142,717046,686088,,,,Final,1012694,1100000,1012755,,
,,,,,,,,,,, ,,,
2001-10-20 00:00:00,Socal,Timely,695759,649370,616442,,West of Thoreau,,Timely,907914,1100000,907975,,"Reliani's supply being confirmed down @ PG&E (30,000)"
Sat.,,Evening,628948,649370,616791,,,,Evening,909277,1100000,909338,,"Reliant Supply being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,Intraday 1,625332,649370,618414,,,,Intraday 1,910900,1100000,910961,,"Reliant Supply being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,Intraday 2,625965,649370,618412,,,,Intraday 2,910893,1100000,910954,,"Reliant Supply being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,Final,625965,649370,618412,,,,Final,910893,1100000,910954,,
,,,,,,,,,, , ,,,
2001-10-21 00:00:00,Socal,Timely,629941,649370,618414,,West of Thoreau,,Timely,909833,1100000,909894,,"Reliant Supply being cut due to Alloc-Socal & Conf-PG&E (30,000)"
Sun.,,Evening,624685,649370,618414,,,,Evening,910116,1100000,910177,,"Reliant Supply being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,Intraday 1,622870,649370,620650,,,,Intraday 1,910833,1100000,910894,,"Reliant Supply being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,Intraday 2,622870,649370,618412,,,,Intraday 2,910826,1100000,910887,,"Reliant Supply being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,Final,622870,649370,618412,,,,Final,910826,1100000,910887,,
,,,,,,,,,, , ,,,
2001-10-22 00:00:00,Socal,Timely,761344,649370,618160,,West of Thoreau,,Timely,910515,1100000,910576,,"Reliani's supply being confirmed down @ PG&E (30,000)"
Mon.,,Evening,652211,649370,618092,,,,Evening,910447,1100000,910508,,"Reliani's supply being confirmed down @ PG&E (30,000)"
,,Intraday 1,654874,649370,618109,,,,Intraday 1,910514,1100000,910575,,"Reliant Supply being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,Intraday 2,653940,649370,618109,,,,Intraday 2,910545,1100000,910606,,"Reliani's supply being confirmed down @ PG&E (30,000)"
,,Final,653940,649370,618109,,,,Final,910545,1100000,910606,,
,,,,,,,,,,,,,,
2001-10-23 00:00:00,Socal,Timely,771357,724657,673183,,West of Thoreau,,Timely,959711,1100000,959772,,"Reliant, TXU and Aquila Dallas confirmed to zero, (42548)"
Tues.,,Evening,728274,724656,676003,,,,Evening,963115,1100000,963176,,"Reliani's supply being confirmed down @ PG&E (30,000)"
,,,,,,,,,,,,,,"USGT's supply being confirmed down @ Socal (10,000)"
,,Intraday 1,728807,730381,678641,,,,Intraday 1,965753,1100000,965814,,Same reason as Evening on both contract's.
,,Intraday 2,724930,724656,678640,,,,Intraday 2,965747,1100000,965808,,Same reason as Evening on both contract's.
,,Final,724930,724656,678640,,,,Final,965747,1100000,965808,,
,,,,,,,,,,,,,,
2001-10-24 00:00:00,Socal,Timely,792035,727047,678353,,West of Thoreau,,Timely,981131,1100000,981192,,"Reliani's supply being confirmed down @ PG&E (30,000)"
,,,,,,,,,,,,,,"Southern Calif. Gas, pipeline balancing at West TX Pool"
Wed.,,Evening,719415,727047,696093,,,,Evening,1003875,1100000,1003932,,"Reliant Supply being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,Intraday 1,734584,727047,696091,,,,Intraday 1,1003869,1100000,1003930,,"Reliani's supply being confirmed down @ PG&E (30,000)"
,,Intraday 2,734027,727047,696089,,,,Intraday 2,1003862,1100000,1003923,,"Reliant Supply being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,Final,734027,727047,696089,,,,Final,1003862,1100000,1003923,,
October Scheduled volumes for Socal and West of Thoreau,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Window,Nomed,Scheduled,,,,,Net Scheduled,Capacity,Scheduled,,Notes / Comments
,,,,,,,,,,,,,,
2001-10-25 00:00:00,Socal,Timely,806400,710372,676602,,West of Thoreau,,Timely,967714,1100000,967775,,"Reliani's supply being confirmed down @ PG&E (30,000)"
Thur.,,Evening,714237,691107,654520,,,,Evening,945632,1100000,945693,,"Reliani's supply being confirmed down @ PG&E (30,000)"
,,,,,,,,,,,,,,"Southern Calif. Gas, pipeline balancing at West TX Pool"
,,Intraday 1,688721,691107,659938,,,,Intraday 1,951050,1100000,951111,,"Reliani's supply being confirmed down @ PG&E (30,000)"
,,Intraday 2,688029,691107,660078,,,,Intraday 2,951153,1100000,951214,,"Reliant Supply being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,Final,,,,,,,Final,0,1100000,,,
,,,,,,,,,,,,,,
2001-10-26 00:00:00,Socal,Timely,751242,624682,582926,,West of Thoreau,,Timely,896037,1100000,896098,,"Reliani's supply being confirmed down @ PG&E (30,000)"
Fri.,,Evening,659805,624682,587926,,,,Evening,901037,1100000,901098,,"Reliani's supply being confirmed down @ PG&E (30,000)"
,,,,,,,,,,,,,,Sempra Energy being confirmed down @ Socal (5000)
,,Intraday 1,662248,624682,587750,,,,Intraday 1,900861,1100000,900922,,"Same reason as Evening process. (35,000)"
,,Intraday 2,638427,624682,587748,,,,Intraday 2,899001,1100000,899062,,"Same reason as Evening process. (35,000)"
,,Final,638427,624682,587748,,,,Final,899001,1100000,899062,,
,,,,,,,,,,,,,,
2001-10-27 00:00:00,Socal,Timely,674011,628215,578057,,West of Thoreau,,Timely,795774,1100000,795774,,"Reliani's supply being confirmed down @ PG&E (30,000)"
,,,,,,,,,,,,,,"PG&E Energy Trading being confirmed down by Socal (5,000)"
,,,,,,,,,,,,,,"Sempra Trading being cut due to a balancing cut @ West TX Pool (15,000)"
Sat.,,Evening,606965,628215,583257,,,,Evening,800974,1100000,800974,,"Reliant being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,,,,,,,,,,,,,Sempra Energy being confirmed down @ Socal (5000)
,,Intraday 1,611578,628215,597255,,,,Intraday 1,814972,1100000,814972,,"Reliant being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,Intraday 2,618887,631415,596637,,,,Intraday 2,814349,1100000,814349,,"Reliant being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,,,,,,,,,,,,,TXU Energy being cut due to Balancing & Conf. (3000)
,,Final,618887,631415,596637,,,,Final,814349,1100000,814349,,
,,,,,,,,,,,,,,
2001-10-28 00:00:00,Socal,Timely,621992,615876,597261,,West of Thoreau,,Timely,814978,1100000,814978,,"Reliant being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,,,,,,,,,,,,,TXU Energy being cut due to Conf. - Socal (3200)
Sun.,,Evening,608967,631415,597261,,,,Evening,814978,1100000,814978,,"Reason same as Timely (33,200)"
,,Intraday 1,606203,631415,600458,,,,Intraday 1,835426,1100000,835426,,"Reliant being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,Intraday 2,607711,631415,600453,,,,Intraday 2,835418,1100000,835418,,"Reliant being cut due to Alloc-Socal & Conf-PG&E (30,000)"
,,Final,607711,631415,600453,,,,Final,0,1100000,,,
,,,,,,,,,,,,,,
2001-10-29 00:00:00,Socal,Timely,806400,631415,600461,,West of Thoreau,,Timely,818178,1100000,818178,,"Reliani's supply being confirmed down @ PG&E (30,000)"
Mon.,,Evening,703963,631415,600461,,,,Evening,818178,1100000,818178,,"Reliani's supply being confirmed down @ PG&E (30,000)"
,,Intraday 1,,,,,,,Intraday 1,0,1100000,,,
,,Intraday 2,,,,,,,Intraday 2,0,1100000,,,
,,Final,,,,,,,Final,0,1100000,,,
,,,,,,,,,,,,,,
2001-10-30 00:00:00,Socal,Timely, , , ,,West of Thoreau,,Timely,0,1100000,,,
Tue.,,Evening, , , ,,,,Evening,0,1100000,,,
,,Intraday 1,,,,,,,Intraday 1,0,1100000,,,
,,Intraday 2,,,,,,,Intraday 2,0,1100000,,,
,,Final,,,,,,,Final,0,1100000,,,
,,,,,,,,,,,,,,
2001-10-31 00:00:00,Socal,Timely, , , ,,West of Thoreau,,Timely,0,1100000,,,
Wed.,,Evening, , , ,,,,Evening,0,1100000,,,
,,Intraday 1,,,,,,,Intraday 1,0,1100000,,,
,,Intraday 2,,,,,,,Intraday 2,0,1100000,,,
,,Final,,,,,,,Final,0,1100000,,,
,,,,,,,,,,,,,,
2001-11-01 00:00:00,Socal,Timely, , , ,,West of Thoreau,,Timely,0,1100000,,,
Thur.,,Evening, , , ,,,,Evening,0,1100000,,,
,,Intraday 1,,,,,,,Intraday 1,0,1100000,,,
,,Intraday 2,,,,,,,Intraday 2,0,1100000,,,
,,Final,,,,,,,Final,0,1100000,,,
