COMPANY_ID,COMPANY_NAME,CITY,DIV_NAME,DEAL_QTY,DEAL_VALUE,% TOTAL_VALUE,% TOTAL_QTY,DEAL_COUNT,CREDIT_WATCH
81454,Northern California Power Agency - NCPA,Roseville,California,13314,2043904,0.006,0.003,14,NO
54354,City of McMinnville Water & Light,McMinnville,Oregon,66350,1979698,0.006,0.014,18,NO
5357,Conoco Pipe Line Company,Houston,Texas,61246,1961083,0.006,0.013,22,NO
3497,Conoco Inc,Houston,Texas,85902,1918979,0.006,0.019,10,NO
63869,Ash Grove Cement Company Inc,Shawnee Mission,Kansas,36071,1903173,0.005,0.008,12,NO
52239,Tillamook Peoples Utility District,Tillamook,Oregon,58505,1786378,0.005,0.013,10,NO
53939,"Illinova Energy Partners, Inc.",Midvale,Utah,30800,1681680,0.005,0.007,3,NO
58812,Montana Power Trading & Marketing Company,Butte,Montana,61990,1575414,0.005,0.013,4,YES
1805,Imperial Irrigation District,Imperial,California,10837,1546240,0.004,0.002,59,NO
53618,"PG&E Energy Services, Energy Trading Corporation",San Francisco,California,14515,891533,0.003,0.003,12,NO
80488,Colstrip Energy Limited Partnership,Boise,Idaho,4406,718821,0.002,0.001,10,NO
608,"Arizona Electric Power Cooperative, Inc.",Benson,Arizona,3460,658708,0.002,0.001,7,NO
65485,Cenex Harvest States Cooperatives,Denver,Colorado,26334,568814,0.002,0.006,2,NO
63071,El Paso Power Services Company,Houston,Texas,21600,568080,0.002,0.005,2,NO
201,Southwestern Public Service Company,Amarillo,Texas,10795,460060,0.001,0.002,51,NO
64638,"Golden Sunlight Mines, Inc",Whitehall,Montana,16093,347609,0.001,0.003,2,NO
45734,PUD No. 1 of Grays Harbor County,Aberdeen,Washington,12064,338788,0.001,0.003,73,YES
70778,"Automated Power Exchange, Inc.",Santa Clara,California,17634,301690,0.001,0.004,12,NO
48969,Comision Federal De Electricidad,Mexico City,Federal District,4275,188224,0.001,0.001,27,NO
68254,"FPL Energy Power Marketing, Inc.",N Palm Beach,Florida,876,147896,0,0,6,NO
83857,"Wheelabrator Shasta Energy Company, Inc.",Anderson,California,276,112433,0,0,6,NO
63296,Ballard Petroleum LLC,Billings,Montana,2927,75370,0,0.001,4,YES
51293,"Public Utility District No.1 of Benton County, Washington",Kennewick,Washington,496,73600,0,0,2,YES
632,Atlantic City Electric Company,Wilmington,Delaware,696,59763,0,0,1,NO
65372,Reliant Energy HL&P,Houston,Texas,247,44055,0,0,1,NO
33346,Plains Electric Generation & Transmission Cooperative Inc.,Albuquerque,New Mexico,855,40700,0,0,4,YES
62549,California Out-of-Market,Houston,Texas,155,38750,0,0,1,NO
64083,City of Richland,Richland,Washington,144,21120,0,0,2,NO
5300,"Burbank, City Of",Burbank,California,90,18750,0,0,2,NO
52127,Franklin County PUD #1,Pasco,Washington,96,14080,0,0,2,YES
60210,City of Banning,Banning,California,480,12800,0,0,3,NO
76416,Western Area Power Administration - CRSP Bank,Houston,Texas,75,12223,0,0,1,NO
51701,City of Colton,Colton,California,140,11732,0,0,2,NO
71951,Tacoma Supp.,Houston,Texas,40,9200,0,0,1,NO
72188,CRC Supp.,Houston,Texas,45,5813,0,0,1,NO
64011,"Transcanada Power Marketing, Ltd",Westborough,Massachusetts,16,5760,0,0,1,NO
1421,Florida Power & Light Company,West Palm Beach,Florida,20,5500,0,0,1,NO
50595,Michigan Electric Coordinated Systems,Ann Arbor,Michigan,194,4317,0,0,2,NO
59638,California Supplemental,Houston,Texas,125,1754,0,0,3,NO
26344,Rocky Mountain Generation Cooperative Inc.,Ft Collins,Colorado,80,1640,0,0,1,NO
