"Historical Streamflow  (Average of the daily values)    Columbia River at The Dalles, Oregon",,,,,,,,
,,"October 1, 19XX - - September 30, 19YY",,,,,,
,1921-1922,183.19534246575344,,1954-1955,178.97287671232877,,1991-1992,143.43005464480868
,1911-1912,182.83196721311478,,1955-1956,243.39016393442623,,1992-1993,155.24794520547948
,1957-1958,180.74520547945207,,1956-1957,194.11917808219178,,1993-1994,132.713698630137
,1948-1949,180.14164383561646,,1957-1958,180.74520547945207,,1994-1995,167.21013698630134
,1922-1923,179.4380821917808,,1958-1959,211.58794520547946,,1995-1996,251.87131147540987
,1952-1953,179.3358904109589,,1959-1960,195.34672131147542,,1996-1997,263.71178082191784
,1954-1955,178.97287671232877,,1960-1961,189.03123287671232,,1997-1998,194.4693150684932
,1941-1942,178.58109589041092,,1961-1962,169.32246575342464,,1998-1999,215.36931506849317
,1989-1990,177.00438356164383,,1962-1963,174.14767123287672,,,
,1962-1963,174.14767123287672,,1963-1964,184.19289617486334,,Grand Avg,185.2469617058591
,1918-1919,172.0027397260274,,1964-1965,224.45150684931508,,Std Dev,34.4296509130658
,1977-1978,170.5304109589041,,1965-1966,162.02246575342465,,Min,119.60464480874316
,1934-1935,170.22,,1966-1967,191.2912328767123,,Max,263.71178082191784
,1961-1962,169.32246575342464,,1967-1968,165.70163934426228,,Median,187.01397260273978
,1994-1995,167.21013698630134,,1968-1969,205.82712328767133,,,
,1969-1970,166.47835616438357,,1969-1970,166.47835616438357,,,
,1967-1968,165.70163934426228,,1970-1971,226.36164383561652,,Since1965,Since1965
,1984-1985,165.06191780821916,,1971-1972,244.14016393442623,,,
,1965-1966,162.02246575342465,,1972-1973,136.13479452054793,,Grand Avg,185.58614437662044
,1979-1980,159.03633879781418,,1973-1974,237.74,,Std Dev,37.74015107934414
,1935-1936,158.91939890710384,,1974-1975,187.01397260273978,,Min,120.44027397260272
,1919-1920,156.79480874316937,,1975-1976,220.272131147541,,Max,263.71178082191784
,1905-1906,156.7145205479452,,1976-1977,120.44027397260272,,Median,182.0091780821918
,1988-1989,155.92739726027395,,1977-1978,170.5304109589041,,,
,1992-1993,155.24794520547948,,1978-1979,152.4808219178082,,,
,1978-1979,152.4808219178082,,1979-1980,159.03633879781418,,,
,1944-1945,150.81260273972603,,1980-1981,187.41150684931506,,,
,1938-1939,149.72410958904112,,1981-1982,228.9043835616438,,,
,1939-1940,148.4532786885246,,1982-1983,216.6304109589041,,,
,1914-1915,146.78465753424655,,1983-1984,211.53196721311474,,,
,1986-1987,145.08931506849316,,1984-1985,165.06191780821916,,,
,1991-1992,143.43005464480868,,1985-1986,190.05643835616436,,,
,1904-1905,139.90849315068496,,1986-1987,145.08931506849316,,,
,1923-1924,136.79508196721306,,1987-1988,135.8073770491803,,,
,1972-1973,136.13479452054793,,1988-1989,155.92739726027395,,,
,1987-1988,135.8073770491803,,1989-1990,177.00438356164383,,,
,1928-1929,132.77041095890414,,1990-1991,203.44520547945203,,,
,1993-1994,132.713698630137,,1991-1992,143.43005464480868,,,
,1929-1930,131.39287671232876,,1992-1993,155.24794520547948,,,
,1940-1941,130.02520547945204,,1993-1994,132.713698630137,,,
,1936-1937,128.71671232876713,,1994-1995,167.21013698630134,,,
,1930-1931,121.92191780821912,,1995-1996,251.87131147540987,,,
,1976-1977,120.44027397260272,,1996-1997,263.71178082191784,,,
,1943-1944,119.60464480874316,,1997-1998,194.4693150684932,,,
,1925-1926,118.10657534246576,,1998-1999,215.36931506849317,,,
,,,,,,,,
,Grand Avg,185.4360823031597,,Grand Avg,185.4360823031597,,,
,Std Dev,34.17308138018032,,Std Dev,34.17308138017984,,,
,Min,118.10657534246576,,Min,118.10657534246576,,,
,Max,263.71178082191784,,Max,263.71178082191784,,,
