COUNTERPARTY,Trade Date,Flow Date,Location,Daily QTY,TOTAL QTY,Fixed Price,,VOLUME,Price,Total $
"Coral Energy Resources, L.P.",2001-05-24 09:15:13,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.865,,310000,2.865,888150
"Cinergy Marketing & Trading, LLC",2001-05-24 09:35:31,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.89,,310000,2.89,895900
"CMS Marketing, Services and Trading Company",2001-05-24 10:03:59,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.8725,,310000,2.8725,890475
"CMS Marketing, Services and Trading Company",2001-05-24 10:19:42,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.845,,310000,2.845,881950
"El Paso Merchant Energy, L.P.",2001-05-24 10:38:30,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.82,,310000,2.82,874200
"Coral Energy Resources, L.P.",2001-05-24 11:23:35,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.805,,310000,2.805,869550
"Duke Energy Trading and Marketing, L.L.C.",2001-05-24 11:57:12,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.74,,155000,2.74,424700
"El Paso Merchant Energy, L.P.",2001-05-24 11:57:41,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.7675,,310000,2.7675,857925
"CMS Marketing, Services and Trading Company",2001-05-24 12:31:38,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.77,,155000,2.77,429350
"e prime, inc.",2001-05-24 14:11:55,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.755,,310000,2.755,854050
"e prime, inc.",2001-05-24 14:14:06,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.745,,155000,2.745,425475
"CMS Marketing, Services and Trading Company",2001-05-24 14:17:20,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.735,,310000,2.735,847850
Barrett Resources Corporation,2001-05-24 16:05:12,2001-06-01 00:00:00,NW ROCKIES - Opal,2085,64635,2.72,,64635,2.72,175807.2
"CMS Marketing, Services and Trading Company",2001-05-25 08:34:08,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.66,,155000,2.66,412300
"CMS Marketing, Services and Trading Company",2001-05-25 08:34:53,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.67,,155000,2.67,413850
"Enserco Energy, Inc.",2001-05-25 08:38:33,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.67,,155000,2.67,413850
"Reliant Energy Services, Inc.",2001-05-25 08:55:18,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.685,,155000,2.685,416175
Questar Energy Trading Company,2001-05-25 08:56:11,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.615,,155000,2.615,405325
"National Fuel Marketing Company, LLC",2001-05-25 08:56:11,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.68,,155000,2.68,415400
Questar Energy Trading Company,2001-05-25 08:56:11,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.63,,155000,2.63,407650
"CMS Marketing, Services and Trading Company",2001-05-25 09:04:31,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.685,,155000,2.685,416175
Arizona Public Service Company,2001-05-25 09:06:36,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.68,,310000,2.68,830800
"e prime, inc.",2001-05-25 09:38:47,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.635,,310000,2.635,816850
"e prime, inc.",2001-05-25 09:46:39,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.615,,155000,2.615,405325
Arizona Public Service Company,2001-05-25 09:51:21,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.6,,310000,2.6,806000
Cook Inlet Energy Supply L.L.C.,2001-05-25 09:55:55,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.605,,155000,2.605,403775
"e prime, inc.",2001-05-25 10:19:48,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.6,,155000,2.6,403000
"Western Gas Resources, Inc.",2001-05-25 10:50:14,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.61,,155000,2.61,404550
Sempra Energy Trading Corp.,2001-05-25 10:52:10,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.61,,155000,2.61,404550
Sempra Energy Trading Corp.,2001-05-25 10:57:23,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.62,,310000,2.62,812200
BP Energy Company,2001-05-29 07:46:44,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.555,,155000,2.555,396025
"Puget Sound Energy, Inc.",2001-05-29 07:49:12,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.55,,310000,2.55,790500
BP Energy Company,2001-05-29 07:50:22,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.56,,155000,2.56,396800
BP Energy Company,2001-05-29 07:59:36,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.57,,155000,2.57,398350
"Duke Energy Trading and Marketing, L.L.C.",2001-05-29 08:13:26,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.55,,155000,2.55,395250
"CMS Marketing, Services and Trading Company",2001-05-29 08:14:16,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.545,,155000,2.545,394475
"Puget Sound Energy, Inc.",2001-05-29 08:14:40,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.545,,310000,2.545,788950
BP Energy Company,2001-05-29 08:19:18,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.555,,155000,2.555,396025
BP Energy Company,2001-05-29 08:19:33,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.56,,155000,2.56,396800
BP Energy Company,2001-05-29 08:19:46,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.57,,155000,2.57,398350
"CMS Marketing, Services and Trading Company",2001-05-29 08:20:51,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.575,,155000,2.575,399125
"Puget Sound Energy, Inc.",2001-05-29 09:16:13,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.565,,310000,2.565,795150
"Duke Energy Trading and Marketing, L.L.C.",2001-05-29 09:16:31,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.565,,155000,2.565,397575
Aquila Energy Marketing Corporation,2001-05-29 09:42:57,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.58,,310000,2.58,799800
"Reliant Energy Services, Inc.",2001-05-29 09:44:34,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.575,,155000,2.575,399125
"e prime, inc.",2001-05-29 10:00:10,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.535,,155000,2.535,392925
"El Paso Merchant Energy, L.P.",2001-05-29 10:25:50,2001-06-01 00:00:00,NW ROCKIES - Opal,20000,620000,2.5475,,620000,2.5475,1579450
"Reliant Energy Services, Inc.",2001-05-29 10:29:58,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.545,,155000,2.545,394475
Williams Energy Marketing & Trading Company,2001-05-29 10:34:27,2001-06-01 00:00:00,NW ROCKIES - Opal,15000,465000,2.555,,465000,2.555,1188075
"Duke Energy Trading and Marketing, L.L.C.",2001-05-29 11:51:05,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.5475,,155000,2.5475,394862.5
"e prime, inc.",2001-05-29 11:59:16,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.55,,155000,2.55,395250
Aquila Energy Marketing Corporation,2001-05-29 12:02:19,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.55,,310000,2.55,790500
"CMS Marketing, Services and Trading Company",2001-05-29 12:12:09,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.5525,,155000,2.5525,395637.5
"El Paso Merchant Energy, L.P.",2001-05-29 12:27:14,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.5425,,155000,2.5425,394087.5
"e prime, inc.",2001-05-29 12:42:27,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.55,,155000,2.55,395250
"Western Gas Resources, Inc.",2001-05-29 12:42:56,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.54,,155000,2.54,393700
"Duke Energy Trading and Marketing, L.L.C.",2001-05-29 13:05:09,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.5475,,155000,2.5475,394862.5
"Duke Energy Trading and Marketing, L.L.C.",2001-05-29 13:06:22,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.5,,155000,2.5,387500
Cook Inlet Energy Supply L.L.C.,2001-05-29 13:23:49,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.505,,155000,2.505,388275
"El Paso Merchant Energy, L.P.",2001-05-29 13:33:13,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.475,,310000,2.475,767250
"El Paso Merchant Energy, L.P.",2001-05-29 13:33:37,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.49,,310000,2.49,771900
Aquila Energy Marketing Corporation,2001-05-29 13:36:39,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.485,,310000,2.485,770350
Aquila Energy Marketing Corporation,2001-05-29 13:44:34,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.4925,,310000,2.4925,772675
"Puget Sound Energy, Inc.",2001-05-29 13:46:19,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.4725,,310000,2.4725,766475
Aquila Energy Marketing Corporation,2001-05-29 13:53:56,2001-06-01 00:00:00,NW ROCKIES - Opal,20000,620000,2.49,,620000,2.49,1543800
"El Paso Merchant Energy, L.P.",2001-05-29 14:25:52,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.44,,310000,2.44,756400
"Puget Sound Energy, Inc.",2001-05-29 14:41:29,2001-06-01 00:00:00,NW ROCKIES - Opal,10000,310000,2.45,,310000,2.45,759500
Engage Energy Canada L.P.,2001-05-29 15:07:09,2001-06-01 00:00:00,NW ROCKIES - Opal,3500,108500,2.5,,108500,2.5,271250
"Enserco Energy, Inc.",2001-05-30 08:26:26,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.45,,155000,2.45,379750
Sempra Energy Trading Corp.,2001-05-30 08:53:53,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.455,,155000,2.455,380525
"e prime, inc.",2001-05-30 09:18:03,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.465,,155000,2.465,382075
NGTS LLC,2001-05-30 10:26:09,2001-06-01 00:00:00,NW ROCKIES - Opal,245,7595,2.43,,7595,2.43,18455.85
"Reliant Energy Services, Inc.",2001-05-30 10:48:01,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.47,,155000,2.47,382850
Questar Energy Trading Company,2001-05-30 10:59:09,2001-06-01 00:00:00,NW ROCKIES - Opal,5000,155000,2.48,,155000,2.48,384400
WACOG,2.6260297286407512,,,,17695730,,,17695730,,46469513.050000004
,,,,,,,,,,
"e prime, inc.",2001-05-24 08:41:18,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.46,,310000,3.46,1072600
Arizona Public Service Company,2001-05-24 08:56:01,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.45,,310000,3.45,1069500
Arizona Public Service Company,2001-05-24 09:09:32,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.42,,310000,3.42,1060200
Conoco Inc.,2001-05-24 09:16:33,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.42,,155000,3.42,530100
"National Fuel Marketing Company, LLC",2001-05-24 09:27:12,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.4,,155000,3.4,527000
Conoco Inc.,2001-05-24 09:38:12,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.4,,155000,3.4,527000
Conoco Inc.,2001-05-24 09:46:00,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.4,,310000,3.4,1054000
"Cinergy Marketing & Trading, LLC",2001-05-24 09:56:16,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.405,,155000,3.405,527775
"e prime, inc.",2001-05-24 10:06:55,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.395,,155000,3.395,526225
"e prime, inc.",2001-05-24 10:11:13,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.3875,,155000,3.3875,525062.5
"Cinergy Marketing & Trading, LLC",2001-05-24 10:14:41,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.385,,310000,3.385,1049350
"Cross Timbers Energy Services, Inc.",2001-05-24 10:38:53,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.3825,,155000,3.3825,524287.5
"Coral Energy Resources, L.P.",2001-05-24 11:15:07,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.355,,310000,3.355,1040050
"Cinergy Marketing & Trading, LLC",2001-05-24 11:28:32,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.3325,,155000,3.3325,516537.5
Conoco Inc.,2001-05-24 12:03:04,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.29,,155000,3.29,509950
"Cinergy Marketing & Trading, LLC",2001-05-24 12:27:53,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.285,,310000,3.285,1018350
Conoco Inc.,2001-05-24 14:10:31,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.25,,155000,3.25,503750
Conoco Inc.,2001-05-24 14:22:15,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.23,,155000,3.23,500650
"Cross Timbers Energy Services, Inc.",2001-05-24 14:27:37,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.225,,310000,3.225,999750
"National Fuel Marketing Company, LLC",2001-05-25 08:56:11,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.16,,155000,3.16,489800
"Cinergy Marketing & Trading, LLC",2001-05-25 09:14:44,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.165,,155000,3.165,490575
"e prime, inc.",2001-05-25 09:20:24,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.17,,310000,3.17,982700
"Mirant Americas Energy Marketing, L.P.",2001-05-25 09:27:20,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.165,,155000,3.165,490575
"e prime, inc.",2001-05-25 09:42:55,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.11,,155000,3.11,482050
"Mirant Americas Energy Marketing, L.P.",2001-05-25 09:43:38,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.1,,155000,3.1,480500
"Mirant Americas Energy Marketing, L.P.",2001-05-25 09:44:17,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.1,,310000,3.1,961000
"USGT/Aquila, L.P.",2001-05-25 09:49:27,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.1,,310000,3.1,961000
"USGT/Aquila, L.P.",2001-05-25 09:54:56,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.105,,310000,3.105,962550
"USGT/Aquila, L.P.",2001-05-25 09:56:34,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.09,,310000,3.09,957900
"USGT/Aquila, L.P.",2001-05-25 10:00:43,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.085,,310000,3.085,956350
"Cinergy Marketing & Trading, LLC",2001-05-25 10:15:30,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.105,,155000,3.105,481275
"Mirant Americas Energy Marketing, L.P.",2001-05-29 08:21:57,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.025,,310000,3.025,937750
Arizona Public Service Company,2001-05-29 08:30:44,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.005,,310000,3.005,931550
"Mirant Americas Energy Marketing, L.P.",2001-05-29 08:43:16,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.03,,310000,3.03,939300
"Mirant Americas Energy Marketing, L.P.",2001-05-29 08:52:27,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.025,,310000,3.025,937750
"Mirant Americas Energy Marketing, L.P.",2001-05-29 09:02:49,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.015,,310000,3.015,934650
"USGT/Aquila, L.P.",2001-05-29 09:13:28,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.025,,310000,3.025,937750
"USGT/Aquila, L.P.",2001-05-29 09:29:59,2001-06-01 00:00:00,SAN JUAN,5000,155000,3.035,,155000,3.035,470425
"Mirant Americas Energy Marketing, L.P.",2001-05-29 09:37:04,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.035,,310000,3.035,940850
TXU Energy Trading Company,2001-05-29 09:59:03,2001-06-01 00:00:00,SAN JUAN,3146,97526,3.03,,97526,3.03,295503.78
"Enserco Energy, Inc.",2001-05-29 11:48:24,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.025,,310000,3.025,937750
"Mirant Americas Energy Marketing, L.P.",2001-05-29 12:27:03,2001-06-01 00:00:00,SAN JUAN,10000,310000,3.0075,,310000,3.0075,932325
Arizona Public Service Company,2001-05-29 12:40:52,2001-06-01 00:00:00,SAN JUAN,10000,310000,3,,310000,3,930000
Cook Inlet Energy Supply L.L.C.,2001-05-29 13:11:09,2001-06-01 00:00:00,SAN JUAN,2400,74400,2.93,,74400,2.93,217992
Arizona Public Service Company,2001-05-29 13:15:30,2001-06-01 00:00:00,SAN JUAN,5000,155000,2.965,,155000,2.965,459575
PanCanadian Energy Services Inc.,2001-05-29 13:36:20,2001-06-01 00:00:00,SAN JUAN,10000,310000,2.94,,310000,2.94,911400
Cook Inlet Energy Supply L.L.C.,2001-05-29 13:37:13,2001-06-01 00:00:00,SAN JUAN,5000,155000,2.935,,155000,2.935,454925
"Cross Timbers Energy Services, Inc.",2001-05-30 07:29:12,2001-06-01 00:00:00,SAN JUAN,10000,310000,2.935,,310000,2.935,909850
Arizona Public Service Company,2001-05-30 09:01:23,2001-06-01 00:00:00,SAN JUAN,5000,155000,2.92,,155000,2.92,452600
Arizona Public Service Company,2001-05-30 09:22:01,2001-06-01 00:00:00,SAN JUAN,5000,155000,2.895,,155000,2.895,448725
Cook Inlet Energy Supply L.L.C.,2001-05-30 09:27:19,2001-06-01 00:00:00,SAN JUAN,5000,155000,2.88,,155000,2.88,446400
TXU Energy Trading Company,2001-05-30 10:35:09,2001-06-01 00:00:00,SAN JUAN,228,7068,3.55,,7068,3.55,25091.4
"Cinergy Marketing & Trading, LLC",2001-05-30 10:48:32,2001-06-01 00:00:00,SAN JUAN,5000,155000,2.925,,155000,2.925,453375
WACOG,3.1510969635071313,,,,11958994,,,11958994,,37683949.68
,,,,,,,,,,
"e prime, inc.",2001-05-24 08:48:09,2001-06-01 00:00:00,PERMIAN,5000,155000,4.1,,155000,4.1,635500
"El Paso Merchant Energy, L.P.",2001-05-24 10:21:39,2001-06-01 00:00:00,PERMIAN,5000,155000,4.07,,155000,4.07,630850
"AEP Energy Services, Inc.",2001-05-24 10:22:17,2001-06-01 00:00:00,PERMIAN,5000,155000,4.07,,155000,4.07,630850
"El Paso Merchant Energy, L.P.",2001-05-24 13:42:51,2001-06-01 00:00:00,PERMIAN,5000,155000,3.9625,,155000,3.9625,614187.5
PanCanadian Energy Services Inc.,2001-05-25 08:55:41,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8925,,155000,3.8925,603337.5
PanCanadian Energy Services Inc.,2001-05-25 08:56:41,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8875,,155000,3.8875,602562.5
"Cinergy Marketing & Trading, LLC",2001-05-25 09:12:34,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8625,,155000,3.8625,598687.5
"Mirant Americas Energy Marketing, L.P.",2001-05-25 09:45:56,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8375,,155000,3.8375,594812.5
"El Paso Merchant Energy, L.P.",2001-05-25 09:48:21,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8325,,155000,3.8325,594037.5
Cook Inlet Energy Supply L.L.C.,2001-05-25 10:10:29,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8325,,155000,3.8325,594037.5
"El Paso Merchant Energy, L.P.",2001-05-25 10:10:41,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8375,,155000,3.8375,594812.5
"El Paso Merchant Energy, L.P.",2001-05-25 10:11:23,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8175,,155000,3.8175,591712.5
"Cinergy Marketing & Trading, LLC",2001-05-25 10:14:53,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8025,,155000,3.8025,589387.5
J. Aron & Company,2001-05-25 10:17:18,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8075,,155000,3.8075,590162.5
J. Aron & Company,2001-05-25 10:19:23,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8175,,155000,3.8175,591712.5
"El Paso Merchant Energy, L.P.",2001-05-25 10:20:09,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8125,,155000,3.8125,590937.5
J. Aron & Company,2001-05-25 10:53:43,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8175,,155000,3.8175,591712.5
J. Aron & Company,2001-05-25 11:28:48,2001-06-01 00:00:00,PERMIAN,5000,155000,3.8275,,155000,3.8275,593262.5
"Cinergy Marketing & Trading, LLC",2001-05-29 09:37:34,2001-06-01 00:00:00,PERMIAN,5000,155000,3.7525,,155000,3.7525,581637.5
"Reliant Energy Services, Inc.",2001-05-29 10:37:18,2001-06-01 00:00:00,PERMIAN,10000,310000,3.7475,,310000,3.7475,1161725
"Duke Energy Trading and Marketing, L.L.C.",2001-05-29 11:06:04,2001-06-01 00:00:00,PERMIAN,5000,155000,3.735,,155000,3.735,578925
"Cinergy Marketing & Trading, LLC",2001-05-29 11:26:46,2001-06-01 00:00:00,PERMIAN,5000,155000,3.7025,,155000,3.7025,573887.5
"El Paso Merchant Energy, L.P.",2001-05-29 12:44:39,2001-06-01 00:00:00,PERMIAN,10000,310000,3.6925,,310000,3.6925,1144675
