Buyer           ,Seller          ,Deal No.   ,Type        ,Deal Date ,Beg Date ,End Date ,Original Deal Number
ENA            ,TEXACOINC      ,YK0222.1  ,Swap       ,2001-11-16 00:00:00,2002-02-01 00:00:00,2002-02-28 00:00:00, 
ENA            ,TEXACOINC      ,V92107.1  ,Swap       ,2001-05-11 00:00:00,2002-01-01 00:00:00,2002-03-31 00:00:00, 
TEXACOINC      ,ENA            ,V49930.1  ,OPT/Put    ,2001-04-23 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,V92667.1  ,OPT/Put    ,2001-05-11 00:00:00,2002-01-01 00:00:00,2002-03-31 00:00:00, 
TEXACOINC      ,ENA            ,V49921.1  ,Swap       ,2001-04-23 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,VE6293.1  ,Swap       ,2001-06-05 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
TEXACOINC      ,ENA            ,VK4765.1  ,Swap       ,2001-06-27 00:00:00,2002-03-01 00:00:00,2002-03-31 00:00:00, 
TEXACOINC      ,ENA            ,VE0208.1  ,Swap       ,2001-06-01 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,VH5929.3  ,Swap       ,2001-06-15 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,V49930.2  ,OPT/Put    ,2001-04-23 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
TEXACOINC      ,ENA            ,VA4849.1  ,Swap       ,2001-05-17 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
TEXACOINC      ,ENA            ,VH5929.2  ,OPT/Call   ,2001-06-15 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,VF4609.1  ,Swap       ,2001-06-07 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,VA3780.1  ,Swap       ,2001-05-17 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
TEXACOINC      ,ENA            ,VH2459.1  ,Swap       ,2001-06-14 00:00:00,2002-03-01 00:00:00,2002-03-31 00:00:00, 
TEXACOINC      ,ENA            ,VH2454.1  ,Swap       ,2001-06-14 00:00:00,2002-03-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,VH5929.1  ,OPT/Put    ,2001-06-15 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,VP8529.1  ,Swap       ,2001-07-19 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
TEXACOINC      ,ENA            ,VW0765.1  ,Swap       ,2001-08-15 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,VF2695.1  ,Swap       ,2001-06-06 00:00:00,2002-01-01 00:00:00,2002-03-31 00:00:00,1351645
ENA            ,TEXACOINC      ,VF2694.1  ,Swap       ,2001-06-06 00:00:00,2002-01-01 00:00:00,2002-03-31 00:00:00,1351749
TEXACOINC      ,ENA            ,VP5844.1  ,Swap       ,2001-07-19 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,QP3452.1  ,OPT/Put    ,2001-02-01 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,VR2258.1  ,Swap       ,2001-07-25 00:00:00,2002-03-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,Y20045.1  ,GDOPT/Call ,2001-09-07 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,QP3452.3  ,Swap       ,2001-02-01 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,Y17800.1  ,GDOPT/Call ,2001-09-06 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
ENA            ,TEXACOINC      ,Y11279.1  ,Swap       ,2001-09-04 00:00:00,2002-02-01 00:00:00,2002-03-31 00:00:00, 
TEXACOINC      ,ENA            ,VE0711.2  ,OPT/Put    ,2001-06-01 00:00:00,2001-11-01 00:00:00,2002-03-31 00:00:00, 
TEXACOINC      ,ENA            ,YJ0619.1  ,Swap       ,2001-11-13 00:00:00,2002-04-01 00:00:00,2002-04-30 00:00:00, 
ENA            ,TEXACOINC      ,YJ0618.1  ,OPT/Call   ,2001-11-13 00:00:00,2002-04-01 00:00:00,2002-04-30 00:00:00, 
TEXACOINC      ,ENA            ,VZ7202.1  ,Swap       ,2001-08-29 00:00:00,2002-04-01 00:00:00,2002-04-30 00:00:00, 
TEXACOINC      ,ENA            ,VW1118.1  ,OPT/Put    ,2001-08-15 00:00:00,2002-04-01 00:00:00,2002-04-30 00:00:00, 
TEXACOINC      ,ENA            ,VW1116.1  ,OPT/Call   ,2001-08-15 00:00:00,2002-04-01 00:00:00,2002-04-30 00:00:00, 
TEXACOINC      ,ENA            ,VP1402.1  ,OPT/Put    ,2001-07-17 00:00:00,2002-04-01 00:00:00,2002-04-30 00:00:00, 
TEXACOINC      ,ENA            ,VP1401.1  ,OPT/Call   ,2001-07-17 00:00:00,2002-04-01 00:00:00,2002-04-30 00:00:00, 
ENA            ,TEXACOINC      ,VI4416.1  ,Swap       ,2001-06-20 00:00:00,2002-04-01 00:00:00,2002-06-30 00:00:00, 
ENA            ,TEXACOINC      ,VI5088.1  ,OPT/Put    ,2001-06-20 00:00:00,2002-04-01 00:00:00,2002-06-30 00:00:00, 
TEXACOINC      ,ENA            ,VI5088.2  ,OPT/Put    ,2001-06-20 00:00:00,2002-04-01 00:00:00,2002-06-30 00:00:00, 
TEXACOINC      ,ENA            ,VQ3591.1  ,Swap       ,2001-07-23 00:00:00,2002-04-01 00:00:00,2002-06-30 00:00:00, 
TEXACOINC      ,ENA            ,VB9639.1  ,Swap       ,2001-05-24 00:00:00,2001-06-01 00:00:00,2002-07-31 00:00:00, 
TEXACOINC      ,ENA            ,Y11280.1  ,Swap       ,2001-09-04 00:00:00,2002-06-01 00:00:00,2002-07-31 00:00:00, 
TEXACOINC      ,ENA            ,VD2851.1  ,Swap       ,2001-05-30 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
TEXACOINC      ,ENA            ,V86752.1  ,Swap       ,2001-05-09 00:00:00,2002-09-01 00:00:00,2002-10-31 00:00:00, 
ENA            ,TEXACOINC      ,V84807.2  ,OPT/Put    ,2001-05-09 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
TEXACOINC      ,ENA            ,VB5878.1  ,Swap       ,2001-05-23 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
ENA            ,TEXACOINC      ,V84807.1  ,OPT/Call   ,2001-05-09 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
TEXACOINC      ,ENA            ,VI9440.1  ,Swap       ,2001-06-21 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
TEXACOINC      ,ENA            ,Y10005.1  ,Swap       ,2001-09-04 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
TEXACOINC      ,ENA            ,Y04262.2  ,OPT/Call   ,2001-08-30 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
ENA            ,TEXACOINC      ,Y04262.1  ,OPT/Call   ,2001-08-30 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
TEXACOINC      ,ENA            ,Y03126.1  ,Swap       ,2001-08-30 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
ENA            ,TEXACOINC      ,VZ3312.1  ,OPT/Put    ,2001-08-28 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
ENA            ,TEXACOINC      ,VZ2087.1  ,Swap       ,2001-08-28 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
ENA            ,TEXACOINC      ,VW8053.1  ,Swap       ,2001-08-17 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
TEXACOINC      ,ENA            ,VW8044.1  ,Swap       ,2001-08-17 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
TEXACOINC      ,ENA            ,V98431.3  ,Swap       ,2001-05-15 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
TEXACOINC      ,ENA            ,VS1841.1  ,OPT/Put    ,2001-07-27 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
TEXACOINC      ,ENA            ,VS1740.1  ,Swap       ,2001-07-27 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
TEXACOINC      ,ENA            ,V98431.2  ,OPT/Put    ,2001-05-15 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
TEXACOINC      ,ENA            ,VI7997.1  ,Swap       ,2001-06-21 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
ENA            ,TEXACOINC      ,VQ2974.1  ,Swap       ,2001-07-23 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
ENA            ,TEXACOINC      ,V98431.1  ,OPT/Call   ,2001-05-15 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
TEXACOINC      ,ENA            ,VE0918.2  ,OPT/Put    ,2001-06-01 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
ENA            ,TEXACOINC      ,VE0918.1  ,OPT/Put    ,2001-06-01 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
ENA            ,TEXACOINC      ,VE0916.1  ,Swap       ,2001-06-01 00:00:00,2002-04-01 00:00:00,2002-10-31 00:00:00, 
ENA            ,TEXACOINC      ,VM0097.3  ,Swap       ,2001-07-03 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VM0097.2  ,OPT/Call   ,2001-07-03 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00, 
ENA            ,TEXACOINC      ,VM0097.1  ,OPT/Put    ,2001-07-03 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00, 
ENA            ,TEXACOINC      ,VJ1598.3  ,Swap       ,2001-06-22 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00, 
ENA            ,TEXACOINC      ,VJ1598.2  ,OPT/Put    ,2001-06-22 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VJ1598.1  ,OPT/Call   ,2001-06-22 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VJ1241.1  ,Swap       ,2001-06-22 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00, 
ENA            ,TEXACOINC      ,Y12453.1  ,Swap       ,2001-09-05 00:00:00,2002-11-01 00:00:00,2002-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VA7782.1  ,Swap       ,2001-05-18 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00, 
ENA            ,TEXACOINC      ,VS0581.1  ,Swap       ,2001-07-27 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VP4496.1  ,Swap       ,2001-07-18 00:00:00,2002-01-01 00:00:00,2002-12-31 00:00:00, 
ENA            ,TEXACOINC      ,VP0662.1  ,Swap       ,2001-07-17 00:00:00,2002-11-01 00:00:00,2002-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VD0581.1  ,Swap       ,2001-05-30 00:00:00,2002-11-01 00:00:00,2003-03-31 00:00:00, 
ENA            ,TEXACOINC      ,YG5278.1  ,Swap       ,2001-11-01 00:00:00,2002-04-01 00:00:00,2003-03-31 00:00:00, 
ENA            ,TEXACOINC      ,VP7899.3  ,Swap       ,2001-07-19 00:00:00,2002-11-01 00:00:00,2003-03-31 00:00:00, 
ENA            ,TEXACOINC      ,VP7899.2  ,OPT/Put    ,2001-07-19 00:00:00,2002-11-01 00:00:00,2003-03-31 00:00:00, 
TEXACOINC      ,ENA            ,VP7899.1  ,OPT/Call   ,2001-07-19 00:00:00,2002-11-01 00:00:00,2003-03-31 00:00:00, 
TEXACOINC      ,ENA            ,V95061.1  ,Swap       ,2001-05-14 00:00:00,2002-11-01 00:00:00,2003-03-31 00:00:00, 
TEXACOINC      ,ENA            ,VJ6323.1  ,Swap       ,2001-06-25 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VJ1240.1  ,Swap       ,2001-06-22 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00, 
ENA            ,TEXACOINC      ,Y11278.1  ,Swap       ,2001-09-04 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00, 
ENA            ,TEXACOINC      ,VX5189.1  ,Swap       ,2001-08-21 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VS0582.1  ,Swap       ,2001-07-27 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00, 
TEXACOINC      ,ENA            ,V79566.1  ,Swap       ,2001-05-07 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00, 
TEXACOINC      ,ENA            ,VP4491.1  ,Swap       ,2001-07-18 00:00:00,2003-01-01 00:00:00,2003-12-31 00:00:00, 
ENA            ,TEXACOINC      ,YF2542.1  ,Swap       ,2001-10-29 00:00:00,2002-08-01 00:00:00,2004-07-31 00:00:00, 
ENA            ,TEXACOINC      ,VB4099.1  ,Swap       ,2001-05-22 00:00:00,2004-01-01 00:00:00,2004-12-31 00:00:00, 
TEXACOINC      ,ENA            ,V79567.1  ,Swap       ,2001-05-07 00:00:00,2005-01-01 00:00:00,2005-12-31 00:00:00, 
