Begin Date,End Date,Contract No,Qty MAX,Source Company Contract Submitter,Source Name,Sink Company Contract Submitter,Sink Name,Contract Name
2002-05-28 14:00:00,2002-07-04 06:00:00,1958,5,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef840 Cal02 5MW 6x16 NERC Part 2
2002-05-28 14:00:00,2002-07-04 06:00:00,1968,5,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef908 Cal02 5MW 6x16 NERC Part 2
2002-07-05 14:00:00,2002-09-02 06:00:00,1953,35,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef839 Cal02 35MW 6x16 NERC Part 3
2002-07-05 14:00:00,2002-09-02 06:00:00,1959,5,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef840 Cal02 5MW 6x16 NERC Part 3
2002-07-05 14:00:00,2002-09-02 06:00:00,1969,5,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef908 Cal02 5MW 6x16 NERC Part 3
2002-09-03 14:00:00,2002-11-28 07:00:00,1954,35,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef839 Cal02 35MW 6x16 NERC Part 4
2002-09-03 14:00:00,2002-11-28 07:00:00,1960,5,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef840 Cal02 5MW 6x16 NERC Part 4
2002-09-03 14:00:00,2002-11-28 07:00:00,1970,5,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef908 Cal02 5MW 6x16 NERC Part 4
2002-11-29 15:00:00,2002-12-25 07:00:00,1955,35,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef839 Cal02 35MW 6x16 NERC Part 5
2002-11-29 15:00:00,2002-12-25 07:00:00,1961,5,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef840 Cal02 5MW 6x16 NERC Part 5
2002-11-29 15:00:00,2002-12-25 07:00:00,1971,5,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef908 Cal02 5MW 6x16 NERC Part 5
2002-12-26 15:00:00,2003-01-01 07:00:00,1956,35,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef839 Cal02 35MW 6x16 NERC Part 6
2002-12-26 15:00:00,2003-01-01 07:00:00,1962,5,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef840 Cal02 5MW 6x16 NERC Part 6
2002-12-26 15:00:00,2003-01-01 07:00:00,1972,5,Enron Canada Power Corp,ECP- ECPC FM Sell,"Encore Energy Solutions, L.P",EA1U EESA R#4,Enron BRef908 Cal02 5MW 6x16 NERC Part 6
