,,,,,,,,,
39,Ship Leaves Berth (Let Go),Ship Leaves Berth (Let Go),Ship Leaves Berth (Let Go),18.04.01,14:20:00,,,,
40,Tugs Let Go,Tugs Let Go,Tugs Let Go,18.04.01,14:49:00,,,,
41,Arrived at Anchorage,Arrived at Anchorage,Arrived at Anchorage,18.04.01,,,,,
42,Berthing Pilot Disembarked,Berthing Pilot Disembarked,Berthing Pilot Disembarked,18.04.01,,,,,
43,Left Anchorage,Left Anchorage,Left Anchorage,18.04.01,,,,,
44,Pilot Disembarked,Pilot Disembarked,Pilot Disembarked,18.04.01,20:00:00,,,,
45,Full Away on Passage (F.A.O.P.),Full Away on Passage (F.A.O.P.),Full Away on Passage (F.A.O.P.),18.04.01,21:00:00,,,,
,,,,,,,,,
ITEM,DISTANCE RUN,MILES,ITEM,BUNKER STATEMENT,,LNG,,FO,DO
46,E.O.P. to Berth,90,50,On Board on Arrival,,82094.855,,4585,153
47,Anchorage to Berth,82,51,Quantity Lifted,,,,0,0
48,Berth to Anchorage,,52,Consumed,,,,85,0
49,Berth F.A.O.P.,83,53,On Board Sailing F.A.O.P.,,9.272,,4500,153
,,,,,,,,,
  SIGNATURE,  SIGNATURE,,,,,,,,
  Master ,  Master , Capt. Oe. Hansen, Capt. Oe. Hansen,,,,Departure Draught,Departure Draught,Departure Draught
  Ch. Officer,  Ch. Officer,Rune Keiser,Rune Keiser,,,,8.4,8.4,Fwd
  Agent,  Agent,,,,,,8.9,8.9,Aft
,,,,,,,,,
2018-07-23 00:00:00,2018-07-23 00:00:00,2018-07-23 10:02:04.610000,,,,,,,
