ENRON NORTH AMERICA,,,,,,,
TECHNICAL RISK REPORT - 9/20/00,,,,,,,
Business Unit,Project Name,Responsible  Party,Project Type,$$ Exposure,Assessment of Risk,Updated,Update/Comments
,Tenaska IV Texas Partners  (Cleburne),Dobler,O&M,, Inherent risk exposure to Westinghouse 501 F technology machines and the transition/transition seal design deficiencies.,2000-09-11 00:00:00,"OEC has made contact with Owner's rep and will begin offering assistance, where practical, to project.  OEC discussed issue with SWPC and is to provide plans for redesign  of TP and TP seals."
Mexico,Vitro,Virgo,Development/ Construction,,"1) Engineering and design of project - will assign an engineering manager to work with contract engineer during critical early stages of project.
2) Construction risk - will assign a construction manager from ENA to monitor project through completion.",2000-09-08 00:00:00,Hiring ENA engineering manager and will utilize ENA construction management team.  Core team will be complemented by EE&CC or other resources on specific issues.  Kristich has daily interface with EECC on project.  Machine storage is set up.  Weekly meetings with Max.
Upstream,Nautilus ,Cocavessis,Engineering/    Procurement/  Construction,,"Have reduced contingency by $250,000 to cover additional environmental mitigation costs.",2000-09-13 00:00:00,"Have incurred additional $250,000 in costs to mitigate environmental risk associated with disposing pipe cleaning wastes.  Overall Project Cost Estimate is about $6MM.  The project includes $2.4MM for the Spinnaker deal (reimbursed by Spinnaker) and the balance for cleaning the South Padre 20""."
,George West  Separator,Kuehler,Engineering/    Procurement/  Construction,,Project was completed.,2000-09-13 00:00:00,"$276,000 budget."
,Solvay Polymers,Kuehler,Engineering/    Procurement/  Construction,,Project was completed.,2000-09-13 00:00:00,"Came substantially lower than the budget; will claim $100,000 in profit."
,BASF Port Arthur,Kuehler,Engineering/    Procurement/  Construction,,Performed detailed estimate.  Low risk.,2000-09-13 00:00:00,"$361,000 budget."
,SW-Speaks Loop,Kuehler,Engineering/    Procurement/  Construction,,Performed detailed estimate.  Low risk.,2000-09-13 00:00:00,"$310,000 budget."
,Constellation Power - Rio Nogales Plant,Cocavessis,Engineering/    Procurement/  Construction,,Risk mitigation was based proposal on several material and construction bids and a detailed scope provided by the client. ,2000-09-13 00:00:00,"This is a third party EPC opportunity.  ENA is negotiating a construction contract.  The value of the project is $20,000,000 with about 12% in construction profit."
,ANP Chambers County Plant,Cocavessis,Engineering/    Procurement/  Construction,,Risk mitigation was based proposal on several material and construction bids and a detailed scope provided by the client. ,2000-09-13 00:00:00,"This is a third party EPC opportunity.  ENA appears to be the chosen contractor. The value of the project is $3,000,000 with about 12% in construction profit."
,Crescendo (NG Resources),Cocavessis/ Mays,Engineering/    Procurement/  Construction,,"Exposure is approximately $1MM for the process plant.  The contractor has a limited overrun liability because of the way the contract was negotiated.  There may be additional exposure in the event discussions between ENA and the gas gathering company collapse and ENA is required to provide its own gas gathering system (cost is about $4,000,000)",2000-09-13 00:00:00,Overall Project Cost Estimate is $8.65MM.   
,Project Neptune (LIPA),Cocavessis/   Virgo,Development/ Construction,,"Exposure is approximately 5% or about $0.9MM.  We have a firm price for the barges but not on the installation.  There are approximately $100,000 in contingency.  ",2000-09-18 00:00:00,Overall project capital cost is about $19.2MM.
Energy Capital Resources,Bonne Terre Exploration,Pruett / Fox,Operational Review,,Exploration Risk,2000-09-18 00:00:00,"3-D Interpretation in progress. Multiple prospects identified,  selldown to industry in progress. Lease saving operation on Miami Fee area pending. $10 MM DASH signed."
,CGAS,Pruett / Fox,Development/ Construction,,Exploration/Development Risk,2000-09-18 00:00:00,Exploration program success rate >80 % in last 8 months. Allowing management to implement original exploration strategy.  Interested parties reviewing data relative to possible sale.
,Cypress Exploration,Pruett / Fox,Operational Review,,Exploration Risk,2000-09-18 00:00:00,"Rozel Energy 3-D Interpretation shop engaged, +/- $5MM interim DASH signed. Anticipate additional drillable prospects to be forthcoming in next 12 months. Negotiating program selldown or prospect-by-prospect selldown to reduce ENA exposure."
,Hansen,Fox,Exploration / Development Risk,,Exploration Risk,2000-09-18 00:00:00,"Spudding 3rd well, currently drilling.  "
,Sapphire Bay,Pruett / Fox,Operational Review,,LLC - development risk/27 wells by 9/2000,2000-08-03 00:00:00,
,Vastar Onshore,Pruett / Fox,Operational Review,,JEDI II Working interest - Exploration risk/3D seismic & drilling,2000-09-18 00:00:00,Drilling remaining high potential prospect in S. Texas. Reviewing options to get S. Louisiana prospect (Blue Water) 
Portfolio Mgt,Anson VPP,Neyman,Production Risk,,"VPP ending, no technical risk",2000-09-06 00:00:00,Some potential for reservoir and mechanical risk on any production payment but we're collateralized such that risk is minimal
,EnSerCo ,Vass / Lydecker,,,Sale in progress,2000-09-06 00:00:00,Funding anticipated by 9/15/00
,Hanover Compressor,Bowen,Operational Review,,"Minority Public, no technical risk",2000-08-03 00:00:00,"Hanover is a natural gas compressor service outsourcing company, there is no technical risk.  The value is strictly driven by the market.  Attempting to sell by year end."
,Hancock Mezzanine Partners,Lydecker,,,"Investment vehicle, no technical risk",2000-09-06 00:00:00,Currently working to dispose of asset.
,Inland Resources,Lydecker,,,"Preferred minority interest, no technical risk",2000-09-06 00:00:00,"Company has risk in exploitation of reserve base and could be some refining technical issues when the company merges with Flying J (privately held refiner), however ENA bears no direct technical risk.  Currently working to dispose of the asset."
,Linder Petroleum,Lydecker,Operational Review,,"Ltd Partnership, production/development risk.",2000-09-06 00:00:00,"Potential buyout of interest by Roger Linder (principal), bid/offer spread defined, working to expedite a transaction."
,Mariner Energy,Melendrez/ Bowen/Fox,Operational Review,,"Private - Development risk, most of the company's activity is in deep water Gulf of Mexico.",2000-09-08 00:00:00,"Jeff Sherrick (ENE) sits on the BOD, outside engineering is performed by Ryder Scott and technical risk is reviewed by Craig Fox."
,Masada,Lydecker,Operational Review,,"Equity position; Solid Waste Conversion that extracts enthanol from garbage. Pre-development phase, no financing and no EPC.",2000-09-06 00:00:00,"Masada has obtained insurance coverage from Hartford Steam Boiler for construction and threshold performance criteria.  No direct technical risk to ENA at this time.  Projected revenue will come from ""tipping"".  Currently working to dispose of the asset, however a challenge due to the venture capital nature of the project."
,Swift Energy,Neyman,,,"VPP ending, no technical risk",2000-09-06 00:00:00,Some potential for reservoir and mechanical risk on any production payment but we're collateralized such that risk is minimal
Principal Investing,AMPS,Vetters/Kitgawa/Virgo,Generation Technology,,Advanced Mobile Power Systems - Jet engine technology   PSM lacks a track record for reverse engineering complete power gen systems (but has reverse engineered turbine parts for ENE)  PSM expects to hire ex-Pratt & Whitney engineers who worked on the original mobile design. ,2000-09-20 00:00:00,Termsheet with Power Systems has not yet been signed by ENE
,DAC,??,,,Days Analytic Co. Fuel Cell project,2000-09-20 00:00:00,Option on Public Markets
,Destec,Kuykendall,Coal Reserves,,Coal Position - Contract monetization: no technical risk,2000-09-06 00:00:00,Only thing remaining is the reserves.  Destec no longer exists.
,Encorp,Vetters,Generation Technology,,"Private Minority Interest, no technical risk.  Leading edge technology for controls communictions and grid interconnection for auxilary and emergency power generators.",2000-09-06 00:00:00,Outperforming original expectations.  Market is lagging behind their technology and not expected to catch up before a potential IPO in Q1 or Q2 of '01.
,First World,Kuykendall,Operational Review,,"Basis is $0, currently own 3MM warrants, slightly above water.",2000-09-06 00:00:00,"Service provider, only market risk, no technical issues."
,Metering Technology Corp,Kuykendall,Operational Review,,U.S. Private; no technical risk.,2000-09-06 00:00:00,"ENA offering market introductions for Metering Technology.  The meters are standardized and as they are launched into a new Market (for example India) they are configured to meet ""market standards"" and have to receive approvals (timing only, not technical)"
,Power Systems MFG,Vetters,Generation Technology,,U.S. Private - warrants.  Power generation spare parts.,2000-09-06 00:00:00,Possible incremental investment in AMPS project.  Jet engine technology for tractor trailers.
,Solo,Vetters,Generation Technology,,Micro turbine technology,2000-09-06 00:00:00,Finalizing field test; next phase beta test at SCANA.  Meeting with Morgan Stanley to assess opportunity for IPO in Q1 '01 versus raising private $$.
,Syntroleum,Vetters,Technological Review,,Australian Synfuels project,2000-09-06 00:00:00,"Stone & Webster retained for technical due diligence, recommendation expected in 10/00.  Upon favorable report potential LOI for incremental $20MM in capital."
,Utiliquest,Kuykendall,Operational Review,,"Locates pipe & wires subsurface, no technical risk",2000-09-06 00:00:00,Low tech service business. Strictly operational review.
