,,,,,,,,
,,,,,,,,
Group Number,Gas Date,Net Schd,Operational,Role,,,Cycle,Allocations
24,2001-01-16 00:00:00,1094297,1112142,D,-17845.0,,4,Nominations Exceed Capacity
24,2001-01-17 00:00:00,1096027,1109954,D,-13927.0,,4,Nominations Exceed Capacity
24,2001-01-18 00:00:00,1091375,1109972,D,-18597.0,,4,Nominations Exceed Capacity
24,2001-01-19 00:00:00,1090056,1110000,D,-19944.0,,2,Nominations Exceed Capacity
24,2001-01-20 00:00:00,1095348,1109974,D,-14626.0,,4,Nominations Exceed Capacity
24,2001-01-21 00:00:00,1096000,1109974,D,-13974.0,,4,Nominations Exceed Capacity
24,2001-01-22 00:00:00,1096197,1110000,D,-13803.0,,4,Nominations Exceed Capacity
24,2001-01-23 00:00:00,1095919,1109972,D,-14053.0,,4,Nominations Exceed Capacity
24,2001-01-24 00:00:00,1097343,1109954,D,-12611.0,,4,Nominations Exceed Capacity
24,2001-01-25 00:00:00,1096000,1109948,D,-13948.0,,4,Nominations Exceed Capacity
24,2001-01-26 00:00:00,1095991,1109942,D,-13951.0,,4,Nominations Exceed Capacity
24,2001-01-27 00:00:00,1096243,1110000,D,-13757.0,,4,Nominations Exceed Capacity
24,2001-01-28 00:00:00,1096330,1109940,D,-13610.0,,4,Nominations Exceed Capacity
24,2001-01-29 00:00:00,1089962,1089940,D,22.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-01-30 00:00:00,1088392,1089936,D,-1544.0,,4,Nominations Exceed Capacity
24,2001-01-31 00:00:00,1095999,1109938,D,-13939.0,,4,Nominations Exceed Capacity
24,2001-02-01 00:00:00,1113840,1124968,D,-11128.0,,4,Nominations Exceed Capacity
24,2001-02-02 00:00:00,987418,1135190,D,-147772.0,,2,Nominations Exceed Capacity
24,2001-02-03 00:00:00,1127406,1134954,D,-7548.0,,4,Nominations Exceed Capacity
24,2001-02-04 00:00:00,1121490,1135000,D,-13510.0,,3,Nominations Exceed Capacity
24,2001-02-05 00:00:00,1127503,1135332,D,-7829.0,,4,Nominations Exceed Capacity
24,2001-02-06 00:00:00,1150022,1125690,D,24332.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-02-07 00:00:00,1137848,1127456,D,10392.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-02-08 00:00:00,1137529,1124956,D,12573.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-02-09 00:00:00,1125095,1134954,D,-9859.0,,4,Nominations Exceed Capacity
24,2001-02-10 00:00:00,1121000,1134952,D,-13952.0,,4,Nominations Exceed Capacity
24,2001-02-11 00:00:00,1120974,1134952,D,-13978.0,,4,Nominations Exceed Capacity
24,2001-02-12 00:00:00,1110864,1134936,D,-24072.0,,3,Nominations Exceed Capacity
24,2001-02-13 00:00:00,1131617,1122060,D,9557.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-02-14 00:00:00,1114426,1135000,D,-20574.0,,3,Nominations Exceed Capacity
24,2001-02-15 00:00:00,1121018,1134950,D,-13932.0,,4,Nominations Exceed Capacity
24,2001-02-16 00:00:00,1119500,1134952,D,-15452.0,,4,Nominations Exceed Capacity
24,2001-02-17 00:00:00,1135146,1134952,D,194.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-02-18 00:00:00,1131855,1134956,D,-3101.0,,4,Nominations Exceed Capacity
24,2001-02-19 00:00:00,1136579,1134954,D,1625.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-02-20 00:00:00,1104017,1135000,D,-30983.0,,3,Nominations Exceed Capacity
24,2001-02-21 00:00:00,1128381,1148634,D,-20253.0,,0,Nominations Exceed Capacity
24,2001-02-22 00:00:00,1135010,1134952,D,58.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-02-23 00:00:00,1120668,1159440,D,-38772.0,,,
24,2001-02-24 00:00:00,1128475,1134958,D,-6483.0,,4,Nominations Exceed Capacity
24,2001-02-25 00:00:00,1132249,1134958,D,-2709.0,,4,Nominations Exceed Capacity
24,2001-02-26 00:00:00,1133124,1134958,D,-1834.0,,4,Nominations Exceed Capacity
24,2001-02-27 00:00:00,1134999,1135010,D,-11.0,,4,Nominations Exceed Capacity
24,2001-02-28 00:00:00,1065001,1064920,D,81.0,Flow rate calculation,4,Force Majeure
24,2001-03-01 00:00:00,1125555,1125000,D,555.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-03-02 00:00:00,1113421,1124992,D,-11571.0,,4,Nominations Exceed Capacity
24,2001-03-03 00:00:00,1111001,1124974,D,-13973.0,,4,Nominations Exceed Capacity
24,2001-03-04 00:00:00,1111001,1125022,D,-14021.0,,4,Nominations Exceed Capacity
24,2001-03-05 00:00:00,1095674,1159698,D,-64024.0,,2,Nominations Exceed Capacity
24,2001-03-06 00:00:00,890286,899934,D,-9648.0,,4,Nominations Exceed Capacity
24,2001-03-07 00:00:00,1124783,1125000,D,-217.0,,4,Nominations Exceed Capacity
24,2001-03-08 00:00:00,1125000,1125738,D,-738.0,,4,Nominations Exceed Capacity
24,2001-03-09 00:00:00,1125015,1124950,D,65.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-03-10 00:00:00,1125026,1125000,D,26.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-03-11 00:00:00,1125026,1125000,D,26.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-03-12 00:00:00,1119367,1125000,D,-5633.0,,4,Nominations Exceed Capacity
24,2001-03-13 00:00:00,1125034,1125000,D,34.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-03-14 00:00:00,1124725,1124925,D,-200.0,,4,Nominations Exceed Capacity
24,2001-03-15 00:00:00,1110226,1125000,D,-14774.0,,0,Nominations Exceed Capacity
24,2001-03-16 00:00:00,1105668,1125000,D,-19332.0,,0,Nominations Exceed Capacity
24,2001-03-17 00:00:00,1110159,1125000,D,-14841.0,,4,Nominations Exceed Capacity
24,2001-03-18 00:00:00,1110577,1124946,D,-14369.0,,4,Nominations Exceed Capacity
24,2001-03-19 00:00:00,1107994,1125000,D,-17006.0,,4,Nominations Exceed Capacity
24,2001-03-20 00:00:00,1096411,1125000,D,-28589.0,,2,Nominations Exceed Capacity
24,2001-03-21 00:00:00,1112378,1125000,D,-12622.0,,,
24,2001-03-22 00:00:00,1113132,1125000,D,-11868.0,,,
24,2001-03-23 00:00:00,1125040,1125000,D,40.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-03-24 00:00:00,1125034,1125000,D,34.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-03-25 00:00:00,1124286,1125000,D,-714.0,,4,Nominations Exceed Capacity
24,2001-03-26 00:00:00,1125024,1125000,D,24.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-03-27 00:00:00,1125026,1125000,D,26.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-03-28 00:00:00,1121667,1124948,D,-3281.0,,4,Nominations Exceed Capacity
24,2001-03-29 00:00:00,1110032,1125000,D,-14968.0,,4,Nominations Exceed Capacity
24,2001-03-30 00:00:00,1109187,1125000,D,-15813.0,,4,Nominations Exceed Capacity
24,2001-03-31 00:00:00,1125000,1124946,D,54.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-04-01 00:00:00,1074404,1090000,D,-15596.0,,3,Nominations Exceed Capacity
24,2001-04-02 00:00:00,800029,800000,D,29.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-04-03 00:00:00,830785,850000,D,-19215.0,,4,Nominations Exceed Capacity
24,2001-04-04 00:00:00,830026,850000,D,-19974.0,,4,Nominations Exceed Capacity
24,2001-04-05 00:00:00,863008,924934,D,-61926.0,,4,Nominations Exceed Capacity
24,2001-04-06 00:00:00,884862,914896,D,-30034.0,,4,Nominations Exceed Capacity
24,2001-04-07 00:00:00,880000,899942,D,-19942.0,,4,Nominations Exceed Capacity
24,2001-04-08 00:00:00,879979,899944,D,-19965.0,,4,Nominations Exceed Capacity
24,2001-04-09 00:00:00,897515,906098,D,-8583.0,,4,Nominations Exceed Capacity
24,2001-04-10 00:00:00,899644,899932,D,-288.0,,4,Nominations Exceed Capacity
24,2001-04-11 00:00:00,860000,909658,D,-49658.0,,4,Nominations Exceed Capacity
24,2001-04-12 00:00:00,853946,899928,D,-45982.0,,4,Nominations Exceed Capacity
24,2001-04-13 00:00:00,834125,899938,D,-65813.0,,4,Nominations Exceed Capacity
24,2001-04-14 00:00:00,860000,899936,D,-39936.0,,3,Nominations Exceed Capacity
24,2001-04-15 00:00:00,862655,899928,D,-37273.0,,4,Nominations Exceed Capacity
24,2001-04-16 00:00:00,860191,899938,D,-39747.0,,4,Nominations Exceed Capacity
24,2001-04-17 00:00:00,910270,999992,D,-89722.0,,4,Nominations Exceed Capacity
24,2001-04-18 00:00:00,928666,949940,D,-21274.0,,4,Nominations Exceed Capacity
24,2001-04-19 00:00:00,999903,1000000,D,-97.0,,4,Nominations Exceed Capacity
24,2001-04-20 00:00:00,980133,999928,D,-19795.0,,2,Nominations Exceed Capacity
24,2001-04-21 00:00:00,978927,1023270,D,-44343.0,,4,Nominations Exceed Capacity
24,2001-04-22 00:00:00,975372,1023266,D,-47894.0,,4,Nominations Exceed Capacity
24,2001-04-23 00:00:00,994713,1037968,D,-43255.0,,3,Nominations Exceed Capacity
24,2001-04-24 00:00:00,980000,1023262,D,-43262.0,,4,Nominations Exceed Capacity
24,2001-04-25 00:00:00,979562,1019948,D,-40386.0,,4,Nominations Exceed Capacity
24,2001-04-26 00:00:00,990894,1014124,D,-23230.0,,4,Nominations Exceed Capacity
24,2001-04-27 00:00:00,974986,1023264,D,-48278.0,,4,Nominations Exceed Capacity
24,2001-04-28 00:00:00,990362,1015072,D,-24710.0,,4,Nominations Exceed Capacity
24,2001-04-29 00:00:00,999209,999948,D,-739.0,,4,Nominations Exceed Capacity
24,2001-04-30 00:00:00,980000,1009930,D,-29930.0,,4,Nominations Exceed Capacity
24,2001-05-01 00:00:00,967746,1029892,D,-62146.0,,4,Nominations Exceed Capacity
24,2001-05-02 00:00:00,952242,1028692,D,-76450.0,,4,Nominations Exceed Capacity
24,2001-05-03 00:00:00,950595,1048338,D,-97743.0,,4,Nominations Exceed Capacity
24,2001-05-04 00:00:00,951630,1044866,D,-93236.0,,4,Nominations Exceed Capacity
24,2001-05-05 00:00:00,946961,1057964,D,-111003.0,,4,Nominations Exceed Capacity
24,2001-05-06 00:00:00,956750,1026222,D,-69472.0,,4,Nominations Exceed Capacity
24,2001-05-07 00:00:00,969795,1019938,D,-50143.0,,4,Nominations Exceed Capacity
24,2001-05-08 00:00:00,700145,684326,D,15819.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-05-09 00:00:00,720000,719926,D,74.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-05-10 00:00:00,700000,743258,D,-43258.0,,4,Nominations Exceed Capacity
24,2001-05-11 00:00:00,711408,719912,D,-8504.0,,4,Nominations Exceed Capacity
24,2001-05-12 00:00:00,699413,719908,D,-20495.0,,4,Nominations Exceed Capacity
24,2001-05-13 00:00:00,974423,1023260,D,-48837.0,,4,Nominations Exceed Capacity
24,2001-05-14 00:00:00,987634,1010456,D,-22822.0,,4,Nominations Exceed Capacity
24,2001-05-15 00:00:00,946188,970094,D,-23906.0,,4,Nominations Exceed Capacity
24,2001-05-16 00:00:00,969271,992222,D,-22951.0,,4,Nominations Exceed Capacity
24,2001-05-17 00:00:00,967393,1007246,D,-39853.0,,4,Nominations Exceed Capacity
24,2001-05-18 00:00:00,999582,999916,D,-334.0,,4,Nominations Exceed Capacity
24,2001-05-19 00:00:00,995166,999928,D,-4762.0,,4,Nominations Exceed Capacity
24,2001-05-20 00:00:00,985323,1000000,D,-14677.0,,4,Nominations Exceed Capacity
24,2001-05-21 00:00:00,998375,999930,D,-1555.0,,4,Nominations Exceed Capacity
24,2001-05-22 00:00:00,997826,989950,D,7876.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-05-23 00:00:00,941396,999952,D,-58556.0,,4,Nominations Exceed Capacity
24,2001-05-24 00:00:00,960089,999956,D,-39867.0,,4,Nominations Exceed Capacity
24,2001-05-25 00:00:00,1089387,1089976,D,-589.0,,4,Nominations Exceed Capacity
24,2001-05-26 00:00:00,1068438,1104612,D,-36174.0,,,
24,2001-05-27 00:00:00,1045160,1050050,D,-4890.0,,4,Nominations Exceed Capacity
24,2001-05-28 00:00:00,1047682,1052598,D,-4916.0,,0,Nominations Exceed Capacity
24,2001-05-29 00:00:00,1041626,1129972,D,-88346.0,,4,Nominations Exceed Capacity
24,2001-05-30 00:00:00,1089232,1091798,D,-2566.0,,4,Nominations Exceed Capacity
24,2001-05-31 00:00:00,1084336,1089858,D,-5522.0,,4,Nominations Exceed Capacity
24,2001-06-01 00:00:00,1089529,1089762,D,-233.0,,4,Nominations Exceed Capacity
24,2001-06-02 00:00:00,1074043,1105190,D,-31147.0,,4,Nominations Exceed Capacity
24,2001-06-03 00:00:00,1066826,1113728,D,-46902.0,,4,Nominations Exceed Capacity
24,2001-06-04 00:00:00,1067997,1100942,D,-32945.0,,4,Nominations Exceed Capacity
24,2001-06-05 00:00:00,1063705,1090000,D,-26295.0,,2,Nominations Exceed Capacity
24,2001-06-06 00:00:00,1069807,1105588,D,-35781.0,,4,Nominations Exceed Capacity
24,2001-06-07 00:00:00,1061987,1114216,D,-52229.0,,4,Nominations Exceed Capacity
24,2001-06-08 00:00:00,1018294,1153658,D,-135364.0,,4,Nominations Exceed Capacity
24,2001-06-09 00:00:00,834575,1090000,D,-255425.0,,,
24,2001-06-10 00:00:00,819098,1090000,D,-270902.0,,,
24,2001-06-11 00:00:00,1041794,1126851,D,-85057.0,,4,Nominations Exceed Capacity
24,2001-06-12 00:00:00,1038069,1149360,D,-111291.0,,4,Nominations Exceed Capacity
24,2001-06-13 00:00:00,1087861,1091142,D,-3281.0,,4,Nominations Exceed Capacity
24,2001-06-14 00:00:00,1012103,1119826,D,-107723.0,,3,Nominations Exceed Capacity
24,2001-06-15 00:00:00,994438,1090000,D,-95562.0,,3,Nominations Exceed Capacity
24,2001-06-16 00:00:00,794429,1090000,D,-295571.0,,,
24,2001-06-17 00:00:00,801587,1090000,D,-288413.0,,,
24,2001-06-18 00:00:00,1026946,1167346,D,-140400.0,,,
24,2001-06-19 00:00:00,1095243,1089974,D,5269.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-06-20 00:00:00,1082708,1092090,D,-9382.0,,4,Nominations Exceed Capacity
24,2001-06-21 00:00:00,1086931,1091020,D,-4089.0,,4,Nominations Exceed Capacity
24,2001-06-22 00:00:00,1088503,1089976,D,-1473.0,,4,Nominations Exceed Capacity
24,2001-06-23 00:00:00,971024,1090000,D,-118976.0,,,
24,2001-06-24 00:00:00,929510,1090000,D,-160490.0,,,
24,2001-06-25 00:00:00,1087370,1089956,D,-2586.0,,4,Nominations Exceed Capacity
24,2001-06-26 00:00:00,1088775,1090976,D,-2201.0,,4,Nominations Exceed Capacity
24,2001-06-27 00:00:00,1091509,1090000,D,1509.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-06-28 00:00:00,1051274,1147756,D,-96482.0,,4,Nominations Exceed Capacity
24,2001-06-29 00:00:00,885127,1090000,D,-204873.0,,,
24,2001-06-30 00:00:00,889872,1090000,D,-200128.0,,,
24,2001-07-01 00:00:00,926866,1090000,D,-163134.0,,,
24,2001-07-02 00:00:00,1068915,1090000,D,-21085.0,,,
24,2001-07-03 00:00:00,1090267,1091000,D,-733.0,,3,Nominations Exceed Capacity
24,2001-07-04 00:00:00,1086599,1089954,D,-3355.0,,4,Nominations Exceed Capacity
24,2001-07-05 00:00:00,1083979,1089972,D,-5993.0,,4,Nominations Exceed Capacity
24,2001-07-06 00:00:00,1073774,1090178,D,-16404.0,,4,Nominations Exceed Capacity
24,2001-07-07 00:00:00,1092359,1090480,D,1879.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-07-08 00:00:00,1079900,1091823,D,-11923.0,,3,Nominations Exceed Capacity
24,2001-07-09 00:00:00,1090129,1097544,D,-7415.0,,4,Nominations Exceed Capacity
24,2001-07-10 00:00:00,1092421,1089966,D,2455.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-07-11 00:00:00,1083131,1089966,D,-6835.0,,4,Nominations Exceed Capacity
24,2001-07-12 00:00:00,1081625,9095936,D,-8014311.0,,2,Nominations Exceed Capacity
24,2001-07-13 00:00:00,1089999,1089964,D,35.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-07-14 00:00:00,972257,1193612,D,-221355.0,,,
24,2001-07-15 00:00:00,792447,1090000,D,-297553.0,,,
24,2001-07-16 00:00:00,987322,1090000,D,-102678.0,,4,Nominations Exceed Capacity
24,2001-07-17 00:00:00,1090278,1089972,D,306.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-07-18 00:00:00,1093999,1093408,D,591.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-07-19 00:00:00,1038846,1136552,D,-97706.0,,2,Nominations Exceed Capacity
24,2001-07-20 00:00:00,908846,1093000,D,-184154.0,,,
24,2001-07-21 00:00:00,849896,1093000,D,-243104.0,,,
24,2001-07-22 00:00:00,819883,1093000,D,-273117.0,,,
24,2001-07-23 00:00:00,1092939,1125276,D,-32337.0,,4,Nominations Exceed Capacity
24,2001-07-24 00:00:00,1060222,1092954,D,-32732.0,,4,Nominations Exceed Capacity
24,2001-07-25 00:00:00,1085718,1101810,D,-16092.0,,4,Nominations Exceed Capacity
24,2001-07-26 00:00:00,1093005,1092966,D,39.0,Flow rate calculation,4,Nominations Exceed Capacity
24,2001-07-27 00:00:00,1092822,1093000,D,-178.0,,4,Nominations Exceed Capacity
24,2001-07-28 00:00:00,920585,1093000,D,-172415.0,,,
24,2001-07-29 00:00:00,907470,1093000,D,-185530.0,,,
24,2001-07-30 00:00:00,1053639,1105778,D,-52139.0,,4,Nominations Exceed Capacity
