Dates,W.MIDCOLUMBIA - CommonLow,W.MIDCOLUMBIA - CommonHigh,W.MIDCOLUMBIA - PKWeightedAvg,W.MIDCOLUMBIA - AbsLow,W.MIDCOLUMBIA - AbsHigh,W.MIDCOLUMBIA - OffPKCommonLow,W.MIDCOLUMBIA - OffPKCommonHigh,W.MIDCOLUMBIA - OffPKWeightedAvg,W.MIDCOLUMBIA - OffPKAbsLow,W.MIDCOLUMBIA - OffPKAbsHigh
2000-06-06 00:00:00,71,75,73.41,65,75,44.75,45.25,45,44.75,45.25
2000-06-07 00:00:00,70.5,81,75.84,69,90,42.25,46.75,44.56,41,50
2000-06-08 00:00:00,86,103.5,94.71,75,110,52.75,55,54.1,50,55
2000-06-09 00:00:00,76.25,81.5,78.81,73.5,84,54.75,55.25,55,54.75,55.25
2000-06-10 00:00:00,76.25,81.5,78.81,73.5,84,54.75,55.25,55,54.75,55.25
2000-06-12 00:00:00,101.75,129.25,115.57,95,150,65,68.5,66.78,63,70
2000-06-13 00:00:00,208,253,230.59,185,275,67.25,67.75,67.5,67,68
2000-06-14 00:00:00,286.75,356.75,321.74,285,425,55.25,55.75,55.5,55.25,55.75
2000-06-15 00:00:00,371.5,396.5,384.13,350,400,59,66.5,62.75,55,70
2000-06-16 00:00:00,172.5,197.5,185.02,160,210,46.25,48.75,47.5,45,50
2000-06-17 00:00:00,172.5,197.5,185.02,160,210,46.25,48.75,47.5,45,50
2000-06-19 00:00:00,95,113.25,103.28,95,135,53.25,54.25,53.67,53,55
2000-06-20 00:00:00,69,71.75,70.37,68,73,33.75,34.5,34.08,33.5,35
2000-06-21 00:00:00,58.75,63.75,61.17,55,65,30.75,32.25,31.5,30,33
2000-06-22 00:00:00,70,73,71.4,69,75,32.5,36,34.25,31,38
2000-06-23 00:00:00,90,98,94.08,89,105,38.25,40.25,39.36,38,42
2000-06-24 00:00:00,90,98,94.08,89,105,38.25,40.25,39.36,38,42
2000-06-26 00:00:00,191,205,198.43,175,205,50.75,51.75,51.33,50,52
2000-06-27 00:00:00,289.75,329.75,309.7,250,330,59,61,60,58,62
2000-06-28 00:00:00,601.5,736.5,668.91,530,800,79.75,80.25,80,79.75,80.25
2000-06-29 00:00:00,421.25,553.5,487.44,360,625,52.5,57.5,55,50,60
2000-06-30 00:00:00,421.25,553.5,487.44,360,625,52.5,57.5,55,50,60
2000-07-01 00:00:00,97,103.5,100.32,92,105,51.25,53.75,52.5,50,55
2000-07-03 00:00:00,118,135.5,126.67,115,150,78,84.5,81.25,75,87.5
2000-07-04 00:00:00,85,102.5,93.86,80,115,52.5,57.5,55,50,60
2000-07-05 00:00:00,85,102.5,93.86,80,115,52.5,57.5,55,50,60
2000-07-06 00:00:00,50.5,55.5,52.88,50,60,39,40.75,39.63,39,43
2000-07-07 00:00:00,40.75,43.25,41.98,40,45,35,35.5,35.2,35,35.5
2000-07-08 00:00:00,25.25,27.5,26.27,23,27.5,25,25.25,25.03,25,25.25
2000-07-10 00:00:00,60.5,63.5,62.05,59,65,50,54.5,52.07,50,60
2000-07-11 00:00:00,65.5,67,66.29,65,68,50.75,53.25,52,50,55
2000-07-12 00:00:00,68.5,75,71.78,62.5,76,52.25,53.25,52.75,52,54
2000-07-13 00:00:00,64.5,67,65.68,63,68,53.25,53.75,53.5,53,54
2000-07-14 00:00:00,55.5,57.75,56.54,54.5,59,51.75,52.5,52.17,51.5,53
2000-07-15 00:00:00,55.5,57.75,56.54,54.5,59,51.75,52.5,52.17,51.5,53
2000-07-17 00:00:00,88.25,92.75,90.49,85,94,71.75,72.25,72,71.75,72.25
2000-07-18 00:00:00,93.25,94.5,93.93,92,95,61.75,62.25,62,61.75,62.25
2000-07-19 00:00:00,103.75,113.75,108.78,95,115,64.25,67.25,65.71,62,68
2000-07-20 00:00:00,153,170,161.77,135,170,70.5,74.5,72.5,67,75
2000-07-21 00:00:00,143.75,151.25,147.5,140,155,,,,,
2000-07-22 00:00:00,143.75,151.25,147.5,140,155,,,,,
2000-07-24 00:00:00,233.75,243.75,238.75,230,250,104.5,112.25,108.33,100,115
2000-07-25 00:00:00,208.75,216.25,212.48,205,220,70.5,73.5,72,69,75
2000-07-26 00:00:00,196.25,203.75,200.08,190,205,68.25,69.25,68.86,68,70
2000-07-27 00:00:00,197,202,199.56,195,205,,,,,
2000-07-28 00:00:00,177.5,182.5,180.07,175,185,61.5,66.5,64.07,60,70
2000-07-29 00:00:00,177.5,182.5,180.07,175,185,61.5,66.5,64.07,60,70
2000-07-31 00:00:00,282.25,304.75,293.53,280,325,101.25,103.75,102.5,100,105
2000-08-01 00:00:00,437,494.5,465.68,435,550,82.75,84.25,83.57,82,85
2000-08-02 00:00:00,472,492,481.9,460,500,87.75,91.75,89.85,86,94
2000-08-03 00:00:00,301,345.5,329.3,295,360,89.5,89.75,89.67,89,90
2000-08-04 00:00:00,198.75,206.25,202.44,195,210,89.75,90.25,90,89.75,90.25
2000-08-05 00:00:00,198.75,206.25,202.44,195,210,89,91,90,89,91
2000-08-07 00:00:00,186,188.5,187.25,185,190,112.5,117.5,114.8,110,120
2000-08-08 00:00:00,167.5,174,170.74,162,175,70.25,73.5,71.69,70,77
2000-08-09 00:00:00,161.5,164,162.66,160,165,63.5,64.5,64,63,65
2000-08-10 00:00:00,148.75,149.75,149.23,148,150,57.25,57.75,57.6,57,58
2000-08-11 00:00:00,125,128.5,126.67,123,130,61,62.75,61.85,60,63
2000-08-12 00:00:00,124.75,128.5,126.67,123,130,61.25,62.5,61.85,60,63
2000-08-14 00:00:00,196.75,204.25,200.45,190,205,106.75,109.25,108,105,110
2000-08-15 00:00:00,192.75,198.75,195.94,188,200,62.25,62.75,62.45,62,63
2000-08-16 00:00:00,173.25,178.25,175.74,173,183,67,69,67.9,66,70
2000-08-17 00:00:00,192.25,199.75,196.11,190,205,74,79,76.67,70,80
2000-08-18 00:00:00,157,166.5,161.67,156,175,76.75,79.75,78.18,75,81
2000-08-19 00:00:00,157,166.5,161.67,156,175,76.75,79.75,78.18,75,81
2000-08-21 00:00:00,178.5,198.5,188.55,160,200,99.75,100.25,100,99.75,100.25
2000-08-22 00:00:00,195,202,198.48,190,204,97.5,102.5,100,95,105
2000-08-23 00:00:00,219,226.5,222.69,215,230,111.25,113.75,112.5,110,115
2000-08-24 00:00:00,240.75,253.25,246.96,240,265,130,140,135,125,145
2000-08-25 00:00:00,227.5,242.5,234.95,220,250,114,119,116.54,110,120
2000-08-26 00:00:00,227.5,242.5,234.95,220,250,114,119,116.54,110,120
2000-08-28 00:00:00,225.75,235.75,230.78,220,240,136.25,138.75,137.5,135,140
2000-08-29 00:00:00,222,227,224.59,220,230,125.5,128,126.67,125,130
2000-08-30 00:00:00,155,175,165,150,190,85,89,86.95,82,90
2000-08-31 00:00:00,155,175,165,150,190,85,89,86.95,82,90
2000-09-01 00:00:00,97,104,100.52,96,110,65.25,67.25,65.96,65,70
2000-09-02 00:00:00,97,104,100.52,96,110,65,67.25,65.96,65,70
2000-09-04 00:00:00,,,,,,72.75,76.75,74.83,70,78
2000-09-05 00:00:00,84.5,89.5,86.98,80,90,61.5,64,62.69,60,65
2000-09-06 00:00:00,118.5,126,122.27,115,130,73.5,77.5,75.5,72,80
2000-09-07 00:00:00,143.75,147.75,145.71,140,148,81.75,85.75,83.94,80,88
2000-09-08 00:00:00,115,119,116.98,112,120,89.25,92.75,91.14,88,95
2000-09-09 00:00:00,115,119,116.98,112,120,89.25,93,91.14,88,95
2000-09-11 00:00:00,140.75,150.75,145.74,135,155,122,124.5,123.23,120,125
2000-09-12 00:00:00,154.75,161.25,158.06,150,163,90,91.5,90.75,90,93
2000-09-13 00:00:00,162.5,167.5,165.07,160,170,93.25,96.25,94.87,92,98
2000-09-14 00:00:00,182.75,193.25,188.05,175,196,98.75,105.25,102,95,108
2000-09-15 00:00:00,161.25,171.25,166.35,160,180,98,102,100,97,105
2000-09-16 00:00:00,161.25,171.25,166.35,160,180,98,102,100,97,105
2000-09-18 00:00:00,191.5,201.5,196.58,190,210,121.25,127.5,124.4,115,128
2000-09-19 00:00:00,196.25,203.25,199.7,196,210,97.5,105,101.25,95,110
2000-09-20 00:00:00,206.5,214.5,210.55,204,220,99.25,102.75,101.08,98,105
2000-09-21 00:00:00,170.25,175.75,173.03,165,176,82.5,87.5,85,80,90
2000-09-22 00:00:00,96.5,107.5,102.02,93,115,68.25,72.75,70.54,66,75
2000-09-23 00:00:00,96.5,107.5,102.02,93,115,68.25,72.75,70.54,66,75
2000-09-25 00:00:00,88.75,95.75,92.33,85,99,80.5,83.5,82.07,78,84
2000-09-26 00:00:00,103.25,106.75,104.98,103,110,63.75,75,69.5,52,75
2000-09-27 00:00:00,101.5,104,102.77,100,105,71,73,72,70,74
2000-09-28 00:00:00,103.25,107.25,105.33,101,109,73.5,78.5,76.06,70,80
2000-09-29 00:00:00,109,112,110.64,105,112,80.5,81.5,81,80,82
2000-09-30 00:00:00,108.75,111.75,110.64,105,112,80.5,81.5,81,80,82
2000-10-02 00:00:00,129,134.75,131.88,124,136,100.75,103.25,102,100,105
2000-10-03 00:00:00,145.75,156.25,150.98,139,160,84,89.25,86.63,83,93
2000-10-04 00:00:00,120.25,123.75,122,118,125,77,78.5,77.8,76,79
2000-10-05 00:00:00,121.75,124.75,122.79,120,128,81,85.75,83.42,80,89
2000-10-06 00:00:00,106.25,108.75,107.49,105,110,72.75,75.75,74.14,72,78
2000-10-07 00:00:00,106.25,108.75,107.49,105,110,72.5,75.5,74.14,72,78
2000-10-09 00:00:00,123,129.5,126.2,120,133,94,98,96,92,100
2000-10-10 00:00:00,98.25,105.75,102.03,95,110,71.5,74,72.67,70,75
2000-10-11 00:00:00,104.25,106.25,105.29,103,107,75.25,79.25,77.32,74,82
2000-10-12 00:00:00,94,100,96.95,90,102,75.75,79.25,77.6,74,81
2000-10-13 00:00:00,80.75,82.5,81.66,80,83,75,76,75.54,75,77
2000-10-14 00:00:00,81,82.5,81.66,80,83,75,76,75.54,75,77
2000-10-16 00:00:00,92.5,94.5,93.52,91,95,84.25,87.75,86.08,83,90
2000-10-17 00:00:00,105.75,107.25,106,105,110,83.5,84.5,84,83,85
2000-10-18 00:00:00,104.25,109.5,106.86,100,110,85.5,87,86.17,85,88
2000-10-19 00:00:00,103.75,105.75,104.66,102,106,85,87,86,84,88
2000-10-20 00:00:00,97,99,98,96,100,85,85,85,85,85
2000-10-21 00:00:00,97,99,98,96,100,85,85,85,85,85
2000-10-23 00:00:00,102,103.5,102.61,101,104,94,97,95.5,93,99
2000-10-24 00:00:00,96.25,98.75,97.49,95,100,82.75,84.25,83.38,82,85
2000-10-25 00:00:00,96.25,98.75,97.49,95,100,82.75,84.25,83.38,82,85
2000-10-26 00:00:00,96.25,98.75,97.49,95,100,82.75,84.25,83.38,82,85
2000-10-27 00:00:00,85.75,88.25,87.05,85,90,83.5,84.5,84,83,85
2000-10-28 00:00:00,85.75,88.25,87.05,85,90,83.5,84.5,84,83,85
2000-10-30 00:00:00,91.5,93,92.33,91,94,86.75,87.75,87.17,86,88
2000-10-31 00:00:00,90,90.25,90.11,90,90.5,82.5,83,82.61,82,83
2000-11-01 00:00:00,89,91,89.99,89,93,79.75,81.75,80.64,78,82
2000-11-02 00:00:00,86.5,87.5,86.88,86,88,76.5,77.5,77.07,76,78
2000-11-03 00:00:00,74.75,75.5,75.13,74.5,76,70.25,71.25,70.78,70,72
2000-11-04 00:00:00,74.75,75.5,75.13,74.5,76,70.25,71.25,70.78,70,72
2000-11-06 00:00:00,94.5,99.5,97.05,92,102,84,87,85.54,82,88
2000-11-07 00:00:00,98.5,101,99.63,97,102,81.25,82.75,82,81,84
2000-11-08 00:00:00,96.25,97.5,96.8,96,98.5,80.75,85.25,82.92,79,88
2000-11-09 00:00:00,96.25,97.5,96.8,96,98.5,80.75,85.25,82.92,79,88
Sum,23160.75,24956.5,24067.09,22342.25,25921.5,12380.25,12836.5,12608.57,12153.75,13056
Average,98.5564,106.1979,102.4131,95.0734,110.3043,53.8272,55.8109,54.8199,52.8424,56.7652
Average (+),98.5564,106.1979,102.4131,95.0734,110.3043,53.8272,55.8109,54.8199,52.8424,56.7652
Average (-),,,,,,,,,,
Percent (+),100,100,100,100,100,100,100,100,100,100
Percent (-),0,0,0,0,0,0,0,0,0,0
Maximum,601.5,736.5,668.91,530,800,136.25,140,137.5,135,145
Minimum,22.25,23.25,22.8,21.75,23.5,6.75,7,6.95,6.75,7.25
Std Deviation,87.039,100.1379,93.4966,81.7086,107.7432,29.9008,30.9774,30.4309,29.3688,31.5073
Zstat,1.1323,1.0605,1.0954,1.1636,1.0238,1.8002,1.8017,1.8015,1.7993,1.8017
Variance,7575.7909,10027.5937,8741.6174,6676.2913,11608.6009,894.0565,959.6022,926.0412,862.5266,992.7077
Last,96.25,97.5,96.8,96,98.5,80.75,85.25,82.92,79,88
