,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EOTT P/L TANK LISTING- Last updated 8/01/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility,,SIC,Title,Possible,Legal ,County,St,Team,Tank,Status,Product,Volume,Constructed,Constructed,Tank ,Tank ,Tank,Tank,Roof,Roof Seals,IFR/EFR,Operating,NSPS,,Annual,Annual,TNRCC ,How ,Miscellaneous,Schem.
Driver ,,4612,No,,,Reagan,TX,Midland,889,out/svc,,5000,1945,,30,35,,,cone,,,,,abandoned,,,,KOCH 7/01/98,,
Foster ,PLP,4612,No,,,Ector,TX,Midland,787,Active,WTS,37500,1974,,40,80,W,wh,EFR,,,SE 86,K ,thput 540k/yr,,Yes,EB-0046-G,CITGO 2/27/97,pay emissions fee- NSPS,
Foster ,PLP,4612,No,,,Ector,TX,Midland,790,Active,WTS,37500,1976,,40,80,W,wh,EFR,,,SE 86,K ,thput 540k/yr,,Yes,EB-0046-G,CITGO 2/27/97,,
Foster ,PLP,4612,No,,,Ector,TX,Midland,736,Inactive,crude,10000,<1973,,24,55,B,wh,cone,,,GF,,thput zero,,,EB-0046-G,CITGO 2/27/97,,
Foster ,PLP,4612,No,,,Ector,TX,Midland,709,Active,WTI,10000,<1960,,24,55,B,wh,IFR ('97),,,GF,,insvc '97; IFR;   0 bpy,,,EB-0046-G,CITGO 2/27/97,"0 bpy; insvc '97;            new paint,IFR; ",
Foster ,PLP,4612,No,,,Ector,TX,Midland,733,Active,WTI,10054,1955,,50,~38,W,wh,cone,,,GF,,thput 24k/yr,,,EB-0046-G,CITGO 2/27/97,,
Foster ,PLP,4612,No,,,Ector,TX,Midland,734,Active,WTI,10041,1955,,50,~38,W,wh,cone,,,GF,,thput 24k/yr,,,EB-0046-G,CITGO 2/27/97,"(paid $2210 emiss. fee,  FY99)",
Garden City,OLP,4612,No,,,Glasscock,TX,Midland,56003,Active,WTI,30000,1996,,40,75,W,wh,IFR,,,SE 86,Kb,thput 200k/yr,,Yes,GE-0080-I,KOCH 7/01/98,pay emissions fee- NSPS,
Garza ,PLP,4612,No,,,Garza,TX,LaMesa,56006,Active,crude,15000,1958,,40,52,W,wh,EFR,,,GF,,thput 15.0M/yr,,,GC-0069-S,KOCH 7/01/98,"(paid $0,  FY99)",
Good ,PLP,4612,No,,,Borden,TX,LaMesa,58037,Active,crude,4898,<1973,,40,30,W,silv,IFR,,,GF,,thput 370k/yr,,,,KOCH 7/01/98,,Yes
Hamlin,PLP,4612,No,,"Austin Williams, Blk 348,S7",Stonewall,TX,Ham/Has,58504,Active,crude,29686.63,<1960,Chicago B&I,39.833,73,W,wh,EFR,,,GF,,,,,SP-0040-M,COSMOS 12/1/98,"gathering tk. from P/L, trucking",
Hamlin,PLP,4612,No,,"Austin Williams, Blk 348,S7",Stonewall,TX,Ham/Has,58505,Active,crude,29779.94,<1960,Chicago B&I,47.666667,67,W,wh,EFR,,,GF,,Main line tank,,,SP-0040-M,COSMOS 12/1/98,"6 mi. n. of Hamlin, Hwy 83",
Hamlin,PLP,4612,No,,"Austin Williams, Blk 348,S7",Stonewall,TX,Ham/Has,58506,Active,crude,14878.64,<1960,,39.833,~52,W,wh,EFR,,,GF,,Reserve frm MainLine,,,SP-0040-M,COSMOS 12/1/98,"6 mi. n. of Hamlin, Hwy 83",
"Haskell, N.",,4612,No,,A.J. Smith; S98,Haskell,TX,Ham/Has,58508,Abandon.,,50482.62,,,36.0833,~100,,,IFR,,,,,perm. out of svc.,,,HJ-0038-J,COSMOS 12/1/98,,
"Haskell, N.",PLP,4612,No,Yes,A.J. Smith; S98,Haskell,TX,Ham/Has,58509,Inactive,crude,18634.67,93/<'73,,31.5833,~65,W,wh,IFR,,,SE86,Kb,0 thput;  has 5000 bbls (btms),,,HJ-0038-J,COSMOS 12/1/98,pay emissions fee if reactivated,
"Haskell, S.",PLP,4612,No,,A.J. Smith; S98,Haskell,TX,Ham/Has,58023,Active,crude,55000,1996,Wyatt,42,~96,W,wh,IFR,,,SE 86,Kb,receives frm Katz 58021,,Yes,HJ-0024-U,COSMOS 12/1/98,pay emissions fee- NSPS,
"Haskell, S.",PLP,4612,No,Yes,R. Campbell survey; A-893,Haskell,TX,Ham/Has,58022,Inactive,crude,120000,80s/'66,Horton,42,~143,W,wh,IFR,,,SE 86,Kb,0 thput; inject. to Equilon PL,,Yes,HJ-0024-U,COSMOS 12/1/98,0 thput; injection to Equilon PL,
Hendrick ,PLP,4612,No,,,Winkler,TX,Kermit,260,Active,sweet,78890,<1960,,41.5,~117,R,tan,EFR,,,GF,,thput 13.0M/yr,,,WM-0191-O,,"(paid $416 emiss.   fee,  FY99)",
Iraan,,4612,No,,"sec 63, great north RR, rg1",Pecos,TX,Crane,929,out/svc,,39500,1929,no tag,45,~79,R,blk/sil,FR,,,,,out of svc,,,,TX-NMX 5/01/99,floater,Yes
Iraan,,4612,No,,"sec 63, great north RR, rg1",Pecos,TX,Crane,920,out/svc,,39000,1929,no tag,45,~79,R,blk/sil,FR,,,,,out of svc,,,,TX-NMX 5/01/99,floater,
Iraan,,4612,No,,"sec 63, great north RR, rg2",Pecos,TX,Crane,1343,out/svc,,5000,<1963,,35.67,~32,W,silv,cone,,,,,out of svc,,,,TX-NMX 5/01/99,,
Katz ,PLP,4612,No,,"Red River Co. School Land;   A347, Sec. 35",Haskell,TX,Ham/Has,58021,Active,crude,32508,<1973,,56,~65,W,silv,IFR,,,GF,,thput 2.0M/yr; ,,,,KPLPLP,ranch bbls ,
Live Oak,PLP,4612,No,,leased by Plains,Crockett,TX,Big Lake,1417,Active,crude,"~50,000",<1973,,~45,~90,W,silv,EFR,,,GF,,thput 700k/yr,,,CZ-0232-R,,,
McAfee,,4612,No,,"T&P RR Co. Blk 42 TWP 4-S, sec 10",Ector,TX,Crane,1523,Active,crude,10255,1995,,24.25,~55,B,tan,IFR,,,SE 86,Kb,thput 470k/yr,,Yes,EB-0780-R,TX-NMX 5/01/99,pay emissions fee- NSPS,
McElroy ,PLP,4612,No,,"182, CCSS,RGNG RR, rg E",Upton,TX,Crane,58004,Junk,water,9941.68,1952,Aker Tk,~35,~45,W,silv,cone,,,,,needs teardown,,,,KOCH 7/01/98,hyd test water,
McElroy ,PLP,4612,No,,"182, CCSS,RGNG RR, rg E",Upton,TX,Crane,58005,Active,sweet,4921.47,1981 ?,Aker Tk,~29,~35,,silv,cone,,,SE 86,Ka,thput 3.6M/yr,,Yes,may NEED,KOCH 7/01/98,pay emissions fee- NSPS,
Midland,OLP,4612,No,? Munger,,Midland,TX,Midland ,1516,Active,WTI,15000,1992,,40,~51,W,wh,IFR,,,SE 86,Kb,thput 2.9M/yr,,Yes,ML-0199-F,TX-NMX 5/01/99,pay emissions fee- NSPS,
Ozona, ,4612,No,,"Hwy 290, 8.4 mi W",Crockett,TX,Big Lake,1190,out/svc,,63700,<1973,,~40,~106,W,silv,EFR,,,GF,,perm. out of service,,,,TX-NMX 5/01/99,,
Ozona ,PLP,4612,No,,"Hwy 290, 8.4 mi W",Crockett,TX,Big Lake,1336,Inactive,crude,78400,<1973,,~59,~100,W,wh,EFR,,,GF,,thput zero,,,,TX-NMX 5/01/99,,
Ozona ,PLP,4612,No,,"Hwy 291, 8.4 mi W",Crockett,TX,Big Lake,1396,Active,crude,122700,<1973,,~59,~125,W,wh,EFR,,,GF,,thput 300k/yr,,,CZ-0181-J,TX-NMX 5/01/99,,
Ozona ,PLP,4612,No,,"Hwy 292, 8.4 mi W",Crockett,TX,Big Lake,1439,Active,crude,78400,<1973,,~59,~100,W,wh,EFR,,,GF,,thput 700k/yr,,,CZ-0181-J,TX-NMX 5/01/99,"(paid $510 emiss.   fee, FY 99)",
Quito-Hendrick,PLP,4612,No,,,Winkler,TX,Kermit,58044,Active,crude,20000,1977,GATX,40,42,W,wh,EFR,,,SE 86,K,thput 1.8M/yr,,Yes,WM-0191-O,KOCH 7/01/98,pay emissions fee- NSPS ,
Sands,,4612,No,,,Dawson,TX,LaMesa,1508A,Active,sour,42000,1975,,40,~87,W,tan,IFR,,,SE 86,K,thput 1.0M/yr,,Yes,may NEED,TX-NMX 5/01/99,pay emiss. fee if subpart K applies,Yes
Scurry,,4612,No,,,Scurry,TX,LaMesa,1517,Active,crude,15000,~1993,,~40,~51,W,wh,IFR,,0 (avg),SE 86,Kb,thput 7.0M/yr,,Yes,SG-0140-J,TX-NMX 5/01/99,pay emissions fee- NSPS,
Shafter Lake,,4612,No,,,Andrews,TX,Andrews,1284A,Active,Sour,10000,1954,no tag,~40,~45,W,wh,cone,,,GF,,thput 14k/yr,,,,TX-NMX 5/01/99,,
Sonora, ,4612,No,,,Sutton,TX,Big Lake ,1342,Inactive,crude,5000,<1973,,~32,~34,W,silv,cone,,,GF,,thput zero,,,SQ-0115-S,TX-NMX 5/01/99,,Yes
Sonora, ,4612,No,,,Sutton,TX,Big Lake ,1515,Inactive,crude,87700,~1985,,~48,~114,W,tan,EFR,,,SE 86,Kb,thput zero,,Yes,SQ-0115-S,TX-NMX 5/01/99,pay emiss. fee if tank reactivated,
Sundown, ,4612,No,,,Hockley,TX,Andrews,1117A,Active,Sour,79853,1941,,40,117,W,tan,EFR,,,GF,,thput 1.4M/yr,,,,TX-NMX 5/01/99,,
Sundown, ,4612,No,,,Hockley,TX,Andrews,1215D,Active,Sour,77289,1946,,40,117,W,tan,EFR,,,GF,,thput 1.4M/yr,,,,TX-NMX 5/01/99,,
Upton ,,4612,No,,,Upton,TX,Crane,99091,out/svc,,5000,,,,,,,,,,,,perm. out of service,,,,,,
Upton ,PLP,4612,No,,"18, CCSS, RGNG RR, rg B",Upton,TX,Crane,56001,Active,crude,29750,1949,,48,67,W,silv,EFR,,,GF,,thput 590k/yr,,,,KOCH 7/01/98,,
Wildfire,,4612,No,,,Midland,TX,Midland,1524,Active,crude,10000,1999,,40,45,,none,IFR,,,SE 86,Kb,thput 1.2M/yr,,Yes,ML-0366-K,TX-NMX 5/01/99,pay emissions fee- NSPS,
Windham,,4612,No,,,Midland,TX,Midland,1445,Active,crude,10192,1962,,25,52,B,,cone,,,GF,,not metered,,,,TX-NMX 5/01/99,"gathering, not metered",
Wink,PLP,4612,No,"Yes,1988",,Winkler,TX,Kermit,825,Inactive,crude,400,<1973,,20,12,W,tan,cone,,,GF,exempt(size),PL press.relief,,,,,"PL emergency pressure relief, relocated to Wink 1988",
Beeson ,PLP,4612,No,, Sec 3  T18S-R30E,Eddy,NM,Hobbs,1182,Active,crude,5000,1944,,14,68,W,tan,cone,,,GF,,thput 24k/yr,,,NMX-n/a,TX-NMX 5/01/99,,
Dublin ,OLP,4612,No,, Sec 11 T26S-R36E,Lea,NM,Jal,396,Active,crude,63433,1956,AB Parkhrst,34.75,~114,R,tan,EFR,,,GF,,thput 1.1M/yr,,,NMX-n/a,,,
Eunice Booster,PLP,4612,No,, Sec 27 T21S-R36E,Lea,NM,Eunice,351,Active,sour,14963,<1973,Grover dbl-dk,40,~51,W,wh,EFR,,,GF,,thput 110k/yr,,,NMX-n/a,,,
Hugh ,PLP,4612,No,, Sec 15 T22S-R37E,Lea,NM,Eunice,811,Active,crude,5027,1962,Horton,32,33.6,W,tan,cone,,,GF,,thput 10k/yr;,,,NMX-n/a,,"R&R roof, '95",
Jal,PLP,4612,No,,NE1/4 SEC 5  T26S-R37E,Lea,NM,Jal,1065,Active,sour,49957,<1973,No Tag,26.4,117,R,blk/sil,EFR,,,GF,,thput 500k/yr,,,NMX-n/a,TX-NMX 5/01/99,,
Jal,PLP,4612,No,,NE1/4 SEC 5  T26S-R37E,Lea,NM,Jal,1203,out/svc,crude,76374,,,41.7,~115,R,blk/sil,cone,,,,,perm. out of service ?,,,NMX-n/a,,,
Jal,PLP,4612,No,,NE1/4 SEC 5  T26S-R37E,Lea,NM,Jal,1214,Active,sour,56396,1947,Horton Tk,43,120,W,wh,EFR,,,GF,,thput 500k/yr,,,NMX-n/a,TX-NMX 5/01/99,,
Jal,PLP,4612,No,,NE1/4 SEC 5  T26S-R37E,Lea,NM,Jal,1408,Active,crude,78109,1955,Horton Tk,59,100,W,silv,EFR,,,GF,,thput 500k/yr,,,NMX-n/a,TX-NMX 5/01/99,,
Jal,PLP,4612,No,,NE1/4 SEC 5  T26S-R37E,Lea,NM,Jal,1426,Active,crude,123398,1957,Graver ,60,125,W,silv,EFR,,,GF,,thput 1.0M/yr ,,,NMX-n/a,TX-NMX 5/01/99,,
Jal,PLP,4612,No,,NE1/4 SEC 5  T26S-R37E,Lea,NM,Jal,1433,Active,crude ANS,123390,1957,Graver ,60,125,W,wh,EFR,,,GF,,thput 300k/yr,,,NMX-n/a,TX-NMX 5/01/99,Utah tank,
Jal,PLP,4612,No,,NE1/4 SEC 5  T26S-R37E,Lea,NM,Jal,1434,Active,sweet,123404,1957,Graver ,60,125,W,wh,EFR,,,GF,,thput 500k/yr ,,,NMX-n/a,TX-NMX 5/01/99,Utah tank,
Jal,PLP,4612,No,,NE1/4 SEC 5  T26S-R37E,Lea,NM,Jal,1435,Active,sweet,123397,1957,Graver ,60,125,W,wh,EFR,,,GF,,thput 1.4M/yr ,,,NMX-n/a,TX-NMX 5/01/99,Utah tank,
Jal,PLP,4612,No,,NE1/4 SEC 5  T26S-R37E,Lea,NM,Jal,1488,Active,sour,40068,<1973,No Tag,44,80,W,silv,EFR,,,GF,,thput 300k/yr           ,,,NMX-n/a,TX-NMX 5/01/99,,
Lea ,PLP,4612,No,,? Sec 19 T20S-R37E,Lea,NM,Hobbs,808,Active,sweet,84396,1960,Graver ,42,117.2,W,wh,IFR,,,1430-2,,thput 600k/yr           ,,,NMX-n/a,,,Yes
Lea ,OLP,4612,No,,or,Lea,NM,Hobbs,809,Active,sweet,83778,1958,Graver ,42,117.2,W,tan,IFR,,,1430-2,,thput 600k/yr           ,,,NMX-n/a,,,Yes
Lea ,OLP,4612,No,,? Sec 28 T25S-R37E,Lea,NM,Hobbs,810,Active,sour,24918,<1973,,39.5,67,W,tan,IFR,,,1430-2,,thput 240k/yr           ,,,NMX-n/a,,,Yes
Livingston Ridge,OLP,4612,No,,  Sec 6   T22S-R32E,Eddy,NM,Lov-Carl,68414,Active,crude,9829,1990,Cox Tk,~34,~45,W,tan,IFR,,,1096-M-1-R-1,Kb,thput 3.6M/yr (w/Thomas Stn)    ,,,NMX-n/a,,thput 3.6M/yr (w/ Thomas Stn)    ,
"Loco Hills, W.",OLP,4612,No,, Sec 12  T18S-R29E,Eddy,NM,Lov-Carl,4602,Active,crude,750,1992,,,,W,tan,cone,,,"ok, 2001",Kb,thput 2k/yr           ,,,NMX-n/a,TX-NMX 5/01/99,"Kb exempt if TVP < 2.18 psia (i.e., RVP<3)",
"Loco Hills, W.",OLP,4612,No,,Sec 12  T22S-R29E,Eddy,NM,Lov-Carl,1218,Active,crude,5000,1958,,,,R,wh/tan,cone,,,GF,,thput 5k/yr           ,,,NMX-n/a,TX-NMX 5/01/99,,
Loco Hills ,OLP,4612,No,,Sec 11 T18S-R32E,Eddy,NM,Lov-Carl,68417,Active,crude,8643,~1994,,~34,~44,W,tan,IFR,,,ok,Kb,thput 26k/yr           ,,,NMX-n/a,,,
Loco Hills ,OLP,4612,No,,Sec 11 T18S-R32E,Eddy,NM,Lov-Carl,68418,Active,crude,9307,~1994,,~34,~44,W,tan,IFR,,,ok,Kb,thput 26k/yr           ,,,NMX-n/a,,,
Lynch,PLP,4612,No,,Sec 1  T21S-R33E,Lea,NM,Hobbs,1086,Abandon,,55000,1926,,32,125,R,blk,EFR,,,GF,,abandoned,,,NMX-n/a,TX-NMX 5/01/99,,Yes
Lynch,PLP,4612,No,,Sec 1  T21S-R33E,Lea,NM,Hobbs,1459,Abandon,,122700,1961,Horton,59,125,W,blk,EFR,,,GF,,abandoned,,,NMX-n/a,TX-NMX 5/01/99,,
Lynch,PLP,4612,No,,Sec 1  T21S-R33E,Lea,NM,Hobbs,1471,Active,sour,84000,1952,Horton,51,110,W,primer,EFR,,,GF,,thput 500k/yr,,,NMX-n/a,TX-NMX 5/01/99,,
Lynch,PLP,4612,No,,Sec 1  T21S-R33E,Lea,NM,Hobbs,1511,Active,sweet,122000,1978,Chicago B&I,59,125,W,silv,EFR,,,ok,K ,thput 1.2M/yr,,,NMX-n/a,TX-NMX 5/01/99,,Yes
Maljamar,PLP,4612,No,,Sec 31 T18S-R32E,Eddy,NM,Lov-Carl,1114,Active,crude,4302,1958,,18,~42,W,wh,cone,,,GF,,thput zero,,,NMX-n/a,,,
Maljamar  ,PLP,4612,No,,Sec 27 T16S-R33E,Eddy,NM,Lov-Carl,1184,Active,crude,4809,1958,,19,~45,W,wh,cone,,,GF,,thput 6k/yr,,,NMX-n/a,TX-NMX 5/01/99,,
Maljamar  ,PLP,4612,No,,? Sec 3  T17S-R32E,Eddy,NM,Lov-Carl,1519,Active,crude,500,1994,Callinger,15,15.5,W,wh,cone,,,"ok,2001",Kb,thput 3k/yr,,,NMX-n/a,TX-NMX 5/01/99,Kb exempt if TVP < 2.18 psia; RVP 3 or less,
Maljamar  ,PLP,4612,No,,? Sec 3  T17S-R32E,Eddy,NM,Lov-Carl,1520,Active,crude,500,1994,Callinger,15,15.5,W,wh,cone,,,"ok,2001",Kb,thput 3k/yr,,,NMX-n/a,TX-NMX 5/01/99,Kb exempt if TVP < 2.18 psia,
Maljamar  ,PLP,4612,No,,? Sec 3  T17S-R32E,Eddy,NM,Lov-Carl,1521,Active,crude,500,1994,Callinger,15,15.5,W,wh,cone,,,"ok,2001",Kb,thput 3k/yr,,,NMX-n/a,TX-NMX 5/01/99,Kb exempt if TVP < 2.18 psia,
Maljamar  ,PLP,4612,No,,? Sec 3  T17S-R32E,Eddy,NM,Lov-Carl,1522,Active,crude,500,1994,Callinger,15,15.5,W ,wh,cone,,,"ok,2001",Kb,thput 3k/yr,,,NMX-n/a,TX-NMX 5/01/99,Kb exempt if TVP < 2.18 psia,
Thomas ,OLP,4612,No,,"Sec 23 T23S, R31E",Eddy,NM,Jal,68413,Active,crude,20481,1994,Skinner,40,60.5,W,tan,IFR,,,1500-R-1,Kb,thput 3.6M/yr (w/Liv.Ridge)    ,,,NMX-n/a,,thput 3.6M/yr (w/Livin. Ridge)    ,
Young Deep,OLP,4612,No,,Sec 4  T19S-R32E,Lea,NM,Lov-Carl,58051,Active,sweet,547.39,<1973,,20,14,W,tan,cone,,,GF,,thput 1k/yr,,,NMX-n/a,KOCH 7/01/98,,
Young Deep,OLP,4612,No,,Sec 4  T19S-R32E,Lea,NM,Lov-Carl,58052,Active,sweet,550,<1973,,20,14,W,tan,cone,,,GF,,thput 1k/yr,,,NMX-n/a,KOCH 7/01/98,,
Young Deep ,OLP,4612,No,,Sec 4  T19S-R32E,Lea,NM,Lov-Carl,58053,Active,sweet,545.35,<1973,,20,14,W,tan,cone,,,GF,,thput 1k/yr,,,NMX-n/a,KOCH 7/01/98,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend & Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OLP: operating limited partnership (private pipeline, EOTT use only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLP: pipeline limited partnership (common carrier pipeline),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 4612: Crude Petroleum Pipelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tank shell: B bolted, R riveted, W welded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IFR/EFR Seal Condition: + good, 0 fair, - poor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF: Tanks constructed < 1973 and not modified or reconstructed since 1973.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE86: TNRCC standard exemption for a tank equipped with an IFR/EFR storing material having a tvp < 11.0 psia. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roof Seals: Primary(P), Secondary(S); ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                     Mechanical shoe(MS), Liquid-mounted(L), Vapor-mounted(V)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                     foam log(F), rim-mounted wiper(W), other(O), unknown(U)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDITIONS (Specifics on these locations are being investigated; These have not been included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Railcar crude oil loading,,,,,Unknown,,,,1499,,,,,,,,,,,,,,,,,,,,,
