ICE DRILLING,,,,,,,,,,,,,,
Interest Income Calculation ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Interest on Outstanding,,,Principal ,,,Outstanding Principal ,
1/1/00-1/31/00,31,,,9.900000%,,,"9,071.90 ",,,,,,"1,078,932.95 ","264,452.89 "
January interest,31,,,,,,"9,071.90 ",907.19 ,"8,164.71 ",,0.00 ,"9,071.90 ","1,088,004.86 ","264,452.89 "
2/1/00-2/29/00,29,,,9.900000%,,,"8,557.98 ",,,,,,"1,088,004.86 ","264,452.89 "
February interest,29,,,,,,"8,557.98 ",855.80 ,"7,702.18 ",,0.00 ,"8,557.98 ","1,096,562.84 ","264,452.89 "
3/1/00-3/31/00,31,,,9.900000%,,,"9,220.14 ",,,,,,"1,096,562.84 ","264,452.89 "
March interest,31,,,,,,"9,220.14 ",922.01 ,"8,298.13 ",,0.00 ,"9,220.14 ","1,105,782.98 ","264,452.89 "
4/1/00-4/30/00,30,,,9.900000%,,,"8,997.74 ",,,,,,"1,105,782.98 ","264,452.89 "
April interest,30,,,,,,"8,997.74 ",899.77 ,"8,097.97 ",,0.00 ,"8,997.74 ","1,114,780.72 ","264,452.89 "
5/1/00-5/31/00,31,,,9.900000%,,,"9,373.32 ",,,,,,"1,114,780.72 ","264,452.89 "
May interest,31,,,,,,"9,373.32 ",937.33 ,"8,435.99 ",,0.00 ,"9,373.32 ","1,124,154.04 ","264,452.89 "
6/1/00-6/30/00,30,,,9.900000%,,,"9,147.23 ",,,,,,"1,124,154.04 ","264,452.89 "
June interest,30,,,,,,"9,147.23 ",914.72 ,"8,232.50 ",,0.00 ,"9,147.23 ","1,133,301.26 ","264,452.89 "
7/1/00-7/31/00,31,,,9.900000%,,,"9,529.05 ",,,,,,"1,133,301.26 ","264,452.89 "
July interest,31,,,,,,"9,529.05 ",952.90 ,"8,576.14 ",,0.00 ,"9,529.05 ","1,142,830.31 ","264,452.89 "
8/1/00-8/31/00,31,,,9.900000%,,,"9,609.17 ",,,,,,"1,142,830.31 ","264,452.89 "
August interest,31,,,,,,"9,609.17 ",960.92 ,"8,648.25 ",,0.00 ,"9,609.17 ","1,152,439.48 ","264,452.89 "
9/1/00-9/30/00,30,,,9.900000%,,,"9,377.38 ",,,,,,"1,152,439.48 ","264,452.89 "
September interest,30,,,,,,"9,377.38 ",937.74 ,"8,439.65 ",,0.00 ,"9,377.38 ","1,161,816.86 ","264,452.89 "
10/1/00-10/31/00,31,,,9.900000%,,,"9,768.81 ",,,,,,"1,161,816.86 ","264,452.89 "
October interest,31,,,,,,"9,768.81 ",976.88 ,"8,791.93 ",,0.00 ,"9,768.81 ","1,171,585.67 ","264,452.89 "
,,,,,,,,,,,,,,
'file:///richard_sanders__31773__Ice Dri1.xlsx'#$Sheet12,,,,,,,,,,,,,,
