,,,,RESPONSES,RESPONSES,RESPONSES,RESPONSES,RESPONSES,RESPONSES,,,,,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT,TRACKING REPORT
El Paso Energy Corporation,Donna Scott,Gas - US,1999-04-26 00:00:00,1999-05-26 00:00:00,Yes,No,Letter and Y2K contingency plan,Yes,,Satisfactory,Yes,Yes,,1,,,1,1,,1,,1,1,
"Engage Energy US, L.P.",Lisa Cousino,Gas - US,1999-05-14 00:00:00,1999-06-10 00:00:00,No,No,Disclosure,Yes,,Unsatisfactory,,,,1,,,1,1,,,1,,,
"Enserch Energy Services, Inc.",Lisa Cousino,Gas - US,1999-05-05 00:00:00,,,,,,,,,,,1,,,,,,,,,,
"Equistar Chemicals, LP",Diane Cook,Gas - US,1999-05-17 00:00:00,1999-06-07 00:00:00,Yes,Yes,Letter and questionnaire,Yes,,Good,,,,1,,,1,1,1,,,,,
Fina Natural Gas Company,Lisa Cousino,Gas - US,1999-05-05 00:00:00,1999-07-14 00:00:00,No,No,Letter and self-assessment,Yes,,Satisfactory,,Yes,,1,,,1,1,,1,,,1,
Florida Gas Transmission Company,Donna Scott,Gas - US,1999-04-29 00:00:00,,,,,,,,Yes,,,1,,,,,,,,1,,
Florida Power & Light,Lisa Cousino,Gas - US,1,1999-04-27 00:00:00,Yes,No,,Yes,1999-04-27 00:00:00,Satisfactory,,,,1,,,1,1,,1,,,,
Great Lakes Gas Transmission Ltd. Part,Donna Scott,Gas - US,1999-04-26 00:00:00,1999-05-14 00:00:00,No,No,Letter,Yes,,Unsatisfactory,,Yes,,1,,,1,1,,,1,,1,
Hattiesburg Storage,Diane Cook,Gas - US,1999-05-06 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Honeoye Storage,Diane Cook,Gas - US,1999-05-06 00:00:00,,,,,Yes,,Good,,,,1,,,1,1,1,,,,,
"Iroquois Gas Transmission System, L. P.",Donna Scott,Gas - US,1999-04-26 00:00:00,1999-05-14 00:00:00,No,No,Letter,Yes,,Unsatisfactory,,Yes,,1,,,1,1,,,1,,1,
Keyspan Energy Corporation,Bob Superty,Gas - US,1999-05-11 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Koch Gateway Pipeline Company,Donna Scott,Gas - US,1999-04-26 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Louis Dreyfus Corporation,Lisa Cousino,Gas - US,1999-05-05 00:00:00,1999-05-17 00:00:00,No,No,Letter,,,,,,,1,,,,,,,,,,
Louis Dreyfus Natural Gas,Lisa Cousino,Gas - US,1999-05-05 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Mobil Oil Corporation,Diane Cook,Gas - US,1,1999-04-20 00:00:00,Yes,,,Yes,1999-04-20 00:00:00,Good,,,,1,,,1,1,1,,,,,
Natural Gas Pipeline Co. of America,Donna Scott,Gas - US,1999-04-26 00:00:00,1999-05-10 00:00:00,Yes,,,Yes,,Satisfactory,Yes,Yes,,1,,,1,1,,1,,1,1,
Northern Border Pipeline Company,Donna Scott,Gas - US,1999-04-29 00:00:00,1999-05-13 00:00:00,Yes,,,,,,Yes,,,1,,,,,,,,1,,
Northern Natural Gas Company,Donna Scott,Gas - US,1999-04-29 00:00:00,,,,,,,,Yes,,,1,,,,,,,,1,,
ONG (Oklahoma Natural Gas),Donna Scott,Gas - US,1999-04-29 00:00:00,1999-05-13 00:00:00,No,No,Letter,Yes,,Satisfactory,,Yes,,1,,,1,1,,1,,,1,
Panhandle Eastern Pipeline Company,Donna Scott,Gas - US,1999-04-26 00:00:00,,,,,Yes,,Satisfactory,Yes,Yes,,1,,,1,1,,1,,1,1,
Peoples Energy Corporation,Bob Superty,Gas - US,1999-05-11 00:00:00,,,,,,,,,,,1,,,,,,,,,,
PG&E Gas Transmission - Northwest,Donna Scott,Gas - US,1999-04-29 00:00:00,,,,,Yes,,Satisfactory,,Yes,,1,,,1,1,,1,,,1,
Reliant Energy Entex,Lisa Cousino,Gas - US,1,1999-04-13 00:00:00,Yes,,,Yes,1999-04-13 00:00:00,Satisfactory,,,,1,,,1,1,,1,,,,
Reliant Energy Gas Transmission Company,Donna Scott,Gas - US,1999-04-26 00:00:00,,,,,Yes,,Unsatisfactory,,Yes,,1,,,1,1,,,1,,1,
Sabine Pipe Line Company Inc.,Donna Scott,Gas - US,1999-04-26 00:00:00,1999-05-27 00:00:00,No,No,Letter,Yes,,Satisfactory,,Yes,,1,,,1,1,,1,,,1,
Sea Robin Pipeline Company,Donna Scott,Gas - US,1999-04-26 00:00:00,1999-05-13 00:00:00,No,No,Letter,Yes,,Satisfactory,,Yes,,1,,,1,1,,1,,,1,
Sithe/Independence Power Partners,Diane Cook,Gas - US,1999-05-03 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Sonat Inc.,Lisa Cousino,Gas - US,1999-05-05 00:00:00,,,,,,,,,,,1,,,,,,,,,,
"Southern Company Energy Marketing, L.P.",Lisa Cousino,Gas - US,1999-05-05 00:00:00,1999-06-01 00:00:00,No,No,Letter,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Southern Natural Gas Company,Donna Scott,Gas - US,1999-04-26 00:00:00,1999-05-13 00:00:00,No,No,Letter,Yes,,Satisfactory,,Yes,,1,,,1,1,,1,,,1,
Stingray Pipeline Company,Donna Scott,Gas - US,1999-04-26 00:00:00,1999-05-10 00:00:00,Yes,,,Yes,,Satisfactory,,Yes,,1,,,1,1,,1,,,1,
Tennessee Gas Pipeline Company,Donna Scott,Gas - US,1999-04-26 00:00:00,1999-05-26 00:00:00,No,No,Letter,Yes,,Satisfactory,Yes,Yes,,1,,,1,1,,1,,1,1,
Texaco Inc.,Lisa Cousino,Gas - US,1999-05-05 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Texas Eastern Transmission Corporation,Donna Scott,Gas - US,1999-04-26 00:00:00,,,,,,,,Yes,,,1,,,,,,,,1,,
Texas Gas Transmission Corporation,Donna Scott,Gas - US,1999-04-26 00:00:00,,,,,Yes,,Unsatisfactory,,Yes,,1,,,1,1,,,1,,1,
Texas Utilities Company,Lisa Cousino,Gas - US,1999-05-05 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Thermo Cogeneration Partnership L.P.,Lisa Cousino,Gas - US,1999-05-05 00:00:00,1999-06-23 00:00:00,Yes,Yes,,Yes,,Unsatisfactory,,,,1,,,1,1,,,1,,,
Transcontinental Gas Pipeline Corp.,Donna Scott,Gas - US,1999-04-26 00:00:00,,,,,Yes,,Unsatisfactory,Yes,Yes,,1,,,1,1,,,1,1,1,
Transwestern Pipeline,Donna Scott,Gas - US,1999-04-29 00:00:00,,,,,,,,Yes,,,1,,,,,,,,1,,
Trunkline Gas Company,Donna Scott,Gas - US,1999-04-26 00:00:00,,,,,Yes,,Satisfactory,Yes,Yes,,1,,,1,1,,1,,1,1,
Union Pacific Resources Group Inc.,Lisa Cousino,Gas - US,1999-05-05 00:00:00,1999-05-27 00:00:00,No,No,Letter and disclosure,Yes,,Satisfactory,,Yes,,1,,,1,1,,1,,,1,
Utilicorp United Inc.,Lisa Cousino,Gas - US,1999-05-05 00:00:00,1999-05-17 00:00:00,No,No,Letter and disclosure,,,,,,,1,,,,,,,,,,
Valero Energy Corporation,Lisa Cousino,Gas - US,1999-05-06 00:00:00,1999-06-01 00:00:00,No,No,Letter and web site information,Yes,,Satisfactory,,Yes,,1,,,1,1,,1,,,1,
Venice Gathering System,Donna Scott,Gas - US,1999-04-29 00:00:00,,,,,,,,,,,1,,,,,,,,,,
"Western Gas Resources, Inc.",Lisa Cousino,Gas - US,1999-05-21 00:00:00,,,,,,,,,,,1,,,,,,,,,,
"Williams Companies, Inc., The",Lisa Cousino,Gas - US,1999-05-05 00:00:00,1999-06-01 00:00:00,No,No,Letter,,,,,,,1,,,,,,,,,,
Williams Field Services,Donna Scott,Gas - US,1999-04-26 00:00:00,,,,,Yes,,Unsatisfactory,,Yes,,1,,,1,1,,,1,,1,
,,Gas - US Total,,,,,,,,,,,,65,,,35,35,3,21,10,14,23,0
,,,,,,,,,,,,,,,,,0.538,0.538,0.046,0.323,0.154,0.215,0.354,0
A. P. Moller (Maersk Line),Rob Cass,Global Products,1999-05-18 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Accrogas International Ltd.,Rob Cass,Global Products,1999-04-30 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Blystad Shipping (USA) Inc.,Rob Cass,Global Products,1999-04-30 00:00:00,,,,,Yes,,Good,,,,1,,,1,1,1,,,,,
"Dow Chemical Company, The",Rob Cass,Global Products,1999-04-30 00:00:00,,,,,Yes,,Good,,,,1,,,1,1,1,,,,,
Dubai Natural Gas Company,Rob Cass,Global Products,1999-04-30 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Ecopetrol - Empresa Colombiana de Petroleos,Rob Cass,Global Products,1999-04-30 00:00:00,,,,,Yes,,Good,,Yes,,1,,,1,1,1,,,,1,
EOTT,Rob Cass,Global Products,1999-04-30 00:00:00,,,,,,,,,,,1,,,,,,,,,,
"Genesis Crude Oil, L.P.",Rob Cass,Global Products,1999-04-30 00:00:00,1999-05-24 00:00:00,No,No,Letter and disclosure,Yes,,Good,,Yes,,1,,,1,1,1,,,,1,
Glencore Ltd.,Rob Cass,Global Products,1999-04-30 00:00:00,1999-06-02 00:00:00,No,No,Letter,Yes,,Satisfactory,,Yes,,1,,,1,1,,1,,,1,
Heidenreich Marine Inc.,Rob Cass,Global Products,1999-04-30 00:00:00,,,,`,,,,,,,1,,,,,,,,,,
"Maersk Tankers New York, c/o Maersk Inc.",Rob Cass,Global Products,1999-05-18 00:00:00,,,,,Yes,,Good,,Yes,,1,,,1,1,1,,,,1,
Omi Corporation,Rob Cass,Global Products,1999-04-30 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Petroleo Brasileiro S.A./Petrobras America Inc.:,Rob Cass,Global Products,1999-04-30 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Petroleos de Venezuela S.A.,Rob Cass,Global Products,1999-04-30 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Petroleum Company of Trinidad & Tobago Ltd.,Rob Cass,Global Products,1999-04-30 00:00:00,,,,,,,,,,,1,,,,,,,,,,
"PMI Trading, Ltd.",Rob Cass,Global Products,1999-04-30 00:00:00,1999-06-04 00:00:00,No,No,Letter,,,,,,,1,,,,,,,,,,
Premuda S.P.A.N.,Rob Cass,Global Products,1999-04-30 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Shell Group (Shell-Royal Dutch Group),Rob Cass,Global Products,1999-04-30 00:00:00,1999-05-13 00:00:00,No,No,Letter,,,,,,,1,,,,,,,,,,
Sprague Energy Corp.,Rob Cass,Global Products,1999-04-30 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Tosco Corporation,Rob Cass,Global Products,1999-04-30 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Ultramar Diamond Shamrock Corporation,Rob Cass,Global Products,1999-05-14 00:00:00,1999-06-11 00:00:00,No,No,Letter,,,,,,,1,,,,,,,,,,
"Veba Oil Supply & Trading, Inc.",Rob Cass,Global Products,1999-04-30 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Westlake Chemical Corporation,Rob Cass,Global Products,1999-04-30 00:00:00,1999-05-25 00:00:00,No,No,Letter,,,,,,,1,,,,,,,,,,
,,Global Products Total,,,,,,,,,,,,23,,,6,6,5,1,0,0,4,0
,,,,,,,,,,,,,,,,,0.261,0.261,0.217,0.043,0,0,0.174,0
American Electric Power Corporation,Leslie Reeves,Power - US,1999-04-28 00:00:00,,,,,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Arizona Public Service Company,Thresa Allen,Power - US,1999-04-28 00:00:00,1999-05-17 00:00:00,No,No,Letter and excerpt from Annual Report,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Avista Corporation - Washington Water Power,Evelyn Aucoin,Power - US,1999-04-28 00:00:00,1999-05-18 00:00:00,No,No,Letter and brochure,,,,,,,1,,,,,,,,,,
Bonneville Power Administration,Thresa Allen,Power - US,1999-04-28 00:00:00,1999-05-17 00:00:00,No,No,Letter and brochure,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Cinergy Corp.,Leslie Reeves,Power - US,1999-04-28 00:00:00,1999-05-25 00:00:00,No,No,Letter,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Citizens Power Sales,Evelyn Aucoin,Power - US,1999-04-28 00:00:00,1999-05-19 00:00:00,No,No,Letter,Yes,,Unsatisfactory,,,,1,,,1,1,,,1,,,
City of Tacoma,Thresa Allen,Power - US,1999-05-05 00:00:00,,,,,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Colorado Springs Utilities,Thresa Allen,Power - US,1999-04-28 00:00:00,,,,,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Dominion Resources Inc.,Leslie Reeves,Power - US,1999-04-28 00:00:00,,,,,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Duke Energy Corp,Evelyn Aucoin,Power - US,1999-05-03 00:00:00,1999-05-10 00:00:00,No,No,Brochure,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Dynegy,Evelyn Aucoin,Power - US,1999-05-03 00:00:00,1999-06-01 00:00:00,No,No,Letter and questionnaire,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Entergy Services,Evelyn Aucoin,Power - US,1999-06-08 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Government of the Province of British Columbia,Thresa Allen,Power - US,1999-04-28 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Hinson Power Company Inc.,Leslie Reeves,Power - US,1999-04-28 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Idaho Power Company,Thresa Allen,Power - US,1999-04-28 00:00:00,1999-06-18 00:00:00,No,No,Letter,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
"Koch Industries, Inc.",Evelyn Aucoin,Power - US,1999-04-28 00:00:00,,,,,Yes,,Unsatisfactory,,,,1,,,1,1,,,1,,,
L G & E Energy Corp,Evelyn Aucoin,Power - US,1999-05-03 00:00:00,1999-05-04 00:00:00,No,No,Email referring to website,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Los Angeles Dept. of Water & Power,Thresa Allen,Power - US,1999-04-28 00:00:00,1999-05-25 00:00:00,No,No,Letter,,,,,,,1,,,,,,,,,,
Modesto Irrigation District,Thresa Allen,Power - US,1999-04-28 00:00:00,1999-05-12 00:00:00,No,No,Letter,,,,,,,1,,,,,,,,,,
"Montana Power Company, The",Thresa Allen,Power - US,1999-04-28 00:00:00,1999-05-18 00:00:00,No,No,Letter and brochure,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Pacificorp,Thresa Allen,Power - US,1999-04-28 00:00:00,,,,,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
PG&E Corporation,Leslie Reeves,Power - US,1999-04-28 00:00:00,,,,,,,,,,,1,,,,,,,,,,
"PJM Interconnection, LLC",Leslie Reeves,Power - US,1999-04-28 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Public Service Company of Colorado,Thresa Allen,Power - US,1999-04-28 00:00:00,1999-05-19 00:00:00,No,No,Letter and video,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Public Service Company of New Mexico,Thresa Allen,Power - US,1999-04-28 00:00:00,,,,,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Public Service Enterprise Group,Leslie Reeves,Power - US,1999-04-28 00:00:00,,,,,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Reliant Energy HL&P,Leslie Reeves,Power - US,1999-05-14 00:00:00,,,,,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
"Reliant Energy Services, Inc.",Evelyn Aucoin,Power - US,1999-05-14 00:00:00,1999-06-07 00:00:00,No,No,Letter and disclosure,,,,,,,1,,,,,,,,,,
Salt River Project Agricultural Improvement and Power District,Thresa Allen,Power - US,1999-05-05 00:00:00,,,,,,,,,,,1,,,,,,,,,,
Statoil Energy Inc.,Evelyn Aucoin,Power - US,1999-04-28 00:00:00,,,,,,,,Yes,,,1,,,,,,,,1,,
Tennessee Valley Authority,Leslie Reeves,Power - US,1999-05-14 00:00:00,,,,,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
Tucson Electric Power Company,Thresa Allen,Power - US,1999-04-28 00:00:00,1999-05-13 00:00:00,No,No,Web site information,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
United States Department of Energy,Thresa Allen,Power - US,1999-04-28 00:00:00,1999-05-12 00:00:00,No,No,Letter and disclosure,Yes,,Satisfactory,,,,1,,,1,1,,1,,,,
,,Power - US Total,,,,,,,,,,,,33,,,22,22,0,20,2,1,0,0
,,,,,,,,,,,,,,,,,0.667,0.667,0,0.606,0.061,0.03,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,Grand Total,,,,,,,,,,,,146,,,79,79,11,54,12,15,27,0
,,,,,,,,,,,,,,,,,0.541,0.541,0.075,0.37,0.082,0.103,0.185,0
