"** Please be advised that this information is confidential and propietary.  We ask that this confidential information be treated as such, in accordance with",,,,,,,,,,
    applicable laws and regulations governing disclosure of confidential information by gas marketers such as Enron.,,,,,,,,,,
,,,,,,,,,,
Business Unit,Counterparty,Pipe,Zone,Trade Date,Meter,BeginFlow,EndFlow,Volume,Price,$
ENA - IM WC CAL,"Mirant Americas Energy Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.7,27000
ENA - IM WC CAL,"Aquila Dallas Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.755,27550
ENA - IM WC CAL,"e prime, inc.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.695,26950
ENA - IM WC CAL,"Mirant Americas Energy Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.775,27750
ENA - IM WC CAL,"Mirant Americas Energy Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.72,27200
ENA - IM WC CAL,"Mirant Americas Energy Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.695,26950
ENA - IM WC CAL,"Mirant Americas Energy Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.69,26900
ENA - IM WC CAL,"Mirant Americas Energy Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.645,26450
ENA - IM WC CAL,"Mirant Americas Energy Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.645,26450
ENA - IM WC CAL,"e prime, inc.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.69,26900
ENA - IM WC CAL,"Mirant Americas Energy Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.675,26750
ENA - IM WC CAL,Aquila Energy Marketing Corporation,EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.67,26700
ENA - IM WC CAL,Aquila Energy Marketing Corporation,EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.695,26950
ENA - IM WC CAL,"Aquila Dallas Marketing, L.P.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.69,26900
ENA - IM WC CAL,"Duke Energy Trading and Marketing, L.L.C.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.69,26900
ENA - IM WC CAL,"e prime, inc.",EPNG,Keystone Pool,2001-10-25 00:00:00,KEYSTONE,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.675,26750
,WACOG,2.694,,,,,,240000,,646650
,,,,,,,,,,
ENA - IM WT CAL,"e prime, inc.",NWPL,Opal,2001-10-25 00:00:00,543,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.55,12750
ENA - IM WT CAL,"Constellation Power Source, Inc.",NWPL,Opal,2001-10-25 00:00:00,543,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.53,12650
ENA - IM WT CAL,"Reliant Energy Services, Inc.",NWPL,Opal,2001-10-25 00:00:00,543,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.52,12600
ENA - IM WT CAL,"Reliant Energy Services, Inc.",NWPL,Opal,2001-10-25 00:00:00,543,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.575,12875
,WACOG,2.544,,,,,,20000,,50875
,,,,,,,,,,
ENA - IM WC CAL,"El Paso Merchant Energy, L.P.",PG&E,City Gate,2001-10-25 00:00:00,CG0202N,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,3,30000
ENA - IM WC CAL,"El Paso Merchant Energy, L.P.",PG&E,City Gate,2001-10-25 00:00:00,CG0202N,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.99,14950
ENA - IM WC CAL,"El Paso Merchant Energy, L.P.",PG&E,City Gate,2001-10-25 00:00:00,CG0202N,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,3,30000
ENA - IM WC CAL,Aquila Energy Marketing Corporation,PG&E,City Gate,2001-10-25 00:00:00,CG0202N,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,3.005,15025
ENA - IM WC CAL,"e prime, inc.",PG&E,City Gate,2001-10-25 00:00:00,CG0202N,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.99,14950
ENA - IM WC CAL,"Constellation Power Source, Inc.",PG&E,City Gate,2001-10-25 00:00:00,CG0202N,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,3.04,15200
ENA - IM WC CAL,"Constellation Power Source, Inc.",PG&E,City Gate,2001-10-25 00:00:00,CG0202N,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,3.01,15050
,WACOG,3.004,,,,,,45000,,135175
,,,,,,,,,,
ENA - IM WC CAL,"Duke Energy Trading and Marketing, L.L.C.",PG&E,Southern Border El Paso Topock,2001-10-25 00:00:00,EP0202RSB,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.89,28900
ENA - IM WC CAL,"Duke Energy Trading and Marketing, L.L.C.",PG&E,Southern Border El Paso Topock,2001-10-25 00:00:00,EP0202RSB,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.89,28900
,WACOG,2.89,,,,,,20000,,57800
,,,,,,,,,,
ENA - IM WC CAL,PanCanadian Energy Services Inc.,PGEN,Malin,2001-10-25 00:00:00,MALI,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.84,28400
ENA - IM WC CAL,"Avista Energy, Inc.",PGEN,Malin,2001-10-25 00:00:00,MALI,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.86,28600
ENA - IM WC CAL,"Avista Energy, Inc.",PGEN,Malin,2001-10-25 00:00:00,MALI,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.855,28550
ENA - IM WC CAL,"Avista Energy, Inc.",PGEN,Malin,2001-10-25 00:00:00,MALI,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.865,28650
ENA - IM WC CAL,"e prime, inc.",PGEN,Malin,2001-10-25 00:00:00,MALI,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.865,14325
ENA - IM WC CAL,"Avista Energy, Inc.",PGEN,Malin,2001-10-25 00:00:00,MALI,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.865,14325
ENA - IM WC CAL,Dynegy Marketing and Trade,PGEN,Malin,2001-10-25 00:00:00,MALI,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.875,28750
ENA - IM WC CAL,Dynegy Marketing and Trade,PGEN,Malin,2001-10-25 00:00:00,MALI,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.875,28750
ENA - IM WC CAL,"Avista Energy, Inc.",PGEN,Malin,2001-10-25 00:00:00,MALI,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.895,14475
ENA - IM WC CAL,"Constellation Power Source, Inc.",PGEN,Malin,2001-10-25 00:00:00,MALI,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.88,14400
,WACOG,2.865,,,,,,80000,,229225
,,,,,,,,,,
ENA - IM WC CAL,"El Paso Merchant Energy, L.P.",SCAL,Blythe Southern Border,2001-10-25 00:00:00,DSCALEHRSB,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.835,28350
ENA - IM WC CAL,"Duke Energy Trading and Marketing, L.L.C.",SCAL,Blythe Southern Border,2001-10-25 00:00:00,DSCALEHRSB,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.875,28750
ENA - IM WC CAL,PG&E Energy Trading-Gas Corporation,SCAL,Blythe Southern Border,2001-10-25 00:00:00,DSCALEHRSB,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.81,28100
ENA - IM WC CAL,Dynegy Marketing and Trade,SCAL,Blythe Southern Border,2001-10-25 00:00:00,DSCALEHRSB,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.825,28250
ENA - IM WC CAL,"El Paso Merchant Energy, L.P.",SCAL,Blythe Southern Border,2001-10-25 00:00:00,DSCALEHRSB,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.85,14250
ENA - IM WC CAL,"Allegheny Energy Supply Company, LLC",SCAL,El Paso,2001-10-25 00:00:00,3200322,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.84,14200
ENA - IM WC CAL,Aquila Energy Marketing Corporation,SCAL,El Paso,2001-10-25 00:00:00,3200322,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.855,28550
ENA - IM WC CAL,"Duke Energy Trading and Marketing, L.L.C.",SCAL,El Paso,2001-10-25 00:00:00,3200322,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.89,28900
ENA - IM WC CAL,Aquila Energy Marketing Corporation,SCAL,El Paso,2001-10-25 00:00:00,3200322,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.845,28450
ENA - IM WC CAL,Aquila Energy Marketing Corporation,SCAL,El Paso,2001-10-25 00:00:00,3200322,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.84,28400
ENA - IM WC CAL,"Duke Energy Trading and Marketing, L.L.C.",SCAL,El Paso,2001-10-25 00:00:00,3200322,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.825,28250
ENA - IM WC CAL,Dynegy Marketing and Trade,SCAL,El Paso,2001-10-25 00:00:00,3200322,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.835,28350
ENA - IM WC CAL,Southern California Gas Company,SCAL,TW,2001-10-25 00:00:00,10487,2001-11-01 00:00:00,2001-12-01 00:00:00,10000,2.845,28450
,WACOG,2.844,,,,,,120000,,341250
,,,,,,,,,,
ENA - IM Denver,Kerr-McGee Energy Services Corporation,TRBZ,Dull Knife,2001-10-25 00:00:00,5001,2001-11-01 00:00:00,2001-12-01 00:00:00,5000,2.63,13150
ENA - IM Denver,Marathon Oil Company,TRBZ,Dull Knife,2001-10-25 00:00:00,5001,2001-11-01 00:00:00,2001-12-01 00:00:00,2860,2.675,7651
,WACOG,2.646,,,,,,7860,,20801
