,,,Maximum,,MTD Avg,Prior Mo Avg,Month-2 Avg,Month-2 Avg,Month-3 Avg,Month-4 Avg,,,,,Tue,Mon,Sun,Sat,Fri,,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,-72242,-79820,-79820,-71333,-71333,-71333,-89435,-78737,-65875,-79111,-79111,-79111,-79111,-55471,-59211,-72590,-84346,-84346,-84346,-84346,-67765,-62723,-88778,-55747,-55747,-55747,-55747,-142227,-142227,-71063,-60805,-77831
,,,,,0,0,0,-1000,-1000,-1000,0,-7500,-5000,-7500,-7500,-7500,-7500,-7500,0,0,0,0,0,0,-7500,-7500,0,-2000,-2000,-2000,-2000,-6000,-6000,-3000,0,-2935
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-403
,,,,,-42041,-53013,-53013,-91623,-91623,-91623,-78925,-67858,-29030,-46030,-46030,-46030,-46030,-10000,-5052,-49030,-21613,-21613,-21613,-21613,-1000,-68818,-64942,-85371,-85371,-85371,-85371,-79090,-79090,-51652,-22145,-51107
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,-43592,-46308,-46308,-37415,-37415,-37415,-58394,-16051,-167725,-53938,-53938,-53938,-53938,-24015,-16136,-31040,-22572,-22572,-22572,-22572,-44433,-21037,-21251,-58221,-58221,-58221,-58221,-25000,-25000,-111648,-46000,-49822
,,,,,-6255,0,0,0,0,0,0,0,-55,-55,-55,-55,-55,0,0,0,-6055,-6055,-6055,-6055,-55,-55,0,-55,-55,-55,-55,0,0,-4872,0,-1662
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,-301657,-310148,-310148,-299243,-299243,-299243,-324819,-270926,-482368,-345919,-345919,-345919,-345919,-202363,-185336,-261486,-261792,-261792,-261792,-261792,-340613,-386555,-366377,-532199,-532199,-532199,-532199,-506765,-506765,-425800,-317562,-352525
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Month-2 Avg
,,,,,2001-12-31 00:00:00,2001-12-30 00:00:00,2001-12-29 00:00:00,2001-12-28 00:00:00,2001-12-27 00:00:00,2001-12-26 00:00:00,2001-12-25 00:00:00,2001-12-24 00:00:00,2001-12-23 00:00:00,2001-12-22 00:00:00,2001-12-21 00:00:00,2001-12-20 00:00:00,2001-12-19 00:00:00,2001-12-18 00:00:00,2001-12-17 00:00:00,2001-12-16 00:00:00,2001-12-15 00:00:00,2001-12-14 00:00:00,2001-12-13 00:00:00,2001-12-12 00:00:00,2001-12-11 00:00:00,2001-12-10 00:00:00,2001-12-09 00:00:00,2001-12-08 00:00:00,2001-12-07 00:00:00,2001-12-06 00:00:00,2001-12-05 00:00:00,2001-12-04 00:00:00,2001-12-03 00:00:00,2001-12-02 00:00:00,2001-12-01 00:00:00,2001-12-05 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,0,21731,21731,21731,21731,21731,21731,21731,36381,12839,2631,11066,11066,11066,11066,11010,26559,11010,0,0,0,0,54500,0,0,0,80000,80000,80000,16494
,,,,,5,5,5,0,0,0,0,0,0,0,0,5000,7000,55,55,55,55,28555,44973,11929,9850,9850,9850,9850,0,1013,2,1102,22054,22054,22054,5914
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,28324,28324,28324,7500,7500,7500,7500,7500,7500,7500,7500,25079,27024,25579,25579,25579,25579,0,0,3541,0,0,0,0,7000,0,0,26158,101923,101923,101923,18331
,,,,,44166,44166,44166,49082,49082,49082,49082,49082,49082,49082,47582,54641,138843,146345,146345,146345,146345,175349,142192,151709,73301,73301,73301,73301,51497,371331,129701,98689,134384,134384,134384,97714
,,,,,180000,180000,180000,167753,167753,167753,167753,167753,167753,167753,90253,149154,115248,129422,129422,129422,129422,180000,180000,180000,78719,78719,78719,78719,180000,180000,167549,173488,137752,137752,137752,148324
,,,,,74382,74382,74382,200000,200000,200000,200000,200000,200000,200000,200000,56660,128994,61929,61929,61929,61929,32211,11967,131858,200000,200000,200000,200000,19976,21022,56474,13248,86171,86171,86171,115806
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,117593,117593,117593,38424,38424,38424,38424,38424,38424,38424,38524,52141,0,0,0,0,0,0,0,0,123756,123756,123756,123756,144102,73618,80546,122932,120610,120610,120610,64111
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,0,11722,11722,11722,11722,11722,11722,11722,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,21343,21343,21343,4508
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,444470,444470,444470,496212,496212,496212,496212,496212,496212,496212,420240,355514,419740,374396,374396,374396,374396,442125,405691,490047,485626,485626,485626,485626,457075,646984,434272,435617,704237,704237,704237,471202
,,,,,-36234,-36234,-36234,0,0,0,0,0,0,0,-35748,0,0,0,0,0,0,0,0,-5266,0,0,0,0,-672,-13049,-2730,0,0,0,0,-6529
,,,,,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000
,,,,,-67378,-67378,-67378,-18806,-18806,-18806,-18806,-18806,-18806,-18806,-2354,-1258,-258,-15,-15,-15,-15,-693,-215,-26,-29136,-29136,-29136,-29136,-5041,-23865,-6860,-17782,-34712,-34712,-34712,-20824
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,-60805,-60805,-60805,-37522,-37522,-37522,-37522,-37522,-37522,-37522,-79498,-44005,-105978,-136627,-136627,-136627,-136627,-85653,-64964,-136031,-25809,-25809,-25809,-25809,-54879,-44293,-32285,-62838,-208869,-208869,-208869,-73670
,,,,,0,0,0,-7500,-7500,-7500,-7500,-7500,-7500,-7500,-7500,0,0,0,0,0,0,0,0,0,0,0,0,0,-7000,0,0,0,0,0,0,-2161
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5611,0,0,0,0,0,0,-5011,-4900,0,0,0,0,0,-501
,,,,,-22145,-22145,-22145,-68759,-68759,-68759,-68759,-68759,-68759,-68759,-49510,-26365,-45,-25000,-25000,-25000,-25000,-19,-199,0,-7684,-7684,-7684,-7684,-3941,-10000,-61,-9999,-10,-10,-10,-25832
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,-46000,-46000,-46000,-16029,-16029,-16029,-16029,-16029,-16029,-16029,-25076,-28800,-36000,-16068,-16068,-16068,-16068,-21815,-28212,-74543,-168975,-168975,-168975,-168975,-94715,-179279,-7715,-17360,-72290,-72290,-72290,-54660
,,,,,0,0,0,0,0,0,0,0,0,0,0,-55,0,-55,-55,-55,-55,-12000,0,0,-7998,-7998,-7998,-7998,-8498,0,0,-36702,-14463,-14463,-14463,-3819
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,-317562,-317562,-317562,-233616,-233616,-233616,-233616,-233616,-233616,-233616,-284686,-185483,-227281,-262765,-262765,-262765,-262765,-210791,-178590,-300866,-324602,-324602,-324602,-324602,-264757,-360386,-134651,-229681,-415344,-415344,-415344,-272996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Month-2 Avg,
,,,,,2001-11-30 00:00:00,2001-11-29 00:00:00,2001-11-28 00:00:00,2001-11-27 00:00:00,2001-11-26 00:00:00,2001-11-25 00:00:00,2001-11-24 00:00:00,2001-11-23 00:00:00,2001-11-22 00:00:00,2001-11-21 00:00:00,2001-11-20 00:00:00,2001-11-19 00:00:00,2001-11-18 00:00:00,2001-11-17 00:00:00,2001-11-16 00:00:00,2001-11-15 00:00:00,2001-11-14 00:00:00,2001-11-13 00:00:00,2001-11-12 00:00:00,2001-11-11 00:00:00,2001-11-10 00:00:00,2001-11-09 00:00:00,2001-11-08 00:00:00,2001-11-07 00:00:00,2001-11-06 00:00:00,2001-11-05 00:00:00,2001-11-04 00:00:00,2001-11-03 00:00:00,2001-11-02 00:00:00,2001-11-01 00:00:00,2001-11-05 00:00:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,80000,80000,67071,32749,32749,32749,32749,80000,80000,80000,80000,80000,80000,80000,53638,53638,72715,80000,2700,2700,2700,80000,80000,59165,0,0,0,0,0,8213,47117.86666666667,
,,,,,3051,3051,20003,10001,10001,10001,10001,0,0,5,1,1,1,1,3,3,2502,1,32004,32004,32004,10002,10002,4,22202,22202,22202,22202,10018,1,9449.133333333333,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,18000,18000,0,0,0,0,0,22500,22500,7500,5000,5000,5000,5000,0,0,3000,4000,15000,15000,15000,3200,3200,0,0,0,0,0,0,129386,9876.2,
,,,,,147574,147574,275945,132418,132418,132418,132418,86169,86169,60368,73575,73575,73575,73575,86794,86794,66098,73397,117196,117196,117196,61531,61531,58231,89161,89161,89161,89161,81445,87494,99977.26666666666,
,,,,,109362,109362,180000,177825,177825,177825,177825,107106,107106,128087,171000,171000,171000,171000,180000,180000,93924,120571,82563,82563,82563,116530,116530,107143,180000,180000,180000,180000,142563,31000,139742.43333333332,
,,,,,57915,57915,32915,128852,128852,128852,128852,200000,200000,191020,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,154372,154372,200000,123373,123373,123373,123373,150145,99645,156906.63333333333,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,77300,77300,202738,141028,141028,141028,141028,99195,99195,115628,120091,120091,120091,120091,69362,69362,44509,106702,45350,45350,45350,75150,75150,106047,180766,180766,180766,180766,120480,50747,109748.5,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,21333,21333,31333,31369,31369,31369,31369,31656,31656,31333,31333,31333,31333,31333,31333,31333,21333,21333,21333,21333,21333,21333,21333,21333,22839,22839,22839,22839,55558,26550,27541.533333333333,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,514535,514535,810005,654242,654242,654242,654242,626626,626626,613941,681000,681000,681000,681000,621130,621130,504081,606004,516146,516146,516146,522118,522118,551923,618341,618341,618341,618341,560209,433036,600359.5666666667,
,,,,,-797,-797,0,0,0,0,0,-8256,-8256,-11379,-45500,-45500,-45500,-45500,-40000,-40000,-5257,-17809,-37028,-37028,-37028,-65500,-65500,-51129,0,0,0,0,0,-1,-20258.833333333332,
,,,,,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-85000,-73501,-85000,-85000,-85000,-85000,-85000,-85000,-84616.7,
,,,,,-10000,-10000,-4045,-50877,-50877,-50877,-50877,-43399,-43399,-12211,-10044,-10044,-10044,-10044,-29,-29,-17409,-34470,-4082,-4082,-4082,-42333,-42333,-70105,0,0,0,0,-10000,-10030,-20190.733333333334,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,-117612,-117612,-180294,-136512,-136512,-136512,-136512,-135546,-135546,-254208,-275579,-275579,-275579,-275579,-240112,-240112,-123898,-171379,-110144,-110144,-110144,-79286,-79286,-108127,-172779,-172779,-172779,-172779,-146705,-85614,-162841.63333333333,
,,,,,-5000,-5000,0,0,0,0,0,-7500,-7500,-7500,-5000,-5000,-5000,-5000,0,0,-3000,-4000,-1000,-1000,-1000,-3200,-3200,0,0,0,0,0,0,-4945,-2461.5,
,,,,,-29637,-29637,-32914,-4000,-4000,-4000,-4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3606.266666666667,
,,,,,0,0,-42533,0,0,0,0,-42244,-42244,-50332,-10048,-10048,-10048,-10048,-5534,-5534,-14044,-38504,-14000,-14000,-14000,0,0,-10500,0,0,0,0,0,-30,-11123.033333333333,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,-18888,-18888,-59270,-68171,-68171,-68171,-68171,-37721,-37721,-104448,-33723,-33723,-33723,-33723,-15201,-15201,-50176,-74987,-26714,-26714,-26714,-33363,-33363,-60174,-15223,-15223,-15223,-15223,-32115,-40204,-39344.333333333336,
,,,,,-10000,-10000,-23412,-5400,-5400,-5400,-5400,0,0,-12,0,0,0,0,-63,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2171.6666666666665,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,-276934,-276934,-427468,-349960,-349960,-349960,-349960,-359666,-359666,-525090,-464894,-464894,-464894,-464894,-385939,-385939,-298784,-426149,-277968,-277968,-277968,-308682,-308682,-373536,-273002,-273002,-273002,-273002,-273820,-225824,-346614.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Sun,Sat,Fri,Thu,Wed,Tue,Mon,Month-3 Avg
,,,,,2001-10-31 00:00:00,2001-10-30 00:00:00,2001-10-29 00:00:00,2001-10-28 00:00:00,2001-10-27 00:00:00,2001-10-26 00:00:00,2001-10-25 00:00:00,2001-10-24 00:00:00,2001-10-23 00:00:00,2001-10-22 00:00:00,2001-10-21 00:00:00,2001-10-20 00:00:00,2001-10-19 00:00:00,2001-10-18 00:00:00,2001-10-17 00:00:00,2001-10-16 00:00:00,2001-10-15 00:00:00,2001-10-14 00:00:00,2001-10-13 00:00:00,2001-10-12 00:00:00,2001-10-11 00:00:00,2001-10-10 00:00:00,2001-10-09 00:00:00,2001-10-08 00:00:00,2001-10-07 00:00:00,2001-10-06 00:00:00,2001-10-05 00:00:00,2001-10-04 00:00:00,2001-10-03 00:00:00,2001-10-02 00:00:00,2001-10-01 00:00:00,2001-10-05 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,80000,22123,22123,50000,50000,61122,8000,80000,80000,0,20000,20000,20000,1000,0,7663,7663,27100,27100,27100,44831,12500,0,40000,40000,40000,60000,13818,0,80000,80000,32972.354838709674
,,,,,1,1,1,10001,10001,2965,1,8350,8350,17501,20001,20001,20001,1,1,1,1,1,1,1,1,45001,7,1,1,1,17143,1,1,0,0,5785.129032258064
,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,0,0,0,7500,7500,0,123197,0,0,222641,17500,17500,17500,99026,0,0,0,7500,7500,7500,7500,2000,0,7500,7500,7500,7500,119019,0,0,0,22367.1935483871
,,,,,159715,103528,103528,224786,224786,221214,151384,81634,81634,68313,277219,277219,277219,337722,154032,209782,209782,161069,161069,161069,104260,75113,88113,88651,88651,88651,99103,65495,47187,83616,83616,147069.67741935485
,,,,,0,79055,79055,96986,96986,65760,91490,95652,95652,90953,90289,90289,90289,106089,98690,180000,180000,156606,156606,156606,110606,150388,112207,150150,150150,150150,154650,141610,156149,129684,129684,117176.80645161291
,,,,,106344,200000,200000,177276,177276,48785,3713,36235,36235,68273,32747,32747,32747,25981,130288,59338,59338,27531,27531,27531,69473,99446,200000,90090,90090,90090,154372,593,153958,30198,30198,81239.48387096774
