Active Books without Post Id's,Active Books without Post Id's,Active Books without Post Id's,Active Books without Post Id's,Active Books without Post Id's,Active Books without Post Id's,Active Books without Post Id's,Active Books without Post Id's,Active Books without Post Id's
,NET-IR-GBP,ACTIVE,US FINANCIAL,CCARRI1,N,Books will not have Post ID's,,
,NET-IR-JPY,ACTIVE,US FINANCIAL,CCARRI1,N,Books will not have Post ID's,,
,NET-IR-NOK,ACTIVE,US FINANCIAL,CCARRI1,N,Books will not have Post ID's,,
,NET-IR-SEK,ACTIVE,US FINANCIAL,CCARRI1,N,Books will not have Post ID's,,
,NET-IR-USD,ACTIVE,US FINANCIAL,CCARRI1,N,Books will not have Post ID's,,
,NET-IRFXCASH-AUD,ACTIVE,US FINANCIAL,CCARRI1,N,Books will not have Post ID's,,
,NET-IRFXCASH-CAD,ACTIVE,US FINANCIAL,CCARRI1,N,Books will not have Post ID's,,
,NET-IRFXCASH-CHF,ACTIVE,US FINANCIAL,CCARRI1,N,Books will not have Post ID's,,
,NET-IRFXCASH-EUR,ACTIVE,US FINANCIAL,CCARRI1,N,Books will not have Post ID's,,
,NET-IRFXCASH-GBP,ACTIVE,US FINANCIAL,CCARRI1,N,Books will not have Post ID's,,
,NET-IRFXCASH-NOK,ACTIVE,US FINANCIAL,CCARRI1,N,Books will not have Post ID's,,
,NET-IRFXCASH-SEK,ACTIVE,US FINANCIAL,CCARRI1,N,Books will not have Post ID's,,
,NET-IRFXCASH-USD,ACTIVE,US FINANCIAL,CCARRI1,N,Books will not have Post ID's,,
,,,,,,,,
,,,,,,,,
OPEN ISSUES FROM 10/22/01,OPEN ISSUES FROM 10/22/01,OPEN ISSUES FROM 10/22/01,OPEN ISSUES FROM 10/22/01,OPEN ISSUES FROM 10/22/01,OPEN ISSUES FROM 10/22/01,OPEN ISSUES FROM 10/22/01,OPEN ISSUES FROM 10/22/01,
,,,,,,,,
,Book ID,,Explanation,,,Status,,
,,,,,,,,
,EAF-AUS-PRC,,,,,Pending.  Austrialia Hierachy need to be setup in BU and CM portfolios in Risktrac., ,
 ,EAF-AUS-SRA-PRC,,,,,Pending.  Austrialia Hierachy need to be setup in BU and CM portfolios in Risktrac.,,
,,,,,,,,
PENDING ISSUES FROM CREDIT LIST  10/22/01,PENDING ISSUES FROM CREDIT LIST  10/22/01,PENDING ISSUES FROM CREDIT LIST  10/22/01,PENDING ISSUES FROM CREDIT LIST  10/22/01,PENDING ISSUES FROM CREDIT LIST  10/22/01,PENDING ISSUES FROM CREDIT LIST  10/22/01,PENDING ISSUES FROM CREDIT LIST  10/22/01,PENDING ISSUES FROM CREDIT LIST  10/22/01,
,,,,,,,,
,NONE,,,,,,,
