"Coral Energy Holding, L.P.","Coral Energy Canada, Inc.",1,Wood,Lagrasta,,Lagrasta,Bradford,Elizabeth,,,,,,,,,
"Coral Energy Holding, L.P.","Coral Energy Resources, L.P.",1,Wood,Lagrasta,,Lagrasta,Bradford,Elizabeth,,,,,,,,,
"Coral Energy Holding, L.P.",Coral Power LLC,1,Wood,Lagrasta,,Lagrasta,Bradford,Elizabeth,INC,,,,,,,2002-03-01 00:00:00,
"Dominion Resources, Inc.","Dominion Exploration & Production, Inc.",1,Presto,Vickers,Mandola,Presto,Bradford,Leslie,,,,,,,,,
"Dominion Resources, Inc.",Dominion Oklahoma Texas Exploration & Production Inc.,1,Presto,Vickers,Mandola,Presto,Bradford,Leslie,,,,,,,,,
"Dominion Resources, Inc.",Dominion Exploration Canada Ltd.,1,Presto,Vickers,Mandola,Presto,Bradford,Leslie,,,,,,,,,
"Dominion Resources, Inc.","Dominion Transmission, Inc.",1,Presto,Vickers,Mandola,Presto,Bradford,Leslie,,,,,,,,,
"Dominion Resources, Inc.",Virginia Electric and Power Company,1,Presto,Vickers,Mandola,Presto,Bradford,Leslie,INC,,,,,,,2002-03-01 00:00:00,
"Dominion Resources, Inc.","Virginia Power Energy Marketing, Inc.",1,Presto,Vickers,Mandola,Presto,Bradford,Leslie,,,,,,,,,
DTE Energy Co.,DTE Energy Trading Inc.,1,Valderrama,Vickers,Mandola,Vickers,Bradford,Leslie,INC,,,,,,,2002-03-01 00:00:00,
DTE Energy Co.,Michigan Consolidated Gas Co.,1,Valderrama,Vickers,Mandola,Vickers,Bradford,Leslie,,,,,,,,,
DTE Energy Co.,Detroit Edison,1,Valderrama,Vickers,Mandola,Vickers,Bradford,David,INC,,,,,,,2002-03-01 00:00:00,
Duke Energy Corporation,Duke Energy Corporation,1,Davis,Vickers,,Davis,Bradford,Christian,,,,,,,,,
Duke Energy Corporation,"Duke Energy Field Services, LP",1,Davis,Vickers,,Davis,Bradford,Christian,,,,,,,,,
Duke Energy Corporation,Duke Energy Field Services Marketing LLC,1,Davis,Vickers,,Davis,Bradford,Christian,,,,,,,,,
Duke Energy Corporation,Duke Energy Marketing Limited Partnership,1,Davis,Vickers,,Davis,Bradford,Christian,,,,,,,,,
Duke Energy Corporation,Duke Energy Merchants LLC,1,Davis,Vickers,,Davis,Bradford,Christian,,,,,,,,,
Duke Energy Corporation,"Duke Energy Trading & Marketing, LLC",1,Davis,Vickers,,Davis,Bradford,Christian,INC,,,,,,,2002-03-01 00:00:00,
"Dynegy, Inc.","Dynegy Power Marketing, Inc.",1,Suarez,Vickers,,Vickers,Bradford,Carol,,,,,,,,,
"Dynegy, Inc.",Dynegy Marketing and Trade,1,Suarez,Vickers,,Vickers,Bradford,Carol,,,,,,,,,
"Dynegy, Inc.","Dynegy Canada, Inc.",1,Suarez,Vickers,,Vickers,Bradford,Carol,INC,,,,,,,2002-03-01 00:00:00,
Edison International,Edison Mission Marketing & Trading,1,,,,,Bradford,,,,,,,,,,
Edison International,Southern California Edison Company,1,,,,,Bradford,,,,,,,,,,
El Paso Corporation,"El Paso Merchant Energy, L.P.",1,Llodra,Tycholiz,Mandola,Tycholiz,Bradford,Leslie,,,,,,,,,
El Paso Corporation,"El Paso Gas Marketing Company, Inc.",1,Llodra,Tycholiz,Mandola,Tycholiz,Bradford,Leslie,INC,,,,,,,2002-03-01 00:00:00,
Enserco Energy Inc.,Enserco Energy Inc.,1,,Tycholiz,Diamond,Tycholiz,Bradford,,,,,,,,,,
"Entergy-Koch, LP","Entergy-Koch Trading, LP",1,Furrow,Lagrasta,Mandola,Furrow,Bradford,David,INC,,,,,,,2002-03-01 00:00:00,
Enterprise Products Partners LP,Enterprise Products Operating LP,1,,,,,Bradford,,,,,,,,,,
Enterprise Products Partners LP,Calcasieu Gas Gathering System,1,,,,,Bradford,,,,,,,,,,
Enterprise Products Partners LP,Pontchartrain Natural Gas System,1,,,,,Bradford,,,,,,,,,,
Exelon Corporation,Exelon Generation Company LLC,1,,,,,Bradford,,,,,,,,,,
First Energy Corp.,FirstEnergy Solutions Corp.,1,Valderrama,,Mcquade,Valderrama,Bradford,David,INC,,,,,,,2002-03-01 00:00:00,
"FPL Group, Inc.",Florida Power & Light Company,1,Abler,Vickers,Mandola,Abler,Bradford,,,,,,,,,,
"FPL Group, Inc.","FPL Energy Power Marketing, Inc.",1,Abler,Vickers,Mandola,Abler,Bradford,Leslie,INC,,,,,,,2002-03-01 00:00:00,
Glencore Inernational AG,Glencore AG,1,,,,,Bradford,,,,,,,,,,
Glencore Inernational AG,Glencore Commodities Limited,1,,,,,Bradford,,,,,,,,,,
Glencore Inernational AG,Glencore Ltd,1,,,,,Bradford,,,,,,,,,,
"Goldman Sachs Group Inc., The",Goldman Sachs Capital Markets LP,1,,,,,Bradford,,,,,,,,,,
"Goldman Sachs Group Inc., The",J Aron & Company,1,,,,,Bradford,,,,,,,,,,
Hydro Quebec,HQ Energy Services (U.S.) Inc.,1,,,,,Bradford,,,,,,,,,,
Idacorp Inc,Idacorp Energy L.P.,1,,,,,Bradford,,,,,,,,,,
Idacorp Inc,Idaho Power Company,1,Thomas,Vickers,Mcquade,Vickers,Bradford,Christian,INC,,,,,,,2002-03-01 00:00:00,
JP Morgan Chase & Co,JP Morgan Chase Bank,1,,,,,Bradford,,,,,,,,,,
Marubeni Corp,Mieco Inc.,1,Furrow,Vickers,Mandola,Vickers,Bradford,,,,,,,,,,
MidAmerican Energy Company,MidAmerican Energy Company,1,,Vickers,Mcquade,Vickers,Bradford,,,,,,,,,,
Mirant Corp,Mirant Canada Energy Marketing Ltd,1,Thomas,Vickers,,Thomas,Bradford,Marcus,,,,,,,,,
Mirant Corp,Mirant Americas Energy Marketing LP,1,Thomas,Vickers,,Thomas,Bradford,Marcus,INC,,,,,,,2002-03-01 00:00:00,
Morgan Stanley Dean Witter & Co,"Morgan Stanley Capital Group, Inc.",1,DGS,Abramo,Diamond,Lagrasta,Bradford,,,,,,,,,,
Nexen Inc.,CXY Energy Marketing,1,,Tycholiz,Diamond,Tycholiz,Bradford,,,,,,,,,,
Nexen Inc.,CXY Energy Marketing (USA) Inc.,1,,Tycholiz,Diamond,Tycholiz,Bradford,,,,,,,,,,
Nexen Inc.,"CXY Energy Marketing, Inc.",1,,Tycholiz,Diamond,Tycholiz,Bradford,,,,,,,,,,
NISource Inc.,Northern Indiana Public Service Co,1,Valderrama,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
NISource Inc.,Energy USA- TPC Corp,1,Valderrama,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
NISource Inc.,Columbia Natural Resources,1,Valderrama,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
NISource Inc.,Columbia Energy Services Corp,1,Valderrama,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
NISource Inc.,Columbia Gas Transmission Corp,1,Valderrama,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
Noble Affiliates Inc.,"Noble Gas Marketing, Inc.",1,,,,,Bradford,,,,,,,,,,
Noble Affiliates Inc.,Samedan Oil Corporation ,1,,,,,Bradford,,,,,,,,,,
Northeast Utilities,"Select Energy, Inc.",1,,,,,Bradford,,,,,,,,,,
Northwestern Corp.,"Cornerstone Propane, LP",1,,,,,Bradford,,,,,,,,,,
Northwestern Corp.,"Coast Energy Canada, Inc.",1,,,,,Bradford,,,,,,,,,,
Occidental Petroleum Corporation,"Occidental Energy Marketing, Inc.",1,,,,,Bradford,,,,,,,,,,
OGE Energy Corp,"OGE Energy Resources, Inc.",1,Valderrama,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
Oneok Inc.,Oneok Energy Marketing & Trading Co,1,Rorschach,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
Oneok Inc.,Oneok Power Marketing Company,1,Rorschach,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
PanCanadian Petroleum Limited,PanCanadian Petroleum Limited,1,,Tycholiz,Diamond,Tycholiz,Bradford,,,,,,,,,,
PanCanadian Petroleum Limited,PanCanadian Energy Services Inc.,1,,Tycholiz,Diamond,Tycholiz,Bradford,,,,,,,,,,
PG&E Corporation,Pacific Gas & Electric Company,1,Benson/Wood,Tycholiz,Mcquade,Benson,Bradford,Christian,,,,,,,,,
"PG&E National Energy Group, Inc.",PG&E Energy Trading - Gas Corporation,1,Benson/Wood,Tycholiz,Mcquade,Benson,Bradford,Christian,,,,,,,,,
"PG&E National Energy Group, Inc.","PG&E Energy Trading - Power, L.P.",1,Benson/Wood,Tycholiz,Mcquade,Benson,Bradford,Christian,,,,,,,,,
"PG&E National Energy Group, Inc.","PG&E Energy Trading, Canada Corporation",1,Benson/Wood,Tycholiz,Mcquade,Benson,Bradford,Christian,INC,,,,,,,2002-03-01 00:00:00,
Pinnacle West Capital Corporation,Pinnacle West Capital Corporation,1,Etringer,Tycholiz,,Etringer,Bradford,,,,,,,,,,
Pinnacle West Capital Corporation,Arizona Public Service Company,1,Etringer,Tycholiz,,Etringer,Bradford,,,,,,,,,,
Pinnacle West Capital Corporation,"APS Energy Services Company, Inc.",1,Etringer,Tycholiz,,Etringer,Bradford,,,,,,,,,,
PPL Corporation,PPL EnergyPlus LLC,1,Wood,,Mandola,Wood,Bradford,Marcus,,,,,,,,,
PPL Corporation,"PPL Montana, LLC",1,Wood,,Mandola,Wood,Bradford,Marcus,INC,,,,,,,2002-03-01 00:00:00,
"Progress Energy, Inc.",Carolina Power & Light,1,Furrow,Vickers,,Furrow,Bradford,,,,,,,,,,
"Progress Energy, Inc.",Florida Power Corporation,1,Furrow,Vickers,,Furrow,Bradford,,,,,,,,,,
"Progress Energy, Inc.",North Carolina Natural Gas Corporation,1,Furrow,Vickers,,Furrow,Bradford,,,,,,,,,,
Public Service Enterprise Group,PSEG Energy Resources & Trade LLC,1,Llodra,Vickers,Mcquade,Vickers,Bradford,Steve,,,,,,,,,
Public Service Enterprise Group,Public Service Electric & Gas,1,Llodra,Vickers,Mcquade,Vickers,Bradford,Steve,INC,,,,,,,2002-03-01 00:00:00,
"Reliant Resources, Inc.","Reliant Energy Services, Inc.",1,Curry,Vickers,,Vickers,Bradford,Leslie,,,,,,,,,
"Reliant Resources, Inc.","Reliant Energy Services Canada, Inc.",1,Curry,Vickers,,Vickers,Bradford,Leslie,INC,,,,,,,2002-03-01 00:00:00,
Sempra Energy,Sempra Energy Trading Corp.,1,Thomas,Tycholiz,,Tycholiz,Bradford,,,,,,,,,,
Sempra Energy,Sempra Energy Solutions,1,Thomas,Tycholiz,,Tycholiz,Bradford,,,,,,,,,,
Sempra Energy,San Diego Gas & Electric Company,1,Thomas,Tycholiz,,Tycholiz,Bradford,,,,,,,,,,
Sempra Energy,Southern California Gas Company,1,Thomas,Tycholiz,,Tycholiz,Bradford,Marcus,INC,,,,,,,2002-03-01 00:00:00,
Southern Co.,"Southern Co. Services, Inc. ",1,,,,,Bradford,,,,,,,,,,
Tenaska Energy Inc.,Tenaska Marketing Ventures,1,,Vickers,Mcquade,Vickers,Bradford,,,,,,,,,,
Tractabel S.A.,"Tractebel Energy Marketing, Inc.",1,Rorschach,Vickers,Mandola,Rorschach,Bradford,David,INC,,,,,,,2002-03-01 00:00:00,
TransAlta Corporation,TransAlta Energy Marketing (US) Corp.,1,Thomas,Tycholiz,Mandola,Zufferli,Bradford,,,,,,,,,,
TransAlta Corporation,TransAlta Energy Marketing (US)Inc.,1,Thomas,Tycholiz,Mandola,Zufferli,Bradford,Steve,INC,,,,,,,2002-03-01 00:00:00,
TXU Corp.,TXU Electric Company,1,DGS,Vickers,Mcquade,Vickers,Bradford,,,,,,,,,,
TXU Corp.,"TXU Energy Trading Canada, Limited",1,DGS,Vickers,Mcquade,Vickers,Bradford,,,,,,,,,,
TXU Corp.,TXU Energy Trading Company Ltd.,1,DGS,Vickers,Mcquade,Vickers,Bradford,David,INC,,,,,,,2002-03-01 00:00:00,
"Utilicorp United, Inc.","Utilicorp United, Inc.",1,Wood,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
"Utilicorp United, Inc.",Aquila Canada Corp.,1,Wood,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
"Utilicorp United, Inc.","Aquila Capital & Trade, Ltd.",1,Wood,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
"Utilicorp United, Inc.","Aquila Dallas Marketing, L.P.",1,Wood,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
"Utilicorp United, Inc.",Aquila Energy Marketing Corporation,1,Wood,Vickers,Diamond,Vickers,Bradford,Carol,INC,,,,,,,2002-03-01 00:00:00,
"Utilicorp United, Inc.",Aquila Risk Management Corporation,1,Wood,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
"Utilicorp United, Inc.","Aquila Southwest Marketing, LP",1,Wood,Vickers,Diamond,Vickers,Bradford,,,,,,,,,,
Westcoast Energy Inc.,Engage Energy America LLC,1,Valderrama,Tycholiz,Mcquade,Valderrama,Bradford,,,,,,,,,,
Westcoast Energy Inc.,Engage Energy Canada L.P.,1,Valderrama,Tycholiz,Mcquade,Valderrama,Bradford,,,,,,,,,,
Westcoast Energy Inc.,Union Gas Limited,1,Valderrama,Tycholiz,Mcquade,Valderrama,Bradford,,,,,,,,,,
"Western Gas Resources, Inc.","Western Gas Resources, Inc.",1,,,,,Bradford,,,,,,,,,,
"Williams Companies, The",Williams Energy Marketing & Trading Co,1,Furrow,Otto,Mandola,Furrow,Bradford,,,,,,,,,,
"Williams Companies, The",Barrett Resources Corporation,1,Furrow,Otto,Mandola,Furrow,Bradford,,,,,,,,,,
"Williams Companies, The",Williams Production RMT Company,1,Furrow,Otto,Mandola,Furrow,Bradford,Elizabeth,INC,,,,,,,2002-03-01 00:00:00,
WPS Resources Corporation,"WPS Energy Services, Inc.",1,Valderrama,Vickers,,Vickers,Bradford,,,,,,,,,,
WPS Resources Corporation,Wisconsin Public Service Corp,1,Valderrama,Vickers,,Vickers,Bradford,,,,,,,,,,
Xcel Energy Inc.,E Prime inc,1,Thome,Tycholiz,Mcquade,Tycholiz,Bradford,,,,,,,,,,
Xcel Energy Inc.,"E Prime Energy Marketing, Inc.",1,Thome,Tycholiz,Mcquade,Tycholiz,Bradford,,,,,,,,,,
Xcel Energy Inc.,NRG Power Marketing Inc.,1,Thome,Tycholiz,Mcquade,Tycholiz,Bradford,,,,,,,,,,
Xcel Energy Inc.,Northern States Power- MN,1,Thome,Tycholiz,Mcquade,Tycholiz,Bradford,,,,,,,,,,
Xcel Energy Inc.,Public Service Co of Colorado,1,Thome,Tycholiz,Mcquade,Tycholiz,Bradford,,,,,,,,,,
Xcel Energy Inc.,Southwestern Public Service Co.,1,Thome,Tycholiz,Mcquade,Tycholiz,Bradford,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
