,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
E-rating,Call Credit for approval,E-rating,Call Credit for approval (cont.),E-rating,NO TRADES,,
11,BP Capital Energy Fund LP,11,"National Fuel Marketing Company, L.L.C.",11,"Exploration Partners, Inc.",,
11,"Bravo Natural Resources, Inc.",11,Natural Gas Trading Corporation- WMBE,11,G M Hydrocarbons Ltd.,,
9,Breitburn Energy Comapny LLC,9,Neumin Production Co.,11,"Gas Services, Inc.",,
11,"BWAB, LLC",10,"NGTS, LLC",11,"Gasco, Inc.",,
8,Cabot Oil & Gas Corporation,10,"Niagara Mohawk Energy Marketing, Inc.  fka",11,Gothic Energy Corp,,
8,Cabot Oil & Gas Marketing Corporation,11,"Nine Energy Services, LLC - WMBE",11,"Great Lakes Energy Partners, LLC",,
9,Callon Petroleum Company,11,Northeast Utilities Service Company,11,"Heartland Steel, Inc.",,
11,Cambright Gas Corp.,11,North Texas Gas Company,11,Henry Petroleum,,
11,CanEnerco Energy Services Limited,11,"Onyx Gas Marketing Company, L.C.",11,"Heritage Gas Services, L.L.C.",,
10,CanWest Gas Supply (USA) Inc.,10,"Oxy Vinyls, LP",11,Hogan Exploration,,
8,"Carrera Gas Company, LLC",11,"Panaco, Inc.",11,Holly Sugar Corporation,,
11,Carrizo Oil & Gas Inc.,11,"Panther Pipeline, Inc.",12,"Houston Hydrocarbons, Inc.",,
9,Castle Power LLC,11,"Patten Energy Enterprises, Inc. - WMBE",11,Inland Production Company,,
11,Castle Texas Production Limited Partnership,11,"Petrous, LLC",11,"Inland Resources Inc,",,
11,Cerrito Gas Marketing Company,11,Petrocom Energy Group Limited,10,Kimball Energy Corporation,,
9,Cgas Inc,8,"Petroglyph Energy, Inc.",11,"KNG Energy, Inc.",,
9,CIG Resources Company,9,"PG&E Texas Industrial Energy, LP",11,"Laclede Energy Resources, Inc.",,
11,CIMA Energy LLC,11,"Pioneer Energy Marketing Company, Inc.",10,"Laroche Industries, Inc.",,
11,"Chesapeake Energy Marketing, Inc.",9,Plains Gas Farmers Cooperative Society of He,12,Lyco Energy Corp,,
11,Clarke-Mobile Counties Gas District,11,Plains Resources Co,11,M & B Industrial Gas Development Corp.,,
7,"Clayton Williams Energy, Inc.",11,"Premiere Eneterprises, L.L.C. - WMBE",11,MBF FX CORP.,,
10,"Clayton Williams Partnership, Ltd.",11,"ProLiance Energy, LLC",12,Michael Petroleum Corporation,,
10,Cody Energy LLC,11,Public Service Company of New Hampshire,11,Nicole Energy Services Inc. ,,
10,Cokinos Natural Gas Company,8,"Quantum Energy Resources, Inc. - WMBE",12,North American Energy Conservation Inc.,,
9,"Comstock Oil & Gas, Inc.",9,"Quicksilver Resources, Inc.",12,Northern Alberta Nitrogen Ltd.,,
7,"Connecticut Light and Power Company, The",9,Quintana Minerals Canada,12,Perry Gas Companies--Bankruptcy,,
8,Cook Inlet Energy Supply,11,Quintana Petroleum Corp,12,"Petro-Hunt, LLC",,
8,"Cornerstone Propane, L.P.",11,R. Byron Roach,11,"Petrotex, Inc.",,
11,"Cox & Perkins Exploration, Inc.",11,Rainbow Gas Company,11,"Petsec Energy, Inc.",,
10,Cross Oil Refining & Marketing,8,Redan Futures Ltd.,11,PH Exploration,,
8,"Cross Timbers Energy Services, inc.",11,"Rio Vista Energy, Ltd.",12,Polsky Energy Company,,
8,Cross Timbers Oil Company,9,"Riverside Products & Services, LLC",12,PSEG Energy Technologies Inc.,,
10,"Crosstex Energy Services, Ltd.",11,RMS Monte Christo LLC,10,Queen Sand Resources Inc.,,
9,Crown Central Petroleum,11,Samson Investment Company,11,R.B. Robertson & Son Oil & Gas,,
10,"Cumberland Valley Resources, LLC",10,San Jacinto Industrial Gas Company,10,Ranck Oil Inc.,,
11,Dakota Gasification Company,10,"SDS Petroleum Products, Inc.- WMBE",11,Savannah Foods Industrial,,
8,"DDD Energy, Inc",11,Seminole Energy Services LLC,11,"Savannah Foods & Industries, Inc.",,
10,Direct Energy Marketing Limited,10,Shoreham Oil & Gas Company Inc.,11,Shanghai Energy Corp.,,
7,Eagle Gas Marketing Company,10,"SIGCORP Energy Services, Inc./LLC",10,Shoreham Energy Services Company (Purchases Only),,
10,Elk Point Resources Inc.,10,"Small Ventures U.S.A., L.L.C.",11,Smurfit-Stone Container Corporation,,
11,Empire Natural Gas Corporation,11,South Hampton Refining Company,11,Southern Industrial Gas Corporation,,
11,"Encina Gas Marketing, LLC",11,"Southstar Energy Services, LLC",11,Southern Mineral Corp.,,
11,Energy Dynamics Management Inc.,11,"Southwest Royalties, Inc.",11,Star Natural Gas Company,,
9,"Energy West, Inc.",11,Sport Pipeline Corp.,12,Sunoma Energy Corp.,,
9,Enervest Energy LP,11,Spring Resources Inc.,12,"Texas*Ohio Energy, Inc.   fka   Texas-Ohio W",,
11,Engineered Carbons,9,Stewart Petroleum Corporation,11,"Texoil, Inc.",,
8,Equity Oil Company,10,Stone Energy Corporation,12,"Torch-CoEnergy, LLC",,
11,"Enserco Energy, Inc.",11,Stratum Group LP,12,Triad Energy Resources Corporation,,
11,Esenjay Exploration Inc.,10,Suburban Natural Gas Company,12,Tri-Union Development Corporation--Bankruptcy,,
10,Estate of William G Hellis,11,"Sulphur River Gathering, L.P.",11,"West Texas Gas, Inc.",,
10,"Falcon Creek Resources, Inc.",11,Summit Energy LLC,9,Wiser Oil Co.,,
11,"Ferrell Resources, L.L.C.",11,"Summit Resources, Inc.",11,"WTG Gas Marketing, Inc.",,
9,Filtrol Corporation,10,Superior Natural Gas Corporation,,,,
12,"Forcenergy, Inc.",7,Tauber Oil Company,,,,
10,Flying J Inc.,10,Tennessee Energy Acquisition Corporation,,,,
9,Forest Oil Corporation,10,"Terra Industries, Inc. & Subsidiaries",,,,
9,"Formosa Hydrocarbons Company, Inc.",11,Tesoro Petroleum Corporation,,,,
10,"Gelber Group, Inc. The",11,Texas Energy Transfer Co,,,,
9,Global Octanes Texas L.P.,10,"Texex Energy Partners, Ltd.",,,,
11,Goldston Oil Corporation,11,Texican Natural Gas Company,, ,,
11,Graphic Packaging Corporation,11,Texla Energy Management Inc.,, ,,
12,Hall-Houston Oil Company,10,The New Power Company,,,,
8,"Hallwood Petroleum, Inc.",10,"Oxford Oil Company, The",,**Additions/Revisions to List,,
10,Hampshire Chemical Corporation,10,Tiger Natural Gas Inc.,,,,
11,Harvey Brothers Oil & Gas,9,"Torch Energy Marketing, Inc.",,,,
7,"Helmerich & Payne Energy Services, Inc.",11,"Torch Energy TM, Inc.",,,,
11,Highland Energy Company,11,TransTexas Gas Corp.,,,,
10,Houston Energy Services Company,11,"Triad Nitrogen, Inc.",,,,
11,IBEX Resources LLC,11,Tristar Gas Marketing Company,,,,
11,ICC Energy Corporation - WMBE,10,Twister Gas Services LLC,,,,
11,"Infinite Energy, Inc.",11,"Venoco, Inc.",,,,
11,"Innovative Gas Services, Inc.",10,Victoria International Ltd - WMBE.,,,,
9,"Interstate Gas Supply, Inc.",11,Vista Energy Resources Inc.,,,,
10,Intrepid Oil & Gas LLC,11,Wasatch Energy Corporation,,,,
9,"IGI Resources, Inc.",9,Watson Cogeneration Company,,,,
4,"IP Petroleum Co., Inc.",11,"Woodward Marketing, L.L.C.",,,,
11,"J.C. Energy Resources, Inc. - WMBE",11,"Wyman-Gordon Forgings, Inc.",,,,
,,11,Yates Petroleum Corporation,,,,
