Region,Utility Name,Tariff Description,CTC Start Date,CTC End Date,Retail Index (Y or N),Linked to Fuel Factor? (Y or N),Linked to Fuel Tariff Curve? (Y or N),Linked to Interest (Y or N),Last Update,Ranking (1-4),Position
NPCC,ConEd,SC9 TOD-L(Sec)(2),2000-09-01 00:00:00,2000-09-02 00:00:00,Y,N,N,Y,2001-08-15 00:00:00,1,-637141.9992162327
NPCC,MECO (MA),Wholesale,1998-03-01 00:00:00,2004-12-31 00:00:00,N,N,N,N,2001-06-01 00:00:00,1,-1011817.1496383912
SERC,CP&L (NC),GS Large(Pri),2006-01-01 00:00:00,2009-12-31 00:00:00,N,N,Y,Y,2001-08-20 00:00:00,2,-835509.5926002389
SERC,Duke,OPT-TOU,2006-01-01 00:00:00,2009-12-31 00:00:00,Y,N,Y,Y,2001-08-20 00:00:00,2,-1276590.6597609934
SERC,Duke (SC),Rate OPT(Pri),2006-01-01 00:00:00,2009-12-31 00:00:00,N,N,Y,Y,2001-08-20 00:00:00,2,-3970909.175247077
SERC,GP,P&L Large(Pri),2006-01-01 00:00:00,2007-12-31 00:00:00,Y,N,Y,Y,2001-08-20 00:00:00,2,-1645860.0411353353
SERC,Jackson,GSA_EGP,2012-01-01 00:00:00,2015-12-31 00:00:00,N,N,N,N,1999-02-09 00:00:00,4,-825265.5328528404
SERC,Memphis,Gen Power Part A(Pri),2012-01-01 00:00:00,2015-12-31 00:00:00,N,N,N,N,2000-10-13 00:00:00,2,-2090651.493192028
SERC,SCEG,Rate 23,2009-01-01 00:00:00,2009-12-31 00:00:00,Y,N,Y,N,2001-08-20 00:00:00,2,-1007875.9494125738
WSCC,NevadaPower,LGS(Sec),2006-12-30 00:00:00,2006-12-31 00:00:00,Y,N,N,N,2001-06-12 00:00:00,1,-1042164.4443648087
WSCC,NevadaPower,LGSX(Pri)No Facilities Charge,2006-12-30 00:00:00,2006-12-31 00:00:00,N,N,N,N,2001-06-12 00:00:00,1,-678594.9859870545
WSCC,NevadaPower,LGS(Pri),2006-12-30 00:00:00,2006-12-31 00:00:00,Y,N,N,N,2001-06-12 00:00:00,1,-642578.8553582549
WSCC,PG&E,E19TNF,1999-01-01 00:00:00,2001-07-01 00:00:00,N,N,N,N,2000-03-17 00:00:00,1,-1915347.5168032413
WSCC,SCE,GS2S,1999-01-01 00:00:00,2001-07-01 00:00:00,N,N,N,N,2000-03-17 00:00:00,1,-931159.0300017099
WSCC,Sierra Pacific,GS-3(Sec),2006-12-30 00:00:00,2006-12-30 00:00:00,N,N,N,N,2001-06-12 00:00:00,1,-751998.8150565148
