Organization Name,Transaction Type,Firm/Interruptable,Volume (MW),Min Price,Max Price,Point Name,
                                                                                          , ,    ,           ,              ,              ,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
Arizona Public Service Company                                                            ,P,I   ,185,75,150,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
"Associated Electric Cooperative, Inc.                                                     ",P,F   ,1674,15.5,16,AECI-TVA Interface,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Associated Electric Cooperative, Inc.                                                     ",P,I   ,7952,13,115,AECI System Border,
                                                                                          , ,    ,           ,              ,              ,AECI-TVA Interface,
                                                                                          , ,    ,           ,              ,              ,Associated,
                                                                                          , ,    ,           ,              ,              ,CSWS/PSO-AECI Interface,
                                                                                          , ,    ,           ,              ,              ,SOCO (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,TVA System Border,
                                                                                          , ,    ,           ,              ,              ,UPA System Border,
                                                                                          , ,    ,           ,              ,              ,WRI System Border,
Atlantic City Electric Company                                                            ,P,F   ,696,75.8,97,SP-15,
Atlantic Richfield Company                                                                ,P,F   ,61619,4.93,250,SP-15,
Avista Corporation - Washington Water Power Division                                      ,P,F   ,465438,-3,650,BPA Busbar,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,John Day,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,Montana System Border,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,Pacificorp System Border,
                                                                                          , ,    ,           ,              ,              ,Tacoma System Border,
                                                                                          , ,    ,           ,              ,              ,WWP-Lolo,
Avista Corporation - Washington Water Power Division                                      ,P,I   ,235,80,150,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,Pacificorp System Border,
"Avista Energy, Inc.                                                                       ",P,F   ,4621950,18.6,1500,COB N/S,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
Bonneville Power Administration                                                           ,P,F   ,810185,24,275,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Emerald People's Utility Dist,
                                                                                          , ,    ,           ,              ,              ,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NW Delivered,
                                                                                          , ,    ,           ,              ,              ,Portland General System,
                                                                                          , ,    ,           ,              ,              ,Tacoma System Border,
BP Energy Company                                                                         ,P,F   ,2282850,22,260,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Brownsville Power I, LLC",P,F   ,3596,51,62,ENSE-Brownsville-ENSE,
"Bryan, City Of                                                                            ",P,F   ,1621,82,130,ERCOT System,
"Bryan, City Of                                                                            ",P,I   ,325,84,110,ERCOT System,
"Caledonia Power I, LLC",P,F   ,7200,58,58,ENSE-Caledonia-ENSE,
California Department of Water Resources                                                  ,P,F   ,67952,4.93,250,COB S/N,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,SP-15,
California Power Exchange Corporation                                                     ,P,F   ,1070943,7.15,444.31,NP-15,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,ZP-26,
,,,,,,Malin,
,,,,,,Mead-230KV,
,,,,,,NOB N/S,
,,,,,,NOB S/N,
,,,,,,PALO VERDE,
California Power Exchange Corporation                                                     ,P,I   ,50,105.32,113.75,NP-15,
California Independent System Operator,P,F   ,112003,-800,700,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,SP-15,
,,,,,,NP-15,
"Calpine Energy Services, L.P.                                                             ",P,F   ,878950,18,500,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
"Calpine Energy Services, L.P.                                                             ",P,I   ,917,57,97.5,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,HL&P System Border,
Calpine Power Services Company                                                            ,P,F   ,22550,37.5,107,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,TU System Border,
Calpine Power Services Company                                                            ,P,I   ,525,10.5,67.5,ERCOT System,
"Cargill-Alliant, LLC                                                                      ",P,F   ,1183450,24.75,260,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Cargill-Alliant, LLC                                                                      ",P,I   ,1650,21.75,85,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
Carolina Power & Light Company                                                            ,P,F   ,68800,26.55,92,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
Carolina Power & Light Company                                                            ,P,I   ,29537,24,175,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,CP&L System Border,
                                                                                          , ,    ,           ,              ,              ,CP&L(East)-SCEG Interface,
                                                                                          , ,    ,           ,              ,              ,DUKE System Border,
                                                                                          , ,    ,           ,              ,              ,SCEG System Border,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
Central Illinois Light Company                                                            ,P,F   ,36269,16.5,35,CILCO System Border ,
                                                                                          , ,    ,           ,              ,              ,CILCO-CIPS Interface ,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
Central Illinois Light Company                                                            ,P,I   ,7996,18,40,CE-AEP Interface,
                                                                                          , ,    ,           ,              ,              ,CILCO Busbar,
                                                                                          , ,    ,           ,              ,              ,CILCO System Border ,
                                                                                          , ,    ,           ,              ,              ,CILCO-CE Interface ,
                                                                                          , ,    ,           ,              ,              ,CILCO-CIPS Interface ,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
Cinergy Capital & Trading Inc.                                                            ,P,F   ,1120,66.75,69,NEPOOL PTF,
"Cinergy Services, Inc.                                                                    ",P,F   ,2799516,-7.41,230,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,CINERGY(CG&E)-LG&E Interface,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,ENWC-Wheatland(CIN)-ENSE,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-500 Interface (excluding Ramapo),
                                                                                          , ,    ,           ,              ,              ,PJM-WESCOSVL,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Cinergy Services, Inc.                                                                    ",P,I   ,32370,16,140,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AEPC System Border,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Out of ) System,
                                                                                          , ,    ,           ,              ,              ,CINERGY(CG&E)-AEP Interface,
                                                                                          , ,    ,           ,              ,              ,CINERGY(CG&E)-LG&E Interface,
                                                                                          , ,    ,           ,              ,              ,DP&L System Border,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,ENWC-Wheatland(CIN)-ENSE,
                                                                                          , ,    ,           ,              ,              ,LG&E System Border,
                                                                                          , ,    ,           ,              ,              ,LG&E-TVA Interface,
                                                                                          , ,    ,           ,              ,              ,PJM,
City of Redding                                                                           ,P,F   ,116751,24.1,430,COB N/S,
                                                                                          , ,    ,           ,              ,              ,NP-15,
City Of Riverside                                                                         ,P,F   ,14527,57,225,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
City of Roseville                                                                         ,P,F   ,22250,80.5,102.25,NP-15,
"City of Santa Clara California, Silicon Valley Power                                      ",P,F   ,315400,55,420,COB N/S,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
City of Shasta Lake                                                                       ,P,F   ,5896,135,190,NP-15,
"City of Tacoma, Department of Public Utilities (dba Tacoma Power)                         ",P,F   ,160548,20.85,725,BPA Busbar,
                                                                                          , ,    ,           ,              ,              ,Tacoma System Border,
"City of Tacoma, Department of Public Utilities (dba Tacoma Power)                         ",P,I   ,25,250,250,Hot Springs,
City Public Service of San Antonio                                                        ,P,I   ,140,125,125,ERCOT System,
"CLECO Marketing and Trading, LLC                                                          ",P,F   ,7496,34.75,37.25,Entergy (ETEC) Border,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
"CMS Marketing, Services and Trading Company                                               ",P,F   ,455200,17.17,97,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
"Coastal Merchant Energy, L.P.                                                             ",P,F   ,226750,31.25,235,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
Colorado River Commission                                                                 ,P,F   ,197261,-3,500,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Mead 500KV Node,
                                                                                          , ,    ,           ,              ,              ,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
Commonwealth Edison Company                                                               ,P,F   ,713242,10,125,AECI System Border,
                                                                                          , ,    ,           ,              ,              ,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AEP-TVA Interface,
                                                                                          , ,    ,           ,              ,              ,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,Ameren-CE,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,CINERGY(CG&E)-DPL Interface,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,CONED System Border,
                                                                                          , ,    ,           ,              ,              ,DP&L System Border,
                                                                                          , ,    ,           ,              ,              ,DPL System Border,
