,,,,
,,,,
Old Company,Old RC,New Company,Cost Center,Description
413,1727,413,105910,NA-Weather Trading
413,1728,413,105583,NA-Energy Ops Risk Management
413,1741,413,105688,NA-Company 413 Group
413,1742,413,105597,NA-Energy Ops Global Counterparty
413,1743,413,105649,NA-IT System Allocation
413,1744,413,105649,NA-IT System Allocation
413,1747,413,105981,NA-HPL Storage and Transportation
413,1748,413,106759,NA-SO2 Trading
413,1749,413,106262,NA-CTG Technical Analysis
413,1788,413,106614,NA-West Originations G&A
413,1789,413,106613,NA-West Power Trading G&A
413,1791,413,106579,NA-Office of the President
413,1792,413,106581,NA-East Power Trading G&A
413,1793,413,106584,NA-Upstream OriginationsG&A
413,1794,413,106584,NA-Upstream OriginationsG&A
413,1795,413,106225,NA-Coal G&A
413,1797,413,106607,NA-Financial Gas G&A
413,1798,413,106598,NA-Asset Trading G&A
413,1799,413,106606,NA-Currency Trading
413,1800,413,106635,NA-Principal Investing G&A
413,1801,413,106230,NA-Generation Investments
413,1804,413,106603,NA-Paper G&A
413,1805,413,105588,NA-Energy Ops Management
413,1806,413,106279,NA-IT Mgmt
413,1807,413,105688,NA-Company 413 Group
413,1808,413,105713,NA-Company 413 Group Non Controllable
413,1830,413,105897,NA-East Power Trading
413,1831,413,106604,NA-Weather G&A
413,1832,413,106602,NA-Mexico G&A
413,1833,413,106610,NA-West Gas G&A
413,1834,413,106608,NA-Central Gas G&A
413,1835,413,106609,NA-East Gas G&A
413,1836,413,106616,NA-Risk Management Houston G&A
413,1837,28P,106577,NA-Executive Originations
413,1839,413,105620,NA-Energy Ops Financial Gas Support
413,1840,413,105614,NA-Energy Ops West Gas Support
413,1866,413,105688,NA-Company 413 Group
413,1867,413,106300,NA-Office of the president
413,1868,413,106304,NA-Middle Market Nymex New York
413,1869,413,105905,NA-West Power Volume Mgmt
413,1870,413,105609,NA-Energy Ops Brooklyn Union
413,1891,413,105578,NA-HR Support
413,1892,413,105615,NA-Energy Ops Central Gas Team
413,1893,413,105616,NA-Energy Ops East Gas Team
413,1894,413,105650,NA-IT Sirius Administration
413,1895,413,105727,NA-Corporate Development
413,1896,413,105890,NA-East Gas Trading
413,1898,413,105656,NA-Legal Litigation
413,1901,413,105572,NA-ENA Tax Support
413,1903,413,106619,NA-Executive Trading G&A
413,1905,413,105669,NA-BAR Cash Flow
413,1910,413,106760,NA-WPT California Office
413,1925,413,105575,NA-HR North America
413,1927,413,105719,NA-Corporate Charges North America
413,1929,413,105660,NA-Employment Litigation
413,1931,413,106605,NA-SO2 G&A
413,1935,413,106617,NA-Risk Management New York G&A
413,1936,413,106296,NA-Market Intelligence
413,1938,413,105624,NA-Energy Ops Power Risk Mgmt West
413,1939,413,105733,NA-Merchant Finance
413,1942,413,105579,NA-HR Compensation
413,1943,413,105617,NA-Energy Ops Operational Analysis
413,1945,413,106585,NA-Energy Finance G&A
413,1957,413,105734,NA-Book Administration
413,1991,413,105688,NA-Company 413 Group
413,1992,413,105688,NA-Company 413 Group
413,1993,413,105580,NA-HR Development and Planning
413,1994,413,105584,NA-Energy Ops Pulp and Paper
413,2002,413,105651,NA-IT IMP
413,2014,413,106589,NA-Enron Power Transmission G&A
413,2016,413,105999,NA-LRC Business Development
413,2017,413,106228,NA-East Originations
413,2041,413,106585,NA-Energy Finance G&A
413,2042,413,105904,NA-West Power Middle market
413,2043,413,106810,NA-Offshore Originations
413,2044,413,105573,NA-Public Relations
413,2045,413,106586,NA-Executive Assets G&A
413,2172,413,106763,NA-Enron Online
413,2173,413,106829,NA-CTG ECO Gas Management
413,2174,413,106764,NA-Enron NW Metals
413,2175,413,106005,NA-Enron Compressor Services
413,2176,413,106737,NA-Genco Expenses
413,2178,413,106230,NA-Generation Investments
413,2182,413,105611,NA-Energy Ops Merchant Asset Portfolio
413,2184,413,105587,NA-Energy Ops Depreciation
413,2185,413,106765,NA-SAP HR
413,2235,413,105665,NA-BAR SAP Implementation
413,2300,413,105688,NA-Company 413 Group
413,2302,413,105688,NA-Company 413 Group
413,2303,413,105688,NA-Company 413 Group
413,2305,413,105688,NA-Company 413 Group
413,2306,413,105670,"NA-BAR Orig, Support, Business Analysis"
413,2307,413,105870,NA-Coal Charleston
413,2308,413,106766,NA-Executive Trd
413,2327,413,105751,NA-CTG Treasury
413,2328,413,105688,NA-Company 413 Group
413,2329,413,105688,NA-Company 413 Group
413,2330,413,106230,NA-Generation Investments
413,2331,413,105621,NA-Energy Ops Gas Operations Management
413,2333,413,106634,NA-East Coast Power G&A
413,2368,413,105905,NA-West Power Volume Mgmt
413,2369,413,106351,NA-West Power Real Time Scheduling
413,2372,413,105598,NA-Energy Ops Glabal Data Management
413,2373,413,106638,NA-Special Assets Non Performing G&A
413,2374,413,105628,NA-Energy Ops Power Genco
413,2520,413,105915,NA-Debt Trading
413,2521,413,105729,NA-Capital Structuring
413,2524,413,105688,NA-Company 413 Group
413,2628,413,106638,NA-Special Assets Non Performing G&A
413,2629,413,105752,NA-CTG Treasury
413,2630,413,105885,NA-East Originations - Chicago
413,2631,413,105622,NA-Energy Ops Volume Management
413,2632,413,105635,NA-Energy Ops Management
413,2655,413,105591,NA-Energy Ops Operational Risk Mgmt
413,2659,413,105599,NA-Energy Ops Global SAP
413,2661,413,106595,NA-Debt Trading Trading G&A
413,2662,413,105643,NA-Energy Ops Online Trading Prod Ctrl
413,2663,413,105636,NA-Energy Ops HPLC Logistics Unify
413,2664,413,105637,NA-Energy Ops HPLC Logisitcs
413,2665,413,106592,NA-Gas Network Engineering G&A
413,2666,413,105730,NA-Currency Australia
413,2667,413,105610,NA-Energy Ops Project Aruba
413,2669,413,106329,NA-Generation Services
413,2670,413,105906,NA-West Power Fundamental Analysis
413,2671,413,106298,NA-Exec Orig
413,2672,413,105881,NA-Originations Chemicals and Plastics
413,2673,413,106790,NA-Energy Capital Services-New
413,2673,413,106790,NA-Energy Capital Services-New
413,2674,413,106231,NA-Special Assets Performing
413,2675,413,105638,NA-Energy Ops Regulatory
413,2676,413,105592,NA-Energy Ops Training
413,2677,413,105585,NA-Energy Ops Emerging Conirmations
413,2678,413,105586,NA-Energy Ops Bandwidth Trading
413,2679,413,106231,NA-Special Assets Performing
413,2710,413,106582,NA-Industrial Downstream G&A
413,2716,413,105735,NA-Transaction Development
413,2717,413,105736,NA-CTG Portfolio
413,2718,413,105600,NA-Energy Ops Global Intelligence
413,2719,413,105587,NA-Energy Ops Depreciation
413,2720,413,105587,NA-Energy Ops Depreciation
413,2721,413,105587,NA-Energy Ops Depreciation
413,2722,413,105587,NA-Energy Ops Depreciation
413,2723,413,105601,NA-Energy Ops Global Rate Services
413,2724,413,105593,NA-Energy Ops Sitara Production Support
413,2725,413,105737,NA-CTG Executive
413,2727,413,105587,NA-Energy Ops Depreciation
413,2728,413,105587,NA-Energy Ops Depreciation
413,2730,413,105587,NA-Energy Ops Depreciation
413,2731,413,105587,NA-Energy Ops Depreciation
413,2732,413,105587,NA-Energy Ops Depreciation
413,2733,413,106767,NA-Destec Coal
413,2734,413,105907,NA-West Power ESP
413,2735,413,105581,NA-HR International Support
413,2737,413,106611,NA-CTG G&A
413,2738,413,105587,NA-Energy Ops Depreciation
413,2739,413,105738,NA-Portfolio Management
413,2740,413,106597,NA-Genco G&A
413,2751,413,106278,NA-BAR Supplies
413,2753,413,106586,NA-Executive Assets G&A
413,2754,413,106594,NA-Rocky Mountain G&A
413,2755,413,106587,NA-Gas Network Services G&A
413,2756,413,106588,NA-Enron Storage Development G&A
413,2758,413,106589,NA-Enron Power Transmission G&A
413,2759,413,106590,NA-Gas Network Development G&A
413,2776,413,105644,NA-Energy Ops Global Data Online Trading
413,2777,413,106768,NA-Enron Online
413,2779,413,106788,NA-Global Risk Markets-Risk Products
413,2780,413,106789,NA-Global Risk Markets-Portfolio Mgmt
413,2783,413,106614,NA-West Originations G&A
413,2784,413,105880,NA-Diversified Industrial Group
413,2785,413,106588,NA-Enron Storage Development G&A
413,2791,413,106614,NA-West Originations G&A
413,2793,413,106291,NA-Transport Rate
413,2798,413,106769,NA-Credit Markets
413,2933,413,106293,NA-TX Transport and Rate Mgmt
413,2939,413,106269,NA-Global Contracts
413,2940,413,106290,NA-Gloval Facilities Texas
413,2941,413,106281,NA-Currency London
413,2942,413,106770,NA-Coal International
413,2943,413,105913,NA-Paper Int'l
413,2944,413,106282,NA-Weather Intl
413,2946,413,105587,NA-Energy Ops Depreciation
413,2947,413,105587,NA-Energy Ops Depreciation
413,2948,413,106297,NA-Enron Online
413,2950,413,106771,NA-WPT Client Svc
413,3333,413,105652,NA-IT Fuji Lease
