GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations,GLOBAL CONTRACTS - Assignments / Terminations / Expirations
2001-11-05 00:00:00,Termination,ENA,The Royal Bank of Scotland plc,,92 ISDA - Multicurrency/Cross Border,96032544,,2001-11-05 00:00:00,,"ENA:  RBS & ENA are deemed to have entered into an ISDA Master that replicates the 1/1/94 NWB/ENA ISDA.  As of 10/26/01, the ISDA #96032544 between ENA & RBS dated 12/10/99 will be terminated  per S. Boyd's memo dated 11/1/01. -gal 11/5/01"
2001-11-06 00:00:00,Expiration,EMW,The Peoples Gas Light & Coke Company,,Parking,96086840,,2001-11-06 00:00:00,,EMW:  This contract expired on 11/06/2001.  
2001-11-07 00:00:00,Expiration,ENA,Michigan Consolidated Gas Company,,Parking,96087264,,2001-11-07 00:00:00,,ENA:  This contract expired on 11/7/2001.
2001-11-09 00:00:00,Termination,RMT,Coastal Gas Services Company,,92 ISDA - Multicurrency/Cross Border,96062655,,2001-11-09 00:00:00,,RMT:  This was a bogus contract setup for the purpose of GK.Com Testing and was terminated upon testing completion 11/9/01.  -gal
,,ENA,Enron Access - Houston Division,,Financial Master Agreement (1992-ECT Form) ,96030704,,2001-11-09 00:00:00,,ENA:  Audit Project-terminated this agreement because it duplicates K#96016520.  -gal 11/9/01
2001-11-10 00:00:00,Assignment,ENA,The Chase Manhattan Bank,JP Morgan Chase Bank,Financial Master Agreement (1992-ECT Form) ,95000359,95000359,2001-11-10 00:00:00,,"ENA:  Per Letter Agreement dated 10/24/01 states that on 11/10/01, Morgan Guaranty Trust Company of New York (K#95000338) will merge with and into Chase Manhattan Bank (K#95000359) and will operate under the name JP Morgan Chase Bank (K#95000"
2001-11-10 00:00:00,Termination,ENA,Morgan Guaranty Trust Company of New York,,Other,95000338,,2001-11-10 00:00:00,,"ENA:  Per Letter Agreement dated 10/24/01 states that on 11/10/01, Morgan Guaranty Trust Company of New York (K#95000338) will merge with and into Chase Manhattan Bank (K#95000359) and will operate under the name JP Morgan Chase Bank (K#95000"
2001-11-12 00:00:00,Expiration,ENA,Cabot Oil & Gas Marketing Corporation,,Other,96057783,,2001-11-12 00:00:00,,ENA:  This contract expired on 11/12/2001.  It is a Confidentiality Agreement.
2001-11-13 00:00:00,Termination,ENA,Bay Corrugated Container,,Other,96035936,,2001-11-13 00:00:00,,ENA:  Terminated this contract on 11/13/01 because it was a duplication.  Refer to K#96035935. -gal 11/13/01
2001-11-15 00:00:00,Assignment,ENA,The Chase Manhattan Bank,JPMorgan Chase Bank,Financial Master Agreement (1992-ECT Form) ,95000359,Same,2001-11-15 00:00:00,,"ENA:  Per Letter Agreement dated 10/24/01 Morgan Guaranty Trust Company (K#95000338), merged with and into The Chase Manhattan Bank (K#95000359) and will operate under the new name of JPMorgan Chase Bank effective 11/10/01.  gal 11/15/01  "
2001-11-30 00:00:00,Expiration,ENA Upstream,AEP/HPL,,GTC Sale Firm,96085820,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,AEP/HPL,,GTC Sale Firm,96085822,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA,"Aquila Capital & Trade, Ltd.",,GTC Sale Firm,96079497,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Aquila Capital & Trade, Ltd.",,GTC Pur Firm,96083163,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Aquila Capital & Trade, Ltd.",,GTC Pur Firm,96083165,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Aquila Capital & Trade, Ltd.",,GTC Sale Firm,96083392,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA Upstream,ATP Oil & Gas Corporation,,First Pur Ded Res,96085355,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Aviara Energy Corporation ,,Other,96085134,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"Bluebird Energy, Inc.",,First Pur Ded Res,96084380,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"Bluebird Energy, Inc.",,First Pur Ded Res,96084417,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA,Burlington Resources Canada Energy Ltd.,,GTC Pur Firm,96081070,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,Cabot Oil & Gas Corporation,,GTC Pur Firm,96085192,,2001-11-30 00:00:00,,ENA - GTC expired on it's own terms.
,,ENA Upstream,Cabot Oil & Gas Marketing Corporation,,First Pur Ded Res,96085418,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA Upstream,Cabot Oil & Gas Marketing Corporation,,First Pur Ded Res,96085523,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA Upstream,Cabot Oil & Gas Marketing Corporation,,First Pur Ded Res,96085641,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA,Calpine Canada Natural Gas Partnership,,GTC Pur Firm,96086738,,2001-11-30 00:00:00,,ENA--GTC expired under its own terms 11/02/01.
2001-11-30 00:00:00,Expiration,ENA,"Cargill Energy Trading Canada, Inc.",,GTC Pur Firm,96085137,,2001-11-30 00:00:00,,ENA - GTC expired on it's own terms.
,,ENA Upstream,Century Exploration Company,,First Pur Ded Res,96085361,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Cohort Energy Company,,Other,96085726,,2001-11-30 00:00:00,,ENA Upstream: Wellhead Pooling Point Purchase GTC expired under its own terms.
,,ENA Upstream,Cohort Energy Company,,Other,96085789,,2001-11-30 00:00:00,,ENA Upstream: Wellhead Pooling Point Purchase GTC expired under its own terms.
,,ENA,Colorado Interstate Gas Company,,Transportation,96086563,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,Columbia Gas Transmission Corporation,,Transportation,96052306,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,Columbia Gulf Transmission Company,,Transportation,96052305,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,Companhia Siderurgica Nacional - CSN,,GTC Sale Firm,96086655,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA,"Continental Gas, Inc.",,GTC Sale Firm,96061623,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Continental Gas, Inc.",,GTC Pur Firm,96061624,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Continental Gas, Inc.",,GTC Pur Firm,96062099,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Continental Gas, Inc.",,GTC Sale Firm,96062101,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Continental Gas, Inc.",,GTC Sale Firm,96062164,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Continental Gas, Inc.",,GTC Pur Firm,96061665,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Continental Gas, Inc.",,GTC Sale Firm,96064655,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Continental Gas, Inc.",,GTC Pur Firm,96064656,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA Upstream,"Continental Land & Fur Co., Inc.",,First Pur GTC,96086279,,2001-11-30 00:00:00,,ENA Upstream GTC expires on its own terms.
,,ENA Upstream,"Crosstex Energy Services, Ltd.",,Other,96085468,,2001-11-30 00:00:00,,ENA Upstream:  Wellhead Pooling Point Purchase GTC expired under its own terms.
,,ENA Upstream,"Crosstex Energy Services, Ltd.",,Other,96086618,,2001-11-30 00:00:00,,ENA Upstream--Wellhead Pooling Point GTC expires under its own terms.
,,ENA Upstream,"Crosstex Energy Services, Ltd.",,Other,96084556,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,"Crosstex Energy Services, Ltd.",,Other,96084562,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
2001-11-30 00:00:00,Expiration,ENA Upstream,"Crosstex Energy Services, Ltd.",,Other,96086645,,2001-11-30 00:00:00,,ENA Upstream--Wellhead Pooling Point GTC expires under its own terms.
,,ENA Upstream,"Crosstex Energy Services, Ltd.",,Other,96084352,,2001-11-30 00:00:00,,ENA Upstream:  Wellhead Pooling Point Purchase GTC expired under its own terms.
,,ENA Upstream,"Crosstex Energy Services, Ltd.",,Other,96084353,,2001-11-30 00:00:00,,ENA Upstream:  Wellhead Pooling Point Purchase GTC expired under its own terms.
,,ENA Upstream,"Crosstex Energy Services, Ltd.",,Other,96087278,,2001-11-30 00:00:00,,ENA Upstream--Wellhead Pooling Point GTC expires under its own terms.
,,ENA Upstream,"Crosstex Energy Services, Ltd.",,Other,96084893,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA,"Cypress Natural Gas, LLC",,GTC Sale Firm,96085231,,2001-11-30 00:00:00,,ENA - GTC expired on it's own terms.
,,ENA,"Dayton Power and Light Company, The",,GTC Sale Firm,96060519,,2001-11-30 00:00:00,,ENA: GTC exoired under its own terms.
,,ENA Upstream,Denbury Resources Inc.,,First Pur GTC,96085802,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Denbury Resources Inc.,,First Pur GTC,96085815,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA,"Dominion Retail, Inc.",,GTC Sale Firm,96085801,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Dominion Retail, Inc.",,GTC Sale Firm,96088932,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA,Domtar Inc.,,GTC Sale Firm,96086058,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,Domtar Inc.,,GTC Pur Firm,96086575,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA,Donald E. Wood,,GTC Pur Firm,96054145,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Duke Energy Trading and Marketing, L.L.C.",,GTC Pur Firm,96063427,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA Upstream,Dynamic Production Inc.,,First Pur Ded Res,96085482,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA,Dynegy Canada Inc.,,GTC Sale Firm,96083906,,2001-11-30 00:00:00,,ENA:  GTC expires under its own terms.
,,ENA,"Dynegy Canada Marketing and Trade, a division of Dynegy Canada Inc.",,GTC Pur Firm,96063500,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA Upstream,Eagle Gas Marketing Company,,First Pur GTC,96086620,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"EEX E&P Company, L.P.",,First Pur Ded Res,96085514,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA,"Egan Hub Partners, L.P.",,Other,96087523,,2001-11-30 00:00:00,,ENA--GTC Exchange expired under its own terms 11/07/01.
2001-11-30 00:00:00,Expiration,ENA,El Paso Natural Gas Company,,Transportation,96047880,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is not executed.
,,ENA,El Paso Natural Gas Company,,Transportation,96047881,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is not executed.
,,ENA,End Users Supply System,,GTC Sale Firm,96085205,,2001-11-30 00:00:00,,ENA - GTC expired on it's own terms.
,,ENA Upstream,"Energy Marketing, a Division of Amerada Hess",,GTC Sale Firm,96084704,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,"Energy Marketing, a Division of Amerada Hess",,GTC Sale Firm,96084727,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,Energy Resource Technology,,First Pur Ded Res,96085193,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA Upstream,"Energy Resource Technology, Inc.",,First Pur Ded Res,96085648,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA Upstream,"Energy Resource Technology, Inc.",,First Pur Ded Res,96085679,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA Upstream,"Energy Resource Technology, Inc.",,First Pur Ded Res,96084924,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,Enterprise Oil Louisiana Inc.,,First Pur Ded Res,96082833,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA,"EOG Resources, Inc.",,GTC Pur Firm,96085390,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA Upstream,"EXCO Resources, Inc.",,First Pur GTC,96086393,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"EXCO Resources, Inc.",,First Pur GTC,96086395,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"EXCO Resources, Inc.",,First Pur GTC,96086397,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA,Exelon Energy Company,,GTC Sale Firm,96086280,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA,"ExxonMobil Gas Marketing Company, a division of Exxon Mobil Corporation",,GTC Pur Firm,96085675,,2001-11-30 00:00:00,,ENA: GTC  expires under its own terms.
,,ENA Upstream,"Fairways Offshore Exploration, Inc.",,First Pur Ded Res,96085746,,2001-11-30 00:00:00,,ENA Upstream:  GTC expired under its own terms.
,,ENA Upstream,Forest Oil Corporation,,First Pur Ded Res,96085480,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Forest Oil Corporation,,First Pur GTC,96084506,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,Forest Oil Corporation,,First Pur Ded Res,96082470,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
2001-11-30 00:00:00,Expiration,ENA Upstream,Forest Oil Corporation,,First Pur GTC,96086623,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Forest Oil Corporation,,First Pur Ded Res,96082496,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Forest Oil Corporation,,First Pur Ded Res,96082504,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Forest Oil Corporation,,First Pur Ded Res,96082507,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Forest Oil Corporation,,First Pur Ded Res,96082521,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Forest Oil Corporation,,First Pur GTC,96084636,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,Forest Oil Corporation,,First Pur GTC,96084638,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,Forest Oil Corporation,,First Pur GTC,96084639,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA,"Fort Union Gas Gathering, LLC",,Gathering,96047884,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is not executed.
,,ENA,"Fort Union Gas Gathering, LLC",,Gathering,96048510,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,Georgia-Pacific Corporation,,GTC Sale Firm,96085664,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,Giant Refining Company,,GTC Sale Firm,96052166,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,Great Lakes Transmission Limited Partnership,,Transportation,96086841,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA Upstream,Gulfwest Oil & Gas Company (Louisiana) LLC,,First Pur Ded Res,96085169,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
,,ENA Upstream,Hall-Houston Oil Company,,First Pur GTC,96086238,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA,Hess Energy Trading Company LLC,,GTC Sale Firm,96084520,,2001-11-30 00:00:00,,ENA  - GTC expired on it's own terms.
,,ENA,"Hiland Partners, L.L.C.",,GTC Pur Firm,96061630,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Hiland Partners, L.L.C.",,GTC Sale Firm,96061631,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Hiland Partners, L.L.C.",,GTC Pur Firm,96062091,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Hiland Partners, L.L.C.",,GTC Sale Firm,96062093,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Hiland Partners, L.L.C.",,GTC Pur Firm,96064584,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Hiland Partners, L.L.C.",,GTC Sale Firm,96064585,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Hiland Partners, L.L.C.",,GTC Pur Firm,96076971,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA,"Hiland Partners, L.L.C.",,GTC Sale Firm,96076972,,2001-11-30 00:00:00,,ENA: GTC expired under its own terms.
,,ENA Upstream,Hunt Petroleum Corporation,,First Pur Ded Res,96085153,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on it's own terms.
2001-11-30 00:00:00,Expiration,ENA Upstream,Juniper Energy L.P.,,First Pur Ded Res,96085439,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Juniper Energy L.P.,,First Pur Ded Res,96085713,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Juniper Energy L.P.,,First Pur Ded Res,96085716,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,Juniper Energy L.P.,,First Pur Ded Res,96084738,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,Juniper Energy L.P.,,First Pur Ded Res,96084744,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA Upstream,Juniper Energy L.P,,First Pur Ded Res,96084759,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
,,ENA,J.D. Blackburn,,Agency Agreement  ,96082374,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,Kaiser Aluminum & Chemical Corporation,,GTC Sale Firm,96087386,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA Upstream,"KCS Medallion Resources, Inc.",,First Pur GTC,96086368,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"KCS Medallion Resources, Inc.",,First Pur GTC,96086369,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"KCS Medallion Resources, Inc.",,First Pur GTC,96086374,,2001-11-30 00:00:00,,ENA Upstream  - GTC expired on its own terms.
,,ENA Upstream,"KCS Medallion Resources, Inc.",,Other,96086471,,2001-11-30 00:00:00,,ENA Upstream--Wellhead Pooling Point GTC expires under its own terms.
,,ENA Upstream,"KCS Medallion Resources, Inc.",,Other,96086472,,2001-11-30 00:00:00,,ENA Upstream--Wellhead Pooling Point GTC expires under its own terms.
,,ENA Upstream,"KCS Medallion Resources, Inc.",,Other,96086624,,2001-11-30 00:00:00,,ENA Upstream--Wellhead Pooling Point GTC expires under its own terms.
,,ENA,Kinder Morgan Interstate Gas Transmission,,Transportation,96086235,,2001-11-30 00:00:00,,ENA:  This contract will expire per its own terms on 11/30/2001.  It is documented.
,,ENA,KN Gas Services,,GTC Sale Firm,96086257,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA,KN Gas Services,,GTC Sale Firm,96086270,,2001-11-30 00:00:00,,ENA--GTC expires under its own terms.
,,ENA Upstream,"Linder Oil Company, A Partnership",,First Pur Ded Res,96085302,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA Upstream,"Linder Oil Company, A Partnership",,First Pur Ded Res,96085304,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA Upstream,"Linder Oil Company, A Partnership",,First Pur Ded Res,96085307,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
2001-11-30 00:00:00,Expiration,ENA Upstream,"Linder Oil Company, A Partnership",,First Pur Ded Res,96085311,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA Upstream,"Linder Oil Company, A Partnership",,First Pur Ded Res,96085317,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA Upstream,"Linder Oil Company, A Partnership",,First Pur Ded Res,96085320,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA Upstream,"Linder Oil Company, A Partnership",,First Pur Ded Res,96085322,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA Upstream,"Linder Oil Company, A Partnership",,First Pur Ded Res,96085352,,2001-11-30 00:00:00,,ENA Upstream: GTC expired under its own terms.
,,ENA Upstream,"Linder Oil Company, A Partnership",,First Pur Ded Res,96085295,,2001-11-30 00:00:00,,ENA Upstream - GTC expired on it's own terms.
