,,Phy/,,,Monthly,PV,Discount,Mid,Fixed,,Mid
CROSSTEXENESER,VR7159.1,P,IF-TETCO/ETX,2004-03-01 00:00:00,46500,42732.1454,0.918970868149167,0.0025,1e-07,0,106.8261
CROSSTEXENESER,VR7159.1,P,IF-TETCO/ETX,2004-04-01 00:00:00,45000,41161.4875,0.914699723206579,0.005,1e-07,0,205.8033
CROSSTEXENESER,Y71530.1,P,IF-TETCO/ETX,2002-05-01 00:00:00,124000,122813.6743,0.990432856933711,0.005,1e-07,0,614.0561
CROSSTEXENESER,Y71530.1,P,IF-TETCO/ETX,2002-06-01 00:00:00,120000,118608.9523,0.988407935854086,0.005,1e-07,0,593.0329
CROSSTEXENESER,Y71530.1,P,IF-TETCO/ETX,2002-07-01 00:00:00,124000,122304.9059,0.986329886328037,0.005,1e-07,0,611.5123
CROSSTEXENESER,Y71530.1,P,IF-TETCO/ETX,2002-08-01 00:00:00,124000,122015.0795,0.983992576536741,0.005,1e-07,0,610.0632
CROSSTEXENESER,Y71530.1,P,IF-TETCO/ETX,2002-09-01 00:00:00,120000,117786.313,0.981552608002441,0.005,1e-07,0,588.9198
CROSSTEXENESER,Y71530.1,P,IF-TETCO/ETX,2002-10-01 00:00:00,124000,121403.04,0.979056774556128,0.005,1e-07,0,607.0031
CROSSTEXENESER,Y71530.1,P,IF-TETCO/ETX,2002-11-01 00:00:00,120000,117157.5249,0.976312707736482,0.0025,1e-07,0,292.8821
CROSSTEXENESER,Y71530.1,P,IF-TETCO/ETX,2002-12-01 00:00:00,124000,120719.6164,0.973545293605352,0.0025,1e-07,0,301.787
CROSSTEXENESER,Y71530.1,P,IF-TETCO/ETX,2003-01-01 00:00:00,124000,120347.6053,0.9705452036756,0.0025,1e-07,0,300.857
CROSSTEXENESER,Y71530.1,P,IF-TETCO/ETX,2003-02-01 00:00:00,112000,108347.9464,0.967392378261224,0.0025,1e-07,0,270.859
CROSSTEXENESER,Y71530.1,P,IF-TETCO/ETX,2003-03-01 00:00:00,124000,119590.5118,0.964439611017537,0.0025,1e-07,0,298.9643
CROSSTEXENESER,Y71530.1,P,IF-TETCO/ETX,2003-04-01 00:00:00,120000,115327.6,0.961063333272501,0.005,1e-07,0,576.6265
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2001-11-01 00:00:00,-7500,-7500,1,-0.04,-0.0275,0,93.75
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2001-12-01 00:00:00,-7750,-7745.4629,0.999414574053342,-0.01,-0.0275,0,-135.5456
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2002-01-01 00:00:00,-7750,-7731.4602,0.997607763841588,-0.0075,-0.0275,0,-154.6292
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2002-02-01 00:00:00,-7000,-6970.4227,0.995774668111692,-0.0075,-0.0275,0,-139.4085
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2002-03-01 00:00:00,-7750,-7704.4937,0.994128220668235,-0.0075,-0.0275,0,-154.0899
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2002-04-01 00:00:00,-7500,-7442.5257,0.992336755847996,0.0025,-0.0275,0,-223.2758
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2002-05-01 00:00:00,-7750,-7675.8546,0.990432856933711,0.0025,-0.0275,0,-230.2756
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2002-06-01 00:00:00,-7500,-7413.0595,0.988407935854086,0.0025,-0.0275,0,-222.3918
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2002-07-01 00:00:00,-7750,-7644.0566,0.986329886328037,0.0025,-0.0275,0,-229.3217
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2002-08-01 00:00:00,-7750,-7625.9425,0.983992576536741,0.0025,-0.0275,0,-228.7783
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2002-09-01 00:00:00,-7500,-7361.6446,0.981552608002441,0.0025,-0.0275,0,-220.8493
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2002-10-01 00:00:00,-7750,-7587.69,0.979056774556128,0.0025,-0.0275,0,-227.6307
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2002-11-01 00:00:00,-7500,-7322.3453,0.976312707736482,0.005,-0.0275,0,-237.9762
INTERCONRES,VY2238.2,P,IF-SONAT/LA,2002-12-01 00:00:00,-7750,-7544.976,0.973545293605352,0.005,-0.0275,0,-245.2117
