,,,,,,,ENRON POW,ER TRADING &,TRANSMISSION,,,,,,Run Date,:       05/01,/01,,
576455,AB TRANSFER,2001-04-09 00:00:00,2001-04-09 00:00:00,2001-04-09 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1413
576456,AB TRANSFER,2001-04-09 00:00:00,2001-04-09 00:00:00,2001-04-09 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1563
576457,AB TRANSFER,2001-04-09 00:00:00,2001-04-09 00:00:00,2001-04-09 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,117
576458,AB TRANSFER,2001-04-09 00:00:00,2001-04-09 00:00:00,2001-04-09 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2013
576467,AB TRANSFER,2001-04-09 00:00:00,2001-04-09 00:00:00,2001-04-09 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,717
576469,AB TRANSFER,2001-04-09 00:00:00,2001-04-09 00:00:00,2001-04-09 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2313
577821,AB TRANSFER,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-405
577825,AB TRANSFER,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1246
577859,AB TRANSFER,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,105
577861,AB TRANSFER,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,405
580447,AB TRANSFER,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-67
580453,AB TRANSFER,2001-04-12 00:00:00,2001-04-13 00:00:00,2001-04-13 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-445
580456,AB TRANSFER,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,34
580457,AB TRANSFER,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,34
580458,AB TRANSFER,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,34
580459,AB TRANSFER,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-34
580460,AB TRANSFER,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,234
580461,AB TRANSFER,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,384
580462,AB TRANSFER,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,234
587672,AB TRANSFER,2001-04-20 00:00:00,2001-04-20 00:00:00,2001-04-20 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2881
587673,AB TRANSFER,2001-04-20 00:00:00,2001-04-20 00:00:00,2001-04-20 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,953
587882,AB TRANSFER,2001-04-20 00:00:00,2001-04-20 00:00:00,2001-04-20 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1561
587883,AB TRANSFER,2001-04-20 00:00:00,2001-04-20 00:00:00,2001-04-20 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1561
587886,AB TRANSFER,2001-04-20 00:00:00,2001-04-20 00:00:00,2001-04-20 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1561
587889,AB TRANSFER,2001-04-20 00:00:00,2001-04-21 00:00:00,2001-04-21 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,738
589501,AB TRANSFER,2001-04-23 00:00:00,2001-04-23 00:00:00,2001-04-23 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,720
589518,AB TRANSFER,2001-04-23 00:00:00,2001-04-23 00:00:00,2001-04-23 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-870
590617,AB TRANSFER,2001-04-24 00:00:00,2001-04-24 00:00:00,2001-04-24 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2378
592188,AB TRANSFER,2001-04-25 00:00:00,2001-04-25 00:00:00,2001-04-25 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-684
592194,AB TRANSFER,2001-04-25 00:00:00,2001-04-25 00:00:00,2001-04-25 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-684
592195,AB TRANSFER,2001-04-25 00:00:00,2001-04-25 00:00:00,2001-04-25 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2007
592198,AB TRANSFER,2001-04-25 00:00:00,2001-04-25 00:00:00,2001-04-25 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2007
597200,AB TRANSFER,2001-04-30 00:00:00,2001-04-30 00:00:00,2001-04-30 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,0
571445,DUKEENEMARLTD,2001-04-05 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-145
571554,ENGAGEENECAN,2001-04-05 00:00:00,2001-04-05 00:00:00,2001-04-05 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-41
571555,ENGAGEENECAN,2001-04-05 00:00:00,2001-04-05 00:00:00,2001-04-05 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-35
571557,ENGAGEENECAN,2001-04-05 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,460
571571,ENGAGEENECAN,2001-04-05 00:00:00,2001-04-05 00:00:00,2001-04-05 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-95
571577,ENGAGEENECAN,2001-04-05 00:00:00,2001-04-05 00:00:00,2001-04-05 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-41
573256,ENGAGEENECAN,2001-04-06 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-870
573257,ENGAGEENECAN,2001-04-06 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-804
573268,ENGAGEENECAN,2001-04-06 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1020
573269,ENGAGEENECAN,2001-04-06 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-954
573273,ENGAGEENECAN,2001-04-06 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1170
573274,ENGAGEENECAN,2001-04-06 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1104
576828,ENGAGEENECAN,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1696
576841,ENGAGEENECAN,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1396
576855,ENGAGEENECAN,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-255
576859,ENGAGEENECAN,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1246
577139,ENGAGEENECAN,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,405
577140,ENGAGEENECAN,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1396
577250,ENGAGEENECAN,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-345
577368,ENGAGEENECAN,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,495
578798,ENGAGEENECAN,2001-04-11 00:00:00,2001-04-11 00:00:00,2001-04-11 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1314
578926,ENGAGEENECAN,2001-04-11 00:00:00,2001-04-11 00:00:00,2001-04-11 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1014
579605,ENGAGEENECAN,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,384
579608,ENGAGEENECAN,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,234
579895,ENGAGEENECAN,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,34
,,,,,,,ENRON POW,ER TRADING &,TRANSMISSION,,,,,,Run Date,:       05/01,/01,,
Report Da,te:  04/30/01,,,,,,,Deal Summar,y,,,,,,Run Time,:       10:45,:57,,
Post ID:,10239,,,,,,,,,,,,,,Page,:       2,,,
Desk: ALB,ERTA-HOURLY,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Trade,Start,End,,,,,,,,,,Current,,,,Prior Day,Prior
Deal,Counter,Date,Date,Date,Anty,Delivery,PV'd,Swap Vol,PV'd,Option Vol,Notional,Deal Vol,,Deal,MTM P/L,,LTD,Hedge,Day
Number,Party,MM/DD/YY,MM/DD/YY,MM/DD/YY,Y/N,Point,Peak,Off Peak,Peak,Off Peak,Peak,Off Peak,Price Mid,Basis Mid,Total Mid,Prudent,Liquidations,Management,Liquidations
---------,------------------,--------,--------,--------,----,------------------------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,----------------,---------------,-------------
,,,,,,,,,,,,,,,,,,,
579899,ENGAGEENECAN,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,34
579906,ENGAGEENECAN,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-34
579907,ENGAGEENECAN,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-34
589642,ENMAXENECOR,2001-04-23 00:00:00,2001-04-23 00:00:00,2001-04-23 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,837
589674,ENMAXENECOR,2001-04-23 00:00:00,2001-04-24 00:00:00,2001-04-24 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,1653
582214,ESBIALBLTD,2001-04-13 00:00:00,2001-04-13 00:00:00,2001-04-13 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-764
582220,ESBIALBLTD,2001-04-14 00:00:00,2001-04-14 00:00:00,2001-04-14 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-239
577394,HEDGECDN,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,3090
579172,HEDGECDN,2001-04-11 00:00:00,2001-04-11 00:00:00,2001-04-11 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,2327
582204,POWERPOOOF,2001-04-13 00:00:00,2001-04-13 00:00:00,2001-04-13 00:00:00,No,Financial Deal - R21,0,0,0,0,0,0,0,0,0,0,,0,-2455
582209,POWERPOOOF,2001-04-14 00:00:00,2001-04-14 00:00:00,2001-04-14 00:00:00,No,Financial Deal - R21,0,0,0,0,0,0,0,0,0,0,,0,-194
573223,ST ALBERTA,2001-04-06 00:00:00,2001-04-09 00:00:00,2001-04-09 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-9250
573255,ST ALBERTA,2001-04-06 00:00:00,2001-04-09 00:00:00,2001-04-09 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-4685
573561,ST ALBERTA,2001-04-06 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-3337
573562,ST ALBERTA,2001-04-06 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,3337
586109,ST ALBERTA,2001-04-19 00:00:00,2001-04-21 00:00:00,2001-04-30 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-13,52365
586181,ST ALBERTA,2001-04-19 00:00:00,2001-04-20 00:00:00,2001-04-20 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-3943
586226,ST ALBERTA,2001-04-19 00:00:00,2001-04-20 00:00:00,2001-04-20 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-4183
591794,ST ALBERTA,2001-04-25 00:00:00,2001-04-27 00:00:00,2001-04-30 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,19,-39461
592110,ST ALBERTA,2001-04-25 00:00:00,2001-04-26 00:00:00,2001-04-26 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-8446
593491,ST ALBERTA,2001-04-26 00:00:00,2001-04-28 00:00:00,2001-04-30 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-11,8600
593601,ST ALBERTA,2001-04-26 00:00:00,2001-04-28 00:00:00,2001-04-30 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,8,-6160
593679,ST ALBERTA,2001-04-26 00:00:00,2001-04-27 00:00:00,2001-04-27 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,9742
596430,ST ALBERTA,2001-04-30 00:00:00,2001-05-01 00:00:00,2001-05-01 00:00:00,No,Financial Deal - R21 (Alberta),-159,-80,0,0,-160,-80,-4299,0,-4299,-4299,,-4299,0
571634,TRANSALTENEMAR,2001-04-05 00:00:00,2001-04-05 00:00:00,2001-04-05 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,35
572844,TRANSALTENEMAR,2001-04-06 00:00:00,2001-04-06 00:00:00,2001-04-06 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,954
574303,TRANSALTENEMAR,2001-04-09 00:00:00,2001-04-09 00:00:00,2001-04-09 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2613
574304,TRANSALTENEMAR,2001-04-09 00:00:00,2001-04-09 00:00:00,2001-04-09 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1017
574431,TRANSALTENEMAR,2001-04-09 00:00:00,2001-04-09 00:00:00,2001-04-09 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-717
574684,TRANSALTENEMAR,2001-04-09 00:00:00,2001-04-09 00:00:00,2001-04-09 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1563
577318,TRANSALTENEMAR,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2446
577342,TRANSALTENEMAR,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2146
577378,TRANSALTENEMAR,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,195
577379,TRANSALTENEMAR,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1846
577384,TRANSALTENEMAR,2001-04-10 00:00:00,2001-04-10 00:00:00,2001-04-10 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1546
579690,TRANSALTENEMAR,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-384
579881,TRANSALTENEMAR,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,384
579904,TRANSALTENEMAR,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,4
580113,TRANSALTENEMAR,2001-04-12 00:00:00,2001-04-12 00:00:00,2001-04-12 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-4
587468,TRANSALTENEMAR,2001-04-20 00:00:00,2001-04-21 00:00:00,2001-04-21 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,191
587506,TRANSALTENEMAR,2001-04-20 00:00:00,2001-04-21 00:00:00,2001-04-21 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,41
587845,TRANSALTENEMAR,2001-04-20 00:00:00,2001-04-20 00:00:00,2001-04-20 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1561
587862,TRANSALTENEMAR,2001-04-20 00:00:00,2001-04-21 00:00:00,2001-04-21 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1645
593892,TRANSALTENEMAR,2001-04-26 00:00:00,2001-04-26 00:00:00,2001-04-26 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-3779
596592,TRANSALTENEMAR,2001-04-30 00:00:00,2001-04-30 00:00:00,2001-04-30 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,0
596956,TRANSALTENEMAR,2001-04-30 00:00:00,2001-04-30 00:00:00,2001-04-30 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,0
592693,TRANSCANENEFIN,2001-04-25 00:00:00,2001-04-26 00:00:00,2001-04-26 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-319
,,,,,,,------------,-------------,-------------,-------------,------------,-------------,------------,-------------,-------------,-------------,----------------,----------------,-------------
Total for,Region R21,,,,,,-159,-80,0,0,-160,-80,-4299,0,-4299,-4299,,-4295,2190
,,,,,,,============,=============,=============,=============,============,=============,============,=============,=============,=============,================,================,=============
Total Pow,er Price Book,,,,,,-159,-80,0,0,-160,-80,-4299,0,-4299,-4299,,-4295,2190
,,,,,,,============,=============,=============,=============,============,=============,============,=============,=============,=============,================,================,=============
