East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List,East Power Group Done Deals/ Hot List
Mid Market,Clynes,MPEX/SRE,MAPP,0.2,Purchase of capacity and energy,6/02-8/02,50-100 mw,TBD,Counterparty is going to wait-market is too low,2001-09-26 00:00:00,Q1,150000
Origination,Clynes,OPPD,MAPP,0.2,Buyout of remainder of contract,2003-2008,Various,TBD,Customer and Enron determining buyout number and analysis,2001-10-12 00:00:00,Q1,1000000
Mid Market,Valdes,Ottertail Power ,MAPP,0.2,50 MW winter energy sale,Dec 01,50 MW,,In discussions with counterpart,2001-10-04 00:00:00,Q4,3000
Mid Market,Clynes,Xcel Energy,MAPP,0.2,Sale of summer capacity and energy,6/02-8/02,200 MW,TBD,Counterparty does not want Ameren source,2001-10-18 00:00:00,Q4,100000
Mid Market,Clynes,WRI,MAPP,0.15,Energy purchase,2003-2005,50 MW,26.5,Counterparty indicated numbers are too low; will revisit,2001-08-28 00:00:00,Q4,150000
Mid Market,Valdes,Alliant East,MAIN,0.1,Costless call spread,"Cal 02, excluding Summer",50 MW,,Counterparty waiting to put out RFP before discussing any long term structures,2001-10-15 00:00:00,Q4,30000
Mid Market,Valdes,Alliant East,MAIN,0.1,Costless call spread,Jan-Feb 02,50 MW,,In discussions with counterpart,2001-10-15 00:00:00,Q4,1500
Mid Market,Valdes,Alliant East,MAIN,0.1,Costless call spread,Mar-Apr 02,50 MW,,In discussions with counterpart,2001-10-22 00:00:00,Q4,1500
Origination,Dalton/Robinson-Coal Development,AMPO,ECAR,0.1,Virtual or physical coal plant prospect in AEP as customer looking to either sell their 218 Mw Gorsuch Plant  in PJM-West (50 Yrs. Old) and replace with a asset in ECAR or spend capital to expand existing Gorsuch plant.  Possible load requirements of 500 Mw.  Interested in CFB technology,TBD,500 Mw,TBD,Deal structure presented by Mitch on 10/22,2001-10-22 00:00:00,2Q02,5000000
Mid Market,Valdes,CILCO,MAIN,0.1,Extend Into IP position (possible gas deal included),Jun 02 - May 04,20 MW,,In discussions with counterpart,2001-10-04 00:00:00,Q4,80000
Mid Market,Valdes,CILCO,MAIN,0.1,"Sell 100 MW, 7x24 into CILCO",Feb '02-Apr '02,100 MW,,in discussions,2001-10-04 00:00:00,Q4,5000
Mid Market,Valdes,CILCO,MAIN,0.1,"Sell 100 MW, 5x16 into CILCO",Jun-Aug 03,50 MW,,in discussions,2001-10-04 00:00:00,Q4,20000
Mid Market,Valdes,CILCO,MAIN,0.1,"Sell 100 MW, 5x16 into CILCO",Jun-Aug 04,50 MW,,in discussions,2001-10-04 00:00:00,Q4,20000
Mid Market,Valderrama,Constellation,ECAR,0.1,Buy 50 Cal 02 Offpeak Wrap (CIN),1/1/02 -12/31/03,50 MW,,In discussions with  C/P,2001-10-24 00:00:00,Q4,5000
Mid Market,Valderrama,EKPC,ECAR,0.1,Summer 02,Jul-Aug 02,50 MW,,In discussion w/ CP they think its going lower,2001-10-22 00:00:00,Q4,5000
Mid Market,Valdes,Gen~Sys,MAPP,0.1,Sell 5x16 into DPC (CE Gen Source),Cal 02,50 MW,,Reviewing risk associated with shorting CE gen source,2001-10-31 00:00:00,Q4,40000
Mid Market,Clynes,GSE,MAPP,0.1,Sale of Regulatory Capacity,6/02-8/02,50 MW,TBD,Customer to know demand in a couple of weeks,2001-10-03 00:00:00,Q4,50000
Origination,"Dalton/Robinson-Coal Development, et al",IMPA,ECAR,0.1,Cover at least 250 Mw of 500 Mw customer requirement as a result of large PPA termination effective 1/1/07.  Early timing is being driven by interest in coal asset structure such as CFB technology.  Possibility to link this deal with Ampo's requirements.,1/1/07-12/31/27,500 Mw,TBD,Enron to present deal structure to Impa Board on 11/16/01,2001-11-16 00:00:00,2Q02,5000000
Mid Market,Valdes,MEC,MAPP,0.1,"Buy hourly call, strike $75,$100",Dec 01-Apr 02,50 MW,,Counterparty still working on EEI,2001-10-26 00:00:00,Q4,5000
Mid Market,Clynes,MHEB,MAPP,0.1,Purchase of long term capacity and fixed price energy,1/1/05-12/31/14,500 MW,TBD,New contact to transistion within the next month,2001-11-15 00:00:00,Q1,3500000
Mid Market,Kelly,Missouri River,MAPP,0.1,Summer unit outage protection,Jun-Sep '02,200 MW,155000,firm pricing provided 11/2; being repriced w/ a higher max payout at customer request,2001-11-02 00:00:00,Q4,15500
Mid Market,Valdes,MMPA,MAPP,0.1,Sell 5x16 into NSP (won't happen if they choose 7x24),Cal 02,35 MW,,Counterparty reviewing offer,2001-10-31 00:00:00,Q4,40000
Mid Market,Valdes,MMPA,MAPP,0.1,Sell 7x24 into NSP (won't happen if they choose 5x16),Cal 02,35 MW,,Counterparty reviewing offer,2001-10-31 00:00:00,Q4,80000
Mid Market,Kelly,National Steel,MAIN,0.1,7x24 block or interruptible energy,5/02 - 4/03-04,50-100 MW,27.5,RFP response submitted 10/15; refined proposal to be submitted wk of 11/16 at customer's request,2001-11-10 00:00:00,Q4,100000
Mid Market,Valdes,NSP (Xcel),MAPP,0.1,"Sell 100 MW, 7x24 into NSP",Dec '01-Mar '02,100 MW,,In discussions with counterpart,2001-10-09 00:00:00,Q4,10000
Mid Market,Valdes,Ontario Hydro,MAPP,0.1,Financial swap for summer 02,Jul-Aug 02,50 MW,,Counterparty still working on ISDA,2001-10-04 00:00:00,Q1 - 02,10000
Mid Market,Valderrama,SIGECO,ECAR,0.1,Looking for cal 02 into CIN under 17.25,Cal 02,50 MW,,In discussions with counterparty,2001-10-24 00:00:00,Q4,5000
Mid Market,Valderrama,SIGECO,ECAR,0.1,Onpeak Mar-Apr 02,Mar-Apr -02,50 MW,,In discussions with counterparty,2001-10-22 00:00:00,Q4,5000
Mid Market,Valderrama,SIPCO,ECAR,0.1,Jul-Aug-02-may be looking for another piece,Summer 02,50 MW,,Counterparty waiting for mkt to rtn prior  levels,2001-10-23 00:00:00,Q4,5000
Orgination,Clynes/Tapscott/Abler,SMMPA,MAPP,0.1,Sale of LM6000 for development project,TBD,TBD,TBD,Customer will be issuing RFP within a few weeks,2001-09-17 00:00:00,Q4,1000000
Origination,Clynes,SWEC,MAIN,0.1,Sale of full requirements power for 5-7 years,6/04-5/08-10,varies,TBD,Selection to be made in the next couple of weeks,2001-11-06 00:00:00,Q1,1000000
Mid Market,Clynes,Xcel Energy,MAPP,0.1,Capacity and Energy Sale,1/02-12/02,50 MW,TBD,Counterparty does not want Ameren source,2001-10-18 00:00:00,Q4,300000
Origination,Dalton/Services Team,Alcoa ,ECAR,0.75,Services Opportunity at Alcoa's Warrick Facility in Indiana,11/15/01-12/31/03,630 Mw,$10k/month,Various technical due dilligience being reviewed. No action expected until 11/16/01 which is Alcoa's ADR deadline to SIGE for a signed term sheet on interconnect agreement,2001-10-29 00:00:00,Q4,$150k Accrural
Origination,Baughman/ Clynes,Archer Daniels Midland,Various,0.5,Energy Services Trial at various facilities,TBD,TBD,,,2001-08-15 00:00:00,Q4,50000
Origination,Dalton/Services Team,Cleveland Public Power,ECAR,0.45,Services Management Opportunity,1-3 Years,100 Mw,67%/33% split on excess mw,Customer wants to have EEI done prior to working on Services Deal.  EEI being completed by legal and approximately 75% complete.  Credit being reviewed.,2001-10-01 00:00:00,Q4,"1,000,000 Accrual"
Origination,Dalton/Services Team,Ormet Aluminum,ECAR,0.25,Services Management Opportunity on a 500 Mw RTC aluminum smelter,1-3 years,500 Mw,TBD,Updated proposal submitted 10/17/01,2001-10-17 00:00:00,Q4,"$600,000 accrual"
Origination,Baughman/ Clynes,MHEB,MAPP,0.2,Gas services Deal,1/02-7/02,TBD,TBD,Meeting with MHEB on 12/12/01,2001-11-21 00:00:00,Q4,100000
ERCOT, ,,,,,,,,,,,
Origination,Curry,Air Products,ERCOT,0.2,QSE/Power Supply,Cal02,130-240  MW,$37.28/MWh,EEI has been completed.  Shortlisted.  AP moving shortlisted bidders to final contract in preparation to receive final pricing and make a choice.  EPMI has completed final contract and waiting for AP to complete the same with other counterparties.,2001-11-20 00:00:00,Q4,$500k
Origination,Curry,Ford,ERCOT,0.2,Sell power at border for Mexican facilities,20 years,50 MW,TBD,MOU signed.  Have exclusivity through Dec01.  Definitive agreement sent to Ford 11/16.  Ford reviewing.,2001-11-21 00:00:00,Q1 2002,$10MM
Origination,Jester,Gexa Energy,ERCOT,0.2,QSE/Power Supply,Jan02-Dec02,2MW RTC to start; more as they grow,,Done deal if they pass credit,2001-11-05 00:00:00,Nov,50000
Origination,Jester,Rohm & Haas,ERCOT,0.2,QSE/Power Supply,2 and 3 years starting Jan '02,120 MW(7x24),,CA done; RFP goes out next week,2001-11-12 00:00:00,Dec,$2MM
Origination,Jester,Shintech,ERCOT,0.2,QSE/Power Supply,2 and 3 years starting Jan '02,48 MW (7x24),,waiting for customer decision; very slow mover,2001-11-14 00:00:00,Nov,$1MM
Origination,Forster/Curry/Irvin,Tex-Mex,ERCOT,0.2,ERCOT/Mexico Cross-Border synthetic power sale; ENA sells 15 yr firm power across HVDC tie being built in Brownsville to interconnect ERCOT/CFE.  First true interconnection of size.  Merchant transmission with LOI's for incremental synthetic positions in Mexico.  Orig to be split with Mexico Origination.,5-20 years,50-200 MW,TBD,Ford and GM signed MOU's.  Praxair has shown interest so we are preparing MOU for them.,2001-10-18 00:00:00,Q4/Q1 2002,$25 MM
Origination,Jester,TXI-Chaparral Steel,ERCOT,0.2,QSE/Power Supply,Cal02-03,200MW,,repricing proposal for customer w/ new structure,2001-11-14 00:00:00,Nov,$1.5MM
Origination,Curry,Air Liquide,ERCOT,0.15,QSE/Power Supply,Cal02,250 MW,"~8,800 HR",AL reviewing ISDA and EEI.  AL wants a short-term deal until the PURPA put is settled at FERC.  AL reviewing updated proposal.,2001-11-20 00:00:00,Q4,$300k
Origination,Benke,BOC Gases,ERCOT,0.15,QSE/Power Supply,2-4 years,22 MW,TBD,Short listed 10/16.  Sent out new pricing 11/12.,2001-11-20 00:00:00,Q4,$500k
Origination,Jester,John Mansville,ERCOT,0.15,QSE/Power Supply,Cal02-03,20MW(7x24),,reviewing proposals,2001-11-05 00:00:00,Nov,$500K
Origination,Jester,NUCOR Steel,ERCOT,0.15,QSE/Power Supply,2 and 3 years starting Jan '02,95 MW (7x24),,rec'd RFP; pricing to go out this week,2001-11-05 00:00:00,Dec,$1.65 M
Origination,Curry,Praxair,ERCOT,0.15,QSE/Power Supply,Cal '02,120 MW,TBD,"CA done.  Working with Mexico group to do duel ERCOT/Mexican power deal.  Praxair will include EPMI on shortlist, final pricing and decision to come in next few weeks.",2001-11-20 00:00:00,Q4,$500k
Origination,Curry,General Motors/Delphi,ERCOT,0.1,Sell power at border forGM's Mexican facilities,5-10 years,100 MW,TBD,"CA signed.  MOU getting signatures, once signed then will schedule meeting.",2001-11-16 00:00:00,Q1 2002,$10MM
Origination,Curry,Oxychem,ERCOT,0.1,PPA,Cal02,200 MW,$23.75/MWh,Getting EEI.  Oxy wants a HR structure with a gas costless collar.  Proposal sent.  Met 10/23. Upper management not ready to pull trigger yet on structure.,2001-11-15 00:00:00,Q4,$200k
Origination,Curry,Shell Oil Co.,ERCOT,0.1,QSE/Power Supply,Cal02,"1200 MW scheduling, 20MW baseload purchase",TBD,"Proposal sent, Shell reviewing proposal.",2001-11-20 00:00:00,Q4,accrual $200k
Origination,Jester,SOLUTIA,ERCOT,0.1,QSE/Power Supply,Cal02-03,0-20MW capacity,,Sent initial pricing 10/16; waiting to hear from customer,2001-10-16 00:00:00,Dec,$250K
Origination,Jester,Agrilink,ERCOT,0.05,QSE/Power Supply,Cal02-03,91MW(7x24),,Getting his data together to send us,2001-11-05 00:00:00,Dec,$1MM
Origination,Curry,Austin Energy,ERCOT,0.05,Renewable energy and credits,10 or 20 years,135 MW,$28.50/MWh,AE executive committee has extended their decision until November 15th.  Trying to get option from EWC to use Sweetwater site for this proposal if chosen.,2001-10-31 00:00:00,Q1 2002,$5 MM
Origination,Benke,BASF,ERCOT,0.05,QSE/Power Supply,1-2 years,20 MW,$34.40/MWh,Reviewing pricing.,2001-11-02 00:00:00,Q4,$175k
Origination,Benke,Gregory Power Partners,ERCOT,0.05,Contigency Call Option or Power Supply,Cal02,38 MW,TBD,Been dealing with plant outage.  Still very interested.,2001-11-20 00:00:00,Q4,$10k
Origination,Duffy,Kimberly Clark,ERCOT,0.05,QSE and power supply,Cal02,25 MW,$38/MWh,Sent proposal 9/10.  KC reviewing.,2001-10-18 00:00:00,Q4,$100K
Origination,Benke,"Koch Petroleum Group, LP",ERCOT,0.05,QSE/Power Supply,Cal02-03,40 MW,5% band:  8800 HR   10% band: 9000 HR,"Sent proposal 10/5, reviewing. ",2001-10-11 00:00:00,Q4,$700k
Origination,Curry,LCRA,ERCOT,0.05,Renewable energy and credits,10 or 20 years,50-100 MW,$30.24/MWh (10 year); $28.61/MWh (20 year),CA signed.  LCRA working internally to determine strategy.  Delayed by LCRA rfp process.   Trying to get option from EWC to use Sweetwater site for this proposal if chosen.,2001-10-31 00:00:00,Q4,$8 MM
Origination,Curry,Pedernales Coop,ERCOT,0.05,10% LCRA program.,2002,70 MW,TBD,"Sent proposal, P. reviewing.  I think P is using us as stocking horse, will eventually go with LCRA.",2001-11-20 00:00:00,Q4,$500k
Origination,Duffy,Steag LLC,ERCOT,0.05,PPA,5 years,275MW,$4.00 kW month,Proposal sent. Further talks using EOL.  ,2001-10-31 00:00:00,Q4/Q1 2002,$8MM
Origination,Duffy,Praxair S&L,ERCOT,0.15,QSE,Cal '02,20-40 MW,TBD,"QSE serviecs for a cogen plant shared by Praxair and Sterling.  EPMI would provide settlement, QSE, and balancing services for cogen.",2001-10-30 00:00:00,Q4,accrual $200k
Origination,Curry,BP Amoco,ERCOT,0.1,QSE,Cal02,"1300 MW gen, 1500MW load",TBD,"Sent proposal, BP reviewing. BP preparing final pricing request from bidders.",2001-11-20 00:00:00,Q4,accrual $200k
Origination,Curry,Dow,ERCOT,0.1,QSE/Power Marketing,Cal02-03,1400 MW Gen- 1800MW Load,,Dow has all cost and equipment estimates from EPMI for provision of QSE services.   Dow internally deciding strategy.  Should have feedback after Thanksgiving.,2001-11-21 00:00:00,Q4,accrual $500k
Southeast,,,,,,,,,,,,TBD
Origination,Kroll,Ft. Pierce (AIG Highstar/ ETS/FMPA),FRCC,0.5,"Re-powering project.  ENA builds turbine & HRSG, sells steam, and sells plant, then takes back PPA or tolling.  (Enron Sells interest in Ft. Pierce Repowering Project to AIG Highstar/Sell Ft. Peirce and/or Midway Projects to ETS/ Sell Ft. Pierce project to FMPA)",11/31/03,196 MW,TBD,"Ft. Pierce Utilities Boad voted unanimously to appove document execution.  Documents executed on 10/4/01.  (Awaiting LOI from AIG Highstar/ ETS interested in expanding their business into power projects along their pipelines.  In South Florida, ETS is particularly interested in projects that can add load to FGT, and also serve as anchor gas supply customer for Calypso LNG Project.  ETS's alternative is to develop greenfield projects from ""scratch.""/ FMPA deal would displace FMPA's Vero Beach proposed repowering project.)  Considerable support for Deal Bench effort being provided.  Final City Commission vote on ENA's Site Plan Amendment and re-zoning proposal postponed until 11-19.",daily contact,Q4,$ 2-4MM
Mid Marketing,Rorschach/Acevado,ETEC,SPP,0.5,"EPMI served ETEC Cal '01 for 9 MW into ETEC.  They would like to extend for three years.  They have indicated that $34.25/MWh is the price they need.  EPMI is interested in taking the position.  EEI comments are in negotiation and not perceived to be problematic.  ETEC is meeting with with the industrial laod, Temple Inland to try and finalize.  EPMI desk is willing to transact at the mids. Waiting for feedback from Temple Inland. ",3 yr,9MW,$34/MW,Legal recommends not using the 1997 contract for potential extension--replace with an EEI.   EEI issues resolved with ETEC.  ETEC is presenting new power supply contract to industrial user.  ETEC wants to do EEI and power supply deal at the same time.  Industrial expected to give approval to ETEC early October.,2001-10-16 00:00:00,Q4,$1MM
Origination,Jafry/Emmons,Cogentrix,SERC,0.25,"Enron will offer Asset Management services for Cogentrix's Kenansville plant (including dispatch, marketing of power, and fuel management services).  This may also have potential for Enron to manage a larger slice of Cogentrix's 4500MW of existing portfolio. ",Oct/Nov '01 - ???,30MW,25% of the upside delivered to Cogentrix,"ENE has pitched alternate structures to Cogentrix (I.e. Asset sale, etc.), but this is the only service they're interested in at present.  ENE will send Cogentrix an EEI and a term sheet by the end of this week as Cogentrix's current PPA and Fuel Purchase Agreement expires on Oct. 1, 2001, imposing some sense of urgency.  Term Sheet sent on 09/18/01 and EEI sent on 09/19/01.  Follow-up call on 10/25/01",2001-10-24 00:00:00,Q4,Accrual
Mid Marketing,Braddock,Reliant,FRCC,0,ENE sells 5x16 at the Duval Station in Duval County Fla.,Dec'01,100MW,$45/MWh,"ENE offered $45.  Reliant is evaluating trans. Availability away from Duval.  Met on 11/1/01 with Steve Adams.  They have re-assigned responsibilities and he will be concentrating on Fla.  During current state of affairs at ENE, Reliant is not willing to explore an unproven delivery point. ",2001-11-01 00:00:00,Q4,100000
Mid Marketing,Braddock,Key West,FRCC,0.1,"ENE buys 25MW, unit cont, into JEA, 5x16",Apr-Dec'02,25MW,$36/MWh,Mike has pieced together 25MW off of 3 steam units in FPC control area.  ENE will buy if they sell into JEA.  He is evaluating.,2001-11-19 00:00:00,Q4,50000
Mid Marketing,Braddock/Day,Energy Consulting Group,SERC,0,"ENE sells 7x24 energy ""on"" the Ga-ITS",Jan-Feb'02,75MW,$30/MWh,Met with consultant represent 8 EMC's in GA.  Have peaking power needs during summer months.  Pricing proposal sent 11/2/01.  They have chosen to use asset manager to fill this position (Dynegy).  Still interested in discussing other term opportunities.,2001-11-14 00:00:00,Q4,50000
Origination,Braddock/Day,Energy Consulting Group,SERC,0.1,"ENE sells 5x16 energy ""on"" the Ga-ITS",June-Aug '05-10,300MW,$55.81/MWh,Met with consultant represent 8 EMC's in GA.  Have peaking power needs during summer months.  Proposal sent 11/2/01.  Interested in discussing further and have requested a meeting on Dec. 7.,2001-11-20 00:00:00,Q1'02,500000
Origination,Braddock/Day,Energy Consulting Group,SERC,0.1,"ENE sells 5x16 energy ""on"" the Ga-ITS",June-Aug '02-04,100MW,$52.75/MWh,Met with consultant represent 8 EMC's in GA.  Have peaking power needs during summer months.  Proposal sent 11/2/01.  Interested in discussing further and have requested a meeting on Dec. 7.,2001-11-20 00:00:00,Q1'02,200000
Origination,Braddock/Kroll/Cox,Bear Island,SERC,0.1,"ENE offers financial Swap based on PJM index 1/1/02-12/31/06.  ENE buys financial call for same time period for 47MW of the total 76MW (effectively giving curtailable right for 8-hour blocks, Mon-Fri).",1/1/02-12/31/06,76MW,Blended $34.21/MWh ,ENE is jointly proposing concept with David Cox in EES.  Hinges on Bear's ability to buy physical power from Old Dominion at a floating rate based on PJM index. The structure allows Bear to arbitrage when index power prices are high because they have curtailment rights to not take power during each month.  Proposal sent on 11/6/01.  Bear Island interested in pricing structure with 4 hour curtailment rights as opposed to 8 hr.  Re-priced and sent new proposal on 11/19/01.,2001-11-19 00:00:00,Q4,2000000
Origination,Day/Braddock,Enervision,SERC,0.1,"Non-interuptible load, will consider block purchase, 20MW load starting in 2003 for 3 to 5 years. ",1/1/03-12/31/05,20MW,$33/MWh,Met with consultant in Atlanta on 10/30/01 to discuss in further detail. Proposal sent 11/5/01.  Clarified questions on 11/14/01 and re-assured as to Enron's credit standing.,2001-11-14 00:00:00,Q1'02,100000
Origination,Gimble/Piazze,Tallahassee (Repowering),FRCC,0.1,"Turnkey repowering of Hopkins Plant Unit 1.  Upon further analysis by Customer, they cannot use structure similar to Austin Project as previously proposed.  ENA is now reviewing 2 modified commercial structures.  Revised proposal to be sent 10/19.  The technical configuration and basic capacity deal with Customer has not changed. ENA would own 5 years of capacity shaped from 150 MW at start reducing to 50 MW.  Tallahasse would finance/own plant by year 5.  Transmission connected into SOCO/GA ITS and Florida.  ",Spring '04,170 MW,TBD,LOI completed July '01.  No RFP; city officials agreed to Enron exclusive.  2nd revised proposal to be sent 10/25.  Min. technical issues.  Tweaking the commercial transaction is primary focus.  Next meeting tentatively 2nd week Nov.,2001-10-24 00:00:00,Q4,$ 5MM
Origination,Jafry/Braddock,NCEMC,SERC,0.1,Supply peaking power to NCEMC,01/2003 - 12/2007,250MW-400MW,TBD,"NCEMC is planning on an informal RFP process, but is willing to talk to ENE and review alternate structures and products.  Meeting planned in NC in the first week of November (after NCEMC is done making a decision on their last RFP).",2001-10-16 00:00:00,Q4,2000000
Origination,Jafry/Emmons,Nova Consulting,SERC,0.1,Nova has an IPP which might be looking for turbines/sites for plant operations in '04,Starting '04,-,TBD,ENE will provide Nova with indication on our availability this week.  Nova has agreed to introduce the customer to ENE so ENE can pitch alternate deal structures as well.  Meeting planned for late September.,2001-09-13 00:00:00,Q1 '02,TBD
Origination,Kroll/Emmons/Braddock,NCMPA1,SERC,0.1,"ENE buys 50MW, 7x24, system firm (Catawba and McGuire units together as system) and 50MW, 7x24, unit contingent (McQuire Units)",1/1/03-12/31/07,100MW,$20.63/MWh (system); $19.38/MWh (unit),"ENE submitted RFP response on 9/27/01.  Short List comes out on Nov 9, 2001",2001-09-27 00:00:00,Q4,2000000
Origination,Kroll/Emmons/Braddock,NCMPA1,SERC,0.1,ENE to sell 5x16 into Duke,1/1/03-12/31/07,350MW,$43.49/MWh,"ENE submitted RFP response on 9/27/01. Short list comes out on Nov 9, 2001",2001-09-27 00:00:00,Q4,5000000
Origination,Kroll/Jafry/Emmons,CVEC,SERC,0.1,RFP for all requirements supply to co-op in Virginia.  150 MW peak load.,5 year (Q2 '02),,TBD,Made Short list -- Submitted Revised Proposal on 10/22/01 based on meeting in Colleen on 10/10/01,2001-10-10 00:00:00,Q4,TBD
Origination,Kroll/Jafry/Wood,VEPCO,SERC,0.1,Restructure existing long term contract.,through 1-1-2007,250 MW,,"During customer meeting 8-21, VEPCO officials requested improvements in contract be made.  Trading and Legal developing their ""wish lists.""  Customer wants restructure done asap - very motivated.",2001-10-12 00:00:00,Q4,500000
Origination,Kroll/Rorschach/Acevedo,City of North Little Rock,SPP,0.1,Full requirements energy and capacity peak summer load 262MW.,7/02 - 6/05 with bilateral option to extend 3 years.,262MW summer peeak,$38/MWh,Proposals being evaluated.  EPMI should have feedback by 10/19/01.  City wants contract before city council in November.,2001-10-16 00:00:00,Q4 '01/Q1 '02,
Origination,Kroll/Rorschach/Acevedo,Noranda Aluminum,SPP,0.1,Noranda is a 470MW load in Associated.  Associated is projected to be short and has asked to get out of contract with Noranda.,June '03-Dec '08,470MW,TBD,Talking with Noranda to determine price need and interest in a cross-commodity deal.  Noranda needs <$30 power.  Working with structuring and London metals desk to create several structures resulting in <$30 power.  EPMI following up to schedule meeting with Noranda and Associated.  Meeting with Associated will be expanded to include potential transmission line project and felxible delivery points.  ,2001-10-05 00:00:00,Q2 '02,$5 MM
Mid Marketing,Rorschach/Acevedo,MDEA,SPP,0.1,MDEA is interested in evaluating purchasing 20MW for Cal '02 ,Cal '02,20MW,34,Creating cal strip pricing vs. Bogey projection  to present to MDEA 9/26/01.  Delay in submittal due to adjusting startup costs for Yazoo City units.,2001-10-05 00:00:00,Q4,80000
Mid Marketing,Rorschach/Acevedo,Entergy,SPP,0.1,Summer call option structure offered to Entergy at their request.,Jun and Jul/Aug,100MW,$3 and $6,Entergy evaluating.  Expect to followup 10/27/01,2001-10-16 00:00:00,Q4,
Mid Marketing,Rorschach/Acevedo,GRDA,SPP,0.1,Weather derivative to protect against rainfall shortage.,Summer '02,TBD,TBD,"EPMI meeting with GRDA 8/23-24/01 to present the idea and determine the deal points.  GRDA is interested and needs help evaluating structure.  EPMI  submitted draft term sheet without pricing 9/24/01.  Meeting with GRDA October 1, 2001 to discuss.  GRDA interested in pursuing but will wait until first of 2002.",2001-10-16 00:00:00,Q1 '02,200000
Origination,Rorschach/Acevedo,UtiliCorp,SPP,0.1,Renewal of Unit Outage Product for Sibley Unit and additional 250 MW.,Summer '02,TBD,TBD,EPMI waiting on GADS data from UtiliCorp in order to proceed with pricing.,2001-10-15 00:00:00,Q4 '01/Q1 '02,
Origination,Rorschach/Acevedo,GRDA,SPP,0.1,Evaluating potential addition of hydro turbine/generator to GRDA dam structure of pumped storage,TBD,TBD,TBD,"GRDA president interested in Enron expansion idea.  Site visit scheduled for Oct 1/2, 2001 to evaluate structures , substations, etc.  GRDA changing leadership in January '02.  GRDA staff is very interested in pursuing at beginning of '02.  ",2001-10-06 00:00:00,Cal 2002,
Origination,Rorschach/Acevedo,KCBPU,SPP,0.1,"37 and 55 MW blocks for summer '02, '03, and '04 offered by KCBPU","Summers 02, 03, 04","37MW, 55MW",TBD,"Proposal due Oct 10, 2001.  EPMI proposal included parking option.",2001-10-16 00:00:00,Q1 '02,
Origination,Rorschach/Acevedo,ETEC,SPP,0.1,Full requirements energy and capacity peak summer load 380MW.,Jan '5 Jan '10,380 MW summer peak,TBD,"Proposals due October 31, 2001.",2001-10-16 00:00:00,Q1/Q2 '02,
Mid Marketing,Acevedo/Rorschach/Piazze,NTEC,SPP,0.05,Wholesale power for gas compression services,Jul '02- Jul '12,5.5 MW,TBD,Helping ECS understand price and power supply.  Power deal contingent upon compression deal.  Compression deal needs power @ less than $35/MWh for 7x24 10 year deal.  Counterparty would be NTEC.  Duke has offered $35/MWhr.  Depressed gas price put the compression deal on hold.  Compression services is evaluating alternatives to keep it alive.  Nothing firm is on the table.  As of 10/16/01 EPMI can source $31/MWh for a 5 year deal.  Compression services evaluating.,2001-10-16 00:00:00,Q4,0
