Month/Year:,1997-07-01 00:00:00,,,Month/Year:,1997-08-01 00:00:00,,,Month/Year:,1997-09-01 00:00:00,,,Month/Year:,1997-10-01 00:00:00,,,Month/Year:,1997-11-01 00:00:00,,,Month/Year:,1997-12-01 00:00:00,,,Month/Year:,1998-01-01 00:00:00,,,Month/Year:,1998-02-01 00:00:00,,,Month/Year:,1998-03-01 00:00:00,,,Month/Year:,1998-04-01 00:00:00,,,Month/Year:,1998-05-01 00:00:00,,,Month/Year:,1998-06-01 00:00:00,,,Month/Year:,1998-07-01 00:00:00,,,Month/Year:,1998-08-01 00:00:00,,,Month/Year:,1998-09-01 00:00:00,,,Month/Year:,1998-10-01 00:00:00,,,Month/Year:,1998-11-01 00:00:00,,,Month/Year:,1998-12-01 00:00:00,,,Month/Year:,1999-01-01 00:00:00,,,Month/Year:,1999-02-01 00:00:00,,,Month/Year:,1999-03-01 00:00:00,,Month/Year:,1999-04-01 00:00:00,,,Month/Year:,1999-05-01 00:00:00,,,Month/Year:,1999-06-01 00:00:00,,,Month/Year:,1999-07-01 00:00:00,,,Month/Year:,1999-08-01 00:00:00,,,Month/Year:,1999-09-01 00:00:00,,,Month/Year:,1999-10-01 00:00:00,,,Month/Year:,1999-11-01 00:00:00,,,Month/Year:,1999-12-01 00:00:00,,,Month/Year:,2000-01-01 00:00:00,,,Month/Year:,2000-02-01 00:00:00,,,Month/Year:,2000-03-01 00:00:00,,,Month/Year:,2000-04-01 00:00:00,,,Month/Year:,2000-05-01 00:00:00,,,Month/Year:,2000-06-01 00:00:00,,,Month/Year:,2000-07-01 00:00:00,,,Month/Year:,2000-08-01 00:00:00,,,Month/Year:,2000-09-01 00:00:00,,,Month/Year:,2000-10-01 00:00:00,,,Month/Year:,2000-11-01 00:00:00,,,Month/Year:,2000-12-01 00:00:00,,,Month/Year:,2001-01-01 00:00:00,,,Month/Year:,2001-02-01 00:00:00,,,Month/Year:,2001-03-01 00:00:00,,,Month/Year:,2001-04-01 00:00:00,,,Month/Year:,2001-05-01 00:00:00,,,Month/Year:,2001-06-01 00:00:00,,,Month/Year:,2001-07-01 00:00:00
1997-07-05 00:00:00,5591,,,1997-08-05 00:00:00,5320,,,1997-09-05 00:00:00,5628,,,1997-10-05 00:00:00,6200,,,1997-11-05 00:00:00,7997,,,1997-12-05 00:00:00,11625,,,1998-01-05 00:00:00,20522,,,1998-02-05 00:00:00,14497,,,1998-03-05 00:00:00,18784,,,1998-04-05 00:00:00,12090,,,1998-05-05 00:00:00,8979,,,1998-06-05 00:00:00,7815,,,1998-07-05 00:00:00,6181,,,1998-08-05 00:00:00,5564,,,1998-09-05 00:00:00,5009,,,1998-10-05 00:00:00,7872,,,1998-11-05 00:00:00,11085,,,1998-12-05 00:00:00,19519,,,1999-01-05 00:00:00,19368,,,1999-02-05 00:00:00,18670,,,1999-03-05 00:00:00,17009,,1999-04-05 00:00:00,16501,,,1999-05-05 00:00:00,9899,,,1999-06-05 00:00:00,7852,,,1999-07-05 00:00:00,5139,,,1999-08-05 00:00:00,7450,,,1999-09-05 00:00:00,6091,,,1999-10-05 00:00:00,7605,,,1999-11-05 00:00:00,9519,,,1999-12-05 00:00:00,16534,,,2000-01-05 00:00:00,14790,,,2000-02-05 00:00:00,12068,,,2000-03-05 00:00:00,15674,,,2000-04-05 00:00:00,9468,,,2000-05-05 00:00:00,9055,,,2000-06-05 00:00:00,7507,,,2000-07-05 00:00:00,6624,,,2000-08-05 00:00:00,5460,,,2000-09-05 00:00:00,7331,,,2000-10-05 00:00:00,7067,,,2000-11-05 00:00:00,9395,,,2000-12-05 00:00:00,15501,,,2001-01-05 00:00:00,17336,,,2001-02-05 00:00:00,11420,,,2001-03-05 00:00:00,12359,,,2001-04-05 00:00:00,12352.548,,,2001-05-05 00:00:00,6014.89,,,2001-06-05 00:00:00,6338.18,,,2001-07-05 00:00:00,5209.032
1997-07-06 00:00:00,5445,,,1997-08-06 00:00:00,5386,,,1997-09-06 00:00:00,5736,,,1997-10-06 00:00:00,7793,,,1997-11-06 00:00:00,8716,,,1997-12-06 00:00:00,11730,,,1998-01-06 00:00:00,19164,,,1998-02-06 00:00:00,14716,,,1998-03-06 00:00:00,16583,,,1998-04-06 00:00:00,13628,,,1998-05-06 00:00:00,9809,,,1998-06-06 00:00:00,7779,,,1998-07-06 00:00:00,6283,,,1998-08-06 00:00:00,6021,,,1998-09-06 00:00:00,4649,,,1998-10-06 00:00:00,7320,,,1998-11-06 00:00:00,13225,,,1998-12-06 00:00:00,18283,,,1999-01-06 00:00:00,20668,,,1999-02-06 00:00:00,16238,,,1999-03-06 00:00:00,16052,,1999-04-06 00:00:00,15632,,,1999-05-06 00:00:00,8711,,,1999-06-06 00:00:00,7932,,,1999-07-06 00:00:00,6899,,,1999-08-06 00:00:00,6928,,,1999-09-06 00:00:00,6306,,,1999-10-06 00:00:00,7216,,,1999-11-06 00:00:00,8019,,,1999-12-06 00:00:00,15733,,,2000-01-06 00:00:00,18869,,,2000-02-06 00:00:00,12685,,,2000-03-06 00:00:00,15490,,,2000-04-06 00:00:00,9617,,,2000-05-06 00:00:00,9932,,,2000-06-06 00:00:00,7248,,,2000-07-06 00:00:00,7197,,,2000-08-06 00:00:00,5684,,,2000-09-06 00:00:00,6426,,,2000-10-06 00:00:00,7164,,,2000-11-06 00:00:00,11143,,,2000-12-06 00:00:00,16010,,,2001-01-06 00:00:00,17158,,,2001-02-06 00:00:00,16340,,,2001-03-06 00:00:00,10974,,,2001-04-06 00:00:00,13812.708,,,2001-05-06 00:00:00,5916.4349999999995,,,2001-06-06 00:00:00,5847.021999999999,,,2001-07-06 00:00:00,5457.952
1997-07-07 00:00:00,5738,,,1997-08-07 00:00:00,5406,,,1997-09-07 00:00:00,5803,,,1997-10-07 00:00:00,8372,,,1997-11-07 00:00:00,10535,,,1997-12-07 00:00:00,12237,,,1998-01-07 00:00:00,16295,,,1998-02-07 00:00:00,15372,,,1998-03-07 00:00:00,18465,,,1998-04-07 00:00:00,13256,,,1998-05-07 00:00:00,10197,,,1998-06-07 00:00:00,7617,,,1998-07-07 00:00:00,6118,,,1998-08-07 00:00:00,6361,,,1998-09-07 00:00:00,4936,,,1998-10-07 00:00:00,7675,,,1998-11-07 00:00:00,11404,,,1998-12-07 00:00:00,21011,,,1999-01-07 00:00:00,20771,,,1999-02-07 00:00:00,12622,,,1999-03-07 00:00:00,16200,,1999-04-07 00:00:00,16104,,,1999-05-07 00:00:00,9767,,,1999-06-07 00:00:00,9630,,,1999-07-07 00:00:00,6866,,,1999-08-07 00:00:00,5043,,,1999-09-07 00:00:00,6522,,,1999-10-07 00:00:00,7379,,,1999-11-07 00:00:00,8822,,,1999-12-07 00:00:00,14495,,,2000-01-07 00:00:00,17801,,,2000-02-07 00:00:00,13041,,,2000-03-07 00:00:00,17415,,,2000-04-07 00:00:00,10088,,,2000-05-07 00:00:00,9258,,,2000-06-07 00:00:00,7114,,,2000-07-07 00:00:00,7013,,,2000-08-07 00:00:00,6222,,,2000-09-07 00:00:00,5885,,,2000-10-07 00:00:00,6827,,,2000-11-07 00:00:00,10751,,,2000-12-07 00:00:00,12821,,,2001-01-07 00:00:00,15910,,,2001-02-07 00:00:00,17926,,,2001-03-07 00:00:00,11763,,,2001-04-07 00:00:00,13700.154,,,2001-05-07 00:00:00,5642.384999999999,,,2001-06-07 00:00:00,5372.168,,,2001-07-07 00:00:00,5169.408
1997-07-08 00:00:00,5488,,,1997-08-08 00:00:00,5540,,,1997-09-08 00:00:00,5847,,,1997-10-08 00:00:00,8458,,,1997-11-08 00:00:00,11608,,,1997-12-08 00:00:00,17351,,,1998-01-08 00:00:00,16639,,,1998-02-08 00:00:00,16200,,,1998-03-08 00:00:00,12542,,,1998-04-08 00:00:00,13923,,,1998-05-08 00:00:00,10803,,,1998-06-08 00:00:00,7688,,,1998-07-08 00:00:00,6613,,,1998-08-08 00:00:00,6240,,,1998-09-08 00:00:00,6023,,,1998-10-08 00:00:00,7493,,,1998-11-08 00:00:00,13520,,,1998-12-08 00:00:00,18262,,,1999-01-08 00:00:00,18821,,,1999-02-08 00:00:00,13734,,,1999-03-08 00:00:00,17139,,1999-04-08 00:00:00,17227,,,1999-05-08 00:00:00,10321,,,1999-06-08 00:00:00,9467,,,1999-07-08 00:00:00,6287,,,1999-08-08 00:00:00,5378,,,1999-09-08 00:00:00,6511,,,1999-10-08 00:00:00,6517,,,1999-11-08 00:00:00,10303,,,1999-12-08 00:00:00,17866,,,2000-01-08 00:00:00,14891,,,2000-02-08 00:00:00,12968,,,2000-03-08 00:00:00,19275,,,2000-04-08 00:00:00,9247,,,2000-05-08 00:00:00,8380,,,2000-06-08 00:00:00,8202,,,2000-07-08 00:00:00,6035,,,2000-08-08 00:00:00,6168,,,2000-09-08 00:00:00,5916,,,2000-10-08 00:00:00,6560,,,2000-11-08 00:00:00,12273,,,2000-12-08 00:00:00,12081,,,2001-01-08 00:00:00,14297,,,2001-02-08 00:00:00,17377,,,2001-03-08 00:00:00,12419,,,2001-04-08 00:00:00,13827.918,,,2001-05-08 00:00:00,5405.89,,,2001-06-08 00:00:00,5569.853999999999,,,2001-07-08 00:00:00,5007.8640000000005
1997-07-09 00:00:00,5614,,,1997-08-09 00:00:00,5352,,,1997-09-09 00:00:00,5971,,,1997-10-09 00:00:00,7700,,,1997-11-09 00:00:00,10270,,,1997-12-09 00:00:00,18870,,,1998-01-09 00:00:00,15645,,,1998-02-09 00:00:00,17104,,,1998-03-09 00:00:00,13310,,,1998-04-09 00:00:00,11273,,,1998-05-09 00:00:00,10713,,,1998-06-09 00:00:00,7129,,,1998-07-09 00:00:00,6922,,,1998-08-09 00:00:00,5951,,,1998-09-09 00:00:00,7769,,,1998-10-09 00:00:00,8974,,,1998-11-09 00:00:00,14010,,,1998-12-09 00:00:00,19863,,,1999-01-09 00:00:00,18384,,,1999-02-09 00:00:00,17837,,,1999-03-09 00:00:00,17402,,1999-04-09 00:00:00,17496,,,1999-05-09 00:00:00,10413,,,1999-06-09 00:00:00,9136,,,1999-07-09 00:00:00,6620,,,1999-08-09 00:00:00,6874,,,1999-09-09 00:00:00,6611,,,1999-10-09 00:00:00,6104,,,1999-11-09 00:00:00,12415,,,1999-12-09 00:00:00,15379,,,2000-01-09 00:00:00,14352,,,2000-02-09 00:00:00,12314,,,2000-03-09 00:00:00,15479,,,2000-04-09 00:00:00,9488,,,2000-05-09 00:00:00,8940,,,2000-06-09 00:00:00,8198,,,2000-07-09 00:00:00,5658,,,2000-08-09 00:00:00,6176,,,2000-09-09 00:00:00,6089,,,2000-10-09 00:00:00,7590,,,2000-11-09 00:00:00,13947,,,2000-12-09 00:00:00,12542,,,2001-01-09 00:00:00,18570,,,2001-02-09 00:00:00,16577,,,2001-03-09 00:00:00,14063,,,2001-04-09 00:00:00,12933.57,,,2001-05-09 00:00:00,5909.33,,,2001-06-09 00:00:00,5477.124999999999,,,2001-07-09 00:00:00,5543.296
1997-07-10 00:00:00,5939,,,1997-08-10 00:00:00,5503,,,1997-09-10 00:00:00,6081,,,1997-10-10 00:00:00,10252,,,1997-11-10 00:00:00,9492,,,1997-12-10 00:00:00,19336,,,1998-01-10 00:00:00,12890,,,1998-02-10 00:00:00,18322,,,1998-03-10 00:00:00,11854,,,1998-04-10 00:00:00,10900,,,1998-05-10 00:00:00,9736,,,1998-06-10 00:00:00,7469,,,1998-07-10 00:00:00,7041,,,1998-08-10 00:00:00,6030,,,1998-09-10 00:00:00,7463,,,1998-10-10 00:00:00,8447,,,1998-11-10 00:00:00,15210,,,1998-12-10 00:00:00,19389,,,1999-01-10 00:00:00,19795,,,1999-02-10 00:00:00,20427,,,1999-03-10 00:00:00,18758,,1999-04-10 00:00:00,16325,,,1999-05-10 00:00:00,10220,,,1999-06-10 00:00:00,8456,,,1999-07-10 00:00:00,6244,,,1999-08-10 00:00:00,6859,,,1999-09-10 00:00:00,6637,,,1999-10-10 00:00:00,5904,,,1999-11-10 00:00:00,10401,,,1999-12-10 00:00:00,17646,,,2000-01-10 00:00:00,14894,,,2000-02-10 00:00:00,13647,,,2000-03-10 00:00:00,14501,,,2000-04-10 00:00:00,10545,,,2000-05-10 00:00:00,10597,,,2000-06-10 00:00:00,7369,,,2000-07-10 00:00:00,5941,,,2000-08-10 00:00:00,6202,,,2000-09-10 00:00:00,6327,,,2000-10-10 00:00:00,8931,,,2000-11-10 00:00:00,16019,,,2000-12-10 00:00:00,12891,,,2001-01-10 00:00:00,16595,,,2001-02-10 00:00:00,17082,,,2001-03-10 00:00:00,12484,,,2001-04-10 00:00:00,12177.126,,,2001-05-10 00:00:00,6142.78,,,2001-06-10 00:00:00,5666.659,,,2001-07-10 00:00:00,5750.56
1997-07-11 00:00:00,6186,,,1997-08-11 00:00:00,5820,,,1997-09-11 00:00:00,5863,,,1997-10-11 00:00:00,9445,,,1997-11-11 00:00:00,10924,,,1997-12-11 00:00:00,18477,,,1998-01-11 00:00:00,12616,,,1998-02-11 00:00:00,14591,,,1998-03-11 00:00:00,10651,,,1998-04-11 00:00:00,11992,,,1998-05-11 00:00:00,12743,,,1998-06-11 00:00:00,8413,,,1998-07-11 00:00:00,6413,,,1998-08-11 00:00:00,5686,,,1998-09-11 00:00:00,6277,,,1998-10-11 00:00:00,8542,,,1998-11-11 00:00:00,15195,,,1998-12-11 00:00:00,18799,,,1999-01-11 00:00:00,20836,,,1999-02-11 00:00:00,20094,,,1999-03-11 00:00:00,15405,,1999-04-11 00:00:00,14701,,,1999-05-11 00:00:00,8233,,,1999-06-11 00:00:00,7988,,,1999-07-11 00:00:00,5560,,,1999-08-11 00:00:00,6907,,,1999-09-11 00:00:00,6447,,,1999-10-11 00:00:00,6659,,,1999-11-11 00:00:00,9443,,,1999-12-11 00:00:00,16198,,,2000-01-11 00:00:00,14446,,,2000-02-11 00:00:00,16052,,,2000-03-11 00:00:00,10307,,,2000-04-11 00:00:00,8474,,,2000-05-11 00:00:00,10834,,,2000-06-11 00:00:00,7167,,,2000-07-11 00:00:00,5791,,,2000-08-11 00:00:00,5756,,,2000-09-11 00:00:00,6210,,,2000-10-11 00:00:00,9813,,,2000-11-11 00:00:00,16728,,,2000-12-11 00:00:00,15592,,,2001-01-11 00:00:00,19350,,,2001-02-11 00:00:00,16868,,,2001-03-11 00:00:00,11952,,,2001-04-11 00:00:00,11973.312,,,2001-05-11 00:00:00,6143.794999999999,,,2001-06-11 00:00:00,6243.413,,,2001-07-11 00:00:00,6141.72
1997-07-12 00:00:00,5721,,,1997-08-12 00:00:00,5804,,,1997-09-12 00:00:00,5967,,,1997-10-12 00:00:00,8517,,,1997-11-12 00:00:00,12230,,,1997-12-12 00:00:00,20283,,,1998-01-12 00:00:00,13594,,,1998-02-12 00:00:00,15388,,,1998-03-12 00:00:00,11152,,,1998-04-12 00:00:00,13011,,,1998-05-12 00:00:00,12652,,,1998-06-12 00:00:00,7886,,,1998-07-12 00:00:00,5843,,,1998-08-12 00:00:00,5519,,,1998-09-12 00:00:00,5467,,,1998-10-12 00:00:00,8598,,,1998-11-12 00:00:00,15776,,,1998-12-12 00:00:00,17004,,,1999-01-12 00:00:00,18502,,,1999-02-12 00:00:00,19210,,,1999-03-12 00:00:00,15851,,1999-04-12 00:00:00,11805,,,1999-05-12 00:00:00,8416,,,1999-06-12 00:00:00,7383,,,1999-07-12 00:00:00,5371,,,1999-08-12 00:00:00,6877,,,1999-09-12 00:00:00,6308,,,1999-10-12 00:00:00,6648,,,1999-11-12 00:00:00,9586,,,1999-12-12 00:00:00,15557,,,2000-01-12 00:00:00,16769,,,2000-02-12 00:00:00,14991,,,2000-03-12 00:00:00,11496,,,2000-04-12 00:00:00,7702,,,2000-05-12 00:00:00,10389,,,2000-06-12 00:00:00,6368,,,2000-07-12 00:00:00,6033,,,2000-08-12 00:00:00,5369,,,2000-09-12 00:00:00,6087,,,2000-10-12 00:00:00,9091,,,2000-11-12 00:00:00,16789,,,2000-12-12 00:00:00,15651,,,2001-01-12 00:00:00,16959,,,2001-02-12 00:00:00,20376,,,2001-03-12 00:00:00,12066,,,2001-04-12 00:00:00,12963.99,,,2001-05-12 00:00:00,6168.155,,,2001-06-12 00:00:00,6095.657999999999,,,2001-07-12 00:00:00,6137.656
1997-07-13 00:00:00,5417,,,1997-08-13 00:00:00,5807,,,1997-09-13 00:00:00,5866,,,1997-10-13 00:00:00,8667,,,1997-11-13 00:00:00,10689,,,1997-12-13 00:00:00,18985,,,1998-01-13 00:00:00,16488,,,1998-02-13 00:00:00,13233,,,1998-03-13 00:00:00,10887,,,1998-04-13 00:00:00,14618,,,1998-05-13 00:00:00,11262,,,1998-06-13 00:00:00,6551,,,1998-07-13 00:00:00,6365,,,1998-08-13 00:00:00,5772,,,1998-09-13 00:00:00,5169,,,1998-10-13 00:00:00,7996,,,1998-11-13 00:00:00,14628,,,1998-12-13 00:00:00,15461,,,1999-01-13 00:00:00,16272,,,1999-02-13 00:00:00,16637,,,1999-03-13 00:00:00,13814,,1999-04-13 00:00:00,11075,,,1999-05-13 00:00:00,10844,,,1999-06-13 00:00:00,7063,,,1999-07-13 00:00:00,5431,,,1999-08-13 00:00:00,6949,,,1999-09-13 00:00:00,6752,,,1999-10-13 00:00:00,6957,,,1999-11-13 00:00:00,9105,,,1999-12-13 00:00:00,16004,,,2000-01-13 00:00:00,16327,,,2000-02-13 00:00:00,12658,,,2000-03-13 00:00:00,11985,,,2000-04-13 00:00:00,7820,,,2000-05-13 00:00:00,9273,,,2000-06-13 00:00:00,5496,,,2000-07-13 00:00:00,6286,,,2000-08-13 00:00:00,5400,,,2000-09-13 00:00:00,5440,,,2000-10-13 00:00:00,9362,,,2000-11-13 00:00:00,18823,,,2000-12-13 00:00:00,15407,,,2001-01-13 00:00:00,15121,,,2001-02-13 00:00:00,18033,,,2001-03-13 00:00:00,11926,,,2001-04-13 00:00:00,13093.782000000001,,,2001-05-13 00:00:00,6711.18,,,2001-06-13 00:00:00,6107.8859999999995,,,2001-07-13 00:00:00,5895.848
1997-07-14 00:00:00,5902,,,1997-08-14 00:00:00,5845,,,1997-09-14 00:00:00,5769,,,1997-10-14 00:00:00,7937,,,1997-11-14 00:00:00,11563,,,1997-12-14 00:00:00,13709,,,1998-01-14 00:00:00,14701,,,1998-02-14 00:00:00,13917,,,1998-03-14 00:00:00,10316,,,1998-04-14 00:00:00,16456,,,1998-05-14 00:00:00,10750,,,1998-06-14 00:00:00,5769,,,1998-07-14 00:00:00,6378,,,1998-08-14 00:00:00,6058,,,1998-09-14 00:00:00,5885,,,1998-10-14 00:00:00,9334,,,1998-11-14 00:00:00,13552,,,1998-12-14 00:00:00,16022,,,1999-01-14 00:00:00,17093,,,1999-02-14 00:00:00,16339,,,1999-03-14 00:00:00,15812,,1999-04-14 00:00:00,8827,,,1999-05-14 00:00:00,11690,,,1999-06-14 00:00:00,7259,,,1999-07-14 00:00:00,6106,,,1999-08-14 00:00:00,6682,,,1999-09-14 00:00:00,7112,,,1999-10-14 00:00:00,6777,,,1999-11-14 00:00:00,10570,,,1999-12-14 00:00:00,18486,,,2000-01-14 00:00:00,14525,,,2000-02-14 00:00:00,11959,,,2000-03-14 00:00:00,9722,,,2000-04-14 00:00:00,9303,,,2000-05-14 00:00:00,9655,,,2000-06-14 00:00:00,4566,,,2000-07-14 00:00:00,6115,,,2000-08-14 00:00:00,5770,,,2000-09-14 00:00:00,5707,,,2000-10-14 00:00:00,8441,,,2000-11-14 00:00:00,18617,,,2000-12-14 00:00:00,12689,,,2001-01-14 00:00:00,15131,,,2001-02-14 00:00:00,16868,,,2001-03-14 00:00:00,11347,,,2001-04-14 00:00:00,12419.472,,,2001-05-14 00:00:00,7515.06,,,2001-06-14 00:00:00,5513.808999999999,,,2001-07-14 00:00:00,5840.984
1997-07-15 00:00:00,5859,,,1997-08-15 00:00:00,5919,,,1997-09-15 00:00:00,6620,,,1997-10-15 00:00:00,7332,,,1997-11-15 00:00:00,11621,,,1997-12-15 00:00:00,18125,,,1998-01-15 00:00:00,11387,,,1998-02-15 00:00:00,14346,,,1998-03-15 00:00:00,8977,,,1998-04-15 00:00:00,14520,,,1998-05-15 00:00:00,11149,,,1998-06-15 00:00:00,5698,,,1998-07-15 00:00:00,5665,,,1998-08-15 00:00:00,5732,,,1998-09-15 00:00:00,6314,,,1998-10-15 00:00:00,9856,,,1998-11-15 00:00:00,11807,,,1998-12-15 00:00:00,16349,,,1999-01-15 00:00:00,13477,,,1999-02-15 00:00:00,18114,,,1999-03-15 00:00:00,16255,,1999-04-15 00:00:00,7640,,,1999-05-15 00:00:00,10797,,,1999-06-15 00:00:00,7513,,,1999-07-15 00:00:00,6357,,,1999-08-15 00:00:00,6541,,,1999-09-15 00:00:00,6933,,,1999-10-15 00:00:00,7149,,,1999-11-15 00:00:00,9265,,,1999-12-15 00:00:00,19545,,,2000-01-15 00:00:00,11627,,,2000-02-15 00:00:00,14907,,,2000-03-15 00:00:00,9931,,,2000-04-15 00:00:00,9656,,,2000-05-15 00:00:00,9270,,,2000-06-15 00:00:00,5001,,,2000-07-15 00:00:00,5823,,,2000-08-15 00:00:00,5817,,,2000-09-15 00:00:00,6305,,,2000-10-15 00:00:00,7757,,,2000-11-15 00:00:00,16816,,,2000-12-15 00:00:00,11706,,,2001-01-15 00:00:00,19811,,,2001-02-15 00:00:00,16932,,,2001-03-15 00:00:00,13460,,,2001-04-15 00:00:00,11540.334,,,2001-05-15 00:00:00,6445.25,,,2001-06-15 00:00:00,5688.057999999999,,,2001-07-15 00:00:00,5851.144
1997-07-16 00:00:00,6123,,,1997-08-16 00:00:00,5719,,,1997-09-16 00:00:00,6490,,,1997-10-16 00:00:00,6887,,,1997-11-16 00:00:00,11991,,,1997-12-16 00:00:00,17255,,,1998-01-16 00:00:00,10267,,,1998-02-16 00:00:00,19301,,,1998-03-16 00:00:00,9561,,,1998-04-16 00:00:00,12497,,,1998-05-16 00:00:00,10830,,,1998-06-16 00:00:00,5778,,,1998-07-16 00:00:00,5496,,,1998-08-16 00:00:00,5892,,,1998-09-16 00:00:00,6460,,,1998-10-16 00:00:00,9736,,,1998-11-16 00:00:00,11495,,,1998-12-16 00:00:00,13653,,,1999-01-16 00:00:00,11175,,,1999-02-16 00:00:00,15274,,,1999-03-16 00:00:00,13544,,1999-04-16 00:00:00,7074,,,1999-05-16 00:00:00,9849,,,1999-06-16 00:00:00,7423,,,1999-07-16 00:00:00,6962,,,1999-08-16 00:00:00,6659,,,1999-09-16 00:00:00,7198,,,1999-10-16 00:00:00,7246,,,1999-11-16 00:00:00,11280,,,1999-12-16 00:00:00,19279,,,2000-01-16 00:00:00,12609,,,2000-02-16 00:00:00,15198,,,2000-03-16 00:00:00,10007,,,2000-04-16 00:00:00,9530,,,2000-05-16 00:00:00,10742,,,2000-06-16 00:00:00,5678,,,2000-07-16 00:00:00,5934,,,2000-08-16 00:00:00,5692,,,2000-09-16 00:00:00,5901,,,2000-10-16 00:00:00,8643,,,2000-11-16 00:00:00,14950,,,2000-12-16 00:00:00,13487,,,2001-01-16 00:00:00,19213,,,2001-02-16 00:00:00,14532,,,2001-03-16 00:00:00,12092,,,2001-04-16 00:00:00,10941.06,,,2001-05-16 00:00:00,6319.39,,,2001-06-16 00:00:00,5275.362999999999,,,2001-07-16 00:00:00,6666.992
1997-07-17 00:00:00,6115,,,1997-08-17 00:00:00,5805,,,1997-09-17 00:00:00,6393,,,1997-10-17 00:00:00,7141,,,1997-11-17 00:00:00,12542,,,1997-12-17 00:00:00,14536,,,1998-01-17 00:00:00,9409,,,1998-02-17 00:00:00,16595,,,1998-03-17 00:00:00,10284,,,1998-04-17 00:00:00,11717,,,1998-05-17 00:00:00,10153,,,1998-06-17 00:00:00,5833,,,1998-07-17 00:00:00,5956,,,1998-08-17 00:00:00,6753,,,1998-09-17 00:00:00,6792,,,1998-10-17 00:00:00,8705,,,1998-11-17 00:00:00,12383,,,1998-12-17 00:00:00,13147,,,1999-01-17 00:00:00,10774,,,1999-02-17 00:00:00,11759,,,1999-03-17 00:00:00,13380,,1999-04-17 00:00:00,7032,,,1999-05-17 00:00:00,9227,,,1999-06-17 00:00:00,7050,,,1999-07-17 00:00:00,6700,,,1999-08-17 00:00:00,6750,,,1999-09-17 00:00:00,6973,,,1999-10-17 00:00:00,6617,,,1999-11-17 00:00:00,13137,,,1999-12-17 00:00:00,17414,,,2000-01-17 00:00:00,16696,,,2000-02-17 00:00:00,16138,,,2000-03-17 00:00:00,11447,,,2000-04-17 00:00:00,10313,,,2000-05-17 00:00:00,8611,,,2000-06-17 00:00:00,5343,,,2000-07-17 00:00:00,6786,,,2000-08-17 00:00:00,5822,,,2000-09-17 00:00:00,5272,,,2000-10-17 00:00:00,7799,,,2000-11-17 00:00:00,17785,,,2000-12-17 00:00:00,14406,,,2001-01-17 00:00:00,20761,,,2001-02-17 00:00:00,12553,,,2001-03-17 00:00:00,9746,,,2001-04-17 00:00:00,8252.946,,,2001-05-17 00:00:00,6561.974999999999,,,2001-06-17 00:00:00,5209.128,,,2001-07-17 00:00:00,6344.92
1997-07-18 00:00:00,6043,,,1997-08-18 00:00:00,6093,,,1997-09-18 00:00:00,6438,,,1997-10-18 00:00:00,7495,,,1997-11-18 00:00:00,13152,,,1997-12-18 00:00:00,14173,,,1998-01-18 00:00:00,12737,,,1998-02-18 00:00:00,15673,,,1998-03-18 00:00:00,10087,,,1998-04-18 00:00:00,10569,,,1998-05-18 00:00:00,9331,,,1998-06-18 00:00:00,6312,,,1998-07-18 00:00:00,5303,,,1998-08-18 00:00:00,7171,,,1998-09-18 00:00:00,6880,,,1998-10-18 00:00:00,8992,,,1998-11-18 00:00:00,14218,,,1998-12-18 00:00:00,15263,,,1999-01-18 00:00:00,12171,,,1999-02-18 00:00:00,15336,,,1999-03-18 00:00:00,13640,,1999-04-18 00:00:00,7692,,,1999-05-18 00:00:00,8927,,,1999-06-18 00:00:00,6869,,,1999-07-18 00:00:00,6508,,,1999-08-18 00:00:00,7237,,,1999-09-18 00:00:00,6987,,,1999-10-18 00:00:00,7654,,,1999-11-18 00:00:00,14055,,,1999-12-18 00:00:00,16372,,,2000-01-18 00:00:00,12257,,,2000-02-18 00:00:00,14141,,,2000-03-18 00:00:00,9303,,,2000-04-18 00:00:00,10931,,,2000-05-18 00:00:00,7750,,,2000-06-18 00:00:00,5307,,,2000-07-18 00:00:00,6690,,,2000-08-18 00:00:00,6090,,,2000-09-18 00:00:00,5033,,,2000-10-18 00:00:00,7948,,,2000-11-18 00:00:00,16802,,,2000-12-18 00:00:00,16498,,,2001-01-18 00:00:00,19581,,,2001-02-18 00:00:00,11871,,,2001-03-18 00:00:00,7895,,,2001-04-18 00:00:00,9414.99,,,2001-05-18 00:00:00,6305.18,,,2001-06-18 00:00:00,5368.092,,,2001-07-18 00:00:00,6031.992
