 Nov 00,,,,,,,,,,,,,,,,
,,,,,,Week 1,,,,,,,,,,
,Total ,17497,17642,17699,17384,18533,16883,15925,,17751,,16404,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Week 2,,,,,,,,,,
,,6,7,8,9,10,11,12,,,,,,,,
,Hour,Monday ,Tuesday ,Wednesday,Thursday,Friday,Saturday,Sunday,,Day AVG,,WE Avg.,Hour,Change,,
,1,570,593,605,612,605,616,601,,597,,608.5,1,-32.39999999999998,,
,2,556,587,595,581,604,605,577,,584.6,,591,2,-12.399999999999977,,
,3,561,589,572,605,585,594,552,,582.4,,573,3,-2.2000000000000455,,
,4,567,606,577,596,594,564,555,,588,,559.5,4,5.600000000000023,,
,5,606,650,653,626,635,606,564,,634,,585,5,46,,
,6,698,752,741,733,718,626,580,,728.4,,603,6,94.39999999999998,765,709.0
,7,764,797,792,770,773,623,570,,779.2,,596.5,7,50.80000000000007,815.8000000000001,759.8000000000001
,8,793,799,789,803,791,662,575,,795,,618.5,8,15.799999999999955,831.6,775.6
,9,816,821,815,812,824,709,610,,817.6,,659.5,9,22.600000000000023,854.2,798.2
,10,829,827,824,866,871,731,689,,843.4,,710,10,25.799999999999955,880,824.0
,11,830,818,831,867,871,771,695,,843.4,,733,11,0,880,824.0
,12,819,803,831,861,882,762,704,,839.2,,733,12,-4.199999999999932,875.8000000000001,819.8000000000001
,13,814,801,858,877,882,778,728,,846.4,,753,13,7.199999999999932,883,827.0
,14,803,791,867,888,889,776,729,,847.6,,752.5,14,1.2000000000000455,884.2,828.2
,15,788,809,861,876,881,760,709,,843,,734.5,15,-4.600000000000023,879.6,823.6
,16,788,788,849,865,871,760,732,,832.2,,746,16,-10.799999999999955,868.8000000000001,812.8000000000001
,17,778,774,828,850,843,752,708,,814.6,,730,17,-17.600000000000023,851.2,795.2
,18,809,791,840,834,817,780,745,,818.2,,762.5,18,3.6000000000000227,854.8000000000001,798.8000000000001
,19,875,877,879,897,868,827,822,,879.2,,824.5,19,61,915.8000000000001,859.8000000000001
,20,859,842,888,879,841,793,797,,861.8,,795,20,-17.40000000000009,898.4,842.4
,21,819,799,848,838,792,788,779,,819.2,,783.5,21,-42.59999999999991,855.8000000000001,799.8000000000001
,22,746,742,762,765,760,737,689,,755,,713,22,-64.20000000000005,,
,23,667,665,686,697,693,635,617,,681.6,,626,23,-73.39999999999998,,
,24,610,608,640,646,643,628,598,,629.4,,613,24,-52.200000000000045,,
,Total ,17765,17929,18431,18644,18533,16883,15925,,18260.4,,16404,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Week 3,,,,,,,,,,
,,13,14,15,16,17,18,19,,,,,,,,
,Hour,Monday ,Tuesday ,Wednesday,Thursday,Friday,Saturday,Sunday,,Day AVG,,WE Avg.,Hour,Change,,
,1,558,619,599,595,604,593,573,,595,,583,1,-35.60000000000002,,
,2,548,595,586,582,601,597,572,,582.4,,584.5,2,-12.600000000000023,,
,3,562,596,575,575,567,576,549,,575,,562.5,3,-7.399999999999977,,
,4,579,609,611,577,562,573,563,,587.6,,568,4,12.600000000000023,,
,5,641,632,643,638,633,583,554,,637.4,,568.5,5,49.799999999999955,,
,6,717,719,741,708,719,608,588,,720.8,,598,6,83.39999999999998,705,
,7,762,778,783,760,755,658,569,,767.6,,613.5,7,46.80000000000007,751.8000000000001,
,8,756,794,795,779,777,688,609,,780.2,,648.5,8,12.600000000000023,764.4000000000001,
,9,784,807,835,798,805,715,630,,805.8,,672.5,9,25.59999999999991,790,
,10,829,828,859,794,849,750,668,,831.8,,709,10,26,816,
,11,847,848,858,805,855,729,682,,842.6,,705.5,11,10.800000000000068,826.8000000000001,
,12,869,866,888,798,862,742,677,,856.6,,709.5,12,14,840.8000000000001,
,13,892,878,858,797,871,726,685,,859.2,,705.5,13,2.6000000000000227,843.4000000000001,
,14,905,870,852,802,868,716,704,,859.4,,710,14,0.1999999999999318,843.6,
,15,911,897,850,799,861,691,669,,863.6,,680,15,4.2000000000000455,847.8000000000001,
,16,900,888,844,776,833,707,681,,848.2,,694,16,-15.399999999999977,832.4000000000001,
,17,858,857,828,778,800,691,705,,824.2,,698,17,-24,808.4000000000001,
,18,840,901,831,845,836,731,748,,850.6,,739.5,18,26.399999999999977,834.8000000000001,
,19,931,901,909,847,850,778,783,,887.6,,780.5,19,37,871.8000000000001,
,20,894,895,871,863,826,763,778,,869.8,,770.5,20,-17.800000000000068,854,
,21,820,812,823,787,783,749,742,,805,,745.5,21,-64.79999999999995,789.2,
,22,772,774,724,742,742,699,687,,750.8,,693,22,-54.200000000000045,735,
,23,680,679,667,663,658,648,617,,669.4,,632.5,23,-81.39999999999998,653.6,
,24,639,640,621,612,641,593,590,,630.6,,591.5,24,-38.799999999999955,614.8000000000001,
,Total ,18494,18683,18451,17720,18158,16304,15623,,18301.200000000004,,15963.5,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Week 4,,,,,,,,,,
,,20,21,22,23,24,25,26,,,,,,,,
,Hour,Monday ,Tuesday ,Wednesday,Thursday,Friday,Saturday,Sunday,,Day AVG,,WE Avg.,Hour,Change,,
,1,564,593,599,574,596,599,552,,585.2,,575.5,1,-35.59999999999991,,
,2,569,587,575,573,575,575,516,,575.8,,545.5,2,-9.400000000000091,,
,3,562,589,577,555,571,584,525,,570.8,,554.5,3,-5,,
,4,586,606,571,571,577,577,524,,582.2,,550.5,4,11.400000000000091,,
,5,604,650,628,622,626,589,523,,626,,556,5,43.799999999999955,,
,6,702,752,715,713,704,618,560,,717.2,,589,6,91.20000000000005,804,
,7,756,797,745,761,780,647,569,,767.8,,608,7,50.59999999999991,854.5999999999999,864.0
,8,787,799,791,775,788,689,573,,788,,631,8,20.200000000000045,874.8,884.2
,9,802,821,815,794,793,738,621,,805,,679.5,9,17,891.8,901.2
,10,850,827,818,806,813,740,635,,822.8,,687.5,10,17.799999999999955,909.5999999999999,919.0
,11,830,818,848,808,832,727,651,,827.2,,689,11,4.400000000000091,914,923.4000000000001
,12,824,803,861,815,831,728,660,,826.8,,694,12,-0.40000000000009095,913.5999999999999,923.0
,13,842,801,854,827,834,702,660,,831.6,,681,13,4.800000000000068,918.4,927.8000000000001
,14,856,791,853,826,824,678,662,,830,,670,14,-1.6000000000000227,916.8,926.2
,15,836,809,854,820,804,667,649,,824.6,,658,15,-5.399999999999977,911.4,920.8000000000001
,16,839,788,818,817,803,675,654,,813,,664.5,16,-11.600000000000023,899.8,909.2
,17,812,774,798,784,782,691,657,,790,,674,17,-23,876.8,886.2
,18,836,791,845,835,811,705,725,,823.6,,715,18,33.60000000000002,910.4,919.8000000000001
,19,885,877,858,854,845,746,773,,863.8,,759.5,19,40.19999999999993,950.5999999999999,960.0
,20,869,842,856,838,804,734,746,,841.8,,740,20,-22,928.5999999999999,938.0
,21,817,799,818,804,799,720,714,,807.4,,717,21,-34.39999999999998,894.1999999999999,903.6
,22,759,742,729,732,739,683,693,,740.2,,688,22,-67.19999999999993,827,836.4000000000001
,23,683,665,687,664,685,618,637,,676.8,,627.5,23,-63.40000000000009,763.5999999999999,
,24,619,608,618,619,640,575,588,,620.8,,581.5,24,-56,,
,Total ,18089,17929,18131,17787,17856,16005,15067,,17958.399999999998,,15536,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Week 5,,,,,,,,,,
,,27,28,29,30,1,2,3,,,,,,,,
,Hour,Monday ,Tuesday ,Wednesday,Thursday,Friday,Saturday,Sunday,,Day AVG,,WE Avg.,Hour,Change,,
,1,548,609,600,633,605,616,601,,599,,608.5,1,-45.200000000000045,,
,2,534,584,592,596,604,605,577,,582,,591,2,-17,,
,3,544,566,583,591,585,594,552,,573.8,,573,3,-8.200000000000045,,
,4,539,561,565,596,594,564,555,,571,,559.5,4,-2.7999999999999545,,
,5,544,591,566,589,635,606,564,,585,,585,5,14,,
,6,614,641,629,654,718,626,580,,651.2,,603,6,66.20000000000005,668,
,7,698,720,712,745,773,623,570,,729.6,,596.5,7,78.39999999999998,746.4,
,8,736,764,758,762,791,662,575,,762.2,,618.5,8,32.60000000000002,779,
,9,762,778,785,771,824,709,610,,784,,659.5,9,21.799999999999955,800.8,
,10,779,792,792,774,871,731,689,,801.6,,710,10,17.600000000000023,818.4,
,11,793,802,806,780,871,771,695,,810.4,,733,11,8.799999999999955,827.1999999999999,
,12,803,815,801,775,882,762,704,,815.2,,733,12,4.800000000000068,832,
,13,804,811,786,773,882,778,728,,811.2,,753,13,-4,828,
,14,819,813,815,776,889,776,729,,822.4,,752.5,14,11.199999999999932,839.1999999999999,
,15,815,824,794,768,881,760,709,,816.4,,734.5,15,-6,833.1999999999999,
,16,796,793,781,754,871,760,732,,799,,746,16,-17.399999999999977,815.8,
,17,785,796,766,755,843,752,708,,789,,730,17,-10,805.8,
,18,862,837,800,773,817,780,745,,817.8,,762.5,18,28.799999999999955,834.5999999999999,
,19,871,812,876,833,868,827,822,,852,,824.5,19,34.200000000000045,868.8,
,20,854,807,873,819,841,793,797,,838.8,,795,20,-13.200000000000045,855.5999999999999,
,21,831,793,857,798,792,788,779,,814.2,,783.5,21,-24.59999999999991,831,
,22,800,780,790,770,760,737,689,,780,,713,22,-34.200000000000045,796.8,
,23,707,707,722,676,693,635,617,,701,,626,23,-79,,
,24,659,646,650,623,643,628,598,,644.2,,613,24,-56.799999999999955,,
,Total ,17497,17642,17699,17384,18533,16883,15925,,17751,,16404,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
, Nov 00,,,,,Weekly Average,,,,,,,,,,
,,,,,Loads are averaged from the previous five weeks ,,,,,,,,,,,
,Scalar,0.95,,,,,,,,,,,,,,
,Hour,Monday ,Tuesday ,Wednesday,Thursday,Friday,Saturday,Sunday,,Day AVG,,WE Avg.,Hour,Change,,
,1,529.72,574.37,570.57,578.93,572.85,577.6,556.32,,565.288,,593.875,1,-36.8599999999999,,
,2,520.79,558.03,558.6,556.32,567.72,567.53,535.6099999999999,,552.292,,578,2,-12.995999999999981,,
,3,526.87,552.14,549.1,554.2299999999999,549.67,558.9799999999999,518.6999999999999,,546.402,,565.75,3,-5.889999999999986,,
,4,533.9,559.17,548.91,557.84,554.99,539.9799999999999,522.88,,550.9620000000001,,559.375,4,4.560000000000059,,
,5,558.41,591.66,580.64,582.16,601.16,568.1,526.1099999999999,,582.8059999999999,,573.625,5,31.843999999999824,,
,6,635.55,665.9499999999999,656.4499999999999,657.78,679.63,589.7599999999999,548.72,,659.0719999999999,,598.25,6,76.26599999999996,804,
,7,698.8199999999999,724.28,711.3599999999999,718.39,732.2599999999999,603.06,541.12,,717.0219999999999,,603.625,7,57.950000000000045,861.95,
,8,723.52,744.8,739.29,737.39,748.22,638.97,552.3299999999999,,738.6439999999999,,629.125,8,21.621999999999957,883.572,
,9,745.94,760.9499999999999,766.65,749.74,773.3,680.1999999999999,585.39,,759.316,,667.75,9,20.67200000000014,904.2440000000001,
,10,772.54,772.54,776.15,762.66,812.25,699.77,640.3,,779.228,,704.125,10,19.91199999999992,924.1560000000001,
,11,777.67,776.72,788.31,767.5999999999999,817,716.1099999999999,649.42,,785.4599999999999,,715.125,11,6.231999999999971,930.388,
,12,782.42,779.38,794.5799999999999,764.56,824.41,713.64,655.31,,789.0699999999999,,717.375,12,3.6100000000000136,933.998,
,13,789.64,779.38,786.9799999999999,768.93,826.69,714.78,670.5099999999999,,790.324,,723.125,13,1.254000000000019,935.2520000000001,
,14,798.38,774.8199999999999,798.38,772.92,828.2099999999999,707.18,675.0699999999999,,794.542,,721.25,14,4.218000000000075,939.4700000000001,
,15,791.3499999999999,790.97,789.0699999999999,765.89,818.52,691.22,654.55,,791.16,,701.75,15,-3.382000000000062,936.0880000000001,
,16,782.6099999999999,769.5,773.87,753.54,807.31,695.78,670.89,,777.366,,712.625,16,-13.793999999999983,922.2940000000001,
,17,763.42,759.43,757.34,745.18,781.09,691.22,662.34,,761.292,,708,17,-16.073999999999955,906.2200000000001,
,18,799.7099999999999,789.8299999999999,782.04,771.4,778.62,717.44,704.52,,784.3199999999999,,744.875,18,23.027999999999906,929.248,
,19,842.27,813.0099999999999,835.62,810.16,816.81,760.9499999999999,764.18,,823.5739999999998,,797.25,19,39.253999999999905,968.502,
,20,822.6999999999999,796.67,828.59,801.42,789.0699999999999,736.44,743.8499999999999,,807.6899999999999,,775.125,20,-15.8839999999999,952.618,
,21,782.42,759.24,798.5699999999999,764.75,752.02,728.27,720.67,,771.3999999999999,,757.375,21,-36.29000000000008,916.328,
,22,736.63,725.42,721.05,718.0099999999999,714.59,682.67,654.93,,723.14,,701.75,22,-48.25999999999988,,
,23,654.3599999999999,650.37,661.9599999999999,641.44,650.18,602.49,589.9499999999999,,651.662,,628,23,-71.47799999999995,,
,24,605.34,598.12,604.0099999999999,593.37,609.9,579.88,564.68,,602.1479999999999,,599.75,24,-49.514000000000124,,
,Total ,16974.98,17066.749999999996,17178.089999999997,16894.61,17406.47,15762.019999999999,14908.350000000002,,17104.18,,16076.875,,,,
