"The following are the inputs to the programs (in the order of enumeration in the sheet ""Assumptions and Methodology"")",,,,,,,,,,,,,,,,,,
Swap Portfolio Strike Value,,,,,,,,,,,,,,,,,,
,ENE,PUBR1,PRIVR1,Hanover,BRASR2,NPW,,,,,WhiteWing Assets and Liabilities,,,Years from t = 0,,,,
LJM's Payoff (R2),,,PV,,,,,,,,Series B/D,8458200,87485505.58864,3998630.1425,173623569.8575,,,
,,,,,,,,,,,Series C,2791000,29289916.118244443,910859.1416666667,57700140.858333334,,,
Raptor 3 Closing Value,,,,,,,,,,,,,,,,,,
NPW Stocks,,,,,,,,,,,Number of Shares,19000000,,,,,,
Note Resolution,-299000000,,,,,,,,,,Future Value of Debt,134767608.76449335,0.1,30186279.349787667,,,,
"TRS (Series A, B, C, and D)",,,,,,,,,,,Future Value of Equity,6901586.51416667,0.15,731619.0963888689,,,,
Assets minus Liabilities,,,,,,,,,,,,,,,,,,
LJM's Payoff (R3),,,PV,,,,,,,,Fixed Payment,398268380.9036111,at price =,21,,,,
,,,,,,,,,,,,,,,,,,
Raptor 4 Closing Value,,,,,,,,,,,,398268380.9036111,,,,,,
Value of ENE Stocks (Waterfall),,,,,,,,,,,,,,,,,,
Collar Gains/Losses,,,,,,,,,,,,,,,,,,
Note Resolution,-350000000,,,,,,,,,,,,,,,,,
Assets minus Liabilities,,,,,,,,,,,,,,,,,,
LJM's Payoff (R4),,,PV,,,,,,,,,,,,,,,
LJM's Payoff (w/o cross-guarantees),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CrossGuarantees (Two-sided for LJM),,,,,,,,,,,,,,,,,,
Combined A/L Position - close of Raptor4,,,<< Simple sum,,,,,,,,,,,,,,,
LJM's Cross-Guaranteed Payoff,,,PV,,,,,,,,,,,,,,,
,Are we compounding the payments for LJM as they are being paid later as a result of the cross-guarantees?,,,,,,,,,,,,,,,,,
,Early payoffs from cross-guarantees (not LJM's terminal payment)are being compunded at 7%.  Should we make it equal to risky or risk-free discount rate?,,,,,,,,,,,,,,,,,
Sum of individual shortfalls,,,,,,,,,,,,,,,,,,
Extracted Sum from LJM,,,,,,,,,,,,,,,,,,
LJM's CrossGuaranteed Payoff (One-sided),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Base,Low,,Base,Low,,,,,,,,,,,,
,,Volatilities,Volatilities,,Drift,Drift,,,,,,,,,,,,
Ene,,0.41,0.3,,0.113,0.06,,,,,,,,,,,,
Public,,0.47,0.34,,0.096,0.06,,,,,,,,,,,,
Private,,0.47,0.34,,0.1,0.06,,,,,,,,,,,,
Hanover,,0.5,0.35,,0.10600000000000001,0.06,,,,,,,,,,,,
Brasil,,0.65,0.37,,0.14100000000000001,0.06,,,,,,,,,,,,
NPW,,0.7,0.4,,0.228,0.06,,,,,,,,,,,,
