,Bayhurst 1537,Bayhurst 2 1538,Herbert 1617,Liebenthal 1643,Richmound 1709,Steelman 1796,Success Rcpt 1800,Suffield 2 2330,Welwyn Receipt 1834,Dawn Union 2808,Emerson 2  1597,Iroquois exports 1620,Kirkwall Union 1633,Niagara Falls 1669,Parkway Belt 2809,SS Marie 1723,St Clair 1724,Centra Manitoba MDA 1566,Centra Manitoba SSDA 1567,Centra Ontario CDA 1568,Centra Ontario EDA 1569,Centra Ontario NDA 1570,Centra Ontario SSMDA 1571,Centra Ontario WDA 1572,Centra Trans MDA 1573,Chippawa 1574,Consumers CDA 1579,Consumers EDA 1580,Consumers SWDA 1581,,Cornwall 1584,Emerson 1 1596,Emerson 2 1597,Empress 1598,Gladstone MDA 3582,GMi EDA 1603,GMi NDA 1606,Iroquois Exports 1620,Kingston 1629,Napierville 1666,Niagara Falls 1669,Parkway Belt 2809,Phillipsburg 1689,Sabrevois 1712,Spruce 1721,St Clair  1724,TCPL NDA 3157,TCPL WDA 1806,Transgas SSDA 1816,Union CDA 1822,Union SWDA 1823
2001-02-19,221461,41982,97461,14301,5900,2500,69869,185683,16653,351945,63000,0,1357017,0,353821,61622,1361037,393612,7025,24531,184926,186701,55213,103672,37704,432538,733247,297058,0,,35979,458595,1839343,7357,500,803900,22000,892024,16500,61339,824353,0,40096,0,24819,0,7008,6002,10038,523294,1784804
2001-02-20,221461,41782,97461,14301,5900,2500,70069,185683,16653,393773,50000,0,1312128,0,399507,61622,1294075,384454,7025,26833,179150,218123,69005,122817,27181,458225,745144,332058,0,,34094,458597,1752457,7357,500,803900,22000,892026,16500,61339,823536,0,31396,0,28391,0,7008,6002,10038,437533,1708949
2001-02-21,214461,41782,95961,14301,5900,2500,69716,185683,16503,447299,45000,0,1298530,0,495488,61622,1017066,368178,7425,26983,194590,231878,81463,121957,31511,539893,915526,469225,0,,39938,485868,1581842,7357,400,783900,22000,837083,15500,61349,725771,0,45168,0,25942,0,6481,6502,10038,451816,1467844
2001-02-22,211476,53782,94961,14301,5900,2500,69716,185683,16503,468254,43000,0,1349174,0,411354,77448,1005823,367234,7425,22831,180559,196699,71141,103220,28186,500330,878048,429329,0,,37768,467122,1517218,7357,400,805000,22000,942991,16800,60294,803447,0,45168,0,26649,0,6481,6502,10038,410531,1459391
2001-02-23,211476,53782,94961,14301,5900,2500,69982,185683,16769,476367,67000,0,1371707,0,578237,87998,1054737,391499,7425,26795,203522,226214,79254,108907,29548,517373,834348,429329,0,,41537,467115,1560798,7357,400,904000,22000,942990,16800,60294,803445,0,45168,0,26649,21101,6481,6502,10038,426570,1510001
2001-02-24,212232,53782,90796,14301,5900,2500,55932,185683,16878,312943,0,0,1370162,615,319982,61622,1383176,308529,6582,22756,148727,174823,54270,121721,24350,459349,720569,368775,0,,36921,448777,1718023,7357,400,799000,22000,857696,15000,58701,788808,0,42396,0,27307,0,7007,6502,9138,523920,1698282
2001-02-25,213232,53782,90796,14301,5900,2500,55932,185683,16878,334664,0,0,1344780,615,302446,61622,1203513,308393,6582,20869,159349,166602,52884,107721,25933,425196,824269,384670,0,,34094,448777,1573698,7357,400,790000,22000,857696,15000,58690,789739,0,35396,0,25724,23633,7007,6502,9138,556215,1535646
2001-02-26,213232,53782,90796,14301,5900,2500,55932,185683,16878,336921,40000,0,1280965,615,338497,61622,1184614,349599,6582,22756,177886,163656,52884,105637,24350,449590,831588,349775,0,,34094,448777,1532214,7357,400,799000,23000,858223,15000,58701,789739,0,38896,0,25724,23633,7007,6502,9138,535035,1519005
2001-02-27,216412,47782,90796,14301,5900,2500,56533,185683,16878,406765,20000,0,1390722,0,391511,61622,1130500,357371,6682,23587,194947,173860,52758,112664,24350,459506,856382,387068,0,,36264,450006,1616060,7357,400,802000,23000,834921,15000,61138,807637,0,43896,0,24141,23633,7008,6502,8538,553824,1513633
2001-02-28,210814,47782,90796,14298,5900,2500,56005,185683,16878,624650,19500,0,1571277,0,357634,61622,922518,325144,9182,24531,222248,199064,54723,109446,29315,501708,838783,378884,0,,41537,461189,1537570,7361,400,820000,22000,936790,13600,61138,807637,0,45168,0,25724,23633,7536,6502,8538,388357,1523534
2001-03-01,181750,46281,89189,17000,2500,2500,26283,182800,16935,289629,10000,0,1352557,4220,576235,61622,1244873,287275,5582,25475,183142,223471,61148,103785,28872,508471,834149,368597,0,,42663,423082,1731189,3000,400,869000,24000,887423,16600,60594,718139,0,47674,0,24877,0,7007,6502,11558,427590,1526960
2001-03-02,181057,50281,89189,17000,2500,2500,26283,182800,16886,244528,0,0,1337429,4220,503784,61622,1316504,272833,5582,23624,185875,230118,60826,114160,27423,445983,776251,347446,0,,39459,416790,1754135,3000,400,842000,22500,872787,16600,60594,757439,0,45874,0,24877,0,7007,6502,11607,434179,1584404
2001-03-03,177403,50281,89189,17000,2500,2500,26182,182800,16886,210576,0,0,1297771,0,425751,61622,1118360,247944,4750,22095,164813,220030,58052,105551,28006,393676,850380,400050,0,,41062,433639,1543343,3000,300,789000,22500,885134,16600,59012,743910,0,43374,0,20658,0,7000,6502,11607,456786,1407006
2001-03-04,177403,50281,89189,17000,2500,2500,37113,182800,16886,193404,0,0,1201489,0,414647,61622,1217940,248433,4250,2208,158120,190599,57109,101716,24350,393676,771680,369155,0,,39178,436007,1648067,3000,300,805000,21000,885142,16600,59003,729553,0,39874,0,22241,0,7000,6502,22538,453829,1427209
2001-03-05,177403,50281,89189,17000,2500,2500,37113,182800,16886,184904,0,0,1185206,0,441878,61622,1240014,259812,5582,24926,169543,201333,54052,105438,24350,385853,778999,339155,0,,39178,434501,1694810,3000,300,800000,19500,885142,16600,58995,721249,0,40874,0,22239,0,7000,6502,22538,450181,1440783
2001-03-06,176803,56281,89189,17000,2500,2500,26414,182800,16785,226036,0,0,1307428,0,418555,61622,1246657,260120,5000,19222,201362,224219,61015,109264,28872,427108,779246,326345,0,,39463,451755,1637933,3000,300,790000,19500,918967,15016,57948,800875,0,42902,0,23505,0,6481,6502,11607,429132,1485391
2001-03-07,174710,51281,89189,17000,2500,2500,26414,174800,16785,181058,0,0,1264589,0,363178,61622,1366205,269440,5732,21285,173818,169960,60626,97890,25510,429432,777842,326794,0,,39083,436522,1757840,3000,200,780000,18000,905837,15016,57940,762328,0,37902,0,22239,0,7008,6502,11607,459474,1520265
2001-03-08,175765,51281,89189,17000,2500,2500,24235,171800,16785,189963,0,0,1159958,0,415982,61622,1381850,269840,5582,20077,168261,159552,59296,98064,28872,429435,729385,319547,0,,33429,426231,1832603,3000,200,730000,17000,851218,15016,57413,699566,0,37509,0,24349,0,6481,6502,9607,536874,1569236
2001-03-09,171004,46281,89189,17000,2500,2500,24237,171800,16709,192041,0,0,1165311,0,329050,61622,1407327,269765,5652,18945,158131,187928,56240,95951,28017,421991,663665,284273,0,,33429,424376,1795849,3000,200,710000,17000,865766,15016,57413,708080,0,34902,0,20656,0,7536,6502,9607,573494,1600283
